5e864db29551d15c32d6bc86da3828ca8795f818a29837667dfc7ed7fe64f27e,d9e20c7f630839208eaa27fe17bbd2c4ceb4eb1a0e7f1d7288539a359ad6bd4c,0b9b32634cac76f20a10429005877cfd9c505d36e34e045c0ae307dfc1b370bc,472ba367205a7d4fd0b300a70daca5898522fbbab0354997b7b2b9bf6ceaf8c1,a21ea36e79175b5012071c2bdd4ef1fe8da4689c455fbdb456efa54799de0970,967d1374db31772f19279adcd69663f163425a617c7f5063093d19cec2206615,817688e996ff5adbfe611b5e2aa2ac10a4bec144a1895b0f1ae0c4e311ff4cfb,a536fb144350bc751e1411afe26dd1c9b70b5f05e5413d78f3a427b0090af623
"11","175","1661","282","5","174","11","-46"
"1","222","1741","-252","6","240","1","-11"
"2","311","1761","-19","6","245","2","-96"
"3","261","1771","-46","6","221","3","95"
"4","166","1781","152","6","237","4","83"
"5","183","1782","227","6","229","5","-100"
"1","223","1811","-249","7","183","1","-46"
"2","337","1881","-159","7","247","2","54"
"3","202","1921","30","7","191","3","-70"
"4","176","1941","173","7","215","4","0"
"5","204","1981","292","7","236","5","77"
"1","209","2001","-472","8","254","1","89"
"2","250","2031","-375","8","282","2","-77"
"3","241","2051","-280","8","223","3","110"
"4","243","2101","-148","8","270","4","-85"
"5","274","2131","3","8","264","5","74"
"6","321","2171","155","8","302","6","-36"
"7","199","2201","283","8","277","7","82"
"8","349","2271","374","8","344","8","0"
"1","240","2321","-275","9","301","1","-30"
"2","106","2361","-132","9","108","2","-115"
"3","106","2371","-132","9","108","3","-115"
"4","202","2381","-73","9","246","4","32"
"5","114","2411","-43","9","84","5","-140"
"6","114","2421","-43","9","84","6","-140"
"8","86","2461","50","9","84","7","65"
"9","86","2471","50","9","84","8","65"
"10","185","2481","80","9","137","9","-110"
"11","185","2491","80","9","137","10","-110"
"7","301","2521","131","9","377","11","24"
"12","190","2531","280","9","305","12","-50"
"3","123","2601","-527","10","145","1","-137"
"4","123","2611","-527","10","145","2","-137"
"1","408","2621","-379","10","295","3","35"
"2","171","2622","-299","10","192","4","103"
"6","342","2623","-138","10","244","5","-64"
"5","224","2701","-47","10","254","6","9"
"8","253","2781","131","10","204","7","-88"
"9","110","2791","89","10","139","8","23"
"10","110","2801","89","10","139","9","23"
"7","292","2811","275","10","249","10","42"
"11","126","2821","274","10","151","11","-120"
"12","126","2831","274","10","151","12","-120"
"13","276","2841","448","10","316","13","-17"
"1","158","2901","-292","11","203","1","-87"
"2","256","3011","-224","11","187","2","123"
"3","144","3031","-65","11","225","3","-80"
"4","149","3111","80","11","214","4","-84"
"5","201","3131","227","11","194","5","112"
"6","161","3141","159","11","111","6","-111"
"7","161","3151","159","11","111","7","-111"
"8","166","3171","307","11","209","8","-80"
"3","364","3211","-185","12","206","1","-106"
"1","160","3221","-304","12","277","2","34"
"2","249","3231","-107","12","275","3","45"
"5","167","3321","31","12","233","4","-46"
"7","174","3381","135","12","130","5","-122"
"8","174","3391","135","12","130","6","-122"
"4","244","3431","127","12","223","7","101"
"6","235","3441","254","12","246","8","-24"
"9","167","3461","303","12","156","9","-114"
"10","167","3471","303","12","156","10","-114"
"11","108","3491","338","12","94","11","152"
"12","108","3501","338","12","94","12","152"
"3","210","3531","-286","13","270","1","-48"
"2","92","3541","-310","13","103","2","144"
"3","228","3551","-152","13","219","3","-90"
"4","94","3561","-148","13","103","4","99"
"5","110","3571","-12","13","71","5","-157"
"1","209","3581","-5","13","274","6","-2"
"6","219","3691","141","13","292","7","-72"
"7","88","3701","146","13","104","8","143"
"8","160","3741","299","13","135","9","131"
"9","160","3751","299","13","135","10","131"
"10","179","3791","301","13","268","11","-82"
"2","197","3801","-470","14","286","1","6"
"3","134","3811","-520","14","89","2","-123"
"1","204","3821","-369","14","236","3","103"
"5","176","3861","-283","14","241","4","-74"
"6","156","3891","-151","14","236","5","-83"
"4","219","3911","-174","14","226","6","108"
"10","107","3921","-51","14","96","7","-130"
"9","179","3931","-5","14","251","8","50"
"11","113","3941","100","14","102","9","-106"
"12","242","3951","268","14","317","10","-41"
"7","209","3961","138","14","240","11","79"
"8","209","3971","138","14","240","12","79"
"14","125","4021","441","14","93","13","-125"
"13","219","4031","485","14","279","14","22"
