9029855558aef591708cf5cd3f4600f27346b46313767ba6b071ad57c286357c,d33c662d9b267ae44dbe6db8d12357f32eb53aa37db10f80997a4b43bb91fbcb,4de172de12563dbafa9a2e299a6737f0be255b2c04a5c73269e87695ed4cebb2,9bda02d4c7f919be1f6e2efb8bd1571038f2ed92fcc97a45df541180163ac0d3,44c1ac02c7798e5fd42c2383e7d5cc249931eafc0feead205010884b840a87b8,fa57daecf5c8b15e71c7fc25c3549fca5fcc14b0f23e4429d929b8358433b63c,5b53e2ac1a163beb68d4e0c87d040ddcce6e735a197737412705a3eae2b0ef8c,840dc26b8c95c9a6cb9f895035a4527311cab48c00ea2073e708c88128ea085e,869e6aa2545447003f2a1f9662491b2d721eb26b559d319bcd9cc28b986b5391,43a6fe554fa00d4e57659107bc09354b45f4c6c5bd35c62d80c65a85dbc78260,6d33e92dfe069040924113cd61943cc787e18f71cf18982d1b20785c658a15f4
"","3","","","0","","","","91","","1030009"
"01_uek_cmn_idol_def_N","3","","0","105931","","1","","3","01_uek_03_kokkoro","1030010"
"0","3","","10","105931","","","","11","ふふ、この先も\nきっと素敵な景色が\n待っているはずです","1030011"
"-120","4","0","100","1","02_uek_cmn_idol_def_N","-30","1.3","1","101131","1040001"
"20","4","1","100","1","02_uek_cmn_idol_def_N","-5","1.3","1","104931","1040002"
"","4","","1","101131","","","","3","02_uek_talk_joy2","1040003"
"0","4","","10","101131","","","","11","マスターセンリも\n一発からです！\n頑張りますよ！","1040004"
"","4","","","0","","","","91","","1040005"
"","4","","1","101131","","","0.2","3","02_uek_cmn_idol_def_N","1040006"
"","4","","1","104931","","","0.2","3","02_uek_04_shizuru","1040007"
"0","4","","10","104931","","","","11","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん","1040008"
"","4","","","0","","","","91","","1040009"
"","4","","1","104931","","","0.2","3","02_uek_cmn_idol_def_N","1040010"
"-70","5","0","100","1","02_uek_cmn_idol_def_N","0","1.3","1","105031","1050001"
"70","5","1","100","1","02_uek_cmn_idol_def_N","1","1.3","1","101631","1050002"
"02_uek_05_misaki_loop","5","","0","105031","","-15","","3","02_uek_05_misaki","1050003"
"02_uek_05_suzuna_loop","5","","0","101631","","0","","3","02_uek_05_suzuna","1050004"
"0","5","","10","105031","","","","11","大人の階段を\n登るわよー！","1050005"
"","5","","","0","","0","","91","","1050006"
"0","5","","10","101631","","","","11","うちもモデルの\nてっぺん目指すし！","1050007"
"120","6","1","100","1","02_uek_cmn_idol_def_N","25","1.3","1","100531","1060001"
"-20","6","0","100","1","02_uek_cmn_idol_def_N","5","1.3","1","103731","1060002"
"","6","","1","100531","","","","3","02_uek_cmn_pose04","1060003"
"0","6","","10","100531","","","","11","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！","1060004"
"","6","","","0","","","","91","","1060005"
"","6","","1","103731","","","0.2","3","02_uek_talk_normal","1060006"
"0","6","","10","103731","","","","11","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ","1060007"
"","6","","","0","","","","91","","1060008"
"","6","","1","103731","","","0.2","3","02_uek_cmn_idol_def_N","1060009"
"-60","7","0","100","1","02_uek_cmn_idol_def_N","-20","1.3","1","103831","1070001"
"","7","","1","103831","","","0.2","3","02_uek_07_shiori","1070002"
"","7","","10","103831","","","","11","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？","1070003"
"90","8","0","100","1","02_uek_08_kuka_loop","40","1.3","1","104531","1080001"
"60","8","","90","2","","1","1","31","2","1080002"
"0","8","","10","104531","","0","","11","あ、足に絡みつく\nツタの感触が\nたまりません～～！","1080003"
"","8","","","0","","","","91","","1080004"
"-195","9","0","100","2","05_idle","-35","0.9","1","105831","1090001"
"150","9","0","1000","2","302102_idle","-30","1.2","1","302102","1090002"
"50","9","","150","102","","1","1","31","15","1090003"
"400","9","","150","103","","1","1","31","16","1090004"
"-160","10","0","100","1","01_uek_cmn_idol_def_N","-25","1.3","1","112531","1100001"
"-40","10","1","100","1","01_uek_cmn_idol_def_N","-5","1.3","1","112431","1100002"
"125","10","1","100","1","01_uek_cmn_idol_def_N","20","1.3","1","112631","1100003"
"","10","","1","112631","","0","","3","01_uek_talk_surprise2","1100004"
"0","10","","10","112631","","0","","11","うっひゃ～…！\n足場が雲になるって\nどういうこと！？","1100005"
"","10","","","0","","","","91","","1100006"
"","10","","1","112631","","0","0.2","3","01_uek_cmn_idol_def_N","1100007"
"","10","","1","112431","","","","3","01_uek_talk_joy1","1100008"
"0","10","","10","112431","","0","","11","なんだか不思議な\n感触してますね～\nふわふわですよ♪","1100009"
"","10","","","0","","","","91","","1100010"
"","10","","1","112431","","","0.2","3","01_uek_cmn_idol_def_N","1100011"
"","10","","1","112531","","","","3","01_uek_talk_normal","1100012"
"0","10","","10","112531","","0","","11","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう","1100013"
"","10","","","0","","","","91","","1100014"
"","10","","1","112531","","","0.2","3","01_uek_cmn_idol_def_N","1100015"
"","10","","","0","","","","91","","1100016"
"-135","11","0","100","1","03_uek_cmn_idol_def_N","-20","1.3","1","104731","1110001"
"100","11","1","100","1","03_uek_cmn_idol_def_N","5","1.3","1","107131","1110002"
"03_uek_11_jun_loop","11","","0","104731","","1","0","3","03_uek_11_jun","1110003"
"03_uek_cmn_idol_def_N","11","0.2","0","107131","","1","0","3","03_uek_11_chris","1110004"
"","11","","10","104731","","0","","11","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！","1110005"
"","11","","","0","","","","91","","1110006"
"0","11","","10","107131","","0","","11","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！","1110007"
"","11","","","1.5","","","","93","","1110008"
"1.5","11","","0","104731","","1","","2","-135","1110009"
"","11","","","1110007","","","","91","","1110010"
"-120","12","0","100","1","03_uek_cmn_idol_def_N","-20","1.3","1","101031","1120001"
"10","12","1","100","1","03_uek_cmn_idol_def_N","-5","1.3","1","101431","1120002"
"","12","","1","101031","","0","","3","03_uek_talk_joy1","1120003"
"0","12","","10","101031","","0","","11","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪","1120004"
"","12","","","0","","","","91","","1120005"
"","12","","1","101031","","0","0.2","3","03_uek_cmn_idol_def_N","1120006"
"","12","","1","101431","","0","","3","03_uek_talk_normal","1120007"
"0","12","","10","101431","","0","","11","いくらなんでも\nそれは難しいんじゃ\nないかな…？","1120008"
"","12","","","0","","","","91","","1120009"
"","12","","1","101431","","0","0.2","3","03_uek_cmn_idol_def_N","1120010"
"-165","13","0","100","1","01_uek_cmn_idol_def_N","-45","1.3","1","105831","1130001"
"-45","13","0","100","1","01_uek_cmn_idol_def_N","-20","1.3","1","105931","1130002"
"120","13","1","100","1","01_uek_cmn_idol_def_N","-5","1.3","1","106031","1130003"
"","13","","1","105931","","1","","3","01_uek_talk_normal","1130004"
"0","13","","10","105931","","0","","11","かなり高くまで\n登ってまいりました\nですが…","1130005"
"","13","","","0","","","","91","","1130006"
"01_uek_cmn_idol_def_N","13","","0","105931","","1","0.2","3","01_uek_13_kokkoro","1130007"
"01_uek_13_kyaru_loop","13","","0","106031","","1","","3","01_uek_13_kyaru","1130008"
"0","13","","10","106031","","0","","11","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！","1130009"
"","13","","","0","","","","91","","1130010"
"","13","","1","105831","","0","","3","01_uek_13_peco_loop","1130011"
"0","13","","10","105831","","0","","11","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆","1130012"
"","13","","","0","","","","91","","1130013"
"-86","14","0","100","1","03_uek_cmn_idol_def_N","-25","1.3","1","104031","1140001"
"250","14","","0","1","","1","1","31","1","1140002"
"03_uek_14_aoi_loop","14","","0","104031","","1","","3","03_uek_14_aoi","1140003"
"0","14","","10","104031","","0","","11","うう、ぼっちへの\n風当たりが\n強すぎませんか！？","1140004"
"-75","15","0","100","1","03_uek_cmn_idol_def_N","-20","1.3","1","100731","1150001"
"65","15","1","100","1","03_uek_15_father","10","1.3","1","103131","1150002"
"","15","","1","100731","","0","","3","03_uek_15_miyako","1150003"
"0","15","","10","100731","","0","","11","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの","1150004"
"","15","","","0","","","","91","","1150005"
"","15","","1","103131","","0","","3","03_uek_15_father","1150006"
"0","15","","10","103131","","0","","11","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！","1150007"
"","15","","","0","","","","91","","1150008"
"","15","","1","103131","","0","","3","03_uek_talk_normal","1150009"
"0","15","","10","103131","","0","","11","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？","1150010"
"","15","","","0","","","","91","","1150011"
"","15","","1","103131","","0","0.2","3","03_uek_cmn_idol_def_N","1150012"
"-110","16","0","100","1","01_uek_cmn_idol_def_N","-45","1.3","1","112431","1160001"
"40","16","1","100","1","01_uek_cmn_idol_def_N","-15","1.3","1","105831","1160002"
"140","16","1","100","1","01_uek_cmn_idol_def_N","10","1.3","1","105931","1160003"
"01_uek_cmn_idol_def_N","16","","0","105931","","0","","3","01_uek_01_kokkoro","1160004"
"01_uek_cmn_idol_def_N","16","","0","112431","","1","","3","01_uek_01_uduki","1160005"
"01_uek_cmn_idol_def_N","16","","0","105831","","1","","3","01_uek_01_peko","1160006"
"","16","","","0","","","","91","","1160007"
"","16","","1","105931","","1","","3","01_uek_talk_normal","1160008"
"0","16","","10","105931","","0","","11","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？","1160009"
"","16","","","0","","","","91","","1160010"
"","16","","1","105931","","1","","3","01_uek_cmn_idol_def_N","1160011"
"","16","","1","112431","","","","3","01_uek_talk_joy1","1160012"
"0","16","","10","112431","","0","","11","はい、平気です！\nとっても楽しくって\nやばいです☆","1160013"
"","16","","","1.5","","","","93","","1160014"
"01_uek_16_uduki_loop","16","","0","112431","","1","0.2","3","01_uek_16_uduki","1160015"
"","16","","","1160013","","","","91","","1160016"
"","16","","1","105831","","","","3","01_uek_talk_joy1","1160017"
"0","16","","10","105831","","0","","11","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆","1160018"
"","16","","","2.2","","","","93","","1160019"
"01_uek_16_uduki_loop","16","","0","105831","","1","0.2","3","01_uek_16_peco","1160020"
"","16","","","1160018","","","","91","","1160021"
"150","17","1","300","1","03_uek_cmn_idol_def_N","10","1.3","1","102331","1170001"
"-100","17","0","100","1","03_uek_cmn_idol_def_N","-15","1.3","1","102131","1170002"
"10","17","","20","3","","1.3","0","31","3","1170003"
"03_uek_17_ayane_loop","17","0.2","0","102331","","1","0.2","3","03_uek_17_ayane","1170004"
"03_uek_cmn_idol_def_N","17","","0","102131","","1","0.2","3","03_uek_cmn_pose05","1170005"
"","17","","","3","","","","32","1","1170006"
"0","17","","10","102331","","0","","11","見て見て！\n雲でぷうきちを\n作ったよー！","1170007"
"","17","","","0","","","","91","","1170008"
"","17","","1","102131","","","0.2","3","03_uek_talk_joy1","1170009"
"0","17","","10","102131","","0","","11","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪","1170010"
"","17","","","0","","","","91","","1170011"
"","17","","1","102131","","","0.2","3","03_uek_cmn_idol_def_N","1170012"
"229","18","0","100","1","01_uek_cmn_idol_def_N","45","1.3","1","112631","1180001"
"170","18","0","110","1","01_uek_cmn_idol_def_N","20","1.3","1","105831","1180002"
"-85","18","0","100","1","01_uek_cmn_idol_def_N","-10","1.3","1","105931","1180003"
"01_uek_18_mio_loop","18","","0","112631","","1","","3","01_uek_18_mio","1180004"
"0","18","","10","112631","","0","","11","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！","1180005"
"","18","","","0","","","","91","","1180006"
"01_uek_18_mio_loop","18","","0","105831","","1","","3","01_uek_18_mio","1180007"
"0","18","","10","105831","","0","","11","そうですね！\nえーと、どれどれ…\nって、わわわわ！","1180008"
"","18","","","3","","","","93","","1180009"
"2","18","","5","105831","","1","","2","170","1180010"
"","18","","","1180008","","","","91","","1180011"
"01_uek_cmn_idol_def_N","18","","0","105931","","1","","3","01_uek_18_kokkoro","1180012"
"0","18","","10","105931","","0","","11","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね","1180013"
"402","19","0","100","1","02_uek_19_hatsune","110","1.3","1","101231","1190001"
"166","19","0","100","1","02_uek_talk_surprise2","30","1.3","1","103831","1190002"
"","19","","1","103831","","0","0.2","3","02_uek_talk_surprise2","1190003"
"0","19","","10","103831","","0","","11","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！","1190004"
"","19","","","0","","","","91","","1190005"
"0","19","","10","101231","","0","","11","しおりんの声が\n聞こえたような…\nすやぁ…☆","1190006"
"-195","20","0","100","2","05_idle","-35","0.9","1","105831","1200001"
"150","20","0","1000","2","304602_idle","30","1.4","1","304602","1200002"
"50","20","","150","102","","1","1","31","17","1200003"
"400","20","","150","103","","1","1","31","18","1200004"
"185","21","0","110","1","01_uek_21_kokkoro_loop","25","1.3","1","105931","1210001"
"65","21","0","120","1","01_uek_21_rin_loop","-5","1.3","1","112531","1210002"
"-140","21","0","100","1","01_uek_cmn_idol_def_N","-35","1.3","1","106031","1210003"
"0","21","","10","105931","","0","","11","風が心地よいですね\n優しく、囁きかけて\nいるように感じます","1210004"
"","21","","","0","","","","91","","1210005"
"0","21","","10","112531","","0","","11","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…","1210006"
"","21","","","0","","","","91","","1210007"
"01_uek_cmn_idol_def_N","21","","0","106031","","1","","3","01_uek_21_kyaru","1210008"
"0","21","","10","106031","","0","","11","…あんたたち\nなんか妙なところで\nシンクロしてるわね","1210009"
"","21","","","0","","","","91","","1210010"
"180","22","0","100","1","01_uek_cmn_idol_def_N","40","1.3","1","105831","1220001"
"250","22","","420","4","","1.3","1","31","4","1220002"
"","22","","1","105831","","","0.2","3","01_uek_cmn_pose03","1220003"
"0","22","","10","105831","","0","","11","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆","1220004"
"","22","","","0","","","","91","","1220005"
"33","23","0","100","1","03_uek_cmn_idol_def_N","5","1.3","1","105231","1230001"
"200","23","0","1010","1","03_uek_23_rin","40","1.3","1","102631","1230002"
"-110","23","0","100","1","03_uek_cmn_idol_def_N","-25","1.3","1","103331","1230003"
"32","23","","220","5","","1","1","31","5","1230004"
"","23","","1","102631","","","0.2","3","03_uek_23_rin","1230005"
"0","23","","10","102631","","0","","11","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～","1230006"
"","23","","","0","","","","91","","1230007"
"45","23","","40","102631","","0","","2","1100","1230008"
"45","23","","32","5","","0","","33","1120","1230009"
"","23","","1","105231","","","0.2","3","03_uek_cmn_pose04","1230010"
"","23","","1","103331","","","0.2","3","03_uek_talk_surprise2","1230011"
"0","23","","10","105231","","0","","11","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！","1230012"
"","23","","","0","","","","91","","1230013"
"0","23","","10","103331","","0","","11","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！","1230014"
"","23","","","0","","","","91","","1230015"
"-240","24","0","10","1","03_uek_24_ayumi","-45","1.3","1","105531","1240001"
"","24","","1","105531","","0","","3","03_uek_24_ayumi","1240002"
"0","24","","10","105531","","0","","11","あっ、あそこに\n先輩がいる\nじーーーー…","1240003"
"175","25","1","100","1","03_uek_cmn_idol_def_N","15","1.3","1","103631","1250001"
"-36","25","0","100","1","03_uek_cmn_idol_def_N","-10","1.3","1","100431","1250002"
"-158","25","0","100","1","03_uek_cmn_idol_def_N","-45","1.3","1","102031","1250003"
"","25","","1","102031","","0","","3","03_uek_cmn_pose06","1250004"
"0","25","","10","102031","","0","","11","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪","1250005"
"","25","","","0","","","","91","","1250006"
"03_uek_25_misogi_loop","25","","0","100431","","1","","3","03_uek_25_misogi","1250007"
"0","25","","10","100431","","0","","11","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！","1250008"
"03_uek_25_kyouka_loop","25","","1","103631","","0","","3","03_uek_25_kyouka","1250009"
"","25","","","0","","","","91","","1250010"
"0","25","","10","103631","","0","","11","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！","1250011"
"","25","","","0","","","","91","","1250012"
"-179","27","0","100","1","01_uek_cmn_idol_def_N","-43","1.3","1","104831","1270001"
"0","27","0","100","1","01_uek_27_tamaki_loop","-14","1.3","1","104631","1270002"
"200","27","1","100","1","01_uek_cmn_idol_def_N","24","1.3","1","103231","1270003"
"0","27","","10","104631","","0","","11","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…","1270004"
"","27","","","0","","","","91","","1270005"
"01_uek_talk_normal","27","","0","104831","","1","","3","01_uek_cmn_pose02","1270006"
"0","27","","10","104831","","0","","11","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ","1270007"
"","27","","","0","","","","91","","1270008"
"","27","","1","104831","","0","0.3","3","01_uek_cmn_idol_def_N","1270009"
"","27","","1","103231","","0","","3","01_uek_27_akino_loop","1270010"
"0","27","","10","103231","","0","","11","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね","1270011"
"0","28","0","110","1","04_uek_cmn_idol_def_N","-10","1.3","1","102931","1280001"
"-120","28","0","120","1","04_uek_cmn_idol_def_N","-30","1.3","1","104231","1280002"
"120","28","0","100","1","04_uek_cmn_idol_def_N","10","1.3","1","105431","1280003"
"10","28","","35","6","","1.3","0","31","6","1280004"
"-10","28","","-85","6","","1.3","0","31","9","1280005"
"30","28","","155","6","","1.3","0","31","10","1280006"
"","28","","1","102931","","","0.2","3","04_uek_28_nozomi","1280007"
"","28","","1","104231","","","0.2","3","04_uek_28_chika","1280008"
"","28","","1","105431","","","0.2","3","04_uek_28_tsumugi","1280009"
"","28","","","6","","","","32","1","1280010"
"","28","","","9","","","","32","1","1280011"
"","28","","","10","","","","32","1","1280012"
"0","28","","10","102931","","0","","11","空の上でも\nカルミナ…\nオンステージ！","1280013"
"","28","","","0","","","","91","","1280014"
"0","28","","10","104231","","0","","11","風が気持ちいい…！\n精霊たちも\n楽しそうです！","1280015"
"","28","","","0","","","","91","","1280016"
"0","28","","10","105431","","0","","11","最っ高ですね！\nアンコールまで\n駆け抜けましょう！","1280017"
"","28","","","0","","","","91","","1280018"
"-40","29","0","100","1","03_uek_cmn_idol_def_N","-10","1.3","1","101531","1290001"
"95","29","1","100","1","03_uek_cmn_idol_def_N","10","1.3","1","101831","1290002"
"","29","","1","101831","","0","","3","03_uek_talk_joy1","1290003"
"0","29","","10","101831","","0","","11","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら","1290004"
"","29","","","0","","","","91","","1290005"
"","29","","1","101831","","0","0.3","3","03_uek_cmn_idol_def_N","1290006"
"","29","","1","101531","","0","0.3","3","03_uek_talk_joy1","1290007"
"0","29","","10","101531","","0","","11","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～","1290008"
"","29","","","0","","","","91","","1290009"
"","29","","1","101531","","0","0.3","3","03_uek_cmn_idol_def_N","1290010"
"-195","30","0","100","2","05_idle","-35","0.9","1","105831","1300001"
"150","30","0","1000","2","307505_idle","-50","1.5","1","307505","1300002"
"50","30","","150","102","","1","1","31","19","1300003"
"400","30","","150","103","","1","1","31","20","1300004"
"307505_idle","30","","0","307505","","1","0","3","307505_awake","1300005"
"140","31","0","110","1","01_uek_cmn_idol_def_N","10","1.3","1","105831","1310001"
"20","31","0","110","1","01_uek_cmn_idol_def_N","0","1.3","1","105931","1310002"
"-200","31","0","110","1","01_uek_26_kyaru_loop","-55","1.3","1","106031","1310003"
"","31","","","1","","","","93","","1310004"
"","31","","","105831","","","","4","1","1310005"
"","31","","1","105831","","","0","3","01_uek_cmn_pose04","1310006"
"","31","","10","105831","","","","11","見てください！\nお星様の世界です！\nすごい景色ですね☆","1310007"
"","31","","","2.3","","","","93","","1310008"
"","31","","0","105831","","0","0.2","3","01_uek_cmn_idol_def_N","1310009"
"","31","","","1310007","","","","91","","1310010"
"","31","","1","105831","","0","0.2","3","01_uek_cmn_idol_def_N","1310011"
"","31","","1","105931","","","","3","01_uek_talk_normal","1310012"
"","31","","10","105931","","","","11","本当に素晴らしい\n場所でございます\n堪能いたしましょう","1310013"
"","31","","","0","","","","91","","1310014"
"","31","","1","105931","","","0.2","3","01_uek_cmn_idol_def_N","1310015"
"","31","","10","106031","","","","11","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！","1310016"
"255","32","1","100","1","02_uek_32_kuka_loop","91","1.3","1","104531","1320001"
"-97","32","0","100","1","02_uek_cmn_idol_def_N","-29","1.3","1","105331","1320002"
"50","32","0","100","1","02_uek_cmn_idol_def_N","0","1.3","1","103031","1320003"
"","32","","0","104531","","0","0.5","3","02_uek_32_kuka","1320004"
"02_uek_talk_surprise2","32","","0","105331","","1","0.5","3","02_uek_cmn_shock_def_N","1320005"
"02_uek_talk_surprise2","32","","0","103031","","1","0.5","3","02_uek_cmn_shock_def_N","1320006"
"","32","","","0","","","","91","","1320007"
"","32","","1","103031","","0","0.5","3","02_uek_talk_surprise2","1320008"
"0","32","","10","103031","","0","","11","せっかく見つけた\nクウカがまた\n飛んでマス！","1320009"
"","32","","","0","","","","91","","1320010"
"","32","","1","105331","","0","0.5","3","02_uek_talk_surprise2","1320011"
"0","32","","10","105331","","0","","11","やっぱりよろこんで\nなかったか！？","1320012"
"0","33","1","100","1","02_uek_cmn_idol_def_N","0","1.3","1","100831","1330001"
"130","33","","-120","7","","1.3","1","31","7","1330002"
"02_uek_33_yuki_loop","33","","0","100831","","1","0.2","3","02_uek_33_yuki","1330003"
"0","33","","10","100831","","0","","11","星の輝きを浴びた\nボクはまた一段と\n美しいね…","1330004"
"","33","","","0","","","","91","","1330005"
"10","34","1","110","1","02_uek_cmn_idol_def_N","0","1.3","1","100931","1340001"
"180","34","1","110","1","02_uek_cmn_idol_def_N","10","1.3","1","101331","1340002"
"","34","","","1","","","","93","","1340003"
"02_uek_cmn_idol_def_N","34","0.2","1","101331","","1","0.2","3","02_uek_cmn_pose01","1340004"
"0","34","","10","101331","","0","","11","ウチュウキター！\nテンション爆上がり\nですしおすし！","1340005"
"","34","","","0","","","","91","","1340006"
"02_uek_34_anna_loop","34","0","0","100931","","1","0.2","3","02_uek_34_anna","1340007"
"0","34","","10","100931","","0","","11","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！","1340008"
"-200","35","1","100","1","01_uek_cmn_idol_def_N","-60","1.3","1","100231","1350001"
"0","35","1","100","1","01_uek_cmn_idol_def_N","10","1.3","1","100331","1350002"
"200","35","1","100","1","01_uek_cmn_idol_def_N","20","1.3","1","100131","1350003"
"270","35","","0","8","","1","1","31","8","1350004"
"01_uek_35_yui_loop","35","0.2","0","100231","","1","0.2","3","01_uek_35_yui","1350005"
"01_uek_35_rei_loop","35","0.2","0","100331","","1","0.2","3","01_uek_35_rei","1350006"
"","35","","1","100131","","","0.2","3","01_uek_cmn_pose03","1350007"
"0","35","","10","100231","","0","","11","見て、流れ星…！\nみんなで願い事を\nしようよ","1350008"
"","35","","","0","","","","91","","1350009"
"0","35","","10","100331","","0","","11","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ","1350010"
"","35","","","0","","","","91","","1350011"
"0","35","","10","100131","","0","","11","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！","1350012"
