1536607a0d1fdf670fb8cf556ca9fab571e90905534df32d53105f1274e83038,5ab474723082a5313d6d4c2bddb57eea6468c5a344b8c040e64d148b6be9b699,320ef441864aa40cd0c3bdb6e59259ab3bdf0d3027d19eb5b94eabcd8588711c,ea302252ff6e6420438d7daafd19d27d94635836dd2a074287c3d74ae5c5bc8f,147a5ab1ffd562d9e5be7c26221b79894746db03583eb7211eed5915034c5ce0,946ac056dc01a37bee96c81c39524fdf651ebb3e78561b9f4c6af21c11981cd5,73a9168ac5d0a17a01524d166074dfbfd2f6eebb9b896427b3dfc246f5b62aae,9d13075fce20cfa951db4cda26ed6f9e7d2ad95190cfc3c38d7562c3966b8922,6da3e1d9005a8d47780a8901f6e847fa3cbb6d91e578a7425f99e1bef4cbbf21,1f366ac12f925cd6270f7598883ba8a6ff3724c9dbca7b920e9897d26c755da1,4f21d26611e4d1ce7dca82c1a39da08ed19858e394d966dc0909ea0d7bd09ae1
"0","","","","","311","103110039","91","","0",""
"1001001","0","1","","0","311","103110040","3","","<weapon>_run",""
"1001002","0","1","","0","311","103110041","3","","<weapon>_run",""
"1001003","0","1","","0","311","103110042","3","","<weapon>_run",""
"1001004","0","1","","0","311","103110043","3","","<weapon>_run",""
"1001005","0","1","","0","311","103110044","3","","<weapon>_run",""
"1001001","","-240","","0","311","103110045","2","","950","3"
"1001002","","-165","","0","311","103110046","2","","880","3"
"1001003","","-255","","0","311","103110047","2","","810","3"
"1001004","","-165","","0","311","103110048","2","","740","3"
"1001005","","-240","","0","311","103110049","2","","670","3"
"1001001","","-240","","0","311","103110050","33","","950","3"
"1001002","","-165","","0","311","103110051","33","","880","3"
"1001003","","-255","","0","311","103110052","33","","810","3"
"1001004","","-165","","0","311","103110053","33","","740","3"
"1001005","","-240","","0","311","103110054","33","","670","3"
"1002001","0","1","","0","311","103110055","3","","<weapon>_run",""
"1002002","0","1","","0","311","103110056","3","","<weapon>_run",""
"1002003","0","1","","0","311","103110057","3","","<weapon>_run",""
"1002004","0","1","","0","311","103110058","3","","<weapon>_run",""
"1002005","0","1","","0","311","103110059","3","","<weapon>_run",""
"1002001","","-60","","0","311","103110060","2","","700","3"
"1002002","","15","","0","311","103110061","2","","630","3"
"1002003","","-75","","0","311","103110062","2","","560","3"
"1002004","","15","","0","311","103110063","2","","490","3"
"1002005","","-60","","0","311","103110064","2","","420","3"
"1002001","","-60","","0","311","103110065","33","","700","3"
"1002002","","15","","0","311","103110066","33","","630","3"
"1002003","","-75","","0","311","103110067","33","","560","3"
"1002004","","15","","0","311","103110068","33","","490","3"
"1002005","","-60","","0","311","103110069","33","","420","3"
"1003001","0","1","","0","311","103110070","3","","<weapon>_run",""
"1003002","0","1","","0","311","103110071","3","","<weapon>_run",""
"1003003","0","1","","0","311","103110072","3","","<weapon>_run",""
"1003004","0","1","","0","311","103110073","3","","<weapon>_run",""
"1003005","0","1","","0","311","103110074","3","","<weapon>_run",""
"1003001","","-250","","0","311","103110075","2","","450","3"
"1003002","","-175","","0","311","103110076","2","","380","3"
"1003003","","-265","","0","311","103110077","2","","310","3"
"1003004","","-175","","0","311","103110078","2","","240","3"
"1003005","","-250","","0","311","103110079","2","","170","3"
"1003001","","-250","","0","311","103110080","33","","450","3"
"1003002","","-175","","0","311","103110081","33","","380","3"
"1003003","","-265","","0","311","103110082","33","","310","3"
"1003004","","-175","","0","311","103110083","33","","240","3"
"1003005","","-250","","0","311","103110084","33","","170","3"
"10020","","","","","311","103110085","32","","1",""
"2.5","","","","","311","103110086","93","","0",""
"10031","","","","","311","103110087","32","","1",""
"0.4","","","","","311","103110088","93","","0",""
"0","","","","","311","103110089","91","","0",""
