e9603e77118c0b79a7012967d62041c33bb1b4318bc0671e3b88d0e0119433c7,06e9044d5be377ff207bdfca0059fcaaacd4489796c83983bb5129d0c5056cf5,e80ce51198f316aa99e9da9c46f7a45ad6048f60c13f9226e8789920ba060f13,d8574f4cdfe675d255c8100f00ac2900d947b5ea21388619820c6f63d63d00af,1fabefb449fbf79542ab0e572e5eb038df1c195e9e0afa9c3fe85e92f70d3baf,ab4f78174691e6bba96ea6303c21b2e8c717108516a4777a6a05a87c1093098a,181b6d97891e79930ac9ddc35958db5332735a5bdd54bed1ae33aeb038e0a8dd,f3718d151c329f93bca87d800a62bc1b58cf1c600f87985e472ae25a6a79df22,2b8abbc4e97b04a962529784b3bc87baf08a5e9bbf6a298d499eaad7de371f40,553fbdf524e62a3e7b6d696627c1a68f9b2fbc696f6886b5ac1a77a1ffbf0e01,382957d59b2ea874d982b33793c2cca78d009c9bd684051e0ba6b1fe72c27e4b
"","21","vo_caravan","0","10201","","","vo_caravan_event_002_000","1102010024","","0"
"","93","1.5","","10201","","","0","1102010025","",""
"","23","se_caravan","","10201","","","se_caravan_dice_get_outro_1","1102010026","","0"
"","21","vo_caravan","0.1","10201","","","vo_caravan_event_002_001","1102010027","","0"
"","3","100","","10201","","0.1","spit_in","1102010028","","0"
"","3","2","","10201","","0","getDice_1","1102010029","","0"
"","3","1","","10201","","0.1","getDice_panic_1","1102010030","","0"
"","93","0.5","","10201","","","0","1102010031","",""
"1","3","100","idle_single","10201","","0","spit_out","1102010032","0","0"
"","93","1.4","","10201","","","0","1102010033","",""
"1","3","100","idle_single","10201","","0.2","joy_single","1102010034","0","0"
"","93","0.1","","10201","","","0","1102010035","",""
"","32","3","","10201","","","1","1102010036","",""
"","93","0.5","","10201","","","0","1102010037","",""
"","21","vo_caravan","0","10201","","","vo_caravan_event_002_002","1102010038","","0"
"","93","1.3","","10201","","","0","1102010039","",""
"","101","1102010041","","10201","","","0","1102010040","",""
"","35","4","","10201","","","1","1102010041","",""
"","32","4","","10201","","","1","1102010042","",""
"","32","20","","10201","","","1","1102010043","",""
"","32","1","","10201","","","0","1102010044","",""
"","93","0.4","","10201","","","0","1102010045","",""
"","92","","","10201","","","","1102010046","",""
"","35","30","","10201","","","1","1102010047","",""
"","32","30","","10201","","","1","1102010048","",""
"","93","0.2","","10201","","","0","1102010049","",""
"0","6","1","1","10201","","0","1","1102010050","0","1"
"0","6","2","1","10201","","0","1","1102010051","0","1"
"0","6","100","1","10201","","0","1","1102010052","0","1"
"","32","0","","10201","","","0","1102010053","",""
"","32","2","","10201","","","0","1102010054","",""
"","32","3","","10201","","","0","1102010055","",""
"","32","4","","10201","","","0","1102010056","",""
"","32","10","","10201","","","0","1102010057","",""
"","93","0.3","","10201","","","0","1102010058","",""
"-325","5","2","-205","10202","empty","0.9","1","1102020001","0","50"
"-325","5","102000","-205","10202","empty","0.9","2","1102020002","0","58"
"-263","5","100","1500","10202","idle_single","0.6","100","1102020003","0","54"
"1","31","102000","0","10202","","0","0","1102020004","","0"
"1","31","102001","-263","10202","","0","1","1102020005","","1500"
"1","31","102002","0","10202","","0","2","1102020006","","0"
"1","31","102003","-136","10202","","0","3","1102020007","","-132"
"1","31","102005","0","10202","","0","4","1102020008","","0"
"1","31","1","0","10202","","0","10","1102020009","","0"
"1","31","2","0","10202","","0","20","1102020010","","0"
"1","31","3","0","10202","","0","30","1102020011","","0"
"","91","0","","10202","","","0","1102020012","",""
"","32","0","","10202","","","1","1102020013","",""
"","32","10","","10202","","","1","1102020014","",""
"","23","se_caravan","","10202","","","se_caravan_dice_get_intro","1102020015","","0"
"","3","1","","10202","","0","getDice_idle","1102020016","","1"
"1","3","100","eat_loop","10202","","0","run_getDice","1102020017","0","0"
"","32","1","","10202","","","1","1102020018","",""
"11","2","100","2","10202","","","344","1102020019","","-263"
"11","33","1","2","10202","","","344","1102020020","","-263"
"","32","2","","10202","","","1","1102020021","",""
"","93","1.7","","10202","","","0","1102020022","",""
"","3","1","","10202","","0.2","getDice_curious","1102020023","0","1"
"","21","vo_caravan","0","10202","","","vo_caravan_event_003_000","1102020024","","0"
"","93","1.5","","10202","","","0","1102020025","",""
"","23","se_caravan","","10202","","","se_caravan_dice_get_outro_2","1102020026","","0"
"","21","vo_caravan","0","10202","","","vo_caravan_event_003_001","1102020027","","0"
"1","3","100","idle_single","10202","","0.1","spit_in","1102020028","0","0"
"","3","2","","10202","","0","getDice_2","1102020029","","0"
"","3","1","","10202","","0.1","getDice_panic_2","1102020030","","0"
"","93","2.5","","10202","","","0","1102020031","",""
"1","3","100","idle_single","10202","","0.2","joy_single","1102020032","0","0"
"","93","0.5","","10202","","","0","1102020033","",""
"","21","vo_caravan","0.1","10202","","","vo_caravan_event_003_002","1102020034","","0"
"","93","0.1","","10202","","","0","1102020035","",""
"","32","3","","10202","","","1","1102020036","",""
"","93","1.6","","10202","","","0","1102020037","",""
"","101","1102020039","","10202","","","0","1102020038","",""
"","35","4","","10202","","","1","1102020039","",""
"","32","4","","10202","","","1","1102020040","",""
"","32","20","","10202","","","1","1102020041","",""
"","32","1","","10202","","","0","1102020042","",""
"","93","0.4","","10202","","","0","1102020043","",""
"","92","","","10202","","","","1102020044","",""
"","35","30","","10202","","","1","1102020045","",""
"","32","30","","10202","","","1","1102020046","",""
"","93","0.2","","10202","","","0","1102020047","",""
"0","6","1","1","10202","","0","1","1102020048","0","1"
"0","6","2","1","10202","","0","1","1102020049","0","1"
"0","6","100","1","10202","","0","1","1102020050","0","1"
"","32","0","","10202","","","0","1102020051","",""
"","32","2","","10202","","","0","1102020052","",""
"","32","3","","10202","","","0","1102020053","",""
"","32","4","","10202","","","0","1102020054","",""
"","32","10","","10202","","","0","1102020055","",""
"","32","20","","10202","","","0","1102020056","",""
"","93","0.3","","10202","","","0","1102020057","",""
"0","5","1","0","10301","magicitem_1","1","1","1103010001","0","20"
"0","5","2","0","10301","magicitem_2","1","2","1103010002","0","19"
"0","5","3","0","10301","magicitem_3","1","3","1103010003","0","18"
"0","5","103000","0","10301","magicitem_kyaru","1","4","1103010004","0","21"
"1","31","103000","0","10301","","0","10","1103010005","","0"
"1","31","103001","0","10301","","0","11","1103010006","","0"
"1","31","103002","0","10301","","0","12","1103010007","","0"
"1","31","103003","0","10301","","0","13","1103010008","","0"
"1","31","103007","0","10301","","0","14","1103010009","","0"
"1","31","103011","0","10301","","0","19","1103010010","","0"
"1","31","1","0","10301","","1","15","1103010011","","0"
"1","31","2","0","10301","","0","16","1103010012","","0"
"1","31","3","0","10301","","0","17","1103010013","","0"
"1","31","4","0","10301","","0","18","1103010014","","0"
"1","35","18","0","10301","","1","0","1103010015","","0"
"","32","18","","10301","","","1","1103010016","",""
"","91","0","","10301","","","0","1103010017","",""
"","32","10","","10301","","","1","1103010018","",""
"","32","11","","10301","","","1","1103010019","",""
"","32","12","","10301","","","1","1103010020","",""
"","32","13","","10301","","","1","1103010021","",""
"","32","19","","10301","","","1","1103010022","",""
"","3","1","","10301","","0","magicitem_1","1103010023","","0"
"","3","2","","10301","","0","magicitem_2","1103010024","","0"
"","3","3","","10301","","0","magicitem_3","1103010025","","0"
"","3","4","","10301","","0","magicitem_kyaru","1103010026","","0"
"","21","vo_caravan","2.17","10301","","","vo_caravan_event_004_000","1103010027","","0"
"","21","vo_caravan","3.2","10301","","","vo_caravan_event_004_001","1103010028","","1"
"","21","vo_caravan","4.9","10301","","","vo_caravan_event_004_002","1103010029","","2"
"","93","7","","10301","","","0","1103010030","",""
"","32","18","","10301","","","0","1103010031","",""
"","93","0.67","","10301","","","0","1103010032","",""
"","101","1103010034","","10301","","","1","1103010033","",""
"","35","14","","10301","","","1","1103010034","",""
"","32","14","","10301","","","1","1103010035","",""
"","32","16","","10301","","","1","1103010036","",""
"","32","19","","10301","","","0","1103010037","",""
"","35","18","","10301","","","1","1103010038","",""
"","93","0.4","","10301","","","0","1103010039","",""
"","92","","","10301","","","","1103010040","",""
"","35","17","","10301","","","1","1103010041","",""
"","32","17","","10301","","","1","1103010042","",""
"","93","0.2","","10301","","","0","1103010043","",""
"0","6","1","0","10301","","0.01","0","1103010044","0","0"
"0","6","2","0","10301","","0.01","0","1103010045","0","0"
"0","6","3","0","10301","","0.01","0","1103010046","0","0"
"0","6","4","0","10301","","0.01","0","1103010047","0","0"
"","32","10","","10301","","","0","1103010048","",""
"","32","11","","10301","","","0","1103010049","",""
"","32","12","","10301","","","0","1103010050","",""
"","32","13","","10301","","","0","1103010051","",""
"","32","14","","10301","","","0","1103010052","",""
"","32","15","","10301","","","0","1103010053","",""
"","32","16","","10301","","","0","1103010054","",""
"","32","18","","10301","","","0","1103010055","",""
"","93","0.3","","10301","","","0","1103010056","",""
"0","5","4","0","10302","magicitem_1","1","1","1103020001","0","20"
"0","5","3","0","10302","magicitem_2","1","2","1103020002","0","19"
"0","5","1","0","10302","magicitem_3","1","3","1103020003","0","18"
"0","5","103000","0","10302","magicitem_pekorine","1","4","1103020004","0","21"
"1","31","103000","0","10302","","0","10","1103020005","","0"
"1","31","103001","0","10302","","0","11","1103020006","","0"
"1","31","103002","0","10302","","0","12","1103020007","","0"
"1","31","103004","9","10302","","0","13","1103020008","","-25"
"1","31","103008","0","10302","","0","14","1103020009","","0"
"1","31","103011","0","10302","","0","19","1103020010","","0"
"1","31","1","0","10302","","1","15","1103020011","","0"
"1","31","2","0","10302","","0","16","1103020012","","0"
"1","31","3","0","10302","","0","17","1103020013","","0"
"1","31","4","0","10302","","0","18","1103020014","","0"
"1","35","18","0","10302","","1","0","1103020015","","0"
"","32","18","","10302","","","1","1103020016","",""
"","91","0","","10302","","","0","1103020017","",""
"","32","10","","10302","","","1","1103020018","",""
"","32","11","","10302","","","1","1103020019","",""
"","32","12","","10302","","","1","1103020020","",""
"","32","13","","10302","","","1","1103020021","",""
"","32","19","","10302","","","1","1103020022","",""
"","3","1","","10302","","0","magicitem_1","1103020023","","0"
"","3","2","","10302","","0","magicitem_2","1103020024","","0"
"","3","3","","10302","","0","magicitem_3","1103020025","","0"
"","3","4","","10302","","0","magicitem_pekorine","1103020026","","0"
"","21","vo_caravan","2.17","10302","","","vo_caravan_event_006_000","1103020027","","0"
"","21","vo_caravan","3.2","10302","","","vo_caravan_event_006_001","1103020028","","1"
"","21","vo_caravan","4.9","10302","","","vo_caravan_event_006_002","1103020029","","2"
"","93","7","","10302","","","0","1103020030","",""
"","32","18","","10302","","","0","1103020031","",""
"","93","0.67","","10302","","","0","1103020032","",""
"","101","1103020034","","10302","","","1","1103020033","",""
"","35","14","","10302","","","1","1103020034","",""
"","32","14","","10302","","","1","1103020035","",""
"","32","16","","10302","","","1","1103020036","",""
"","32","19","","10302","","","0","1103020037","",""
"","35","18","","10302","","","1","1103020038","",""
"","93","0.4","","10302","","","0","1103020039","",""
"","92","","","10302","","","","1103020040","",""
"","35","17","","10302","","","1","1103020041","",""
"","32","17","","10302","","","1","1103020042","",""
"","93","0.2","","10302","","","0","1103020043","",""
"0","6","1","0","10302","","0.01","0","1103020044","0","0"
"0","6","2","0","10302","","0.01","0","1103020045","0","0"
"0","6","3","0","10302","","0.01","0","1103020046","0","0"
"0","6","4","0","10302","","0.01","0","1103020047","0","0"
"","32","10","","10302","","","0","1103020048","",""
"","32","11","","10302","","","0","1103020049","",""
"","32","12","","10302","","","0","1103020050","",""
"","32","13","","10302","","","0","1103020051","",""
"","32","14","","10302","","","0","1103020052","",""
"","32","15","","10302","","","0","1103020053","",""
"","32","16","","10302","","","0","1103020054","",""
"","32","18","","10302","","","0","1103020055","",""
"","93","0.3","","10302","","","0","1103020056","",""
"0","5","3","0","10303","magicitem_1","1","1","1103030001","0","20"
"0","5","1","0","10303","magicitem_2","1","2","1103030002","0","19"
"0","5","2","0","10303","magicitem_3","1","3","1103030003","0","18"
"0","5","103000","0","10303","magicitem_kokkoro","1","4","1103030004","0","21"
"1","31","103000","0","10303","","0","10","1103030005","","0"
"1","31","103001","0","10303","","0","11","1103030006","","0"
"1","31","103002","0","10303","","0","12","1103030007","","0"
"1","31","103005","-35","10303","","0","13","1103030008","","8"
"1","31","103009","0","10303","","0","14","1103030009","","0"
"1","31","103012","0","10303","","0","19","1103030010","","0"
"1","31","1","0","10303","","1","15","1103030011","","0"
"1","31","2","0","10303","","0","16","1103030012","","0"
"1","31","3","0","10303","","0","17","1103030013","","0"
"1","31","4","0","10303","","0","18","1103030014","","0"
"1","35","18","0","10303","","1","0","1103030015","","0"
"","32","18","","10303","","","1","1103030016","",""
"","91","0","","10303","","","0","1103030017","",""
"","32","10","","10303","","","1","1103030018","",""
"","32","11","","10303","","","1","1103030019","",""
"","32","12","","10303","","","1","1103030020","",""
"","32","13","","10303","","","1","1103030021","",""
"","32","19","","10303","","","1","1103030022","",""
"","3","1","","10303","","0","magicitem_1","1103030023","","0"
"","3","2","","10303","","0","magicitem_2","1103030024","","0"
"","3","3","","10303","","0","magicitem_3","1103030025","","0"
"","3","4","","10303","","0","magicitem_kokkoro","1103030026","","0"
"","21","vo_caravan","2.17","10303","","","vo_caravan_event_005_000","1103030027","","0"
"","21","vo_caravan","3.2","10303","","","vo_caravan_event_005_001","1103030028","","1"
"","21","vo_caravan","4.9","10303","","","vo_caravan_event_005_002","1103030029","","2"
"","93","7","","10303","","","0","1103030030","",""
"","32","18","","10303","","","0","1103030031","",""
"","93","0.67","","10303","","","0","1103030032","",""
"","101","1103030034","","10303","","","1","1103030033","",""
"","35","14","","10303","","","1","1103030034","",""
"","32","14","","10303","","","1","1103030035","",""
"","32","16","","10303","","","1","1103030036","",""
"","32","19","","10303","","","0","1103030037","",""
"","35","18","","10303","","","1","1103030038","",""
"","93","0.4","","10303","","","0","1103030039","",""
"","92","","","10303","","","","1103030040","",""
"","35","17","","10303","","","1","1103030041","",""
"","32","17","","10303","","","1","1103030042","",""
"","93","0.2","","10303","","","0","1103030043","",""
"0","6","1","0","10303","","0.01","0","1103030044","0","0"
"0","6","2","0","10303","","0.01","0","1103030045","0","0"
"0","6","3","0","10303","","0.01","0","1103030046","0","0"
"0","6","4","0","10303","","0.01","0","1103030047","0","0"
"","32","10","","10303","","","0","1103030048","",""
"","32","11","","10303","","","0","1103030049","",""
"","32","12","","10303","","","0","1103030050","",""
"","32","13","","10303","","","0","1103030051","",""
"","32","14","","10303","","","0","1103030052","",""
"","32","15","","10303","","","0","1103030053","",""
"","32","16","","10303","","","0","1103030054","",""
"","32","18","","10303","","","0","1103030055","",""
"","93","0.3","","10303","","","0","1103030056","",""
"0","5","1","0","10304","magicitem_1","1","1","1103040001","0","20"
"0","5","2","0","10304","magicitem_2","1","2","1103040002","0","19"
"0","5","4","0","10304","magicitem_3","1","3","1103040003","0","18"
"0","5","103000","0","10304","magicitem_kyaru","1","4","1103040004","0","21"
"1","31","103000","0","10304","","0","10","1103040005","","0"
"1","31","103001","0","10304","","0","11","1103040006","","0"
"1","31","103002","0","10304","","0","12","1103040007","","0"
"1","31","103006","0","10304","","0","13","1103040008","","0"
"1","31","103010","0","10304","","0","14","1103040009","","0"
"1","31","103011","0","10304","","0","19","1103040010","","0"
"1","31","1","0","10304","","1","15","1103040011","","0"
"1","31","2","0","10304","","0","16","1103040012","","0"
"1","31","3","0","10304","","0","17","1103040013","","0"
"1","31","4","0","10304","","0","18","1103040014","","0"
"1","35","18","0","10304","","1","0","1103040015","","0"
"","32","18","","10304","","","1","1103040016","",""
"","91","0","","10304","","","0","1103040017","",""
"","32","10","","10304","","","1","1103040018","",""
"","32","11","","10304","","","1","1103040019","",""
"","32","12","","10304","","","1","1103040020","",""
"","32","13","","10304","","","1","1103040021","",""
"","32","19","","10304","","","1","1103040022","",""
"","3","1","","10304","","0","magicitem_1","1103040023","","0"
"","3","2","","10304","","0","magicitem_2","1103040024","","0"
"","3","3","","10304","","0","magicitem_3","1103040025","","0"
"","3","4","","10304","","0","magicitem_kyaru2","1103040026","","0"
"","21","vo_caravan","2.17","10304","","","vo_caravan_event_007_000","1103040027","","0"
"","21","vo_caravan","3.2","10304","","","vo_caravan_event_007_001","1103040028","","1"
"","21","vo_caravan","4.9","10304","","","vo_caravan_event_007_002","1103040029","","2"
"","93","7","","10304","","","0","1103040030","",""
"","32","18","","10304","","","0","1103040031","",""
"","93","0.67","","10304","","","0","1103040032","",""
"","101","1103040034","","10304","","","1","1103040033","",""
"","35","14","","10304","","","1","1103040034","",""
"","32","14","","10304","","","1","1103040035","",""
"","32","16","","10304","","","1","1103040036","",""
"","32","19","","10304","","","0","1103040037","",""
"","35","18","","10304","","","1","1103040038","",""
"","93","0.4","","10304","","","0","1103040039","",""
"","92","","","10304","","","","1103040040","",""
"","35","17","","10304","","","1","1103040041","",""
"","32","17","","10304","","","1","1103040042","",""
"","93","0.2","","10304","","","0","1103040043","",""
"0","6","1","0","10304","","0.01","0","1103040044","0","0"
"0","6","2","0","10304","","0.01","0","1103040045","0","0"
"0","6","3","0","10304","","0.01","0","1103040046","0","0"
"0","6","4","0","10304","","0.01","0","1103040047","0","0"
"","32","10","","10304","","","0","1103040048","",""
"","32","11","","10304","","","0","1103040049","",""
"","32","12","","10304","","","0","1103040050","",""
"","32","13","","10304","","","0","1103040051","",""
"","32","14","","10304","","","0","1103040052","",""
"","32","15","","10304","","","0","1103040053","",""
"","32","16","","10304","","","0","1103040054","",""
"","32","18","","10304","","","0","1103040055","",""
"","93","0.3","","10304","","","0","1103040056","",""
"-270","5","3","-250","10401","empty","0.95","1","1104010001","0","55"
"-270","5","104000","-250","10401","empty","0.95","2","1104010002","0","57"
"-260","5","5","150","10401","empty","0.95","3","1104010003","0","50"
"-260","5","5","150","10401","empty","0.95","4","1104010004","0","52"
"1","31","104000","0","10401","","0","0","1104010005","","220"
"1","31","104001","0","10401","","0","1","1104010006","","0"
"1","31","104002","-235","10401","","0","2","1104010007","","-225"
"1","31","104003","0","10401","","0","3","1104010008","","0"
"1","31","104004","0","10401","","0","4","1104010009","","0"
"1","31","104006","0","10401","","0","6","1104010010","","400"
"1","31","1","0","10401","","0","10","1104010011","","0"
"1","31","2","0","10401","","0","20","1104010012","","0"
"1","31","3","0","10401","","0","30","1104010013","","0"
"1","31","5","0","10401","","0","50","1104010014","","0"
"","91","0","","10401","","","0","1104010015","",""
"","32","50","","10401","","","1","1104010016","",""
"","32","0","","10401","","","1","1104010017","",""
"","32","10","","10401","","","1","1104010018","",""
"","93","0.5","","10401","","","0","1104010019","",""
"","23","se_caravan","","10401","","","se_caravan_event_kyaru_A","1104010020","","0"
"","21","vo_caravan","0.2","10401","","","vo_caravan_event_98011_000","1104010021","","0"
"","32","6","","10401","","","1","1104010022","",""
"","3","3","","10401","","0","turnSkip_1_karin","1104010023","0","0"
"","3","4","","10401","","0","turnSkip_1_pen","1104010024","0","0"
"","3","1","","10401","","0","turnSkip_1","1104010025","0","0"
"","3","2","","10401","","0","turnSkip_1","1104010026","0","0"
"8","33","0","0.7","10401","","","0","1104010027","","0"
"8","2","3","0.7","10401","","","-250","1104010028","","-260"
"8","2","4","0.7","10401","","","-250","1104010029","","-260"
"8","33","6","0.7","10401","","","0","1104010030","","0"
"","93","4.3","","10401","","","0","1104010031","",""
"","23","se_caravan","","10401","","","se_caravan_event_kyaru_1turn_B","1104010032","","0"
"","21","vo_caravan","0.533","10401","","","vo_caravan_event_98011_001","1104010033","","0"
"","93","0.833","","10401","","","0","1104010034","",""
"","32","3","","10401","","","1","1104010035","",""
"","93","0.3003","","10401","","","0","1104010036","",""
"","32","1","","10401","","","1","1104010037","",""
"","93","1.0337","","10401","","","0","1104010038","",""
"","21","vo_caravan","","10401","","","vo_caravan_event_98011_002","1104010039","","0"
"","32","2","","10401","","","1","1104010040","",""
"","93","0.833","","10401","","","0","1104010041","",""
"","101","1104010043","","10401","","","0","1104010042","",""
"","35","4","","10401","","","1","1104010043","",""
"","32","4","","10401","","","1","1104010044","",""
"","32","20","","10401","","","1","1104010045","",""
"","93","0.4","","10401","","","0","1104010046","",""
"","92","","","10401","","","","1104010047","",""
"","35","30","","10401","","","1","1104010048","",""
"","32","30","","10401","","","1","1104010049","",""
"","93","0.2","","10401","","","0","1104010050","",""
"0","6","1","1","10401","","0","1","1104010051","0","1"
"0","6","2","1","10401","","0","1","1104010052","0","1"
"0","6","3","1","10401","","0","1","1104010053","0","1"
"0","6","4","1","10401","","0","1","1104010054","0","1"
"","32","0","","10401","","","0","1104010055","",""
"","32","1","","10401","","","0","1104010056","",""
"","32","2","","10401","","","0","1104010057","",""
"","32","3","","10401","","","0","1104010058","",""
"","32","4","","10401","","","0","1104010059","",""
"","32","6","","10401","","","0","1104010060","",""
"","32","10","","10401","","","0","1104010061","",""
"","32","20","","10401","","","0","1104010062","",""
"","32","50","","10401","","","0","1104010063","",""
"","93","0.3","","10401","","","0","1104010064","",""
"-270","5","3","-250","10402","empty","0.95","1","1104020001","0","55"
"-270","5","104000","-250","10402","empty","0.95","2","1104020002","0","57"
"-260","5","5","100","10402","empty","0.95","3","1104020003","0","50"
"-260","5","5","100","10402","empty","0.95","4","1104020004","0","52"
"1","31","104000","0","10402","","0","0","1104020005","","220"
"1","31","104001","0","10402","","0","1","1104020006","","0"
"1","31","104002","-245","10402","","0","2","1104020007","","-205"
"1","31","104003","0","10402","","0","3","1104020008","","0"
"1","31","104005","0","10402","","0","5","1104020009","","0"
"1","31","104006","0","10402","","0","6","1104020010","","265"
"1","31","1","0","10402","","0","10","1104020011","","0"
"1","31","2","0","10402","","0","20","1104020012","","0"
"1","31","3","0","10402","","0","30","1104020013","","0"
"1","31","5","0","10402","","0","50","1104020014","","0"
"","91","0","","10402","","","0","1104020015","",""
"","32","50","","10402","","","1","1104020016","",""
"","32","0","","10402","","","1","1104020017","",""
"","32","10","","10402","","","1","1104020018","",""
"","93","0.5","","10402","","","0","1104020019","",""
"","23","se_caravan","","10402","","","se_caravan_event_kyaru_A","1104020020","","0"
"","21","vo_caravan","0.2","10402","","","vo_caravan_event_98012_000","1104020021","","0"
"","32","6","","10402","","","1","1104020022","",""
"","3","3","","10402","","0","turnSkip_2_karin","1104020023","0","0"
"","3","4","","10402","","0","turnSkip_2_pen","1104020024","0","0"
"","3","1","","10402","","0","turnSkip_2","1104020025","0","0"
"","3","2","","10402","","0","turnSkip_2","1104020026","0","0"
"8","33","0","0.7","10402","","","0","1104020027","","0"
"8","2","3","0.7","10402","","","-250","1104020028","","-260"
"8","2","4","0.7","10402","","","-250","1104020029","","-260"
"8","33","6","0.7","10402","","","0","1104020030","","0"
"","93","4.3","","10402","","","0","1104020031","",""
"","23","se_caravan","","10402","","","se_caravan_event_kyaru_2turn_B","1104020032","","0"
"","21","vo_caravan","0.63","10402","","","vo_caravan_event_98012_001","1104020033","","0"
"","21","vo_caravan","2.2","10402","","","vo_caravan_event_98012_002","1104020034","","0"
"","93","2.5","","10402","","","0","1104020035","",""
"","32","3","","10402","","","1","1104020036","",""
"","93","0.3","","10402","","","0","1104020037","",""
"","32","1","","10402","","","1","1104020038","",""
"","93","1.067","","10402","","","0","1104020039","",""
"","21","vo_caravan","","10402","","","vo_caravan_event_98012_003","1104020040","","0"
"","32","2","","10402","","","1","1104020041","",""
"","93","0.933","","10402","","","0","1104020042","",""
"","101","1104020044","","10402","","","0","1104020043","",""
"","35","5","","10402","","","1","1104020044","",""
"","32","5","","10402","","","1","1104020045","",""
"","32","20","","10402","","","1","1104020046","",""
"","93","0.4","","10402","","","0","1104020047","",""
"","92","","","10402","","","","1104020048","",""
