0a97798ed9ca0e9706a5fd3ff475afcda0bc12a3a61e7b9c1c1d3f781bc4b512,a906406d695f996940382b8b4bf065d444f3baffc3fae29bf5770d95ddacaacc,12cda3b652e98faba888d662c70efb9692fedff213eff69cd99d8a5667e9ad1f,d68430f31e530b4c6783de6ca5e97e581ae258d4db1cf990d60ed3593d032c58,84d4d8113d5ad934ffde555d8057f05a08259c7e62415f49e2896a15928a05aa,258ac719b67443b7a163055ba546a297ba4b8527d864644ad3d2e37f065caa13,d5a53a969e928e38c83ae9086e54a11e05b68a1295aa7ddb9b98c8ecf1c3f235,3de4ef021495f141882ed5d9ae69441e74471c888ffb50606cb5c1d2b7ea25c8,587e3b2acc97ac83fd2a0f42e937919e133134fc6d92d2c9a1dd226b799aaf85,bdd5280b2fda127f0a98cdfb8a3ed0be7e4b1ac9230efb6ed68d24c87001cf43,f5e27528355b9e90e868de7f6f386a5d91eb49c25c82f42f635356c472a6466f
"","1","","0","91","","","","","","1020"
"","1","psy_fairy_idle","2","3","0.2","","","","1","1021"
"","1","psy_miyako_talk2","119931","3","0.2","","","","1","1022"
"","1","vo_minigame_1008_drama_0102","vo_minigame_1008","21","","","","0","0","1023"
"0","1","オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","119931","11","0","0.5","0","1","5","1024"
"","1","1","2","93","","","","","","1025"
"","1","psy_miyako_talk_joy2","119931","3","0.2","","","","1","1026"
"","1","","1024","91","","","","","","1027"
"","1","0","0","22","","","","","","1028"
"","1","psy_miyako_idle","119931","3","0.2","","","","1","1029"
"","1","1","2","4","","","","","","1030"
"1","1","psy_fairy_run_in","2","3","0.2","","0","psy_fairy_run","0","1031"
"","1","","1.3","93","","","","","","1032"
"0","1","1000","2","2","","","","1","-220","1033"
"","1","","2","93","","","","","","1034"
"1","1","psy_miyako_doya_in","119931","3","0.2","","0.2","psy_miyako_doya_loop","0","1035"
"","1","vo_minigame_1008_drama_0103","vo_minigame_1008","21","","","","0","0","1036"
"0","1","オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","119931","11","0","0.5","0","1","6","1037"
"","1","","0","91","","","","","","1038"
"","1","0","0","22","","","","","","1039"
"0","1","11","1","12","0","0","0","0","1","1040"
"1","1","psy_item00_talk_guts","1","3","0.2","","0.2","psy_item00_idle_guts","0","1041"
"","1","","2","93","","","","","","1042"
"","1","psy_miyako_talk_joy2","119931","3","0.2","","","","1","1043"
"","1","vo_minigame_1008_drama_0104","vo_minigame_1008","21","","","","0","0","1044"
"0","1","みんなみんな\nおいしいプリンにしてやるの～♪","119931","11","0","0.5","0","1","5","1045"
"","1","1","4","93","","","","","","1046"
"1","1","psy_miyako_fight_in","119931","3","0.2","","0.2","psy_miyako_fight_loop","0","1047"
"1","1","psy_item00_handsup","1","3","0.2","","0.2","psy_item00_handsup_loop","0","1048"
"","1","","1.5","93","","","","","","1049"
"","1","","1045","91","","","","","","1050"
"","1","0","0","22","","","","","","1051"
"-200","2","119931","1","1","1.7","psy_miyako_start","0","-300","100","2001"
"-220","2","106011","1","1","1.7","psy_walk","1","300","100","2002"
"1","2","11","1","31","1","","","0","0","2003"
"-200","2","1","1","5","1.7","psy_smoke_start","0","-300","101","2004"
"0","2","185","106011","2","","","","2","-220","2005"
"","2","","2","93","","","","","","2006"
"1","2","psy_kyaru_talk_arm_crossed","106011","3","0.2","","0","psy_kyaru_talk_arm_crossed_loop","0","2007"
"","2","vo_minigame_1008_drama_0305","vo_minigame_1008","21","","","","0","0","2008"
"0","2","ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","106011","11","0","0.5","0","1","8","2009"
"","2","","0","91","","","","","","2010"
"","2","vo_minigame_1008_drama_0306","vo_minigame_1008","21","","","","0","0","2011"
"","2","psy_talk_sad","106011","3","0.2","","","","1","2012"
"0","2","って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","106011","11","0","0.5","0","1","8","2013"
"","2","1","4","93","","","","","","2014"
"","2","psy_talk_sad","106011","3","0.2","","","","1","2015"
"","2","","2013","91","","","","","","2016"
"","2","psy_idle_sad","106011","3","0.2","","","","1","2017"
"1","2","psy_miyako_appear","119931","3","0.2","","0.2","psy_miyako_thinking4","0","2018"
"0","2","psy_smoke_appear","1","3","0","","0","psy_smoke_start","0","2019"
"","2","vo_minigame_1008_drama_0301","vo_minigame_1008","21","","","","0","0","2020"
"0","2","プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……","119931","11","0","1","0","1","4","2021"
"","2","1","1","93","","","","","","2022"
"1","2","psy_surprise","106011","3","0.2","","0.2","psy_idle_surprise2","0","2023"
"","2","","2021","91","","","","","","2024"
"","2","0","0","22","","","","","","2025"
"","2","psy_miyako_idle_thinking","119931","3","0.2","","","","1","2026"
"","2","psy_talk_surprise2","106011","3","0.2","","","","1","2027"
"","2","vo_minigame_1008_drama_0307","vo_minigame_1008","21","","","","0","0","2028"
"0","2","キャッ！？\nいきなり出てきてなんなのよあんた！","106011","11","0","0.5","0","1","8","2029"
"","2","","0","91","","","","","","2030"
"","2","psy_idle_surprise2","106011","3","0.2","","","","1","2031"
"","2","psy_miyako_anger1","119931","3","0.2","","","","1","2032"
"","2","vo_minigame_1008_drama_0302","vo_minigame_1008","21","","","","0","0","2033"
"0","2","オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……","119931","11","0","1","0","1","5","2034"
"","2","1","8","93","","","","","","2035"
"","2","psy_miyako_thinking2","119931","3","0.2","","","","1","2036"
"","2","","2034","91","","","","","","2037"
"","2","0","0","22","","","","","","2038"
"","2","psy_talk_sad","106011","3","0.2","","","","1","2039"
"","2","vo_minigame_1008_drama_0308","vo_minigame_1008","21","","","","0","0","2040"
"0","2","な、何よ……","106011","11","0","0.5","0","1","8","2041"
"","2","","0","91","","","","","","2042"
"","2","psy_idle_sad","106011","3","0.2","","","","1","2043"
"","2","psy_miyako_run","119931","3","0.2","","","","1","2044"
"0","2","0","119931","2","","","","2","-200","2045"
"","2","","2","93","","","","","","2046"
"","2","psy_miyako_thinking2","119931","3","0.2","","","","1","2047"
"","2","vo_minigame_1008_drama_0303","vo_minigame_1008","21","","","","0","0","2048"
"0","2","むむむむむ……\nオマエ、なんかおいしそうなの……","119931","11","0","1","0","1","6","2049"
"","2","","0","91","","","","","","2050"
"","2","0","0","22","","","","","","2051"
"","2","","0.5","93","","","","","","2052"
"","2","psy_talk_sad","106011","3","0.2","","","","1","2053"
"","2","vo_minigame_1008_drama_0309","vo_minigame_1008","21","","","","0","0","2054"
"0","2","はぁ～？","106011","11","0","0.5","0","1","8","2055"
"","2","","0","91","","","","","","2056"
"","2","psy_idle_sad","106011","3","0.2","","","","1","2057"
"","2","vo_minigame_1008_drama_0304","vo_minigame_1008","21","","","","0","0","2058"
"0","2","オマエをプリンにしてやるの～～！！","119931","11","0","0.5","0","1","6","2059"
"","2","1","0.5","93","","","","","","2060"
"1","2","psy_miyako_attack_in","119931","3","0.2","","0","psy_miyako_attack_loop","0","2061"
"","2","1","0.2","93","","","","","","2062"
"1","2","psy_surprise","106011","3","0.2","","0.2","psy_idle_surprise2","0","2063"
"","2","","2059","91","","","","","","2064"
"","2","0","0","22","","","","","","2065"
"","2","psy_talk_surprise2","106011","3","0.2","","","","1","2066"
"","2","vo_minigame_1008_drama_0310","vo_minigame_1008","21","","","","0","0","2067"
"0","2","な、なんなのよこの店～～！！","106011","11","0","0.5","0","1","8","2068"
"","2","","0","91","","","","","","2069"
"","2","0","106011","4","","","","","","2070"
"","2","psy_run_shy","106011","3","0.2","","","","1","2071"
"","2","psy_miyako_attack_loop_move","119931","3","0.2","","","","1","2072"
"0","2","1000","106011","2","","","","3","-220","2073"
"0","2","1000","119931","2","","","","5","-220","2074"
"","2","","3.5","93","","","","","","2075"
"","2","0","0","22","","","","","","2076"
"","2","","0","91","","","","","","2077"
"-150","3","119931","1","1","1.65","psy_miyako_gasagoso_B","1","-250","100","3001"
"-180","3","105511","1","1","1.7","psy_walk","1","340","100","3002"
"1","3","11","1","31","1","","","0","0","3003"
"-220","3","1","1","5","1.7","psy_smoke_start","0","-300","101","3004"
"0","3","225","105511","2","","","","2","-180","3005"
"","3","","2","93","","","","","","3006"
"","3","psy_talk_wish","105511","3","0.2","","","","1","3007"
"","3","vo_minigame_1008_drama_0203","vo_minigame_1008","21","","","","0","0","3008"
"0","3","こ、ここで先輩が働いてるんですよね？","105511","11","0","0.5","0","1","8","3009"
"","3","","0","91","","","","","","3010"
"1","3","psy_ayumi_kyoro_in","105511","3","0.2","","0","psy_ayumi_kyoro_loop","0","3011"
"","3","","1.8","93","","","","","","3012"
"","3","psy_talk_joy1","105511","3","0.2","","","","1","3013"
"","3","vo_minigame_1008_drama_0204","vo_minigame_1008","21","","","","0","0","3014"
"0","3","わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？","105511","11","0","0.5","0","1","8","3015"
"","3","","0","91","","","","","","3016"
"","3","psy_talk_call","105511","3","0.2","","","","1","3017"
"","3","vo_minigame_1008_drama_0205","vo_minigame_1008","21","","","","0","0","3018"
"0","3","あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？","105511","11","0","0.5","0","1","8","3019"
"","3","1","3","93","","","","","","3020"
"0","3","5","119931","12","0","0","0","1","0.8","3021"
"","3","0","119931","4","","","","","","3022"
"","3","psy_miyako_idle_thinking","119931","3","0","","","","1","3023"
"","3","1","1.5","93","","","","","","3024"
"","3","1","119931","4","","","","","","3025"
"","3","psy_miyako_gasagoso_B","119931","3","0","","","","1","3026"
"","3","1","0.5","93","","","","","","3027"
"","3","psy_talk_sad","105511","3","0.2","","","","1","3028"
"","3","","3019","91","","","","","","3029"
"","3","psy_talk_wish","105511","3","0.2","","","","1","3030"
"","3","vo_minigame_1008_drama_0206","vo_minigame_1008","21","","","","0","0","3031"
"0","3","と、とりあえずお金はおいておきますね\n失礼します！","105511","11","0","0.5","0","1","8","3032"
"","3","1","2","93","","","","","","3033"
"","3","psy_gasagoso_B2","105511","3","0.2","","","","1","3034"
"","3","1","1","93","","","","","","3035"
"1","3","psy_pekori","105511","3","0.2","","0.2","psy_idle_normal","0","3036"
"","3","","3032","91","","","","","","3037"
"","3","0","105511","4","","","","","","3038"
"","3","psy_run","105511","3","0.2","","","","1","3039"
"0","3","1000","105511","2","","","","3","-180","3040"
"","3","","3","93","","","","","","3041"
"","3","","0.5","93","","","","","","3042"
"","3","psy_miyako_idle_thinking","119931","3","0","","","","1","3043"
"","3","","2","93","","","","","","3044"
"","3","0","119931","4","","","","","","3045"
"","3","psy_miyako_run","119931","3","0.2","","","","1","3046"
"0","3","0","119931","2","","","","2","-165","3047"
"","3","","2","93","","","","","","3048"
"","3","psy_miyako_thinking4","119931","3","0.2","","","","1","3049"
"","3","vo_minigame_1008_drama_0201","vo_minigame_1008","21","","","","0","0","3050"
"0","3","……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？","119931","11","0","0.5","0","1","5","3051"
"","3","1","4","93","","","","","","3052"
"","3","psy_miyako_panic1","119931","3","0.2","","","","1","3053"
"","3","","3051","91","","","","","","3054"
"","3","0","0","22","","","","","","3055"
"1","3","psy_miyako_surprise2_in","119931","3","0.2","","0","psy_miyako_surprise2_loop","0","3056"
"","3","vo_minigame_1008_drama_0202","vo_minigame_1008","21","","","","0","0","3057"
"0","3","……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？","119931","11","0","1","0","1","5","3058"
"","3","1","4","93","","","","","","3059"
"","3","psy_miyako_thinking4","119931","3","0.2","","","","1","3060"
"","3","","3058","91","","","","","","3061"
"","3","0","0","22","","","","","","3062"
"","3","","1","93","","","","","","3063"
"","3","","0","91","","","","","","3064"
"-200","4","119931","1","1","1.7","psy_miyako_start","0","-300","100","4001"
"-220","4","107131","1","1","1.7","psy_walk","1","300","100","4002"
"1","4","11","1","31","1","","","0","0","4003"
"-200","4","1","1","5","1.7","psy_smoke_start","0","-300","101","4004"
"0","4","185","107131","2","","","","2","-220","4005"
"","4","","2","93","","","","","","4006"
"1","4","psy_talk_doya","107131","3","0.2","","0.2","psy_talk_doya_loop","0","4007"
"","4","vo_minigame_1008_drama_0405","vo_minigame_1008","21","","","","0","0","4008"
"0","4","この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆","107131","11","0","0.5","0","1","8","4009"
"","4","","0","91","","","","","","4010"
"","4","psy_idle_doya","107131","3","0.2","","","","1","4011"
"","4","psy_talk_sad","107131","3","0.2","","","","1","4012"
"","4","vo_minigame_1008_drama_0406","vo_minigame_1008","21","","","","0","0","4013"
"0","4","……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。","107131","11","0","0.5","0","1","8","4014"
"","4","1","6","93","","","","","","4015"
"","4","psy_talk_call","107131","3","0.2","","","","1","4016"
"","4","","4014","91","","","","","","4017"
"","4","psy_idle_arm_crossed","107131","3","0.2","","","","1","4018"
"1","4","psy_miyako_appear","119931","3","0","","0.2","psy_miyako_talk_joy1","0","4019"
"0","4","psy_smoke_appear","1","3","0","","0","psy_smoke_start","0","4020"
"","4","vo_minigame_1008_drama_0401","vo_minigame_1008","21","","","","0","0","4021"
"0","4","あ！　オマエ！\n大きいプリンくれたヤツなの！\nまたミヤコにプリンを持ってきたの？","119931","11","0","0.5","0","1","6","4022"
"","4","","0","91","","","","","","4023"
"","4","0","0","22","","","","","","4024"
"","4","psy_miyako_idle","119931","3","0.2","","","","1","4025"
"","4","psy_talk_normal","107131","3","0.2","","","","1","4026"
"","4","vo_minigame_1008_drama_0407","vo_minigame_1008","21","","","","0","0","4027"
"0","4","おまえは……ああ、いつぞやの\nクリスマスで会ったことがあったな。\n今日はサンタとしてではなく\n客として来たのだ。","107131","11","0","0.5","0","1","8","4028"
"","4","","0","91","","","","","","4029"
"","4","psy_idle_normal","107131","3","0.2","","","","1","4030"
"","4","psy_miyako_sad1","119931","3","0.2","","","","1","4031"
"","4","vo_minigame_1008_drama_0402","vo_minigame_1008","21","","","","0","0","4032"
"0","4","プリンをくれないオマエに用はないの。\nおばあちゃんも留守だし、\nおとといきやがれなの。","119931","11","0","0.5","0","1","6","4033"
"","4","1","5","93","","","","","","4034"
"","4","psy_miyako_talk4","119931","3","0.2","","","","1","4035"
"","4","","4033","91","","","","","","4036"
"","4","0","0","22","","","","","","4037"
"","4","psy_miyako_idle2","119931","3","0.2","","","","1","4038"
"1","4","psy_ahaha_in","107131","3","0.2","","0.2","psy_ahaha_loop","0","4039"
"","4","vo_minigame_1008_drama_0408","vo_minigame_1008","21","","","","0","0","4040"
"0","4","はっはっは！\nこのクリスティーナさんに向かって\nずいぶんな物言いだな。おもしろい☆","107131","11","0","0.5","0","1","8","4041"
"","4","1","1.7","93","","","","","","4042"
"","4","psy_talk_joy1","107131","3","0.2","","","","1","4043"
"","4","","4041","91","","","","","","4044"
"1","4","psy_talk_doya","107131","3","0.2","","0.2","psy_talk_doya_loop","0","4045"
"","4","vo_minigame_1008_drama_0409","vo_minigame_1008","21","","","","0","0","4046"
"0","4","なんとしてもおまえからお菓子を\n買わせてもらおう。","107131","11","0","0.5","0","1","8","4047"
"","4","","0","91","","","","","","4048"
"","4","psy_idle_wish","107131","3","0.2","","","","1","4049"
"","4","psy_miyako_panic1","119931","3","0.2","","","","1","4050"
"","4","vo_minigame_1008_drama_0403","vo_minigame_1008","21","","","","0","0","4051"
"0","4","なんでそうなるの！？\nいいから帰れなの！","119931","11","0","0.5","0","1","6","4052"
"","4","","0","91","","","","","","4053"
"","4","0","0","22","","","","","","4054"
"","4","psy_miyako_idle_panic","119931","3","0.2","","","","1","4055"
"1","4","psy_cris_approach_in","107131","3","0.2","","0","psy_cris_approach_loop","0","4056"
"","4","vo_minigame_1008_drama_0410","vo_minigame_1008","21","","","","0","0","4057"
"0","4","ほぅ、作りかけのプリンが\nあるではないか。\nうーむ……手作りの差し入れというのも\n喜ばれそうだな。","107131","11","0","0.5","0","1","8","4058"
"","4","1","4","93","","","","","","4059"
"1","4","psy_talk_arm_crossed","107131","3","0.2","","0","psy_talk_arm_crossed_loop","0","4060"
"","4","","4058","91","","","","","","4061"
"","4","psy_talk_joy1","107131","3","0.2","","","","1","4062"
"","4","vo_minigame_1008_drama_0411","vo_minigame_1008","21","","","","0","0","4063"
"0","4","よし！　ワタシがプリンを作ろう！\nおまえも手伝え。\nクリスマスの貸しを返してもらおう。","107131","11","0","0.5","0","1","8","4064"
"","4","","0","91","","","","","","4065"
"","4","psy_idle_joy1","107131","3","0.2","","","","1","4066"
"","4","psy_miyako_anger2","119931","3","0.2","","","","1","4067"
"","4","vo_minigame_1008_drama_0404","vo_minigame_1008","21","","","","0","0","4068"
"0","4","な、なんでそうなるのーー！？","119931","11","0","0.5","0","1","6","4069"
"","4","","4","93","","","","","","4070"
"","4","","0","91","","","","","","4071"
"-200","5","119931","1","1","1.7","psy_miyako_start","0","-300","100","5001"
"-220","5","104931","1","1","1.7","psy_walk","1","300","100","5002"
"1","5","11","1","31","1","","","0","0","5003"
"-200","5","1","1","5","1.7","psy_smoke_start","0","-300","101","5004"
"0","5","185","104931","2","","","","2","-220","5005"
"","5","","2","93","","","","","","5006"
"","5","psy_talk_wish","104931","3","0.2","","","","1","5007"
"","5","vo_minigame_1008_drama_0504","vo_minigame_1008","21","","","","0","0","5008"
"0","5","ここが弟くんとリノちゃんが\n手伝ってるっていうお菓子屋さんだね！\n弟くん！　お姉ちゃんが来たよ！！","104931","11","0","0.5","0","1","8","5009"
"","5","1","4.3","93","","","","","","5010"
"","5","psy_talk_joy1","104931","3","0.2","","","","1","5011"
"","5","","5009","91","","","","","","5012"
"","5","psy_idle_joy1","104931","3","0.2","","","","1","5013"
"1","5","psy_miyako_appear","119931","3","0","","0.2","psy_miyako_talk3","0","5014"
"0","5","psy_smoke_appear","1","3","0","","0","psy_smoke_start","0","5015"
"","5","vo_minigame_1008_drama_0501","vo_minigame_1008","21","","","","0","0","5016"
"0","5","うるさいの。\nいきなりなんなの？","119931","11","0","0.5","0","1","6","5017"
"","5","","0","91","","","","","","5018"
"","5","0","0","22","","","","","","5019"
"","5","psy_miyako_idle","119931","3","0.2","","","","1","5020"
"","5","psy_talk_joy1","104931","3","0.2","","","","1","5021"
"","5","vo_minigame_1008_drama_0505","vo_minigame_1008","21","","","","0","0","5022"
"0","5","あっ！　ミヤコちゃんだよね？\nリノちゃんから聞いてるよ！\n初めまして弟くんのお姉ちゃんだよ！","104931","11","0","0.5","0","1","8","5023"
"","5","","4","93","","","","","","5024"
"","5","psy_talk_wish","104931","3","0.2","","","","1","5025"
"","5","","5023","91","","","","","","5026"
"","5","","0","91","","","","","","5027"
"","5","psy_idle_wish","104931","3","0.2","","","","1","5028"
"","5","psy_miyako_anger3","119931","3","0.2","","","","1","5029"
"","5","vo_minigame_1008_drama_0502","vo_minigame_1008","21","","","","0","0","5030"
"0","5","オマエがアイツのお姉ちゃんか\nどうかなんてどうでもいいの。\nミヤコはプリン作りに忙しいの。","119931","11","0","0.5","0","1","6","5031"
"","5","1","5","93","","","","","","5032"
"1]","5","psy_miyako_arm_crossed_in","119931","3","0.2","","0","psy_miyako_arm_crossed_loop","0","5033"
"","5","","5031","91","","","","","","5034"
"","5","0","0","22","","","","","","5035"
"","5","psy_miyako_arm_crossed_idle","119931","3","0.2","","","","1","5036"
"","5","psy_talk_wish","104931","3","0.2","","","","1","5037"
"","5","vo_minigame_1008_drama_0506","vo_minigame_1008","21","","","","0","0","5038"
"0","5","どうでもいいって反応は初めてで\nお姉ちゃんそれはそれで\n傷ついちゃうな！\n愛の反対は無関心っていうし！","104931","11","0","0.5","0","1","8","5039"
"","5","","0","91","","","","","","5040"
"","5","psy_talk_joy2","104931","3","0.2","","","","1","5041"
"","5","vo_minigame_1008_drama_0507","vo_minigame_1008","21","","","","0","0","5042"
"0","5","よーし！\n今からミヤコちゃんに\n弟くんとお姉ちゃんの愛と運命の物語を\nお届けしちゃうよ！","104931","11","0","0.5","0","1","8","5043"
"","5","","0","91","","","","","","5044"
"","5","psy_talk_memory","104931","3","0.2","","","","1","5045"
"","5","vo_minigame_1008_drama_0508","vo_minigame_1008","21","","","","0","0","5046"
"0","5","まずはそう、運命の出会いから……","104931","11","0","0.5","0","1","8","5047"
"","5","","0","91","","","","","","5048"
"","5","psy_idle_memory","104931","3","0.2","","","","1","5049"
"","5","psy_miyako_sad1","119931","3","0.2","","","","1","5050"
"","5","vo_minigame_1008_drama_0503","vo_minigame_1008","21","","","","0","0","5051"
"0","5","（なんか始まったの……\nめんどくさいからミヤコは消えるの……）","119931","11","0","0.5","0","1","6","5052"
"","5","","0","91","","","","","","5053"
"","5","0","0","22","","","","","","5054"
"","5","psy_miyako_hide","119931","3","0.2","","","","0","5055"
"0","5","psy_smoke_hide","1","3","0","","0","psy_smoke_start","0","5056"
"","5","","2","93","","","","","","5057"
"","5","","0","91","","","","","","5058"
"-200","6","119931","1","1","1.7","psy_miyako_idle_thinking","1","-300","100","6001"
"-220","6","103131","1","1","1.7","psy_walk","1","300","100","6002"
"1","6","11","1","31","1","","","0","0","6003"
"0","6","17","119931","12","0","0","0","0","2","6004"
"0","6","185","103131","2","","","","2","-220","6005"
"","6","","2","93","","","","","","6006"
"","6","psy_talk_wish","103131","3","0.2","","","","1","6007"
"","6","vo_minigame_1008_drama_0605","vo_minigame_1008","21","","","","0","0","6008"
"0","6","こんにちは。\nミヤコさんがお菓子屋のお手伝いを\nしていると聞いたので、\n様子を見に来ました。","103131","11","0","0.5","0","1","8","6009"
"","6","","0","91","","","","","","6010"
"","6","psy_idle_wish","103131","3","0.2","","","","1","6011"
"","6","0","119931","4","","","","","","6012"
"1","6","psy_miyako_surprise2_in","119931","3","0.2","","0.2","psy_miyako_talk_joy2","0","6013"
"","6","","1","93","","","","","","6014"
"","6","vo_minigame_1008_drama_0601","vo_minigame_1008","21","","","","0","0","6015"
"0","6","シノブ！　いいところに来たの！\nミヤコちょっと困ってるの！","119931","11","0","0.5","0","1","6","6016"
"","6","1","3","93","","","","","","6017"
"","6","psy_miyako_talk2","119931","3","0.2","","","","1","6018"
"","6","","6016","91","","","","","","6019"
"","6","0","0","22","","","","","","6020"
"","6","psy_miyako_idle_sad","119931","3","0.2","","","","1","6021"
"","6","psy_talk_sad","103131","3","0.2","","","","1","6022"
"","6","vo_minigame_1008_drama_0606","vo_minigame_1008","21","","","","0","0","6023"
"0","6","どうしたんですか？\nあ、まさか売り物のプリンを\n食べてしまったんですか？\nそれなら一緒に謝りましょう。","103131","11","0","0.5","0","1","8","6024"
"","6","","0","91","","","","","","6025"
"","6","psy_idle_sad","103131","3","0.2","","","","1","6026"
"","6","psy_miyako_panic3","119931","3","0.2","","","","1","6027"
"","6","vo_minigame_1008_drama_0602","vo_minigame_1008","21","","","","0","0","6028"
"0","6","違うの！　ミヤコは今究極のプリンを\n作ろうとしてるの！\nでも、いいアイデアが\n浮かばなくなっちゃったの……","119931","11","0","0.5","0","1","5","6029"
"","6","1","5.5","93","","","","","","6030"
"","6","psy_miyako_sad2","119931","3","0.2","","","","1","6031"
"","6","","6029","91","","","","","","6032"
"","6","0","0","22","","","","","","6033"
"","6","psy_miyako_idle_sad","119931","3","0.2","","","","1","6034"
"1","6","psy_surprise","103131","3","0.2","","0.2","psy_talk_surprise1","0","6035"
"","6","vo_minigame_1008_drama_0607","vo_minigame_1008","21","","","","0","0","6036"
"0","6","ミヤコさんが……自分で……\nプリンを……","103131","11","0","0.5","0","1","8","6037"
"","6","","0","91","","","","","","6038"
"","6","psy_idle_surprise1","103131","3","0.2","","","","1","6039"
"","6","psy_miyako_talk2","119931","3","0.2","","","","1","6040"
"","6","vo_minigame_1008_drama_0603","vo_minigame_1008","21","","","","0","0","6041"
"0","6","どうしたの？","119931","11","0","0.5","0","1","6","6042"
"","6","","0","91","","","","","","6043"
"","6","0","0","22","","","","","","6044"
"","6","psy_miyako_idle","119931","3","0.2","","","","1","6045"
"","6","psy_talk_joy1","103131","3","0.2","","","","1","6046"
"","6","vo_minigame_1008_drama_0608","vo_minigame_1008","21","","","","0","0","6047"
"0","6","ふふっ、いえ。なんでもありませんよ。\n私で力になれるかはわかりませんが、\n精一杯手伝わせていただきます。","103131","11","0","0.5","0","1","8","6048"
"","6","1","4","93","","","","","","6049"
"","6","psy_talk_wish","103131","3","0.2","","","","1","6050"
"","6","","6048","91","","","","","","6051"
"","6","psy_idle_wish","103131","3","0.2","","","","1","6052"
"","6","psy_miyako_joy1","119931","3","0.2","","","","1","6053"
"","6","vo_minigame_1008_drama_0604","vo_minigame_1008","21","","","","0","0","6054"
"0","6","ありがとうなの！\nシノブとミヤコが揃えば最強なの！\n絶対においしいプリンが\nできるはずなの！","119931","11","0","0.5","0","1","6","6055"
"","6","1","5","93","","","","","","6056"
"1","6","psy_miyako_guts1_in","119931","3","0.2","","0","psy_miyako_guts1_loop","0","6057"
"","6","","6055","91","","","","","","6058"
"","6","0","0","22","","","","","","6059"
"","6","","1.5","93","","","","","","6060"
"","6","","0","91","","","","","","6061"
"-200","7","119931","1","1","1.7","psy_miyako_idle","0","-200","100","7001"
"-220","7","1","1","5","1.7","psy_fairy_idle","0","125","100","7002"
