c581b64cdd14366e3c48591ee97abc3cd7adbdf93d7869ae2604a38e2ebf10c0,8e37a9b960e87489fd9ee731a7a0e36a28e4e45c5de6c041cecc39f815fd1b8c,b4a6ade1c991930da916fb770d18d33e1fa91334720ba673e971429930e9ae20,06cba510e084b1e20faf34ef0f0f8a110b4470b8208268f4ee29aef1e74efe92,ba41c975cecf2b565f5affcf8e87dc101d94ffacb594fc3dd957002377e0bd62,651f0183292a788f8d78262059516dce555a504559ec40d9a96f2ca17c520daf,7eea4eb41d19fe8eeb9aedabf545d8e17aba20847f194b7817efcf606c93aa31,1e1fc839841410e0838376e2acf30198c0b2bd464e50d0aba4e76686090b8f02,d963747575c80d7fa82ecfc2022c21b30cd25b5f599a1bf7da0ceb49b6593d51
"6","8","53003","5","5","22","-1","7","12801"
"6","4","53002","5","5","22","-1","7","12802"
"5","6","53003","4","5","22","5","6","12901"
"5","5","53002","4","5","22","5","6","12902"
"4","5","53003","3","5","22","4","5","13001"
"4","5","53002","3","5","22","4","5","13002"
"3","4","53003","3","5","22","3","4","13101"
"3","3","53002","3","5","22","3","4","13102"
"2","3","53003","2","5","22","2","3","13201"
"2","2","53002","2","5","22","2","3","13202"
"1","2","53003","1","5","22","1","2","13301"
"1","1","53002","1","5","22","1","2","13302"
"0","2","53002","1","5","22","0","1","13401"
"6","8","53003","5","6","22","-1","7","13501"
"6","4","53002","5","6","22","-1","7","13502"
"5","6","53003","4","6","22","5","6","13601"
"5","5","53002","4","6","22","5","6","13702"
"4","5","53003","3","6","22","4","5","13801"
"4","5","53002","3","6","22","4","5","13902"
"3","4","53003","3","6","22","3","4","14001"
"3","3","53002","3","6","22","3","4","14002"
"2","3","53003","2","6","22","2","3","14101"
"2","2","53002","2","6","22","2","3","14102"
"1","2","53003","1","6","22","1","2","14201"
"1","1","53002","1","6","22","1","2","14202"
"0","2","53002","1","6","22","0","1","14301"
"6","8","53003","5","7","22","-1","7","14401"
"6","4","53002","5","7","22","-1","7","14402"
"5","6","53003","4","7","22","5","6","14501"
"5","5","53002","4","7","22","5","6","14502"
"4","5","53003","3","7","22","4","5","14601"
"4","5","53002","3","7","22","4","5","14701"
"3","4","53003","3","7","22","3","4","14801"
"3","3","53002","3","7","22","3","4","14802"
"2","3","53003","2","7","22","2","3","14901"
"2","2","53002","2","7","22","2","3","14902"
"1","2","53003","1","7","22","1","2","15001"
"1","1","53002","1","7","22","1","2","15002"
"0","2","53002","1","7","22","0","1","15101"
"6","8","53003","5","8","22","-1","7","15201"
"6","4","53002","5","8","22","-1","7","15202"
"5","6","53003","4","8","22","5","6","15301"
"5","5","53002","4","8","22","5","6","15302"
"4","5","53003","3","8","22","4","5","15401"
"4","5","53002","3","8","22","4","5","15402"
"3","4","53003","3","8","22","3","4","15501"
"3","3","53002","3","8","22","3","4","15502"
"2","3","53003","2","8","22","2","3","15601"
"2","2","53002","2","8","22","2","3","15602"
"1","2","53003","1","8","22","1","2","15701"
"1","1","53002","1","8","22","1","2","15702"
"0","2","53002","1","8","22","0","1","15901"
"6","8","53003","5","9","22","-1","7","16001"
"6","4","53002","5","9","22","-1","7","16002"
"5","6","53003","4","9","22","5","6","16101"
"5","5","53002","4","9","22","5","6","16102"
"4","5","53003","3","9","22","4","5","16201"
"4","5","53002","3","9","22","4","5","16202"
"3","4","53003","3","9","22","3","4","16301"
"3","3","53002","3","9","22","3","4","16302"
"2","3","53003","2","9","22","2","3","16401"
"2","2","53002","2","9","22","2","3","16402"
"1","2","53003","1","9","22","1","2","16501"
"1","1","53002","1","9","22","1","2","16502"
"0","2","53002","1","9","22","0","1","16601"
"6","8","53003","5","10","22","-1","7","16701"
"6","4","53002","5","10","22","-1","7","16702"
"5","6","53003","4","10","22","5","6","16801"
"5","5","53002","4","10","22","5","6","16802"
"4","5","53003","3","10","22","4","5","16901"
"4","5","53002","3","10","22","4","5","16902"
"3","4","53003","3","10","22","3","4","17001"
"3","3","53002","3","10","22","3","4","17002"
"2","3","53003","2","10","22","2","3","17101"
"2","2","53002","2","10","22","2","3","17102"
"1","2","53003","1","10","22","1","2","17201"
"1","1","53002","1","10","22","1","2","17202"
"0","2","53002","1","10","22","0","1","17301"
"6","8","53003","5","11","22","-1","7","17401"
"6","4","53002","5","11","22","-1","7","17402"
"5","6","53003","4","11","22","5","6","17501"
"5","5","53002","4","11","22","5","6","17502"
"4","5","53003","3","11","22","4","5","17601"
"4","5","53002","3","11","22","4","5","17602"
"3","4","53003","3","11","22","3","4","17701"
"3","3","53002","3","11","22","3","4","17702"
"2","3","53003","2","11","22","2","3","17801"
"2","2","53002","2","11","22","2","3","17802"
"1","2","53003","1","11","22","1","2","17901"
"1","1","53002","1","11","22","1","2","17902"
"0","2","53002","1","11","22","0","1","18001"
