0938629b08edfe2ab3644ef594708890db5f7dbc27383a0048493a122a8544c5,096ed4113d860289c3a4756c5b0321fb174b3aed6008f1ef052206369d0d336f,577d1a9ad955a17d4b5b73737bdc7e2848d862ee0be85c1ea36643d5a5b8967a,ba788a701a6a42f41ecc6c7cfeaea3dd740b2fea9bde51413dd1cea6b2d969f4
"10800003","バッファーキャラを3人以上編成して勝利","3","8"
"10800004","バッファーキャラを4人以上編成して勝利","4","8"
"10800005","バッファーキャラを5人編成して勝利","5","8"
"10900001","デバッファーキャラを1人以上編成して勝利","1","9"
"10900002","デバッファーキャラを2人以上編成して勝利","2","9"
"10900003","デバッファーキャラを3人以上編成して勝利","3","9"
"10900004","デバッファーキャラを4人以上編成して勝利","4","9"
"10900005","デバッファーキャラを5人編成して勝利","5","9"
"11000001","ジャマーキャラを1人以上編成して勝利","1","10"
"11000002","ジャマーキャラを2人以上編成して勝利","2","10"
"11000003","ジャマーキャラを3人以上編成して勝利","3","10"
"11000004","ジャマーキャラを4人以上編成して勝利","4","10"
"11000005","ジャマーキャラを5人編成して勝利","5","10"
"11100001","アタッカーキャラを1人以上編成して勝利","1","11"
"11100002","アタッカーキャラを2人以上編成して勝利","2","11"
"11100003","アタッカーキャラを3人以上編成して勝利","3","11"
"11100004","アタッカーキャラを4人以上編成して勝利","4","11"
"11100005","アタッカーキャラを5人編成して勝利","5","11"
"11200001","ブレイカーキャラを1人以上編成して勝利","1","12"
"11200002","ブレイカーキャラを2人以上編成して勝利","2","12"
"11200003","ブレイカーキャラを3人以上編成して勝利","3","12"
"11200004","ブレイカーキャラを4人以上編成して勝利","4","12"
"11200005","ブレイカーキャラを5人編成して勝利","5","12"
"11300001","火属性キャラを1人以上編成して勝利","1","13"
"11300002","火属性キャラを2人以上編成して勝利","2","13"
"11300003","火属性キャラを3人以上編成して勝利","3","13"
"11300004","火属性キャラを4人以上編成して勝利","4","13"
"11300005","火属性キャラを5人編成して勝利","5","13"
"11400001","水属性キャラを1人以上編成して勝利","1","14"
"11400002","水属性キャラを2人以上編成して勝利","2","14"
"11400003","水属性キャラを3人以上編成して勝利","3","14"
"11400004","水属性キャラを4人以上編成して勝利","4","14"
"11400005","水属性キャラを5人編成して勝利","5","14"
"11500001","風属性キャラを1人以上編成して勝利","1","15"
"11500002","風属性キャラを2人以上編成して勝利","2","15"
"11500003","風属性キャラを3人以上編成して勝利","3","15"
"11500004","風属性キャラを4人以上編成して勝利","4","15"
"11500005","風属性キャラを5人編成して勝利","5","15"
"11600001","光属性キャラを1人以上編成して勝利","1","16"
"11600002","光属性キャラを2人以上編成して勝利","2","16"
"11600003","光属性キャラを3人以上編成して勝利","3","16"
"11600004","光属性キャラを4人以上編成して勝利","4","16"
"11600005","光属性キャラを5人編成して勝利","5","16"
"11700001","闇属性キャラを1人以上編成して勝利","1","17"
"11700002","闇属性キャラを2人以上編成して勝利","2","17"
"11700003","闇属性キャラを3人以上編成して勝利","3","17"
"11700004","闇属性キャラを4人以上編成して勝利","4","17"
"11700005","闇属性キャラを5人編成して勝利","5","17"
