f4d59f294a28a2919651d69cbb46f2e823083e690202e01ca8f1f02fe8683f63,411927d759b2c8e058632c8d2bc8e3efae3b2e232a934fcea7ed8cd978c81648,8028948f2532aeb856a24e44ff0c411c1e24a9254879b591f77b4799e96b517a,3be1da392232eac162d0a8ea0a2e0e20cb5ef0ef8a4dc9b66e27649b2e4abcae,57ac076362a7eb7110174fc9c50066adc07a0928c505752b14c2a4e93252fe00,afc9bcb137d5a3fcc1fd4e0798479048905a292989004e2a6b4076c5b88a76e2,d707a7908b820f6cafa78b4fd90c9c88320d3227b9ca4fe2ccb9913e590b4bb9,4445244554d1d1e0c0d8dcb10f5a7cb240ff8ba59121fe172b59410071d8fc2c,57777b6f93f12e3b485c160aec6a10d003e86c793e29b3be2b2344ceed51d137,c2adeaabfe5f85762923d68bf9c5a8c37eb76d7c7e2cff07878a716dfa384d68,d6daae810d36f717ce84a55dec4d5d13cee965f94772ea27e280e63fa82606a8
"","129811","1","2","2008","","","","0.2","3","drama_idle_admire"
"","129911","0","2","2009","1","","drama_talk_arm_crossed_loop","0.2","3","drama_talk_arm_crossed_in"
"","vo_minigame_1013","0","2","2010","","","0","","21","vo_minigame_1013_top_talk_2_001"
"0","129911","5","2","2011","0","0.3","1","0","11","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう"
"","0","","2","2012","","","","","91",""
"","129911","1","2","2013","","","","0.2","3","drama_idle_arm_crossed"
"","129811","0","2","2014","1","","drama_talk_guts2_loop","0.2","3","drama_talk_guts2_in"
"","vo_minigame_1013","0","2","2015","","","0","","21","vo_minigame_1013_top_talk_2_002"
"0","129811","8","2","2016","0","0.3","1","0","11","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！"
"","0","","2","2017","","","","","91",""
"","129811","1","2","2018","","","","0.2","3","drama_idle"
"","129911","1","2","2019","","","","0.2","3","drama_idle"
"1","1","100","3","3001","-224","drama_idle","167","1.65","1","129811"
"0","1","100","3","3002","-224","drama_idle","-49","1.65","1","129911"
"","129811","1","3","3003","","","","0.2","3","drama_idle"
"","129911","1","3","3004","","","","0.2","3","drama_talk_thinking"
"","vo_minigame_1013","0","3","3005","","","0","","21","vo_minigame_1013_top_talk_3_000"
"0","129911","5","3","3006","0","0.8","1","0","11","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね"
"","0","","3","3007","","","","","91",""
"","129911","1","3","3008","","","","0.2","3","drama_idle_thinking"
"","129811","0","3","3009","1","","drama_talk_sad_loop","0.2","3","drama_talk_sad_in"
"","vo_minigame_1013","0","3","3010","","","0","","21","vo_minigame_1013_top_talk_3_001"
"0","129811","7","3","3011","0","0.5","1","0","11","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか"
"","0","","3","3012","","","","","91",""
"","129811","1","3","3013","","","","0.2","3","drama_idle_sad"
"","129911","0","3","3014","1","","drama_talk_arm_crossed_loop","0.2","3","drama_talk_arm_crossed_in"
"","vo_minigame_1013","0","3","3015","","","0","","21","vo_minigame_1013_top_talk_3_002"
"0","129911","6","3","3016","0","0.3","1","0","11","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう"
"","0","","3","3017","","","","","91",""
"","129811","1","3","3018","","","","0.2","3","drama_idle"
"","129911","1","3","3019","","","","0.2","3","drama_idle"
"1","1","100","4","4001","-224","drama_idle","167","1.65","1","129811"
"0","1","100","4","4002","-224","drama_idle","-49","1.65","1","129911"
"","129911","1","4","4003","","","","0.2","3","drama_idle"
"","129811","0","4","4004","1","","drama_talk_doya_loop_shy","0.2","3","drama_talk_doya_in_shy"
"","vo_minigame_1013","0","4","4005","","","0","","21","vo_minigame_1013_top_talk_4_000"
"0","129811","7","4","4006","0","0.3","1","0","11","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ"
"","0","","4","4007","","","","","91",""
"","129811","1","4","4008","","","","0.2","3","drama_idle_doya_shy"
"","129911","0","4","4009","1","","drama_talk_wish_loop","0.2","3","drama_talk_wish_in"
"","vo_minigame_1013","0","4","4010","","","0","","21","vo_minigame_1013_top_talk_4_001"
"0","129911","5","4","4011","0","0.5","1","0","11","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…"
"","0","","4","4012","","","","","91",""
"","129911","1","4","4013","","","","0.2","3","drama_idle_wish"
"","129811","1","4","4014","0","","","0.2","3","drama_idle_thinking_shy"
"","vo_minigame_1013","0","4","4015","","","0","","21","vo_minigame_1013_top_talk_4_002"
"0","129811","8","4","4016","0","0","1","0","11","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）"
"","0","","4","4017","","","","","91",""
"","129911","1","4","4018","","","","0.2","3","drama_idle"
"","129811","1","4","4019","","","","0.2","3","drama_idle"
"1","1","100","5","5001","-224","drama_idle","167","1.65","1","129811"
"0","1","100","5","5002","-224","drama_idle","-49","1.65","1","129911"
"","129811","1","5","5003","","","","0.2","3","drama_idle"
"","129911","1","5","5004","","","","0.2","3","drama_talk_thinking"
"","vo_minigame_1013","0","5","5005","","","0","","21","vo_minigame_1013_top_talk_5_000"
"0","129911","6","5","5006","0","0.8","1","0","11","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ"
"","0","","5","5007","","","","","91",""
"","129911","1","5","5008","","","","0.2","3","drama_idle_thinking"
"","129811","0","5","5009","1","","drama_talk_wonder_loop","0.2","3","drama_talk_wonder_in"
"","vo_minigame_1013","0","5","5010","","","0","","21","vo_minigame_1013_top_talk_5_001"
"0","129811","7","5","5011","0","0.3","1","0","11","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ"
"","0","","5","5012","","","","","91",""
"","129811","1","5","5013","","","","0.2","3","drama_idle_wonder"
"","129911","1","5","5014","","","","0.2","3","drama_talk_memory"
"","vo_minigame_1013","0","5","5015","","","0","","21","vo_minigame_1013_top_talk_5_002"
"0","129911","5","5","5016","0","0.5","1","0","11","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…"
"","0","","5","5017","","","","","91",""
"","129811","1","5","5018","","","","0.2","3","drama_idle"
"","129911","1","5","5019","","","","0.2","3","drama_idle"
"1","1","100","6","6001","-224","drama_idle","167","1.65","1","129811"
"0","1","100","6","6002","-224","drama_idle","-49","1.65","1","129911"
"","129911","1","6","6003","","","","0.2","3","drama_idle"
"","129811","1","6","6004","","","","0.2","3","drama_talk_thinking_shy"
"","vo_minigame_1013","0","6","6005","","","0","","21","vo_minigame_1013_top_talk_6_000"
"0","129811","8","6","6006","0","0.3","1","0","11","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…"
"","0","","6","6007","","","","","91",""
"","129811","1","6","6008","","","","0.2","3","drama_idle_thinking_shy"
"","129911","0","6","6009","1","","drama_talk_doubt_loop","0.2","3","drama_talk_doubt_in"
"","vo_minigame_1013","0","6","6010","","","0","","21","vo_minigame_1013_top_talk_6_001"
"0","129911","6","6","6011","0","0.8","1","0","11","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが"
"","0","","6","6012","","","","","91",""
"","129911","1","6","6013","","","","0.2","3","drama_idle_doubt"
"","129811","0","6","6014","1","","drama_talk_surprise_loop_shy","0.2","3","drama_talk_surprise_in_shy"
"","vo_minigame_1013","0","6","6015","","","0","","21","vo_minigame_1013_top_talk_6_002"
"0","129811","9","6","6016","0","0.3","1","0","11","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！"
"","0","","6","6017","","","","","91",""
"","129911","1","6","6018","","","","0.2","3","drama_idle"
"","129811","1","6","6019","","","","0.2","3","drama_idle"
"1","1","100","7","7001","-224","drama_idle","167","1.65","1","129811"
"0","1","100","7","7002","-224","drama_idle","-49","1.65","1","129911"
"","129811","1","7","7003","","","","0.2","3","drama_idle"
"","129911","0","7","7004","1","","drama_talk_arm_crossed_loop","0.2","3","drama_talk_arm_crossed_in"
"","vo_minigame_1013","0","7","7005","","","0","","21","vo_minigame_1013_top_talk_7_000"
"0","129911","6","7","7006","0","0.3","1","0","11","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです"
"","0","","7","7007","","","","","91",""
"","129911","1","7","7008","","","","0.2","3","drama_idle_arm_crossed"
"","129811","0","7","7009","1","","drama_talk_guts2_loop","0.2","3","drama_talk_guts2_in"
"","vo_minigame_1013","0","7","7010","","","0","","21","vo_minigame_1013_top_talk_7_001"
"0","129811","6","7","7011","0","0","1","0","11","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ"
"","0","","7","7012","","","","","91",""
"","129811","1","7","7013","","","","0.2","3","drama_idle_guts2"
"","129911","1","7","7014","","","","0.2","3","drama_talk_thinking"
"","vo_minigame_1013","0","7","7015","","","0","","21","vo_minigame_1013_top_talk_7_002"
"0","129911","6","7","7016","0","0.5","1","0","11","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ"
"","0","","7","7017","","","","","91",""
"","129811","1","7","7018","","","","0.2","3","drama_idle"
"","129911","1","7","7019","","","","0.2","3","drama_idle"
"1","1","100","8","8001","-224","drama_idle","167","1.65","1","129811"
"0","1","100","8","8002","-224","drama_idle","-49","1.65","1","129911"
"","129911","1","8","8003","","","","0.2","3","drama_idle"
"","129811","0","8","8004","1","","drama_talk_doya_loop_smile","0.2","3","drama_talk_doya_in_smile"
"","vo_minigame_1013","0","8","8005","","","0","","21","vo_minigame_1013_top_talk_8_000"
"0","129811","7","8","8006","0","0.3","1","0","11","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ"
"","0","","8","8007","","","","","91",""
"","129811","1","8","8008","","","","0.2","3","drama_idle_doya_smile"
"","129911","0","8","8009","1","","drama_talk_arm_crossed_loop","0.2","3","drama_talk_arm_crossed_in"
"","vo_minigame_1013","0","8","8010","","","0","","21","vo_minigame_1013_top_talk_8_001"
"0","129911","5","8","8011","0","0.8","1","0","11","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが"
"","0","","8","8012","","","","","91",""
"","129911","1","8","8013","","","","0.2","3","drama_idle_arm_crossed"
"","129811","1","8","8014","","","","0.2","3","drama_talk_anger"
"","vo_minigame_1013","0","8","8015","","","0","","21","vo_minigame_1013_top_talk_8_002"
"0","129811","7","8","8016","0","0.3","1","0","11","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！"
"","0","","8","8017","","","","","91",""
"","129811","1","8","8018","","","","0.2","3","drama_idle"
"","129911","1","8","8019","","","","0.2","3","drama_idle"
"1","1","100","30","30001","-224","drama_idle","167","1.65","1","129811"
"0","1","100","30","30002","-224","drama_idle","-49","1.65","1","129911"
"","129811","1","30","30003","","","","0.2","3","drama_idle"
"","129911","1","30","30004","","","","0.2","3","drama_idle"
"","0.5","","30","30005","","","","","93","0"
"","2","","30","30006","","","","","26",""
"","-80","1.2","30","30007","0.9","","1.2","3","121","10"
"0.2","129911","0","30","30008","","","","0.2","3","drama_joy_eriko"
"","1","0","30","30009","","","","","140","1"
"1","1","100","31","31001","-224","drama_idle","167","1.65","1","129811"
"0","1","100","31","31002","-224","drama_idle","-49","1.65","1","129911"
"","129811","1","31","31003","","","","0.2","3","drama_idle"
"","129911","1","31","31004","","","","0.2","3","drama_idle"
"","0.5","","31","31005","","","","","93","0"
"","2","","31","31006","","","","","26",""
"","-80","1.2","31","31007","0.9","","1.2","3","121","10"
"0.2","129811","0","31","31008","","","","0.2","3","drama_joy_makoto"
"","1","0","31","31009","","","","","140","2"
"1","0","1","32","32001","28","drama_talk_1","320","0.28","5","1"
"0","0","0","32","32002","28","drama_talk_2","228","0.28","5","2"
"1","0","90","32","32003","64","drama_swing","45","0.26","5","3"
"0","0","91","32","32004","-23","drama_streach","-187","0.3","5","4"
"","1","","32","32005","","","","","93","0"
"","1","0","32","32006","","","","0.2","3","drama_joy"
"","2","0","32","32007","","","","0.2","3","drama_joy"
"","3","0","32","32008","","","","0.2","3","drama_joy"
"","4","0","32","32009","","","","0.2","3","drama_joy"
"","1.5","","32","32010","","","","","93","0"
"1","0","1","33","33001","28","drama_talk_1","320","0.28","5","1"
"0","0","0","33","33002","28","drama_talk_2","228","0.28","5","2"
"1","0","90","33","33003","64","drama_swing","45","0.26","5","3"
"0","0","91","33","33004","-23","drama_streach","-187","0.3","5","4"
