67627388f6c62d6dfd18fb9cc3a493f3e9c3278cbfe0159ee804c8ef1ffa673d,9bfd08f0ca8d543a53147a55d6adb42d52d4da619a7ad18503648f4e6c9d74a8,36c3fe110f6d5e481d8ed3ef5adf89cbad79d7f937f6fcf133402c866a863cd9,d1d75437e9ec5241fff096af657e27ed32b18f9ddc319a0f9840089706ebec51,386dbb12501c8d20373af5f08b44288e7678e607eb2a1521638aaf1f8c7a13cb,d7513e64077abd9d5432e91f92bee01acd472061a63653d46f863d74402dacc9,e19ef04f87b935fceffa513ba12a99e9e279335f8ebcb74e9900e3f7331b500e,2c10137b93919e1d53ac6dc27bfa95140cc4726a1b48be5bd4064628c4656d65,1907d12670ab4b38346fac5be3a720d4d4c84f6a80efc8fd49568725b1319fda,61372b500050bc1b6ac84d775b76db12b7bc0693e8dcc18ea89dcb9db22e2a9a,116adbc281b311a2a55aeccb321e5939a9c131345732ae73b66465b9ef753a8e
"","0.2","1","sjr_talk_worry_shy","17","","3","","","122511","17003"
"","","0","vo_minigame_1010_top_talk_2_003","17","","21","0","","vo_minigame_1010","17004"
"0","0","6","ねぇユイ\n水着で走るのって\nちょっと…","17","0.5","11","1","0","122511","17005"
"","","","","17","","91","","","0","17006"
"","0.2","1","sjr_talk_idle","17","","3","","","122511","17007"
"","0.2","1","sjr_talk_wish_shy","17","","3","","","122611","17008"
"","","0","vo_minigame_1010_top_talk_2_004","17","","21","0","","vo_minigame_1010","17009"
"0","0","5","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！","17","0.5","11","1","0","122611","17010"
"","","","","17","","91","","","0","17011"
"","0.2","1","sjr_talk_idle","17","","3","","","122611","17012"
"1","0.2","0","sjr_talk_thinking_blink_light","17","","3","sjr_talk_thinking_light","0","122511","17013"
"","","0","vo_minigame_1010_top_talk_2_005","17","","21","0","","vo_minigame_1010","17014"
"0","0","6","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！","17","0.5","11","1","0","122511","17015"
"","","","","17","","91","","","0","17016"
"","0.2","1","sjr_talk_idle","17","","3","","","122511","17017"
"-194","1.65","100","122611","18","sjr_talk_idle","1","72","1","1","18001"
"-194","1.65","100","122511","18","sjr_talk_idle","1","-72","0","1","18002"
"","0.2","1","sjr_talk_wish_surprise","18","","3","","","122611","18003"
"","","0","vo_minigame_1010_top_talk_2_006","18","","21","0","","vo_minigame_1010","18004"
"0","0","7","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…","18","0.5","11","1","0","122611","18005"
"","","","","18","","91","","","0","18006"
"","0.2","1","sjr_talk_idle","18","","3","","","122611","18007"
"1","0.2","0","sjr_talk_arm_crossed_normal2","18","","3","sjr_talk_arm_crossed_normal2_loop","0","122511","18008"
"","","0","vo_minigame_1010_top_talk_2_007","18","","21","0","","vo_minigame_1010","18009"
"0","0","7","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ","18","0.5","11","1","0","122511","18010"
"","","","","18","","91","","","0","18011"
"","0.2","1","sjr_talk_idle","18","","3","","","122511","18012"
"-194","1.65","100","122611","19","sjr_talk_idle","1","72","1","1","19001"
"-194","1.65","100","122411","19","sjr_talk_idle","1","-72","0","1","19002"
"1","0.2","0","sjr_talk_wave_hand","19","","3","sjr_talk_idle_joy","0","122611","19003"
"","","0","vo_minigame_1010_top_talk_2_008","19","","21","0","","vo_minigame_1010","19004"
"0","0","11","ヒヨリちゃん\n楽しんでる？","19","0.5","11","1","0","122611","19005"
"","","","","19","","91","","","0","19006"
"","0.2","1","sjr_talk_idle","19","","3","","","122611","19007"
"1","0.2","0","sjr_talk_fun","19","","3","sjr_talk_swing_joy2","0","122411","19008"
"","","0","vo_minigame_1010_top_talk_2_009","19","","21","0","","vo_minigame_1010","19009"
"0","0","8","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！","19","0.5","11","1","0","122411","19010"
"","","","","19","","91","","","0","19011"
"","0.2","1","sjr_talk_idle","19","","3","","","122411","19012"
"","0.2","1","sjr_talk_laugh","19","","3","","","122611","19013"
"","","0","vo_minigame_1010_top_talk_2_010","19","","21","0","","vo_minigame_1010","19014"
"0","0","8","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！","19","0.5","11","1","0","122611","19015"
"","","","","19","","91","","","0","19016"
"","0.2","1","sjr_talk_idle","19","","3","","","122611","19017"
"-194","1.65","100","122611","20","sjr_talk_idle","1","72","1","1","20001"
"-194","1.65","100","122411","20","sjr_talk_idle","1","-72","0","1","20002"
"1","0.2","0","sjr_talk_guts2","20","","3","sjr_talk_guts2_loop","0","122411","20003"
"","","0","vo_minigame_1010_top_talk_2_011","20","","21","0","","vo_minigame_1010","20004"
"0","0","9","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー","20","0.5","11","1","0","122411","20005"
"","","","","20","","91","","","0","20006"
"","0.2","1","sjr_talk_idle","20","","3","","","122411","20007"
"1","0.2","0","sjr_talk_mouth_hidden_dere_guru","20","","3","sjr_talk_mouth_hidden_guru","0","122611","20008"
"","","0","vo_minigame_1010_top_talk_2_012","20","","21","0","","vo_minigame_1010","20009"
"0","0","5","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…","20","0.5","11","1","0","122611","20010"
"","","","","20","","91","","","0","20011"
"1","0.2","0","sjr_talk_shock","20","","3","sjr_talk_shock_loop","0","122411","20012"
"","","0","vo_minigame_1010_top_talk_2_013","20","","21","0","","vo_minigame_1010","20013"
"0","0","17","わーっ！？\nユイちゃん！？\n目がグルグルだー！？","20","0.5","11","1","0","122411","20014"
"","","","","20","","91","","","0","20015"
"","0.2","1","sjr_talk_idle","20","","3","","","122611","20016"
"","0.2","1","sjr_talk_idle","20","","3","","","122411","20017"
"-194","1.65","100","122611","21","sjr_talk_idle","1","72","1","1","21001"
"-194","1.65","100","122411","21","sjr_talk_idle","1","-72","0","1","21002"
"","0.2","1","sjr_talk_worry_sad","21","","3","","","122611","21003"
"","","0","vo_minigame_1010_top_talk_2_014","21","","21","0","","vo_minigame_1010","21004"
"0","0","9","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？","21","0.5","11","1","0","122611","21005"
"","","","","21","","91","","","0","21006"
"","0.2","1","sjr_talk_idle","21","","3","","","122611","21007"
"0","0.2","0","sjr_talk_laugh_guts","21","","3","sjr_talk_guts2_joy_loop","0","122411","21008"
"","","0","vo_minigame_1010_top_talk_2_015","21","","21","0","","vo_minigame_1010","21009"
"0","0","6","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪","21","0.5","11","1","0","122411","21010"
"","","","","21","","91","","","0","21011"
"","0.2","1","sjr_talk_idle","21","","3","","","122411","21012"
"-194","1.65","100","122511","22","sjr_talk_idle","1","72","1","1","22001"
"-194","1.65","100","122411","22","sjr_talk_idle","1","-72","0","1","22002"
"1","0.2","0","sjr_talk_arm_crossed_normal","22","","3","sjr_talk_arm_crossed_normal_loop","0","122511","22003"
"","","0","vo_minigame_1010_top_talk_2_016","22","","21","0","","vo_minigame_1010","22004"
"0","0","7","相手がヒヨリとはいえ\n負けるつもりは\nないからね","22","0.5","11","1","0","122511","22005"
"","","","","22","","91","","","0","22006"
"","0.2","1","sjr_talk_idle","22","","3","","","122511","22007"
"1","0.2","0","sjr_talk_guts","22","","3","sjr_talk_guts_loop","0","122411","22008"
"","","0","vo_minigame_1010_top_talk_2_017","22","","21","0","","vo_minigame_1010","22009"
"0","0","8","レイさんが相手なら\nあたしだって\n全力全開だよ！","22","0.5","11","1","0","122411","22010"
"","","","","22","","91","","","0","22011"
"","0.2","1","sjr_talk_idle","22","","3","","","122411","22012"
"-194","1.65","100","122511","23","sjr_talk_idle","1","72","1","1","23001"
"-194","1.65","100","122411","23","sjr_talk_idle","1","-72","0","1","23002"
"1","0.2","0","sjr_talk_fun_eieio","23","","3","sjr_talk_eieio_loop","0","122411","23003"
"","","0","vo_minigame_1010_top_talk_2_018","23","","21","0","","vo_minigame_1010","23004"
"0","0","5","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！","23","0.5","11","1","0","122411","23005"
"","","","","23","","91","","","0","23006"
"","0.2","1","sjr_talk_idle","23","","3","","","122411","23007"
"","0.2","1","sjr_talk_mouth_hidden_sad","23","","3","","","122511","23008"
"","","0","vo_minigame_1010_top_talk_2_019","23","","21","0","","vo_minigame_1010","23009"
"0","0","7","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？","23","0.5","11","1","0","122511","23010"
"","","","","23","","91","","","0","23011"
"","0.2","1","sjr_talk_idle","23","","3","","","122511","23012"
"1","0.2","0","sjr_talk_arm_opened_joy_guru","23","","3","sjr_talk_arm_opened_guru","0","122411","23013"
"","","0","vo_minigame_1010_top_talk_2_020","23","","21","0","","vo_minigame_1010","23014"
"0","0","5","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？","23","0.5","11","1","0","122411","23015"
"","","","","23","","91","","","0","23016"
"","0.2","1","sjr_talk_idle","23","","3","","","122411","23017"
"-194","1.65","100","122511","24","sjr_talk_idle","1","72","1","1","24001"
"-194","1.65","100","122411","24","sjr_talk_idle","1","-72","0","1","24002"
"","0.2","1","sjr_talk_mouth_hidden_sad","24","","3","","","122411","24003"
"","","0","vo_minigame_1010_top_talk_2_021","24","","21","0","","vo_minigame_1010","24004"
"0","0","7","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…","24","1","11","1","0","122411","24005"
"","","","","24","","91","","","0","24006"
"","0.2","1","sjr_talk_idle","24","","3","","","122411","24007"
"0","0.2","0","sjr_talk_arm_crossed_normal_joy","24","","3","sjr_talk_arm_crossed_joy_loop","0","122511","24008"
"","","0","vo_minigame_1010_top_talk_2_022","24","","21","0","","vo_minigame_1010","24009"
"0","0","5","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね","24","0.5","11","1","0","122511","24010"
"","","","","24","","91","","","0","24011"
"","0.2","1","sjr_talk_idle","24","","3","","","122511","24012"
"","0.2","1","sjr_talk_laugh","24","","3","","","122411","24013"
"","","0","vo_minigame_1010_top_talk_2_023","24","","21","0","","vo_minigame_1010","24014"
"0","0","7","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪","24","0.5","11","1","0","122411","24015"
"","","","","24","","91","","","0","24016"
"","0.2","1","sjr_talk_idle","24","","3","","","122411","24017"
