c3f935b0b14db4a06d6ad6ab27cdb7f8274cf000ed53da8ea9e961e2ccf449db,5d7607afe3b7b40cd20868efb27284e784c8b07d6c3d3211570c016e75d658d5,780c7781cf66eb07b2d7ed3ffbd7be271bdf6415307c9a513ab17c99113fc07c,e842d60eb4c5317df5f18695bec31c9bfd11b7caaac4d0ad6612c44ad576ac62,2215f608d071d49db24e0d97a951e42a358c22782e49f453e95a2bb1d39baa5e,4fa3d2b0436e0047dbf1694f3d0ed981c1b93c9a5f5f6be207e7f133bc61f4b8,60221d64387070a1976d263318fc8c6d49dd566adfba60f1c658451468c77e0a
"10904","0.33046875","カルミナの公式応援うちわ。シンプルなデザインのため、普段使い\nにも最適な一品。いつでもどこでも彼女たちを応援できるぞ。","0.459375","9","1","カルミナの応援うちわ"
"11001","0.671875","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","0.8671875","5","1","ツムギのステッカー"
"11002","0.671875","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","0.8671875","5","1","ノゾミのステッカー"
"11003","0.671875","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","0.8671875","5","1","チカのステッカー"
"11101","0.975","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","0.975","5","1","ツムギの缶バッジ"
"11102","0.975","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","0.975","5","1","ノゾミの缶バッジ"
"11103","0.975","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","0.975","5","1","チカの缶バッジ"
"11201","0.39453125","ライブで一緒に盛り上がるための必携アイテム。いろんな色に切り\n替えができ、場面や曲で使い分けることが可能。カラフルにライブ\nを盛り上げよう。","0.49609375","9","2","カルミナライブのペンライト"
"11301","0.65625","ツムギがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","0.671875","8","2","ツムギのマグカップ"
"11302","0.65625","ノゾミがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","0.671875","8","2","ノゾミのマグカップ"
"11303","0.65625","チカがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","0.671875","8","2","チカのマグカップ"
"11401","0.984375","思い出を振り返るアイテムと言えばこれ。サマー衣装のツムギが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","0.6328125","4","1","ツムギのペナント"
"11402","0.984375","思い出を振り返るアイテムと言えばこれ。サマー衣装のノゾミが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","0.640625","4","1","ノゾミのペナント"
"11403","0.984375","思い出を振り返るアイテムと言えばこれ。サマー衣装のチカが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","0.6328125","4","1","チカのペナント"
"11501","1.21875","ポップでキュートに描かれたツムギのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1.21875","3","1","ツムギのピンバッジ"
"11502","1.21875","サマー衣装のツムギがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のツムギの表情\nが魅力的な一品。","1.21875","3","1","ツムギのサマーピンバッジ"
"11503","1.21875","ポップでキュートに描かれたノゾミのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1.21875","3","1","ノゾミのピンバッジ"
"11504","1.21875","サマー衣装のノゾミがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のノゾミの表情\nが魅力的な一品。","1.21875","3","1","ノゾミのサマーピンバッジ"
"11505","1.21875","ポップでキュートに描かれたチカのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1.21875","3","1","チカのピンバッジ"
"11506","1.21875","サマー衣装のチカがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のチカの表情\nが魅力的な一品。","1.21875","3","1","チカのサマーピンバッジ"
"11601","0.625","ツムギ・オンステージ！ツムギがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","0.75","6","1","ツムギのボトルキャップ"
"11602","0.625","サマー衣装のツムギが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","0.75","6","1","ツムギのサマーボトルキャップ"
"11603","0.625","ノゾミ・オンステージ！ノゾミがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","0.75","6","1","ノゾミのボトルキャップ"
"11604","0.625","サマー衣装のノゾミが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","0.75","6","1","ノゾミのサマーボトルキャップ"
"11605","0.625","チカ・オンステージ！チカがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","0.75","6","1","チカのボトルキャップ"
"11606","0.625","サマー衣装のチカが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","0.75","6","1","チカのサマーボトルキャップ"
"11701","0.890625","ツムギのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","0.8828125","4","1","ツムギのミニタペストリー"
"11702","0.890625","ノゾミのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","0.8828125","4","1","ノゾミのミニタペストリー"
"11703","0.890625","チカのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","0.8828125","4","1","チカのミニタペストリー"
