f80679994a0eeccc7040e855bcf07cf821a60f5b3dbaaacf87f79cbd0bb746a7,ce995029bebfe59e9d5390196795d0f43603e54234b324baa6488f3072d7788a,81f466f6c9beb7ade2bc7c3d990aeacdd8c296a2167360849f3ee5d3d18d943a,9b4adc0d610ad9b1b6345186557430da7ccbea8fcc8b9e68be56f95c42225850,e1b5ae2d03e30e4c0fd650edafe775e5f6b174a5eb65776cb8c1edd02fbbc42f,8ab068028f423c8e08b7bd490b76f627907ed0e61a9b4b5f22eb9f7d3d5f228b,368f8b450b2472da8e72e017f9e051d99c56f7c1ca9ed8bb4c83f80bcac20177,e5bdcd13758a8a9cc15a58e27d3bee373d6afd82e248799d62e052e48c1ac64c,b052134a221e3d3d3a40cfdf82d0c550717363faefa5d09107d04989d9093b2d,a2c0ad5f0e90015d782674afaa959a014590715aca8dc88b081078480793a2fe,49cec19378a35e430b327a87c621329ca1337fa81524e98bcecaa3ab0733ff42
"","0","150","","0","9","8","91002","40005","85","0"
"","0","150","","0","10","8","91002","40005","86","0"
"","0","500","","0","1","8","91002","70000","87","0"
"","0","500","","0","2","8","91002","70000","88","0"
"","0","300","","0","1","8","91002","70001","89","0"
"","0","300","","0","2","8","91002","70001","90","0"
"","0","300","","0","3","8","91002","70001","91","0"
"","500213","100","ハツネ","1","1","8","91002","80001","92","101201"
"","500193","100","キョウカ","1","2","8","91002","80001","93","103601"
"","500263","100","マホ","1","3","8","91002","80001","94","101001"
"","500164","100","スズメ","1","4","8","91002","80001","95","102501"
"","500284","100","タマキ","1","5","8","91002","80001","96","104601"
"","500070","100","アキノ","1","6","8","91002","80001","97","103201"
"","500096","100","クリスティーナ","1","7","8","91002","80001","98","107101"
"","500096","100","トモ","1","8","8","91002","80001","99","103701"
"","500264","100","ミヤコ","1","9","8","91002","80001","100","100701"
"","500143","100","アンナ","1","10","8","91002","80001","101","100901"
"","500143","100","ルカ","1","11","8","91002","80001","102","105601"
"","500114","100","クルミ","1","12","8","91002","80001","103","102101"
"","500600","100","リノ","1","13","8","91002","80001","104","101101"
"","500040","100","ユイ","1","14","8","91002","80001","105","100201"
"","500033","100","ペコリーヌ","1","15","8","91002","80001","106","105801"
"","0","500","","0","1","8","91002","70002","107","0"
"","0","500","","0","2","8","91002","70002","108","0"
"","0","300","","0","1","8","91002","70003","109","0"
"","0","300","","0","2","8","91002","70003","110","0"
"","0","300","","0","3","8","91002","70003","111","0"
"","0","100","","0","1","8","91002","80002","112","0"
"","0","100","","0","2","8","91002","80002","113","0"
"","0","100","","0","3","8","91002","80002","114","0"
"","0","100","","0","4","8","91002","80002","115","0"
"","0","100","","0","5","8","91002","80002","116","0"
"","0","100","","0","6","8","91002","80002","117","0"
"","0","100","","0","7","8","91002","80002","118","0"
"","0","100","","0","8","8","91002","80002","119","0"
"","0","100","","0","9","8","91002","80002","120","0"
"","0","100","","0","10","8","91002","80002","121","0"
"","0","100","","0","11","8","91002","80002","122","0"
"","0","100","","0","12","8","91002","80002","123","0"
"","0","100","","0","13","8","91002","80002","124","0"
"","0","100","","0","14","8","91002","80002","125","0"
"","0","100","","0","15","8","91002","80002","126","0"
"","0","150","","0","1","8","91002","40006","127","0"
"","0","150","","0","2","8","91002","40006","128","0"
"","0","150","","0","3","8","91002","40006","129","0"
"","0","150","","0","4","8","91002","40006","130","0"
"","0","150","","0","5","8","91002","40006","131","0"
"","0","150","","0","6","8","91002","40006","132","0"
"","0","150","","0","7","8","91002","40006","133","0"
"","0","150","","0","8","8","91002","40006","134","0"
"","0","150","","0","9","8","91002","40006","135","0"
"","0","150","","0","10","8","91002","40006","136","0"
"","0","150","","0","1","8","91002","40007","137","0"
"","0","150","","0","2","8","91002","40007","138","0"
"","0","150","","0","3","8","91002","40007","139","0"
"","0","150","","0","4","8","91002","40007","140","0"
"","0","150","","0","5","8","91002","40007","141","0"
"","0","150","","0","6","8","91002","40007","142","0"
"","0","150","","0","7","8","91002","40007","143","0"
"","0","150","","0","8","8","91002","40007","144","0"
"","0","150","","0","9","8","91002","40007","145","0"
"","0","150","","0","10","8","91002","40007","146","0"
"","0","150","","0","1","8","91002","40008","147","0"
"","0","150","","0","2","8","91002","40008","148","0"
"","0","150","","0","3","8","91002","40008","149","0"
"","0","150","","0","4","8","91002","40008","150","0"
"","0","150","","0","5","8","91002","40008","151","0"
"","0","150","","0","6","8","91002","40008","152","0"
"","0","150","","0","7","8","91002","40008","153","0"
"","0","150","","0","8","8","91002","40008","154","0"
"","0","150","","0","9","8","91002","40008","155","0"
"","0","150","","0","10","8","91002","40008","156","0"
"","500371","100","","1","1","8","91002","80003","157","0"
"","500371","100","","1","2","8","91002","80003","158","0"
"","500033","100","","1","3","8","91002","80003","159","0"
"","500371","100","","1","4","8","91002","80003","160","0"
"","500033","100","","1","5","8","91002","80003","161","0"
"","500371","100","","1","6","8","91002","80003","162","0"
"","500367","100","","1","7","8","91002","80003","163","0"
"","500367","100","","1","8","8","91002","80003","164","0"
"","500367","100","","1","9","8","91002","80003","165","0"
"","500033","100","","1","10","8","91002","80003","166","0"
"","500033","100","","1","11","8","91002","80003","167","0"
"","500033","100","","1","12","8","91002","80003","168","0"
"","509020","100","","1","13","8","91002","80003","169","0"
"","500371","100","","1","14","8","91002","80003","170","0"
"","500033","100","","1","15","8","91002","80003","171","0"
"","0","500","","0","1","8","91002","70004","183","0"
"","0","500","","0","2","8","91002","70004","184","0"
"","0","300","","0","1","8","91002","70005","185","0"
"","0","300","","0","2","8","91002","70005","186","0"
"","0","300","","0","3","8","91002","70005","187","0"
"","530101","100","","0","1","8","91002","80004","188","0"
"","530102","100","","0","2","8","91002","80004","189","0"
"","530103","100","","0","3","8","91002","80004","190","0"
"","530104","100","","0","4","8","91002","80004","191","0"
"","530105","100","","0","5","8","91002","80004","192","0"
"","530106","100","","0","6","8","91002","80004","193","0"
"","530107","100","","0","7","8","91002","80004","194","0"
"","530108","100","","0","8","8","91002","80004","195","0"
"","530109","100","","0","9","8","91002","80004","196","0"
"","530110","100","","0","10","8","91002","80004","197","0"
"","530111","100","","0","11","8","91002","80004","198","0"
"","530112","100","","0","12","8","91002","80004","199","0"
"","530113","100","","0","13","8","91002","80004","200","0"
"","530114","100","","0","14","8","91002","80004","201","0"
"","530115","100","","0","15","8","91002","80004","202","0"
"","530116","100","","0","16","8","91002","80004","203","0"
"","530117","100","","0","17","8","91002","80004","204","0"
"","530117","1","","0","17","7","2805","80004","205","0"
"","0","150","","0","1","8","91002","40009","206","0"
"","0","150","","0","2","8","91002","40009","207","0"
"","0","150","","0","3","8","91002","40009","208","0"
"","0","150","","0","4","8","91002","40009","209","0"
"","0","150","","0","5","8","91002","40009","210","0"
"","0","150","","0","6","8","91002","40009","211","0"
"","0","150","","0","7","8","91002","40009","212","0"
"","0","150","","0","8","8","91002","40009","213","0"
"","0","150","","0","9","8","91002","40009","214","0"
"","0","150","","0","10","8","91002","40009","215","0"
"","500367","100","","0","1","8","91002","80005","216","0"
"","500367","100","","0","2","8","91002","80005","217","0"
"","500367","100","","0","3","8","91002","80005","218","0"
"","500367","100","","0","4","8","91002","80005","219","0"
"","500367","100","","0","5","8","91002","80005","220","0"
"","500367","100","","0","6","8","91002","80005","221","0"
"","500367","100","","0","7","8","91002","80005","222","0"
"","500367","100","","0","8","8","91002","80005","223","0"
"","500367","100","","0","9","8","91002","80005","224","0"
"","500367","100","","0","10","8","91002","80005","225","0"
"","500367","100","","0","11","8","91002","80005","226","0"
"","500367","100","","0","12","8","91002","80005","227","0"
"","500367","100","","0","13","8","91002","80005","228","0"
"","500367","100","","0","14","8","91002","80005","229","0"
"","500367","100","","0","15","8","91002","80005","230","0"
"","0","500","","0","1","8","91002","70006","231","0"
"","0","500","","0","2","8","91002","70006","232","0"
"","0","300","","0","1","8","91002","70007","233","0"
"","0","300","","0","2","8","91002","70007","234","0"
"","0","300","","0","3","8","91002","70007","235","0"
"","0","150","","0","1","8","91002","40010","236","0"
"","0","150","","0","2","8","91002","40010","237","0"
"","0","150","","0","3","8","91002","40010","238","0"
"","0","150","","0","4","8","91002","40010","239","0"
"","0","150","","0","5","8","91002","40010","240","0"
"","0","150","","0","6","8","91002","40010","241","0"
"","0","150","","0","7","8","91002","40010","242","0"
"","0","150","","0","8","8","91002","40010","243","0"
"","0","150","","0","9","8","91002","40010","244","0"
"","0","150","","0","10","8","91002","40010","245","0"
"","530121","100","","0","1","8","91002","80006","246","0"
"","530122","100","","0","2","8","91002","80006","247","0"
"","530123","100","","0","3","8","91002","80006","248","0"
"","530124","100","","0","4","8","91002","80006","249","0"
"","530125","100","","0","5","8","91002","80006","250","0"
"","530126","100","","0","6","8","91002","80006","251","0"
"","530127","100","","0","7","8","91002","80006","252","0"
"","530128","100","","0","8","8","91002","80006","253","0"
"","530129","100","","0","9","8","91002","80006","254","0"
"","530130","100","","0","10","8","91002","80006","255","0"
"","530131","100","","0","11","8","91002","80006","256","0"
"","530132","100","","0","12","8","91002","80006","257","0"
"","530133","100","","0","13","8","91002","80006","258","0"
"","530134","100","","0","14","8","91002","80006","259","0"
"","530135","100","","0","15","8","91002","80006","260","0"
"","530136","100","","0","16","8","91002","80006","261","0"
"","530137","100","","0","17","8","91002","80006","262","0"
"","530137","1","","0","17","7","2816","80006","263","0"
"","530123","100","","0","1","8","91002","80007","264","0"
"","530124","100","","0","2","8","91002","80007","265","0"
"","530125","100","","0","3","8","91002","80007","266","0"
"","530126","100","","0","4","8","91002","80007","267","0"
"","530127","100","","0","5","8","91002","80007","268","0"
"","530128","100","","0","6","8","91002","80007","269","0"
"","530129","100","","0","7","8","91002","80007","270","0"
"","530130","100","","0","8","8","91002","80007","271","0"
"","530131","100","","0","9","8","91002","80007","272","0"
"","530132","100","","0","10","8","91002","80007","273","0"
"","530133","100","","0","11","8","91002","80007","274","0"
"","530134","100","","0","12","8","91002","80007","275","0"
"","530135","100","","0","13","8","91002","80007","276","0"
"","530136","100","","0","14","8","91002","80007","277","0"
"","530137","100","","0","15","8","91002","80007","278","0"
"","530137","1","","0","15","16","9000215","80007","279","0"
"","530137","1","","0","15","16","9000216","80007","280","0"
"","0","500","","0","1","8","91002","70008","281","0"
"","0","500","","0","2","8","91002","70008","282","0"
"","0","1000","","0","1","8","91002","70009","283","0"
"","530141","100","","0","1","8","91002","80008","284","0"
"","530142","100","","0","2","8","91002","80008","285","0"
"","530143","100","","0","3","8","91002","80008","286","0"
"","530144","100","","0","4","8","91002","80008","287","0"
"","530145","100","","0","5","8","91002","80008","288","0"
"","530146","100","","0","6","8","91002","80008","289","0"
"","530147","100","","0","7","8","91002","80008","290","0"
"","530148","100","","0","8","8","91002","80008","291","0"
"","530149","100","","0","9","8","91002","80008","292","0"
"","530150","100","","0","10","8","91002","80008","293","0"
"","530151","100","","0","11","8","91002","80008","294","0"
"","530152","100","","0","12","8","91002","80008","295","0"
"","530153","100","","0","13","8","91002","80008","296","0"
"","530154","100","","0","14","8","91002","80008","297","0"
"","530155","100","","0","15","8","91002","80008","298","0"
"","530156","100","","0","16","8","91002","80008","299","0"
"","530156","1","","0","16","7","2830","80008","300","0"
"","0","100","","0","1","8","91002","20001","301","0"
"","0","20","","0","1","2","23001","20001","302","0"
"","0","100","","0","2","8","91002","20001","303","0"
"","0","20","","0","2","2","23001","20001","304","0"
"","0","1","","0","3","2","24016","20001","305","0"
"","0","20","","0","3","2","23001","20001","306","0"
"","0","100","","0","4","8","91002","20001","307","0"
"","0","20","","0","4","2","23001","20001","308","0"
"","0","300","","0","5","8","91002","20001","309","0"
"","0","20","","0","5","2","23001","20001","310","0"
"","0","100","","0","6","8","91002","20001","311","0"
"","0","20","","0","6","2","23001","20001","312","0"
"","0","100","","0","7","8","91002","20001","313","0"
"","0","20","","0","7","2","23001","20001","314","0"
"","0","200","","0","8","8","91002","20001","315","0"
"","0","20","","0","8","2","23001","20001","316","0"
"","0","300","","0","9","8","91002","20001","317","0"
"","0","20","","0","9","2","23001","20001","318","0"
"","0","1","","0","10","2","24016","20001","319","0"
"","0","20","","0","10","2","23001","20001","320","0"
"もうすぐ、みなさまに\nお会いできるのですね。\n胸が高鳴ってしまいます……\n","0","1","リリ","1","1","2","24001","40011","321","125801"
"初めまして、クリアです♪\nみなさんと一緒に冒険するの\nとっても楽しみにしてます","0","1","クリア","1","2","2","24001","40011","322","126001"
"んーと。\nこれ、あげる。\nはい","0","1","プレシア","1","3","2","24001","40011","323","126101"
"あらためまして……\n【アルターメイデン】の\nギルドマスター、リリと申します","0","1","リリ","2","4","2","24001","40011","324","125801"
"こんにちは、お兄さん♪\n【アルターメイデン】の\nクリアです","0","1","クリア","2","5","2","24001","40011","325","126001"
"お兄。\nきてくれて、うれしい","0","1","プレシア","2","6","2","24001","40011","326","126101"
"","532001","100","","0","1","8","91002","80009","327","0"
"","532002","100","","0","2","8","91002","80009","328","0"
"","532003","100","","0","3","8","91002","80009","329","0"
"","532004","100","","0","4","8","91002","80009","330","0"
"","532005","100","","0","5","8","91002","80009","331","0"
"","532006","100","","0","6","8","91002","80009","332","0"
"","532007","100","","0","7","8","91002","80009","333","0"
"","532008","100","","0","8","8","91002","80009","334","0"
"","532009","100","","0","9","8","91002","80009","335","0"
"","532010","100","","0","10","8","91002","80009","336","0"
"","532011","100","","0","11","8","91002","80009","337","0"
"","532012","100","","0","12","8","91002","80009","338","0"
"","532013","100","","0","13","8","91002","80009","339","0"
"","532014","100","","0","14","8","91002","80009","340","0"
"","532015","100","","0","15","8","91002","80009","341","0"
"","0","1","","0","1","2","24001","40012","342","0"
"","0","1","","0","2","2","24001","40012","343","0"
"","0","1","","0","3","18","4201402","40012","344","0"
"","0","1","","0","4","2","24001","40012","345","0"
"","0","1","","0","5","2","24001","40012","346","0"
"","0","1","","0","6","18","4203402","40012","347","0"
"","0","1","","0","7","2","24001","40012","348","0"
"","0","1","","0","8","16","9000229","40012","349","0"
"","0","500","","0","1","8","91002","70010","350","0"
"","0","1","","0","1","2","41000","70012","351","0"
"","0","1000","","0","1","8","91002","70011","352","0"
"","530157","100","","0","1","8","91002","80010","353","0"
"","530158","100","","0","2","8","91002","80010","354","0"
"","530159","100","","0","3","8","91002","80010","355","0"
"","530160","100","","0","4","8","91002","80010","356","0"
"","530161","100","","0","5","8","91002","80010","357","0"
"","530162","100","","0","6","8","91002","80010","358","0"
"","530163","100","","0","7","8","91002","80010","359","0"
"","530164","100","","0","8","8","91002","80010","360","0"
"","530165","100","","0","9","8","91002","80010","361","0"
"","530166","100","","0","10","8","91002","80010","362","0"
"","530167","100","","0","11","8","91002","80010","363","0"
"","530168","100","","0","12","8","91002","80010","364","0"
"","530173","1","","0","12","7","2844","80010","365","0"
"","530169","100","","0","13","8","91002","80010","366","0"
"","530173","1","","0","13","7","2846","80010","367","0"
"","530170","100","","0","14","8","91002","80010","368","0"
"","530173","1","","0","14","7","2845","80010","369","0"
"","530171","100","","0","15","8","91002","80010","370","0"
"","530173","5","","0","15","7","2843","80010","371","0"
"","530172","100","","0","16","8","91002","80010","372","0"
"","530173","1","","0","16","7","2842","80010","373","0"
"","0","1","","0","1","16","9000236","40013","374","0"
"","0","1","","0","1","16","9000237","40013","375","0"
"","0","1","","0","1","16","9000238","40013","376","0"
"","0","1","","0","1","16","9000239","40013","377","0"
"","532001","100","","0","1","8","91002","80011","378","0"
"","532002","100","","0","2","8","91002","80011","379","0"
"","532003","100","","0","3","8","91002","80011","380","0"
"","532004","100","","0","4","8","91002","80011","381","0"
"","532005","100","","0","5","8","91002","80011","382","0"
"","532006","100","","0","6","8","91002","80011","383","0"
"","532007","100","","0","7","8","91002","80011","384","0"
"","532008","100","","0","8","8","91002","80011","385","0"
"","532009","100","","0","9","8","91002","80011","386","0"
"","532010","100","","0","10","8","91002","80011","387","0"
"","532011","100","","0","11","8","91002","80011","388","0"
"","532012","100","","0","12","8","91002","80011","389","0"
"","532013","100","","0","13","8","91002","80011","390","0"
"","532014","100","","0","14","8","91002","80011","391","0"
"","532015","100","","0","15","8","91002","80011","392","0"
"","0","1","","0","1","18","4305403","40014","393","0"
"","0","1","","0","2","16","9000242","40014","394","0"
"","0","500","","0","1","8","91002","40015","395","0"
"","0","3000","","0","2","2","90008","40015","396","0"
"","0","500","","0","3","8","91002","40015","397","0"
"","0","3000","","0","4","2","90008","40015","398","0"
"","0","1000","","0","5","8","91002","40015","399","0"
"","0","1000","","0","1","8","91002","70013","400","0"
"","0","500","","0","1","8","91002","70014","401","0"
"","0","1","","0","1","2","41000","70015","402","0"
"","530208","100","","0","1","8","91002","80012","403","0"
"","530209","100","","0","2","8","91002","80012","404","0"
"","530210","100","","0","3","8","91002","80012","405","0"
"","530211","100","","0","4","8","91002","80012","406","0"
"","530212","100","","0","5","8","91002","80012","407","0"
"","530213","100","","0","6","8","91002","80012","408","0"
"","530214","100","","0","7","8","91002","80012","409","0"
"","530215","100","","0","8","8","91002","80012","410","0"
"","0","10000","","0","1","2","25011","40015","411","0"
"","0","3000","","0","1","2","25021","40015","412","0"
"","0","10000","","0","2","2","25012","40015","413","0"
"","0","3000","","0","2","2","25021","40015","414","0"
"","0","10000","","0","3","2","25013","40015","415","0"
"","0","3000","","0","3","2","25021","40015","416","0"
"","0","10000","","0","4","2","25014","40015","417","0"
"","0","3000","","0","4","2","25021","40015","418","0"
"","0","10000","","0","5","2","25015","40015","419","0"
"","0","3000","","0","5","2","25021","40015","420","0"
"","0","50","","0","1","8","91002","70016","421","0"
