4da9ba9bf0087d9c0d604ad470ba962158a3f6d4ede97afe16ccad0bca9b8162,006fb82ebff786a761caefbc6b949a3c95cb927c958f52b393b2967551aafbf4,cfdc7f796580dbb3f2d3c4bf96151e9e33145289407cb7db6674c985aaa582a8,d1763208e1e40e4dab153e7fac8a5480fd4b07d6544549f18cbfa6370b87f43d,d988096e28cf18d1da73570b5858241d8459a9bb9ede3e93b6219cb0734b381a,0fb7f83e53824a78ccc9fc8c87db6337666d1c68073ff3da4c7397b366d3aad7,39c556dccfb5e0dd036a5165cdc4b835e26f35705c89565bd3c47bcf53a5272e,33294b66c305e03978e9dbd6f36b4160fede96040d26d7cb74f6ec39152f909c,c971d7cd6923ba013ed5f7d582c30385cdf91438032ce25396aff973aa320e4f,4fc17c1bc632d0a17fda73719828b468eb8dfcbee77013235af6d377c8bc9307,7a7075ea4c04c35efb375fe95494d6ad2f9d92c322c97e8f050d136f2569d356
"1","351","","31","1","-850","1","","13510004","-180","1"
"0","351","","91","","","0","","13510005","",""
"<unit_id>","351","","2","","-180","1050","","13510006","10",""
"1","351","","2","","-180","1050","","13510007","10",""
"1","351","","33","","-180","1050","","13510008","10",""
"se_10053800","352","","23","","","se_fpc_water_random","","13520001","",""
"1","352","0","1","-180","23","<unit_id>","cmn_swm_flutterKick_floatRing","13520002","-850","1.75"
"1","352","0","5","-180","22","1","cmn_swm_flutterKick_floatBoad_blue","13520003","-850","1.75"
"1","352","","31","1","-850","1","","13520004","-180","1"
"0","352","","91","","","0","","13520005","",""
"<unit_id>","352","","2","","-180","1050","","13520006","10",""
"1","352","","2","","-180","1050","","13520007","10",""
"1","352","","33","","-180","1050","","13520008","10",""
"se_10053800","401","","23","","","se_fpc_water_random","","14010001","",""
"1","401","0","1","-180","22","<unit_id>","cmn_float","14010002","-850","1.75"
"6","401","","31","1","-850","6","","14010003","-180","1"
"0","401","","91","","","0","","14010004","",""
"<unit_id>","401","","2","","-180","1050","","14010005","10",""
"6","401","","33","","-180","1050","","14010006","10",""
"se_10053800","402","","23","","","se_fpc_water_random","","14020001","",""
"1","402","0","1","-180","22","<unit_id>","cmn_float_4","14020002","-850","1.75"
"6","402","","31","1","-850","6","","14020003","-180","1"
"0","402","","91","","","0","","14020004","",""
"<unit_id>","402","","2","","-180","1050","","14020005","10",""
"6","402","","33","","-180","1050","","14020006","10",""
"se_10053800","451","","23","","","se_fpc_water_random","","14510001","",""
"1","451","0","1","-180","22","<unit_id>","cmn_crawl","14510002","-850","1.75"
"1","451","","31","1","-850","1","","14510003","-180","1"
"0","451","","91","","","0","","14510004","",""
"<unit_id>","451","","2","","-180","1050","","14510005","10",""
"1","451","","33","","-180","1050","","14510006","10",""
"se_10053800","501","","23","","","se_fpc_water_random","","15010001","",""
"1","501","0","1","-250","45","<unit_id>","cmn_surfing","15010002","-850","1.75"
"6","501","0","5","-250","44","6","cmn_surfing","15010003","-850","1.75"
"11","501","","31","1","-850","11","","15010004","-250","1"
"0","501","","91","","","0","","15010005","",""
"<unit_id>","501","","2","","-250","1800","","15010006","6",""
"6","501","","2","","-250","1800","","15010007","6",""
"11","501","","33","","-250","1800","","15010008","6",""
"se_10053800","501","","23","","","se_10053800_surfing_wave","","15010009","",""
"se_10053800","851","","23","","","se_fpc_water_random","","18510001","",""
"1","851","0","1","-125","45","107511","cmn_surfing","18510002","-850","1.75"
"1","851","0","1","-250","45","107611","cmn_surfing","18510003","-1100","1.75"
"1","851","0","1","-125","45","107811","cmn_surfing","18510004","-1350","1.75"
"6","851","0","5","-125","44","1","cmn_surfing","18510005","-850","1.75"
"6","851","0","5","-250","44","2","cmn_surfing","18510006","-1100","1.75"
"6","851","0","5","-125","44","3","cmn_surfing","18510007","-1350","1.75"
"11","851","","31","1","-850","1","","18510008","-125","1"
"11","851","","31","1","-1100","2","","18510009","-250","1"
"11","851","","31","1","-1350","3","","18510010","-125","1"
"107511","851","","2","","-125","2350","","18510011","6",""
"107611","851","","2","","-250","2100","","18510012","6",""
"107811","851","","2","","-125","1850","","18510013","6",""
"1","851","","2","","-125","2350","","18510014","6",""
"2","851","","2","","-250","2100","","18510015","6",""
"3","851","","2","","-125","1850","","18510016","6",""
"1","851","","33","","-125","2350","","18510017","6",""
"2","851","","33","","-250","2100","","18510018","6",""
"3","851","","33","","-125","1850","","18510019","6",""
"se_10053800","851","","23","","","se_10053800_surfing_wave","","18510020","",""
"0.3","851","","93","","","","","18510021","",""
"vo_fpc","851","","21","","","vo_fpc_85101","","18510022","0",""
"se_10053800","852","","23","","","se_fpc_water_random","","18520001","",""
"1","852","0","1","-125","13","122411","cmn_swm_flutterKick_floatRing","18520002","-850","1.75"
"1","852","0","1","-250","33","122511","cmn_swm_flutterKick_floatRing","18520003","-1100","1.75"
"1","852","0","1","-125","13","122611","cmn_swm_flutterKick_floatRing","18520004","-1350","1.75"
"1","852","0","5","-125","12","1","cmn_swm_flutterKick_floatRing","18520005","-850","1.75"
"1","852","0","5","-250","32","2","cmn_swm_flutterKick_floatRing_blue","18520006","-1100","1.75"
"1","852","0","5","-125","12","3","cmn_swm_flutterKick_floatRing_pink","18520007","-1350","1.75"
"7","852","","31","1","-850","1","","18520008","-125","1"
"1","852","","31","1","-1100","2","","18520009","-250","1"
"7","852","","31","1","-1350","3","","18520010","-125","1"
"122411","852","","2","","-125","1750","","18520011","10",""
"122511","852","","2","","-250","1500","","18520012","10",""
"122611","852","","2","","-125","1250","","18520013","10",""
"1","852","","2","","-125","1750","","18520014","10",""
"2","852","","2","","-250","1500","","18520015","10",""
"3","852","","2","","-125","1250","","18520016","10",""
"1","852","","33","","-125","1750","","18520017","10",""
"2","852","","33","","-250","1500","","18520018","10",""
"3","852","","33","","-125","1250","","18520019","10",""
"se_10053800","853","","23","","","se_fpc_water_random","","18530001","",""
"1","853","0","1","-125","12","117211","cmn_swm_breastStroke","18530002","-850","1.75"
"1","853","0","1","-250","32","117311","cmn_swm_breastStroke","18530003","-1100","1.75"
"1","853","0","1","-125","12","117411","cmn_swm_breastStroke","18530004","-1350","1.75"
"2","853","","31","1","-850","1","","18530005","-125","1"
"2","853","","31","1","-1100","2","","18530006","-250","1"
"2","853","","31","1","-1350","3","","18530007","-125","1"
"117211","853","","2","","-125","1750","","18530008","10",""
"117311","853","","2","","-250","1500","","18530009","10",""
"117411","853","","2","","-125","1250","","18530010","10",""
"1","853","","33","","-125","1750","","18530011","10",""
"2","853","","33","","-250","1500","","18530012","10",""
"3","853","","33","","-125","1250","","18530013","10",""
"se_10053800","854","","23","","","se_fpc_water_random","","18540001","",""
"1","854","0","1","-125","13","122711","cmn_swm_flutterKick_floatRing","18540002","-850","1.75"
"1","854","0","1","-250","33","122811","cmn_swm_flutterKick_floatRing","18540003","-1100","1.75"
"1","854","0","1","-125","13","122911","cmn_swm_flutterKick_floatRing","18540004","-1350","1.75"
"1","854","0","5","-125","12","1","cmn_swm_flutterKick_floatBoad","18540005","-850","1.75"
"1","854","0","5","-250","32","2","cmn_swm_flutterKick_floatBoad_blue","18540006","-1100","1.75"
"1","854","0","5","-125","12","3","cmn_swm_flutterKick_floatBoad","18540007","-1350","1.75"
"7","854","","31","1","-850","1","","18540008","-125","1"
"1","854","","31","1","-1100","2","","18540009","-250","1"
"7","854","","31","1","-1350","3","","18540010","-125","1"
"122711","854","","2","","-125","1750","","18540011","10",""
"122811","854","","2","","-250","1500","","18540012","10",""
"122911","854","","2","","-125","1250","","18540013","10",""
"1","854","","2","","-125","1750","","18540014","10",""
"2","854","","2","","-250","1500","","18540015","10",""
"3","854","","2","","-125","1250","","18540016","10",""
"1","854","","33","","-125","1750","","18540017","10",""
"2","854","","33","","-250","1500","","18540018","10",""
"3","854","","33","","-125","1250","","18540019","10",""
"se_10053800","855","","23","","","se_fpc_water_random","","18550001","",""
"1","855","0","1","-125","13","113411","cmn_swm_flutterKick_floatRing","18550002","-850","1.75"
"1","855","0","1","-250","33","113511","cmn_swm_flutterKick_floatRing","18550003","-1100","1.75"
"1","855","0","5","-125","12","1","cmn_swm_flutterKick_floatBoad","18550004","-850","1.75"
"1","855","0","5","-250","32","2","cmn_swm_flutterKick_floatBoad_blue","18550005","-1100","1.75"
"7","855","","31","1","-850","1","","18550006","-125","1"
"1","855","","31","1","-1100","2","","18550007","-250","1"
"113411","855","","2","","-125","1750","","18550008","10",""
"113511","855","","2","","-250","1500","","18550009","10",""
"1","855","","2","","-125","1750","","18550010","10",""
"2","855","","2","","-250","1500","","18550011","10",""
"1","855","","33","","-125","1750","","18550012","10",""
"2","855","","33","","-250","1500","","18550013","10",""
"se_10053800","856","","23","","","se_fpc_water_random","","18560001","",""
"1","856","0","1","-125","13","110311","cmn_swm_tread","18560002","-850","1.75"
"1","856","0","1","-250","33","107711","cmn_swm_tread","18560003","-1100","1.75"
"1","856","0","5","-125","12","1","cmn_swm_tread_pink","18560004","-850","1.75"
"1","856","0","5","-250","32","2","cmn_swm_tread","18560005","-1100","1.75"
"13","856","","31","1","-850","1","","18560006","-125","1"
"3","856","","31","1","-1100","2","","18560007","-250","1"
"110311","856","","2","","-125","1750","","18560008","13.5",""
"107711","856","","2","","-250","1500","","18560009","13.5",""
"1","856","","2","","-125","1750","","18560010","13.5",""
"2","856","","2","","-250","1500","","18560011","13.5",""
"1","856","","33","","-125","1750","","18560012","13.5",""
"2","856","","33","","-250","1500","","18560013","13.5",""
"se_10053800","857","","23","","","se_fpc_water_random","","18570001","",""
"1","857","0","1","-125","13","110411","cmn_swm_tread","18570002","-850","1.75"
"1","857","0","1","-250","33","110511","cmn_swm_tread","18570003","-1100","1.75"
"1","857","0","1","-125","13","115711","cmn_swm_tread","18570004","-1350","1.75"
"1","857","0","1","-250","33","110611","cmn_boat_relax","18570005","-1600","1.75"
"1","857","0","5","-125","12","1","cmn_swm_tread_blue","18570006","-850","1.75"
"1","857","0","5","-250","32","2","cmn_swm_tread","18570007","-1100","1.75"
"1","857","0","5","-125","12","3","cmn_swm_tread_pink","18570008","-1350","1.75"
"2","857","0","5","-250","32","4","cmn_boat_idle_l","18570009","-1600","1.75"
"13","857","","31","1","-850","1","","18570010","-125","1"
"3","857","","31","1","-1100","2","","18570011","-250","1"
"13","857","","31","1","-1350","3","","18570012","-125","1"
"116","857","","31","1","-1600","4","","18570013","-250","1"
"110411","857","","2","","-125","1750","","18570014","13.5",""
"110511","857","","2","","-250","1500","","18570015","13.5",""
"115711","857","","2","","-125","1250","","18570016","13.5",""
"110611","857","","2","","-250","1000","","18570017","13.5",""
"1","857","","2","","-125","1750","","18570018","13.5",""
"2","857","","2","","-250","1500","","18570019","13.5",""
"3","857","","2","","-125","1250","","18570020","13.5",""
"4","857","","2","","-250","1000","","18570021","13.5",""
"1","857","","33","","-125","1750","","18570022","13.5",""
"2","857","","33","","-250","1500","","18570023","13.5",""
"3","857","","33","","-125","1250","","18570024","13.5",""
"4","857","","33","","-250","1000","","18570025","13.5",""
"se_10053800","858","","23","","","se_fpc_water_random","","18580001","",""
"1","858","0","1","-125","13","126711","cmn_swm_tread","18580002","-850","1.75"
"1","858","0","1","-125","13","126711","cmn_swm_tread","18580003","-850","1.75"
"1","858","0","1","-250","33","126811","cmn_swm_tread","18580004","-1100","1.75"
"1","858","0","1","-125","13","108011","cmn_swm_tread","18580005","-1350","1.75"
"1","858","0","1","-250","33","107911","cmn_boat_cat","18580006","-1600","1.75"
"1","858","0","5","-125","12","1","cmn_swm_tread_pink","18580007","-850","1.75"
"1","858","0","5","-250","32","2","cmn_swm_tread","18580008","-1100","1.75"
"1","858","0","5","-125","12","3","cmn_swm_tread_blue","18580009","-1350","1.75"
"2","858","0","5","-250","32","4","cmn_boat_idle_l","18580010","-1600","1.75"
"13","858","","31","1","-850","1","","18580011","-125","1"
"3","858","","31","1","-1100","2","","18580012","-250","1"
"13","858","","31","1","-1350","3","","18580013","-125","1"
"116","858","","31","1","-1600","4","","18580014","-250","1"
"126711","858","","2","","-125","1750","","18580015","13.5",""
"126811","858","","2","","-250","1500","","18580016","13.5",""
"108011","858","","2","","-125","1250","","18580017","13.5",""
"107911","858","","2","","-250","1000","","18580018","13.5",""
"1","858","","2","","-125","1750","","18580019","13.5",""
"2","858","","2","","-250","1500","","18580020","13.5",""
"3","858","","2","","-125","1250","","18580021","13.5",""
"4","858","","2","","-250","1000","","18580022","13.5",""
"1","858","","33","","-125","1750","","18580023","13.5",""
"2","858","","33","","-250","1500","","18580024","13.5",""
"3","858","","33","","-125","1250","","18580025","13.5",""
"4","858","","33","","-250","1000","","18580026","13.5",""
"se_10053800","859","","23","","","se_fpc_water_random","","18590001","",""
"1","859","0","1","-125","45","113111","cmn_surfing","18590002","-850","1.75"
"1","859","0","1","-250","45","113211","cmn_surfing","18590003","-1100","1.75"
"1","859","0","1","-125","45","113311","cmn_surfing","18590004","-1350","1.75"
"1","859","0","1","-250","45","117011","cmn_surfing","18590005","-1600","1.75"
"6","859","0","5","-125","44","1","cmn_surfing","18590006","-850","1.75"
"6","859","0","5","-250","44","2","cmn_surfing","18590007","-1100","1.75"
"6","859","0","5","-125","44","3","cmn_surfing","18590008","-1350","1.75"
"6","859","0","5","-250","44","4","cmn_surfing","18590009","-1600","1.75"
"11","859","","31","1","-850","1","","18590010","-125","1"
"11","859","","31","1","-1100","2","","18590011","-250","1"
"11","859","","31","1","-1350","3","","18590012","-125","1"
"11","859","","31","1","-1600","4","","18590013","-250","1"
"113111","859","","2","","-125","2350","","18590014","6",""
"113211","859","","2","","-250","2100","","18590015","6",""
"113311","859","","2","","-125","1850","","18590016","6",""
"117011","859","","2","","-250","1600","","18590017","6",""
"1","859","","2","","-125","2350","","18590018","6",""
"2","859","","2","","-250","2100","","18590019","6",""
"3","859","","2","","-125","1850","","18590020","6",""
"4","859","","2","","-250","1600","","18590021","6",""
"1","859","","33","","-125","2350","","18590022","6",""
"2","859","","33","","-250","2100","","18590023","6",""
"3","859","","33","","-125","1850","","18590024","6",""
"4","859","","33","","-250","1600","","18590025","6",""
"se_10053800","859","","23","","","se_10053800_surfing_wave","","18590026","",""
"0.3","859","","93","","","","","18590027","",""
"vo_fpc","859","","21","","","vo_fpc_85901","","18590028","0",""
"se_10053800","860","","23","","","se_fpc_water_random","","18600001","",""
"1","860","0","1","-180","23","110011","cmn_boat_relax_l","18600002","-850","1.75"
"1","860","0","1","-180","23","110111","cmn_boat_relax","18600003","-1200","1.75"
"2","860","0","5","-180","22","1","cmn_boat_idle_blue","18600004","-850","1.75"
"2","860","0","5","-180","22","2","cmn_boat_idle_l","18600005","-1200","1.75"
"116","860","","31","1","-850","1","","18600006","-180","1"
"116","860","","31","1","-1200","2","","18600007","-180","1"
"110011","860","","2","","-180","1750","","18600008","13.5",""
"110111","860","","2","","-180","1400","","18600009","13.5",""
"1","860","","2","","-180","1750","","18600010","13.5",""
"2","860","","2","","-180","1400","","18600011","13.5",""
"1","860","","33","","-180","1750","","18600012","13.5",""
"2","860","","33","","-180","1400","","18600013","13.5",""
"2.7","860","","93","","","","","18600014","",""
"vo_fpc","860","","21","","","vo_fpc_86001","","18600015","0",""
"se_10053800","861","","23","","","se_fpc_water_random","","18610001","",""
"1","861","0","1","-125","13","129511","cmn_swm_tread","18610002","-850","1.75"
"1","861","0","1","-250","33","129411","cmn_swm_tread","18610003","-1100","1.75"
"1","861","0","1","-125","13","129311","cmn_swm_tread","18610004","-1350","1.75"
"1","861","0","5","-125","12","1","cmn_swm_tread_pink","18610005","-850","1.75"
"1","861","0","5","-250","32","2","cmn_swm_tread_blue","18610006","-1100","1.75"
"1","861","0","5","-125","12","3","cmn_swm_tread","18610007","-1350","1.75"
"13","861","","31","1","-850","1","","18610008","-125","1"
"3","861","","31","1","-1100","2","","18610009","-250","1"
"13","861","","31","1","-1350","3","","18610010","-125","1"
"129511","861","","2","","-125","1750","","18610011","13.5",""
"129411","861","","2","","-250","1500","","18610012","13.5",""
"129311","861","","2","","-125","1250","","18610013","13.5",""
"1","861","","2","","-125","1750","","18610014","13.5",""
"2","861","","2","","-250","1500","","18610015","13.5",""
"3","861","","2","","-125","1250","","18610016","13.5",""
"1","861","","33","","-125","1750","","18610017","13.5",""
"2","861","","33","","-250","1500","","18610018","13.5",""
"3","861","","33","","-125","1250","","18610019","13.5",""
"se_10053800","862","","23","","","se_fpc_water_random","","18620001","",""
"1","862","0","1","-125","13","126711","cmn_swm_tread","18620002","-850","1.75"
"1","862","0","1","-250","33","126811","cmn_swm_tread","18620003","-1100","1.75"
"21","862","0","5","-180","22","21","02_neneka_floatRing","18620004","-1350","1.66"
"1","862","0","5","-125","12","1","cmn_swm_tread","18620005","-850","1.75"
"1","862","0","5","-250","32","2","cmn_swm_tread_blue","18620006","-1100","1.75"
"13","862","","31","1","-850","1","","18620007","-125","1"
"3","862","","31","1","-1100","2","","18620008","-250","1"
"102","862","","31","1","-1350","3","","18620009","-180","1"
"126711","862","","2","","-125","1750","","18620010","13.5",""
"126811","862","","2","","-250","1500","","18620011","13.5",""
"21","862","","2","","-180","1250","","18620012","13.5",""
"1","862","","2","","-125","1750","","18620013","13.5",""
"2","862","","2","","-250","1500","","18620014","13.5",""
"1","862","","33","","-125","1750","","18620015","13.5",""
"2","862","","33","","-250","1500","","18620016","13.5",""
"3","862","","33","","-180","1250","","18620017","13.5",""
"se_10053800","863","","23","","","se_fpc_water_random","","18630001","",""
"1","863","1","1","-180","22","126911","cmn_float","18630002","-1100","1.75"
"1","863","0","1","-125","12","127011","cmn_float","18630003","-1350","1.75"
"1","863","0","1","-180","22","127111","cmn_float","18630004","-1600","1.75"
"6","863","","31","1","-1070","2","","18630005","-180","1"
"6","863","","31","1","-1350","3","","18630006","-125","1"
"6","863","","31","1","-1600","4","","18630007","-180","1"
"126911","863","","2","","-180","1500","","18630008","13.5",""
"127011","863","","2","","-125","1250","","18630009","13.5",""
"127111","863","","2","","-180","1000","","18630010","13.5",""
"2","863","","33","","-180","1530","","18630011","13.5",""
"3","863","","33","","-125","1250","","18630012","13.5",""
"4","863","","33","","-180","1000","","18630013","13.5",""
"2.3","863","","93","","","","","18630014","",""
"vo_fpc","863","","21","","","vo_fpc_86301","","18630015","0",""
"se_10053800","864","","23","","","se_fpc_water_random","","18640001","",""
"1","864","0","1","-125","45","107811","cmn_surfing","18640002","-850","1.75"
"1","864","0","1","-250","45","110011","cmn_surfing","18640003","-1100","1.75"
"6","864","0","5","-125","44","1","cmn_surfing","18640004","-850","1.75"
"6","864","0","5","-250","44","2","cmn_surfing","18640005","-1100","1.75"
"11","864","","31","1","-850","1","","18640006","-125","1"
"11","864","","31","1","-1100","2","","18640007","-250","1"
"107811","864","","2","","-125","2350","","18640008","6",""
"110011","864","","2","","-250","2100","","18640009","6",""
"1","864","","2","","-125","2350","","18640010","6",""
"2","864","","2","","-250","2100","","18640011","6",""
"1","864","","33","","-125","2350","","18640012","6",""
"2","864","","33","","-250","2100","","18640013","6",""
"se_10053800","864","","23","","","se_10053800_surfing_wave","","18640014","",""
"0.2","864","","93","","","","","18640015","",""
"vo_fpc","864","","21","","","vo_fpc_86401","","18640016","0",""
"se_10053800","865","","23","","","se_fpc_water_random","","18650001","",""
"1","865","0","1","-125","13","110311","cmn_swm_flutterKick_floatRing","18650002","-850","1.75"
"1","865","0","1","-250","33","113111","cmn_swm_flutterKick_floatRing","18650003","-1100","1.75"
"1","865","0","5","-125","12","1","cmn_swm_flutterKick_floatRing_pink","18650004","-850","1.75"
"1","865","0","5","-250","32","2","cmn_swm_flutterKick_floatRing_blue","18650005","-1100","1.75"
"7","865","","31","1","-850","1","","18650006","-125","1"
"1","865","","31","1","-1100","2","","18650007","-250","1"
"110311","865","","2","","-125","1750","","18650008","10",""
"113111","865","","2","","-250","1500","","18650009","10",""
"1","865","","2","","-125","1750","","18650010","10",""
"2","865","","2","","-250","1500","","18650011","10",""
"1","865","","33","","-125","1750","","18650012","10",""
"2","865","","33","","-250","1500","","18650013","10",""
"se_10053800","866","","23","","","se_fpc_water_random","","18660001","",""
"1","866","0","1","-125","13","113411","cmn_swm_flutterKick_floatRing","18660002","-850","1.75"
"1","866","0","1","-250","33","115711","cmn_swm_flutterKick_floatRing","18660003","-1100","1.75"
"1","866","0","5","-125","12","1","cmn_swm_flutterKick_floatRing_pink","18660004","-850","1.75"
"1","866","0","5","-250","32","2","cmn_swm_flutterKick_floatRing_blue","18660005","-1100","1.75"
"7","866","","31","1","-850","1","","18660006","-125","1"
"1","866","","31","1","-1100","2","","18660007","-250","1"
"113411","866","","2","","-125","1750","","18660008","10",""
"115711","866","","2","","-250","1500","","18660009","10",""
"1","866","","2","","-125","1750","","18660010","10",""
"2","866","","2","","-250","1500","","18660011","10",""
"1","866","","33","","-125","1750","","18660012","10",""
"2","866","","33","","-250","1500","","18660013","10",""
"se_10053800","867","","23","","","se_fpc_water_random","","18670001","",""
"1","867","0","1","-125","13","113211","cmn_swm_tread","18670002","-850","1.75"
"1","867","0","1","-250","33","127111","cmn_swm_tread","18670003","-1100","1.75"
"1","867","0","5","-125","12","1","cmn_swm_tread_pink","18670004","-850","1.75"
"1","867","0","5","-250","32","2","cmn_swm_tread_blue","18670005","-1100","1.75"
"13","867","","31","1","-850","1","","18670006","-125","1"
"3","867","","31","1","-1100","2","","18670007","-250","1"
"113211","867","","2","","-125","1750","","18670008","13.5",""
"127111","867","","2","","-250","1500","","18670009","13.5",""
"1","867","","2","","-125","1750","","18670010","13.5",""
"2","867","","2","","-250","1500","","18670011","13.5",""
"1","867","","33","","-125","1750","","18670012","13.5",""
"2","867","","33","","-250","1500","","18670013","13.5",""
"se_10053800","868","","23","","","se_fpc_water_random","","18680001","",""
"1","868","0","1","-125","12","117011","cmn_swm_diving","18680002","-850","1.75"
"1","868","0","1","-180","22","117111","cmn_swm_diving","18680003","-1100","1.75"
"9","868","","31","1","-850","1","","18680004","-125","1"
"9","868","","31","1","-1100","2","","18680005","-180","1"
"117011","868","","2","","-125","1750","","18680006","13.5",""
"117111","868","","2","","-180","1500","","18680007","13.5",""
"1","868","","33","","-125","1750","","18680008","13.5",""
"2","868","","33","","-180","1500","","18680009","13.5",""
"se_10053800","869","","23","","","se_fpc_water_random","","18690001","",""
"1","869","0","1","-125","13","110511","cmn_swm_flutterKick_floatRing","18690002","-850","1.75"
"1","869","0","1","-250","33","110011","cmn_swm_flutterKick_floatRing","18690003","-1100","1.75"
"1","869","0","5","-125","12","1","cmn_swm_flutterKick_floatBoad","18690004","-850","1.75"
"1","869","0","5","-250","32","2","cmn_swm_flutterKick_floatBoad_blue","18690005","-1100","1.75"
"7","869","","31","1","-850","1","","18690006","-125","1"
