e96508d53711d80381ff1a8b46234f79659fa1fbc206a9ebf296031d79fe9bf3,bcc15524a65c4ea8320f5935a3305117cec311dcc0d166915be2105e630036a4,53f537210009290f98a0bf69ce332edcb241347b4d51bdf4ef358adfc40f6af1,4f58abcfea8d9af0c95b48c62baff781b3c0c394646f3b079a59d7a1f1eea07f
"タンクキャラを3人以上編成して勝利","5","3","10500003"
"タンクキャラを4人以上編成して勝利","5","4","10500004"
"タンクキャラを5人編成して勝利","5","5","10500005"
"ヒーラーキャラを1人以上編成して勝利","6","1","10600001"
"ヒーラーキャラを2人以上編成して勝利","6","2","10600002"
"ヒーラーキャラを3人以上編成して勝利","6","3","10600003"
"ヒーラーキャラを4人以上編成して勝利","6","4","10600004"
"ヒーラーキャラを5人編成して勝利","6","5","10600005"
"ブースターキャラを1人以上編成して勝利","7","1","10700001"
"ブースターキャラを2人以上編成して勝利","7","2","10700002"
"ブースターキャラを3人以上編成して勝利","7","3","10700003"
"ブースターキャラを4人以上編成して勝利","7","4","10700004"
"ブースターキャラを5人編成して勝利","7","5","10700005"
"バッファーキャラを1人以上編成して勝利","8","1","10800001"
"バッファーキャラを2人以上編成して勝利","8","2","10800002"
"バッファーキャラを3人以上編成して勝利","8","3","10800003"
"バッファーキャラを4人以上編成して勝利","8","4","10800004"
"バッファーキャラを5人編成して勝利","8","5","10800005"
"デバッファーキャラを1人以上編成して勝利","9","1","10900001"
"デバッファーキャラを2人以上編成して勝利","9","2","10900002"
"デバッファーキャラを3人以上編成して勝利","9","3","10900003"
"デバッファーキャラを4人以上編成して勝利","9","4","10900004"
"デバッファーキャラを5人編成して勝利","9","5","10900005"
"ジャマーキャラを1人以上編成して勝利","10","1","11000001"
"ジャマーキャラを2人以上編成して勝利","10","2","11000002"
"ジャマーキャラを3人以上編成して勝利","10","3","11000003"
"ジャマーキャラを4人以上編成して勝利","10","4","11000004"
"ジャマーキャラを5人編成して勝利","10","5","11000005"
"アタッカーキャラを1人以上編成して勝利","11","1","11100001"
"アタッカーキャラを2人以上編成して勝利","11","2","11100002"
"アタッカーキャラを3人以上編成して勝利","11","3","11100003"
"アタッカーキャラを4人以上編成して勝利","11","4","11100004"
"アタッカーキャラを5人編成して勝利","11","5","11100005"
"ブレイカーキャラを1人以上編成して勝利","12","1","11200001"
"ブレイカーキャラを2人以上編成して勝利","12","2","11200002"
"ブレイカーキャラを3人以上編成して勝利","12","3","11200003"
"ブレイカーキャラを4人以上編成して勝利","12","4","11200004"
"ブレイカーキャラを5人編成して勝利","12","5","11200005"
"火属性キャラを1人以上編成して勝利","13","1","11300001"
"火属性キャラを2人以上編成して勝利","13","2","11300002"
"火属性キャラを3人以上編成して勝利","13","3","11300003"
"火属性キャラを4人以上編成して勝利","13","4","11300004"
"火属性キャラを5人編成して勝利","13","5","11300005"
"水属性キャラを1人以上編成して勝利","14","1","11400001"
"水属性キャラを2人以上編成して勝利","14","2","11400002"
"水属性キャラを3人以上編成して勝利","14","3","11400003"
"水属性キャラを4人以上編成して勝利","14","4","11400004"
"水属性キャラを5人編成して勝利","14","5","11400005"
"風属性キャラを1人以上編成して勝利","15","1","11500001"
"風属性キャラを2人以上編成して勝利","15","2","11500002"
"風属性キャラを3人以上編成して勝利","15","3","11500003"
"風属性キャラを4人以上編成して勝利","15","4","11500004"
"風属性キャラを5人編成して勝利","15","5","11500005"
"光属性キャラを1人以上編成して勝利","16","1","11600001"
"光属性キャラを2人以上編成して勝利","16","2","11600002"
"光属性キャラを3人以上編成して勝利","16","3","11600003"
"光属性キャラを4人以上編成して勝利","16","4","11600004"
"光属性キャラを5人編成して勝利","16","5","11600005"
"闇属性キャラを1人以上編成して勝利","17","1","11700001"
"闇属性キャラを2人以上編成して勝利","17","2","11700002"
"闇属性キャラを3人以上編成して勝利","17","3","11700003"
"闇属性キャラを4人以上編成して勝利","17","4","11700004"
"闇属性キャラを5人編成して勝利","17","5","11700005"
