16b9cfca20702afa82a374855e2f165848e4fe212ed16c45adafba04c0ff7f86,adc6f55f9bd3f8cfbe13d9a5601cadfc1d9374efba632ae98427546a4fb577e7,c81aa98afc8ab1bebdaacf1708d04f7531d9b74383a6780dc19528e0aa5bea18,28fefd4e8163aa19179db8ff51010a1991c680f5f19beae01e73de60f2f1c1e8,cafd8f5f3033304b19ee66ff5d70efe7003d0f9c24f51eba75e280323474be88,385f6639388838e4fc16a23804b394f3b60b3676f020e322ab2df85e5864f0aa,d7ece5ccdf0647881693e437f6c11ec0d6079959483e3b9989f173f6c2f4d242
"32","114101","20029","72029021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
"33","114601","20031","72031021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
"34","114701","20032","72032021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
"35","115601","20033","72033021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
"36","115801","20035","72035021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
"37","116801","20038","72038021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
"38","117401","20040","72040021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
"39","117801","20042","72042021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
"40","119201","20044","72044021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
"41","120801","20045","72045021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
"42","121201","20047","72047021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
"43","122101","20051","72051021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！"
