5538fca6eb44f69755bc1f94e0a1008686070ab76b9ee9436a6a23c890d51614,726ff50b70997df095952c7df4f45bbbe11472114d760118a597662accd92e18,7215051838860ed04f30d8a334b5ff7945f15f17513c2445309ade9271aed43a,c591b19db27adc12888c59475b7e666dca8bdcf71423986e1a2b882a0a79d449,2296561c5197c4dfbde85fb8c86a07666e70bf55ea2089b2e57419d7e0176c9c,b743187d36cbc793f98e374c2bce482c4737e4c52f1ebc4c3a52df17735f850f,6d4d95cf2d2b79bba2c823aaf5f1d48c0e2bb9900bf47a787f5a304aba1d8596,5972dc1eac008fdc1c5faca675e17a21f255cc638789f24efbb642339d7d64af,4a39aba314b4e2a9b27c93c7fcfc55e058f8460baab9ff70436753ea9344030a,55e826b8c369b512d1a8234fa9d88140ed295d2cf83be035d5bbcfbb5bf221fe,bbb501f379489514c1173e520f3fb6b423c054a26a1d1c37f1d1c9d8ec5dd799,df26ac1798fa82a688e4a0077c19b8592c303fca8d77d90d2b1b5ee57f887907
"340","32","1","1","-1","-1","1","5","1","1","1","101406"
"350","32","1","1","3","300","1","6","1","1","1","101501"
"350","32","1","1","-1","300","1","6","1","1","1","101502"
"350","32","1","1","-1","-1","1","6","1","1","1","101503"
"350","32","1","1","3","300","1","5","1","1","1","101504"
"350","32","1","1","-1","300","1","5","1","1","1","101505"
"350","32","1","1","-1","-1","1","5","1","1","1","101506"
"360","32","1","1","5","310","1","6","1","1","1","101601"
"360","32","1","1","-1","310","1","6","1","1","1","101602"
"360","32","1","1","-1","-1","1","6","1","1","1","101603"
"360","32","1","1","5","310","1","5","1","1","1","101604"
"360","32","1","1","-1","310","1","5","1","1","1","101605"
"360","32","1","1","-1","-1","1","5","1","1","1","101606"
"380","32","1","1","5","310","1","6","1","1","1","101701"
"380","32","1","1","-1","310","1","6","1","1","1","101702"
"380","32","1","1","-1","-1","1","6","1","1","1","101703"
"380","32","1","1","5","310","1","5","1","1","1","101704"
"380","32","1","1","-1","310","1","5","1","1","1","101705"
"380","32","1","1","-1","-1","1","5","1","1","1","101706"
"400","32","1","1","5","310","1","6","1","1","1","101801"
"400","32","1","1","-1","310","1","6","1","1","1","101802"
"400","32","1","1","-1","-1","1","6","1","1","1","101803"
"400","32","1","1","5","310","1","5","1","1","1","101804"
"400","32","1","1","-1","310","1","5","1","1","1","101805"
"400","32","1","1","-1","-1","1","5","1","1","1","101806"
"400","33","1","1","5","310","1","6","1","1","1","111601"
"400","33","1","1","-1","310","1","6","1","1","1","111602"
"400","33","1","1","-1","-1","1","6","1","1","1","111603"
"400","33","1","1","5","310","1","5","1","1","1","111604"
"400","33","1","1","-1","310","1","5","1","1","1","111605"
"400","33","1","1","-1","-1","1","5","1","1","1","111606"
"450","33","1","1","5","310","1","6","1","1","1","111701"
"450","33","1","1","-1","310","1","6","1","1","1","111702"
"450","33","1","1","-1","-1","1","6","1","1","1","111703"
"450","33","1","1","5","310","1","5","1","1","1","111704"
"450","33","1","1","-1","310","1","5","1","1","1","111705"
"450","33","1","1","-1","-1","1","5","1","1","1","111706"
"500","33","1","1","5","310","1","6","1","1","1","111801"
"500","33","1","1","-1","310","1","6","1","1","1","111802"
"500","33","1","1","-1","-1","1","6","1","1","1","111803"
"500","33","1","1","5","310","1","5","1","1","1","111804"
"500","33","1","1","-1","310","1","5","1","1","1","111805"
"500","33","1","1","-1","-1","1","5","1","1","1","111806"
