c841a37fa6eaee27755fff0e59bdad85a6a651c27a8bc119473413a53fb06b9e,b6ada4325e50431c1a2b64004c9179e97ff4abc8d93dc6527a51599c014110fb,e824e53f53f91626f725145474ea0c3be05f8f4b536a721217b59f6be5b1948f,f9a3eca9e8fa0b706747847505c42fd70326cb9255c877d6a886ff707bec16b9,ba60b1351f4e6275a9e647033727e021e9543dba00216a467f55843e2e523d6b,2e7d7c93304187b3b031b08813a3775c1f8ae6cbaacdd92f1f5f08f0f80be2f7
"67","20018","3","500810","2","5025001"
"68","10096","3","501613","2","5096002"
"73","10097","3","501353","2","5070004"
"74","10097","3","500016","2","5070005"
"75","10098","3","501031","2","5098000"
"76","10098101","1","0","1","10098104"
"77","10098102","1","0","1","10098111"
"78","10099","3","501364","2","5072004"
"79","10099","3","501365","2","5072006"
"80","10100","3","500837","2","5100003"
"82","10101","3","501383","2","5074001"
"83","10101","3","501383","2","5074001"
"84","10102","3","501873","2","5102002"
"85","10103101","1","0","1","10103112"
"86","10103","3","505036","2","5076005"
"88","10108","3","501911","2","5108002"
"89","10104","3","500133","2","5104003"
"90","10105","3","501451","2","5078004"
"93","10110","3","501931","2","5110005"
"94","10111","3","500013","2","5111005"
"95","10107","3","501463","2","5080005"
"96","10109101","1","0","1","10109105"
"97","10109102","1","0","1","10109108"
"98","10109103","1","0","1","10109111"
"99","10109","3","501160","2","5082002"
"100","10109","3","501031","2","5082004"
"101","10109","3","501483","2","5082005"
"103","10112","3","500368","2","5084001"
"104","10112","3","510306","2","5084002"
"105","10112","3","500039","2","5084003"
"106","10113","3","500368","2","5085002"
"107","10113","3","510203","2","5085003"
"108","10113","3","500272","2","5085004"
"109","10113","3","501501","2","5085005"
"110","10110101","2","0","1","1011001"
"111","20037101","1","0","1","20037112"
"112","20037","3","501291","2","5066005"
"113","10115","3","501810","2","5088005"
"114","10114","3","500016","2","5114000"
"115","10114","3","501952","2","5114003"
"116","20038","3","501341","2","5068001"
"117","10117","3","501541","2","5090002"
"121","20039","3","501353","2","5070004"
"122","20039","3","500016","2","5070005"
"123","10116","3","500837","2","5116004"
"124","10119","3","501031","2","5092001"
"125","10119","3","501551","2","5092004"
"126","10118","3","500133","2","5118002"
"127","10118","3","500810","2","5118003"
"128","10118","3","500133","2","5118007"
"129","20040","3","501364","2","5072004"
"130","20040","3","501365","2","5072006"
"132","10124","3","501614","2","5124003"
"133","20041","3","501383","2","5074001"
"135","10121","3","501593","2","5094001"
"136","10122","3","502003","2","5122000"
"137","10122","3","502015","2","5122002"
"138","10123","3","501613","2","5096002"
"139","20042","3","505036","2","5076005"
"140","20043","3","501451","2","5078004"
"141","10125","3","501031","2","5098000"
"143","10127","3","500837","2","5100003"
"144","20044","3","501463","2","5080005"
"145","10128","3","502063","2","5128001"
"146","10129","3","501873","2","5102002"
"147","20045101","1","0","1","20045105"
"148","20045102","1","0","1","20045108"
"149","20045103","1","0","1","20045111"
"150","20045","3","501160","2","5082002"
"151","20045","3","501031","2","5082004"
"152","20045","3","501483","2","5082005"
"153","20046","3","500368","2","5084001"
"154","20046","3","510306","2","5084002"
"155","20046","3","500039","2","5084003"
"156","20047","3","500368","2","5085002"
"157","20047","3","510203","2","5085003"
"158","20047","3","500272","2","5085004"
"159","20047","3","501501","2","5085005"
"160","10130","3","500016","2","5130001"
"161","10130","3","500133","2","5130007"
"162","10131","3","500133","2","5104003"
"163","10136","3","500143","2","5136002"
"164","10136","3","500175","2","5136004"
"165","10137","3","501622","2","5137002"
"166","10137","3","500133","2","5137005"
"167","20048","3","501810","2","5088005"
"168","10134","3","500554","2","5134007"
"169","10135","3","501911","2","5108002"
"170","10138","3","501931","2","5110005"
"171","10139","3","500013","2","5111005"
"172","20049","3","501541","2","5090002"
"173","10138101","2","0","1","1013801"
"174","10141","3","500016","2","5114000"
"175","10141","3","501952","2","5114003"
"180","10140","3","502224","2","5140002"
"181","20050","3","501031","2","5092001"
"182","20050","3","501551","2","5092004"
"183","10142","3","501683","2","5142001"
"184","10143","3","500837","2","5116004"
"185","10145","3","500133","2","5118002"
"186","10145","3","500810","2","5118003"
"187","10145","3","500133","2","5118007"
"188","20051","3","501593","2","5094001"
"189","20052","3","501613","2","5096002"
"1014601","10146","3","502283","2","5146001"
"1014901","10149","3","502003","2","5122000"
"1014902","10149","3","502015","2","5122002"
"1015101","10151","3","501614","2","5124003"
"1015401","10154","3","502373","2","5154007"
"1015601","10156","3","502074","2","5156001"
"1015602","10156","3","502394","2","5156002"
"1015701","10157","3","502063","2","5128001"
"1015801","10158","3","500880","2","5158003"
"1015901","10159","3","500016","2","5130001"
"1015902","10159","3","500133","2","5130007"
"1016301","10163","3","500554","2","5134007"
"1016401","10164","3","500143","2","5136002"
"1016402","10164","3","500175","2","5136004"
"1016501","10165","3","501622","2","5137002"
"1016502","10165","3","500133","2","5137005"
"1016601","10166","3","502224","2","5140002"
"1016701","10167","3","501683","2","5142001"
"1016901","10169","3","502283","2","5146001"
"1017301","10173","3","502373","2","5154007"
"1017601","10176","3","502074","2","5156001"
"1017602","10176","3","502394","2","5156002"
"1017701","10177","3","500880","2","5158003"
"2005301","20053","3","501031","2","5098000"
"2005401","20054","3","500837","2","5100003"
"2005501","20055","3","501873","2","5102002"
"2005601","20056","3","500133","2","5104003"
"2005801","20058","3","501911","2","5108002"
"2005901","20059","3","501931","2","5110005"
"2006001","20060","3","500013","2","5111005"
"2006101","20061","3","500016","2","5114000"
"2006102","20061","3","501952","2","5114003"
"2006201","20062","3","500837","2","5116004"
"2006301","20063","3","500133","2","5118002"
"2006302","20063","3","500810","2","5118003"
"2006303","20063","3","500133","2","5118007"
"2006501","20065","3","502003","2","5122000"
"2006502","20065","3","502015","2","5122002"
"2006601","20066","3","501614","2","5124003"
"2006701","20067","3","500143","2","5136002"
"2006702","20067","3","500175","2","5136004"
"2006801","20068","3","501622","2","5137002"
"2006802","20068","3","500133","2","5137005"
"2007001","20070","3","502063","2","5128001"
"2007101","20071","3","500016","2","5130001"
"2007102","20071","3","500133","2","5130007"
"2007301","20073","3","500554","2","5134007"
"2007401","20074","3","502224","2","5140002"
"2007501","20075","3","501683","2","5142001"
"2007701","20077","3","502283","2","5146001"
"2008001","20080","3","502373","2","5154007"
