72963335ae86efb37f1d43e970d8fdaac43192c9ead5305c66752bd98531248a,e4380d8e7e3b5dc79cbc1b09a4e79cd3052ad5f00ee6fa7671c507e29018ff1e,bd6ef53cf5a4a9894560ba18f4c34c24a2c036cac145db161794b521e9298f26,19826b0bb9a863a1d4f6b750011f8d0c2e24ef28be58e0c31df55d35ebc925ed,275f83359a7d2a96572d1d91fd986b8f590b95132d248a81e8fe400c78477057,1e3119f490b2dcc760e7981018e3d4fd028c06718ea29912a0997873a8c2b1f5,f10f7ec7bd7f7adda30c4e7b598289d32e73bbe47e7216ca8e1d0e8a0330eeaf,67a3589bb36fc03df837d81ff445fffdd091269668965802018a8db74c098d37,23fba5fc0e1b2768ea4d65e89abd57fb953ac7f363a8306c18ee394025075ff0,2ee81cfc8ecdcf60cb3566ce9493f74399bd83165a4f0501db9fe70674e68ff3,ab66b60e02af8c06b49b21deff46febefedf50d111c81015251f6510171bd8aa,c85b4a10f2a7b9ee6920eb713b6ec45d0f2a8a1f808289e95168d0a6782c8d96,0e70c86b7d81db5b3591e427c8ca61d036d71f66b947708cb02ae249951f5e55
"もっとふたりのぱーてぃーないと","","もっと！ふたりのパ～ティ～ナイト","20","-1","1500","16","16","A2001411119/","","2018-10-18 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes"
"かがようこおりのけっしょう","","耀う氷の結晶","20","-1","1000","17","17","","","2018-10-18 15:00:00","",""
"しゃいにんぐふゅーちゃー","","Shining Future","20","3010003","1500","18","18","A2001253711/","","2018-11-19 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes"
"かぜへのちかい","","風への誓い","20","3010003","1500","19","19","A2001253711/","","2018-11-19 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes"
"きみのえがおがみたいから","","君の笑顔が見たいから","18","3010003","1500","20","20","A2001305115/","","2018-11-19 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes"
"あまのじゃくはーと","","アマノジャクハート！","18","1054007","1500","21","21","A2001336697/","","2018-11-19 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes"
"ふおんなくうきとたちむかうとうし","","不穏な空気と立ち向かう闘志","20","-1","1000","22","22","","","2018-11-19 15:00:00","",""
"ついんぴっぐす","","ツインピッグス","20","-1","1000","23","23","","","2018-11-19 15:00:00","",""
"ヴぁんぱいあはんたーうぃずいりや","","ヴァンパイアハンターwithイリヤ","20","-1","1000","24","24","","","2018-11-19 15:00:00","",""
"がるぐ","","ガルグ","20","-1","1000","25","25","","","2018-11-19 15:00:00","",""
"ぴーすふるちゃんぷるー","","Peaceful*ちゃんぷるー","20","-1","1500","26","26","A2001552686/","","2018-11-19 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes"
"れさとぱると","","レサトパルト","20","-1","1000","27","27","","","2018-11-19 15:00:00","",""
"とわいらいとぶれいかーず","","トワイライトブレイカーズ","20","-1","1000","28","28","","","2018-11-19 15:00:00","",""
"おらむ","","オラム","20","-1","1000","29","29","","","2018-11-19 15:00:00","",""
"さいつよでしょでしょ","","サイツヨでしょ、でしょ？","20","-1","1500","30","30","A2001502066/","","2018-11-19 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes"
"ひょうかいのち","","氷海の地","20","-1","1000","31","31","","","2018-11-19 15:00:00","",""
"こおりとゆきのせかい","","氷と雪の世界","20","-1","1000","32","32","","","2018-12-19 15:00:00","",""
"さわやかなかぜ","","爽やかな風","20","-1","1000","33","33","","","2018-12-19 15:00:00","",""
"かるきのす","","カルキノス","20","-1","1000","34","34","","","2018-12-19 15:00:00","",""
"でんじゃらすばかんすなぎさのぐるめぷりんせす","","デンジャラスバカンス！渚のグルメプリンセス","20","-1","1000","35","35","","","2018-12-19 15:00:00","",""
"てんたぱす","","テンタパス","20","-1","1000","36","36","","","2018-12-19 15:00:00","",""
"えがおのまいほーむ","","えがおのマイホーム","20","-1","1500","37","37","A2001197334/","","2018-12-19 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes"
"さじたりうす","","サジタリウス","20","-1","1000","38","38","","","2018-12-19 15:00:00","",""
"ぼうきゃくのきゃろる","","忘却のキャロル","20","-1","1000","39","39","","","2018-12-19 15:00:00","",""
"ふぉぎー","","フォギー","20","-1","1000","40","40","","","2018-12-19 15:00:00","",""
"でぃんどんほーりーないと","","Ding Dong Holy Night♪","20","-1","1500","41","41","A2001411119/","","2018-12-19 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes"
"けわしきかんこうげん","","険しき乾荒原","20","-1","1000","42","42","","","2019-01-18 15:00:00","",""
"おるれおん","","オルレオン","20","-1","1000","43","43","","","2019-01-18 15:00:00","",""
"たまきとみふゆのむじんとうぜろるぴせいかつ","","タマキとミフユの無人島0ルピ生活","20","-1","1000","44","44","","","2019-01-18 15:00:00","",""
"しまくじら","","島クジラ","20","-1","1000","45","45","","","2019-01-18 15:00:00","",""
"きんきらはぴねす","","キンキラ☆ハピネス！","18","-1","1500","46","46","A2001372582/","","2019-01-18 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes"
"あらたなふなで","","新たな船出","20","-1","1000","47","47","","","2019-01-18 15:00:00","",""
"あるげてぃ","","アルゲティ","20","-1","1000","48","48","","","2019-01-18 15:00:00","",""
"しんしゅんとぅいんくるくらいしす","","新春トゥインクルクライシス！","20","-1","1000","49","49","","","2019-01-18 15:00:00","",""
"じゃへいしんがみぃ","","邪餅神ガミィ","20","-1","1000","50","50","","","2019-01-18 15:00:00","",""
"とぅいんくるすたーず","","TwinkleStars","20","-1","1500","51","51","A2001612987/","","2019-01-18 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes"
"こくねつのさばく","","酷熱の砂漠","20","-1","1000","52","52","","","2019-02-15 15:00:00","",""
"めでゅーさ","","メデューサ","20","-1","1000","53","53","","","2019-02-15 15:00:00","",""
"くろがねのないとめあ","","黒鉄の亡霊（ナイトメア）","20","-1","1000","54","54","","","2019-02-15 15:00:00","",""
"りびんぐめいる","","リビングメイル","20","-1","1000","55","55","","","2019-02-15 15:00:00","",""
"あるーふねすこーど","","Aloofness Code","20","-1","1500","56","56","A2001372582/","","2019-02-15 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes"
"あぶそりゅーとしーくれっと","","Absolute Secret","20","2008015","1500","57","57","A2001452543/","","2019-02-15 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-lost-princess-%E3%82%88%E3%81%86%E3%81%93%E3%81%9D%E7%BE%8E%E9%A3%9F%E6%AE%BF%E3%81%B8/1458052782?app=itunes"
"あくありおす","","アクアリオス","20","-1","1000","58","58","","","2019-02-15 15:00:00","",""
"ばとるおぶばれんたいんおもいぶつかるすうぃーとばとる","","バトルオブバレンタイン！想いぶつかるスウィートバトル","20","-1","1000","59","59","","","2019-02-15 15:00:00","",""
"あぐりーらぶりー","","アグリーラブリー","20","-1","1000","60","60","","","2019-02-15 15:00:00","",""
"すーぱーちょこれーと","","SUPER CHOCOLATE","20","-1","1500","61","61","A2001502066/","","2019-02-15 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes"
"さかいのなかのおあしす","","砂海の中のオアシス","20","-1","1000","62","62","","","2019-03-19 15:00:00","",""
"ふしぎなもり","","不思議な森","20","-1","1000","63","63","","","2019-03-19 15:00:00","",""
"とるぺどん","","トルペドン","20","-1","1000","64","64","","","2019-03-19 15:00:00","",""
"おうとのめいたんていなげきのすとーかー","","王都の名探偵　嘆きの追跡者（ストーカー）","20","-1","1000","65","65","","","2019-03-19 15:00:00","",""
"なげきのめがみ","","嘆きの女神","20","-1","1000","66","66","","","2019-03-19 15:00:00","",""
"みかいけつなおもい","","未解決な想い","20","-1","1500","67","67","A2001552686/","","2019-03-19 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes"
"ろぼりまらいしゅうおうとめつぼうまでのかうんとだうん","","ロボリマ来襲！王都滅亡までのカウントダウン","20","-1","1000","68","68","","","2019-04-19 15:00:00","",""
"ろぼりま","","ロボリマ","20","-1","1000","69","69","","","2019-04-19 15:00:00","",""
"ろぼりましゅうえん","","ロボリマ~終焉~","20","-1","1000","70","70","","","2019-04-19 15:00:00","",""
"あすとるむにさくそうりんのはな","","アストルムに咲く双輪の華","20","-1","1000","71","71","","","2019-04-19 15:00:00","",""
"こあぎがーす","","コア・ギガース","20","-1","1000","72","72","","","2019-04-19 15:00:00","",""
"くろっしんぐでぃすてぃにー","","Crossing Destiny","20","-1","1500","73","73","","","2019-04-19 15:00:00","",""
"がんほうにひそむもの","","岩峰に潜むもの","20","-1","1000","74","74","","","2019-05-17 15:00:00","",""
"しょーぐんどうちゅうきはくよくのさむらい","","ショーグン道中記　白翼のサムライ","20","-1","1000","75","75","","","2019-05-17 15:00:00","",""
"あくだいかん","","アクダイカン","20","-1","1000","76","76","","","2019-05-17 15:00:00","",""
"はくよくのぐろーりえ","","白翼のグローリエ","20","-1","1500","77","77","A2001612987/","","2019-05-17 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes"
"かざんのふもと","","火山の麓","20","-1","1000","78","78","","","2019-06-18 15:00:00","",""
"げんれつなるあれち","","厳烈なる荒地","20","-1","1000","79","79","","","2019-06-18 15:00:00","",""
"たいだのきょうじん","","怠惰の狂人","20","-1","1000","80","80","","","2019-06-18 15:00:00","",""
"つづみのおとひびくもり","","鼓の音響く森","20","-1","1000","81","81","","","2019-07-18 15:00:00","",""
"すずなれいんぼーすてーじ","","スズナレインボーステージ！","20","-1","1000","82","82","","","2019-07-18 15:00:00","",""
"あまがみさま","","雨神様","20","-1","1000","83","83","","","2019-07-18 15:00:00","",""
"せのびふぁーすときす","","背伸びFirst Kiss","20","-1","1500","84","84","A2001629618/","","2019-07-18 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes"
"おにいちゃんそうだつしずるのおてつだい","","お兄ちゃん争奪！　シズルのお手伝い","20","-1","1000","85","85","","","2019-08-15 15:00:00","",""
"おにいちゃんそうだつえりこのおてつだい","","お兄ちゃん争奪！　エリコのお手伝い","20","-1","1000","86","86","","","2019-08-15 15:00:00","",""
"まなつのまほまほおうこくなみうちぎわのそうるさまー","","真夏のマホマホ王国 波打ち際のソウルサマー！","20","-1","1000","87","87","","","2019-08-15 15:00:00","",""
"まじむん","","マジムン","20","-1","1000","88","88","","","2019-08-15 15:00:00","",""
"うぃーあーごーるでん","","We Are Golden","20","-1","1500","89","89","A2001629618/","","2019-08-15 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes"
"くうかだいかいてん","","クウカ大回転","20","-1","1000","90","90","","","2019-09-16 15:00:00","",""
"もりのぼっちとせいなるがくしゃのりせえんぬ","","森の臆病者と聖なる学舎の異端児","20","-1","1000","91","91","","","2019-09-16 15:00:00","",""
"おおどくまんどらごら","","オオドクマンドラゴラ","20","-1","1000","92","92","","","2019-09-16 15:00:00","",""
"なかよしせんせーしょん","","なかよしセンセーション","20","-1","1500","93","93","A2001640446/","","2019-09-16 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes"
"ふおんのねをふみこえて","","不穏の根を踏み越えて","20","-1","1000","94","94","","","2019-10-16 15:00:00","",""
"かおりのまぶいしきからてどうじょう","","カオリのマブイ式空手道場","20","-1","1000","95","95","","","2019-10-16 15:00:00","",""
"りとるぶれいぶはろうぃんないと","","リトル・ブレイブ・ハロウィンナイト！","20","-1","1000","96","96","","","2019-10-16 15:00:00","",""
"ふぁんとむばろん","","ファントムバロン","20","-1","1000","97","97","","","2019-10-16 15:00:00","",""
"とりっくほりっく","","トリックホリック","20","-1","1500","98","98","A2001640446/","","2019-10-16 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes"
"ぬかるむもりのさきへ","","泥濘む森の先へ","20","-1","1000","99","94","","","2019-11-15 15:00:00","",""
"だいげきせんしりとりどらごんず","","大激戦！しりとりドラゴンズ","20","-1","1000","100","95","","","2019-11-15 15:00:00","",""
"どらごんえくすぷろーらーず","","ドラゴンエクスプローラーズ","20","-1","1000","101","96","","","2019-11-15 15:00:00","",""
"どらごんもどき","","ドラゴンもどき","20","-1","1000","102","97","","","2019-11-15 15:00:00","",""
"いんふれいむず","","in flames","20","-1","1500","103","98","A2001716909/","","2019-11-15 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-14/1509394849?app=itunes"
"あらたなるちからへのちょうせん","","新たなる力への試練","20","-1","1000","104","104","","","2019-12-20 15:00:00","",""
"ぷれぜんとぱにっくらんどそるのさんたたち","","プレゼントパニック！　ランドソルのサンタたち","20","-1","1000","105","105","","","2019-12-20 15:00:00","",""
"となかいヴぇんでった","","トナカイ・ヴェンデッタ","20","-1","1000","106","106","","","2019-12-20 15:00:00","",""
"こーるみーだーりん","","Call Me Darling！","20","-1","1500","107","107","A2001716909/","","2019-12-20 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-14/1509394849?app=itunes"
"おうとしゅうまつけっせん","","王都終末決戦","20","2015007","1000","108","108","","","2020-01-16 15:00:00","",""
"こうていにつかえししもべとのたたかい","","皇帝に仕えし僕との戦い","20","2015007","1000","109","109","","","2020-01-16 15:00:00","",""
"かみたるものとのけっせん","","神たる者との決戦","20","2015007","1000","110","110","","","2020-01-16 15:00:00","",""
"げきそうらんどそるぎるどれーす","","激走！　ランドソルギルドレース","20","-1","1000","111","111","","","2020-01-16 15:00:00","",""
"やまがみさま","","山神様","20","-1","1000","112","112","","","2020-01-16 15:00:00","",""
"さいこうすたーとだっしゅ","","SAI＊KOUスタートダッシュ","20","-1","1500","113","113","A2001734667/","","2020-01-16 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-15/1515061876?app=itunes"
"たいかいをのぞんで","","大海を望んで","20","-1","1000","114","114","","","2020-01-16 15:00:00","",""
"まほうしょうじょふたりはみすてぃあんどぴゅありー","","魔法少女　二人はミスティ＆ピュアリー","20","-1","1000","115","115","","","2020-02-15 15:00:00","",""
"あんちびーすと","","アンチビースト","20","-1","1000","116","116","","","2020-02-15 15:00:00","",""
"こもれびもんたーじゅ","","木もれびモンタージュ","20","-1","1500","117","117","A2001734667/","","2020-02-15 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-15/1515061876?app=itunes"
"あいどるをめざして","","アイドルを目指して！","20","-1","1000","118","118","","","2020-03-13 15:00:00","",""
"おもいでのあしあと","","思い出の足跡","20","-1","1000","119","119","","","2020-03-13 15:00:00","",""
"ぷりんせすないと","","プリンセスナイト","20","-1","1000","120","120","","","2020-03-13 15:00:00","",""
"さずけのえんじぇるとせいなるがくしゃのりせえんぬ","","授けの財団と聖なる学舎の異端児","20","-1","1000","121","121","","","2020-04-15 15:00:00","",""
"なかよしえっくす","","なかよしＸ","20","-1","1000","122","122","","","2020-04-15 15:00:00","",""
"せいしゅんすぴなー","","青春スピナー","20","-1","1500","123","123","A2001772609/","","2020-04-15 15:00:00","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-16/1518961426?app=itunes"
"みつりんのかげにまつは","","密林の影に待つは","20","-1","1000","124","124","","","2020-04-15 15:00:00","",""
"みらーじゅげーむ","","Mirage Game","20","2101001","1500","125","125","A2001693583/","","2020-04-15 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-13-ep/1503292819?app=itunes"
"いえすぷれしゃすはーもにー","","Yes！ Precious Harmony！","20","2101014","1500","126","126","A2001693583/","","2020-04-15 15:00:00","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-13-ep/1503292819?app=itunes"
"ちゅうちゅうぱにっくちーずおまもりだいさくせん","","チュウチュウパニック！　チーズお守り大作戦！","20","-1","1000","127","127","","","2020-05-15 15:00:00","",""
"まきばのよんのうしびんぼうぼくじょうふんとうき","","まきばの四農士　貧乏牧場奮闘記！","20","-1","1000","128","128","","","2020-05-15 15:00:00","",""
"しのびのとうりょうはんぞう","","忍びの頭領ハンゾウ","20","-1","1000","129","129","","","2020-05-15 15:00:00","",""
"はーとふるぷれいす","","Heartful Place","20","-1","1500","130","130","A2001772609/","","2020-05-15 15:00:00","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-16/1518961426?app=itunes"
"ふしぎのくにのにのちいさなありすときぼうのえほん","","不思議の国のリノ　小さなアリスと希望の絵本","20","-1","1000","131","131","","","2020-06-17 15:00:00","",""
"くろのおうじゃばうぉっく","","黒の王ジャバウォック","20","-1","1000","132","132","","","2020-06-17 15:00:00","",""
"ふぇありーているはゆめのなか","","フェアリーテイルは夢の中","20","-1","1500","133","133","A2001823541/","","2020-06-17 15:00:00","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-17-ep/1528301186?app=itunes"
"ゆうゆうたるもり","","幽幽たる森","20","-1","1000","134","134","","","2020-06-17 15:00:00","",""
"たなばたけんきゃくりょじょうたんてんにながれるなつのこい","","七夕剣客旅情譚　天に流れる夏の恋","20","-1","1000","135","135","","","2020-07-15 15:00:00","",""
"かくせいうわきぼし","","覚醒・浮気星","20","-1","1000","136","136","","","2020-07-15 15:00:00","",""
"たそがれたいへいたびじうた","","黄昏太平旅路唄","20","-1","1500","137","137","A2001823541/","","2020-07-15 15:00:00","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-17-ep/1528301186?app=itunes"
"みさとさまーえーるゆめおうまなつのないん","","ミサトサマーエール！　夢追う真夏のナイン","20","-1","1000","138","138","","","2020-08-15 15:00:00","",""
"なぎさのぼうくんさめきち","","渚の暴君・鮫吉","20","-1","1000","139","139","","","2020-08-15 15:00:00","",""
"もうくんだげきどうみさとのほーむらんどりる","","猛訓打撃道！　ミサトのホームランドリル","20","-1","1000","140","140","","","2020-08-15 15:00:00","",""
"めざせほーむらん","","目指せホームラン！","20","-1","1000","141","141","","","2020-08-15 15:00:00","",""
"ひとなつのおもいで","","ひと夏の思い出","20","-1","1000","142","142","","","2020-08-15 15:00:00","",""
"あのなつのめもりー","","あの夏のメモリー","20","-1","1500","143","143","A2001871533/","","2020-08-15 15:00:00","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-18-ep/1536515990?app=itunes"
"きよらかなるかわおと","","清らかなる川音","20","-1","1000","144","144","","","2020-08-15 15:00:00","",""
"はっぴーちぇんじえんじぇるず","","ハッピー・チェンジ・エンジェルズ","20","-1","1000","145","145","","","2020-09-19 15:00:00","",""
"ぼうそうのいのせんとぼう","","暴走のイノセントボウ","20","-1","1000","146","146","","","2020-09-19 15:00:00","",""
"ねぇねぇぷりーず","","ねぇねぇPlease！","20","-1","1500","147","147","A2001871533/","","2020-09-19 15:00:00","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-18-ep/1536515990?app=itunes"
"ひびけぜっきょうはろうぃんごーすとふぇすてぃばる","","響け！絶叫！ハロウィンゴーストフェスティバル","20","-1","1000","148","148","","","2020-10-15 15:00:00","",""
"きょうふのごーすとふぁーざー","","叫怖のゴーストファーザー","20","-1","1000","149","149","","","2020-10-15 15:00:00","",""
"ぱらどっくす","","Paradox","20","-1","1500","150","150","A2001927869/","","2020-10-15 15:00:00","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-19/1545283347?app=itunes"
"まほうていとくらぶりーもにかれっつごーまじかるかるてっと","","魔法提督ラブリー★モニカ　レッツゴー！マジカルカルテット！","20","-1","1000","151","151","","","2020-11-21 15:00:00","",""
"あんちびーすとどえむ","","アンチビースト de M","20","-1","1000","152","152","","","2020-11-21 15:00:00","",""
"かがやけらぶりーどりーみー","","輝け！ラブリー★ドリーミー","20","-1","1500","153","153","A2001927869/","","2020-11-21 15:00:00","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-19/1545283347?app=itunes"
