d92a55db880d42ec15d0462ba6238f4d707fce77973b83f9c3660d60edad9665,0addf0c4f45fcbd7d04a6154d9b2d28ff74dc2e54b341ceb76134df5df9ae458,21ef40308d4c4e65e9d19cdfa65154494c746cae482d1bbc2ff8fb899075fcef,3403e8943ee08b9370093560313d39603f3234658247601efc4b3d2d20866724,06941f58caa94c0c63cb68558fba4b89159eaad2c4360620eae614d947a73d56,f3f5eec4bc71287c1bedead1ce47eb03bf2df82cb3f89f0e1a434cdbed273a7c,eddcd92628bf86d1c143f8a628fbe4fa8a3b59eeaaa4d6d1288fe7d908d74046,d51bbee678ad9c77dc1b3b3a8d8a53059bfc645ed285672cd739b01a842cea10,49a81d6fda0d52a65df328f7bbb06f9f2cad1d979a6855677c4838f0486ecec8,91776cf2f29938e395b40e82b68a159de40f6d7dbab7c1acc966b3297dd74570,6d7cd54c6e7aca6e8bd61e565e3a4e8b75caa2651d1db0aeccb3e9081f19512c
"1053","","","93","","0","1","2","","",""
"1054","","","4","","0","1","1","","",""
"1055","2","","2","","-216","1","1","","0","-103"
"1056","","","93","","0","1","2","","",""
"1057","","","3","","top_luis_notice","1","1","0","","1"
"1058","","","93","","0","1","1","","",""
"1059","","","3","","top_luis_walk_jog","1","1","0.2","","1"
"1060","0.5","","2","","-100","1","1","","0","-130"
"1061","","","93","","0","1","0.5","","",""
"1062","","","4","","1","1","1","","",""
"1063","top_luis_sit_idle","0","3","","top_luis_sit_in","1","1","0.2","1","0"
"1064","","","93","","0","1","0.1","","",""
"1065","0.4","","2","","-57","1","1","","0","-140"
"1066","","","93","","0","1","1","","",""
"1067","","","3","","top_luis_experiment_success_in","1","1","0.2","","0"
"1068","","","93","","0","1","2.3","","",""
"1069","","","3","","top_luis_experiment_success_mix","1","1","0.1","","0"
"1070","","","93","","0","1","2.7","","",""
"1071","","","32","","1","1","14","","",""
"1072","","","3","","top_luis_experiment_success_burst","1","1","0.1","","0"
"1073","","","93","","0","1","2.7","","",""
"1074","","","3","","top_luis_experiment_success_out","1","1","0.1","","0"
"1075","","","93","","0","1","1.1","","",""
"1076","idle_normal","0","3","","top_luis_sit_out","1","1","0.2","1","0"
"1077","0.3","","2","","-100","1","1","","0","-130"
"1078","","","93","","0","1","1","","",""
"1079","","","3","","walk_normal","1","1","0.2","","0"
"1080","1","","2","","-216","1","1","","0","-103"
"1081","","","93","","0","1","1","","",""
"1082","","","3","","idle_normal","1","1","0.1","","0"
"1083","","","93","","0","1","0.8","","",""
"1084","","","32","","0","1","14","","",""
"1085","0","","101","","","1","1005","","","0"
"2001","400","1","5","top_iroha_read","2","2","2","1.43","-130","100"
"2002","980","1","5","butterfly","11","2","11","1.4","130","101"
"2003","-130","","31","","11","2","11","0","1","400"
"2004","","","91","","0","2","0","","",""
"2005","","","3","","top_iroha_read","2","2","0.2","","1"
"2006","","","93","","0","2","9","","",""
"2007","","","4","","1","2","11","","",""
"2008","7","","2","","-980","2","11","","0","130"
"2009","","","93","","0","2","2.5","","",""
"2010","","","3","","top_iroha_read_notice","2","2","0.2","","0"
"2011","","","93","","0","2","0.6","","",""
"2012","top_iroha_run","0","3","","top_iroha_notice_to_run","2","2","0","1","0"
"2013","","","93","","0","2","0.4","","",""
"2014","","","32","","1","2","11","","",""
"2015","","","37","","smokeR","2","11","","",""
"2016","4.2","","33","","-980","2","11","","0","-130"
"2017","4.2","","2","","-980","2","2","","0","-130"
"2018","","","93","","0","2","4.2","","",""
"2019","","","32","","0","2","11","","",""
"2020","","","93","","0","2","1","","",""
"2021","","","4","","0","2","11","","",""
"2022","7","","2","","980","2","11","","0","130"
"2023","","","93","","0","2","1.5","","",""
"2024","","","32","","1","2","11","","",""
"2025","","","37","","smokeL","2","11","","",""
"2026","5.964","","33","","980","2","11","","0","-130"
"2027","","","3","","top_iroha_run_joy","2","2","0","","1"
"2028","","","4","","0","2","2","","",""
"2029","5.964","","2","","980","2","2","","0","-130"
"2030","","","93","","0","2","5.964","","",""
"2031","","","32","","0","2","11","","",""
"2032","","","93","","0","2","2","","",""
"2033","","","3","","top_iroha_walk","2","2","0","","1"
"2034","","","4","","1","2","2","","",""
"2035","3","","2","","400","2","2","","0","-130"
"2036","3","","33","","400","2","11","","0","-130"
"2037","","","93","","0","2","3","","",""
"2038","idle_normal","0","3","","top_iroha_walk_out","2","2","0.2","1","0"
"2039","","","93","","0","2","0.4","","",""
"2040","","0.2","3","","top_iroha_sit_in","2","2","0.2","","0"
"2041","","","93","","0","2","4","","",""
"2042","","","101","","","2","2005","","",""
"3001","350","1","5","top_sono_readPaper","3","3","3","1.38","-130","100"
"3002","-18","","31","","10","3","10","1","1","475"
"3003","","","91","","0","3","0","","",""
"3004","","","3","","top_sono_readPaper","3","3","0.2","","1"
"3005","","","93","","0","3","13.6","","",""
"3006","top_sono_stretch","0","3","","top_sono_sit_out","3","3","0.2","1","0"
"3007","","","93","","0","3","3.5","","",""
"3008","","","3","","top_sono_drink","3","3","0.2","","1"
"3009","","","93","","","3","10.5","","",""
"3010","","","3","","top_sono_sit_in","3","3","0.2","","0"
"3011","","","93","","0","3","2.6","","",""
"3012","","","101","","","3","3004","","",""
"4001","400","1","5","top_iroha_read","2","4","2","1.43","-130","101"
"4002","-216","1","5","top_luis_thinking","1","4","1","1.4","-103","100"
"4003","980","1","5","butterfly","11","4","11","1.4","130","102"
"4004","-130","","31","","11","4","11","0","1","400"
"4005","","","91","","0","4","0","","",""
"4006","","","3","","top_luis_thinking","4","1","0.2","","1"
"4007","","","3","","top_iroha_read","4","2","0.2","","1"
"4008","","","93","","0","4","9","","",""
"4009","","","4","","1","4","11","","",""
"4010","7","","2","","-980","4","11","","0","130"
"4011","","","93","","0","4","2.5","","",""
"4012","","","3","","top_iroha_read_notice","4","2","0.2","","0"
"4013","","","93","","0","4","0.6","","",""
"4014","top_iroha_run","0","3","","top_iroha_notice_to_run","4","2","0","1","0"
"4015","","","93","","0","4","0.4","","",""
"4016","","","32","","1","4","11","","",""
"4017","","","37","","smokeR","4","11","","",""
"4018","4.2","","33","","-980","4","11","","0","-130"
"4019","4.2","","2","","-980","4","2","","0","-130"
"4020","","","93","","0","4","1.9","","",""
"4021","top_luis_surprise_idle","0","3","","top_luis_surprise_in","4","1","0.2","1","0"
"4022","","","93","","0","4","2.3","","",""
"4023","","","32","","0","4","11","","",""
"4024","","","93","","0","4","1","","",""
"4025","","","4","","0","4","11","","",""
"4026","7","","2","","980","4","11","","0","130"
"4027","","","93","","0","4","1.5","","",""
"4028","","","32","","1","4","11","","",""
"4029","","","37","","smokeL","4","11","","",""
"4030","5.964","","33","","980","4","11","","0","-130"
"4031","","","3","","top_iroha_run_joy","4","2","0","","1"
"4032","","","4","","0","4","2","","",""
"4033","5.964","","2","","980","4","2","","0","-130"
"4034","","","93","","0","4","2.2","","",""
"4035","","","3","","top_luis_surprise_look","4","1","0","","1"
"4036","","","93","","0","4","3.764","","",""
"4037","","","3","","top_luis_thinking","4","1","0.2","","1"
"4038","","","32","","0","4","11","","",""
"4039","","","93","","0","4","2","","",""
"4040","","","3","","top_iroha_walk","4","2","0","","1"
"4041","","","4","","1","4","2","","",""
"4042","3","","2","","400","4","2","","0","-130"
"4043","3","","33","","400","4","11","","0","-130"
"4044","","","93","","0","4","3","","",""
"4045","idle_normal","0","3","","top_iroha_walk_out","4","2","0.2","1","0"
"4046","","","93","","0","4","0.4","","",""
"4047","","0.2","3","","top_iroha_sit_in","4","2","0.2","","0"
"4048","","","93","","0","4","4","","",""
"4049","","","101","","","4","4007","","",""
"5001","350","1","5","top_sono_readPaper","3","5","3","1.4","-130","100"
"5002","452","1","5","top_iroha_read_loop","2","5","2","1.4","-130","110"
"5003","","","91","","0","5","0","","",""
"5004","","","3","","top_iroha_read_loop","5","2","0.2","","1"
"5005","","","3","","top_sono_readPaper","5","3","0.2","","1"
"5006","","","93","","0","5","13.6","","",""
"5007","top_sono_stretch","0","3","","top_sono_sit_out","5","3","0.2","1","0"
"5008","0.3","","2","","287","5","3","","0","-130"
"5009","","","93","","0","5","3.5","","",""
"5010","","","3","","top_sono_drink","5","3","0.2","","1"
"5011","","","93","","0","5","2.6","","",""
"5012","","","3","","top_iroha_read_look","5","2","0.4","","0"
"5013","","","93","","0","5","7.9","","",""
"5014","","","3","","top_sono_sit_in","5","3","0.2","","0"
"5015","","","93","","0","5","0.1","","",""
"5016","","","3","","top_iroha_read_loop","5","2","0.2","","1"
"5017","0.3","","2","","350","5","3","","0","-130"
"5018","","","93","","0","5","2.5","","",""
"5019","","","101","","","5","5005","","",""
"6001","-216","1","5","idle_normal","1","6","1","1.4","-103","100"
"6002","350","1","5","top_sono_readPaper_loop","3","6","3","1.38","-130","101"
"6003","-18","","31","","10","6","10","1","1","475"
"6004","-140","","31","","13","6","13","0","1","56"
"6005","-140","","31","","14","6","14","0","1","56"
"6006","","","91","","0","6","0","","",""
"6007","","","3","","top_sono_readPaper_loop","6","3","0.2","","1"
"6008","top_luis_arm_crossed_idle","0","3","","top_luis_arm_crossed_in","6","1","0.2","1","0"
"6009","","","93","","0","6","4","","",""
"6010","top_luis_approach_idle","0","3","","top_luis_approach_in","6","1","0.2","1","0"
"6011","","","93","","0","6","3.5","","",""
"6012","","","3","","top_luis_thinking","6","1","0.2","","1"
"6013","","","93","","0","6","3.5","","",""
"6014","","","3","","top_luis_walk_think","6","1","0.2","","1"
"6015","2","","2","","-495","6","1","","0","-103"
"6016","","","93","","0","6","2","","",""
"6017","","","4","","0","6","1","","",""
"6018","2","","2","","-216","6","1","","0","-103"
"6019","","","93","","0","6","2","","",""
"6020","","","3","","top_luis_notice","6","1","0","","1"
"6021","","","93","","0","6","1","","",""
"6022","","","3","","top_luis_walk_jog","6","1","0.2","","1"
"6023","0.5","","2","","-100","6","1","","0","-130"
"6024","","","93","","0","6","0.5","","",""
"6025","","","4","","1","6","1","","",""
"6026","top_luis_sit_idle","0","3","","top_luis_sit_in","6","1","0.2","1","0"
"6027","","","93","","0","6","0.1","","",""
"6028","0.4","","2","","-57","6","1","","0","-140"
"6029","","","93","","0","6","0.4","","",""
"6030","0","","2","","-16","6","1","","0","-140"
"6031","","","4","","0","6","1","","",""
"6032","","","93","","0","6","0.6","","",""
"6033","","","3","","top_luis_experiment_failer_in","6","1","0.2","","0"
"6034","","","93","","0","6","2.3","","",""
"6035","","","3","","top_luis_experiment_failer_mix","6","1","0.1","","0"
"6036","","","93","","0","6","2.7","","",""
"6037","top_sono_notice_loop_surprise","0","3","","top_sono_notice_in_surprise","6","3","0.2","1","0"
"6038","","","32","","1","6","13","","",""
"6039","","","3","","top_luis_experiment_failer_burst","6","1","0.1","","0"
"6040","","","93","","0","6","2.7","","",""
"6041","","","3","","top_sono_readPaper_loop","6","3","0.2","","1"
"6042","","","3","","top_luis_experiment_failer_out","6","1","0.1","","0"
"6043","","","93","","0","6","1.1","","",""
"6044","idle_normal","0","3","","top_luis_sit_out","6","1","0.2","1","0"
"6045","","","4","","1","6","1","","",""
"6046","0","","2","","-57","6","1","","0","-140"
"6047","0.3","","2","","-100","6","1","","0","-130"
"6048","","","93","","0","6","1","","",""
"6049","","","3","","walk_normal","6","1","0.2","","0"
"6050","1","","2","","-216","6","1","","0","-103"
"6051","","","93","","0","6","1","","",""
"6052","","","3","","idle_normal","6","1","0.1","","0"
"6053","","","93","","0","6","0.8","","",""
"6054","","","32","","0","6","13","","",""
"6055","top_luis_arm_crossed_idle","0","3","","top_luis_arm_crossed_in","6","1","0.2","1","0"
"6056","","","93","","0","6","4","","",""
"6057","top_luis_approach_idle","0","3","","top_luis_approach_in","6","1","0.2","1","0"
"6058","","","93","","0","6","3.5","","",""
"6059","","","3","","top_luis_thinking","6","1","0.2","","1"
"6060","","","93","","0","6","3.5","","",""
"6061","","","3","","top_luis_walk_think","6","1","0.2","","1"
"6062","2","","2","","-495","6","1","","0","-103"
"6063","","","93","","0","6","2","","",""
"6064","","","4","","0","6","1","","",""
"6065","2","","2","","-216","6","1","","0","-103"
"6066","","","93","","0","6","2","","",""
"6067","","","3","","top_luis_notice","6","1","0","","1"
"6068","","","93","","0","6","1","","",""
"6069","","","3","","top_luis_walk_jog","6","1","0.2","","1"
"6070","0.5","","2","","-100","6","1","","0","-130"
"6071","","","93","","0","6","0.5","","",""
"6072","","","4","","1","6","1","","",""
"6073","top_luis_sit_idle","0","3","","top_luis_sit_in","6","1","0.2","1","0"
"6074","","","93","","0","6","0.1","","",""
"6075","0.4","","2","","-57","6","1","","0","-140"
"6076","","","93","","0","6","0.4","","",""
"6077","0","","2","","-16","6","1","","0","-140"
"6078","","","4","","0","6","1","","",""
"6079","","","93","","0","6","0.6","","",""
"6080","","","3","","top_luis_experiment_success_in","6","1","0.2","","0"
"6081","","","93","","0","6","2.3","","",""
"6082","","","3","","top_luis_experiment_success_mix","6","1","0.1","","0"
"6083","","","93","","0","6","2.7","","",""
"6084","top_sono_notice_loop_dere","0","3","","top_sono_notice_in_dere","6","3","0.2","1","0"
"6085","","","32","","1","6","14","","",""
"6086","","","3","","top_luis_experiment_success_burst","6","1","0.1","","0"
"6087","","","93","","0","6","2.7","","",""
"6088","","","3","","top_sono_readPaper_loop","6","3","0.2","","1"
"6089","","","3","","top_luis_experiment_success_out","6","1","0.1","","0"
"6090","","","93","","0","6","1.1","","",""
"6091","idle_normal","0","3","","top_luis_sit_out","6","1","0.2","1","0"
"6092","","","4","","1","6","1","","",""
"6093","0","","2","","-57","6","1","","0","-140"
"6094","0.3","","2","","-100","6","1","","0","-130"
"6095","","","93","","0","6","1","","",""
"6096","","","3","","walk_normal","6","1","0.2","","0"
"6097","1","","2","","-216","6","1","","0","-103"
"6098","","","93","","0","6","1","","",""
"6099","","","3","","idle_normal","6","1","0.1","","0"
"6100","","","93","","0","6","0.8","","",""
"6101","","","32","","0","6","14","","",""
"6102","0","","101","","","6","6008","","","0"
"7001","-216","1","5","idle_normal","1","7","1","1.4","-103","100"
"7002","452","1","5","top_iroha_read_loop","2","7","2","1.43","-130","110"
"7003","350","1","5","top_sono_readPaper_loop","3","7","3","1.38","-130","101"
"7004","980","1","5","butterfly","11","7","11","1.4","130","111"
"7005","-130","","31","","11","7","11","0","1","452"
"7006","-140","","31","","14","7","14","0","1","56"
"7007","","","91","","0","7","0","","",""
"7008","","","3","","top_iroha_read_loop","7","2","0.2","","1"
"7009","","","3","","top_sono_readPaper_loop","7","3","0.2","","1"
"7010","top_luis_arm_crossed_idle","0","3","","top_luis_arm_crossed_in","7","1","0.2","1","0"
"7011","","","93","","0","7","4","","",""
"7012","top_luis_approach_idle","0","3","","top_luis_approach_in","7","1","0.2","1","0"
"7013","","","93","","0","7","3.5","","",""
"7014","","","3","","top_luis_thinking","7","1","0.2","","1"
"7015","","","93","","0","7","3.5","","",""
"7016","","","3","","top_luis_walk_think","7","1","0.2","","1"
"7017","2","","2","","-495","7","1","","0","-103"
"7018","","","93","","0","7","2","","",""
"7019","","","4","","0","7","1","","",""
"7020","2","","2","","-216","7","1","","0","-103"
"7021","","","93","","0","7","2","","",""
"7022","","","3","","top_luis_notice","7","1","0","","1"
"7023","","","93","","0","7","1","","",""
"7024","","","3","","top_luis_walk_jog","7","1","0.2","","1"
"7025","0.5","","2","","-100","7","1","","0","-130"
"7026","","","93","","0","7","0.5","","",""
"7027","","","4","","1","7","1","","",""
"7028","top_luis_sit_idle","0","3","","top_luis_sit_in","7","1","0.2","1","0"
"7029","","","93","","0","7","0.1","","",""
"7030","0.4","","2","","-57","7","1","","0","-140"
"7031","","","93","","0","7","0.4","","",""
"7032","0","","2","","-16","7","1","","0","-140"
"7033","","","4","","0","7","1","","",""
"7034","","","93","","0","7","0.6","","",""
"7035","","","3","","top_luis_experiment_success_in","7","1","0.2","","0"
"7036","","","93","","0","7","2.3","","",""
"7037","","","3","","top_luis_experiment_success_mix","7","1","0.1","","0"
"7038","","","93","","0","7","2.7","","",""
"7039","top_sono_notice_loop_dere","0","3","","top_sono_notice_in_dere","7","3","0.2","1","0"
"7040","","","3","","top_iroha_read_look_light","7","2","0.2","","1"
"7041","","","32","","1","7","14","","",""
"7042","","","3","","top_luis_experiment_success_burst","7","1","0.1","","0"
"7043","","","93","","0","7","2.7","","",""
"7044","","","3","","top_sono_readPaper_loop","7","3","0.2","","1"
"7045","","","3","","top_iroha_read","7","2","0.2","","1"
"7046","","","3","","top_luis_experiment_success_out","7","1","0.1","","0"
"7047","","","93","","0","7","1.1","","",""
"7048","idle_normal","0","3","","top_luis_sit_out","7","1","0.2","1","0"
"7049","","","4","","1","7","1","","",""
"7050","0","","2","","-57","7","1","","0","-140"
"7051","0.3","","2","","-100","7","1","","0","-130"
"7052","","","93","","0","7","1","","",""
"7053","","","3","","walk_normal","7","1","0.2","","0"
"7054","1","","2","","-216","7","1","","0","-103"
"7055","","","93","","0","7","1","","",""
"7056","","","3","","idle_normal","7","1","0.1","","0"
"7057","","","93","","0","7","0.8","","",""
"7058","","","32","","0","7","14","","",""
"7059","","","3","","top_luis_thinking","7","1","0.2","","1"
"7060","","","93","","0","7","5.1","","",""
"7061","","","4","","1","7","11","","",""
"7062","7","","2","","-980","7","11","","0","130"
"7063","","","93","","0","7","2.5","","",""
"7064","","","3","","top_iroha_read_notice","7","2","0.2","","0"
"7065","","","93","","0","7","0.6","","",""
"7066","top_iroha_run","0","3","","top_iroha_notice_to_run","7","2","0","1","0"
"7067","","","93","","0","7","0.4","","",""
"7068","","","32","","1","7","11","","",""
"7069","","","37","","smokeR","7","11","","",""
"7070","4.2","","33","","-980","7","11","","0","-130"
"7071","4.2","","2","","-980","7","2","","0","-130"
"7072","","","93","","0","7","0.2","","",""
"7073","top_sono_notice_loop_surprise","0","3","","top_sono_notice_in_surprise","7","3","0.2","1","0"
"7074","","","93","","0","7","1.7","","",""
"7075","top_luis_surprise_idle","0","3","","top_luis_surprise_in","7","1","0.2","1","0"
"7076","","","93","","0","7","2.5","","",""
"7077","","","32","","0","7","11","","",""
"7078","","","93","","0","7","1","","",""
"7079","","","4","","0","7","11","","",""
"7080","7","","2","","980","7","11","","0","130"
"7081","","","93","","0","7","1.5","","",""
"7082","","","32","","1","7","11","","",""
"7083","","","37","","smokeL","7","11","","",""
"7084","5.964","","33","","980","7","11","","0","-130"
"7085","","","3","","top_iroha_run_joy","7","2","0","","1"
"7086","","","4","","0","7","2","","",""
"7087","5.964","","2","","980","7","2","","0","-130"
"7088","","","93","","0","7","2.2","","",""
"7089","","","3","","top_luis_surprise_look","7","1","0","","1"
"7090","","","93","","0","7","1.8","","",""
"7091","","","3","","top_sono_notice_loop_look","7","3","0","","1"
"7092","","","93","","0","7","1.964","","",""
"7093","","","32","","0","7","11","","",""
"7094","","","93","","0","7","0.5","","",""
"7095","","","3","","top_luis_thinking","7","1","0.2","","1"
"7096","","","93","","0","7","1.5","","",""
"7097","","","3","","top_iroha_walk","7","2","0","","1"
"7098","","","4","","1","7","2","","",""
"7099","0","","2","","1032","7","2","","0","-130"
"7100","0","","33","","1032","7","11","","0","-130"
"7101","3","","2","","452","7","2","","0","-130"
"7102","3","","33","","452","7","11","","0","-130"
"7103","","","93","","0","7","3","","",""
"7104","idle_normal","0","3","","top_iroha_walk_out","7","2","0.2","1","0"
"7105","","","93","","0","7","0.4","","",""
"7106","top_iroha_read_loop","0.2","3","","top_iroha_sit_in","7","2","0.2","1","0"
"7107","","","3","","top_sono_readPaper","7","3","0.2","","1"
"7108","","","93","","0","7","4","","",""
"7109","","","93","","0","7","9.6","","",""
"7110","top_sono_stretch","0","3","","top_sono_sit_out","7","3","0.2","1","0"
"7111","0.3","","2","","287","7","3","","0","-130"
"7112","","","93","","0","7","3.5","","",""
"7113","","","3","","top_sono_drink","7","3","0.2","","1"
"7114","","","93","","0","7","2.6","","",""
"7115","","","3","","top_iroha_read_look","7","2","0.4","","0"
"7116","","","93","","0","7","3.5","","",""
"7117","","","3","","top_luis_thinking_look","7","1","0.2","","1"
"7118","","","93","","0","7","2.9","","",""
"7119","","","3","","top_luis_thinking","7","1","0.2","","1"
"7120","","","93","","0","7","1.5","","",""
"7121","","","3","","top_sono_sit_in","7","3","0.2","","0"
"7122","","","93","","0","7","0.1","","",""
"7123","","","3","","top_iroha_read_loop","7","2","0.2","","1"
"7124","0.3","","2","","350","7","3","","0","-130"
"7125","","","93","","0","7","2.5","","",""
"7126","","","3","","top_sono_readPaper_loop","7","3","0.2","","1"
"7127","","","93","","0","7","1","","",""
"7128","","","101","","","7","7012","","",""
"11001","350","1","5","sit_readPaper","3","11","3","1.4","-130","100"
"11002","950","0","5","empty","1","11","1","1.5","-150","102"
"11003","-18","","31","","10","11","10","1","1","475"
"11004","-130","","31","","11","11","11","0","1","350"
"11005","","","91","","0","11","0","","",""
"11006","","","93","","1","11","0.5","","",""
"11007","0","","21","","vo_alces_1100","11","vo_alces","","","0"
"11008","1","0","11","0.5","…………\n…………","11","3","10","0","10"
"11009","0","","91","","","11","0","","","0"
"11010","sit_readPaper","0","3","","sit_readPaperTurn","11","3","0.2","1","0"
"11011","","","93","","1","11","1","","",""
"11012","","","93","","0","11","1","","",""
"11013","","","3","","sit_readPaper_surprise","11","3","0.2","","1"
"11014","0","","21","","vo_alces_1101","11","vo_alces","","","0"
"11015","1","0","11","0.5","…………\n…………","11","3","10","0","10"
"11016","0","","91","","","11","0","","","0"
"11017","","","93","","0","11","1","","",""
"11018","","","23","","se_alces_emotion_exQuestion","11","se_alces","","",""
"11019","0","0","12","","3","11","3","10","0","0.2"
"11020","sit_readPaper_notice_loop","0","3","","sit_readPaper_notice_in","11","3","0.1","1","0"
"11021","","","93","","0","11","1.2","","",""
"11022","sit_readPaper_kira_talk","0","3","","sit_readPaper_kira_in","11","3","0.2","1","0"
"11023","0","","21","","vo_alces_1102","11","vo_alces","","","0"
"11024","1","0","11","3.2","……っ！！\nトマト３個入りパック150ルピ！？\n神か！？","11","3","0","0","10"
"11025","","","91","","","11","0","","",""
"11026","","","22","","0.5","11","0","","",""
"11027","","","3","","sit_out_readPaper_light","11","3","0.2","","1"
"11028","","","93","","0","11","0.5","","",""
"11029","","","3","","sono_walletPick_in","11","3","0.2","","1"
"11030","","","93","","0","11","1.8","","",""
"11031","sono_walk_quick_R","0","3","","sono_walk_quick_R_in","11","3","0.2","1","0"
"11032","","","32","","1","11","11","","",""
"11033","3.3","","2","","1500","11","3","","0","-130"
"11034","3.3","","33","","1500","11","11","","0","-130"
"11035","","","93","","0","11","1","","",""
"11036","luis_walk_furimuki","0","3","","luis_walk_furimuki_in","11","1","0.2","1","0"
"11037","4","","2","","350","11","1","","0","-150"
"11038","","","93","","0","11","4","","",""
"11039","luis_sad_idle","0","3","","luis_walk_to_idle","11","1","0.2","1","0"
"11040","","","23","","se_alces_emotion_question","11","se_alces","","",""
"11041","0","0","12","","5","11","1","0","0","1.3"
"11042","","","93","","0","11","2.1","","",""
"11043","","","3","","idle_normal","11","1","0.2","","1"
"11044","","","22","","0","11","0","","",""
"11045","","","93","","0","11","3","","",""
"11046","0","","101","","","11","11045","","","0"
"12001","400","0","5","luis_run_dash_pain","1","12","1","1.45","-190","101"
"12002","-85","0","5","empty","1001","12","10","1.45","-190","102"
"12003","-190","","31","","11","12","11","","1","400"
"12004","","","13","","130","12","1","","",""
"12005","1050","1","1","empty","105111","12","1","1.45","-190","102"
"12006","1050","1","5","empty","1002","12","10","1.45","-190","103"
"12007","-190","","31","","12","12","12","0","1","-85"
"12008","","","91","","0","12","0","","",""
"12009","1.3","","2","","-85","12","1","","0","-190"
"12010","1.3","","33","","-85","12","11","","0","-190"
"12011","","","32","","1","12","11","","",""
"12012","","","37","","sweatR_run","12","11","","",""
"12013","","","93","","0","12","1.3","","",""
"12014","anger_talk_Ex0001","0","3","","luis_run_turn","12","1","0.2","1","0"
"12015","0","","21","","vo_alces_1200","12","vo_alces","","","0"
"12016","1","0","11","1","ちょ、あの人なんで\n私を追いかけてくるの！？","12","1","0","0","10"
"12017","0","","91","","","12","0","","","0"
"12018","","","3","","sad_talk_normalR","12","1","0.2","","1"
