52f19e0082a2a758bfdcd3e49465ea5f39f60cbc957e26f829ed96b2816bab55,1c88d0085d8b630fa76a8a083423cc6c586c7ed75b71ead1dcc2a659d82ccd13,460cc9eeced767e1c1e37fcd61f6d35c467e448b8a6b47f336a712d3a71347ea,54a29cc5d1434d90b3a2f2812f8484c39148ac91cd819025b27d248cb4aa345e,61ee59993b25bdd275e9c39096644879bebef562fd2b050b637e57c3b882e990,1d770c2991c21e5a88970ea1a41dad8eaa1dfb759820c24d0d682fcdc97ef203,2400b81c76d669aca99ab481c095a6b5003895114607fd8cba6ff53d9c3e2a76,b142e9e0b372f764e94ba911c088de16da438e04b5ecfae857b1a68df11d8c99
"2500","96004","2","68","4","10","5","90005"
"2500","96004","4","69","4","50","10","140001"
"1000","96004","2","70","4","10","10","25001"
"500","96004","4","71","4","30","5","150003"
"650","96004","4","72","4","30","5","150004"
"750","96004","4","73","4","30","5","150005"
"900","96004","4","74","4","30","5","150006"
"1000","96004","4","75","4","30","5","150007"
"1150","96004","4","76","4","30","5","150008"
"1300","96004","4","77","4","30","5","150009"
"2500","96004","2","78","4","500","5","20004"
"1000","96004","2","79","4","500","5","22003"
"1000","96004","2","80","4","100","0","20004"
"400","96004","2","81","4","100","0","22003"
"20000","96005","2","82","5","1","1","25101"
"20000","96005","2","83","5","1","1","21952"
"10000","96005","2","84","5","1","1","21905"
"10000","96005","2","85","5","1","2","41000"
"1500","96005","2","86","5","5","5","31200"
"1500","96005","2","87","5","5","5","31253"
"1500","96005","2","88","5","5","5","31255"
"1500","96005","2","89","5","5","5","31256"
"2500","96005","2","90","5","10","5","90005"
"2500","96005","4","91","5","50","10","140001"
"1000","96005","2","92","5","10","10","25001"
"500","96005","4","93","5","30","5","150003"
"650","96005","4","94","5","30","5","150004"
"750","96005","4","95","5","30","5","150005"
"900","96005","4","96","5","30","5","150006"
"1000","96005","4","97","5","30","5","150007"
"1150","96005","4","98","5","30","5","150008"
"1300","96005","4","99","5","30","5","150009"
"2500","96005","2","100","5","500","5","20004"
"1000","96005","2","101","5","500","5","22003"
"1000","96005","2","102","5","100","0","20004"
"400","96005","2","103","5","100","0","22003"
"20000","96006","2","104","6","1","1","25101"
"20000","96006","2","105","6","1","1","21952"
"10000","96006","2","106","6","1","1","21905"
"10000","96006","2","107","6","1","2","41000"
"1500","96006","2","108","6","5","5","31262"
"1500","96006","2","109","6","5","5","31266"
"1500","96006","2","110","6","5","5","31269"
"1500","96006","2","111","6","5","5","31271"
"2500","96006","2","112","6","10","5","90005"
"2500","96006","4","113","6","50","10","140001"
"1000","96006","2","114","6","10","10","25001"
"500","96006","4","115","6","30","5","150003"
"650","96006","4","116","6","30","5","150004"
"750","96006","4","117","6","30","5","150005"
"900","96006","4","118","6","30","5","150006"
"1000","96006","4","119","6","30","5","150007"
"1150","96006","4","120","6","30","5","150008"
"1300","96006","4","121","6","30","5","150009"
"2500","96006","2","122","6","500","5","20004"
"1000","96006","2","123","6","500","5","22003"
"1000","96006","2","124","6","100","0","20004"
"400","96006","2","125","6","100","0","22003"
