333501bf8976146b56ba3d202f3f1fb86d97133f11194f40be81561918685b18,8484ab82dd8f3dda8f7a49139b18961bb0ff18148f3220f2f59cc1934bf17c1e,3959d3117a07434732854bef80f84b53586d6acfb8328297c87404ab987be3b3,1db78eb842e75c1de4fdf17c59043e63ea87685088c44091cdaebd1c1e3c3877,e29cfa0f7e76219b22db4b69f75159020a2c20f927ee060b1015266cbd6bd42b,269f915f8be96db79ebeeebce29c7858a28c2eb8ebe98879c89b8df178784353,dc69c39554e8e124c1fd24fb2cd4034b2421dd7f5943925eefd4b8b66206e5e2,70006dcc7eeb9a42ea211ab3755052fcb7b1494331ef2e98a236638ce2eb3cd0,eaf4b0dcc0adc60b43312a10f090beff91f3420c69872360899827e240ec86f5,d0e36d407995d6559a4edc3caa596aa3c777fbb5ea786c9130c14e05e3883961,1b2a05f6af06784c7e06a2f4983f07b4d4b880a73d0a05ebfcb2499a2aee2dc4
"100323","bgm_MC294","1","bgm_MC294","1003","1003","78100323","３戦目","90","103624","78100323"
"100324","bgm_MC294","1","bgm_MC294","1003","1003","78100324","４戦目","90","103624","78100324"
"100325","bgm_MC295B","2","bgm_MC295B","1003","1003","78100325","５戦目","90","103624","78100325"
"100331","bgm_MC294","1","bgm_MC294","1003","1003","78100331","１戦目","90","103624","78100331"
"100332","bgm_MC294","1","bgm_MC294","1003","1003","78100332","２戦目","90","103624","78100332"
"100333","bgm_MC294","1","bgm_MC294","1003","1003","78100333","３戦目","90","103624","78100333"
"100334","bgm_MC294","1","bgm_MC294","1003","1003","78100334","４戦目","90","103624","78100334"
"100335","bgm_MC295B","2","bgm_MC295B","1003","1003","78100335","５戦目","90","103624","78100335"
"100411","bgm_MC294","1","bgm_MC294","1004","1004","78100411","１戦目","90","103624","78100411"
"100412","bgm_MC294","1","bgm_MC294","1004","1004","78100412","２戦目","90","103624","78100412"
"100413","bgm_MC294","1","bgm_MC294","1004","1004","78100413","３戦目","90","103624","78100413"
"100414","bgm_MC294","1","bgm_MC294","1004","1004","78100414","４戦目","90","103624","78100414"
"100415","bgm_MC295B","2","bgm_MC295B","1004","1004","78100415","５戦目","90","103624","78100415"
"100421","bgm_MC294","1","bgm_MC294","1004","1004","78100421","１戦目","90","103624","78100421"
"100422","bgm_MC294","1","bgm_MC294","1004","1004","78100422","２戦目","90","103624","78100422"
"100423","bgm_MC294","1","bgm_MC294","1004","1004","78100423","３戦目","90","103624","78100423"
"100424","bgm_MC294","1","bgm_MC294","1004","1004","78100424","４戦目","90","103624","78100424"
"100425","bgm_MC295B","2","bgm_MC295B","1004","1004","78100425","５戦目","90","103624","78100425"
"100431","bgm_MC294","1","bgm_MC294","1004","1004","78100431","１戦目","90","103624","78100431"
"100432","bgm_MC294","1","bgm_MC294","1004","1004","78100432","２戦目","90","103624","78100432"
"100433","bgm_MC294","1","bgm_MC294","1004","1004","78100433","３戦目","90","103624","78100433"
"100434","bgm_MC294","1","bgm_MC294","1004","1004","78100434","４戦目","90","103624","78100434"
"100435","bgm_MC295B","2","bgm_MC295B","1004","1004","78100435","５戦目","90","103624","78100435"
"100441","bgm_MC294","1","bgm_MC294","1004","1004","78100441","１戦目","90","103624","78100441"
"100442","bgm_MC294","1","bgm_MC294","1004","1004","78100442","２戦目","90","103624","78100442"
"100443","bgm_MC294","1","bgm_MC294","1004","1004","78100443","３戦目","90","103624","78100443"
"100444","bgm_MC294","1","bgm_MC294","1004","1004","78100444","４戦目","90","103624","78100444"
"100445","bgm_MC295B","2","bgm_MC295B","1004","1004","78100445","５戦目","90","103624","78100445"
"100511","bgm_MC294","1","bgm_MC294","1004","1005","78100511","１戦目","90","103624","78100511"
"100512","bgm_MC294","1","bgm_MC294","1004","1005","78100512","２戦目","90","103624","78100512"
"100513","bgm_MC294","1","bgm_MC294","1004","1005","78100513","３戦目","90","103624","78100513"
"100514","bgm_MC294","1","bgm_MC294","1004","1005","78100514","４戦目","90","103624","78100514"
"100515","bgm_MC295B","2","bgm_MC295B","1004","1005","78100515","５戦目","90","103624","78100515"
"100521","bgm_MC294","1","bgm_MC294","1004","1005","78100521","１戦目","90","103624","78100521"
"100522","bgm_MC294","1","bgm_MC294","1004","1005","78100522","２戦目","90","103624","78100522"
"100523","bgm_MC294","1","bgm_MC294","1004","1005","78100523","３戦目","90","103624","78100523"
"100524","bgm_MC294","1","bgm_MC294","1004","1005","78100524","４戦目","90","103624","78100524"
"100525","bgm_MC295B","2","bgm_MC295B","1004","1005","78100525","５戦目","90","103624","78100525"
"100531","bgm_MC294","1","bgm_MC294","1004","1005","78100531","１戦目","90","103624","78100531"
"100532","bgm_MC294","1","bgm_MC294","1004","1005","78100532","２戦目","90","103624","78100532"
"100533","bgm_MC294","1","bgm_MC294","1004","1005","78100533","３戦目","90","103624","78100533"
"100534","bgm_MC294","1","bgm_MC294","1004","1005","78100534","４戦目","90","103624","78100534"
"100535","bgm_MC295B","2","bgm_MC295B","1004","1005","78100535","５戦目","90","103624","78100535"
"100541","bgm_MC294","1","bgm_MC294","1004","1005","78100541","１戦目","90","103624","78100541"
"100542","bgm_MC294","1","bgm_MC294","1004","1005","78100542","２戦目","90","103624","78100542"
"100543","bgm_MC294","1","bgm_MC294","1004","1005","78100543","３戦目","90","103624","78100543"
"100544","bgm_MC294","1","bgm_MC294","1004","1005","78100544","４戦目","90","103624","78100544"
"100545","bgm_MC295B","2","bgm_MC295B","1004","1005","78100545","５戦目","90","103624","78100545"
