2ad7a92e26576a17c3f4e75b32001cefc6b3d2532b286c222b5a3aca0f6742a8,de9ecc1c55e98774fafd41bec354e321c5e8a2b69f2bd3687e1dd008dfd2787b,53d88631de27711ed6438d2717ae15ab498a35fedfc10aeef3b989a98ad99321,7192ef615414565589476f5c7272a9df15c1003a6aa7fb11343c061e40fcb9e1,6c567e11a2bcc1787e55908b8a6d17906dd81997cd0df7fdd69633f566ff7ea1,20f0bf46e7d9b67f8be234c6962dd349ea3a3d189c9c04c947dcddfd73f3af6c,48d6bae0fc0d952d0839adba869a21a4eced8cfa046f53e59d206faca7f8a2ec,a3c1b32fe75be4f0e44e69303b30f108f4522652b9de8508641f0344fdc56298,973e4272fb8796fc3e15b2936bc5fd1574a9f299ce02937dfdece123f2f23345
"2","0","0","2","-10","30000","1","0","1213001"
"2","0","0","2","-10","30000","2","0","1213002"
"2","0","0","2","-25","1500","3","0","1214001"
"2","0","0","2","-20","3000","3","0","1216001"
"2","0","0","1","20","30000","3","0","1218001"
"2","0","0","1","15","30000","3","0","1219001"
"2","0","0","1","15","30000","3","0","1220001"
"2","0","0","1","15","30000","3","0","1221001"
"2","0","0","1","20","3000","2","0","1222001"
"2","0","0","1","30","3000","1","0","1223001"
"2","0","0","1","15","3000","2","0","1224001"
"21","0","0","0","1224003","0","3000","0","1224002"
"2","0","0","1","20","30000","1","0","1224003"
"2","0","0","1","-10","3000","2","0","1225001"
"21","0","0","0","1225003","0","3000","0","1225002"
"2","0","0","2","-20","30000","1","0","1225003"
"2","0","0","2","-15","30000","1","0","1227001"
"2","0","0","2","-15","30000","2","0","1227002"
"2","0","0","2","-35","1500","3","0","1228001"
"2","0","0","1","20","30000","3","0","1229001"
"2","0","0","1","20","3000","2","0","1230001"
"21","0","0","0","1230003","0","3000","0","1230002"
"2","0","0","1","50","30000","1","0","1230003"
"2","0","0","2","-25","3000","3","0","1232001"
"2","0","0","1","25","30000","3","0","1234001"
"2","0","0","1","20","30000","3","0","1235001"
"2","0","0","1","20","30000","3","0","1236001"
"2","0","0","1","20","30000","3","0","1237001"
"2","0","0","1","25","3000","2","0","1238001"
"2","0","0","1","35","3000","1","0","1239001"
"2","0","0","1","20","3000","2","0","1240001"
"21","0","0","0","1240003","0","3000","0","1240002"
"2","0","0","1","25","30000","1","0","1240003"
"2","0","0","1","-10","3000","2","0","1241001"
"21","0","0","0","1241003","0","3000","0","1241002"
"2","0","0","2","-25","30000","1","0","1241003"
"2","0","0","2","-20","30000","1","0","1242001"
"2","0","0","2","-20","30000","2","0","1242002"
"2","0","0","2","-75","1500","3","0","1244001"
"2","0","0","1","20","30000","3","0","1246001"
"2","0","0","1","30","30000","3","0","1247001"
"21","0","0","0","1247003","0","3000","0","1247002"
"2","0","0","1","25","3000","1","0","1247003"
"2","0","0","1","75","3000","1","0","1248001"
"2","0","0","2","-90","1500","3","0","1249001"
"2","0","0","1","10","30000","2","0","2101001"
"2","0","0","1","10","30000","2","0","2102001"
"2","0","0","2","-15","3000","2","0","2103001"
"2","0","0","2","-15","3000","3","0","2103002"
"2","0","0","2","-25","3000","3","0","2105001"
"2","0","0","1","25","30000","3","0","2107001"
"2","0","0","1","10","30000","3","0","2108001"
"2","0","0","1","10","30000","3","0","2109001"
"2","0","0","1","10","30000","3","0","2110001"
"2","0","0","1","15","3000","2","0","2111001"
"2","0","0","1","25","3000","1","0","2112001"
"2","0","0","1","10","3000","2","0","2113001"
"21","0","0","0","2113003","0","3000","0","2113002"
"2","0","0","1","25","30000","1","0","2113003"
"2","0","0","1","-10","3000","2","0","2114001"
"21","0","0","1","2114003","0","3000","0","2114002"
"2","0","0","2","-25","30000","1","0","2114003"
"2","0","0","2","-10","30000","1","0","2116001"
"2","0","0","2","-10","30000","2","0","2116002"
"2","0","0","2","-50","1500","3","0","2117001"
"21","0","0","0","3301002","0","300","0","3301001"
"20","0","0","0","1","30","2","20","3301002"
"1","0","0","2","0","1","1","100","3301101"
"1","0","0","2","0","1","1","40","3302001"
"1","0","0","2","0","1","1","60","3302002"
"1","0","0","2","0","1","1","12","3303001"
"1","0","0","2","0","1","1","28","3303002"
"1","0","0","2","0","1","1","40","3304001"
"1","0","0","2","0","1","1","100","3304002"
"21","0","0","0","3305011","0","200","0","3305001"
"21","0","0","0","3305012","0","200","0","3305002"
"21","0","0","0","3305013","0","200","0","3305003"
"21","0","0","0","3305014","0","200","0","3305004"
"21","0","0","0","3305015","0","200","0","3305005"
"21","0","0","0","3305016","0","200","0","3305006"
"20","0","30","0","1","26","2","15","3305011"
"20","0","15","0","1","29","2","8","3305012"
"20","0","0","0","1","30","2","0","3305013"
"20","0","-15","0","1","29","2","-8","3305014"
"20","0","-30","0","1","26","2","-15","3305015"
"10","0","0","1","30000","180","1","0","3305016"
"1","0","0","2","0","1","1","20","3305101"
"20","0","0","0","1","274","2","29","3402001"
"11","0","0","3","500000","0","2000","0","3402101"
"21","0","0","0","3403002","0","200","0","3403001"
"10","0","0","1","200000","0","1","0","3403002"
"4","0","0","3","0","0","0","0","4001001"
"1","0","0","3","99999","0","0","0","4001002"
"1","9","9","3","99999","9","9","9","4002001"
