958a84bba8c55793e359acacc7e19756af38645bb30bc626f00f04ef19829db4,5f8378bd128681717aefa2d96fb8b5a30db9a418202331aa683789faf3633d08,baf946eb83558c94a78c9d090152017a104eaa9b1bc2643e5a5ba20cfafc00bf,ca65dffe109bfefa8299f88457becd0959eb2280b2d57d8407b765fce89c4127,edc4684ff4676cbe0ba52cf5645edeb2800bc75754a4d1635c2412a7698a3bca,bedef33da59d4473612c224116541f1efe0db8dbeb9b2869ada8307b8057137c,0e88ec5b5f29b7376e22d50a9f57dd39bbd0aacafe21339f839476e56f98a89b,222a2e3964ab9cf2d4943205f4e41111136b42437ae5d5c09a85c3f6e4a2b98d,55c6a21fef3b3f21e30f3d1bc3148b17a810658dc59447ac979c7f69c9d7ded3,d6996924d08d62e1e63d3a2b68511cd8107fa93391678f11acce0543607185c8,cd8a69b15a181cae52e47099dec64144acf1a5f3d66cfd55d6307988bdb700ce
"0.95","3002","0.95","","0.95","0","0.95","0.4","","123","130020008"
"1000001","3002","","","glad","0.2","0","","","3","130020009"
"300100","3002","","","1","","","","","32","130020010"
"996","3002","","","1","","","","","32","130020011"
"0.1","3002","","","0","","","","","93","130020012"
"2","3002","","","0","","","","","32","130020013"
"3","3002","","","0","","","","","32","130020014"
"1.5","3002","","","0","","","","","93","130020015"
"1000001","3002","","","joy","0.2","0","","","3","130020016"
"1.7","3002","","","0","","","","","93","130020017"
"1000001","3002","","","run_gatein","0","1","","","3","130020018"
"1000001","3002","1","","450","","-195","0","","2","130020019"
"0.5","3002","","","1","","","","","93","130020020"
"1000001","3002","1","0","1","0.4","1","0","","6","130020021"
"0.4","3002","","","0","","","","","93","130020022"
"1","3002","","","","","","","","113","130020023"
"6","3011","0","","6","0","345.4","1","","31","130110001"
"8","3011","0","","8","0","345.4","1","","31","130110002"
"301100","3011","0","","301100","0","345.4","1","","31","130110003"
"0","3011","","","","","","","","91","130110004"
"1.05","3011","1.05","","1.05","0","1.05","7.4","","123","130110005"
"1000001","3011","","","wait","0.2","0","","","3","130110006"
"2","3011","","","1","","","","","35","130110007"
"4.9","3011","","","0","","","","","93","130110008"
"0.95","3011","0.95","","0.95","0","0.95","0.3","","123","130110009"
"se_travel","3011","","","se_travel_treasure_ghost_success","","0","","","23","130110010"
"8","3011","","","1","","","","","32","130110011"
"8","3011","","","0","","","","","35","130110012"
"6","3011","","","1","","","","","32","130110013"
"0.1","3011","","","0","","","","","93","130110014"
"2","3011","","","0","","","","","32","130110015"
"3","3011","","","0","","","","","32","130110016"
"1000001","3011","","","dotEyes","","0","","","3","130110017"
"0.87","3011","","","0","","","","","93","130110018"
"1000001","3011","","","glad","0.2","0","","","3","130110019"
"301100","3011","","","1","","","","","32","130110020"
"8","3011","","","1","","","","","35","130110021"
"0.6","3011","","","0","","","","","93","130110022"
"996","3011","","","1","","","","","32","130110023"
"0.5","3011","","","0","","","","","93","130110024"
"1000001","3011","","","joy","","0","","","3","130110025"
"1.67","3011","","","0","","","","","93","130110026"
"1000001","3011","","","run_gatein","0","1","","","3","130110027"
"1000001","3011","1","","450","","-195","0","","2","130110028"
"0.5","3011","","","1","","","","","93","130110029"
"1000001","3011","1","0","1","0.4","1","0","","6","130110030"
"0.4","3011","","","0","","","","","93","130110031"
"1","3011","","","","","","","","113","130110032"
"1000001","3012","","","idle","0.2","1","","","3","130120001"
"301200","3012","0","","13","0","0","1","","31","130120002"
"101","3012","0","","14","0","0","1","","31","130120003"
"301204","3012","-150","","16","0","260","1","","31","130120004"
"301205","3012","0","","17","0","0","1","","31","130120005"
"6","3012","0","","18","0","345.4","1","","31","130120006"
"301201","3012","0","","20","0","345.4","1","","31","130120007"
"301202","3012","0","","21","0","345.4","1","","31","130120008"
"1","3012","9340","0","3","1","55","-234","round_monster_walk","5","130120009"
"0","3012","","","","","","","","91","130120010"
"3","3012","1","0","1","0","1","0","","6","130120011"
"3","3012","0","0","345","0","-234","0","","2","130120012"
"1.05","3012","1.05","0","1.05","0","1.05","7.4","","123","130120013"
"1000001","3012","","","wait","0.2","0","","","3","130120014"
"2","3012","","","1","","","","","35","130120015"
"301203","3012","0","","15","0","0","1","","31","130120016"
"2","3012","9340","0","1000002","0.89","57","-250","<weapon>_run","1","130120017"
"4.3","3012","","","0","","","","","93","130120018"
"0.95","3012","0.95","","0.95","0","0.95","0.4","","123","130120019"
"21","3012","","","1","","","","","32","130120020"
"21","3012","","","0","","","","","35","130120021"
"se_travel","3012","","","se_travel_treasure_success_monster_helper_1","","","","","23","130120022"
"18","3012","","","1","","","","","32","130120023"
"0.1","3012","","","0","","","","","93","130120024"
"2","3012","","","0","","","","","32","130120025"
"3","3012","1","0","1","0.3","1","1","","6","130120026"
"13","3012","","","1","","","","","32","130120027"
"3","3012","","","round_monster_appear","","0","","","3","130120028"
"1000001","3012","","","back","","0","","","3","130120029"
"0.67","3012","","","0","","","","","93","130120030"
"3","3012","","","round_monster_walk","0.2","0","","","3","130120031"
"3","3012","1.4","","220","","-234","0","","2","130120032"
"20","3012","","","1","","","","","32","130120033"
"0.1","3012","","","0","","","","","93","130120034"
"18","3012","","","0","","","","","32","130120035"
"0.5","3012","","","0","","","","","93","130120036"
"1000002","3012","","","1","","","","","4","130120037"
"1000002","3012","0","","1445","","-240","0","","2","130120038"
"0.5","3012","","","0","","","","","93","130120039"
"3","3012","","","round_monster_attack","0.3","0","","","3","130120040"
"0.5","3012","","","0","","","","","93","130120041"
"17","3012","","","1","","","","","32","130120042"
"1000001","3012","","","back_loop","0.1","0","","","3","130120043"
"0.5","3012","","","0","","","","","93","130120044"
"1000002","3012","0","","950","","-240","0","","2","130120045"
"1000002","3012","0.16","","650","","-240","0","","2","130120046"
"1000002","3012","","","<weapon>_run","0.2","0","","","3","130120047"
"0.16","3012","","","0","","","","","93","130120048"
"1000002","3012","","","<weapon>_attack_skipQuest","0.2","0","","","3","130120049"
"0.1","3012","","","0","","","","","93","130120050"
"3","3012","0","","280","","-234","0","","2","130120051"
"3","3012","","","1","","","","","4","130120052"
"3","3012","","","round_monster_die","0.2","0","","","3","130120053"
"16","3012","","","1","","","","","32","130120054"
"0.5","3012","","","0","","","","","93","130120055"
"1000001","3012","0","","20","","-240","0","","2","130120056"
"1000001","3012","","","back_origin","0","0","","","3","130120057"
"1000001","3012","","","surprise","0.2","0","","","3","130120058"
"1000002","3012","","","<weapon>_idle","0.2","1","","","3","130120059"
"0.66","3012","","","0","","","","","93","130120060"
"15","3012","","","1","","","","","32","130120061"
"996","3012","","","1","","","","","32","130120062"
"3","3012","1","","1","0.6","1","0","","6","130120063"
"1000001","3012","","","joy_short","0.2","0","","","3","130120064"
"18","3012","","","1","","","","","32","130120065"
"0.02","3012","","","0","","","","","93","130120066"
"20","3012","","","0","","","","","32","130120067"
"21","3012","","","0","","","","","32","130120068"
"1.5","3012","","","0","","","","","93","130120069"
"1000001","3012","","","smile","0.2","0","","","3","130120070"
"1000002","3012","","","<weapon>_run","0","1","","","3","130120071"
"1000002","3012","","","0","","","","","4","130120072"
"1000002","3012","2","","1500","","-250","0","","2","130120073"
"1","3012","","","0","","","","","93","130120074"
"1000002","3012","1","","1","0.2","1","0","","6","130120075"
"1000001","3012","","","run_gatein","0.2","1","","","3","130120076"
"1000001","3012","1","","360","","-200","0","","2","130120077"
"0.5","3012","","","0","","","","","93","130120078"
"1000001","3012","1","","1","0.4","1","0","","6","130120079"
"0.4","3012","","","0","","","","","93","130120080"
"1","3012","","","0","","","","","113","130120081"
"301300","3013","0","","301300","0","345.4","1","","31","130130001"
"0","3013","","","","","","","","91","130130002"
"1000001","3013","","","wait_gradeUp","0.2","0","","","3","130130003"
"301300","3013","","","1","","","","","32","130130004"
"0.1","3013","","","0","","","","","93","130130005"
"2","3013","","","0","","","","","32","130130006"
"0.8","3013","","","0","","","","","93","130130007"
"1.05","3013","1.05","","1.05","0","1.05","0","","123","130130008"
"5","3013","","","5","","0.5","","","122","130130009"
"1.1","3013","","","0","","","","","93","130130010"
"1.05","3013","1.05","","1.05","0","1.05","0","","123","130130011"
"10","3013","","","10","","0.5","","","122","130130012"
"0.8","3013","","","0","","","","","93","130130013"
"1000001","3013","","","glad","0.2","0","","","3","130130014"
"0.1","3013","","","0","","","","","93","130130015"
"0.907","3013","0.907","","0.907","2","0.907","2","","123","130130016"
"0.3","3013","","","0","","","","","93","130130017"
"996","3013","","","1","","","","","32","130130018"
"0.5","3013","","","0","","","","","93","130130019"
"1000001","3013","","","joy","0.2","0","","","3","130130020"
"1.7","3013","","","0","","","","","93","130130021"
"1000001","3013","","","run_gatein","0","1","","","3","130130022"
"1000001","3013","1","","450","","-195","0","","2","130130023"
"0.5","3013","","","1","","","","","93","130130024"
"1000001","3013","1","0","1","0.4","1","0","","6","130130025"
"0.4","3013","","","0","","","","","93","130130026"
"1","3013","","","","","","","","113","130130027"
"301400","3014","0","","301400","0","345.4","1","","31","130140001"
"0","3014","","","","","","","","91","130140002"
"1.05","3014","1.05","","1.05","0","1.05","7.4","","123","130140003"
"1000001","3014","","","wait","0.2","0","","","3","130140004"
"301400","3014","","","1","","","","","32","130140005"
"0.1","3014","","","0","","","","","93","130140006"
"2","3014","","","0","","","","","32","130140007"
"3.4","3014","","","0","","","","","93","130140008"
"0.95","3014","0.95","","0.95","5","0.95","3.2","","123","130140009"
"1.6","3014","","","0","","","","","93","130140010"
"1000001","3014","","","relief","0.2","0","","","3","130140011"
"996","3014","","","1","","","","","32","130140012"
"1.7","3014","","","0","","","","","93","130140013"
"1000001","3014","","","run_gatein","0","1","","","3","130140014"
"1000001","3014","1","","450","","-195","0","","2","130140015"
"0.5","3014","","","1","","","","","93","130140016"
"1000001","3014","1","0","1","0.4","1","0","","6","130140017"
"0.4","3014","","","0","","","","","93","130140018"
"1","3014","","","","","","","","113","130140019"
"301501","3015","0","","301501","0","345.4","1","","31","130150001"
"301500","3015","0","","301500","1","345.4","1","","31","130150002"
"0","3015","","","","","","","","91","130150003"
"1.05","3015","1.05","","1.05","0","1.05","7.4","","123","130150004"
"1000001","3015","","","wait_wakuwaku","0.2","0","","","3","130150005"
"2","3015","","","1","","","","","35","130150006"
"5.4","3015","","","0","","","","","93","130150007"
"0.95","3015","0.95","","0.95","0","0.95","0.4","","123","130150008"
"1000001","3015","","","glad","0.2","0","","","3","130150009"
"301501","3015","","","1","","","","","32","130150010"
"996","3015","","","1","","","","","32","130150011"
"0.1","3015","","","0","","","","","93","130150012"
"2","3015","","","0","","","","","32","130150013"
"3","3015","","","0","","","","","32","130150014"
"1.5","3015","","","0","","","","","93","130150015"
"1000001","3015","","","joy","0.2","0","","","3","130150016"
"1.7","3015","","","0","","","","","93","130150017"
"1000001","3015","","","run_gatein","0","1","","","3","130150018"
"1000001","3015","1","","450","","-195","0","","2","130150019"
"0.5","3015","","","1","","","","","93","130150020"
"1000001","3015","1","0","1","0.4","1","0","","6","130150021"
"0.4","3015","","","0","","","","","93","130150022"
"1","3015","","","","","","","","113","130150023"
"6","3016","0","","6","0","345.4","1","","31","130160001"
"8","3016","0","","8","0","345.4","1","","31","130160002"
"301600","3016","-80","","301600","0","345.4","1","","31","130160003"
"301601","3016","0","","301601","0","345.4","1","","31","130160004"
"990002","3016","0","","990002","1","345.4","1","","31","130160005"
"0","3016","","","","","","","","91","130160006"
"1.05","3016","1.05","","1.05","0","1.05","7.4","","123","130160007"
"1000001","3016","","","wait","0.2","0","","","3","130160008"
"2","3016","","","1","","","","","35","130160009"
"5.4","3016","","","0","","","","","93","130160010"
"0.95","3016","0.95","","0.95","0","0.95","0.4","","123","130160011"
"8","3016","","","1","","","","","32","130160012"
"8","3016","","","0","","","","","35","130160013"
"301600","3016","","","1","","","","","32","130160014"
"6","3016","","","1","","","","","32","130160015"
"0.1","3016","","","0","","","","","93","130160016"
"2","3016","","","0","","","","","32","130160017"
"3","3016","","","0","","","","","32","130160018"
"1000001","3016","","","glad","0.1","0","","","3","130160019"
"se_travel","3016","","","se_travel_treasure_success_butterfly","","0","","","23","130160020"
"0.5","3016","","","0","","","","","93","130160021"
"8","3016","","","1","","","","","35","130160022"
"1.1","3016","","","0","","","","","93","130160023"
"301601","3016","","","1","","","","","32","130160024"
"996","3016","","","1","","","","","32","130160025"
"1000001","3016","","","joy","0.2","0","","","3","130160026"
"1.67","3016","","","0","","","","","93","130160027"
"1000001","3016","","","run_gatein","0","1","","","3","130160028"
"se_travel","3016","","","se_travel_treasure_cha_run","","0","","","23","130160029"
"1000001","3016","1","","450","","-195","0","","2","130160030"
"0.5","3016","","","1","","","","","93","130160031"
"1000001","3016","1","0","1","0.4","1","0","","6","130160032"
"0.4","3016","","","0","","","","","93","130160033"
"1","3016","","","","","","","","113","130160034"
"310000","3017","0","","310000","0","345.4","1","","31","130170001"
"310001","3017","0","","310001","0","0","1","","31","130170002"
"301700","3017","0","","301700","0","345.4","1","","31","130170003"
"301701","3017","-115","","301701","0","740","1","","31","130170004"
"301702","3017","0","","301702","0","345.4","1","","31","130170005"
"301703","3017","0","","301703","0","345.4","1","","31","130170006"
"5","3017","610","0","15","0.44","100","-235","empty","5","130170007"
"5","3017","610","0","16","0.44","55","-235","empty","5","130170008"
"0","3017","","","","","","","","91","130170009"
"1.05","3017","1.05","","1.05","0","1.05","7.4","","123","130170010"
"1000001","3017","","","wait","0.2","0","","","3","130170011"
"2","3017","","","1","","","","","35","130170012"
"5.4","3017","","","0","","","","","93","130170013"
"0.95","3017","0.95","","0.95","0","0.95","0.3","","123","130170014"
"310000","3017","","","1","","","","","32","130170015"
"310001","3017","","","1","","","","","32","130170016"
"0.2","3017","","","0","","","","","93","130170017"
"50","3017","","","50","","0.6","","","122","130170018"
"1000001","3017","","","shock","0.2","0","","","3","130170019"
"1.6","3017","","","0","","","","","93","130170020"
"301700","3017","","","1","","","","","32","130170021"
"1.2","3017","","","0","","","","","93","130170022"
"se_travel","3017","","","se_travel_treasure_croce_ui","","0","","","23","130170023"
"15","3017","","","punch","","0","","","3","130170024"
"16","3017","","","punch_B","","0","","","3","130170025"
"0.2","3017","","","0","","","","","93","130170026"
"1.05","3017","1.05","","1.05","11","1.05","0.1","","123","130170027"
"0.1","3017","","","0","","","","","93","130170028"
"0.95","3017","0.95","","0.95","0","0.95","0.3","","123","130170029"
"1","3017","","","0","","","","","93","130170030"
"se_travel","3017","","","se_travel_treasure_croce_door","","0","","","23","130170031"
"0.4","3017","","","0","","","","","93","130170032"
"301701","3017","","","1","","","","","32","130170033"
"0.9","3017","","","0","","","","","93","130170034"
"1.05","3017","1.05","","1.05","0","1.05","0","","123","130170035"
"75","3017","","","75","","0.6","","","122","130170036"
"301702","3017","","","1","","","","","32","130170037"
"0.4","3017","","","0","","","","","93","130170038"
"2","3017","","","0","","","","","32","130170039"
"310000","3017","","","0","","","","","32","130170040"
"0.4","3017","","","0","","","","","93","130170041"
"0.95","3017","0.95","","0.95","11","0.95","2","","123","130170042"
"0.2","3017","","","0","","","","","93","130170043"
"1000001","3017","","","glad","0.2","0","","","3","130170044"
"301703","3017","","","1","","","","","32","130170045"
"0.1","3017","","","0","","","","","93","130170046"
"996","3017","","","1","","","","","32","130170047"
"0.9","3017","","","0","","","","","93","130170048"
"1000001","3017","","","joy","0.2","0","","","3","130170049"
"1.7","3017","","","0","","","","","93","130170050"
"1000001","3017","","","run_gatein","0","1","","","3","130170051"
"se_travel","3017","","","se_travel_treasure_cha_run","","","","","23","130170052"
"1000001","3017","1","","450","","-195","0","","2","130170053"
"0.5","3017","","","1","","","","","93","130170054"
"1000001","3017","1","0","1","0.4","1","0","","6","130170055"
"0.4","3017","","","0","","","","","93","130170056"
"1","3017","","","","","","","","113","130170057"
"310000","3100","0","","310000","0","345.4","1","","31","131000001"
"310001","3100","0","","310001","0","0","1","","31","131000002"
"0","3100","","","","","","","","91","131000003"
"1.05","3100","1.05","","1.05","0","1.05","7.4","","123","131000004"
"1000001","3100","","","wait","0.2","0","","","3","131000005"
"2","3100","","","1","","","","","35","131000006"
"5.4","3100","","","0","","","","","93","131000007"
"0.95","3100","0.95","","0.95","0","0.95","0.3","","123","131000008"
"310000","3100","","","1","","","","","32","131000009"
"310001","3100","","","1","","","","","32","131000010"
"0.2","3100","","","0","","","","","93","131000011"
"50","3100","","","50","","0.6","","","122","131000012"
"1000001","3100","","","shock","0.2","0","","","3","131000013"
"1.6","3100","","","0","","","","","93","131000014"
"2","3100","","","","","","","","113","131000015"
"6","3111","0","","6","0","345.4","1","","31","131110001"
"7","3111","0","","7","0","345.4","1","","31","131110002"
"8","3111","0","","8","0","345.4","1","","31","131110003"
"3","3111","8000","0","13","1.3","55","0","appear","5","131110004"
"0","3111","","","","","","","","91","131110005"
"13","3111","1","0","1","0","1","0","","6","131110006"
"13","3111","0","","95","","-250","0","","2","131110007"
"1.05","3111","1.05","","1.05","0","1.05","7.4","","123","131110008"
"1000001","3111","","","wait","0.2","0","","","3","131110009"
"2","3111","","","1","","","","","35","131110010"
"4.9","3111","","","0","","","","","93","131110011"
"0.95","3111","0.95","","0.95","0","0.95","0.3","","123","131110012"
"se_travel","3111","","","se_travel_treasure_ghost_fail","","0","","","23","131110013"
"8","3111","","","1","","","","","32","131110014"
"8","3111","","","0","","","","","35","131110015"
"6","3111","","","1","","","","","32","131110016"
"0.1","3111","","","0","","","","","93","131110017"
"2","3111","","","0","","","","","32","131110018"
"3","3111","","","0","","","","","32","131110019"
"1000001","3111","","","dotEyes","","0","","","3","131110020"
"0.3","3111","","","0","","","","","93","131110021"
"13","3111","","","appear","","0","","","3","131110022"
"13","3111","1","0","1","0","1","1","","6","131110023"
"0.67","3111","","","0","","","","","93","131110024"
"1000001","3111","","","shock_jump","","0","","","3","131110025"
"1000001","3111","1","","70","","-250","0","","2","131110026"
"1.1","3111","","","0","","","","","93","131110027"
"1000001","3111","","","escape","","1","","","3","131110028"
"1000001","3111","1.2","","-350","","-250","0","","2","131110029"
"13","3111","","","march","","0","","","3","131110030"
"0.2","3111","","","0","","","","","93","131110031"
"7","3111","","","1","","","","","32","131110032"
"0.1","3111","","","0","","","","","93","131110033"
"6","3111","","","0","","","","","32","131110034"
"1.6","3111","","","0","","","","","93","131110035"
"2","3111","","","","","","","","113","131110036"
"1000001","3112","","","idle","0.2","1","","","3","131120001"
"301200","3112","0","","13","0","0","1","","31","131120002"
"101","3112","0","","14","0","0","1","","31","131120003"
"301205","3112","0","","15","0","0","1","","31","131120004"
"301206","3112","-170","","16","0","130","1","","31","131120005"
"6","3112","0","","18","0","345.4","1","","31","131120006"
"301201","3112","0","","20","0","345.4","1","","31","131120007"
"301202","3112","0","","21","0","345.4","1","","31","131120008"
"1","3112","9340","0","3","1","55","-234","round_monster_walk","5","131120009"
"0","3112","","","","","","","","91","131120010"
"3","3112","1","0","1","0","1","0","","6","131120011"
"3","3112","0","0","345","0","-234","0","","2","131120012"
"1.05","3112","1.05","0","1.05","0","1.05","7.4","","123","131120013"
"1000001","3112","","","wait","0.2","0","","","3","131120014"
"2","3112","","","1","","","","","35","131120015"
"4.3","3112","","","0","","","","","93","131120016"
"0.95","3112","0.95","","0.95","0","0.95","0.4","","123","131120017"
"21","3112","","","1","","","","","32","131120018"
"21","3112","","","0","","","","","35","131120019"
"se_travel","3112","","","se_travel_treasure_monster_failure","","","","","23","131120020"
"18","3112","","","1","","","","","32","131120021"
"0.1","3112","","","0","","","","","93","131120022"
"2","3112","","","0","","","","","32","131120023"
"3","3112","1","0","1","0.3","1","1","","6","131120024"
"13","3112","","","1","","","","","32","131120025"
"3","3112","","","round_monster_appear","","0","","","3","131120026"
"1000001","3112","","","back","","0","","","3","131120027"
"0.67","3112","","","0","","","","","93","131120028"
"3","3112","","","round_monster_walk","0.2","0","","","3","131120029"
"3","3112","1.4","0","220","0","-234","0","","2","131120030"
"20","3112","","","1","","","","","32","131120031"
"0.1","3112","","","0","","","","","93","131120032"
"18","3112","","","0","","","","","32","131120033"
"1","3112","","","0","","","","","93","131120034"
"3","3112","","","round_monster_attack","0.3","0","","","3","131120035"
"0.5","3112","","","0","","","","","93","131120036"
"15","3112","","","1","","","","","32","131120037"
"1000001","3112","","","back_loop","0.2","1","","","3","131120038"
"1","3112","","","0","","","","","93","131120039"
"16","3112","","","1","","","","","32","131120040"
"0","3112","","","50","","0.5","","","122","131120041"
"1000001","3112","0","","40","","-250","0","","2","131120042"
"1000001","3112","","","shock_jump","0","0","","","3","131120043"
"0.6","3112","","","0","","","","","93","131120044"
