f07412470e7cb8eee76f4003e4a9773513f4acc24095eb0fbd9d0580c319df2c,a061e442f03945c9d5251d4954ef518fbcfd269e53a58230b61600d0a6de7167,e005c25cd32adbc10ab82e7be0115290e789692fe1dc5b1907be6d96b92199da,af937db9d4b17acb98b537a1732384e5d8c1174e2c94a42dcde0e69429a3a1a6,ce6d12d101af4e3040ec656df528c9149492376f86a1d41b7f4473cb92a197d5,c7b18895d372e21c18135dc02e052ed40f09b3fec8a9fdf1bd9ced3ad8cefd6c,c2a74ce2b0b723e6294b7e0974401652e47faeb8c75a436f2abeec78179c0d1d,e814656ce74325497e47ab3666127141693f730c8c5b5f8dcd6e18c86a345981,547a439eee08affca6e4e7f43d0edc436657512a1962d10808b6f925e7c21a37,7e6f9ad4323ed6a9413298bd8835a167d9eabf07489e5ec9a3b61e7dd845d998,89d7f9a5d99c9afb5ea71c96d1117da450ed9270f252287a8a579a45227b741f
"drama_talk_arm_crossed_loop","3","3","0","129911","","1","0.2","drama_talk_arm_crossed_in","","3014"
"0","21","3","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_3_002","","3015"
"1","11","3","6","129911","0","0","0","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","0.3","3016"
"","91","3","","0","","","","","","3017"
"","3","3","1","129811","","","0.2","drama_idle","","3018"
"","3","3","1","129911","","","0.2","drama_idle","","3019"
"167","1","4","100","1","1","-224","1.65","129811","drama_idle","4001"
"-49","1","4","100","1","0","-224","1.65","129911","drama_idle","4002"
"","3","4","1","129911","","","0.2","drama_idle","","4003"
"drama_talk_doya_loop_shy","3","4","0","129811","","1","0.2","drama_talk_doya_in_shy","","4004"
"0","21","4","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_4_000","","4005"
"1","11","4","7","129811","0","0","0","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","0.3","4006"
"","91","4","","0","","","","","","4007"
"","3","4","1","129811","","","0.2","drama_idle_doya_shy","","4008"
"drama_talk_wish_loop","3","4","0","129911","","1","0.2","drama_talk_wish_in","","4009"
"0","21","4","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_4_001","","4010"
"1","11","4","5","129911","0","0","0","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","0.5","4011"
"","91","4","","0","","","","","","4012"
"","3","4","1","129911","","","0.2","drama_idle_wish","","4013"
"","3","4","1","129811","","0","0.2","drama_idle_thinking_shy","","4014"
"0","21","4","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_4_002","","4015"
"1","11","4","8","129811","0","0","0","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","0","4016"
"","91","4","","0","","","","","","4017"
"","3","4","1","129911","","","0.2","drama_idle","","4018"
"","3","4","1","129811","","","0.2","drama_idle","","4019"
"167","1","5","100","1","1","-224","1.65","129811","drama_idle","5001"
"-49","1","5","100","1","0","-224","1.65","129911","drama_idle","5002"
"","3","5","1","129811","","","0.2","drama_idle","","5003"
"","3","5","1","129911","","","0.2","drama_talk_thinking","","5004"
"0","21","5","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_5_000","","5005"
"1","11","5","6","129911","0","0","0","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","0.8","5006"
"","91","5","","0","","","","","","5007"
"","3","5","1","129911","","","0.2","drama_idle_thinking","","5008"
"drama_talk_wonder_loop","3","5","0","129811","","1","0.2","drama_talk_wonder_in","","5009"
"0","21","5","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_5_001","","5010"
"1","11","5","7","129811","0","0","0","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","0.3","5011"
"","91","5","","0","","","","","","5012"
"","3","5","1","129811","","","0.2","drama_idle_wonder","","5013"
"","3","5","1","129911","","","0.2","drama_talk_memory","","5014"
"0","21","5","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_5_002","","5015"
"1","11","5","5","129911","0","0","0","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","0.5","5016"
"","91","5","","0","","","","","","5017"
"","3","5","1","129811","","","0.2","drama_idle","","5018"
"","3","5","1","129911","","","0.2","drama_idle","","5019"
"167","1","6","100","1","1","-224","1.65","129811","drama_idle","6001"
"-49","1","6","100","1","0","-224","1.65","129911","drama_idle","6002"
"","3","6","1","129911","","","0.2","drama_idle","","6003"
"","3","6","1","129811","","","0.2","drama_talk_thinking_shy","","6004"
"0","21","6","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_6_000","","6005"
"1","11","6","8","129811","0","0","0","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","0.3","6006"
"","91","6","","0","","","","","","6007"
"","3","6","1","129811","","","0.2","drama_idle_thinking_shy","","6008"
"drama_talk_doubt_loop","3","6","0","129911","","1","0.2","drama_talk_doubt_in","","6009"
"0","21","6","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_6_001","","6010"
"1","11","6","6","129911","0","0","0","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","0.8","6011"
"","91","6","","0","","","","","","6012"
"","3","6","1","129911","","","0.2","drama_idle_doubt","","6013"
"drama_talk_surprise_loop_shy","3","6","0","129811","","1","0.2","drama_talk_surprise_in_shy","","6014"
"0","21","6","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_6_002","","6015"
"1","11","6","9","129811","0","0","0","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","0.3","6016"
"","91","6","","0","","","","","","6017"
"","3","6","1","129911","","","0.2","drama_idle","","6018"
"","3","6","1","129811","","","0.2","drama_idle","","6019"
"167","1","7","100","1","1","-224","1.65","129811","drama_idle","7001"
"-49","1","7","100","1","0","-224","1.65","129911","drama_idle","7002"
"","3","7","1","129811","","","0.2","drama_idle","","7003"
"drama_talk_arm_crossed_loop","3","7","0","129911","","1","0.2","drama_talk_arm_crossed_in","","7004"
"0","21","7","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_7_000","","7005"
"1","11","7","6","129911","0","0","0","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","0.3","7006"
"","91","7","","0","","","","","","7007"
"","3","7","1","129911","","","0.2","drama_idle_arm_crossed","","7008"
"drama_talk_guts2_loop","3","7","0","129811","","1","0.2","drama_talk_guts2_in","","7009"
"0","21","7","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_7_001","","7010"
"1","11","7","6","129811","0","0","0","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","0","7011"
"","91","7","","0","","","","","","7012"
"","3","7","1","129811","","","0.2","drama_idle_guts2","","7013"
"","3","7","1","129911","","","0.2","drama_talk_thinking","","7014"
"0","21","7","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_7_002","","7015"
"1","11","7","6","129911","0","0","0","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","0.5","7016"
"","91","7","","0","","","","","","7017"
"","3","7","1","129811","","","0.2","drama_idle","","7018"
"","3","7","1","129911","","","0.2","drama_idle","","7019"
"167","1","8","100","1","1","-224","1.65","129811","drama_idle","8001"
"-49","1","8","100","1","0","-224","1.65","129911","drama_idle","8002"
"","3","8","1","129911","","","0.2","drama_idle","","8003"
"drama_talk_doya_loop_smile","3","8","0","129811","","1","0.2","drama_talk_doya_in_smile","","8004"
"0","21","8","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_8_000","","8005"
"1","11","8","7","129811","0","0","0","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","0.3","8006"
"","91","8","","0","","","","","","8007"
"","3","8","1","129811","","","0.2","drama_idle_doya_smile","","8008"
"drama_talk_arm_crossed_loop","3","8","0","129911","","1","0.2","drama_talk_arm_crossed_in","","8009"
"0","21","8","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_8_001","","8010"
"1","11","8","5","129911","0","0","0","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","0.8","8011"
"","91","8","","0","","","","","","8012"
"","3","8","1","129911","","","0.2","drama_idle_arm_crossed","","8013"
"","3","8","1","129811","","","0.2","drama_talk_anger","","8014"
"0","21","8","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_8_002","","8015"
"1","11","8","7","129811","0","0","0","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","0.3","8016"
"","91","8","","0","","","","","","8017"
"","3","8","1","129811","","","0.2","drama_idle","","8018"
"","3","8","1","129911","","","0.2","drama_idle","","8019"
"167","1","30","100","1","1","-224","1.65","129811","drama_idle","30001"
"-49","1","30","100","1","0","-224","1.65","129911","drama_idle","30002"
"","3","30","1","129811","","","0.2","drama_idle","","30003"
"","3","30","1","129911","","","0.2","drama_idle","","30004"
"","93","30","","0.5","","","","0","","30005"
"","26","30","","2","","","","","","30006"
"1.2","121","30","1.2","-80","","0.9","3","10","","30007"
"","3","30","0","129911","0.2","","0.2","drama_joy_eriko","","30008"
"","140","30","0","1","","","","1","","30009"
"167","1","31","100","1","1","-224","1.65","129811","drama_idle","31001"
"-49","1","31","100","1","0","-224","1.65","129911","drama_idle","31002"
"","3","31","1","129811","","","0.2","drama_idle","","31003"
"","3","31","1","129911","","","0.2","drama_idle","","31004"
"","93","31","","0.5","","","","0","","31005"
"","26","31","","2","","","","","","31006"
"1.2","121","31","1.2","-80","","0.9","3","10","","31007"
"","3","31","0","129811","0.2","","0.2","drama_joy_makoto","","31008"
"","140","31","0","1","","","","2","","31009"
"320","5","32","1","0","1","28","0.28","1","drama_talk_1","32001"
"228","5","32","0","0","0","28","0.28","2","drama_talk_2","32002"
"45","5","32","90","0","1","64","0.26","3","drama_swing","32003"
"-187","5","32","91","0","0","-23","0.3","4","drama_streach","32004"
"","93","32","","1","","","","0","","32005"
"","3","32","0","1","","","0.2","drama_joy","","32006"
"","3","32","0","2","","","0.2","drama_joy","","32007"
"","3","32","0","3","","","0.2","drama_joy","","32008"
"","3","32","0","4","","","0.2","drama_joy","","32009"
"","93","32","","1.5","","","","0","","32010"
"320","5","33","1","0","1","28","0.28","1","drama_talk_1","33001"
"228","5","33","0","0","0","28","0.28","2","drama_talk_2","33002"
"45","5","33","90","0","1","64","0.26","3","drama_swing","33003"
"-187","5","33","91","0","0","-23","0.3","4","drama_streach","33004"
