c014ac33dfadf0dd74198997ba467795021505dc09c3d4151757f1eeb0b11ede,fd283fb9e0e2cb64a724fbbc7150f697f1b3941eda9a288ddbd7779b63dd0e59,e5b446b55245f6a5e7944094a44c34a292444910569a09c426aabb3f5195e3ad,17326c6782575512d0de1f03a9c2eb9f3e87fad7d2a27aa3a015d98df9bc6fb9,01ecf5b66b8bdbdd98981768a56e688a992e38bdaee7ab4bc098d43120298291,d375257e4f1fce4f5b5c97a8ef40647cc0026203730fb95ea6855fceb08308d2
"2","20053","2005301","501031","3","5098000"
"2","20054","2005401","500837","3","5100003"
"2","20055","2005501","501873","3","5102002"
"2","20056","2005601","500133","3","5104003"
"2","20058","2005801","501911","3","5108002"
"2","20059","2005901","501931","3","5110005"
"2","20060","2006001","500013","3","5111005"
"2","20061","2006101","500016","3","5114000"
"2","20061","2006102","501952","3","5114003"
"2","20062","2006201","500837","3","5116004"
"2","20063","2006301","500133","3","5118002"
"2","20063","2006302","500810","3","5118003"
"2","20063","2006303","500133","3","5118007"
