ccc12df5a8c1c8efcaf2d21873a81549e77d6f3b26b024bb019d4a4fc6e01b22,984baa168861bd956128304cb2c3374daeab3c70863ce51dea483b87d11c2e93,1f8deaa537618d8fe4e6c2f686ebc863253dd031a30518d3ed133c0b8781b9fe,060d95f7ad8c39782d693d76f42a19d88402cc719c00849798e3d1ab3212a22f,57ccccac6f731b4ca31fe115e75c7778d7e20f4738de0898c2e1d57a41dacb39
"200","20004","400","100818","2"
"201","20004","300","100819","2"
"202","20004","200","100820","2"
"203","94002","1000000","100821","12"
"204","94002","1000000","100822","12"
"205","94002","1000000","100823","12"
"206","20004","400","100824","2"
"207","20004","300","100825","2"
"208","20004","200","100826","2"
"209","94002","5000000","100901","12"
"210","90008","2000","100902","2"
"211","25001","20","100903","2"
"212","90008","2500","100904","2"
"213","25001","30","100905","2"
"214","91002","300","100906","8"
"215","41000","1","100907","2"
"216","94002","5000000","100908","12"
"217","94002","1000000","100909","12"
"218","94002","1000000","100910","12"
"219","94002","1000000","100911","12"
"220","20004","400","100912","2"
"221","20004","300","100913","2"
"222","20004","200","100914","2"
"223","94002","1000000","100915","12"
"224","94002","1000000","100916","12"
"225","94002","1000000","100917","12"
"226","20004","400","100918","2"
"227","20004","300","100919","2"
"228","20004","200","100920","2"
"229","94002","1000000","100921","12"
"230","94002","1000000","100922","12"
"231","94002","1000000","100923","12"
"232","20004","400","100924","2"
"233","20004","300","100925","2"
"234","20004","200","100926","2"
