3f45154b3679c3152c433c5d36a967b27b26222ea0d74988bbf3e03d79c4231e,801cf61fa9a310acfb9925ee8c95bf8be8f04943dce8d4bf488d2a459e95b85e,d2e605415f139beca30a695d0e6ef992aba01cb085c41d5cbb1e726487ea54aa,2dab1efce72b38559e29f2b3ce52e8c6881a89e22b1b6caeeb39bfa72cd59f50,316ff06080f702f81425406d4a8b544fb06480f65ef1662b0858e9d6e63937db
"火属性ボーナス特大アップ","12","11","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407030"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","12","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407030"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","13","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407030"
"ＴＰ上昇上限付与","17","14","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407030"
"ＨＰ吸収ダウン","9","15","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407030"
"火属性ボーナス特大アップ","12","16","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407110"
"ダメージ減衰","18","17","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407110"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","18","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407110"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","19","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407110"
"ＴＰ上昇上限付与","17","20","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407110"
"ＨＰ吸収ダウン","9","21","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407110"
"ＴＰダウンカット","boss_tp_down_cut","22","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407110"
"火属性ボーナス特大アップ","12","23","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407120"
"ダメージ減衰","18","24","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407120"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","25","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407120"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","26","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407120"
"ＴＰ上昇上限付与","17","27","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407120"
"ＨＰ吸収ダウン","9","28","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407120"
"ＴＰダウンカット","boss_tp_down_cut","29","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407120"
"火属性ボーナス特大アップ","12","30","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407130"
"ダメージ減衰","18","31","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407130"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","32","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407130"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","33","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407130"
"ＴＰ上昇上限付与","17","34","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407130"
"ＨＰ吸収ダウン","9","35","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407130"
"ＴＰダウンカット","boss_tp_down_cut","36","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407130"
"火属性ボーナス特大アップ","12","37","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407140"
"ダメージ減衰","18","38","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407140"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","39","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407140"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","40","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407140"
"ＴＰ上昇上限付与","17","41","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407140"
"ＨＰ吸収ダウン","9","42","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407140"
"ＴＰダウンカット","boss_tp_down_cut","43","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407140"
"火属性ボーナス特大アップ","12","44","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407210"
"ダメージ減衰","18","45","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407210"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","46","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407210"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","47","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407210"
"ＴＰ上昇上限付与","17","48","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407210"
"ＨＰ吸収ダウン","9","49","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407210"
"ＴＰダウンカット","boss_tp_down_cut","50","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407210"
"ＴＰ回復","energy_recover","51","バトル開始時、すべてのモンスターのＴＰを特大回復。","92407210"
"火属性ボーナス特大アップ","12","52","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407220"
"ダメージ減衰","18","53","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407220"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","54","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407220"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","55","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407220"
"ＴＰ上昇上限付与","17","56","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407220"
"ＨＰ吸収ダウン","9","57","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407220"
"ＴＰダウンカット","boss_tp_down_cut","58","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407220"
"火属性ボーナス特大アップ","12","59","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407230"
"ダメージ減衰","18","60","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407230"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","61","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407230"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","62","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407230"
"ＴＰ上昇上限付与","17","63","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407230"
"ＨＰ吸収ダウン","9","64","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407230"
"ＴＰダウンカット","boss_tp_down_cut","65","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407230"
"火属性ボーナス特大アップ","12","66","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407240"
"ダメージ減衰","18","67","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407240"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","68","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407240"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","69","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407240"
"ＴＰ上昇上限付与","17","70","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407240"
"ＨＰ吸収ダウン","9","71","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407240"
"ＴＰダウンカット","boss_tp_down_cut","72","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407240"
"火属性ボーナス特大アップ","12","73","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407310"
"ダメージ減衰","18","74","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407310"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","75","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407310"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","76","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407310"
"ＴＰ上昇上限付与","17","77","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407310"
"ＨＰ吸収ダウン","9","78","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407310"
"ＴＰダウンカット","boss_tp_down_cut","79","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407310"
"火属性ボーナス特大アップ","12","80","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407320"
"ダメージ減衰","18","81","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407320"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","82","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407320"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","83","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407320"
"ＴＰ上昇上限付与","17","84","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407320"
"ＨＰ吸収ダウン","9","85","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407320"
"ＴＰダウンカット","boss_tp_down_cut","86","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407320"
"火属性ボーナス特大アップ","12","87","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407330"
"ダメージ減衰","18","88","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407330"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","89","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407330"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","90","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407330"
"ＴＰ上昇上限付与","17","91","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407330"
"ＨＰ吸収ダウン","9","92","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407330"
"ＴＰダウンカット","boss_tp_down_cut","93","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407330"
"火属性ボーナス特大アップ","12","94","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407340"
"ダメージ減衰","18","95","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407340"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","96","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407340"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","97","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407340"
"ＴＰ上昇上限付与","17","98","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407340"
"ＨＰ吸収ダウン","9","99","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407340"
"ＴＰダウンカット","boss_tp_down_cut","100","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407340"
"水属性ボーナス特大アップ","13","101","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408010"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","102","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408010"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","103","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408010"
"ＴＰ上昇上限付与","17","104","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408010"
"ＨＰ吸収ダウン","9","105","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408010"
"水属性ボーナス特大アップ","13","106","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408020"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","107","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408020"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","108","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408020"
"ＴＰ上昇上限付与","17","109","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408020"
"ＨＰ吸収ダウン","9","110","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408020"
"水属性ボーナス特大アップ","13","111","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408030"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","112","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408030"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","113","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408030"
"ＴＰ上昇上限付与","17","114","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408030"
"ＨＰ吸収ダウン","9","115","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408030"
"水属性ボーナス特大アップ","13","116","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408110"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","117","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408110"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","118","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408110"
"ＴＰダウンカット","boss_tp_down_cut","119","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408110"
"ダメージ減衰","18","120","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408110"
"ＴＰ上昇上限付与","17","121","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408110"
"ＨＰ吸収ダウン","9","122","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408110"
"水属性ボーナス特大アップ","13","123","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408120"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","124","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408120"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","125","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408120"
"ＴＰダウンカット","boss_tp_down_cut","126","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408120"
"ダメージ減衰","18","127","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408120"
"ＴＰ上昇上限付与","17","128","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408120"
"ＨＰ吸収ダウン","9","129","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408120"
"水属性ボーナス特大アップ","13","130","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408130"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","131","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408130"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","132","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408130"
"ＴＰダウンカット","boss_tp_down_cut","133","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408130"
"ダメージ減衰","18","134","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408130"
"ＴＰ上昇上限付与","17","135","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408130"
"ＨＰ吸収ダウン","9","136","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408130"
"水属性ボーナス特大アップ","13","137","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408140"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","138","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408140"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","139","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408140"
"ＴＰダウンカット","boss_tp_down_cut","140","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408140"
"ダメージ減衰","18","141","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408140"
"ＴＰ上昇上限付与","17","142","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408140"
"ＨＰ吸収ダウン","9","143","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408140"
"水属性ボーナス特大アップ","13","144","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408210"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","145","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408210"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","146","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408210"
"ＴＰダウンカット","boss_tp_down_cut","147","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408210"
"ダメージ減衰","18","148","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408210"
"ＴＰ上昇上限付与","17","149","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408210"
"ＨＰ吸収ダウン","9","150","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408210"
"水属性ボーナス特大アップ","13","151","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408220"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","152","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408220"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","153","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408220"
"ＴＰダウンカット","boss_tp_down_cut","154","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408220"
"ダメージ減衰","18","155","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408220"
"ＴＰ上昇上限付与","17","156","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408220"
"ＨＰ吸収ダウン","9","157","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408220"
"水属性ボーナス特大アップ","13","158","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408230"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","159","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408230"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","160","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408230"
"ＴＰダウンカット","boss_tp_down_cut","161","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408230"
"ダメージ減衰","18","162","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408230"
"ＴＰ上昇上限付与","17","163","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408230"
"ＨＰ吸収ダウン","9","164","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408230"
"水属性ボーナス特大アップ","13","165","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408240"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","166","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408240"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","167","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408240"
"ＴＰダウンカット","boss_tp_down_cut","168","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408240"
"ダメージ減衰","18","169","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408240"
"ＴＰ上昇上限付与","17","170","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408240"
"ＨＰ吸収ダウン","9","171","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408240"
"水属性ボーナス特大アップ","13","172","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408310"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","173","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408310"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","174","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408310"
"ＴＰダウンカット","boss_tp_down_cut","175","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408310"
"ダメージ減衰","18","176","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408310"
"ＴＰ上昇上限付与","17","177","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408310"
"ＨＰ吸収ダウン","9","178","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408310"
"水属性ボーナス特大アップ","13","179","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408320"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","180","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408320"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","181","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408320"
"ＴＰダウンカット","boss_tp_down_cut","182","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408320"
"ダメージ減衰","18","183","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408320"
"ＴＰ上昇上限付与","17","184","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408320"
"ＨＰ吸収ダウン","9","185","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408320"
