6e6781dc0cd39c92c07df7929d259d77625574361fcb0cde9039481e32137fc0,de1f9dc8afab9e2062a405752d586060f1ee2b13e9c04d059db2454eac1de79c,ed7d32dd7b804c3470cc9586bc2a2a4c22552809c256d894eabac830e816b4e0,88145b01be7d0a6dd9f2d7b8b14e040b30718a056c29d8e7c785fef6a7e0d9f8,075e885d2a52c73bcd5a69a23f718c3f74aa85387733a030662bc7616bbf395b,5c7fd25032d71b68ac7928779729bf4dd72e9aadba6d7a5d52b50219612d90b1,93ccc4dbceb74856fb7dcf74a65b7f404e9e3e58c19893d6f306613ef48172c6,0ef295049c836f8d2808f74f5c7f2db51c1ab3759c32a812843ec6d273baed86,4dd22e3530a94b4956d61570cbd6c4e49fb6df5fea4d9b38a19fbd06619071b8,cc6d65444334334bbd6e9f0715084a49367ca79d517d9c7e4dd36401f52cf7a9,cfde91054b917dc4cbaa29ce1afa690fcb4f947bc2179b64e1dd03ed1bedf511,e9592cb99778b255c87a9d75f3c953dc080ce52374c1f58f3b076c927d052dfa,5bcaeb6237225a94b566a9b3b0055562e7bbbcf8f96ea23f1c8490f1f61e7630,9cf2a73b8662cd183eebd9cfd4027e90cf623968b06d29a8b0cb0aef99565597
"デビュタント・シャングリ・ラ会場","60","bgm_M426","0","0","0","0","1","1","0","bgm_M426","20031","20031101","201"
"デビュタント・シャングリ・ラ会場","0","bgm_M426","0","0","0","0","1","1","0","bgm_M426","20031","20031201","201"
"港町・オーマ","100","bgm_M435","0","0","0","0","1","1","0","bgm_M435","20032","20032101","201"
"港町・オーマ","0","bgm_M435","0","0","0","0","1","1","0","bgm_M435","20032","20032201","201"
"ランドソル近郊","70","bgm_M442A","0","0","0","0","1","1","0","bgm_M442A","20033","20033101","201"
"ランドソル近郊","0","bgm_M442A","0","0","0","0","1","0","0","bgm_M442A","20033","20033201","201"
"エルフの里　清らかな森","25","bgm_M442B","0","0","0","0","1","0","0","bgm_M442B","20034","20034101","201"
"エルフの里　清らかな森","0","bgm_M442B","0","0","0","0","1","0","0","bgm_M442B","20034","20034201","201"
"ランドソル近郊","0","bgm_M451","0","0","0","0","1","1","0","bgm_M451","20035","20035101","201"
"辺境の地","0","bgm_M451","0","0","0","0","1","2","0","bgm_M451","20035","20035102","201"
"辺境の地","0","bgm_M451","0","0","0","0","1","0","0","bgm_M451","20035","20035201","201"
"聖テレサ女学院 聖学祭会場","91","bgm_M457","0","0","0","0","1","1","0","bgm_M457","20036","20036101","201"
"聖テレサ女学院 聖学祭会場","0","bgm_M457","0","0","0","0","1","0","0","bgm_M457","20036","20036201","201"
"異時間軸のランドソル","90","bgm_M467","0","0","0","0","1","1","0","bgm_M467","20037","20037101","201"
"タイムトンネル","0","bgm_M467","0","0","0","0","1","2","0","bgm_M467","20037","20037102","201"
"タイムトンネル","0","bgm_M467","0","0","0","0","1","0","0","bgm_M467","20037","20037201","201"
"おもちゃ工場","0","bgm_M478_Lofi","0","0","40","0","1","1","0","bgm_M478","20038","20038101","201"
"王都ランドソル","0","bgm_M478_Lofi","0","0","0","0","1","2","0","bgm_M478","20038","20038102","201"
"王都ランドソル","0","bgm_M478_Lofi","0","0","0","0","1","0","0","bgm_M478","20038","20038201","201"
"王都ランドソル","0","bgm_M486","0","0","0","0","1","1","0","bgm_M486","20039","20039101","201"
"とある無人島","58","bgm_M486","0","0","0","0","1","2","0","bgm_M486","20039","20039102","201"
"王都ランドソル","0","bgm_M486","0","0","0","0","1","3","0","bgm_M486","20039","20039103","201"
"王都ランドソル","0","bgm_M486","0","0","0","0","1","0","0","bgm_M486","20039","20039201","201"
"カルミナサマーライブ会場","100","bgm_M496","0","0","0","0","1","1","0","bgm_M496","20040","20040101","201"
"カルミナサマーライブ会場","0","bgm_M496","0","0","0","0","1","0","0","bgm_M496","20040","20040201","201"
"王都ランドソル","0","bgm_M508","0","0","0","0","1","1","0","bgm_M508","20041","20041101","201"
"オーエド町","45","bgm_M508","0","0","0","0","1","2","0","bgm_M508","20041","20041102","201"
"オーエド町","0","bgm_M508","0","0","0","0","1","0","0","bgm_M508","20041","20041201","201"
"王都ランドソル","128","bgm_M520","0","0","0","0","1","1","0","bgm_M520","20042","20042101","201"
"王都ランドソル","0","bgm_M520","0","0","0","0","1","2","0","bgm_M520","20042","20042102","201"
"王都ランドソル","0","bgm_M520","31","0","0","0","1","1","0","bgm_M520","20042","20042201","201"
"王都ランドソル","40","bgm_M527","0","0","0","0","1","1","0","bgm_M527","20043","20043101","201"
"ランドソル近郊","0","bgm_M527","0","0","0","0","1","2","0","bgm_M527","20043","20043102","201"
"ランドソル近郊","0","bgm_M527","0","0","0","0","1","0","0","bgm_M527","20043","20043201","201"
"スイーツコンテスト会場","70","bgm_M536","0","0","0","0","1","1","0","bgm_M536","20044","20044101","201"
"スイーツコンテスト会場","0","bgm_M536","0","0","0","0","1","0","0","bgm_M536","20044","20044201","201"
"ランドソル近郊","0","bgm_M543","0","0","0","0","1","1","0","bgm_M543","20045","20045101","201"
"港町・オーマ","0","bgm_M543","0","0","0","0","1","2","0","bgm_M543","20045","20045102","201"
"タパスビーチ周辺","0","bgm_M543","0","0","0","0","1","3","0","bgm_M543","20045","20045103","201"
"ガストロス山","0","bgm_M543","0","0","0","0","1","4","0","bgm_M543","20045","20045104","201"
"ガストロス山","0","bgm_M543","0","0","0","0","1","0","0","bgm_M543","20045","20045201","201"
"王都ランドソル","0","bgm_M552_03","0","0","0","0","1","1","0","bgm_M552","20046","20046101","201"
"ランドソル近郊","0","bgm_M552_03","0","0","0","0","1","2","0","bgm_M552","20046","20046102","201"
"イリス樹海","0","bgm_M552_03","0","0","0","0","1","3","0","bgm_M552","20046","20046103","201"
"フローラ湖畔","0","bgm_M552_03","0","0","0","0","1","4","0","bgm_M552","20046","20046104","201"
"フローラ湖畔","0","bgm_M552_03","0","0","0","0","1","0","0","bgm_M552","20046","20046201","201"
"王都ランドソル","40","bgm_M553","0","0","0","0","1","1","0","bgm_M553","20047","20047101","201"
"世界と世界の狭間","0","bgm_M553","0","0","0","0","1","2","0","bgm_M553","20047","20047102","201"
"世界と世界の狭間","0","bgm_M553","0","0","0","0","1","0","0","bgm_M553","20047","20047201","201"
"サレンディア救護院内","0","bgm_M565","0","0","0","0","1","1","0","bgm_M565","20048","20048101","201"
"エリザベスパーク　牧場温泉","0","bgm_M565","0","0","0","0","1","2","0","bgm_M565","20048","20048102","201"
"エリザベスパーク　牧場温泉","0","bgm_M565","0","0","0","0","1","0","0","bgm_M565","20048","20048201","201"
"ランドソル郊外","0","bgm_M574","0","0","0","0","1","1","0","bgm_M574","20049","20049101","201"
"カジノホール","0","bgm_M574","0","0","0","0","1","2","0","bgm_M574","20049","20049102","201"
"カジノホール","0","bgm_M574","0","0","0","0","1","0","0","bgm_M574","20049","20049201","201"
"呪われた海賊島","0","bgm_M582","0","0","0","0","1","1","0","bgm_M582","20050","20050101","201"
"呪われた海賊島","0","bgm_M582","0","0","0","0","1","0","0","bgm_M582","20050","20050201","201"
"キャンピングフィールド","128","bgm_M595","0","0","0","0","1","1","0","bgm_M595","20051","20051101","201"
"キャンピングフィールド","0","bgm_M595","0","0","0","0","1","0","0","bgm_M595","20051","20051201","201"
"王都ランドソル","0","bgm_M601","0","0","0","0","1","1","0","bgm_M601","20052","20052101","201"
"サマーゲームリゾート","80","bgm_M601","0","0","0","0","1","2","0","bgm_M601","20052","20052102","201"
"サマーゲームリゾート","0","bgm_M601","0","0","0","0","1","0","0","bgm_M601","20052","20052201","201"
"ちいさな出会いの海岸","0","bgm_M608","0","0","0","0","1","1","0","bgm_M608","20053","20053101","201"
"リトルリリカル秘密基地近辺","0","bgm_M608","0","0","0","0","1","2","0","bgm_M608","20053","20053102","201"
"ちいさな出会いの海岸","0","bgm_M608","0","0","0","0","1","3","0","bgm_M608","20053","20053103","201"
"ちいさな出会いの海岸","0","bgm_M608","0","0","0","0","1","0","0","bgm_M608","20053","20053201","201"
"最果てを目指す旅路","0","bgm_M618","0","0","0","0","1","1","0","bgm_M618","20054","20054101","201"
"世界の果ての森","30","bgm_M618","0","0","0","0","1","2","0","bgm_M618","20054","20054102","201"
"世界の果ての森","0","bgm_M618","0","0","0","0","1","0","0","bgm_M618","20054","20054201","201"
"ランフェス会場","115","bgm_M623","0","0","0","0","1","1","0","bgm_M623","20055","20055101","201"
"ランフェス会場","0","bgm_M623","0","0","0","0","1","1","0","bgm_M623","20055","20055201","201"
"王都ランドソル","0","bgm_M630","0","0","0","0","1","1","0","bgm_M630","20056","20056101","201"
"和平活動の道のり","30","bgm_M630","0","0","0","0","1","2","0","bgm_M630","20056","20056102","201"
"和平活動の道のり","0","bgm_M630","0","0","0","0","1","0","0","bgm_M630","20056","20056201","201"
"ランドソル 繁華街","110","bgm_M638","11","0","0","0","1","1","0","bgm_M638","20057","20057101","201"
"ランドソル 繁華街","0","bgm_M638","0","0","0","0","1","0","0","bgm_M638","20057","20057201","201"
"オーエド町","45","bgm_M647","0","0","0","0","1","1","0","bgm_M647","20058","20058101","201"
"オーエド町","0","bgm_M647","0","0","0","0","1","0","0","bgm_M647","20058","20058201","201"
"王都ランドソル 女神の祭典","85","bgm_M659","0","0","0","0","1","1","0","bgm_M659","20059","20059101","201"
"王都ランドソル 女神の祭典","0","bgm_M659","0","0","0","0","1","1","0","bgm_M659","20059","20059201","201"
"王都ランドソル 女神の祭典","0","bgm_M660","0","0","0","0","1","1","0","bgm_M660","20060","20060101","201"
"追想の楽園","0","bgm_M660","0","0","0","0","1","2","0","bgm_M660","20060","20060102","201"
"追想の楽園","0","bgm_M660","0","0","0","0","1","0","0","bgm_M660","20060","20060201","201"
"ランドソル 市街地","108","bgm_M668","0","0","0","0","1","1","0","bgm_M668","20061","20061101","201"
"ランドソル 市街地","0","bgm_M668","0","0","0","0","1","1","0","bgm_M668","20061","20061201","201"
"レンジャー合宿所周辺","128","bgm_MC017","0","0","0","0","1","1","0","bgm_MC017","20062","20062101","201"
"レンジャー合宿所周辺","0","bgm_MC017","0","0","0","0","1","0","0","bgm_MC017","20062","20062201","201"
