f95a55c747d82cce59be57aef76a4796739a8836ee02cc6cf79a7aaedf739039,f3fee1e9f40194a7100caac0c89c67bc21cc02ba3b498e27332775331ba75a67,aaa4793bebecb5842aa7472445633552f37679003de2c2476e75bcacbbb1869c,2ec24dc1c1d83e08959db12804ad12c3049e5fcadab3f2c440c5e8958c8a69fc,4826dd2bb9b341c66b540191029e6f837a8aac7b490b38ca6994778228646328,7a8d9900917de739fcd30cbb044720f937a4d0c6c7a70dc270fb0d765173c46f,255016ae65383c7744d412e99d4c55e34721ab4dce3e8012aaa83776cce35b89,080b3fdad5d97b3c346cae2bfcc57eb799398e1793c057cfa6524afa29bc5fe8,605578c24d41959b3096749304978be9056e1e38a72a7b14e5b7e5ce1cd08f34,79cd02d16becdea913c09521175531c3aa534dd61a37352bc15a30aeed9956c4
"ダイスの表と裏\nどちらを適用するか選択できる","0","","2","1011","ダイスの表と裏\nどちらを適用するか選択できる","0","129701","8","ネフィ＝ネラ"
"ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","1012","ダイスの目を{0}回振りなおせる\n（あと{1}回）","0","101601","4","スズナ"
"ダイスの目を{0}回振りなおせる","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","1013","ダイスの目を{0}回振りなおせる\n（あと{1}回）","0","105601","4","ルカ"
"出目が{0}のダイスを同時に振って\nどちらか選択できる","3","","3","1014","出目が{0}のダイスを同時に振って\nどちらか選択できる","0","102001","5","ミミ"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1","1015","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","129601","6","アネモネ"
"出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1","","2","1016","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","1","100401","10","ミソギ"
"出たダイスの目が{0}だった場合、\n+{1}進める","2","","3","1017","出たダイスの目が{0}だった場合、\n+{1}進める","1","127701","13","リンド"
"出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1","","2","1018","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1","127801","10","ヴルム"
"最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1","1019","","0","104801","1","ミフユ"
"ダイスの目を{0}回振りなおせる","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","1020","ダイスの目を{0}回振りなおせる\n（あと{1}回）","0","104701","4","ジュン"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1","1021","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","105001","6","ミサキ"
"最大2000マイルを入手する","10002","","1","1022","","0","103201","2","アキノ"
"福引券を{0}枚入手する","1","","1","1023","","0","130901","12","クルル"
"料理を{0}つ入手する","1","","1","1024","","0","102501","3","スズメ"
"ダイスの表と裏\nどちらを適用するか選択できる","0","","2","1025","ダイスの表と裏\nどちらを適用するか選択できる","0","100801","8","ユキ"
"出目が{0}のダイスを同時に振って\nどちらか選択できる","4","","2","1026","出目が{0}のダイスを同時に振って\nどちらか選択できる","0","123301","5","ネア"
"最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1","1027","","0","104601","1","タマキ"
"ダイスの目を{0}回振りなおせる","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","1028","ダイスの目を{0}回振りなおせる\n（あと{1}回）","0","118101","4","ランファ"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1","1029","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","103401","6","ユカリ"
"最大2000マイルを入手する","10002","","1","1030","","0","118001","2","クレジッタ"
"福引券を{0}枚入手する","1","","1","1031","","0","102801","12","サレン"
"料理を{0}つ入手する","1","","1","1032","","0","100201","3","ユイ"
"出たダイスの目が{0}だった場合、\n+{1}進める","1","","3","1033","出たダイスの目が{0}だった場合、\n+{1}進める","1","101201","13","ハツネ"
"ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","1034","ダイスの目を{0}回振りなおせる\n（あと{1}回）","0","118201","4","ミソラ"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1","1035","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","106101","6","ムイミ"
"出目が{0}のダイスを同時に振って\nどちらか選択できる","4","","2","1036","出目が{0}のダイスを同時に振って\nどちらか選択できる","0","103101","5","シノブ"
"最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1","1037","","0","103301","1","マヒル"
"最大2000マイルを入手する","10002","","1","1038","","0","103601","2","キョウカ"
"福引券を{0}枚入手する","1","","1","1039","","0","133001","12","グレイス"
"料理を{0}つ入手する","1","","1","1040","","0","133101","3","ヴァイオレット"
"ダイスの表と裏\nどちらを適用するか選択できる","0","","2","1041","ダイスの表と裏\nどちらを適用するか選択できる","0","106801","8","ラビリスタ"
"ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","1042","ダイスの目を{0}回振りなおせる\n（あと{1}回）","0","107101","4","クリスティーナ"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1","1043","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","107001","6","ネネカ"
"出目が{0}のダイスを同時に振って\nどちらか選択できる","4","","2","1044","出目が{0}のダイスを同時に振って\nどちらか選択できる","0","106501","5","カヤ"
"最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1","1045","","0","111001","1","ユニ"
"最大2000マイルを入手する","10002","","1","1046","","0","134901","2","カノン"
"福引券を{0}枚入手する","1","","1","1047","","0","105401","12","ツムギ"
"料理を{0}つ入手する","1","","1","1048","","0","134701","3","ホウオウ"
"ダイスの表と裏\nどちらを適用するか選択できる","0","","2","1049","ダイスの表と裏\nどちらを適用するか選択できる","0","100101","8","ヒヨリ"
"ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","1050","ダイスの目を{0}回振りなおせる\n（あと{1}回）","0","100701","4","ミヤコ"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1","1051","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","103001","6","ニノン"
"出たダイスの目が{0}だった場合、\n+{1}進める","2","","3","1052","出たダイスの目が{0}だった場合、\n+{1}進める","1","101401","13","カスミ"
"最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1","1053","","0","135901","1","サツキ"
"最大2000マイルを入手する","10002","","1","1054","","0","102601","2","リン"
"福引券を{0}枚入手する","1","","1","1055","","0","132401","12","イロハ"
"料理を{0}つ入手する","1","","1","1056","","0","135801","3","ユキノ"
"ダイスの表と裏\nどちらを適用するか選択できる","0","","2","1057","ダイスの表と裏\nどちらを適用するか選択できる","0","100301","8","レイ"
"ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","1058","ダイスの目を{0}回振りなおせる\n（あと{1}回）","0","106701","4","ホマレ"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1","1059","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","132301","6","ルイズマリー"
"出たダイスの目が{0}だった場合、\n+{1}進める","1","","3","1060","出たダイスの目が{0}だった場合、\n+{1}進める","1","105201","13","リマ"
"最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1","1061","","0","102201","1","ヨリ"
"最大2000マイルを入手する","10002","","1","1062","","0","100601","2","アカリ"
"福引券を{0}枚入手する","1","","1","1063","","0","136201","12","ナーナ"
"料理を{0}つ入手する","1","","1","1064","","0","110901","3","チエル"
"出目が{0}のダイスを同時に振って\nどちらか選択できる","4","","2","1065","出目が{0}のダイスを同時に振って\nどちらか選択できる","0","103801","5","シオリ"
"ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","1066","ダイスの目を{0}回振りなおせる\n（あと{1}回）","0","101501","4","ミサト"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1","1067","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","102901","6","ノゾミ"
"出たダイスの目が{0}だった場合、\n+{1}進める","2","","3","1068","出たダイスの目が{0}だった場合、\n+{1}進める","1","101701","13","カオリ"
"最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1","1069","","0","132501","1","ソノ"
"最大2000マイルを入手する","10002","","1","1070","","0","104201","2","チカ"
"福引券を{0}枚入手する","1","","1","1071","","0","101101","12","リノ"
"料理を{0}つ入手する","1","","1","1072","","0","104901","3","シズル"
"ダイスの表と裏\nどちらを適用するか選択できる","0","","2","1073","ダイスの表と裏\nどちらを適用するか選択できる","0","101001","8","マホ"
"ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","1074","ダイスの目を{0}回振りなおせる\n（あと{1}回）","0","135601","4","シナツ"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1","1075","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","135501","6","アイラ"
"出たダイスの目が{0}だった場合、\n+{1}進める","1","","3","1076","出たダイスの目が{0}だった場合、\n+{1}進める","1","105501","13","アユミ"
"最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1","1077","","0","122301","1","ヴァンピィ"
"最大2000マイルを入手する","10002","","1","1078","","0","133601","2","メドゥーサ"
"福引券を{0}枚入手する","1","","1","1079","","0","102101","12","クルミ"
"料理を{0}つ入手する","1","","1","1080","","0","102301","3","アヤネ"
