89e35c91068bf8de55b099ef29990b4767c17ee19eecda68c106f476fbc6a946,8e440dcafe5457a92424335912674e0924a965db4b39b28a690aac4f0378fe03,63382cb1e7934f9901307ced19ccf2d7ee8419c0fa0e1aed1aa9f68775435e95,350195fcc87e4f1fa320b04457215687e6e5025cd3a4162fb57fa5b637a53668,c970717791f382d27a7eb3fc61fc4b21b1f7dba76357d53d3f612bf550db9683,4c7a5c97346c1e8fbfdf79e76cb86a8c41586858c91a5e1127d71cf625ac21a7,a33a7a9136298170775f86cffb1e3b618e1d6fcffe33f0d65584e3b1a281c1db,5e36092bb6789815203c10a4b372d189d74ec661c95d2741356bcf173af9abb0,696f6c2357b28d58e20357f796b9c73cf83da5c43d7dd07cbbc4859050340c2d
"14202","2","1","22","1","1","1","53002","6"
"14301","1","1","22","2","0","0","53002","6"
"14401","7","5","22","8","6","-1","53003","7"
"14402","7","5","22","4","6","-1","53002","7"
"14501","6","4","22","6","5","5","53003","7"
"14502","6","4","22","5","5","5","53002","7"
"14601","5","3","22","5","4","4","53003","7"
"14701","5","3","22","5","4","4","53002","7"
"14801","4","3","22","4","3","3","53003","7"
"14802","4","3","22","3","3","3","53002","7"
"14901","3","2","22","3","2","2","53003","7"
"14902","3","2","22","2","2","2","53002","7"
"15001","2","1","22","2","1","1","53003","7"
"15002","2","1","22","1","1","1","53002","7"
"15101","1","1","22","2","0","0","53002","7"
"15201","7","5","22","8","6","-1","53003","8"
"15202","7","5","22","4","6","-1","53002","8"
"15301","6","4","22","6","5","5","53003","8"
"15302","6","4","22","5","5","5","53002","8"
"15401","5","3","22","5","4","4","53003","8"
"15402","5","3","22","5","4","4","53002","8"
"15501","4","3","22","4","3","3","53003","8"
"15502","4","3","22","3","3","3","53002","8"
"15601","3","2","22","3","2","2","53003","8"
"15602","3","2","22","2","2","2","53002","8"
"15701","2","1","22","2","1","1","53003","8"
"15702","2","1","22","1","1","1","53002","8"
"15901","1","1","22","2","0","0","53002","8"
"16001","7","5","22","8","6","-1","53003","9"
"16002","7","5","22","4","6","-1","53002","9"
"16101","6","4","22","6","5","5","53003","9"
"16102","6","4","22","5","5","5","53002","9"
"16201","5","3","22","5","4","4","53003","9"
"16202","5","3","22","5","4","4","53002","9"
"16301","4","3","22","4","3","3","53003","9"
"16302","4","3","22","3","3","3","53002","9"
"16401","3","2","22","3","2","2","53003","9"
"16402","3","2","22","2","2","2","53002","9"
"16501","2","1","22","2","1","1","53003","9"
"16502","2","1","22","1","1","1","53002","9"
"16601","1","1","22","2","0","0","53002","9"
"16701","7","5","22","8","6","-1","53003","10"
"16702","7","5","22","4","6","-1","53002","10"
"16801","6","4","22","6","5","5","53003","10"
"16802","6","4","22","5","5","5","53002","10"
"16901","5","3","22","5","4","4","53003","10"
"16902","5","3","22","5","4","4","53002","10"
"17001","4","3","22","4","3","3","53003","10"
"17002","4","3","22","3","3","3","53002","10"
"17101","3","2","22","3","2","2","53003","10"
"17102","3","2","22","2","2","2","53002","10"
"17201","2","1","22","2","1","1","53003","10"
"17202","2","1","22","1","1","1","53002","10"
"17301","1","1","22","2","0","0","53002","10"
