f094b15f987fe0d1baf61a65b817b49f05a81f866c61d0de28fd87eaa62d28d2,c3e90938efaa70a6eca6dee8774f6fd864df786cd1b65f1d57151911be56564b,2b4af5ae57ae85f58477cef785f672cee7524fdb79e4a33905f5d8d1e9f444cf,9692003f3665f3b30187dc07a9e69a3ef1b2be090055047d82081afd927441b6,ac1727dc8befc591c649e348f497eae6bcd5b6a1643d6d796d4fb72b7700e9d0,9b88c06ae9d919c003bc292f3007ffbea0bbf3f990c4ae1bb342434f1425f795,6ae44c92cc3f6fa0a669bd26ac3dbbb9c88a30f7c73fcfc6342cb92a9bb4f32b,31f478b7b93cb9a94abe9e1339deaf22504d38a27b061362626b1f292cc6872a,65ac2ee39af68772234e65f0331860ff2ddacfdd0745c8cc29a1e90a05fc6124,1d6bb1ae51816526194a88e916d9d1667d373844320ae16b5b98024a95749793,fa2b8e5b83934c5a491601cc9e80a878783821cd9c0441f1e07e417cc35606dc
"1","3","","113511","1007002","svd_idle_normal","","0.1","1007002014","",""
"","93","","0.6","1007002","","","","1007002015","",""
"1","3","","113511","1007002","svd_talk_memory","","0.2","1007002016","",""
"0","21","","vo_svd","1007002","vo_svd_0221","","","1007002017","0",""
"6","11","0","113511","1007002","あなた様の泳ぐ姿…この目に\nしかと焼き付けさせて\n頂きました。","0","0","1007002018","0","1"
"","91","","0","1007002","","","","1007002019","",""
"1","3","","113511","1007002","svd_idle_memory","","0.2","1007002020","",""
"1","3","","113411","1007002","svd_run","","0.2","1007002021","",""
"-300","2","","113411","1007002","250","0","","1007002022","1.2",""
"1","6","0","113411","1007002","1","1","0.4","1007002023","1",""
"","93","","1.2","1007002","","","","1007002024","",""
"1","3","","113411","1007002","svd_idle_joy1","","0.1","1007002025","",""
"","93","","0.3","1007002","","","","1007002026","",""
"1","3","","113411","1007002","svd_talk_memory","","0.2","1007002027","",""
"0","21","","vo_svd","1007002","vo_svd_0222","","","1007002028","0",""
"6","11","0","113411","1007002","弟くんが一生懸命動かす手足…\nかわいかったなぁ…","0","0","1007002029","0","1"
"","91","","0","1007002","","","","1007002030","",""
"1","3","","113411","1007002","svd_idle_memory","","0.2","1007002031","",""
"1","3","","113511","1007002","svd_talk_memory","","0.2","1007002032","",""
"0","21","","vo_svd","1007002","vo_svd_0223","","","1007002033","0",""
"6","11","0","113511","1007002","あなた様が上げる水しぶきは\nどんな秘薬よりも優れた霊薬\nになりそうですわ…","0","0","1007002034","0","1"
"","91","","0","1007002","","","","1007002035","",""
"1","3","","113511","1007002","svd_idle_memory","","0.2","1007002036","",""
"1","3","","113411","1007002","svd_talk_worry","","0.2","1007002037","",""
"0","21","","vo_svd","1007002","vo_svd_0224","","","1007002038","0",""
"6","11","0","113411","1007002","エリコちゃん…\nそれはさすがにちょっと…","0","0","1007002039","0","1"
"","91","","0","1007002","","","","1007002040","",""
"1","3","","113411","1007002","svd_idle_worry","","0.2","1007002041","",""
"1","3","","113511","1007002","svd_talk_thinking","","0.2","1007002042","",""
"0","21","","vo_svd","1007002","vo_svd_0225","","","1007002043","0",""
"6","11","0","113511","1007002","シズルさんには\n必要ないのですね。\nそれならば私がすべて…","0","0","1007002044","0","1"
"","91","","0","1007002","","","","1007002045","",""
"1","3","","113511","1007002","svd_idle_thinking","","0.2","1007002046","",""
"0","12","0","113411","1007002","4","","0","1007002047","",""
"0","3","","113411","1007002","svd_surprise","","0.2","1007002048","",""
"","93","","1","1007002","","","","1007002049","",""
"1","3","","113411","1007002","svd_talk_joy2","","0.2","1007002050","",""
"0","21","","vo_svd","1007002","vo_svd_0226","","","1007002051","0",""
"8","11","0","113411","1007002","ほしい！\n奇麗な小瓶に集めちゃう！","0","0","1007002052","0","1"
"","91","","0","1007002","","","","1007002053","",""
"1","3","","113411","1007002","svd_idle_joy1","","0.2","1007002054","",""
"","102","","","1007002","","","","1007002055","",""
"","93","","1","1007002","","","","1007002056","",""
"1","12","0","113511","1007002","8","","0","1007002057","",""
"1","3","","113511","1007002","svd_talk_memory","","0.2","1007002058","",""
"","93","","3","1007002","","","","1007002059","",""
"1","3","","113511","1007002","svd_idle_memory","","0.2","1007002060","",""
"1","12","0","113411","1007002","1","","0","1007002061","",""
"1","3","","113411","1007002","svd_talk_worry","1","0.2","1007002062","",""
"","93","","3","1007002","","","","1007002063","",""
"1","3","","113411","1007002","svd_idle_worry","1","0.2","1007002064","",""
"1","12","0","113511","1007002","11","","0","1007002065","",""
"0","3","0.2","113511","1007002","svd_talk_guts2","1","0.2","1007002066","svd_idle_guts2",""
"","93","","3","1007002","","","","1007002067","",""
"1","3","","113511","1007002","svd_idle_guts2","","0.2","1007002068","",""
"1","12","0","113411","1007002","7","","0","1007002069","",""
"1","3","","113411","1007002","svd_talk_joy1","1","0.2","1007002070","",""
"","93","","3","1007002","","","","1007002071","",""
"1","3","","113411","1007002","svd_idle_joy1","1","0.2","1007002072","",""
"","101","","1007002057","1007002","","","","1007002073","",""
"1","6","0","333","1007002","1","0","1","1007002074","1",""
"","4","","113511","1007002","1","","","1007002075","",""
"1","3","","113511","1007002","svd_run","","0.2","1007002076","",""
"-300","2","","113511","1007002","-750","0","","1007002077","0.8",""
"","4","","113411","1007002","0","","","1007002078","",""
"1","3","","113411","1007002","svd_run","","0.2","1007002079","",""
"-300","2","","113411","1007002","750","0","","1007002080","0.8",""
"","93","","0.6","1007002","","","","1007002081","",""
"1","6","0","113511","1007002","1","0","0.2","1007002082","1",""
"1","6","0","113411","1007002","1","0","0.2","1007002083","1",""
"","91","","0","1007002","","","","1007002084","",""
"100","5","0","1","1007003","113511","-300","2.08","1007003001","-750","svd_idle_normal"
"100","5","1","2","1007003","113411","-300","2.08","1007003002","650","svd_idle_normal"
"0","5","0","3","1007003","333","0","1","1007003003","0","svd_white_loop"
"1","6","0","333","1007003","1","0","0","1007003004","1",""
"0","7","","113511","1007003","2","","","1007003005","0",""
"-300","2","","113511","1007003","-750","0","","1007003006","0.5",""
"1","6","0","113411","1007003","1","0","0","1007003007","1",""
"-140","31","","6","1007003","16","0.8","0","1007003008","-40",""
"0","34","","16","1007003","2","","","1007003009","0",""
"","93","","1","1007003","","","","1007003010","",""
"1","6","0","333","1007003","1","0.4","0.8","1007003011","1",""
"0","3","0","113511","1007003","svd_idle_see_sad_pre","1","0.2","1007003012","svd_idle_see_sad",""
"-300","2","","113511","1007003","-600","0","","1007003013","1.1",""
"","93","","1","1007003","","","","1007003014","",""
"","32","","16","1007003","1","","","1007003015","",""
"","91","","0","1007003","","","","1007003016","",""
"260","94","","113511","1007003","240","80","","1007003017","0",""
"","32","","16","1007003","0","","","1007003018","",""
"1","12","0","113511","1007003","17","","0","1007003019","",""
"1","3","","113511","1007003","svd_walk_sad","","0.2","1007003020","",""
"2","7","","113511","1007003","0","","","1007003021","0",""
"-300","2","","113511","1007003","-250","0","","1007003022","2.4",""
"","93","","2.4","1007003","","","","1007003023","",""
"1","3","","113511","1007003","svd_idle_sad","","0.2","1007003024","",""
"","93","","0.5","1007003","","","","1007003025","",""
"","91","","0","1007003","","","","1007003026","",""
"1","3","","113511","1007003","svd_talk_sad","","0.2","1007003027","",""
"0","21","","vo_svd","1007003","vo_svd_0321","","","1007003028","0",""
"7","11","0","113511","1007003","弟くんに大きなカブトムシを\nプレゼントして\nあげたかったな…","0","0","1007003029","0","1"
"","91","","0","1007003","","","","1007003030","",""
"1","3","","113511","1007003","svd_idle_sad","","0.2","1007003031","",""
"1","3","","113411","1007003","svd_walk","","0.2","1007003032","",""
"-300","2","","113411","1007003","250","0","","1007003033","2",""
"1","6","0","113411","1007003","1","1","0.4","1007003034","1",""
"","93","","2","1007003","","","","1007003035","",""
"1","3","","113411","1007003","svd_idle_normal","","0.2","1007003036","",""
"","93","","0.4","1007003","","","","1007003037","",""
"1","3","","113411","1007003","svd_talk_thinking","","0.2","1007003038","",""
"0","21","","vo_svd","1007003","vo_svd_0322","","","1007003039","0",""
"6","11","0","113411","1007003","確かに心残りではありますが\nそれ以上によいものを\n見られましたわ。","0","0","1007003040","0","1"
"","91","","0","1007003","","","","1007003041","",""
"1","3","","113411","1007003","svd_idle_thinking","","0.2","1007003042","",""
"1","3","","113511","1007003","svd_talk_joy1","","0.2","1007003043","",""
"0","21","","vo_svd","1007003","vo_svd_0323","","","1007003044","0",""
"6","11","0","113511","1007003","優しい弟くんも素敵だったね！\nでもカブトムシ捕りは\nまた挑戦しよう！","0","0","1007003045","0","1"
"","91","","0","1007003","","","","1007003046","",""
"1","3","","113511","1007003","svd_talk_sad","","0.2","1007003047","",""
"0","21","","vo_svd","1007003","vo_svd_0324","","","1007003048","0",""
"6","11","0","113511","1007003","それでもまたダメだったら\nそのときは…","0","0","1007003049","0","1"
"","91","","0","1007003","","","","1007003050","",""
"1","3","","113511","1007003","svd_idle_sad","","0.2","1007003051","",""
"1","3","","113411","1007003","svd_talk_sad","","0.2","1007003052","",""
"0","21","","vo_svd","1007003","vo_svd_0325","","","1007003053","0",""
"6","11","0","113411","1007003","もし次があるのなら…私たちが\nカブトムシになりましょう。\nなりきってみせましょう。","0","0","1007003054","0","1"
"","93","","5","1007003","","","","1007003055","",""
"1","3","","113411","1007003","svd_talk_wish2","","0.2","1007003056","",""
"","91","","1007003054","1007003","","","","1007003057","",""
"1","3","","113411","1007003","svd_idle_wish2","","0.2","1007003058","",""
"","102","","","1007003","","","","1007003059","",""
"","93","","1","1007003","","","","1007003060","",""
"1","12","0","113511","1007003","12","","0","1007003061","",""
"0","3","0.2","113511","1007003","svd_cmn_think","1","0.2","1007003062","svd_idle_normal",""
"","93","","3","1007003","","","","1007003063","",""
"1","3","","113511","1007003","svd_idle_normal","","0.2","1007003064","",""
"1","12","0","113411","1007003","10","","0","1007003065","",""
"1","3","","113411","1007003","svd_talk_normal","1","0.2","1007003066","",""
"","93","","3","1007003","","","","1007003067","",""
"1","3","","113411","1007003","svd_idle_normal","1","0.2","1007003068","",""
"1","12","0","113511","1007003","1","","0","1007003069","",""
"1","3","","113511","1007003","svd_talk_sad","","0.2","1007003070","",""
"","93","","3","1007003","","","","1007003071","",""
"1","3","","113511","1007003","svd_idle_sad","","0.2","1007003072","",""
"1","12","0","113411","1007003","7","","0","1007003073","",""
"1","3","","113411","1007003","svd_talk_wish","1","0.2","1007003074","",""
"","93","","3","1007003","","","","1007003075","",""
"1","3","","113411","1007003","svd_idle_wish","1","0.2","1007003076","",""
"","101","","1007003061","1007003","","","","1007003077","",""
"1","6","0","333","1007003","1","0","1","1007003078","1",""
"","4","","113511","1007003","1","","","1007003079","",""
"1","3","","113511","1007003","svd_run","","0.2","1007003080","",""
"-300","2","","113511","1007003","-750","0","","1007003081","0.8",""
"","4","","113411","1007003","0","","","1007003082","",""
"1","3","","113411","1007003","svd_run","","0.2","1007003083","",""
"-300","2","","113411","1007003","750","0","","1007003084","0.8",""
"","93","","0.6","1007003","","","","1007003085","",""
"1","6","0","113511","1007003","1","0","0.2","1007003086","1",""
"1","6","0","113411","1007003","1","0","0.2","1007003087","1",""
"","91","","0","1007003","","","","1007003088","",""
"100","5","0","1","1007004","113511","-560","2.08","1007004001","-250","svd_idle_normal"
"100","5","1","2","1007004","113411","-560","2.08","1007004002","250","svd_idle_normal"
"0","5","0","3","1007004","333","0","1","1007004003","0","svd_white_loop"
"1","6","0","333","1007004","1","0","0","1007004004","1",""
"1","6","0","113511","1007004","1","0","0","1007004005","1",""
"1","6","0","113411","1007004","1","0","0","1007004006","1",""
"","93","","1","1007004","","","","1007004007","",""
"1","6","0","333","1007004","1","0.4","0.8","1007004008","1",""
"0","3","0.2","113511","1007004","svd_jump1","1","0.2","1007004009","svd_idle_normal",""
"0","3","0.2","113411","1007004","svd_jump1","1","0.2","1007004010","svd_idle_normal",""
"","93","","0.3","1007004","","","","1007004011","",""
"-300","2","","113511","1007004","-250","0","","1007004012","0.75",""
"-300","2","","113411","1007004","250","0","","1007004013","0.75",""
"1","6","0","113511","1007004","1","1","0.4","1007004014","1",""
"1","6","0","113411","1007004","1","1","0.4","1007004015","1",""
"","93","","1.2","1007004","","","","1007004016","",""
"","91","","0","1007004","","","","1007004017","",""
"1","3","","113411","1007004","svd_idle_normal","","0.2","1007004018","",""
"1","3","","113511","1007004","svd_talk_joy1","","0.2","1007004019","",""
"0","21","","vo_svd","1007004","vo_svd_0421","","","1007004020","0",""
"6","11","0","113511","1007004","ルーセント学院のみんな\nいい子だったね！\n学校生活も楽しそうだなー","0","0","1007004021","0","1"
"","91","","0","1007004","","","","1007004022","",""
"1","3","","113511","1007004","svd_idle_joy1","","0.2","1007004023","",""
"1","3","","113411","1007004","svd_talk_thinking","","0.2","1007004024","",""
"0","21","","vo_svd","1007004","vo_svd_0422","","","1007004025","0",""
"6","11","0","113411","1007004","イオちゃんという\nすばらしい先生にも恵まれて\n少しうらやましいですわ…","0","0","1007004026","0","1"
"","91","","0","1007004","","","","1007004027","",""
"1","3","","113411","1007004","svd_idle_thinking","","0.2","1007004028","",""
"1","3","","113511","1007004","svd_talk_normal","","0.2","1007004029","",""
"0","21","","vo_svd","1007004","vo_svd_0423","","","1007004030","0",""
"7","11","0","113511","1007004","ねぇねぇ、二人で入学する…\nっていうのはどうかな？","0","0","1007004031","0","1"
"","91","","0","1007004","","","","1007004032","",""
"1","3","","113511","1007004","svd_idle_joy1","","0.2","1007004033","",""
"0","3","0.2","113411","1007004","svd_surprise","1","0.2","1007004034","svd_talk_joy1",""
"0","21","","vo_svd","1007004","vo_svd_0424","","","1007004035","0",""
"6","11","0","113411","1007004","…！　よいアイデアですわ！\nさっそく入学願書を\n取り寄せましょう！","0","0","1007004036","0","1"
"","91","","0","1007004","","","","1007004037","",""
"1","3","","113411","1007004","svd_idle_joy1","","0.2","1007004038","",""
"","102","","","1007004","","","","1007004039","",""
"","93","","1","1007004","","","","1007004040","",""
"1","12","0","113511","1007004","7","","0","1007004041","",""
"1","3","","113511","1007004","svd_talk_normal","","0.2","1007004042","",""
"","93","","3","1007004","","","","1007004043","",""
"1","3","","113511","1007004","svd_idle_normal","","0.2","1007004044","",""
"1","12","0","113411","1007004","6","","0","1007004045","",""
"1","3","","113411","1007004","svd_talk_joy1","1","0.2","1007004046","",""
"","93","","3","1007004","","","","1007004047","",""
"1","3","","113411","1007004","svd_idle_joy1","1","0.2","1007004048","",""
"1","12","0","113511","1007004","10","","0","1007004049","",""
"1","3","","113511","1007004","svd_talk_joy2","","0.2","1007004050","",""
"","93","","3","1007004","","","","1007004051","",""
"1","3","","113511","1007004","svd_idle_joy2","","0.2","1007004052","",""
"1","12","0","113411","1007004","10","","0","1007004053","",""
"0","3","0.2","113411","1007004","svd_cmn_smile3","1","0.2","1007004054","svd_idle_joy1",""
"","93","","3","1007004","","","","1007004055","",""
"1","3","","113411","1007004","svd_idle_joy1","1","0.2","1007004056","",""
"","101","","1007004041","1007004","","","","1007004057","",""
"1","6","0","333","1007004","1","0","1","1007004058","1",""
"","4","","113511","1007004","1","","","1007004059","",""
"1","3","","113511","1007004","svd_run","","0.2","1007004060","",""
"-300","2","","113511","1007004","-750","0","","1007004061","0.8",""
"","4","","113411","1007004","0","","","1007004062","",""
"1","3","","113411","1007004","svd_run","","0.2","1007004063","",""
"-300","2","","113411","1007004","750","0","","1007004064","0.8",""
"","93","","0.6","1007004","","","","1007004065","",""
"1","6","0","113511","1007004","1","0","0.2","1007004066","1",""
"1","6","0","113411","1007004","1","0","0.2","1007004067","1",""
"","91","","0","1007004","","","","1007004068","",""
"110","5","0","1","1007005","113511","-300","2.08","1007005001","-700","svd_idle_normal"
"100","5","0","2","1007005","113411","-300","2.08","1007005002","-550","svd_idle_normal"
"0","5","0","3","1007005","333","0","1","1007005003","0","svd_white_loop"
"1","6","0","333","1007005","1","0","0","1007005004","1",""
"-630","31","","3","1007005","13","1.3","0","1007005005","60",""
"1","6","0","113511","1007005","1","0","0","1007005006","1",""
"1","6","0","113411","1007005","1","0","0","1007005007","1",""
"","93","","1","1007005","","","","1007005008","",""
"1","6","0","333","1007005","1","0.4","0.8","1007005009","1",""
"1","3","","113511","1007005","svd_walk_glad","","0.2","1007005010","",""
"-300","2","","113511","1007005","-250","0","","1007005011","2",""
"1","3","","113411","1007005","svd_walk_glad2","","0.2","1007005012","",""
"-300","2","","113411","1007005","-50","0","","1007005013","2.2",""
"1","6","0","113511","1007005","1","1","0.4","1007005014","1",""
"1","6","0","113411","1007005","1","1","0.4","1007005015","1",""
"","32","","13","1007005","1","","","1007005016","",""
"60","33","","13","1007005","-180","0","","1007005017","2",""
"","93","","2","1007005","","","","1007005018","",""
"","32","","13","1007005","0","","","1007005019","",""
"1","3","","113511","1007005","svd_idle_normal","","0.2","1007005020","",""
"","93","","0.2","1007005","","","","1007005021","",""
"","4","","113411","1007005","1","","","1007005022","",""
"1","3","","113411","1007005","svd_idle_normal","","0.2","1007005023","",""
"","93","","0.5","1007005","","","","1007005024","",""
"0.5","12","0","113511","1007005","10","","0","1007005025","",""
"0.5","12","0","113411","1007005","10","","0","1007005026","",""
"0","3","0.2","113511","1007005","svd_wink","1","0.2","1007005027","svd_idle_normal",""
"0","3","0.2","113411","1007005","svd_wink","1","0.2","1007005028","svd_idle_normal",""
"","93","","1.5","1007005","","","","1007005029","",""
"","4","","113411","1007005","0","","","1007005030","",""
"1","3","","113411","1007005","svd_walk","","0.2","1007005031","",""
"-300","2","","113411","1007005","250","0","","1007005032","1",""
"","93","","1","1007005","","","","1007005033","",""
"0","3","0","113411","1007005","svd_idle_normal","1","0.4","1007005034","svd_idle_normal",""
"","93","","0","1007005","","","","1007005035","",""
"","4","","113411","1007005","1","","","1007005036","",""
"","93","","0.6","1007005","","","","1007005037","",""
"1","3","","113511","1007005","svd_talk_joy1","","0.2","1007005038","",""
"0","21","","vo_svd","1007005","vo_svd_0521","","","1007005039","0",""
"5","11","0","113511","1007005","静かな島で弟くんと暮らす…\nここは本当に天国だね。","0","0","1007005040","0","1"
"","91","","0","1007005","","","","1007005041","",""
"1","3","","113511","1007005","svd_idle_memory","","0.2","1007005042","",""
"1","3","","113411","1007005","svd_talk_memory","","0.2","1007005043","",""
"0","21","","vo_svd","1007005","vo_svd_0522","","","1007005044","0",""
"6","11","0","113411","1007005","これを幸せと呼ばずして\n何を幸せと呼べば\nよいのでしょう…","0","0","1007005045","0","1"
"","91","","0","1007005","","","","1007005046","",""
"1","3","","113411","1007005","svd_idle_memory","","0.2","1007005047","",""
"1","3","","113511","1007005","svd_talk_memory","","0.2","1007005048","",""
"0","21","","vo_svd","1007005","vo_svd_0523","","","1007005049","0",""
"6","11","0","113511","1007005","おはようからおやすみまで\nずっと弟くんと一緒に\nいられる…","0","0","1007005050","0","1"
"","91","","0","1007005","","","","1007005051","",""
"1","3","","113511","1007005","svd_idle_memory","","0.2","1007005052","",""
"1","3","","113411","1007005","svd_talk_memory","","0.2","1007005053","",""
"0","21","","vo_svd","1007005","vo_svd_0524","","","1007005054","0",""
"4","11","0","113411","1007005","寝起きのかわいらしい顔も\n穏やかな寝顔も\nすべて見放題…","0","0","1007005055","0","1"
"","91","","0","1007005","","","","1007005056","",""
"1","3","","113411","1007005","svd_idle_memory","","0.2","1007005057","",""
"1","3","","113511","1007005","svd_talk_joy2","","0.2","1007005058","",""
"0","21","","vo_svd","1007005","vo_svd_0525","","","1007005059","0",""
"8","11","0","113511","1007005","この幸せをお返しできるように\n最高のおうちを作ろうね！\nエリコちゃん！","0","0","1007005060","0","1"
"","93","","4","1007005","","","","1007005061","",""
"0","3","0.2","113511","1007005","svd_talk_guts","1","0.2","1007005062","svd_idle_guts",""
"","91","","1007005060","1007005","","","","1007005063","",""
"1","3","","113511","1007005","svd_idle_guts","","0.2","1007005064","",""
"0","3","0.2","113411","1007005","svd_talk_guts2","1","0.2","1007005065","svd_idle_guts2",""
"0","21","","vo_svd","1007005","vo_svd_0526","","","1007005066","0",""
"6","11","0","113411","1007005","もちろんですわ！","0","0","1007005067","0","1"
"","91","","0","1007005","","","","1007005068","",""
"","102","","","1007005","","","","1007005069","",""
"","93","","1","1007005","","","","1007005070","",""
"1","12","0","113511","1007005","9","","0","1007005071","",""
"1","3","","113511","1007005","svd_talk_memory","","0.2","1007005072","",""
"","93","","3","1007005","","","","1007005073","",""
