ac08fc9d13dba6c9a3901b36d0e22c6eac5ed611617afce16620840e3776feba,668e57216601c9e38b871918b0cc727219baa2460d0a2230b5e529291f93806f,5bd6378ca002080f0a2172635c29ff3bfd1136d670d66cd031c9b24547c5c071,73a1e71560b72f6e3f6c456c8260e630028c15ebda561fccbcc57006367127bf,639c6085b690ff17162026e7ef081bb3e7e8e70bfe456bbfca00e7b0f29eaf6f,821db0fe8fb5bec01f709c7cde8b9fc0a5d311d43a119a106df7aaba3983d06d,047c5235680d6943239836f2b9b1cdc3572c2d41034eb739e934d4da4df52c03,c5cfbbb3a60dc1f1dbec50017c2f309213a0b0c846024f30da3ffb34fc73350b
"-123","3811","89","134","3","2","14","-520"
"103","3821","236","204","1","3","14","-369"
"-74","3861","241","176","5","4","14","-283"
"-83","3891","236","156","6","5","14","-151"
"108","3911","226","219","4","6","14","-174"
"-130","3921","96","107","10","7","14","-51"
"50","3931","251","179","9","8","14","-5"
"-106","3941","102","113","11","9","14","100"
"-41","3951","317","242","12","10","14","268"
"79","3961","240","209","7","11","14","138"
"79","3971","240","209","8","12","14","138"
"-125","4021","93","125","14","13","14","441"
"22","4031","279","219","13","14","14","485"
