1842bf49456ee9a5016eb873bd501716522460a290a57835c41b90911038e40b,b10c5180d11b2e1163b570dc226d86fea7ef579ddc99d15adf67ea0d35dcf95a,5095a1bfa5d9783d385fa2e04dae83254302aac7fb8ec18b61801670c5ddc0f4,7c0bddbbc20e97a9246f44e1e5ee9d6d12d427666ca61a673ddabdab1a57c826,3c3c21474c29d1df878ae9f1f780e547870bbdad1738ccfe0bab2a90cab8d15d,1aef07d9cfa455f2a4c9703db6b7951e647deaf1cf0aa1c38d3d93be458bdc0b,dd8773d76fcb476033c15791b45e13b8238f68d7b4b14c700bbfffda7f7dbae0,25e6f8fdfc6a863f7c55f102f20f133c4535205102824af468c8d0413f1b3d59,2c4f04e83b93453dfc94d328a273140e132605236cfd7f8398438d34210cb853,13037ff4ca3451ee5b079b69afdc5d5bf68414401bec3a38414333b817ce305d
"百面相","0","百人一首","百貨店","0","2131003","0","0","百点満点","1"
"推し事","0","愛言葉","胸の内","0","2131004","0","0","お仕事","1"
"キャンプ","0","マラソン","クルーズ","0","2131005","0","0","ファイト","1"
"オタマジャクシ","0","ゲンゴロウ","アオダイショウ","0","2210001","0","0","ヤゴ","1"
"角","0","耳","翼","0","2210003","0","0","しっぽ","1"
"イナゴ","0","ロンゴ","ダンゴ","0","2210004","0","0","サンゴ","1"
"カラス","0","オウム","ペリカン","0","2210005","0","0","コウノトリ","1"
"ジンジャー","0","ターメリック","ガーリック","0","2210006","0","0","オニオン","1"
"アボカド","0","ランブータン","マンゴー","0","2210007","0","0","ドリアン","1"
"パクチー","0","パーシー","パンジー","0","2210008","0","0","パール","1"
"ニンジン","0","キュウリ","ピーマン","0","2210009","0","0","ハクサイ","1"
"魚類","0","は虫類","哺乳類","0","2210011","0","0","鳥類","1"
"免疫","0","自己防衛","罷免","0","2210012","0","0","慣れ","1"
"耳","0","目","鼻","0","2210013","0","0","口","1"
"イタチ科","0","ネコ科","リス科","0","2210015","0","0","イヌ科","1"
"お母さん","0","おばあさん","お父さん","0","2210016","0","0","おじいさん","1"
"鼻","0","目","口","0","2210018","0","0","耳","1"
"サケ","0","コイ","サバ","0","2210019","0","0","アユ","1"
"ラクダ","0","ゴリラ","パンダ","0","2210020","0","0","ヒツジ","1"
"チーター","0","トラ","ダチョウ","0","2210021","0","0","ライオン","1"
"オウム","0","フクロウ","カッコウ","0","2210022","0","0","キツツキ","1"
"親知らず","0","八重歯","情知らず","0","2210024","0","0","物知らず","1"
"クジャク","0","ライチョウ","フラミンゴ","0","2210025","0","0","コウノトリ","1"
"タラバガニ","0","モクズガニ","ズワイガニ","0","2210026","0","0","タカアシガニ","1"
"ブドウ糖","0","イチゴ糖","ミカン糖","0","2210027","0","0","レモン糖","1"
"ソデタケ","0","マイタケ","マツタケ","0","2210029","0","0","シイタケ","1"
"トリュフ","0","ナツメグ","フォアグラ","0","2210030","0","0","キャビア","1"
"軟体動物","0","変体動物","剛体動物","0","2210032","0","0","解体動物","1"
"ピーマン","0","キャベツ","モヤシ","0","2210034","0","0","レタス","1"
"そらまめ","0","くろまめ","えんどうまめ","0","2210035","0","0","なたまめ","1"
"上腕二頭筋","0","上腕五頭筋","上腕一頭筋","0","2210037","0","0","ヒラメ筋","1"
"赤","0","緑","青","0","2210040","0","0","黄","1"
"1匹","0","10匹","20匹","0","2210041","0","0","5匹","1"
"耳","0","尻尾","鼻","0","2210042","0","0","前脚","1"
"海","0","池","川","0","2210045","0","0","湖","1"
"くちばしが膨らむ","0","木をつついて穴をあける","地上を高速で走る","0","2210046","0","0","首が360度回る","1"
"貝","0","小石","サンゴ","0","2210047","0","0","ペンション","1"
"サクラ","0","キク","アサガオ","0","2210048","0","0","サザンカ","1"
"いびき","0","あくび","しゃっくり","0","2210049","0","0","くしゃみ","1"
"頭がい骨","0","頭こう骨","頭とう骨","0","2210050","0","0","頭あい骨","1"
"36℃前後","0","56℃前後","26℃前後","0","2210051","0","0","46℃前後","1"
"カメレオン","0","ハンミョウ","キリギリス","0","2210052","0","0","カマドウマ","1"
"サンショウウオ","0","シチミトウガラシウオ","コショウウオ","0","2210054","0","0","タバスコウオ","1"
"クマゲラ","0","ヒグマ","ホッキョクグマ","0","2210056","0","0","ツキノワグマ","1"
"あつい","0","あまい","にがい","0","2210057","0","0","すっぱい","1"
"ホタル","0","ハチ","セミ","0","2210058","0","0","トンボ","1"
"ブルドッグ","0","アメリカンドッグ","ソルティドッグ","0","2210059","0","0","ホットドッグ","1"
"イチョウ","0","ハゼノキ","モミジ","0","2210060","0","0","ツツジ","1"
"ユニ","0","ミミ","ミソギ","0","2211001","0","0","キョウカ","1"
"～ッス","0","～だぴょん♪","～ガオッ","0","2211002","0","0","～であーる","1"
"キャル","0","シェフィ","ぺコリーヌ","0","2211003","0","0","コッコロ","1"
"ちゃんイオ","0","イオ殿","イオっち","0","2211004","0","0","イオせんせー","1"
"ミソラ","0","プレシア","リリ","0","2211005","0","0","クリア","1"
"くまのみ","0","ゆのみ","やしのみ","0","2220001","0","0","このみ","1"
"サザンカ","0","アサガオ","タンポポ","0","2220002","0","0","アジサイ","1"
"8本","0","12本","10本","0","2220005","0","0","6本","1"
"ナス科","0","ウリ科","バラ科","0","2220006","0","0","ミカン科","1"
"オサガメ","0","ババガメ","ジジガメ","0","2220007","0","0","トノガメ","1"
"キーウィ","0","マンゴー","パパイヤ","0","2220008","0","0","パイナップル","1"
"アシ","0","カカト","ミミ","0","2220009","0","0","カミ","1"
"役に立っていない","0","解毒の機能がある","食べ物を消化する","0","2220010","0","0","血液を作る","1"
"ニホンザル","0","オランウータン","ゴリラ","0","2220012","0","0","チンパンジー","1"
"スズムシ","0","クワガタムシ","マツムシ","0","2220015","0","0","クツワムシ","1"
"ヘラクレスオオカブト","0","ペルセウスオオカブト","アキレスオオカブト","0","2220016","0","0","アマゾネスオオカブト","1"
"4つ","0","分かれていない","2つ","0","2220017","0","0","3つ","1"
"ホッキョクグマ","0","アメリカクロクマ","ツキノワグマ","0","2220018","0","0","ヒグマ","1"
"カマキリ","0","セミ","クワガタ","0","2220019","0","0","テントウムシ","1"
"頬袋","0","頬冠","肌頬","0","2220020","0","0","貯頬","1"
"コチョウラン","0","ボタンキンバイ","ベニバナクサギ","0","2220021","0","0","カノコユリ","1"
"細胞","0","棍棒","脂肪","0","2220022","0","0","心房","1"
"コオロギ","0","アリ","キリギリス","0","2220023","0","0","バッタ","1"
"フグ","0","シャチ","アンコウ","0","2220024","0","0","サメ","1"
"く","0","て","い","0","2220025","0","0","め","1"
"クラゲ","0","タコ","ウニ","0","2220026","0","0","イカ","1"
"ウニ","0","タコ","クラゲ","0","2220027","0","0","イカ","1"
"牛","0","ラクダ","犬","0","2220028","0","0","羊","1"
"さなぎ","0","さかき","なぎさ","0","2220030","0","0","うさぎ","1"
"ワニ","0","カバ","ヘビ","0","2220031","0","0","カメレオン","1"
"マントヒヒ","0","オランウータン","ゴリラ","0","2220033","0","0","チンパンジー","1"
"クワガタ","0","カマキリ","カブトムシ","0","2220034","0","0","カナブン","1"
"7年後","0","7日後","7ヵ月後","0","2220038","0","0","7週間後","1"
"ウメ","0","コスモス","ヒマワリ","0","2220040","0","0","アジサイ","1"
"足","0","腰","手","0","2220042","0","0","頭","1"
"学名","0","実名","本名","0","2220043","0","0","和名","1"
"ホモ・サピエンス","0","イモ・アジエンス","ホモ・アジエンス","0","2220044","0","0","モモ・サピエンス","1"
"トンボ","0","スズムシ","セミ","0","2220046","0","0","カブトムシ","1"
"種子植物","0","芥子植物","硝子植物","0","2220047","0","0","束子植物","1"
"毛細血管","0","毛深血管","毛様血管","0","2220048","0","0","毛頭血管","1"
"貝類","0","魚類","鳥類","0","2220049","0","0","両生類","1"
"クラゲ","0","フジツボ","エビ","0","2220050","0","0","カニ","1"
"アルマジロ","0","オオアリクイ","ハリネズミ","0","2220051","0","0","ヤマアラシ","1"
"水","0","炭水化物","たんぱく質","0","2220052","0","0","脂質","1"
"ライチョウ","0","カワセミ","カッコウ","0","2220054","0","0","スズメ","1"
"皮膚","0","脂肪","毛","0","2220056","0","0","骨","1"
"呼吸器","0","消化器","循環器","0","2220057","0","0","泌尿器","1"
"ウニ","0","エビ","タコ","0","2220058","0","0","イカ","1"
"胞子","0","奉仕","法師","0","2220059","0","0","法子","1"
"シメジ","0","ナメコ","マイタケ","0","2220060","0","0","マツタケ","1"
"ミミ","0","イノリ","キョウカ","0","2221001","0","0","リリ","1"
"トラタイガー","0","トラライオン","タラトイガー","0","2221002","0","0","トライロッカー","1"
"ぺんぽこりん","0","ぷんぽこりん","ぽんこりん","0","2221003","0","0","ぺんぺこりん","1"
"ミヤコ","0","クルミ","トモ","0","2221004","0","0","ミサキ","1"
"ドロゲーター","0","タテマツリワニ","ワニゴン","0","2221005","0","0","ワニドロロ","1"
"アルベド","0","アルキン","アルヘナ","0","2230001","0","0","アルガン","1"
"シバリング","0","シャーリング","アイドリング","0","2230003","0","0","トラベリング","1"
"膵臓","0","心臓","肝臓","0","2230005","0","0","腎臓","1"
"ピーヘン","0","ピーチ","ピーラー","0","2230007","0","0","ピーナッツ","1"
"クラッタリング","0","ギャザリング","グルーミング","0","2230008","0","0","マウンティング","1"
"ネズミザメ科","0","イタチザメ科","ネコザメ科","0","2230010","0","0","イヌザメ科","1"
"ローズマリー","0","サンフラワーマリー","デイジーマリー","0","2230012","0","0","ポピーマリー","1"
"フランジ","0","ラチェット","レバー","0","2230013","0","0","スリット","1"
"アジサイ","0","シダレザクラ","スミレ","0","2230014","0","0","フジ","1"
"実","0","茎","葉","0","2230015","0","0","根","1"
"ドラゴンフルーツ","0","パッションフルーツ","ジャックフルーツ","0","2230016","0","0","ミラクルフルーツ","1"
"ブロッコリー","0","チンゲンサイ","キャベツ","0","2230017","0","0","ホウレンソウ","1"
"ぜいご","0","けいご","でいご","0","2230018","0","0","こんご","1"
"同じ","0","個体によって違う","キリンのほうが多い","0","2230019","0","0","人間のほうが多い","1"
"ジャコウネコ科","0","ジャコウウマ科","ジャコウイヌ科","0","2230021","0","0","ジャコウクマ科","1"
"シソ科","0","イネ科","キク科","0","2230022","0","0","セリ科","1"
"白","0","赤","黒","0","2230023","0","0","縞模様","1"
"カピバラ","0","チンチラ","ビーバー","0","2230024","0","0","ヌートリア","1"
"ナマズ","0","マグロ","ウナギ","0","2230026","0","0","ドジョウ","1"
"ムギワラトンボ","0","タンポポトンボ","バナナトンボ","0","2230027","0","0","ヒマワリトンボ","1"
"カイコ","0","クワガタ","トンボ","0","2230028","0","0","カブトムシ","1"
"鰻","0","鮪","山女魚","0","2230029","0","0","鰆","1"
"3つ","0","5つ","2つ","0","2230030","0","0","1つ","1"
"シーラカンス","0","ミミックオクトパス","マンタ","0","2230031","0","0","ホホジロザメ","1"
"僧帽筋","0","王帽筋","兵帽筋","0","2230032","0","0","侍帽筋","1"
"うろこ","0","口","目","0","2230033","0","0","尾ひれ","1"
"XY","0","XZ","XX","0","2230034","0","0","YY","1"
"0本","0","23本","15本","0","2230036","0","0","7本","1"
"イトウ","0","タカハシ","サトウ","0","2230037","0","0","スズキ","1"
"イタチ科","0","ネコ科","リス科","0","2230038","0","0","イヌ科","1"
"イヌ科","0","ジャコウネコ科","ネコ科","0","2230040","0","0","ブタ科","1"
"ボウフラ","0","アリジゴク","イモムシ","0","2230043","0","0","ヤゴ","1"
"カマキリ","0","クワガタ","クモ","0","2230044","0","0","カブトムシ","1"
"こむら返り","0","生き返り","おうむ返し","0","2230045","0","0","ふり返り","1"
"イネ科","0","ユリ科","ツツジ科","0","2230046","0","0","スミレ科","1"
"落葉樹","0","常緑樹","針葉樹","0","2230048","0","0","広葉樹","1"
"クロロフィル","0","キロロフィル","ケロロフィル","0","2230049","0","0","カロロフィル","1"
"フクロウ","0","ハト","カッコウ","0","2230050","0","0","ニワトリ","1"
"月見草","0","星夜草","月夜草","0","2230051","0","0","星見草","1"
"オウム貝","0","スズメ貝","カラス貝","0","2230052","0","0","ウグイス貝","1"
"アイアイ","0","ハイハイ","マイマイ","0","2230053","0","0","カイカイ","1"
"ヒラメ筋","0","マグロ筋","アナゴ筋","0","2230055","0","0","カツオ筋","1"
"脂肪","0","夢","水","0","2230058","0","0","石油","1"
"ネコ","0","キツネ","イヌ","0","2230059","0","0","タヌキ","1"
"ケッパー","0","アッパー","ペッパー","0","2230061","0","0","ラッパー","1"
"聖女仮面","0","白銀マスク","マスク・ド・ジュン","0","2231001","0","0","ノエルの淑女","1"
"アオイ","0","イリヤ","アヤネ","0","2231002","0","0","コッコロ","1"
"タンバリン","0","マラカス","太鼓","0","2231003","0","0","カスタネット","1"
"ユニ","0","アオイ","チエル","0","2231004","0","0","クロエ","1"
"スズナ","0","キャル","エリコ","0","2231005","0","0","ニノン","1"
"1","0","0.5","0","0","2310002","0","0","2","1"
"月","0","水星","太陽","0","2310003","0","0","火星","1"
"土星","0","金星","水星","0","2310005","0","0","火星","1"
"ルビー","0","真珠","エメラルド","0","2310006","0","0","トルコ石","1"
"熱帯低気圧","0","乾燥帯低気圧","温帯低気圧","0","2310009","0","0","寒帯低気圧","1"
"デシベル","0","キログラム","ヘクトパスカル","0","2310010","0","0","ミリバール","1"
"カロリー","0","リットル","メートル","0","2310011","0","0","キログラム","1"
"6","0","9","12","0","2310012","0","0","24","1"
"24時間","0","48時間","12時間","0","2310014","0","0","36時間","1"
"すべて同じ","0","1kgの綿","1kgの鉄","0","2310015","0","0","1kgの砂","1"
"1440分","0","1600分","1360分","0","2310016","0","0","1520分","1"
"M","0","W","N","0","2310017","0","0","E","1"
"白夜","0","赤夜","黒夜","0","2310018","0","0","黄夜","1"
"黒","0","ピンク","赤","0","2310019","0","0","白","1"
"45度","0","90度","30度","0","2310020","0","0","60度","1"
"ブラックホール","0","ホワイトホール","レッドホール","0","2310021","0","0","ブルーホール","1"
"720度","0","540度","180度","0","2310023","0","0","360度","1"
"21","0","23","20","0","2310024","0","0","22","1"
"天の川","0","紀の川","湯の川","0","2310025","0","0","泥の川","1"
"質素","0","炭素","窒素","0","2310026","0","0","水素","1"
"0.01メートル","0","100メートル","0.1メートル","0","2310027","0","0","10メートル","1"
"ヘルツ","0","ワッツ","ワルツ","0","2310028","0","0","スパッツ","1"
"スコール","0","イコール","クロール","0","2310030","0","0","ショール","1"
"隕石との衝突","0","地面からの爆発","ロケットとの衝突","0","2310031","0","0","人工衛星との衝突","1"
"365.24日","0","465.24日","265.24日","0","2310032","0","0","165.24日","1"
"約29.5日","0","約59.5日","約39.5日","0","2310034","0","0","約49.5日","1"
"断層","0","高層","切層","0","2310035","0","0","割層","1"
"沸騰","0","液化","爆発","0","2310036","0","0","酸化","1"
"氷点","0","冷点","固点","0","2310037","0","0","寒点","1"
"2キロ","0","8キロ","4キロ","0","2310038","0","0","6キロ","1"
"0","0","-500","50","0","2310039","0","0","5050","1"
"皆既日食","0","全体日食","部分日食","0","2310041","0","0","金環日食","1"
"抵抗","0","対立","反抗","0","2310042","0","0","反発","1"
"コイル","0","ネイル","ホイル","0","2310043","0","0","マイル","1"
"ミリメートル","0","キロリットル","ミリリットル","0","2310044","0","0","デシリットル","1"
"200","0","155","160","0","2310045","0","0","150","1"
"3×2","0","2＋3","3＋2","0","2310047","0","0","3－2","1"
"満月","0","新月","半月","0","2310049","0","0","三日月","1"
"銭","0","鉄","銀","0","2310051","0","0","銅","1"
"半導体","0","中縁体","不導体","0","2310052","0","0","未絶体","1"
"P波","0","S波","Q波","0","2310053","0","0","R波","1"
"水1リットル","0","1万円札で100万円","1円玉100枚","0","2310054","0","0","米1合","1"
"干潮","0","満潮","赤潮","0","2310056","0","0","黒潮","1"
"円周率","0","2","底辺","0","2310059","0","0","高さ","1"
"霜","0","雹","雷","0","2310060","0","0","霰","1"
"1200","0","1000","1480","0","2311001","0","0","1100","1"
"630","0","540","460","0","2311002","0","0","700","1"
"6400","0","7980","1600","0","2311003","0","0","5400","1"
"ランドソル","0","セントールス","オーマ","0","2311004","0","0","トーゴク","1"
"1100ルピ","0","950ルピ","1000ルピ","0","2311005","0","0","1150ルピ","1"
"90度","0","360度","0度","0","2320001","0","0","180度","1"
"5本","0","9本","2本","0","2320004","0","0","7本","1"
"アンタレス","0","オイラレス","ボクレス","0","2320005","0","0","キミレス","1"
"ルミノール","0","ファール","ノネナール","0","2320006","0","0","ゼミナール","1"
"6000℃","0","60000℃","60℃","0","2320008","0","0","600℃","1"
