12bf799c34b98da2bca375918801b96e27a8aa4fdfb6bdf0d079c0aed94407a7,59cbc7d1a09b9d33a29785bf8a44ad93dd2cde272efaf7051e31e3d94607c0a9,18097587df7fbf36418f742a1e5fbf673c7d6c288f5d0d76d79c54d3cc08552b,3b10ccc1ff80ef72a51e2c730e61456ac119731d730fc963b6c40d691872682a,f150047130b41e885f9fb45633ce9bfdb32a5ac170a8bbc08d0d8d05fbbc1ee3,29051fefa7e81a192f3c5ea809893520244664a1f36b3b2872fa43ee68987951,9984ce3cc5ec49e202d41e04e1debea2ce8a0b723ab8a2b77e052f5649f3c794,ae22601192de22778aa63c5814631bcf27e2c8e8fa2e00ee9ab3341cfa3d5953,b718a83bfa44ac271018f03b4ada4160780c1606af3e9058b53a70c11c1316eb,694f23b2c93db2f6e8954017cbfab90dd570ac23d1868ab27902ad73150b9156,6fb500cb356c8ca300d9f28b6059a8abd6aa95d1787867e4e9f1f31329bb91c3
"8","11","0","ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","106011","0","2","0.5","0","1","2009"
"","91","","","0","","2","","","","2010"
"0","21","","vo_minigame_1008_drama_0306","vo_minigame_1008","","2","","","0","2011"
"1","3","","psy_talk_sad","106011","0.2","2","","","","2012"
"8","11","0","って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","106011","0","2","0.5","0","1","2013"
"","93","","1","4","","2","","","","2014"
"1","3","","psy_talk_sad","106011","0.2","2","","","","2015"
"","91","","","2013","","2","","","","2016"
"1","3","","psy_idle_sad","106011","0.2","2","","","","2017"
"0","3","1","psy_miyako_appear","119931","0.2","2","","0.2","psy_miyako_thinking4","2018"
"0","3","0","psy_smoke_appear","1","0","2","","0","psy_smoke_start","2019"
"0","21","","vo_minigame_1008_drama_0301","vo_minigame_1008","","2","","","0","2020"
"4","11","0","プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……","119931","0","2","1","0","1","2021"
"","93","","1","1","","2","","","","2022"
"0","3","1","psy_surprise","106011","0.2","2","","0.2","psy_idle_surprise2","2023"
"","91","","","2021","","2","","","","2024"
"","22","","0","0","","2","","","","2025"
"1","3","","psy_miyako_idle_thinking","119931","0.2","2","","","","2026"
"1","3","","psy_talk_surprise2","106011","0.2","2","","","","2027"
"0","21","","vo_minigame_1008_drama_0307","vo_minigame_1008","","2","","","0","2028"
"8","11","0","キャッ！？\nいきなり出てきてなんなのよあんた！","106011","0","2","0.5","0","1","2029"
"","91","","","0","","2","","","","2030"
"1","3","","psy_idle_surprise2","106011","0.2","2","","","","2031"
"1","3","","psy_miyako_anger1","119931","0.2","2","","","","2032"
"0","21","","vo_minigame_1008_drama_0302","vo_minigame_1008","","2","","","0","2033"
"5","11","0","オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……","119931","0","2","1","0","1","2034"
"","93","","1","8","","2","","","","2035"
"1","3","","psy_miyako_thinking2","119931","0.2","2","","","","2036"
"","91","","","2034","","2","","","","2037"
"","22","","0","0","","2","","","","2038"
"1","3","","psy_talk_sad","106011","0.2","2","","","","2039"
"0","21","","vo_minigame_1008_drama_0308","vo_minigame_1008","","2","","","0","2040"
"8","11","0","な、何よ……","106011","0","2","0.5","0","1","2041"
"","91","","","0","","2","","","","2042"
"1","3","","psy_idle_sad","106011","0.2","2","","","","2043"
"1","3","","psy_miyako_run","119931","0.2","2","","","","2044"
"-200","2","0","0","119931","","2","","","2","2045"
"","93","","","2","","2","","","","2046"
"1","3","","psy_miyako_thinking2","119931","0.2","2","","","","2047"
"0","21","","vo_minigame_1008_drama_0303","vo_minigame_1008","","2","","","0","2048"
"6","11","0","むむむむむ……\nオマエ、なんかおいしそうなの……","119931","0","2","1","0","1","2049"
"","91","","","0","","2","","","","2050"
"","22","","0","0","","2","","","","2051"
"","93","","","0.5","","2","","","","2052"
"1","3","","psy_talk_sad","106011","0.2","2","","","","2053"
"0","21","","vo_minigame_1008_drama_0309","vo_minigame_1008","","2","","","0","2054"
"8","11","0","はぁ～？","106011","0","2","0.5","0","1","2055"
"","91","","","0","","2","","","","2056"
"1","3","","psy_idle_sad","106011","0.2","2","","","","2057"
"0","21","","vo_minigame_1008_drama_0304","vo_minigame_1008","","2","","","0","2058"
"6","11","0","オマエをプリンにしてやるの～～！！","119931","0","2","0.5","0","1","2059"
"","93","","1","0.5","","2","","","","2060"
"0","3","1","psy_miyako_attack_in","119931","0.2","2","","0","psy_miyako_attack_loop","2061"
"","93","","1","0.2","","2","","","","2062"
"0","3","1","psy_surprise","106011","0.2","2","","0.2","psy_idle_surprise2","2063"
"","91","","","2059","","2","","","","2064"
"","22","","0","0","","2","","","","2065"
"1","3","","psy_talk_surprise2","106011","0.2","2","","","","2066"
"0","21","","vo_minigame_1008_drama_0310","vo_minigame_1008","","2","","","0","2067"
"8","11","0","な、なんなのよこの店～～！！","106011","0","2","0.5","0","1","2068"
"","91","","","0","","2","","","","2069"
"","4","","0","106011","","2","","","","2070"
"1","3","","psy_run_shy","106011","0.2","2","","","","2071"
"1","3","","psy_miyako_attack_loop_move","119931","0.2","2","","","","2072"
"-220","2","0","1000","106011","","2","","","3","2073"
"-220","2","0","1000","119931","","2","","","5","2074"
"","93","","","3.5","","2","","","","2075"
"","22","","0","0","","2","","","","2076"
"","91","","","0","","2","","","","2077"
"100","1","-150","119931","1","1.65","3","psy_miyako_gasagoso_B","1","-250","3001"
"100","1","-180","105511","1","1.7","3","psy_walk","1","340","3002"
"0","31","1","11","1","1","3","","","0","3003"
"101","5","-220","1","1","1.7","3","psy_smoke_start","0","-300","3004"
"-180","2","0","225","105511","","3","","","2","3005"
"","93","","","2","","3","","","","3006"
"1","3","","psy_talk_wish","105511","0.2","3","","","","3007"
"0","21","","vo_minigame_1008_drama_0203","vo_minigame_1008","","3","","","0","3008"
"8","11","0","こ、ここで先輩が働いてるんですよね？","105511","0","3","0.5","0","1","3009"
"","91","","","0","","3","","","","3010"
"0","3","1","psy_ayumi_kyoro_in","105511","0.2","3","","0","psy_ayumi_kyoro_loop","3011"
"","93","","","1.8","","3","","","","3012"
"1","3","","psy_talk_joy1","105511","0.2","3","","","","3013"
"0","21","","vo_minigame_1008_drama_0204","vo_minigame_1008","","3","","","0","3014"
"8","11","0","わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？","105511","0","3","0.5","0","1","3015"
"","91","","","0","","3","","","","3016"
"1","3","","psy_talk_call","105511","0.2","3","","","","3017"
"0","21","","vo_minigame_1008_drama_0205","vo_minigame_1008","","3","","","0","3018"
"8","11","0","あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？","105511","0","3","0.5","0","1","3019"
"","93","","1","3","","3","","","","3020"
"0.8","12","0","5","119931","0","3","0","0","1","3021"
"","4","","0","119931","","3","","","","3022"
"1","3","","psy_miyako_idle_thinking","119931","0","3","","","","3023"
"","93","","1","1.5","","3","","","","3024"
"","4","","1","119931","","3","","","","3025"
"1","3","","psy_miyako_gasagoso_B","119931","0","3","","","","3026"
"","93","","1","0.5","","3","","","","3027"
"1","3","","psy_talk_sad","105511","0.2","3","","","","3028"
"","91","","","3019","","3","","","","3029"
"1","3","","psy_talk_wish","105511","0.2","3","","","","3030"
"0","21","","vo_minigame_1008_drama_0206","vo_minigame_1008","","3","","","0","3031"
"8","11","0","と、とりあえずお金はおいておきますね\n失礼します！","105511","0","3","0.5","0","1","3032"
"","93","","1","2","","3","","","","3033"
"1","3","","psy_gasagoso_B2","105511","0.2","3","","","","3034"
"","93","","1","1","","3","","","","3035"
"0","3","1","psy_pekori","105511","0.2","3","","0.2","psy_idle_normal","3036"
"","91","","","3032","","3","","","","3037"
"","4","","0","105511","","3","","","","3038"
"1","3","","psy_run","105511","0.2","3","","","","3039"
"-180","2","0","1000","105511","","3","","","3","3040"
"","93","","","3","","3","","","","3041"
"","93","","","0.5","","3","","","","3042"
"1","3","","psy_miyako_idle_thinking","119931","0","3","","","","3043"
"","93","","","2","","3","","","","3044"
"","4","","0","119931","","3","","","","3045"
"1","3","","psy_miyako_run","119931","0.2","3","","","","3046"
"-165","2","0","0","119931","","3","","","2","3047"
"","93","","","2","","3","","","","3048"
"1","3","","psy_miyako_thinking4","119931","0.2","3","","","","3049"
"0","21","","vo_minigame_1008_drama_0201","vo_minigame_1008","","3","","","0","3050"
"5","11","0","……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？","119931","0","3","0.5","0","1","3051"
"","93","","1","4","","3","","","","3052"
"1","3","","psy_miyako_panic1","119931","0.2","3","","","","3053"
"","91","","","3051","","3","","","","3054"
"","22","","0","0","","3","","","","3055"
"0","3","1","psy_miyako_surprise2_in","119931","0.2","3","","0","psy_miyako_surprise2_loop","3056"
"0","21","","vo_minigame_1008_drama_0202","vo_minigame_1008","","3","","","0","3057"
"5","11","0","……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？","119931","0","3","1","0","1","3058"
"","93","","1","4","","3","","","","3059"
"1","3","","psy_miyako_thinking4","119931","0.2","3","","","","3060"
"","91","","","3058","","3","","","","3061"
"","22","","0","0","","3","","","","3062"
"","93","","","1","","3","","","","3063"
"","91","","","0","","3","","","","3064"
"100","1","-200","119931","1","1.7","4","psy_miyako_start","0","-300","4001"
"100","1","-220","107131","1","1.7","4","psy_walk","1","300","4002"
"0","31","1","11","1","1","4","","","0","4003"
"101","5","-200","1","1","1.7","4","psy_smoke_start","0","-300","4004"
"-220","2","0","185","107131","","4","","","2","4005"
"","93","","","2","","4","","","","4006"
"0","3","1","psy_talk_doya","107131","0.2","4","","0.2","psy_talk_doya_loop","4007"
"0","21","","vo_minigame_1008_drama_0405","vo_minigame_1008","","4","","","0","4008"
"8","11","0","この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆","107131","0","4","0.5","0","1","4009"
"","91","","","0","","4","","","","4010"
"1","3","","psy_idle_doya","107131","0.2","4","","","","4011"
"1","3","","psy_talk_sad","107131","0.2","4","","","","4012"
"0","21","","vo_minigame_1008_drama_0406","vo_minigame_1008","","4","","","0","4013"
"8","11","0","……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。","107131","0","4","0.5","0","1","4014"
"","93","","1","6","","4","","","","4015"
"1","3","","psy_talk_call","107131","0.2","4","","","","4016"
"","91","","","4014","","4","","","","4017"
"1","3","","psy_idle_arm_crossed","107131","0.2","4","","","","4018"
"0","3","1","psy_miyako_appear","119931","0","4","","0.2","psy_miyako_talk_joy1","4019"
"0","3","0","psy_smoke_appear","1","0","4","","0","psy_smoke_start","4020"
"0","21","","vo_minigame_1008_drama_0401","vo_minigame_1008","","4","","","0","4021"
"6","11","0","あ！　オマエ！\n大きいプリンくれたヤツなの！\nまたミヤコにプリンを持ってきたの？","119931","0","4","0.5","0","1","4022"
"","91","","","0","","4","","","","4023"
"","22","","0","0","","4","","","","4024"
"1","3","","psy_miyako_idle","119931","0.2","4","","","","4025"
"1","3","","psy_talk_normal","107131","0.2","4","","","","4026"
"0","21","","vo_minigame_1008_drama_0407","vo_minigame_1008","","4","","","0","4027"
"8","11","0","おまえは……ああ、いつぞやの\nクリスマスで会ったことがあったな。\n今日はサンタとしてではなく\n客として来たのだ。","107131","0","4","0.5","0","1","4028"
"","91","","","0","","4","","","","4029"
"1","3","","psy_idle_normal","107131","0.2","4","","","","4030"
"1","3","","psy_miyako_sad1","119931","0.2","4","","","","4031"
"0","21","","vo_minigame_1008_drama_0402","vo_minigame_1008","","4","","","0","4032"
"6","11","0","プリンをくれないオマエに用はないの。\nおばあちゃんも留守だし、\nおとといきやがれなの。","119931","0","4","0.5","0","1","4033"
"","93","","1","5","","4","","","","4034"
"1","3","","psy_miyako_talk4","119931","0.2","4","","","","4035"
"","91","","","4033","","4","","","","4036"
"","22","","0","0","","4","","","","4037"
"1","3","","psy_miyako_idle2","119931","0.2","4","","","","4038"
"0","3","1","psy_ahaha_in","107131","0.2","4","","0.2","psy_ahaha_loop","4039"
"0","21","","vo_minigame_1008_drama_0408","vo_minigame_1008","","4","","","0","4040"
"8","11","0","はっはっは！\nこのクリスティーナさんに向かって\nずいぶんな物言いだな。おもしろい☆","107131","0","4","0.5","0","1","4041"
"","93","","1","1.7","","4","","","","4042"
"1","3","","psy_talk_joy1","107131","0.2","4","","","","4043"
"","91","","","4041","","4","","","","4044"
"0","3","1","psy_talk_doya","107131","0.2","4","","0.2","psy_talk_doya_loop","4045"
"0","21","","vo_minigame_1008_drama_0409","vo_minigame_1008","","4","","","0","4046"
"8","11","0","なんとしてもおまえからお菓子を\n買わせてもらおう。","107131","0","4","0.5","0","1","4047"
"","91","","","0","","4","","","","4048"
"1","3","","psy_idle_wish","107131","0.2","4","","","","4049"
"1","3","","psy_miyako_panic1","119931","0.2","4","","","","4050"
"0","21","","vo_minigame_1008_drama_0403","vo_minigame_1008","","4","","","0","4051"
"6","11","0","なんでそうなるの！？\nいいから帰れなの！","119931","0","4","0.5","0","1","4052"
"","91","","","0","","4","","","","4053"
"","22","","0","0","","4","","","","4054"
"1","3","","psy_miyako_idle_panic","119931","0.2","4","","","","4055"
"0","3","1","psy_cris_approach_in","107131","0.2","4","","0","psy_cris_approach_loop","4056"
"0","21","","vo_minigame_1008_drama_0410","vo_minigame_1008","","4","","","0","4057"
"8","11","0","ほぅ、作りかけのプリンが\nあるではないか。\nうーむ……手作りの差し入れというのも\n喜ばれそうだな。","107131","0","4","0.5","0","1","4058"
"","93","","1","4","","4","","","","4059"
"0","3","1","psy_talk_arm_crossed","107131","0.2","4","","0","psy_talk_arm_crossed_loop","4060"
"","91","","","4058","","4","","","","4061"
"1","3","","psy_talk_joy1","107131","0.2","4","","","","4062"
"0","21","","vo_minigame_1008_drama_0411","vo_minigame_1008","","4","","","0","4063"
"8","11","0","よし！　ワタシがプリンを作ろう！\nおまえも手伝え。\nクリスマスの貸しを返してもらおう。","107131","0","4","0.5","0","1","4064"
"","91","","","0","","4","","","","4065"
"1","3","","psy_idle_joy1","107131","0.2","4","","","","4066"
"1","3","","psy_miyako_anger2","119931","0.2","4","","","","4067"
"0","21","","vo_minigame_1008_drama_0404","vo_minigame_1008","","4","","","0","4068"
"6","11","0","な、なんでそうなるのーー！？","119931","0","4","0.5","0","1","4069"
"","93","","","4","","4","","","","4070"
"","91","","","0","","4","","","","4071"
"100","1","-200","119931","1","1.7","5","psy_miyako_start","0","-300","5001"
"100","1","-220","104931","1","1.7","5","psy_walk","1","300","5002"
"0","31","1","11","1","1","5","","","0","5003"
"101","5","-200","1","1","1.7","5","psy_smoke_start","0","-300","5004"
"-220","2","0","185","104931","","5","","","2","5005"
"","93","","","2","","5","","","","5006"
"1","3","","psy_talk_wish","104931","0.2","5","","","","5007"
"0","21","","vo_minigame_1008_drama_0504","vo_minigame_1008","","5","","","0","5008"
"8","11","0","ここが弟くんとリノちゃんが\n手伝ってるっていうお菓子屋さんだね！\n弟くん！　お姉ちゃんが来たよ！！","104931","0","5","0.5","0","1","5009"
"","93","","1","4.3","","5","","","","5010"
"1","3","","psy_talk_joy1","104931","0.2","5","","","","5011"
"","91","","","5009","","5","","","","5012"
"1","3","","psy_idle_joy1","104931","0.2","5","","","","5013"
"0","3","1","psy_miyako_appear","119931","0","5","","0.2","psy_miyako_talk3","5014"
"0","3","0","psy_smoke_appear","1","0","5","","0","psy_smoke_start","5015"
"0","21","","vo_minigame_1008_drama_0501","vo_minigame_1008","","5","","","0","5016"
"6","11","0","うるさいの。\nいきなりなんなの？","119931","0","5","0.5","0","1","5017"
"","91","","","0","","5","","","","5018"
"","22","","0","0","","5","","","","5019"
"1","3","","psy_miyako_idle","119931","0.2","5","","","","5020"
"1","3","","psy_talk_joy1","104931","0.2","5","","","","5021"
"0","21","","vo_minigame_1008_drama_0505","vo_minigame_1008","","5","","","0","5022"
"8","11","0","あっ！　ミヤコちゃんだよね？\nリノちゃんから聞いてるよ！\n初めまして弟くんのお姉ちゃんだよ！","104931","0","5","0.5","0","1","5023"
"","93","","","4","","5","","","","5024"
"1","3","","psy_talk_wish","104931","0.2","5","","","","5025"
"","91","","","5023","","5","","","","5026"
"","91","","","0","","5","","","","5027"
"1","3","","psy_idle_wish","104931","0.2","5","","","","5028"
"1","3","","psy_miyako_anger3","119931","0.2","5","","","","5029"
"0","21","","vo_minigame_1008_drama_0502","vo_minigame_1008","","5","","","0","5030"
"6","11","0","オマエがアイツのお姉ちゃんか\nどうかなんてどうでもいいの。\nミヤコはプリン作りに忙しいの。","119931","0","5","0.5","0","1","5031"
"","93","","1","5","","5","","","","5032"
"0","3","1]","psy_miyako_arm_crossed_in","119931","0.2","5","","0","psy_miyako_arm_crossed_loop","5033"
"","91","","","5031","","5","","","","5034"
"","22","","0","0","","5","","","","5035"
"1","3","","psy_miyako_arm_crossed_idle","119931","0.2","5","","","","5036"
"1","3","","psy_talk_wish","104931","0.2","5","","","","5037"
"0","21","","vo_minigame_1008_drama_0506","vo_minigame_1008","","5","","","0","5038"
"8","11","0","どうでもいいって反応は初めてで\nお姉ちゃんそれはそれで\n傷ついちゃうな！\n愛の反対は無関心っていうし！","104931","0","5","0.5","0","1","5039"
"","91","","","0","","5","","","","5040"
"1","3","","psy_talk_joy2","104931","0.2","5","","","","5041"
"0","21","","vo_minigame_1008_drama_0507","vo_minigame_1008","","5","","","0","5042"
"8","11","0","よーし！\n今からミヤコちゃんに\n弟くんとお姉ちゃんの愛と運命の物語を\nお届けしちゃうよ！","104931","0","5","0.5","0","1","5043"
"","91","","","0","","5","","","","5044"
"1","3","","psy_talk_memory","104931","0.2","5","","","","5045"
"0","21","","vo_minigame_1008_drama_0508","vo_minigame_1008","","5","","","0","5046"
"8","11","0","まずはそう、運命の出会いから……","104931","0","5","0.5","0","1","5047"
"","91","","","0","","5","","","","5048"
"1","3","","psy_idle_memory","104931","0.2","5","","","","5049"
"1","3","","psy_miyako_sad1","119931","0.2","5","","","","5050"
"0","21","","vo_minigame_1008_drama_0503","vo_minigame_1008","","5","","","0","5051"
"6","11","0","（なんか始まったの……\nめんどくさいからミヤコは消えるの……）","119931","0","5","0.5","0","1","5052"
"","91","","","0","","5","","","","5053"
"","22","","0","0","","5","","","","5054"
"0","3","","psy_miyako_hide","119931","0.2","5","","","","5055"
"0","3","0","psy_smoke_hide","1","0","5","","0","psy_smoke_start","5056"
"","93","","","2","","5","","","","5057"
"","91","","","0","","5","","","","5058"
"100","1","-200","119931","1","1.7","6","psy_miyako_idle_thinking","1","-300","6001"
"100","1","-220","103131","1","1.7","6","psy_walk","1","300","6002"
"0","31","1","11","1","1","6","","","0","6003"
"2","12","0","17","119931","0","6","0","0","0","6004"
"-220","2","0","185","103131","","6","","","2","6005"
"","93","","","2","","6","","","","6006"
"1","3","","psy_talk_wish","103131","0.2","6","","","","6007"
"0","21","","vo_minigame_1008_drama_0605","vo_minigame_1008","","6","","","0","6008"
"8","11","0","こんにちは。\nミヤコさんがお菓子屋のお手伝いを\nしていると聞いたので、\n様子を見に来ました。","103131","0","6","0.5","0","1","6009"
"","91","","","0","","6","","","","6010"
"1","3","","psy_idle_wish","103131","0.2","6","","","","6011"
"","4","","0","119931","","6","","","","6012"
"0","3","1","psy_miyako_surprise2_in","119931","0.2","6","","0.2","psy_miyako_talk_joy2","6013"
"","93","","","1","","6","","","","6014"
"0","21","","vo_minigame_1008_drama_0601","vo_minigame_1008","","6","","","0","6015"
"6","11","0","シノブ！　いいところに来たの！\nミヤコちょっと困ってるの！","119931","0","6","0.5","0","1","6016"
"","93","","1","3","","6","","","","6017"
"1","3","","psy_miyako_talk2","119931","0.2","6","","","","6018"
"","91","","","6016","","6","","","","6019"
"","22","","0","0","","6","","","","6020"
"1","3","","psy_miyako_idle_sad","119931","0.2","6","","","","6021"
"1","3","","psy_talk_sad","103131","0.2","6","","","","6022"
"0","21","","vo_minigame_1008_drama_0606","vo_minigame_1008","","6","","","0","6023"
"8","11","0","どうしたんですか？\nあ、まさか売り物のプリンを\n食べてしまったんですか？\nそれなら一緒に謝りましょう。","103131","0","6","0.5","0","1","6024"
"","91","","","0","","6","","","","6025"
"1","3","","psy_idle_sad","103131","0.2","6","","","","6026"
"1","3","","psy_miyako_panic3","119931","0.2","6","","","","6027"
"0","21","","vo_minigame_1008_drama_0602","vo_minigame_1008","","6","","","0","6028"
"5","11","0","違うの！　ミヤコは今究極のプリンを\n作ろうとしてるの！\nでも、いいアイデアが\n浮かばなくなっちゃったの……","119931","0","6","0.5","0","1","6029"
"","93","","1","5.5","","6","","","","6030"
"1","3","","psy_miyako_sad2","119931","0.2","6","","","","6031"
"","91","","","6029","","6","","","","6032"
"","22","","0","0","","6","","","","6033"
"1","3","","psy_miyako_idle_sad","119931","0.2","6","","","","6034"
"0","3","1","psy_surprise","103131","0.2","6","","0.2","psy_talk_surprise1","6035"
"0","21","","vo_minigame_1008_drama_0607","vo_minigame_1008","","6","","","0","6036"
"8","11","0","ミヤコさんが……自分で……\nプリンを……","103131","0","6","0.5","0","1","6037"
"","91","","","0","","6","","","","6038"
"1","3","","psy_idle_surprise1","103131","0.2","6","","","","6039"
"1","3","","psy_miyako_talk2","119931","0.2","6","","","","6040"
"0","21","","vo_minigame_1008_drama_0603","vo_minigame_1008","","6","","","0","6041"
"6","11","0","どうしたの？","119931","0","6","0.5","0","1","6042"
"","91","","","0","","6","","","","6043"
"","22","","0","0","","6","","","","6044"
"1","3","","psy_miyako_idle","119931","0.2","6","","","","6045"
"1","3","","psy_talk_joy1","103131","0.2","6","","","","6046"
"0","21","","vo_minigame_1008_drama_0608","vo_minigame_1008","","6","","","0","6047"
"8","11","0","ふふっ、いえ。なんでもありませんよ。\n私で力になれるかはわかりませんが、\n精一杯手伝わせていただきます。","103131","0","6","0.5","0","1","6048"
"","93","","1","4","","6","","","","6049"
"1","3","","psy_talk_wish","103131","0.2","6","","","","6050"
"","91","","","6048","","6","","","","6051"
"1","3","","psy_idle_wish","103131","0.2","6","","","","6052"
"1","3","","psy_miyako_joy1","119931","0.2","6","","","","6053"
"0","21","","vo_minigame_1008_drama_0604","vo_minigame_1008","","6","","","0","6054"
"6","11","0","ありがとうなの！\nシノブとミヤコが揃えば最強なの！\n絶対においしいプリンが\nできるはずなの！","119931","0","6","0.5","0","1","6055"
"","93","","1","5","","6","","","","6056"
"0","3","1","psy_miyako_guts1_in","119931","0.2","6","","0","psy_miyako_guts1_loop","6057"
"","91","","","6055","","6","","","","6058"
"","22","","0","0","","6","","","","6059"
"","93","","","1.5","","6","","","","6060"
"","91","","","0","","6","","","","6061"
"100","1","-200","119931","1","1.7","7","psy_miyako_idle","0","-200","7001"
"100","5","-220","1","1","1.7","7","psy_fairy_idle","0","125","7002"
