427d3a29384f42218f2c1606b167a1db82a415d0bbd2bee49a5905daee67ea4c,e1aeca7709896a2189038fadbd492042d6469ff991b0260363b71ec4a2f03ee9,2a4eaf751a4d14f1be4002db669fbcf704c26c9e68ad17e2f4c3003e19346afe,06bd17d715d759b24591ec9f3ba32abede9af4d96be4b6bcd442e29ee115399f,57d1081b7ff7e11b4a7a76a4a24a00a04ec2b4513f07db59c38e2881cae8e24e,b0cb566c0fe1b2d8e621d44926ff3529d2468907f726a6fbd480ad9fa4ca4995,7601b3e9c0b708994d4969055bf1e3f3816672fdd793dbb1cd882e5ab2e38827,100de2b9aecc9766539ffdfd11e3f592e613278dfc1623ac0e240a5f34a451b7,9cbaf3f3882cbf98d1a87866b774533e5b43bfeb41a35e2c846d3afe0874f84e,72172f35ad8bfc3a27a46a55bc0652e63edc7c7bd58e4ed7fda0664f9922026b,dedb27bf86478d1a2fe688b6c3c291ef5ee96ead7f7b00db308a4e7611f16ff8
"","1","","","3","122711","1009801","0.2","lsv_talk_anger2","","1009801042"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0125","","1009801043"
"1","10","0","1","11","122711","1009801","0","ふ、ふざけて書くなんて…！\n私にはできないよっ。","0","1009801044"
"","","","","91","0","1009801","","","","1009801045"
"","1","","","3","122711","1009801","0.2","lsv_idle_anger2","","1009801046"
"","1","","","3","122911","1009801","0.2","lsv_talk_normal","","1009801047"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0126","","1009801048"
"1","10","0","1","11","122911","1009801","0","大丈夫だよ～\nミミは、キョウカちゃんの\n日記もいいなって思うもん♪","0","1009801049"
"","","","","91","0","1009801","","","","1009801050"
"","1","","","3","122911","1009801","0.2","lsv_idle_normal_joyR","","1009801051"
"lsv_talk_guts2_anger_loop","0","0.2","1","3","122711","1009801","0","lsv_talk_guts2_anger","","1009801052"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0127","","1009801053"
"1","10","0","1","11","122711","1009801","0","と、とにかくっ！　この日記は\nみゅ～ちゃんのことを知って\nいくためにも書くんだよ？","0","1009801054"
"","","","","91","0","1009801","","","","1009801055"
"","1","","","3","122711","1009801","0.2","lsv_talk_normal_worry","","1009801056"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0128","","1009801057"
"1","10","0","1","11","122711","1009801","0","どんな生き物かわからないと\n育てるのも大変だし…\nそのこと、忘れないようにね？","0","1009801058"
"","","","","91","0","1009801","","","","1009801059"
"","1","","","3","122711","1009801","0.2","lsv_idle_normal","","1009801060"
"lsv_idle_normal","0","0.2","1","3","122811","1009801","0","lsv_hello","","1009801061"
"lsv_idle_normal_joyR","0","0.2","1","3","122911","1009801","0","lsv_hello","","1009801062"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0129","","1009801063"
"1","10","0","1","11","122811","1009801","0","はーい！","0","1009801064"
"1","10","0","1","11","122911","1009801","0","はーい！","0","1009801065"
"","","","","91","0","1009801","","","","1009801066"
"","1","","","3","122711","1009801","0.2","lsv_idle_normal","","1009801067"
"","1","","","3","122911","1009801","0.2","lsv_talk_surprise","","1009801068"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0130","","1009801069"
"1","10","0","1","11","122911","1009801","0","みゅ～ちゃんはふしぎだよね～\nはじめて会ったときは\nびっくりしちゃった！","0","1009801070"
"","","","","91","0","1009801","","","","1009801071"
"","1","","","3","122911","1009801","0.2","lsv_idle_normal_suprise1","","1009801072"
"lsv_talk_cool_loop","0","0.2","1","3","122811","1009801","0","lsv_talk_cool","","1009801073"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0131","","1009801074"
"1","10","0","1","11","122811","1009801","0","タマゴも石みたいだったしね！\nねっ、にいちゃんは、\nどんな生き物だと思う？","0","1009801075"
"","","","","91","0","1009801","","","","1009801076"
"lsv_look_idle_normal","0","0.2","1","3","122711","1009801","0","lsv_choice","","1009801077"
"lsv_look_idle_normal","0","0.2","1","3","122811","1009801","0","lsv_choice","","1009801078"
"lsv_look_idle_normal","0","0.2","1","3","122911","1009801","0","lsv_choice","","1009801079"
"","","","","93","0.1","1009801","","0","","1009801080"
"0.33","-235","0.2","2","2","122711","1009801","","-452","","1009801081"
"0.33","-220","0.2","2","2","122811","1009801","","420","","1009801082"
"0.33","-250","0.2","2","2","122911","1009801","","545","","1009801083"
"","1","","","22","0","1009801","0.2","0","","1009801084"
"","0","","","103","怪獣の赤ちゃん。","1009801","","1009801088","","1009801085"
"","0","","","103","おっきなナメクジ。","1009801","","1009801102","","1009801086"
"","0","","","103","毒のある生き物。","1009801","","1009801115","","1009801087"
"lsv_idle_normal","0","0.2","1","3","122711","1009801","0","lsv_choice","","1009801088"
"lsv_idle_normal","0","0.2","1","3","122811","1009801","0","lsv_choice","","1009801089"
"lsv_idle_normal","0","0.2","1","3","122911","1009801","0","lsv_choice","","1009801090"
"","","","","93","0.1","1009801","","0","","1009801091"
"0.33","-235","0.2","2","2","122711","1009801","","-200","","1009801092"
"0.33","-220","0.2","2","2","122811","1009801","","100","","1009801093"
"0.33","-250","0.2","2","2","122911","1009801","","270","","1009801094"
"","","","","93","0.7","1009801","","0","","1009801095"
"","1","","","3","122911","1009801","0.2","lsv_talk_wish_joy","","1009801096"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0132","","1009801097"
"1","10","0","1","11","122911","1009801","0","怪獣さんっ？\nきっと、おっきくなるね～♪\nお城よりもおっきくなるかな？","0","1009801098"
"","","","","91","0","1009801","","","","1009801099"
"","1","","","3","122911","1009801","0.2","lsv_idle_normal","","1009801100"
"","","","","101","1009801129","1009801","","","","1009801101"
"lsv_idle_normal","0","0.2","1","3","122711","1009801","0","lsv_choice","","1009801102"
"lsv_idle_normal","0","0.2","1","3","122811","1009801","0","lsv_choice","","1009801103"
"lsv_idle_normal","0","0.2","1","3","122911","1009801","0","lsv_choice","","1009801104"
"","","","","93","0.1","1009801","","0","","1009801105"
"0.33","-235","0.2","2","2","122711","1009801","","-200","","1009801106"
"0.33","-220","0.2","2","2","122811","1009801","","100","","1009801107"
"0.33","-250","0.2","2","2","122911","1009801","","270","","1009801108"
"","","","","93","0.7","1009801","","0","","1009801109"
"","1","","","3","122811","1009801","0.2","lsv_talk_bitter_sad","","1009801110"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0133","","1009801111"
"1","10","0","1","11","122811","1009801","0","えー、ナメクジ～？\nあんまりかっこよくないけど…\n塩は近づけないようにしとく？","0","1009801112"
"","","","","91","0","1009801","","","","1009801113"
"","","","","101","1009801129","1009801","","","","1009801114"
"lsv_idle_normal","0","0.2","1","3","122711","1009801","0","lsv_choice","","1009801115"
"lsv_idle_normal","0","0.2","1","3","122811","1009801","0","lsv_choice","","1009801116"
"lsv_idle_normal","0","0.2","1","3","122911","1009801","0","lsv_choice","","1009801117"
"","","","","93","0.1","1009801","","0","","1009801118"
"0.33","-235","0.2","2","2","122711","1009801","","-200","","1009801119"
"0.33","-220","0.2","2","2","122811","1009801","","100","","1009801120"
"0.33","-250","0.2","2","2","122911","1009801","","270","","1009801121"
"","","","","93","0.7","1009801","","0","","1009801122"
"","1","","","3","122711","1009801","0.2","lsv_talk_normal_worry","","1009801123"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0134","","1009801124"
"1","10","0","1","11","122711","1009801","0","みんなでナデナデしたから\nそれはありえませんよ。\nなにより…かわいいですし。","0","1009801125"
"","","","","91","0","1009801","","","","1009801126"
"","1","","","3","122711","1009801","0.2","lsv_idle_normal","","1009801127"
"","","","","101","1009801129","1009801","","","","1009801128"
"","","","","91","0","1009801","","","","1009801129"
"lsv_talk_arm_crossed_loop_joy","0","0.2","1","3","122811","1009801","0","lsv_talk_arm_crossed_joy","","1009801130"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0135","","1009801131"
"1","10","0","1","11","122811","1009801","0","まあ、なんにしてもさ？\n育ててみればわかるよ！\nということで、がんばろー！","0","1009801132"
"","","","","91","0","1009801","","","","1009801133"
"lsv_idle_normal_joy","0","0.2","1","3","122811","1009801","0","lsv_handsup_joy","","1009801134"
"lsv_idle_normal_joy","0","0.2","1","3","122911","1009801","0","lsv_handsup_joy","","1009801135"
"lsv_idle_normal_joy","0","0.2","1","3","122711","1009801","0","lsv_handsup_joy2","","1009801136"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0136","","1009801137"
"1","10","0","1","11","122811","1009801","0","おー！","0","1009801138"
"1","10","0","1","11","122911","1009801","0","おー！","0","1009801139"
"1","10","0","1","11","122711","1009801","0","おー！","0","1009801140"
"","","","","91","0","1009801","","","","1009801141"
"","","","","22","0","1009801","","0.2","","1009801142"
"","","","","93","0.2","1009801","","","","1009801143"
"","","","","102","","1009801","","","","1009801144"
"0","1","0","0","12","122911","1009801","0","7","0","1009801145"
"","1","","","3","122911","1009801","0.2","lsv_talk_joy3","","1009801146"
"","","","","93","3","1009801","","0","","1009801147"
"","1","","","3","122911","1009801","0.2","lsv_idle_normal_joyR","","1009801148"
"0","1","0","0","12","122811","1009801","0","6","0","1009801149"
"lsv_talk_guts1_loop","0","0.2","1","3","122811","1009801","0","lsv_talk_guts1","","1009801150"
"","","","","93","3","1009801","","0","","1009801151"
"","1","","","3","122811","1009801","0.2","lsv_idle_joy","","1009801152"
"0","1","0","0","12","122711","1009801","0","10","0","1009801153"
"","1","","","3","122711","1009801","0.2","lsv_talk_joy1_normal","","1009801154"
"","","","","93","3","1009801","","0","","1009801155"
"","1","","","3","122711","1009801","0.2","lsv_idle_normal_joy","","1009801156"
"","","","","101","1009801145","1009801","","","","1009801157"
"1","1","0","0","6","333","1009801","1","1","","1009801158"
"","","","","4","122711","1009801","","1","","1009801159"
"","1","","","3","122711","1009801","0.2","lsv_run","","1009801160"
"0.8","-235","","0","2","122711","1009801","","-750","","1009801161"
"","","","","4","122811","1009801","","0","","1009801162"
"","1","","","3","122811","1009801","0.2","lsv_run","","1009801163"
"0.8","-220","","0","2","122811","1009801","","750","","1009801164"
"","","","","4","122911","1009801","","0","","1009801165"
"","1","","","3","122911","1009801","0.2","lsv_run","","1009801166"
"0.8","-250","","0","2","122911","1009801","","850","","1009801167"
"","","","","93","0.6","1009801","","","","1009801168"
"1","1","0","0","6","122711","1009801","0.2","1","","1009801169"
"1","1","0","0","6","122811","1009801","0.2","1","","1009801170"
"1","1","0","0","6","122911","1009801","0.2","1","","1009801171"
"","","","","91","0","1009801","","","","1009801172"
"-650","102","0","-235","1","1","1009802","1.95","122911","lsv_idle_normal","1009802001"
"650","100","1","-220","1","1","1009802","1.95","122811","lsv_idle_normal","1009802002"
"750","101","1","-250","1","1","1009802","1.95","122711","lsv_idle_normal","1009802003"
"0","0","0","0","5","1","1009802","1","333","lsv_white_loop","1009802004"
"1","1","0","0","6","333","1009802","0","1","","1009802005"
"1","1","0","0","6","122911","1009802","0","1","","1009802006"
"1","1","0","0","6","122811","1009802","0","1","","1009802007"
"1","1","0","0","6","122711","1009802","0","1","","1009802008"
"","","","","93","1","1009802","","0","","1009802009"
"1","1","0","0.4","6","333","1009802","0.8","1","","1009802010"
"","1","","","3","122911","1009802","0.2","lsv_walk","","1009802011"
"2","-235","","0","2","122911","1009802","","-200","","1009802012"
"1","1","0","1","6","122911","1009802","0.4","1","","1009802013"
"","1","","","3","122811","1009802","0.2","lsv_walk","","1009802014"
"2","-220","","0","2","122811","1009802","","100","","1009802015"
"1","1","0","1","6","122811","1009802","0.4","1","","1009802016"
"","1","","","3","122711","1009802","0.2","lsv_walk","","1009802017"
"2","-250","","0","2","122711","1009802","","270","","1009802018"
"1","1","0","1","6","122711","1009802","0.4","1","","1009802019"
"","","","","93","2","1009802","","0","","1009802020"
"","1","","","3","122911","1009802","0.2","lsv_idle_normal","","1009802021"
"","1","","","3","122811","1009802","0.2","lsv_idle_normal","","1009802022"
"","1","","","3","122711","1009802","0.2","lsv_idle_normal","","1009802023"
"","","","","93","0.6","1009802","","0","","1009802024"
"","1","","","3","122811","1009802","0.2","lsv_talk_sad_dead","","1009802025"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0221","","1009802026"
"1","10","0","1","11","122811","1009802","0","もう一回海に行ってみたけど\nみゅ～ちゃんの家族は\n見つからなかったねー","0","1009802027"
"","","","","91","0","1009802","","","","1009802028"
"","1","","","3","122811","1009802","0.2","lsv_idle_sad_talk1","","1009802029"
"","1","","","3","122711","1009802","0.2","lsv_talk_thinking_sadR","","1009802030"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0222","","1009802031"
"1","10","0","1","11","122711","1009802","0","うん。それどころか、\nわからないことが\nますます増えちゃったね。","0","1009802032"
"","","","","91","0","1009802","","","","1009802033"
"","1","","","3","122711","1009802","0.2","lsv_idle_normal_suprise1","","1009802034"
"","1","","","3","122811","1009802","0.2","lsv_idle_normal","","1009802035"
"","1","","","3","122911","1009802","0.2","lsv_talk_normal","","1009802036"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0223","","1009802037"
"1","10","0","1","11","122911","1009802","0","でも、みゅ～ちゃんの\nごはんのことはわかったよ～\nミミたちと同じのでいいって♪","0","1009802038"
"","","","","91","0","1009802","","","","1009802039"
"","1","","","3","122911","1009802","0.2","lsv_idle_normal_joyR","","1009802040"
"","1","","","3","122711","1009802","0.2","lsv_talk_normal","","1009802041"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0224","","1009802042"
"1","10","0","1","11","122711","1009802","0","あ、確かにそうだね。\nそのことがわかったのは\nよかったと思う。","0","1009802043"
"","","","","91","0","1009802","","","","1009802044"
"","1","","","3","122711","1009802","0.2","lsv_idle_normal","","1009802045"
"","1","","","3","122911","1009802","0.2","lsv_talk_surprise","","1009802046"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0225","","1009802047"
"1","10","0","1","11","122911","1009802","0","みゅ～ちゃんは、どんな\nごはんが好きになるのかな～？\nおにいちゃんならわかる？","0","1009802048"
"","","","","91","0","1009802","","","","1009802049"
"","1","","","3","122911","1009802","0.2","lsv_idle_surprise_talkjoy","","1009802050"
"lsv_look_idle_normal","0","0.2","1","3","122911","1009802","0","lsv_choice","","1009802051"
"lsv_look_idle_normal","0","0.2","1","3","122811","1009802","0","lsv_choice","","1009802052"
"lsv_look_idle_normal","0","0.2","1","3","122711","1009802","0","lsv_choice","","1009802053"
"","","","","93","0.1","1009802","","0","","1009802054"
"0.33","-235","0.2","2","2","122911","1009802","","-452","","1009802055"
"0.33","-220","0.2","2","2","122811","1009802","","420","","1009802056"
"0.33","-250","0.2","2","2","122711","1009802","","545","","1009802057"
"","1","","","22","0","1009802","0.2","0","","1009802058"
"","0","","","103","ケーキ。","1009802","","1009802062","","1009802059"
"","0","","","103","リンゴ。","1009802","","1009802086","","1009802060"
"","0","","","103","パン。","1009802","","1009802109","","1009802061"
"lsv_idle_normal","0","0.2","1","3","122911","1009802","0","lsv_choice","","1009802062"
"lsv_idle_normal","0","0.2","1","3","122811","1009802","0","lsv_choice","","1009802063"
"lsv_idle_normal","0","0.2","1","3","122711","1009802","0","lsv_choice","","1009802064"
"","","","","93","0.1","1009802","","0","","1009802065"
"0.33","-235","0.2","2","2","122911","1009802","","-200","","1009802066"
"0.33","-220","0.2","2","2","122811","1009802","","100","","1009802067"
"0.33","-250","0.2","2","2","122711","1009802","","270","","1009802068"
"","","","","93","0.7","1009802","","0","","1009802069"
"","1","","","3","122911","1009802","0.2","lsv_talk_joy3","","1009802070"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0226","","1009802071"
"1","10","0","1","11","122911","1009802","0","ケーキ、おいしいもんね～\nミミもだ～い好きっ♪","0","1009802072"
"","","","","91","0","1009802","","","","1009802073"
"","1","","","3","122911","1009802","0.2","lsv_idle_normal_joy","","1009802074"
"","1","","","3","122811","1009802","0.2","lsv_talk_wish_joy","","1009802075"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0227","","1009802076"
"1","10","0","1","11","122811","1009802","0","ケーキ…それなら\nどのケーキが好きなのかも\n調べたほうがいいね、絶対！","0","1009802077"
"","","","","91","0","1009802","","","","1009802078"
"","1","","","3","122811","1009802","0.2","lsv_idle_wish_joy","","1009802079"
"lsv_talk_doya_shy_loop","0","0.2","1","3","122711","1009802","0","lsv_talk_doya_shy","","1009802080"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0228","","1009802081"
"1","10","0","1","11","122711","1009802","0","そう言って、いろんなケーキを\n食べたいだけなんじゃ…\nでも、私も賛成っ♪","0","1009802082"
"","","","","91","0","1009802","","","","1009802083"
"","1","","","3","122711","1009802","0.2","lsv_idle_doya","","1009802084"
"","","","","101","1009802133","1009802","","","","1009802085"
"lsv_idle_normal","0","0.2","1","3","122911","1009802","0","lsv_choice","","1009802086"
"lsv_idle_normal","0","0.2","1","3","122811","1009802","0","lsv_choice","","1009802087"
"lsv_idle_normal","0","0.2","1","3","122711","1009802","0","lsv_choice","","1009802088"
"","","","","93","0.1","1009802","","0","","1009802089"
"0.33","-235","0.2","2","2","122911","1009802","","-200","","1009802090"
"0.33","-220","0.2","2","2","122811","1009802","","100","","1009802091"
"0.33","-250","0.2","2","2","122711","1009802","","270","","1009802092"
"","","","","93","0.7","1009802","","0","","1009802093"
"","1","","","3","122711","1009802","0.2","lsv_talk_thinking_joyR","","1009802094"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0229","","1009802095"
"1","10","0","1","11","122711","1009802","0","リンゴ…くだものですか。\n健康的でいいと思います。","0","1009802096"
"","","","","91","0","1009802","","","","1009802097"
"","1","","","3","122711","1009802","0.2","lsv_idle_normal_joy","","1009802098"
"lsv_talk_guts2_joy_loop","0","0.2","1","3","122911","1009802","0","lsv_talk_guts2_joy","","1009802099"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0230","","1009802100"
"1","10","0","1","11","122911","1009802","0","ミミ、ウサギさんの形に\n切ったリンゴ好き～♪","0","1009802101"
"","","","","91","0","1009802","","","","1009802102"
"","1","","","3","122911","1009802","0.2","lsv_idle_normal_joyR","","1009802103"
"lsv_talk_guts2_loop","0","0.2","1","3","122811","1009802","0","lsv_talk_guts2","","1009802104"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0231","","1009802105"
"1","10","0","1","11","122811","1009802","0","ミソギたちも切ってあげよっ！\nむずかしそうだけど、\nきっとなんとかなるって！","0","1009802106"
"","","","","91","0","1009802","","","","1009802107"
"","","","","101","1009802133","1009802","","","","1009802108"
"lsv_idle_normal","0","0.2","1","3","122911","1009802","0","lsv_choice","","1009802109"
"lsv_idle_normal","0","0.2","1","3","122811","1009802","0","lsv_choice","","1009802110"
"lsv_idle_normal","0","0.2","1","3","122711","1009802","0","lsv_choice","","1009802111"
"","","","","93","0.1","1009802","","0","","1009802112"
"0.33","-235","0.2","2","2","122911","1009802","","-200","","1009802113"
"0.33","-220","0.2","2","2","122811","1009802","","100","","1009802114"
"0.33","-250","0.2","2","2","122711","1009802","","270","","1009802115"
"","","","","93","0.7","1009802","","0","","1009802116"
"","1","","","3","122811","1009802","0.2","lsv_talk_normal_worry","","1009802117"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0232","","1009802118"
"1","10","0","1","11","122811","1009802","0","パンかぁ…なんか普通だなー\nミソギたちも毎日食べてるし","0","1009802119"
"","","","","91","0","1009802","","","","1009802120"
"","1","","","3","122811","1009802","0.2","lsv_idle_normal_suprise1","","1009802121"
"","1","","","3","122711","1009802","0.2","lsv_talk_normal","","1009802122"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0233","","1009802123"
"1","10","0","1","11","122711","1009802","0","でも、嫌いだったら毎日は\n食べられないよ。\nそれに、アレンジもできるし。","0","1009802124"
"","","","","91","0","1009802","","","","1009802125"
"","1","","","3","122711","1009802","0.2","lsv_idle_normal","","1009802126"
"","1","","","3","122911","1009802","0.2","lsv_talk_wish_joy","","1009802127"
"0","0","","","21","vo_lsv","1009802","","vo_lsv_0234","","1009802128"
"1","10","0","1","11","122911","1009802","0","サンドイッチなら、\nミミたちにも作れるかも！\n作ってみよ～♪","0","1009802129"
"","","","","91","0","1009802","","","","1009802130"
"","1","","","3","122911","1009802","0.2","lsv_idle_wish_joyR","","1009802131"
"","","","","101","1009802133","1009802","","","","1009802132"
"","","","","91","0","1009802","","","","1009802133"
"","","","","102","","1009802","","","","1009802134"
"","","","","22","0","1009802","","0.2","","1009802135"
"","","","","93","0.2","1009802","","","","1009802136"
"0","1","0","0","12","122811","1009802","0","11","0","1009802137"
"lsv_surprise3_kira_loop","0","0.2","1","3","122811","1009802","0.2","lsv_surprise3_kira","","1009802138"
"","","","","93","3","1009802","","0","","1009802139"
"","1","","","3","122811","1009802","0.2","lsv_idle_normal_joy","","1009802140"
"0","1","0","0","12","122711","1009802","0","10","0","1009802141"
"","1","","","3","122711","1009802","0.2","lsv_talk_joy3_dere","","1009802142"
"","","","","93","3","1009802","","0","","1009802143"
"","1","","","3","122711","1009802","0.2","lsv_idle_normal_joy","","1009802144"
"0","1","0","0","12","122911","1009802","0","7","0","1009802145"
"","1","","","3","122911","1009802","0.2","lsv_talk_memory","","1009802146"
"","","","","93","3","1009802","","0","","1009802147"
"","1","","","3","122911","1009802","0.2","lsv_idle_normal_joyR","","1009802148"
"","","","","101","1009802137","1009802","","","","1009802149"
"1","1","0","0","6","333","1009802","1","1","","1009802150"
"","","","","4","122911","1009802","","1","","1009802151"
"","1","","","3","122911","1009802","0.2","lsv_run","","1009802152"
"0.8","-235","","0","2","122911","1009802","","-750","","1009802153"
"","","","","4","122811","1009802","","0","","1009802154"
"","1","","","3","122811","1009802","0.2","lsv_run","","1009802155"
"0.8","-220","","0","2","122811","1009802","","750","","1009802156"
"","","","","4","122711","1009802","","0","","1009802157"
"","1","","","3","122711","1009802","0.2","lsv_run","","1009802158"
"0.8","-250","","0","2","122711","1009802","","850","","1009802159"
"","","","","93","0.6","1009802","","","","1009802160"
"1","1","0","0","6","122911","1009802","0.2","1","","1009802161"
"1","1","0","0","6","122811","1009802","0.2","1","","1009802162"
"1","1","0","0","6","122711","1009802","0.2","1","","1009802163"
"","","","","91","0","1009802","","","","1009802164"
"-700","101","0","-220","1","1","1009803","1.95","100411","lsv_idle_normal","1009803001"
"-550","100","0","-235","1","1","1009803","1.95","103611","lsv_idle_normal","1009803002"
"-800","102","0","-250","1","1","1009803","1.95","102011","lsv_idle_normal","1009803003"
"0","0","0","0","5","1","1009803","1","333","lsv_white_loop","1009803004"
"1","1","0","0","6","333","1009803","0","1","","1009803005"
"110","-630","","1.3","31","3","1009803","0","13","","1009803006"
"1","1","0","0","6","100411","1009803","0","1","","1009803007"
"1","1","0","0","6","103611","1009803","0","1","","1009803008"
"1","1","0","0","6","102011","1009803","0","1","","1009803009"
"","","","","93","1","1009803","","0","","1009803010"
"1","1","0","0.4","6","333","1009803","0.8","1","","1009803011"
"","1","","","3","100411","1009803","0.2","lsv_walk_glad","","1009803012"
"2","-220","","0","2","100411","1009803","","-100","","1009803013"
"1","1","0","1","6","100411","1009803","0.4","1","","1009803014"
"","1","","","3","103611","1009803","0.2","lsv_walk_glad2","","1009803015"
"2.2","-235","","0","2","103611","1009803","","100","","1009803016"
"1","1","0","1","6","103611","1009803","0.4","1","","1009803017"
"","1","","","3","102011","1009803","0.2","lsv_walk_glad","","1009803018"
"2","-250","","0","2","102011","1009803","","-270","","1009803019"
"1","1","0","1","6","102011","1009803","0.4","1","","1009803020"
"","","","","32","13","1009803","","1","","1009803021"
"2","110","","0","33","13","1009803","","-180","","1009803022"
"","","","","93","2","1009803","","","","1009803023"
"","","","","32","13","1009803","","0","","1009803024"
"","1","","","3","100411","1009803","0.2","lsv_idle_normal","","1009803025"
"","1","","","3","102011","1009803","0.2","lsv_idle_normal","","1009803026"
"","","","","93","0.2","1009803","","","","1009803027"
