e6b0197817de388976827d89516b0daef02c45924796d54acf0fa0ff76ebec1a,5c041473d839cf6eefda8763f2be602de6b66337a920a9274bb622fec795d7ee,ed96c27ba381418c5f70f5832ad2b6bebc2990bc9d8b77ccbb92f858377c96a1,6c117619b70f859ad86989373501a3faeb52a1a47ac9c8aed82d9b560d0d3c4d,3a4953afdca74b2a7ffc4d4112409d2e804dcc557f9c3ab040f925bf2618aa10,9fefa7cf9c240cbee1d85e716479e6c73b097ced3d3497811ae37fcef9be2d0f,512c3334d36aff60a48e06fc318599bbb50dcff99db62610df8f0ed579ff4e85,4c4df73651e9ea7d4328235d3aa0608c49349d17cf9351835b7bf4bcf73e0622
"100706","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1007","22400000000000","100706"
"100707","36000","1","魔法攻撃アップ90秒","バトル開始から90秒間、味方の魔法攻撃力がアップ","1007","21560000000000","100707"
"100708","36000","1","火傷ダメージ10秒","バトル開始から10秒間、敵が火傷状態になる","1007","20720000000000","100708"
"100709","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1007","19600000000000","100709"
"100710","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1007","18760000000000","100710"
"100711","36000","1","毎秒ＴＰアップ90秒","バトル開始から90秒間、味方のＴＰが毎秒アップ","1007","17920000000000","100711"
"100712","36000","1","火傷ダメージ10秒","バトル開始から10秒間、敵が火傷状態になる","1007","16800000000000","100712"
"100713","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1007","15960000000000","100713"
"100714","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1007","15120000000000","100714"
"100715","36000","1","魔法攻撃アップ90秒","バトル開始から90秒間、味方の魔法攻撃力がアップ","1007","14280000000000","100715"
"100716","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1007","13160000000000","100716"
"100717","36000","1","ＴＰ100アップ","バトル開始時、味方のＴＰが100アップ","1007","12320000000000","100717"
"100718","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1007","11480000000000","100718"
"100719","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1007","10360000000000","100719"
"100720","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1007","9520000000000","100720"
"100721","36000","1","毎秒ＴＰアップ90秒","バトル開始から90秒間、味方のＴＰが毎秒アップ","1007","8680000000000","100721"
"100722","36000","1","ＴＰ150アップ","バトル開始時、味方のＴＰが150アップ","1007","7560000000000","100722"
"100723","36000","1","火傷ダメージ10秒","バトル開始から10秒間、敵が火傷状態になる","1007","6720000000000","100723"
"100724","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1007","5880000000000","100724"
"100725","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1007","5040000000000","100725"
"100726","36000","1","ＴＰ150アップ","バトル開始時、味方のＴＰが150アップ","1007","3920000000000","100726"
"100727","36000","1","無敵10秒","バトル開始から10秒間、味方が無敵状態になる","1007","3080000000000","100727"
"100728","36000","1","火傷ダメージ10秒","バトル開始から10秒間、敵が火傷状態になる","1007","2240000000000","100728"
"100729","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1007","1120000000000","100729"
"100730","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1007","280000000000","100730"
"100801","36000","1","毒ダメージ10秒","バトル開始から10秒間、敵が毒状態になる","1008","43650000000000","100801"
"100802","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1008","41850000000000","100802"
"100803","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1008","40500000000000","100803"
"100804","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1008","39150000000000","100804"
"100805","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1008","37800000000000","100805"
"100806","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1008","36000000000000","100806"
"100807","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1008","34650000000000","100807"
"100808","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1008","33300000000000","100808"
"100809","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1008","31500000000000","100809"
"100810","36000","1","魔法攻撃ダウン90秒","バトル開始から90秒間、敵の魔法攻撃力がダウン","1008","30150000000000","100810"
"100811","36000","1","毒ダメージ10秒","バトル開始から10秒間、敵が毒状態になる","1008","28800000000000","100811"
"100812","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1008","27000000000000","100812"
"100813","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1008","25650000000000","100813"
"100814","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1008","24300000000000","100814"
"100815","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1008","22950000000000","100815"
"100816","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1008","21150000000000","100816"
"100817","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1008","19800000000000","100817"
"100818","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1008","18450000000000","100818"
"100819","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1008","16650000000000","100819"
"100820","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1008","15300000000000","100820"
"100821","36000","1","毒ダメージ10秒","バトル開始から10秒間、敵が毒状態になる","1008","13950000000000","100821"
"100822","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1008","12150000000000","100822"
"100823","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1008","10800000000000","100823"
"100824","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1008","9450000000000","100824"
"100825","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1008","8100000000000","100825"
"100826","36000","1","ＴＰ150アップ","バトル開始時、味方のＴＰが150アップ","1008","6300000000000","100826"
"100827","36000","1","無敵10秒","バトル開始から10秒間、味方が無敵状態になる","1008","4950000000000","100827"
"100828","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1008","3600000000000","100828"
"100829","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1008","1800000000000","100829"
"100830","36000","1","毒ダメージ10秒","バトル開始から10秒間、敵が毒状態になる","1008","450000000000","100830"
