562453eb5e0ae2ae6766e26d2cde9ec3c972f7ffa7a35c4d27c1c97a5ac1c949,1bc83efaa8cbc0d89ec9f63f32363a54f06bcd7571dc214ea3174084824c616a,cfe188b5b1c026e3224b6f5fd9500cb7541ac39928d06955ecbf97391e87051c,1973c28fbde9e19a989b252d9b4a43f8d753b056c3ff574596d904622c09c306,2f7912cdba0846ef4c9963a31e10333b40051751d92504dc7eb7fa477a2bf252,885f2dc96cec72a12e25a9163c59c5a0d9968b9f17a247f874f1f3ad00ec78ea,b4dd02ff64f48f59a36700c052252a38504d557778d549dca9a938879c6bb743,ae24ed0fe8114057e9d141b53a9c7219d145eaa1d6db46983a37c3f7ae00a34e,0bf7034bc115f247b1c0a15263d53f00e685fe739235babb678a9a80c05ee499,25a64722526480cd6ed02a8a1244095af272075172170195ee84cc2bf89d43e6,b2752f52e1221c5037833f6cda7dcc916d82a97667286fc9398759aabe1c15ad,637122460b851a03d9e409b63d6ea73c95e70379598c94c7da04bf52c8f7b063,99fb1e6d3e2d14ee075f5558440973c02ec87afb4b8550da386d518b78034039,7c86cbcb9f476dbaada07f8b6000ef6fbf987f9517da499ea078091c3f10acf8,233038c566f79f1b7e24d4f235219296fbbaca00d414fb6c884d878d61083793
"スペシャルバトルのボスのHPを600000まで減らそう","9013","81019006","2019/07/18 14:59:59","81019006","0","3900000","0","2019/06/30 12:00:00","1","6011","601","0","113","10019"
"スペシャルバトルのボスを討伐しよう","9013","81019007","2019/07/18 14:59:59","81019007","0","4500000","0","2019/06/30 12:00:00","1","6011","601","0","115","10019"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう ","9015","81019008","2019/07/18 14:59:59","81019008","5","1","0","2019/06/30 12:00:00","0","6011","601","0","118","10019"
"スペシャルバトルのボスのHPを2550000まで減らそう","9013","81021001","2019/08/17 14:59:59","81021001","0","600000","0","2019/07/31 12:00:00","1","6011","601","0","103","10021"
"スペシャルバトルのモード1をクリアしよう","9013","81021002","2019/08/17 14:59:59","81021002","0","1260000","0","2019/07/31 12:00:00","1","6011","601","0","104","10021"
"マジムンの分身体を15体倒そう","9014","81021003","2019/08/17 14:59:59","81021003","0","15","0","2019/07/31 12:00:00","0","6011","601","0","105","10021"
"スペシャルバトルのモード2をクリアしよう","9014","81021004","2019/08/17 14:59:59","81021004","0","30","0","2019/07/31 12:00:00","0","6011","601","0","106","10021"
"スペシャルバトルのボスのHPを1450000まで減らそう","9013","81021005","2019/08/17 14:59:59","81021005","0","1700000","0","2019/07/31 12:00:00","1","6011","601","0","111","10021"
"スペシャルバトルのボスのHPを850000まで減らそう","9013","81021006","2019/08/17 14:59:59","81021006","0","2300000","0","2019/07/31 12:00:00","1","6011","601","0","113","10021"
"スペシャルバトルのボスを討伐しよう","9013","81021007","2019/08/17 14:59:59","81021007","0","3150000","0","2019/07/31 12:00:00","1","6011","601","0","115","10021"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう ","9015","81021008","2019/08/17 14:59:59","81021008","5","1","0","2019/07/31 12:00:00","0","6011","601","0","118","10021"
"スペシャルバトルのボスのHPを3150000まで減らそう","9013","81023001","2019/09/18 14:59:59","81023001","0","450000","0","2019/08/31 12:00:00","1","6011","601","0","103","10023"
"スペシャルバトルのMODE1をクリアしよう","9013","81023002","2019/09/18 14:59:59","81023002","0","900000","0","2019/08/31 12:00:00","1","6011","601","0","104","10023"
"スペシャルバトルのボスのHPを2100000まで減らそう","9013","81023003","2019/09/18 14:59:59","81023003","0","1500000","0","2019/08/31 12:00:00","1","6011","601","0","105","10023"
"スペシャルバトルのボスのHPを1500000まで減らそう","9013","81023004","2019/09/18 14:59:59","81023004","0","2100000","0","2019/08/31 12:00:00","1","6011","601","0","106","10023"
"スペシャルバトルのMODE2をクリアしよう","9013","81023005","2019/09/18 14:59:59","81023005","0","2700000","0","2019/08/31 12:00:00","1","6011","601","0","111","10023"
"スペシャルバトルのボスのHPを450000まで減らそう","9013","81023006","2019/09/18 14:59:59","81023006","0","3150000","0","2019/08/31 12:00:00","1","6011","601","0","113","10023"
"スペシャルバトルのボスを討伐しよう","9013","81023007","2019/09/18 14:59:59","81023007","0","3600000","0","2019/08/31 12:00:00","1","6011","601","0","115","10023"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","9015","81023008","2019/09/18 14:59:59","81023008","5","1","0","2019/08/31 12:00:00","0","6011","601","0","118","10023"
"ミソギとミミとキョウカのシャドウを倒そう","9001","81025001","2019/10/18 14:59:59","81025001","0","3","0","2019/09/30 12:00:00","0","6011","601","0","103","10025"
"スペシャルバトルのボスのHPを3150000まで減らそう","9013","81025002","2019/10/18 14:59:59","81025002","0","600000","0","2019/09/30 12:00:00","1","6011","601","0","104","10025"
"スペシャルバトルのボスのHPを2550000まで減らそう","9013","81025003","2019/10/18 14:59:59","81025003","0","1200000","0","2019/09/30 12:00:00","1","6011","601","0","105","10025"
"スペシャルバトルのMODE2をクリアしよう","9016","81025004","2019/10/18 14:59:59","81025004","2","1","0","2019/09/30 12:00:00","0","6011","601","0","106","10025"
"スペシャルバトルのボスのHPを1275000まで減らそう","9013","81025005","2019/10/18 14:59:59","81025005","0","2475000","0","2019/09/30 12:00:00","1","6011","601","0","111","10025"
"スペシャルバトルのボスのHPを675000まで減らそう","9013","81025006","2019/10/18 14:59:59","81025006","0","3075000","0","2019/09/30 12:00:00","1","6011","601","0","113","10025"
"スペシャルバトルのボスを討伐しよう","9016","81025007","2019/10/18 14:59:59","81025007","3","1","0","2019/09/30 12:00:00","0","6011","601","0","115","10025"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","9015","81025008","2019/10/18 14:59:59","81025008","5","1","0","2019/09/30 12:00:00","0","6011","601","0","118","10025"
"スペシャルバトルのボスのHPを3250000まで減らそう","9013","81027001","2019/11/18 14:59:59","81027001","0","500000","0","2019/10/31 12:00:00","1","6011","601","0","103","10027"
"スペシャルバトルのボスのHPを2750000まで減らそう","9013","81027002","2019/11/18 14:59:59","81027002","0","1000000","0","2019/10/31 12:00:00","1","6011","601","0","104","10027"
"スペシャルバトルのボスのHPを2250000まで減らそう","9013","81027003","2019/11/18 14:59:59","81027003","0","1500000","0","2019/10/31 12:00:00","1","6011","601","0","105","10027"
"MODE2のお供のモンスターを全て倒そう","9016","81027004","2019/11/18 14:59:59","81027004","2","1","0","2019/10/31 12:00:00","0","6011","601","0","106","10027"
"スペシャルバトルのボスのHPを1450000まで減らそう","9013","81027005","2019/11/18 14:59:59","81027005","0","2300000","0","2019/10/31 12:00:00","1","6011","601","0","111","10027"
"スペシャルバトルのボスのHPを650000まで減らそう","9013","81027006","2019/11/18 14:59:59","81027006","0","3100000","0","2019/10/31 12:00:00","1","6011","601","0","113","10027"
"スペシャルバトルのボスを討伐しよう","9016","81027007","2019/11/18 14:59:59","81027007","3","1","0","2019/10/31 12:00:00","0","6011","601","0","115","10027"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","9015","81027008","2019/11/18 14:59:59","81027008","5","1","0","2019/10/31 12:00:00","0","6011","601","0","118","10027"
"クリスティーナとノゾミとイリヤのシャドウを倒そう","9001","81029001","2019/12/18 14:59:59","81029001","0","3","0","2019/11/30 12:00:00","0","6011","601","0","103","10029"
"スペシャルバトルのボスのHPを4300000まで減らそう","9013","81029002","2019/12/18 14:59:59","81029002","0","700000","0","2019/11/30 12:00:00","1","6011","601","0","104","10029"
"スペシャルバトルのボスのHPを3650000まで減らそう","9013","81029003","2019/12/18 14:59:59","81029003","0","1350000","0","2019/11/30 12:00:00","1","6011","601","0","105","10029"
"スペシャルバトルのMODE2をクリアしよう","9016","81029004","2019/12/18 14:59:59","81029004","2","1","0","2019/11/30 12:00:00","0","6011","601","0","106","10029"
"スペシャルバトルのボスのHPを2000000まで減らそう","9013","81029005","2019/12/18 14:59:59","81029005","0","3000000","0","2019/11/30 12:00:00","1","6011","601","0","111","10029"
"スペシャルバトルのボスのHPを1000000まで減らそう","9013","81029006","2019/12/18 14:59:59","81029006","0","4000000","0","2019/11/30 12:00:00","1","6011","601","0","113","10029"
"スペシャルバトルのボスを討伐しよう","9016","81029007","2019/12/18 14:59:59","81029007","3","1","0","2019/11/30 12:00:00","0","6011","601","0","115","10029"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","9015","81029008","2019/12/18 14:59:59","81029008","5","1","0","2019/11/30 12:00:00","0","6011","601","0","118","10029"
"チーム美食殿のシャドウを倒そう","9001","81031001","2020/01/18 14:59:59","81031001","0","4","0","2019/12/31 12:00:00","0","6011","601","0","103","10031"
"スペシャルバトルのボスのHPを3150000まで減らそう","9013","81031002","2020/01/18 14:59:59","81031002","0","600000","0","2019/12/31 12:00:00","1","6011","601","0","104","10031"
"スペシャルバトルのボスのHPを2550000まで減らそう","9013","81031003","2020/01/18 14:59:59","81031003","0","1200000","0","2019/12/31 12:00:00","1","6011","601","0","105","10031"
"スペシャルバトルのMODE2をクリアしよう","9016","81031004","2020/01/18 14:59:59","81031004","2","1","0","2019/12/31 12:00:00","0","6011","601","0","106","10031"
"スペシャルバトルのボスのHPを1275000まで減らそう","9013","81031005","2020/01/18 14:59:59","81031005","0","2475000","0","2019/12/31 12:00:00","1","6011","601","0","111","10031"
"スペシャルバトルのボスのHPを675000まで減らそう","9013","81031006","2020/01/18 14:59:59","81031006","0","3075000","0","2019/12/31 12:00:00","1","6011","601","0","113","10031"
"スペシャルバトルのボスを討伐しよう","9016","81031007","2020/01/18 14:59:59","81031007","3","1","0","2019/12/31 12:00:00","0","6011","601","0","115","10031"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","9015","81031008","2020/01/18 14:59:59","81031008","5","1","0","2019/12/31 12:00:00","0","6011","601","0","118","10031"
"スペシャルバトルのボスのHPを4000000まで減らそう","9013","81033001","2020/02/17 14:59:59","81033001","0","1000000","0","2020/01/31 12:00:00","1","6011","601","0","104","10033"
"スペシャルバトルのボスのHPを3000000まで減らそう","9013","81033002","2020/02/17 14:59:59","81033002","0","2000000","0","2020/01/31 12:00:00","1","6011","601","0","105","10033"
"スペシャルバトルのMODE1をクリアしよう","9016","81033003","2020/02/17 14:59:59","81033003","1","1","0","2020/01/31 12:00:00","0","6011","601","0","106","10033"
"カスミとシオリのシャドウを倒そう","9001","81033004","2020/02/17 14:59:59","81033004","0","2","0","2020/01/31 12:00:00","0","6011","601","0","103","10033"
"スペシャルバトルのボスのHPを2000000まで減らそう","9013","81033005","2020/02/17 14:59:59","81033005","0","3000000","0","2020/01/31 12:00:00","1","6011","601","0","111","10033"
"スペシャルバトルのボスのHPを1000000まで減らそう","9013","81033006","2020/02/17 14:59:59","81033006","0","4000000","0","2020/01/31 12:00:00","1","6011","601","0","113","10033"
"スペシャルバトルのボスを討伐しよう","9016","81033007","2020/02/17 14:59:59","81033007","3","1","0","2020/01/31 12:00:00","0","6011","601","0","115","10033"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","9015","81033008","2020/02/17 14:59:59","81033008","5","1","0","2020/01/31 12:00:00","0","6011","601","0","118","10033"
"スペシャルバトルのボスのHPを5000000まで減らそう","9013","81034001","2020/02/24 14:59:59","81034001","0","500000","0","2020/02/15 12:00:00","1","6011","601","0","10034103","10034"
"スペシャルバトルのボスのHPを4000000まで減らそう","9013","81034002","2020/02/24 14:59:59","81034002","0","1500000","0","2020/02/15 12:00:00","1","6011","601","0","10034104","10034"
"スペシャルバトルのMODE1をクリアしよう","9016","81034003","2020/02/24 14:59:59","81034003","1","1","0","2020/02/15 12:00:00","0","6011","601","0","10034105","10034"
"スペシャルバトルのボスのHPを2000000まで減らそう","9013","81034004","2020/02/24 14:59:59","81034004","0","3500000","0","2020/02/15 12:00:00","1","6011","601","0","10034106","10034"
"スペシャルバトルのMODE2をクリアしよう","9016","81034005","2020/02/24 14:59:59","81034005","2","1","0","2020/02/15 12:00:00","0","6011","601","0","10034111","10034"
"スペシャルバトルのボスのHPを900000まで減らそう","9013","81034006","2020/02/24 14:59:59","81034006","0","4600000","0","2020/02/15 12:00:00","1","6011","601","0","10034113","10034"
"スペシャルバトルのボスを討伐しよう","9016","81034007","2020/02/24 14:59:59","81034007","3","1","0","2020/02/15 12:00:00","0","6011","601","0","10034115","10034"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","9015","81034008","2020/02/24 14:59:59","81034008","5","1","0","2020/02/15 12:00:00","0","6011","601","0","10034118","10034"
"ニュージェネレーションズのシャドウを倒そう","9001","81035001","2020/03/25 14:59:59","81035001","0","3","0","2020/02/29 12:00:00","0","6011","601","0","10035103","10035"
"MODE2のお供のモンスターを全て倒そう","9016","81035002","2020/03/25 14:59:59","81035002","2","1","0","2020/02/29 12:00:00","0","6011","601","0","10035104","10035"
"ラウドラパーンのHPを1760000まで減らそう","9013","81035003","2020/03/25 14:59:59","81035003","0","440000","0","2020/02/29 12:00:00","1","6011","601","0","10035105","10035"
"ラウドラパーンのHPを1320000まで減らそう","9013","81035004","2020/03/25 14:59:59","81035004","0","880000","0","2020/02/29 12:00:00","1","6011","601","0","10035106","10035"
"ラウドラパーンのHPを880000まで減らそう","9013","81035005","2020/03/25 14:59:59","81035005","0","1320000","0","2020/02/29 12:00:00","1","6011","601","0","10035111","10035"
"ラウドラパーンのHPを440000まで減らそう","9013","81035006","2020/03/25 14:59:59","81035006","0","1760000","0","2020/02/29 12:00:00","1","6011","601","0","10035113","10035"
"ラウドラパーンを討伐しよう","9016","81035007","2020/03/25 14:59:59","81035007","3","1","0","2020/02/29 12:00:00","0","6011","601","0","10035115","10035"
"スペシャルかエキシビションのバトルでラウドラパーンを5回以内に討伐しよう","9015","81035008","2020/03/25 14:59:59","81035008","5","1","0","2020/02/29 12:00:00","0","6011","601","0","10035118","10035"
"葛藤のうえきちゃんのHPを18375000まで減らそう","9013","81036001","2020/03/25 14:59:59","81036001","0","2625000","0","2020/03/12 15:00:00","1","6011","601","0","10036103","10036"
"葛藤のうえきちゃんのMODE1をクリアしよう","9016","81036002","2020/03/25 14:59:59","81036002","1","1","0","2020/03/12 15:00:00","0","6011","601","0","10036104","10036"
"葛藤のうえきちゃんのHPを11900000まで減らそう","9013","81036003","2020/03/25 14:59:59","81036003","0","9100000","0","2020/03/12 15:00:00","1","6011","601","0","10036105","10036"
"葛藤のうえきちゃんのHPを8050000まで減らそう","9013","81036004","2020/03/25 14:59:59","81036004","0","12950000","0","2020/03/12 15:00:00","1","6011","601","0","10036106","10036"
"葛藤のうえきちゃんのMODE2をクリアしよう","9016","81036005","2020/03/25 14:59:59","81036005","2","1","0","2020/03/12 15:00:00","0","6011","601","0","10036111","10036"
"葛藤のうえきちゃんのHPを2100000まで減らそう","9013","81036006","2020/03/25 14:59:59","81036006","0","18900000","0","2020/03/12 15:00:00","1","6011","601","0","10036113","10036"
"葛藤のうえきちゃんを討伐しよう","9016","81036007","2020/03/25 14:59:59","81036007","3","1","0","2020/03/12 15:00:00","0","6011","601","0","10036115","10036"
"スペシャルかエキシビションのバトルで葛藤のうえきちゃんを5回以内に討伐しよう","9015","81036008","2020/03/25 14:59:59","81036008","5","1","0","2020/03/12 15:00:00","0","6011","601","0","10036118","10036"
"カオリ、マコト、マホ、カスミのシャドウを倒そう","9001","81037001","2020/03/26 14:59:59","81037001","0","4","0","2020/03/17 12:00:00","0","6011","601","0","10037103","10037"
"スペシャルバトルのボスのHPを2600000まで減らそう","9013","81037002","2020/03/26 14:59:59","81037002","0","450000","0","2020/03/17 12:00:00","1","6011","601","0","10037104","10037"
"スペシャルバトルのボスのHPを2100000まで減らそう","9013","81037003","2020/03/26 14:59:59","81037003","0","950000","0","2020/03/17 12:00:00","1","6011","601","0","10037105","10037"
"スペシャルバトルのMODE2をクリアしよう","9016","81037004","2020/03/26 14:59:59","81037004","2","1","0","2020/03/17 12:00:00","0","6011","601","0","10037106","10037"
"スペシャルバトルのボスのHPを1000000まで減らそう","9013","81037005","2020/03/26 14:59:59","81037005","0","2050000","0","2020/03/17 12:00:00","1","6011","601","0","10037111","10037"
"スペシャルバトルのボスのHPを500000まで減らそう","9013","81037006","2020/03/26 14:59:59","81037006","0","2550000","0","2020/03/17 12:00:00","1","6011","601","0","10037113","10037"
"スペシャルバトルのボスを討伐しよう","9016","81037007","2020/03/26 14:59:59","81037007","3","1","0","2020/03/17 12:00:00","0","6011","601","0","10037115","10037"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","9015","81037008","2020/03/26 14:59:59","81037008","5","1","0","2020/03/17 12:00:00","0","6011","601","0","10037118","10037"
"アキノ、タマキ、ユカリ、ミフユのシャドウを倒そう","9001","81038001","2020/04/18 14:59:59","81038001","0","4","0","2020/03/31 12:00:00","0","6011","601","0","10038103","10038"
"スペシャルバトルのボスのHPを6035000まで減らそう","9013","81038002","2020/04/18 14:59:59","81038002","0","1065000","0","2020/03/31 12:00:00","1","6011","601","0","10038104","10038"
"スペシャルバトルのボスのHPを4970000まで減らそう","9013","81038003","2020/04/18 14:59:59","81038003","0","2130000","0","2020/03/31 12:00:00","1","6011","601","0","10038105","10038"
"スペシャルバトルのMODE2をクリアしよう","9016","81038004","2020/04/18 14:59:59","81038004","2","1","0","2020/03/31 12:00:00","0","6011","601","0","10038106","10038"
"スペシャルバトルのボスのHPを2603500まで減らそう","9013","81038005","2020/04/18 14:59:59","81038005","0","4496500","0","2020/03/31 12:00:00","1","6011","601","0","10038111","10038"
"スペシャルバトルのボスのHPを1302000まで減らそう","9013","81038006","2020/04/18 14:59:59","81038006","0","5798000","0","2020/03/31 12:00:00","1","6011","601","0","10038113","10038"
"スペシャルバトルのボスを討伐しよう","9016","81038007","2020/04/18 14:59:59","81038007","3","1","0","2020/03/31 12:00:00","0","6011","601","0","10038115","10038"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","9015","81038008","2020/04/18 14:59:59","81038008","5","1","0","2020/03/31 12:00:00","0","6011","601","0","10038118","10038"
"ペコリーヌ、コッコロ、キャルのシャドウを倒そう","9001","81039001","2020/04/26 14:59:59","81039001","0","3","0","2020/04/17 12:00:00","0","6011","601","0","10039103","10039"
"スペシャルバトルのボスのHPを2500000まで減らそう","9013","81039002","2020/04/26 14:59:59","81039002","0","500000","0","2020/04/17 12:00:00","1","6011","601","0","10039104","10039"
"スペシャルバトルのボスのHPを2000000まで減らそう","9013","81039003","2020/04/26 14:59:59","81039003","0","1000000","0","2020/04/17 12:00:00","1","6011","601","0","10039105","10039"
