eb30f3761fca076022084c581ddd253b75cf03adfbc633454c3d13c9dfd0c4ec,f6e73ea58f8960f52a806d06e7f43684ddb6b57b735a4aa4c3c4fdd9d4f961fb,0090ecb259be71e3607add5003b45f2df0f03834c9b4c674b45aaba252dca668,88da47e1a1d2fdd976b40c5f3670857c2bc0d4b4f56e52dcbd3978bbf952acd3,f5a0b1fdb9a99e435e8a4d033f2402b895cb1d7362bfbb98b561a2a39e9acc31,30a70a142b371f385436769e3c77c4db84ea8a8c41b23e8663958e1776b9913f,ea44dfbb0ccaf7cf04bd0b706f1cc14d15b19ef5d3d0477b022d011785242afb,aeba082e8e2c2a6300986fac591646d97558a0533afa1234748b85fafbdbc2b5,1a21018444b6a01ff565961509bfa12d73e1f7b3aa9883c1c68aaa64e7be4d22,379ce90ede24c867cdbe08081a6c017da0b0fac111fd16fb571e7ad32da8f28c,a281308d42b4e60399dc1651239c3b6512ab258aaa6a257d890349ef15d417f1,22d19dd731f13e221aa96a7a641103f14fff1f36db6796c25d306df131bbd4fc,f0d786006f9c0af4295d9afe7e0f4fec2e10acfe0d88a6a43b2b29c87eee99ae,afa555747a5037d6309954eaddc0f084b87131b63530fa0f7e605c20c3431190,fbd0dd93c01eeb11b313a04e36965d97b090cab9c1c55b1f9a82304f7cdbef84,7ad9d10c3957fa72c0385f3577e00dd82559b0abe46414ad599e2fc607b4cf6e
"ラビリンス","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","リノ","156","お裁縫","阿澄佳奈","44","ヒューマン","8","A","人懐っこくてマシンガントークな妹系少女","3","101101","15","0","25"
"フォレスティエ","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","ハツネ","156","妹と遊ぶこと、二度寝、昼寝、早寝","大橋彩香","46","エルフ","12","A","みんなのために超能力を使う眠り姫","6","101201","17","0","24"
"トワイライトキャラバン","","ナナカ","166","読書、魔法","佳村はるか","55","魔族","8","O","オタク全開な魔法少女","13","101301","18","0","21"
"自警団（カォン）","test","カスミ","152","読書、推理","水瀬いのり","41","獣人族","11","AB","頭脳明晰な美少女名探偵","10","101401","15","0","3"
"フォレスティエ","test","ミサト","165","絵本作り","國府田マリ子","54","エルフ","9","O","母性溢れる優しいみんなの「ミサト先生」","6","101501","21","0","5"
"ルーセント学院","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","スズナ","167","ファッション","上坂すみれ","48","魔族","4","O","天真爛漫で人気者のカリスマモデル","14","101601","17","0","10"
"自警団（カォン）","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","カオリ","158","踊り、空手","高森奈津美","53","獣人族","7","A","いつでも「なんくるないさ～」な天然娘","10","101701","17","0","7"
"ルーセント学院","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","イオ","162","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","伊藤静","52","魔族","8","B","多くの男性を魅了する無垢な女教師","14","101801","23","0","14"
"リトルリリカル","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","ミミ","117","かわいいもの集め","日高里菜","21","獣人族","4","O","お歌もにんじんも、ウサギさんも大好き♪","5","102001","10","0","3"
"サレンディア救護院","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","クルミ","150","観劇、おままごと","植田佳奈","40","ヒューマン","6","B","泣き虫で臆病な守ってあげたい女の子","9","102101","12","0","9"
"悪魔偽王国軍（ディアボロス）","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","ヨリ","150","ゲーム全般","原紗友里","40","魔族","11","O","人見知りであまのじゃくな女の子","7","102201","13","0","22"
"サレンディア救護院","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","アヤネ","148","屋内でできる遊び","芹澤優","38","ヒューマン","5","B","ぷうきちといつも一緒！","9","102301","14","0","10"
"サレンディア救護院","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","スズメ","154","ご奉仕","悠木碧","43","ヒューマン","12","O","お嬢さまのためにがんばるドジっ娘メイド","9","102501","15","0","12"
"牧場（エリザベスパーク）","test","リン","144","あんパン","小岩井ことり","42","獣人族","1","B","遊びと睡眠が何より大事なぐうたら娘","11","102601","17","0","1"
"トワイライトキャラバン","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","エリコ","154","実験、裁縫、料理","橋本ちなみ","43","魔族","7","B","運命の相手に一途すぎる乙女","13","102701","16","0","30"
"サレンディア救護院","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","サレン","156","経営、お茶会","堀江由衣","43","エルフ","10","A","救護院を経営する優しい庶民派お嬢様","9","102801","17","0","4"
"カルミナ","いつか世界中の人達をファンにしてみせる！\nトップアイドルになるその日まで、\n応援よろしくね♪","ノゾミ","157","舞台鑑賞、ダンス","日笠陽子","40","ヒューマン","1","B","歌って踊れる大人気アイドル","4","102901","17","0","24"
"ヴァイスフリューゲル　ランドソル支部","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","ニノン","163","忍法開発","佐藤聡美","51","ヒューマン","8","O","トーゴクの神秘、オシエテクダサイ！","15","103001","16","0","31"
"悪魔偽王国軍（ディアボロス）","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","シノブ","157","占い","大坪由佳","42","魔族","12","AB","占いが得意な霊能少女","7","103101","18","0","22"
"メルクリウス財団","この私とともにいる限り、\nお金に不自由はさせませんわ！","アキノ","157","慈善事業","松嵜麗","45","ヒューマン","3","AB","一人前の商人を目指すパワフルお嬢様","12","103201","18","0","12"
"牧場（エリザベスパーク）","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","マヒル","142","漫才","新田恵海","35","ヒューマン","3","B","みんなを笑顔にするお笑い牧場主","11","103301","20","0","3"
"メルクリウス財団","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","ユカリ","164","ウインドーショッピング","今井麻美","55","エルフ","3","A","純情でほっとけない大人の女性","12","103401","22","0","16"
"リトルリリカル","test","キョウカ","118","お勉強","小倉唯","21","エルフ","2","A","礼儀正しくしっかり者のちびっ子優等生","5","103601","8","0","2"
"王宮騎士団（NIGHTMARE）","test","トモ","149","剣術、年長者をからかう","茅原実里","43","ヒューマン","8","A","義理堅くてからかい好きな剣術少女","8","103701","13","0","11"
"牧場（エリザベスパーク）","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","シオリ","153","読書、お散歩","小清水亜美","40","獣人族","11","A","読書が趣味の病弱少女","11","103801","14","0","3"
"フォレスティエ","友達ができるその日まで…\nBB団で\nトレーニングですっ！","アオイ","158","友達作りのイメトレ","花澤香菜","44","エルフ","6","AB","「友達」に憧れる、エルフの森の女の子","6","104001","13","0","6"
"カルミナ","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","チカ","163","各種楽器","福原綾香","46","ヒューマン","6","O","人々を守るために歌う、唱喚士の少女","4","104201","17","0","3"
"自警団（カォン）","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","マコト","168","お菓子作り","小松未可子","54","獣人族","8","O","男勝りで情に厚いワイルド娘","10","104301","17","0","9"
"悪魔偽王国軍（ディアボロス）","test","イリヤ","172","世界征服","丹下桜","50","魔族","5","A","かつては夜を支配した最強の吸血鬼","7","104401","??","0","5"
"ヴァイスフリューゲル　ランドソル支部","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","クウカ","157","小説を読むこと","長妻樹里","49","ヒューマン","11","AB","妄想大好き！　ほんとは照れ屋な女の子","15","104501","18","0","19"
"メルクリウス財団","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","タマキ","158","猫とたわむれること","沼倉愛美","48","獣人族","3","AB","弱きを助け強きをくじく猫娘","12","104601","19","0","1"
"王宮騎士団（NIGHTMARE）","？？？","ジュン","171","格闘技、湯浴み","川澄綾子","50","ヒューマン","10","A","素顔を見せない冷静沈着な女性騎士","8","104701","25","0","25"
"メルクリウス財団","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","ミフユ","163","傭兵などのアルバイト","田所あずさ","49","ヒューマン","11","O","仕事も私事も効率優先な傭兵少女","12","104801","20","0","11"
"ラビリンス","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","シズル","168","家事全般","生天目仁美","54","ヒューマン","10","O","お姉ちゃんがお世話してあげるからねっ！","3","104901","18","0","24"
"ルーセント学院","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","ミサキ","120","ファッション誌鑑賞、コスメ集め","久野美咲","22","魔族","1","A","ちょっとおませな恋に恋する女の子","14","105001","11","0","3"
"トワイライトキャラバン","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","ミツキ","166","研究、実験","三石琴乃","53","ヒューマン","3","A","実験が趣味の危険な科学者","13","105101","27","0","7"
"牧場（エリザベスパーク）","私、ごく普通の、どこにでもいる女の子よ！\nみ、見た目以外はね…","リマ","150","毛繕い、お喋り","徳井青空","100","獣人族","3","A","乙女チックなもふもふアニマル","11","105201","17","0","14"
"ヴァイスフリューゲル　ランドソル支部","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","モニカ","140","お菓子屋通い","辻あゆみ","33","ヒューマン","7","A","見た目も中身もお子ちゃまな異国の軍人","15","105301","17","0","28"
"カルミナ","test","ツムギ","153","裁縫","木戸衣吹","45","ヒューマン","9","AB","ファッション大好きなキュートガール","4","105401","14","0","7"
"ヴァイスフリューゲル　ランドソル支部","test","アユミ","155","観察","大関英里","43","エルフ","4","O","どこまでも一途に慕う、純情乙女","15","105501","16","0","7"
"トワイライトキャラバン","test","ルカ","167","釣り","佐藤利奈","54","ヒューマン","7","B","人情味溢れる粋でいなせな「姉御」","13","105601","25","0","11"
"？？？","私ね、一人前の騎空士になりたいんだ\nいつか父さんみたいな騎空士になって、\n空の果てまで旅する。それが私の夢だよ！","ジータ","156","冒険、おしゃべり","金元寿子","45","ヒューマン","3","O","空への冒険を夢見る騎空士の少女","","105701","17","0","10"
"美食殿","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","ペコリーヌ","156","食べ歩き、料理","M・A・O","46","ヒューマン","3","O","いつも元気な腹ペコ少女","1","105801","17","0","31"
"美食殿","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","コッコロ","140","瞑想、動植物の飼育","伊藤美来","35","エルフ","5","B","主を慕う、小さなガイド役","1","105901","11","0","11"
"美食殿","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","キャル","152","猫と遊ぶ","立花理香","39","獣人族","9","A","行き倒れの謎のネコミミ魔法使い","1","106001","14","0","2"
"？？？","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","ムイミ","148","冒険、思い出話","潘めぐみ","40","ヒューマン","8","O","さまよえる謎の少女","","106101","16","0","11"
"？？？","","アリサ","155","キレイな葉っぱを集めること","優木かな","42","エルフ","6","O","森番を目指すエルフの少女","","106301","15","0","17"
"美食殿","","シェフィ","147","読書、ストレッチ","近藤玲奈","???","ドラゴン族","12","B","記憶喪失のドラゴン娘","1","106401","14","0","14"
"ドラゴンズネスト","","カヤ","156","格闘技","小市眞琴","???","ドラゴン族","6","B","拳で語る喧嘩屋ドラゴン少女","17","106501","16","0","25"
"ドラゴンズネスト","","イノリ","145","ゲーム","藤田茜","???","ドラゴン族","9","AB","口が達者なヘタレドラゴン","17","106601","13","0","29"
"ドラゴンズネスト","","ホマレ","168","絵画、読書","大西沙織","???","ドラゴン族","4","O","妖しい微笑で全てを見透かす臥竜の頭領","17","106701","25","0","17"
"ラビリンス","","ラビリスタ","160","人間観察","沢城みゆき","??","ヒューマン","7","AB","秘密結社ラビリンスの『迷宮女王』","3","106801","25","0","25"
"？？？","","カイザーインサイト","166","占い、支配","蒼井翔太","??","獣人族","7","AB","謎に包まれたランドソルの主","","106901","29","0","1"
"？？？","","ネネカ","149","物真似、芸術鑑賞","井口裕香","??","エルフ","3","O","研究所に隠れ住む物静かなお姉さん","","107001","24","0","24"
"王宮騎士団（NIGHTMARE）","","クリスティーナ","165","強敵との闘争","たかはし智秋","??","ヒューマン","2","O","傍若無人な王宮騎士団副団長","8","107101","27","0","7"
"美食殿","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","ペコリーヌ（サマー）","156","食べ歩き、料理","M・A・O","46","ヒューマン","3","O","いつも元気な腹ペコ少女","1","107501","17","0","31"
"美食殿","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","コッコロ（サマー）","140","瞑想、動植物の飼育","伊藤美来","35","エルフ","5","B","主を慕う、小さなガイド役","1","107601","11","0","11"
"サレンディア救護院","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","スズメ（サマー）","154","ご奉仕","悠木碧","43","ヒューマン","12","O","お嬢さまのためにがんばるドジっ娘メイド","9","107701","15","0","12"
"美食殿","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","キャル（サマー）","152","猫と遊ぶ","立花理香","39","獣人族","9","A","行き倒れの謎のネコミミ魔法使い","1","107801","14","0","2"
"メルクリウス財団","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","タマキ（サマー）","158","猫とたわむれること","沼倉愛美","48","獣人族","3","AB","弱きを助け強きをくじく猫娘","12","107901","19","0","1"
"メルクリウス財団","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","ミフユ（サマー）","163","傭兵などのアルバイト","田所あずさ","49","ヒューマン","11","O","仕事も私事も効率優先な傭兵少女","12","108001","20","0","11"
"悪魔偽王国軍（ディアボロス）","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","シノブ（ハロウィン）","157","占い","大坪由佳","42","魔族","12","AB","占いが得意な霊能少女","7","108101","18","0","22"
"悪魔偽王国軍（ディアボロス）","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","ミヤコ（ハロウィン）","130","プリンを食べること","雨宮天","32","魔族","1","B","プリン大好きゴースト娘","7","108201","14","0","23"
"ルーセント学院","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","ミサキ（ハロウィン）","120","ファッション誌鑑賞、コスメ集め","久野美咲","22","魔族","1","A","ちょっとおませな恋に恋する女の子","14","108301","11","0","3"
"カルミナ","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","チカ（クリスマス）","163","各種楽器","福原綾香","46","ヒューマン","6","O","人々を守るために歌う、唱喚士の少女","4","108401","17","0","3"
"サレンディア救護院","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","クルミ（クリスマス）","150","観劇、おままごと","植田佳奈","40","ヒューマン","6","B","泣き虫で臆病な守ってあげたい女の子","9","108501","12","0","9"
"サレンディア救護院","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","アヤネ（クリスマス）","148","屋内でできる遊び","芹澤優","38","ヒューマン","5","B","ぷうきちといつも一緒！","9","108601","14","0","10"
"トゥインクルウィッシュ","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","ヒヨリ（ニューイヤー）","155","人助け、応援","東山奈央","44","獣人族","8","A","人助けが大好き！　前向き格闘娘","2","108701","16","0","27"
"トゥインクルウィッシュ","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","ユイ（ニューイヤー）","158","料理、人間観察","種田梨沙","47","ヒューマン","4","O","戦闘のサポートが得意な、心優しい少女","2","108801","17","0","5"
"トゥインクルウィッシュ","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","レイ（ニューイヤー）","163","読書、乗馬、お茶","早見沙織","46","魔族","1","B","クールで何事にも真っ直ぐな剣士","2","108901","18","0","12"
"トワイライトキャラバン","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","エリコ（バレンタイン）","154","実験、裁縫、料理","橋本ちなみ","43","魔族","7","B","運命の相手に一途すぎる乙女","13","109001","16","0","30"
"ラビリンス","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","シズル（バレンタイン）","168","家事全般","生天目仁美","54","ヒューマン","10","O","お姉ちゃんがお世話してあげるからねっ！","3","109101","18","0","24"
"？？？","私はアン！一応、マナリア王国の\n第一王女だけど…あまりかしこまらないで、\n気軽に仲良くしてくれたら嬉しいな！","アン","156","読書","日笠陽子","55","ヒューマン","12","AB","英霊と契約を結んだマナリアの天才王女","","109201","17","0","1"
"？？？","ルゥはルゥですぅ！マナリア魔法学院に\n通ってるですぅ。あなたもルゥの\nお友だちになってくれるですか？","ルゥ","144","食べること、眠ること","こやまきみこ","45","ヒューマン","2","O","マナリア魔法学院の新入生","","109301","16","0","4"
"？？？","私はグレア。竜と人、両方の血を\n受け継いでいるの…\nえっと…よ、よろしくね","グレア","167","ピアノ","福原綾香","67","半人半竜","11","B","人を超越した力を有す心優しい竜姫","","109401","17","0","3"
"ヴァイスフリューゲル　ランドソル支部","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","クウカ（オーエド）","157","小説を読むこと","長妻樹里","49","ヒューマン","11","AB","妄想大好き！　ほんとは照れ屋な女の子","15","109501","18","0","19"
"ヴァイスフリューゲル　ランドソル支部","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","ニノン（オーエド）","163","忍法開発","佐藤聡美","51","ヒューマン","8","O","トーゴクの神秘、オシエテクダサイ！","15","109601","16","0","31"
"？？？","","レム","154","演劇鑑賞、詩文","水瀬いのり","??","鬼族","2","?","鬼がかりの万能妹メイド","","109701","17","0","2"
"？？？","","ラム","154","読書","村川梨衣","??","鬼族","2","?","毒舌系鬼姉メイド","","109801","17","0","2"
"？？？","","エミリア","164","パックの毛繕い、勉強","高橋李依","??","ハーフエルフ","9","?","銀髪のおっとりハーフエルフ","","109901","??","0","23"
"ルーセント学院","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","スズナ（サマー）","167","ファッション","上坂すみれ","48","魔族","4","O","天真爛漫で人気者のカリスマモデル","14","110001","17","0","10"
"ルーセント学院","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","イオ（サマー）","162","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","伊藤静","52","魔族","8","B","多くの男性を魅了する無垢な女教師","14","110101","23","0","14"
"ルーセント学院","","ミサキ（サマー）","120","ファッション誌鑑賞、コスメ集め","久野美咲","22","魔族","1","A","ちょっとおませな恋に恋する女の子","14","110201","11","0","3"
"サレンディア救護院","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","サレン（サマー）","156","経営、お茶会","堀江由衣","43","エルフ","10","A","救護院を経営する優しい庶民派お嬢様","9","110301","17","0","4"
"自警団（カォン）","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","マコト（サマー）","168","お菓子作り","小松未可子","54","獣人族","8","O","男勝りで情に厚いワイルド娘","10","110401","17","0","9"
"自警団（カォン）","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","カオリ（サマー）","158","踊り、空手","高森奈津美","53","獣人族","7","A","いつでも「なんくるないさ～」な天然娘","10","110501","17","0","7"
"自警団（カォン）","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","マホ（サマー）","155","空想、ぬいぐるみ集め","内田真礼","42","獣人族","9","O","マホマホ王国のプリンセス","10","110601","16","0","22"
"フォレスティエ","","アオイ（編入生）","158","友達作りのイメトレ","花澤香菜","44","エルフ","6","AB","「友達」に憧れる、エルフの森の女の子","6","110701","13","0","6"
"聖テレサ女学院（なかよし部）","","クロエ","154","ダーツ","種﨑敦美","42","エルフ","8","O","ダウンタウン育ちのダウナー系エルフ","16","110801","17","0","7"
"聖テレサ女学院（なかよし部）","","チエル","156","ダンス、カラオケ","佐倉綾音","46","ヒューマン","9","O","自由奔放ナチュラル無礼な現代っ子","16","110901","16","0","15"
"聖テレサ女学院（なかよし部）","","ユニ","142","読書","小原好美","36","ヒューマン","2","O","書庫に眠れる小さな賢人","16","111001","18","0","28"
"リトルリリカル","","キョウカ（ハロウィン）","118","お勉強","小倉唯","21","エルフ","2","A","礼儀正しくしっかり者のちびっ子優等生","5","111101","8","0","2"
"リトルリリカル","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","ミソギ（ハロウィン）","128","いたずら、探検","諸星すみれ","27","ヒューマン","8","O","探検好きのイタズラっ子","5","111201","9","0","10"
"リトルリリカル","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","ミミ（ハロウィン）","117","かわいいもの集め","日高里菜","21","獣人族","4","O","お歌もにんじんも、ウサギさんも大好き♪","5","111301","10","0","3"
"？？？","","ルナ","142","「おともだち」を探すこと","小倉唯","28","ヒューマン","1","?","おともだちを探す死霊術師の少女","","111401","??","0","8"
"王宮騎士団（NIGHTMARE）","","クリスティーナ（クリスマス）","165","強敵との闘争","たかはし智秋","??","ヒューマン","2","O","傍若無人な王宮騎士団副団長","8","111501","27","0","7"
"カルミナ","","ノゾミ（クリスマス）","157","舞台鑑賞、ダンス","日笠陽子","40","ヒューマン","1","B","歌って踊れる大人気アイドル","4","111601","17","0","24"
"悪魔偽王国軍（ディアボロス）","","イリヤ（クリスマス）","172","世界征服","丹下桜","50","魔族","5","A","かつては夜を支配した最強の吸血鬼","7","111701","??","0","5"
"美食殿","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","ぺコリーヌ（ニューイヤー）","156","食べ歩き、料理","M・A・O","46","ヒューマン","3","O","いつも元気な腹ペコ少女","1","111801","17","0","31"
"美食殿","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","コッコロ（ニューイヤー）","140","瞑想、動植物の飼育","伊藤美来","35","エルフ","5","B","主を慕う、小さなガイド役","1","111901","11","0","11"
