5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154
"13.5","2","126811","","","1500","","","-250","18580016","858"
"13.5","2","108011","","","1250","","","-125","18580017","858"
"13.5","2","107911","","","1000","","","-250","18580018","858"
"13.5","2","1","","","1750","","","-125","18580019","858"
"13.5","2","2","","","1500","","","-250","18580020","858"
"13.5","2","3","","","1250","","","-125","18580021","858"
"13.5","2","4","","","1000","","","-250","18580022","858"
"13.5","33","1","","","1750","","","-125","18580023","858"
"13.5","33","2","","","1500","","","-250","18580024","858"
"13.5","33","3","","","1250","","","-125","18580025","858"
"13.5","33","4","","","1000","","","-250","18580026","858"
"","23","se_10053800","","","se_fpc_water_random","","","","18590001","859"
"-850","1","1","-125","1.75","113111","cmn_surfing","0","45","18590002","859"
"-1100","1","1","-250","1.75","113211","cmn_surfing","0","45","18590003","859"
"-1350","1","1","-125","1.75","113311","cmn_surfing","0","45","18590004","859"
"-1600","1","1","-250","1.75","117011","cmn_surfing","0","45","18590005","859"
"-850","5","6","-125","1.75","1","cmn_surfing","0","44","18590006","859"
"-1100","5","6","-250","1.75","2","cmn_surfing","0","44","18590007","859"
"-1350","5","6","-125","1.75","3","cmn_surfing","0","44","18590008","859"
"-1600","5","6","-250","1.75","4","cmn_surfing","0","44","18590009","859"
"-125","31","11","1","1","1","","","-850","18590010","859"
"-250","31","11","1","1","2","","","-1100","18590011","859"
"-125","31","11","1","1","3","","","-1350","18590012","859"
"-250","31","11","1","1","4","","","-1600","18590013","859"
"6","2","113111","","","2350","","","-125","18590014","859"
"6","2","113211","","","2100","","","-250","18590015","859"
"6","2","113311","","","1850","","","-125","18590016","859"
"6","2","117011","","","1600","","","-250","18590017","859"
"6","2","1","","","2350","","","-125","18590018","859"
"6","2","2","","","2100","","","-250","18590019","859"
"6","2","3","","","1850","","","-125","18590020","859"
"6","2","4","","","1600","","","-250","18590021","859"
"6","33","1","","","2350","","","-125","18590022","859"
"6","33","2","","","2100","","","-250","18590023","859"
"6","33","3","","","1850","","","-125","18590024","859"
"6","33","4","","","1600","","","-250","18590025","859"
"","23","se_10053800","","","se_10053800_surfing_wave","","","","18590026","859"
"","93","0.3","","","","","","","18590027","859"
"0","21","vo_fpc","","","vo_fpc_85901","","","","18590028","859"
"","23","se_10053800","","","se_fpc_water_random","","","","18600001","860"
"-850","1","1","-180","1.75","110011","cmn_boat_relax_l","0","23","18600002","860"
"-1200","1","1","-180","1.75","110111","cmn_boat_relax","0","23","18600003","860"
"-850","5","2","-180","1.75","1","cmn_boat_idle_blue","0","22","18600004","860"
"-1200","5","2","-180","1.75","2","cmn_boat_idle_l","0","22","18600005","860"
"-180","31","116","1","1","1","","","-850","18600006","860"
"-180","31","116","1","1","2","","","-1200","18600007","860"
"13.5","2","110011","","","1750","","","-180","18600008","860"
"13.5","2","110111","","","1400","","","-180","18600009","860"
"13.5","2","1","","","1750","","","-180","18600010","860"
"13.5","2","2","","","1400","","","-180","18600011","860"
"13.5","33","1","","","1750","","","-180","18600012","860"
"13.5","33","2","","","1400","","","-180","18600013","860"
"","93","2.7","","","","","","","18600014","860"
"0","21","vo_fpc","","","vo_fpc_86001","","","","18600015","860"
"","23","se_10053800","","","se_fpc_water_random","","","","18610001","861"
"-850","1","1","-125","1.75","129511","cmn_swm_tread","0","13","18610002","861"
"-1100","1","1","-250","1.75","129411","cmn_swm_tread","0","33","18610003","861"
"-1350","1","1","-125","1.75","129311","cmn_swm_tread","0","13","18610004","861"
"-850","5","1","-125","1.75","1","cmn_swm_tread_pink","0","12","18610005","861"
"-1100","5","1","-250","1.75","2","cmn_swm_tread_blue","0","32","18610006","861"
"-1350","5","1","-125","1.75","3","cmn_swm_tread","0","12","18610007","861"
"-125","31","13","1","1","1","","","-850","18610008","861"
"-250","31","3","1","1","2","","","-1100","18610009","861"
"-125","31","13","1","1","3","","","-1350","18610010","861"
"13.5","2","129511","","","1750","","","-125","18610011","861"
"13.5","2","129411","","","1500","","","-250","18610012","861"
"13.5","2","129311","","","1250","","","-125","18610013","861"
"13.5","2","1","","","1750","","","-125","18610014","861"
"13.5","2","2","","","1500","","","-250","18610015","861"
"13.5","2","3","","","1250","","","-125","18610016","861"
"13.5","33","1","","","1750","","","-125","18610017","861"
"13.5","33","2","","","1500","","","-250","18610018","861"
"13.5","33","3","","","1250","","","-125","18610019","861"
"","23","se_10053800","","","se_fpc_water_random","","","","18620001","862"
"-850","1","1","-125","1.75","126711","cmn_swm_tread","0","13","18620002","862"
"-1100","1","1","-250","1.75","126811","cmn_swm_tread","0","33","18620003","862"
"-1350","5","21","-180","1.66","21","02_neneka_floatRing","0","22","18620004","862"
"-850","5","1","-125","1.75","1","cmn_swm_tread","0","12","18620005","862"
"-1100","5","1","-250","1.75","2","cmn_swm_tread_blue","0","32","18620006","862"
"-125","31","13","1","1","1","","","-850","18620007","862"
"-250","31","3","1","1","2","","","-1100","18620008","862"
"-180","31","102","1","1","3","","","-1350","18620009","862"
"13.5","2","126711","","","1750","","","-125","18620010","862"
"13.5","2","126811","","","1500","","","-250","18620011","862"
"13.5","2","21","","","1250","","","-180","18620012","862"
"13.5","2","1","","","1750","","","-125","18620013","862"
"13.5","2","2","","","1500","","","-250","18620014","862"
"13.5","33","1","","","1750","","","-125","18620015","862"
"13.5","33","2","","","1500","","","-250","18620016","862"
"13.5","33","3","","","1250","","","-180","18620017","862"
"","23","se_10053800","","","se_fpc_water_random","","","","18630001","863"
"-1100","1","1","-180","1.75","126911","cmn_float","1","22","18630002","863"
"-1350","1","1","-125","1.75","127011","cmn_float","0","12","18630003","863"
"-1600","1","1","-180","1.75","127111","cmn_float","0","22","18630004","863"
"-180","31","6","1","1","2","","","-1070","18630005","863"
"-125","31","6","1","1","3","","","-1350","18630006","863"
"-180","31","6","1","1","4","","","-1600","18630007","863"
"13.5","2","126911","","","1500","","","-180","18630008","863"
"13.5","2","127011","","","1250","","","-125","18630009","863"
"13.5","2","127111","","","1000","","","-180","18630010","863"
"13.5","33","2","","","1530","","","-180","18630011","863"
"13.5","33","3","","","1250","","","-125","18630012","863"
"13.5","33","4","","","1000","","","-180","18630013","863"
"","93","2.3","","","","","","","18630014","863"
"0","21","vo_fpc","","","vo_fpc_86301","","","","18630015","863"
"","23","se_10053800","","","se_fpc_water_random","","","","18640001","864"
"-850","1","1","-125","1.75","107811","cmn_surfing","0","45","18640002","864"
"-1100","1","1","-250","1.75","110011","cmn_surfing","0","45","18640003","864"
"-850","5","6","-125","1.75","1","cmn_surfing","0","44","18640004","864"
"-1100","5","6","-250","1.75","2","cmn_surfing","0","44","18640005","864"
"-125","31","11","1","1","1","","","-850","18640006","864"
"-250","31","11","1","1","2","","","-1100","18640007","864"
"6","2","107811","","","2350","","","-125","18640008","864"
"6","2","110011","","","2100","","","-250","18640009","864"
"6","2","1","","","2350","","","-125","18640010","864"
"6","2","2","","","2100","","","-250","18640011","864"
"6","33","1","","","2350","","","-125","18640012","864"
"6","33","2","","","2100","","","-250","18640013","864"
"","23","se_10053800","","","se_10053800_surfing_wave","","","","18640014","864"
"","93","0.2","","","","","","","18640015","864"
"0","21","vo_fpc","","","vo_fpc_86401","","","","18640016","864"
"","23","se_10053800","","","se_fpc_water_random","","","","18650001","865"
"-850","1","1","-125","1.75","110311","cmn_swm_flutterKick_floatRing","0","13","18650002","865"
"-1100","1","1","-250","1.75","113111","cmn_swm_flutterKick_floatRing","0","33","18650003","865"
"-850","5","1","-125","1.75","1","cmn_swm_flutterKick_floatRing_pink","0","12","18650004","865"
"-1100","5","1","-250","1.75","2","cmn_swm_flutterKick_floatRing_blue","0","32","18650005","865"
"-125","31","7","1","1","1","","","-850","18650006","865"
"-250","31","1","1","1","2","","","-1100","18650007","865"
"10","2","110311","","","1750","","","-125","18650008","865"
"10","2","113111","","","1500","","","-250","18650009","865"
"10","2","1","","","1750","","","-125","18650010","865"
"10","2","2","","","1500","","","-250","18650011","865"
"10","33","1","","","1750","","","-125","18650012","865"
"10","33","2","","","1500","","","-250","18650013","865"
"","23","se_10053800","","","se_fpc_water_random","","","","18660001","866"
"-850","1","1","-125","1.75","113411","cmn_swm_flutterKick_floatRing","0","13","18660002","866"
"-1100","1","1","-250","1.75","115711","cmn_swm_flutterKick_floatRing","0","33","18660003","866"
"-850","5","1","-125","1.75","1","cmn_swm_flutterKick_floatRing_pink","0","12","18660004","866"
"-1100","5","1","-250","1.75","2","cmn_swm_flutterKick_floatRing_blue","0","32","18660005","866"
"-125","31","7","1","1","1","","","-850","18660006","866"
"-250","31","1","1","1","2","","","-1100","18660007","866"
"10","2","113411","","","1750","","","-125","18660008","866"
"10","2","115711","","","1500","","","-250","18660009","866"
"10","2","1","","","1750","","","-125","18660010","866"
"10","2","2","","","1500","","","-250","18660011","866"
"10","33","1","","","1750","","","-125","18660012","866"
"10","33","2","","","1500","","","-250","18660013","866"
"","23","se_10053800","","","se_fpc_water_random","","","","18670001","867"
"-850","1","1","-125","1.75","113211","cmn_swm_tread","0","13","18670002","867"
"-1100","1","1","-250","1.75","127111","cmn_swm_tread","0","33","18670003","867"
"-850","5","1","-125","1.75","1","cmn_swm_tread_pink","0","12","18670004","867"
"-1100","5","1","-250","1.75","2","cmn_swm_tread_blue","0","32","18670005","867"
"-125","31","13","1","1","1","","","-850","18670006","867"
"-250","31","3","1","1","2","","","-1100","18670007","867"
"13.5","2","113211","","","1750","","","-125","18670008","867"
"13.5","2","127111","","","1500","","","-250","18670009","867"
"13.5","2","1","","","1750","","","-125","18670010","867"
"13.5","2","2","","","1500","","","-250","18670011","867"
"13.5","33","1","","","1750","","","-125","18670012","867"
"13.5","33","2","","","1500","","","-250","18670013","867"
"","23","se_10053800","","","se_fpc_water_random","","","","18680001","868"
"-850","1","1","-125","1.75","117011","cmn_swm_diving","0","12","18680002","868"
"-1100","1","1","-180","1.75","117111","cmn_swm_diving","0","22","18680003","868"
"-125","31","9","1","1","1","","","-850","18680004","868"
"-180","31","9","1","1","2","","","-1100","18680005","868"
"13.5","2","117011","","","1750","","","-125","18680006","868"
"13.5","2","117111","","","1500","","","-180","18680007","868"
"13.5","33","1","","","1750","","","-125","18680008","868"
"13.5","33","2","","","1500","","","-180","18680009","868"
"","23","se_10053800","","","se_fpc_water_random","","","","18690001","869"
"-850","1","1","-125","1.75","110511","cmn_swm_flutterKick_floatRing","0","13","18690002","869"
"-1100","1","1","-250","1.75","110011","cmn_swm_flutterKick_floatRing","0","33","18690003","869"
"-850","5","1","-125","1.75","1","cmn_swm_flutterKick_floatBoad","0","12","18690004","869"
"-1100","5","1","-250","1.75","2","cmn_swm_flutterKick_floatBoad_blue","0","32","18690005","869"
"-125","31","7","1","1","1","","","-850","18690006","869"
"-250","31","1","1","1","2","","","-1100","18690007","869"
