e3967f3a1f6109255ccd1dd28a815aebd3548ae508b7b98e3e02aaf0eb25522b,1eee1ba818bcbe6cc974ce12f2e0228bb4157b47fc203c1fd4454669f6c6cf01,aa9c383f7896c0b6a7922d7ff698a8ccc00b8c5f08b26ff6a29f47fe6ada5f92,11d4ebf4d3b43a611574b972148bd2cab93aace7162898950ee5b8df519b44bb,c79881d0c38e46a221fec897e75bdac1b5a71851b15d6d4876a6f194b9afeafa,255744280b82546be486c476a10937637aff72750ab1c466ea819496f79d392d,ebb952f289d3404077a36de8b40b0157d8cc304b00cd61fbde0ca48a5b335d49
"10013","1","1001301","vo_minigame_1004_top_2_018","1","vo_minigame_1004","よしよし、いいですようまくできたらチョコをあげるです！"
"10013","2","1001302","vo_minigame_1004_top_2_019","3","vo_minigame_1004","ぐも！（オデ チョコスキ）"
"10014","1","1001401","vo_minigame_1004_top_2_023","2","vo_minigame_1004","なあイノリ……もしかして当初の目的見失ってないよな？"
"10014","2","1001402","vo_minigame_1004_top_2_024","1","vo_minigame_1004","もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです"
"10015","1","1001501","vo_minigame_1004_top_2_025","2","vo_minigame_1004","いくらイノリ相手でも勝ちを譲る気はないからな！"
"10015","2","1001502","vo_minigame_1004_top_2_026","1","vo_minigame_1004","望むところです手加減はなしですよ"
"10016","1","1001601","vo_minigame_1004_top_2_027","2","vo_minigame_1004","へっ、なかなかやるじゃねえか"
"10016","2","1001602","vo_minigame_1004_top_2_028","1","vo_minigame_1004","カヤぴぃも思ったよりやるですね！"
"10017","1","1001701","vo_minigame_1004_top_2_029","2","vo_minigame_1004","お～い、ドラゴンもどき？"
"10017","2","1001702","vo_minigame_1004_top_2_030","3","vo_minigame_1004","ぐもっ！？（ヒッ！）"
"10018","1","1001801","vo_minigame_1004_top_2_031","2","vo_minigame_1004","いやあ、あんときは悪かったなはっはっは"
"10018","2","1001802","vo_minigame_1004_top_2_032","3","vo_minigame_1004","ぐももも……（かやピィ コワカッタ）"
"10019","1","1001901","vo_minigame_1004_top_2_033","2","vo_minigame_1004","お前ってさ……ほんとマヌケな顔してるよな"
"10019","2","1001902","vo_minigame_1004_top_2_034","3","vo_minigame_1004","ぐも……（オマエガ イウカ）"
"10020","2","1002001","vo_minigame_1004_top_2_044","3","vo_minigame_1004","ぐも……（ハラヘッタ チョコホシイ）"
"10020","1","1002002","vo_minigame_1004_top_2_045","2","vo_minigame_1004","なんだ？眠いのか？"
"10021","2","1002101","vo_minigame_1004_top_2_046","3","vo_minigame_1004","ぐもも（コイツ……キケン）"
"10021","1","1002102","vo_minigame_1004_top_2_047","2","vo_minigame_1004","うん？　なんだ？オレの舎弟にでもなりたいのか？"
"10022","2","1002201","vo_minigame_1004_top_2_048","3","vo_minigame_1004","ぐも…（かやピィノウキン）"
"10022","1","1002202","vo_minigame_1004_top_2_049","2","vo_minigame_1004","おい、今失礼なこと考えてるだろ？"
"10023","1","1002301","vo_minigame_1004_top_3_058","2","vo_minigame_1004","なあ、これいつまで続けるんだ？"
"10023","2","1002302","vo_minigame_1004_top_3_059","1","vo_minigame_1004","カヤぴぃが降参するまでです！"
"10023","2","1002303","vo_minigame_1004_top_3_060","3","vo_minigame_1004","ぐもも！（コウサンシロ！）"
"10024","2","1002401","vo_minigame_1004_top_3_065","3","vo_minigame_1004","ぐも！（イノリ チョコホシイ）"
"10024","1","1002402","vo_minigame_1004_top_3_066","1","vo_minigame_1004","しょうがないですね、食べ過ぎはダメですよ"
"10024","1","1002403","vo_minigame_1004_top_3_067","2","vo_minigame_1004","土産のチョコ、そうとう気に入ったみたいだな"
"10025","2","1002501","vo_minigame_1004_top_3_068","3","vo_minigame_1004","ぐも！（かやピィニハ マケナイ！）"
"10025","1","1002502","vo_minigame_1004_top_3_069","2","vo_minigame_1004","お？なんだ？腹でも減ってるのか？"
"10025","2","1002503","vo_minigame_1004_top_3_070","1","vo_minigame_1004","……全然話が通じてないです"
