79b844a0da154e2269e6962cedf1ec042147e00dd305a78decd6648c3e9759df,25d023fd48d652057acd2c22420adbcc9732f58f2fae89d876c534d0848b92f3,df906a61121dc5452822f9d00ec70d8a403715295a5849cae0943045049460fc,873d1db1ed8e964b422c97016dd6681b33afa319f2609f7ba33ad79c7a9cebf8,825e6707fa1bb3b6ad674845769d063c6c66b446fbc6b6297b0b01a3f99ca883,c7117c018a4440847af7c13c5dee2fbd0cbe4d9d4f479b4be8373675e76759fb,73c10cbeeb6e239c7296b49027935dc038cebd15966916ceaa364bb22775e9bc,f6cf56b69244a69ed1e46c9be7a96edd3074763ba35bbb55c6f875d6e3ee4ba7
"100716","36000","1007","13160000000000","1","物理攻撃アップ90秒","100716","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100717","36000","1007","12320000000000","1","ＴＰ100アップ","100717","バトル開始時、味方のＴＰが100アップ"
"100718","36000","1007","11480000000000","1","物理防御ダウン90秒","100718","バトル開始から90秒間、敵の物理防御力がダウン"
"100719","36000","1007","10360000000000","1","魔法防御ダウン90秒","100719","バトル開始から90秒間、敵の魔法防御力がダウン"
"100720","36000","1007","9520000000000","1","物理攻撃アップ90秒","100720","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100721","36000","1007","8680000000000","1","毎秒ＴＰアップ90秒","100721","バトル開始から90秒間、味方のＴＰが毎秒アップ"
"100722","36000","1007","7560000000000","1","ＴＰ150アップ","100722","バトル開始時、味方のＴＰが150アップ"
"100723","36000","1007","6720000000000","1","火傷ダメージ10秒","100723","バトル開始から10秒間、敵が火傷状態になる"
"100724","36000","1007","5880000000000","1","物理防御ダウン90秒","100724","バトル開始から90秒間、敵の物理防御力がダウン"
"100725","36000","1007","5040000000000","1","魔法防御ダウン90秒","100725","バトル開始から90秒間、敵の魔法防御力がダウン"
"100726","36000","1007","3920000000000","1","ＴＰ150アップ","100726","バトル開始時、味方のＴＰが150アップ"
"100727","36000","1007","3080000000000","1","無敵10秒","100727","バトル開始から10秒間、味方が無敵状態になる"
"100728","36000","1007","2240000000000","1","火傷ダメージ10秒","100728","バトル開始から10秒間、敵が火傷状態になる"
"100729","36000","1007","1120000000000","1","物理防御ダウン90秒","100729","バトル開始から90秒間、敵の物理防御力がダウン"
"100730","36000","1007","280000000000","1","魔法防御ダウン90秒","100730","バトル開始から90秒間、敵の魔法防御力がダウン"
"100801","36000","1008","43650000000000","1","毒ダメージ10秒","100801","バトル開始から10秒間、敵が毒状態になる"
"100802","36000","1008","41850000000000","1","物理攻撃ダウン90秒","100802","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100803","36000","1008","40500000000000","1","物理攻撃ダウン90秒","100803","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100804","36000","1008","39150000000000","1","物理防御ダウン90秒","100804","バトル開始から90秒間、敵の物理防御力がダウン"
"100805","36000","1008","37800000000000","1","物理防御ダウン90秒","100805","バトル開始から90秒間、敵の物理防御力がダウン"
"100806","36000","1008","36000000000000","1","物理攻撃ダウン90秒","100806","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100807","36000","1008","34650000000000","1","物理攻撃ダウン90秒","100807","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100808","36000","1008","33300000000000","1","物理防御ダウン90秒","100808","バトル開始から90秒間、敵の物理防御力がダウン"
"100809","36000","1008","31500000000000","1","物理防御ダウン90秒","100809","バトル開始から90秒間、敵の物理防御力がダウン"
"100810","36000","1008","30150000000000","1","魔法攻撃ダウン90秒","100810","バトル開始から90秒間、敵の魔法攻撃力がダウン"
"100811","36000","1008","28800000000000","1","毒ダメージ10秒","100811","バトル開始から10秒間、敵が毒状態になる"
"100812","36000","1008","27000000000000","1","物理攻撃ダウン90秒","100812","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100813","36000","1008","25650000000000","1","物理攻撃ダウン90秒","100813","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100814","36000","1008","24300000000000","1","物理防御ダウン90秒","100814","バトル開始から90秒間、敵の物理防御力がダウン"
"100815","36000","1008","22950000000000","1","魔法防御ダウン90秒","100815","バトル開始から90秒間、敵の魔法防御力がダウン"
"100816","36000","1008","21150000000000","1","物理攻撃ダウン90秒","100816","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100817","36000","1008","19800000000000","1","物理攻撃ダウン90秒","100817","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100818","36000","1008","18450000000000","1","物理防御ダウン90秒","100818","バトル開始から90秒間、敵の物理防御力がダウン"
"100819","36000","1008","16650000000000","1","魔法防御ダウン90秒","100819","バトル開始から90秒間、敵の魔法防御力がダウン"
"100820","36000","1008","15300000000000","1","物理攻撃ダウン90秒","100820","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100821","36000","1008","13950000000000","1","毒ダメージ10秒","100821","バトル開始から10秒間、敵が毒状態になる"
"100822","36000","1008","12150000000000","1","物理攻撃ダウン90秒","100822","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100823","36000","1008","10800000000000","1","物理攻撃ダウン90秒","100823","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100824","36000","1008","9450000000000","1","物理防御ダウン90秒","100824","バトル開始から90秒間、敵の物理防御力がダウン"
"100825","36000","1008","8100000000000","1","物理防御ダウン90秒","100825","バトル開始から90秒間、敵の物理防御力がダウン"
"100826","36000","1008","6300000000000","1","ＴＰ150アップ","100826","バトル開始時、味方のＴＰが150アップ"
"100827","36000","1008","4950000000000","1","無敵10秒","100827","バトル開始から10秒間、味方が無敵状態になる"
"100828","36000","1008","3600000000000","1","物理防御ダウン90秒","100828","バトル開始から90秒間、敵の物理防御力がダウン"
"100829","36000","1008","1800000000000","1","魔法防御ダウン90秒","100829","バトル開始から90秒間、敵の魔法防御力がダウン"
"100830","36000","1008","450000000000","1","毒ダメージ10秒","100830","バトル開始から10秒間、敵が毒状態になる"
