cbef125fb6b5d6a21ddea2fc9669e76ebff4c8d12916e019c6009fc2de64ee90,f2aef0dcb24d358d97ca7c52c34de8646c034d662321919ac8f8b958e664cc59,19489d7d64249c7b69686353052c0d46ae0d11176882892899208d4d9e9148dd,09490f5c6d10dfd62d017dc91e1af708acb547c041030e2d93b0a6a93095e6ca,58eee81dc442c88a627c16af8912848085d35ca3d21c997e7fdb8188822f9cc0,f9456a26c2b553ec5e650ebc9ff7812033f009c6301003e0690525244a4b1ab8,8acf2e1e012251b7ddadd4ff7b93878a60066a788d7815190d20013e04610581,9a7b5ea2d874493e7d22fd8c17998336169cc7a0fd60ba713498248319ce2007,b3e6da6ed78972c009bf35dc6888dfd40bbd909598dfd230069487e19386bae7,c562cc0a56505f4589d74fa7bc5d45c2f5ddc572821fca82066b9ab17425fd15,4ded8a03ca92f00283c4419ff83807db0f3ee5035dc52495356f677765245261
"","","se_travel","","1012","","","0","1010120001","23","se_travel_finish_cave_rare"
"0","0.1","1000001","","1012","","","-200","1010120002","2","-500"
"0","0.1","1000002","","1012","","","-150","1010120003","2","-350"
"0","0.1","1","","1012","","","-200","1010120004","2","-500"
"0","0.1","2","","1012","","","-150","1010120005","2","-350"
"1","travel_exdrama_r_101_walk","1000001","0.2","1012","0.2","","0","1010120006","3","travel_exdrama_r_101_joy"
"1","travel_exdrama_r_101_walk","1000002","0.2","1012","0.2","","0","1010120007","3","travel_exdrama_r_101_joy"
"1","travel_exdrama_r_101_walk","1","0.2","1012","0.2","","0","1010120008","3","travel_exdrama_r_101_joy"
"1","travel_exdrama_r_101_walk","2","0.2","1012","0.2","","0","1010120009","3","travel_exdrama_r_101_joy"
"","","10101","","1012","","","0","1010120010","32","0"
"","","10102","","1012","","","0","1010120011","32","1"
"","","1.66","","1012","","","","1010120012","93","0"
"","","10101","","1012","","","0","1010120013","32","1"
"","","10102","","1012","","","0","1010120014","32","0"
"0","0.2","1000001","","1012","","","-200","1010120015","2","-470"
"0","0.2","1000002","","1012","","","-150","1010120016","2","-320"
"0","0.2","1","","1012","","","-200","1010120017","2","-470"
"0","0.2","2","","1012","","","-150","1010120018","2","-320"
"","","se_travel","","1013","","","0","1010130001","23","se_travel_finish_cave_event"
"1","travel_exdrama_r_101_walk","1000001","0","1013","0.2","","0","1010130002","3","travel_exdrama_r_101_panic_A"
"1","travel_exdrama_r_101_walk","1000002","0","1013","0.2","","0","1010130003","3","travel_exdrama_r_101_panic_B"
"1","travel_exdrama_r_101_walk","1","0","1013","0.2","","0","1010130004","3","travel_exdrama_r_101_panic_A"
"1","travel_exdrama_r_101_walk","2","0","1013","0.2","","0","1010130005","3","travel_exdrama_r_101_panic_B"
"","","10002","","1013","","","","1010130006","32","1"
"","","10103","","1013","","","","1010130007","32","1"
"","","3","","1013","","","","1010130008","93","0"
"","","10002","","1013","","","","1010130009","32","0"
"","","10103","","1013","","","","1010130010","32","0"
"0","0.1","1000001","0","1014","0","","-200","1010140001","2","-500"
"0","0.1","1000002","0","1014","0","","-150","1010140002","2","-350"
"0","0.1","1","0","1014","0","","-200","1010140003","2","-500"
"0","0.1","2","0","1014","0","","-150","1010140004","2","-350"
"0","","1000001","0","1014","0","","0","1010140005","3","travel_exdrama_r_finish_B_hand"
"0","","1000002","0","1014","0","","0","1010140006","3","travel_exdrama_r_finish_B_hand"
"0","","1","0","1014","0","","0","1010140007","3","travel_exdrama_r_101_finish"
"0","","2","0","1014","0","","0","1010140008","3","travel_exdrama_r_101_finish"
"","","10101","","1014","","","0","1010140009","32","0"
"","","10104","","1014","","","0","1010140010","32","1"
"1","5","10200","","1021","1","","-350","1010210001","31","10200"
"1","5","10201","","1021","0","","-350","1010210002","31","10201"
"1","5","10202","","1021","0","","-350","1010210003","31","10202"
"1","86","10203","","1021","0","","-490","1010210004","31","10203"
"1","105","10204","","1021","0","","-200","1010210005","31","10204"
"1","50","10001","","1021","0","","-525","1010210006","31","10001"
"-180","-490","1","0","1021","1.46","travel_exdrama_r_102_book","1","1010210007","1","1000001"
"-180","-200","1","0","1021","1.46","travel_exdrama_r_102_loupe","2","1010210008","1","1000002"
"-180","-490","1","0","1021","1.46","travel_exdrama_r_102_book","11","1010210009","5","1"
"-180","-200","1","0","1021","1.46","travel_exdrama_r_102_loupe","12","1010210010","5","2"
"-136","-339","5","0","1021","2","reliclight_none","13","1010210011","5","5"
"","","se_travel","","1022","","","0","1010220001","23","se_travel_finish_ruins_rare"
"1","travel_exdrama_r_102_book","1000001","0.2","1022","0.2","","0","1010220002","3","travel_exdrama_r_102_bookFind_A"
"1","travel_exdrama_r_102_loupe","1000002","0.2","1022","0.2","","0","1010220003","3","travel_exdrama_r_102_loupeFind_A"
"1","travel_exdrama_r_102_book","1","0.2","1022","0.2","","0","1010220004","3","travel_exdrama_r_102_bookFind_A"
"1","travel_exdrama_r_102_loupe","2","0.2","1022","0.2","","0","1010220005","3","travel_exdrama_r_102_loupeFind_A"
"","","10202","","1022","","","","1010220006","32","1"
"","","10203","","1022","","","","1010220007","32","1"
"","","10204","","1022","","","","1010220008","32","1"
"","","1.66","","1022","","","","1010220009","93","0"
"","","10202","","1022","","","","1010220010","32","0"
"","","10203","","1022","","","","1010220011","32","0"
"","","10204","","1022","","","","1010220012","32","0"
"","","se_travel","","1023","","","0","1010230001","23","se_travel_finish_ruins_event"
"1","travel_exdrama_r_102_book","1000001","0","1023","0.2","","0","1010230002","3","travel_exdrama_r_102_bookFind_B"
"1","travel_exdrama_r_102_loupe","1000002","0","1023","0.2","","0","1010230003","3","travel_exdrama_r_102_loupeFind_B"
"1","travel_exdrama_r_102_book","1","0","1023","0.2","","0","1010230004","3","travel_exdrama_r_102_bookFind_B"
"1","travel_exdrama_r_102_loupe","2","0","1023","0.2","","0","1010230005","3","travel_exdrama_r_102_loupeFind_B"
"","","5","","1023","","","0","1010230006","3","reliclight_on"
"","","10201","","1023","","","","1010230007","32","1"
"","","10001","","1023","","","","1010230008","32","1"
"","","3","","1023","","","","1010230009","93","0"
"","","10201","","1023","","","","1010230010","32","0"
"","","10001","","1023","","","","1010230011","32","0"
"","","5","","1023","","","0","1010230012","3","reliclight_none"
"0","","1000002","0","1024","0","","0","1010240001","4","1"
"0","","2","0","1024","0","","0","1010240002","4","1"
"0","","1000001","0","1024","0","","0","1010240003","3","travel_exdrama_r_finish_A"
"0","","1000002","0","1024","0","","0","1010240004","3","travel_exdrama_r_finish_A_front"
"0","","1","0","1024","0","","0","1010240005","3","travel_exdrama_r_102_book_finish"
"0","","2","0","1024","0","","0","1010240006","3","travel_exdrama_r_102_loupe_finish"
"","","5","","1024","","","0","1010240007","3","reliclight_none"
"1","5","10300","","1031","1","","-350","1010310001","31","10300"
"1","5","10301","","1031","0","","-350","1010310002","31","10301"
"1","5","10302","","1031","0","","-350","1010310003","31","10302"
"1","50","10002","","1031","0","","-525","1010310004","31","10002"
"-200","-510","1","0","1031","1.46","travel_exdrama_r_103_dig_A","5","1010310005","1","1000001"
"-175","-400","1","0","1031","1.46","travel_exdrama_r_103_dig_B","3","1010310006","1","1000002"
"-140","-190","1","0","1031","1.46","travel_exdrama_r_103_map","1","1010310007","1","1000003"
"-200","-510","1","0","1031","1.46","travel_exdrama_r_103_dig_A","6","1010310008","5","1"
"-175","-400","1","0","1031","1.46","travel_exdrama_r_103_dig_B","4","1010310009","5","2"
"-140","-190","1","0","1031","1.46","travel_exdrama_r_103_map","2","1010310010","5","3"
"","","se_travel","","1032","","","0","1010320001","23","se_travel_finish_dig_rare"
"1","travel_exdrama_r_103_dig_A","1000001","0.2","1032","0.2","","0","1010320002","3","travel_exdrama_r_103_surprise_A"
"1","travel_exdrama_r_103_dig_B","1000002","0.2","1032","0.2","","0","1010320003","3","travel_exdrama_r_103_surprise_A"
"1","travel_exdrama_r_103_map","1000003","0.2","1032","0.2","","0","1010320004","3","travel_exdrama_r_103_mapSurprise_A"
"1","travel_exdrama_r_103_dig_A","1","0.2","1032","0.2","","0","1010320005","3","travel_exdrama_r_103_surprise_A"
"1","travel_exdrama_r_103_dig_B","2","0.2","1032","0.2","","0","1010320006","3","travel_exdrama_r_103_surprise_A"
"1","travel_exdrama_r_103_map","3","0.2","1032","0.2","","0","1010320007","3","travel_exdrama_r_103_mapSurprise_A"
"","","10302","","1032","","","","1010320008","32","1"
"","","1.25","","1032","","","","1010320009","93","0"
"","","10302","","1032","","","","1010320010","32","0"
"","","se_travel","","1033","","","0","1010330001","23","se_travel_finish_dig_event"
"1","travel_exdrama_r_103_dig_A","1000001","0","1033","0.2","","0","1010330002","3","travel_exdrama_r_103_surprise_B"
"1","travel_exdrama_r_103_dig_B","1000002","0","1033","0.2","","0","1010330003","3","travel_exdrama_r_103_surprise_B"
"1","travel_exdrama_r_103_map","1000003","0","1033","0.2","","0","1010330004","3","travel_exdrama_r_103_mapSurprise_B"
"1","travel_exdrama_r_103_dig_A","1","0","1033","0.2","","0","1010330005","3","travel_exdrama_r_103_surprise_B"
"1","travel_exdrama_r_103_dig_B","2","0","1033","0.2","","0","1010330006","3","travel_exdrama_r_103_surprise_B"
"1","travel_exdrama_r_103_map","3","0","1033","0.2","","0","1010330007","3","travel_exdrama_r_103_mapSurprise_B"
"","","10301","","1033","","","","1010330008","32","1"
"","","10002","","1033","","","","1010330009","32","1"
"","","3","","1033","","","","1010330010","93","0"
"","","10301","","1033","","","","1010330011","32","0"
"","","10002","","1033","","","","1010330012","32","0"
"","","1000003","","1034","","","","1010340001","4","1"
"","","3","","1034","","","","1010340002","4","1"
"0","","1000001","0","1034","0","","0","1010340003","3","travel_exdrama_r_finish_B"
"0","","1000002","0","1034","0","","0","1010340004","3","travel_exdrama_r_finish_B"
"0","","1000003","0","1034","0","","0","1010340005","3","travel_exdrama_r_finish_A_front"
"0","","1","0","1034","0","","0","1010340006","3","travel_exdrama_r_103_shovel"
"0","","2","0","1034","0","","0","1010340007","3","travel_exdrama_r_103_shovel"
"0","","3","0","1034","0","","0","1010340008","3","travel_exdrama_r_103_map_finish"
"1","5","10400","","1041","1","","-350","1010410001","31","10400"
"1","5","10401","","1041","1","","-350","1010410002","31","10401"
"1","5","10402","","1041","0","","-350","1010410003","31","10402"
"1","5","10403","","1041","0","","-350","1010410004","31","10403"
"1","50","10001","","1041","0","","-525","1010410005","31","10001"
"-150","-450","1","0","1041","1.46","travel_exdrama_r_104_fishingIdle","12","1010410006","1","1000001"
"-125","-200","1","0","1041","1.46","travel_exdrama_r_104_idle_B","10","1010410007","1","1000002"
"-150","-450","2","0","1041","1.46","travel_exdrama_r_104_fishingIdle","11","1010410008","5","1"
"-150","-350","4","0","1041","1","none","20","1010410009","5","10"
"","","se_travel","","1042","","","0","1010420001","23","se_travel_finish_bridge_rare"
"1","travel_exdrama_r_104_fishingIdle","1000001","0.2","1042","0.2","","0","1010420002","3","travel_exdrama_r_104_fishingCatch"
"1","travel_exdrama_r_104_idle_B","1000002","0.2","1042","0.2","","0","1010420003","3","travel_exdrama_r_104_glad_B"
"1","travel_exdrama_r_104_fishingIdle","1","0.2","1042","0.2","","0","1010420004","3","travel_exdrama_r_104_fishingCatch"
"1","none","10","0","1042","0","","0","1010420005","3","fish"
"","","10402","","1042","","","","1010420006","32","1"
"","","1.25","","1042","","","","1010420007","93","0"
"","","10402","","1042","","","","1010420008","32","0"
"","","se_travel","","1043","","","0","1010430001","23","se_travel_finish_bridge_event"
"1","travel_exdrama_r_104_fishingIdle","1000001","0","1043","0","","0","1010430002","3","travel_exdrama_r_104_fishingBig"
"1","travel_exdrama_r_104_idle_B","1000002","0","1043","0","","0","1010430003","3","travel_exdrama_r_104_surprise_B"
"1","travel_exdrama_r_104_fishingIdle","1","0","1043","0","","0","1010430004","3","travel_exdrama_r_104_fishingBig"
"","","10403","","1043","","","","1010430005","32","1"
"","","10001","","1043","","","","1010430006","32","1"
"","","3","","1043","","","","1010430007","93","0"
"","","10403","","1043","","","","1010430008","32","0"
"","","10001","","1043","","","","1010430009","32","0"
"","","1000002","","1044","","","","1010440001","4","1"
"0","","1000001","0","1044","0","","0","1010440002","3","travel_exdrama_r_104_fishing_finish"
"0","","1000002","0","1044","0","","0","1010440003","3","travel_exdrama_r_finish_A_front"
"0","","1","0","1044","0.2","","0","1010440004","3","travel_exdrama_r_104_fishing_finish"
"1","5","10500","","1051","1","","-350","1010510001","31","10500"
"1","-200","10501","","1051","0","","-350","1010510002","31","10501"
"1","50","10001","","1051","0","","-525","1010510003","31","10001"
"-200","-470","1","0","1051","1.46","travel_exdrama_r_105_netSearch","1","1010510004","1","1000001"
"-220","-200","1","0","1051","1.46","travel_exdrama_r_105_binoculars","2","1010510005","1","1000002"
"-200","-470","1","0","1051","1.46","travel_exdrama_r_105_netSearch","5","1010510006","5","1"
"-220","-200","1","0","1051","1.46","travel_exdrama_r_105_binoculars","3","1010510007","5","2"
"-230","-350","3","0","1051","1.46","idle","4","1010510008","5","10"
"1","travel_exdrama_r_105_netSearch","1000001","0.1","1052","0.2","","0","1010520001","3","travel_exdrama_r_105_netFind_A"
"1","travel_exdrama_r_105_binoculars","1000002","0.2","1052","0.2","","0","1010520002","3","travel_exdrama_r_105_binocularsFind_A"
"1","travel_exdrama_r_105_netSearch","1","0.1","1052","0.2","","0","1010520003","3","travel_exdrama_r_105_netFind_A"
"1","travel_exdrama_r_105_binoculars","2","0.2","1052","0.2","","0","1010520004","3","travel_exdrama_r_105_binocularsFind_A"
"1","idle","10","0.2","1052","0.2","","0","1010520005","3","beetle"
"","","10501","","1052","","","","1010520006","32","1"
"","","1.2","","1052","","","","1010520007","93","0"
"","","10501","","1052","","","","1010520008","32","0"
"","","se_travel","","1053","","","0","1010530001","23","se_travel_finish_insects_event"
"1","travel_exdrama_r_105_netSearch","1000001","0","1053","0.2","","0","1010530002","3","travel_exdrama_r_105_netFind_B"
"1","travel_exdrama_r_105_binoculars","1000002","0","1053","0.2","","0","1010530003","3","travel_exdrama_r_105_binocularsFind_B"
"1","travel_exdrama_r_105_netSearch","1","0","1053","0.2","","0","1010530004","3","travel_exdrama_r_105_netFind_B"
"1","travel_exdrama_r_105_binoculars","2","0","1053","0.2","","0","1010530005","3","travel_exdrama_r_105_binocularsFind_B"
"1","idle","10","0","1053","0.2","","0","1010530006","3","butterfly"
"","","10501","","1053","","","","1010530007","32","1"
"","","10001","","1053","","","","1010530008","32","1"
"","","2.6","","1053","","","","1010530009","93","0"
"","","10501","","1053","","","","1010530010","32","0"
"","","10501","","1053","","","","1010530011","32","1"
"","","0.4","","1053","","","","1010530012","93","0"
"","","10501","","1053","","","","1010530013","32","0"
"","","10001","","1053","","","","1010530014","32","0"
"","","1000002","","1054","","","","1010540001","4","1"
"","","2","","1054","","","","1010540002","4","1"
"0","","1000001","0","1054","0","","0","1010540003","3","travel_exdrama_r_finish_B_hand"
"0","","1000002","0","1054","0","","0","1010540004","3","travel_exdrama_r_finish_B"
"0","","1","0","1054","0","","0","1010540005","3","travel_exdrama_r_105_net_finish"
"0","","2","0","1054","0","","0","1010540006","3","travel_exdrama_r_105_binoculars_finish"
"0","","10","0","1054","0","","0","1010540007","3","stop"
"1","5","10600","","1061","1","","-350","1010610001","31","10600"
"1","5","10601","","1061","0","","-350","1010610002","31","10601"
"1","5","10602","","1061","0","","-350","1010610003","31","10602"
"1","5","10603","","1061","0","","-350","1010610004","31","10603"
"1","5","10604","","1061","1","","-350","1010610005","31","10604"
"1","5","10605","","1061","1","","-350","1010610006","31","10605"
"1","50","10001","","1061","0","","-525","1010610007","31","10001"
"-224","-497","1","0","1061","1.46","travel_exdrama_r_106_idle_A","18","1010610008","1","1000001"
"-116","-208","1","0","1061","1.46","travel_exdrama_r_106_idle_B","2","1010610009","1","1000002"
"-224","-497","1","0","1061","1.46","travel_exdrama_r_106_idle_A","30","1010610010","5","1"
"-116","-208","1","0","1061","1.46","travel_exdrama_r_000_none","3","1010610011","5","2"
"","","se_travel","","1062","","","0","1010620001","23","se_travel_finish_beach_rare"
"1","travel_exdrama_r_106_idle_A","1000001","0.2","1062","0","","0","1010620002","3","travel_exdrama_r_106_rare_A"
"1","travel_exdrama_r_106_idle_B","1000002","0.2","1062","0","","0","1010620003","3","travel_exdrama_r_106_rare_B"
"1","travel_exdrama_r_106_idle_A","1","0.2","1062","0","","0","1010620004","3","travel_exdrama_r_106_rare_A"
"0","travel_exdrama_r_000_none","2","0.2","1062","0","","0","1010620005","3","travel_exdrama_r_106_rare_B"
"","","10603","","1062","","","","1010620006","32","1"
"","","1.2","","1062","","","","1010620007","93","0"
"","","10603","","1062","","","","1010620008","32","0"
"","","se_travel","","1063","","","0","1010630001","23","se_travel_finish_beach_event"
"1","travel_exdrama_r_106_idle_A","1000001","0","1063","0","","0","1010630002","3","travel_exdrama_r_106_memory_A"
"1","travel_exdrama_r_106_idle_B","1000002","0","1063","0","","0","1010630003","3","travel_exdrama_r_106_memory_B"
"1","travel_exdrama_r_106_idle_A","1","0","1063","0","","0","1010630004","3","travel_exdrama_r_106_memory_A"
"","","10601","","1063","","","","1010630005","32","1"
"","","10602","","1063","","","","1010630006","32","1"
"","","10001","","1063","","","","1010630007","32","1"
"","","3","","1063","","","","1010630008","93","0"
"","","10601","","1063","","","","1010630009","32","0"
"","","10602","","1063","","","","1010630010","32","0"
"","","10001","","1063","","","","1010630011","32","0"
"","","1000002","","1064","","","","1010640001","4","1"
"","","1000001","","1064","","","","1010640002","4","1"
"","","2","","1064","","","","1010640003","4","1"
"","","1000001","0","1064","0","","0","1010640004","3","travel_exdrama_r_106_finish_A"
"","","1000002","0","1064","0","","0","1010640005","3","travel_exdrama_r_106_finish_B"
"","","1","0","1064","0","","0","1010640006","3","travel_exdrama_r_106_rare_A"
"","","2","0","1064","0","","0","1010640007","3","travel_exdrama_r_000_none"
"1","5","10700","","1071","1","","-350","1010710001","31","10700"
"1","5","10701","","1071","1","","-350","1010710002","31","10701"
"1","5","10702","","1071","0","","-350","1010710003","31","10702"
"1","5","10703","","1071","0","","-350","1010710004","31","10703"
"1","50","10001","","1071","0","","-525","1010710005","31","10001"
"-170","-470","1","0","1071","1.46","travel_exdrama_r_107_dig_A","32","1010710006","1","1000001"
"-170","-215","1","1","1071","1.46","travel_exdrama_r_107_dig_B","30","1010710007","1","1000002"
"-170","-470","1","0","1071","1.46","travel_exdrama_r_107_dig_A","33","1010710008","5","1"
"-170","-215","1","1","1071","1.46","travel_exdrama_r_107_dig_B","31","1010710009","5","10"
"","","se_travel","","1072","","","0","1010720001","23","se_travel_finish_raredrop"
"1","travel_exdrama_r_107_dig_A","1000001","0.2","1072","0.2","","0","1010720002","3","travel_exdrama_r_107_joy"
"1","travel_exdrama_r_107_dig_B","1000002","0.2","1072","0.2","","0","1010720003","3","travel_exdrama_r_107_joy"
"1","travel_exdrama_r_107_dig_A","1","0.2","1072","0.2","","0","1010720004","3","travel_exdrama_r_107_joy"
"1","travel_exdrama_r_107_dig_B","10","0.2","1072","0.2","","0","1010720005","3","travel_exdrama_r_107_joy"
"","","10701","","1072","","","","1010720006","32","0"
"","","10702","","1072","","","","1010720007","32","1"
"","","1.4","","1072","","","","1010720008","93","0"
"","","10701","","1072","","","","1010720009","32","1"
"","","10702","","1072","","","","1010720010","32","0"
"","","se_travel","","1073","","","0","1010730001","23","se_travel_finish_memory_event"
"1","travel_exdrama_r_107_dig_A","1000001","0","1073","0.2","","0","1010730002","3","travel_exdrama_r_107_surprise_A"
"1","travel_exdrama_r_107_dig_B","1000002","0","1073","0.2","","0","1010730003","3","travel_exdrama_r_107_surprise_B"
"1","travel_exdrama_r_107_dig_A","1","0","1073","0.2","","0","1010730004","3","travel_exdrama_r_107_surprise_A"
"1","travel_exdrama_r_107_dig_B","10","0","1073","0.2","","0","1010730005","3","travel_exdrama_r_107_surprise_B"
"","","10703","","1073","","","","1010730006","32","1"
"","","10001","","1073","","","","1010730007","32","1"
"","","10701","","1073","","","","1010730008","32","0"
"","","3","","1073","","","","1010730009","93","0"
"","","10703","","1073","","","","1010730010","32","0"
"","","10001","","1073","","","","1010730011","32","0"
"","","10701","","1073","","","","1010730012","32","1"
"","","1000002","","1074","","","","1010740001","4","1"
"","","10","","1074","","","","1010740002","4","1"
"0","","1000001","0","1074","0","","0","1010740003","3","travel_exdrama_r_finish_B_hand"
"0","","1000002","0","1074","0","","0","1010740004","3","travel_exdrama_r_finish_B_hand"
"0","","1","0","1074","0","","0","1010740005","3","travel_exdrama_r_107_finish_A"
"0","","10","0","1074","0","","0","1010740006","3","travel_exdrama_r_107_finish_A"
"","","10701","","1074","","","","1010740007","32","0"
"1","5","10800","","1081","1","","-350","1010810001","31","10800"
"1","5","10401","","1081","1","","-350","1010810002","31","10401"
"1","5","10402","","1081","0","","-350","1010810003","31","10402"
"1","5","10403","","1081","0","","-350","1010810004","31","10403"
"1","50","10001","","1081","0","","-525","1010810005","31","10001"
"-150","-450","1","0","1081","1.46","travel_exdrama_r_104_fishingIdle","12","1010810006","1","1000001"
"-125","-200","1","0","1081","1.46","travel_exdrama_r_104_idle_B","10","1010810007","1","1000002"
"-150","-450","2","0","1081","1.46","travel_exdrama_r_104_fishingIdle","11","1010810008","5","1"
"-150","-350","4","0","1081","1","none","20","1010810009","5","10"
"","","se_travel","","1082","","","0","1010820001","23","se_travel_finish_bridge_rare"
"1","travel_exdrama_r_104_fishingIdle","1000001","0.2","1082","0.2","","0","1010820002","3","travel_exdrama_r_104_fishingCatch"
"1","travel_exdrama_r_104_idle_B","1000002","0.2","1082","0.2","","0","1010820003","3","travel_exdrama_r_104_glad_B"
"1","travel_exdrama_r_104_fishingIdle","1","0.2","1082","0.2","","0","1010820004","3","travel_exdrama_r_104_fishingCatch"
"1","none","10","0","1082","0","","0","1010820005","3","fish"
"","","10402","","1082","","","","1010820006","32","1"
"","","1.25","","1082","","","","1010820007","93","0"
"","","10402","","1082","","","","1010820008","32","0"
"","","se_travel","","1083","","","0","1010830001","23","se_travel_finish_bridge_event"
"1","travel_exdrama_r_104_fishingIdle","1000001","0","1083","0","","0","1010830002","3","travel_exdrama_r_104_fishingBig"
"1","travel_exdrama_r_104_idle_B","1000002","0","1083","0","","0","1010830003","3","travel_exdrama_r_104_surprise_B"
"1","travel_exdrama_r_104_fishingIdle","1","0","1083","0","","0","1010830004","3","travel_exdrama_r_104_fishingBig"
"","","10403","","1083","","","","1010830005","32","1"
