3cefa09cbd32d783d5daab5c180ca089152387c92a641f824677c61d35ff9640,e88151d4fd9e703ff552fdc94bed2e471aa4a389a572a2d4aaa01246fc2b3308,edd53c307eab58b0d72335fb2a815e3d6e2a2875a268e4db1600733dab18a51e,000c57cdace1040c0647529549143f99dc3a5b3dd6fef068c48ab7665a388abd,d2fed92c9f8ea82513db1fb0830091c76276b5c3a8575345ba6ec7c482780722,be2494f37fc7dbf95c082f73f4975428b06563f55d41ee39891b2a3a83c67fd0
"204","803100270","111","2147028","1","300708"
"104","803100270","100","2147029","0","300709"
"107","803100270","101","2147030","0","300710"
"202","803100271","113","2147031","1","300711"
"203","803100271","114","2147032","1","300712"
"105","803100271","102","2147033","0","300713"
"205","803100271","112","2147034","1","300714"
"110","803100271","107","2147035","0","300715"
"204","803100271","111","2147036","1","300716"
"104","803100271","100","2147037","0","300717"
"107","803100271","101","2147038","0","300718"
