209e78ff454605bc69f72038ea356e02e1ce122e9f41aff41327f89ac351af84,48f746c7140c992a07339fbd789945cfb9bfc11c158ef6fa39502dda73c40155,53dffed537bc2b354eb79326640437b4c3b7fb10cba1bb9ee54d8752c4b93a33,7817f9d60379b4ae9462e2fb6c78e2b78f0b220292b0f8aea340fccfadbf7883,8ca172984233374e823b0aaf146feb93c45e2a400c22589d7316cb48b239e866,058fffd8abad7d366aea4e192a6497157411c18ebc556ecc105204bb1e71a6b2,afdb1005be8e2ea25d79c76168fcf17566c3985bbff8eb5c62919062fd2aeb9b,2a500c2fb9db54b63020ee0525b658d399e9b6bdef2ed31ab79cae6cb595701c,0d71ca57301c0fbe10466ae4e0f5453de431498bf174f0b00f716c9cf2149732,1b5a3b1da09f0ec7a888ac35b56beea11cf857d62531803d56bdcc053d39bdac,d87f1b7915cb6590e80aa68e62d5250b913af8f0513fa66fef4cbe5fa8ec82ba,0eed541ccfde0aba8c6deb2d0c6e35b1868971e4e25b8edc2ee32cab99314c8e,71ad849de4a8518350ad12e930a685ddb4ab7b030342a4b429b60866d2d1fa6f,d5b3cbf8b6f74e68c702929fd9297fb3f34b5a8d9c1ad6f6ca6442c6cd80ef2b
"2","5","1","2024/09/22 14:59:59","2002","130502","3.18","10018","2","2024/06/15 15:00:00","ほーちゃんと呼ぶ権利は\n売っていませんよ？\n騎士さんへの、特別です！","0","-470","ホウオウ"
"3","5","4","2024/09/22 14:59:59","2002","130503","0","10019","4","2024/06/15 15:00:00","うﾞぇぇえんっ！まﾞだごの\n格好になっぢゃいまじだ！\n寄付をお願いじまず～っ！","0","-470","ホウオウ"
"1","5","2","2024/09/22 14:59:59","2002","123301","4.9","10020","1","2024/06/15 15:00:00","おっすー♪\nなんでも交換してけー\nカリザきゅん以外で","0","-470","ネア"
"2","5","2","2024/09/22 14:59:59","2002","123301","4.8","10021","1","2024/06/15 15:00:00","ところで、騎士きゅんは\nおいくら万ルピ？\nジョーダンぬ・き・で♡","0","-470","ネア"
"1","6","1","2024/12/22 14:59:59","2002","133301","4.922","10022","3","2024/09/15 15:00:00","ケッ、なんでオレ様が店番\nなんざ…って来んなキイロ\nオレは売りモンじゃねー！","0","-470","カリザ"
"2","6","5","2024/12/22 14:59:59","2002","133301","9.638","10023","3","2024/09/15 15:00:00","い、言わなきゃダメか？\n「…いらっしゃいませ…」\nクソッ、笑うんじゃねー！","0","-470","カリザ"
"1","6","2","2024/12/22 14:59:59","2002","133401","2.88","10024","1","2024/09/15 15:00:00","ショップへようこそ～\nネラさまの腹心…的な私が\n店番させていただきま～す","0","-470","ミーア"
"2","6","1","2024/12/22 14:59:59","2002","133401","4.818","10025","5","2024/09/15 15:00:00","私の抜け殻とか、\n需要ありますかね～…\nって冗談ですよ、冗談！","0","-470","ミーア"
"1","7","1","2025/03/22 14:59:59","2002","133002","1.78","10026","2","2024/12/15 15:00:00","へい、らっしゃい\nさ、騎士氏。冥土の土産は\nなにがいいですか？","0","-470","グレイス"
"2","7","7","2025/03/22 14:59:59","2002","133002","6.15","10027","1","2024/12/15 15:00:00","商品をお買い上げ毎に\nグレイスちゃんポイントを\n差し上げます。嘘ですが","0","-470","グレイス"
"1","7","2","2025/03/22 14:59:59","2002","133102","4.28","10028","6","2024/12/15 15:00:00","ようこそいらっしゃいませ\n…接客とは、このような\n振舞で宜しいでしょうか？","0","-470","ヴァイオレット"
"2","7","1","2025/03/22 14:59:59","2002","133102","0","10029","1","2024/12/15 15:00:00","じめじめした商品は\nございませんので\n安心してお買い求め下さい","0","-470","ヴァイオレット"
"1","8","1","2025/06/23 14:59:59","2002","136902","5.53","10030","2","2025/03/15 15:00:00","いらっしゃいましぇでしゅ\n何をお求めでしゅか？\nたこ焼きもありましゅよ！","0","-470","ルルィ"
"2","8","7","2025/06/23 14:59:59","2002","136902","6.05","10031","9","2025/03/15 15:00:00","そのコイン…ピカピカで、\n集めたくなっちゃいましゅ\nタコ釣られされちゃう～…","0","-470","ルルィ"
"1","8","1","2025/06/23 14:59:59","2002","137001","0","10032","2","2025/03/15 15:00:00","姫のご友人ならば\n礼儀を尽くすのが爺の務め\nさ、望みの物を言いたまえ","0","-470","デュラン"
"2","8","1","2025/06/23 14:59:59","2002","137001","0","10033","2","2025/03/15 15:00:00","キャラバンコインではなく\n首で支払って貰えんかのぅ\n…冗談であるぞ？","0","-470","デュラン"
"1","9","2","2025/09/23 14:59:59","2002","135902","0","10034","2","2025/06/16 15:00:00","おう\n好きなもん持ってきな","0","-470","サツキ"
"2","9","6","2025/09/23 14:59:59","2002","135902","4.935","10035","1","2025/06/16 15:00:00","宵越しの銭を持つような\n野暮いマネぁしくさんな\nツキが落ちてもしらねぇぜ","0","-470","サツキ"
"1","9","5","2025/09/23 14:59:59","2002","135802","7.441","10036","2","2025/06/16 15:00:00","ら、ら、らっしゃっせ…\nなんかほしいもん、ある？\nか、かき氷とか、ど…？","0","-470","ユキノ"
"2","9","7","2025/09/23 14:59:59","2002","135802","0","10037","7","2025/06/16 15:00:00","そ、そんな見ねぇで…\nあては、売りもんじゃ\nねぇよ…？","0","-470","ユキノ"
"1","10","2","2025/12/22 14:59:59","2002","130901","2.295","10038","2","2025/09/16 15:00:00","クルルをお求めですかっ？\nそれならお礼に、こちらの\n宝石もどうぞですよ～♪","0","-470","クルル"
"2","10","6","2025/12/22 14:59:59","2002","130901","6.281","10039","1","2025/09/16 15:00:00","はっ！　ヒーローさんから\nお代なんて頂けないです！\nどうぞどうぞ…え、ダメ？","0","-470","クルル"
"1","10","1","2025/12/22 14:59:59","2002","137701","5.549","10040","2","2025/09/16 15:00:00","よぅ！　今日の俺さまは\n門番じゃなく、店番だぜ\nメモピ～スフィア～てな！","0","-470","ヴォルガーノ"
"2","10","6","2025/12/22 14:59:59","2002","137701","2.64","10041","3","2025/09/16 15:00:00","…リマさんのブロマイド？\n買い取るに決まってらぁ！\nなんでも持ってけ泥棒っ！","0","-470","ヴォルガーノ"
"1","11","4","2026/03/23 11:59:59","2002","132801","7.642","10042","7","2025/12/15 15:00:00","こ、この格好は…ヴルムが\n集客効果があると言って…\n…本当でしょうか？","0","-470","ライラエル"
"2","11","1","2026/03/23 11:59:59","2002","132802","0","10043","1","2025/12/15 15:00:00","この我に店番させるとは…\n全て買わねば許さぬぞ\n我が国庫に貢献するが良い","0","-470","ライラエル"
"1","11","1","2026/03/23 11:59:59","2002","134502","0","10044","1","2025/12/15 15:00:00","アナライズっ！\n本日のオススメ商品は～…\nこちらですっ♪","0","-470","クローチェ"
"2","11","1","2026/03/23 11:59:59","2002","134501","3.72","10045","2","2025/12/15 15:00:00","ギガンティックローチェ、\nおひとついかがですかっ？\n格納庫用意して下さいねっ","0","-470","クローチェ"
