307f97452e1c4b8606b8d2458c1cd48f0a7b2139c2250379adeb4eb84bb64329,0c7c582059591026d29a88248f75b2bde9104c8e6f2d5a229f769b92545509ec,4486eb24ecf96894eb9d675c30b24eb1e000c0f5680a7a446c655714dcb58ecb,9e7b3dfef3d0f1d64ac23908219c3f5fbb04ded15800dcef8d583f41cb2b45ee,807e52f62c907b166f65ab71ffee9a88d2c0479dc41556f5eabf1fd47716a05c,6cc687140683be89949d3cf538d2923f8eccdb77167c7f20c8f1d905347adb2b,4d01abe19b6d9a98aa3a1abd88ec57928903d0c0f2ac22e4d9516af4dd2438b7,e9c09d9b3b8e07cc28fb26571a44a3ac70bd19f12262b3f3414d469ab2c9eb45,29bc73daf7bac237c974c8de5e31c31f7e2768759a5137b1a7e7035ca9c0fece,cfed201d344b24d10d6b5219462e41f6c95f683b0aa726a0057210a386482cfe,92614989473cca7801420fedf0d7758a0422835091a4a58bafd795bbe6edc8dd
"0","vo_omp_7003","","3","","","0","vo_omp_7003_000","21","","1030005"
"10","112411","","3","1","","1","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","11","","1030006"
"","0","","3","","","","","91","","1030007"
"1","112411","0","3","","","","omp_psn_20","3","","1030008"
"1","112611","0","3","","","","omp_psn_19","3","","1030009"
"0","vo_omp_7003","","3","","","0","vo_omp_7003_001","21","","1030010"
"10","112611","","3","1","","1","た、楽しいかな～？","11","","1030011"
"","0","","3","","","","","91","","1030012"
"1","112611","0","3","","","","omp_psn_18","3","","1030013"
"1","112411","0","3","","","","omp_talk_joy1","3","","1030014"
"0","vo_omp_7003","","3","","","0","vo_omp_7003_002","21","","1030015"
"10","112411","","3","1","","1","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","11","","1030016"
"","0","","3","","","","","91","","1030017"
"1","112411","0","3","","","","omp_psn_20","3","","1030018"
"1","112611","0","3","","","","omp_talk_joy1","3","","1030019"
"0","vo_omp_7003","","3","","","0","vo_omp_7003_003","21","","1030020"
"10","112611","","3","1","","1","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","11","","1030021"
"","1.5","","3","","","","1","93","","1030022"
"1","112611","0.2","3","","","","omp_psn_19","3","","1030023"
"","1030021","","3","","","","","91","","1030024"
"1","112611","0","3","","","","omp_psn_18","3","","1030025"
"1","112411","0","3","","","","omp_talk_joy1","3","","1030026"
"0","vo_omp_7003","","3","","","0","vo_omp_7003_004","21","","1030027"
"10","112411","","3","1","","1","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","11","","1030028"
"","0","","3","","","","","91","","1030029"
"1","112411","0","3","","","","omp_psn_20","3","","1030030"
"1","112611","0","3","","","","omp_psn_19","3","","1030031"
"0","vo_omp_7003","","3","","","0","vo_omp_7003_005","21","","1030032"
"10","112611","","3","1","","1","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","11","","1030033"
"","0","","3","","","","","91","","1030034"
"1","112611","0","3","","","","omp_psn_18","3","","1030035"
"1","112411","0","3","","","","omp_talk_joy2","3","","1030036"
"0","vo_omp_7003","","3","","","0","vo_omp_7003_006","21","","1030037"
"10","112411","","3","1","","1","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","11","","1030038"
"","0","","3","","","","","91","","1030039"
"1","112411","0","3","","","","omp_psn_20","3","","1030040"
"1","112611","0","3","","","","omp_talk_sad","3","","1030041"
"0","vo_omp_7003","","3","","","0","vo_omp_7003_007","21","","1030042"
"10","112611","","3","1","","1","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","11","","1030043"
"","6","","3","","","","1","93","","1030044"
"1","112611","0.2","3","","","","omp_talk_joy2","3","","1030045"
"","1030043","","3","","","","","91","","1030046"
"1","112611","0","3","","","","omp_idle_joy2","3","","1030047"
"1","112411","0","3","","","","omp_talk_joy2","3","","1030048"
"0","vo_omp_7003","","3","","","0","vo_omp_7003_008","21","","1030049"
"10","112411","","3","1","","1","はい！\n一緒に頑張りましょう！","11","","1030050"
"","0","","3","","","","","91","","1030051"
"","0.4","","3","","","","","93","","1030052"
"1600","1","1.8","4","-195","omp_talk_normal","-180","105831","1","0","1040001"
"1500","1","1.8","4","-190","omp_idle_normal","20","105931","1","1","1040002"
"1600","1","1.8","4","-205","omp_idle_normal","220","106031","1","1","1040003"
"0","1","1","4","1","","0","1","31","","1040004"
"","1","","4","","","","","93","","1040005"
"0","vo_omp_7004","","4","","","0","vo_omp_7004_000","21","","1040006"
"10","105831","","4","1","","1","せっかくですから\nわたしたちもアイドルを\nしてみませんか？","11","","1040007"
"","0","","4","","","","","91","","1040008"
"1","105831","0","4","","","","omp_idle_normal","3","","1040009"
"1","105931","0","4","","","","omp_talk_normal","3","","1040010"
"0","vo_omp_7004","","4","","","0","vo_omp_7004_001","21","","1040011"
"10","105931","","4","1","","1","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","11","","1040012"
"","0","","4","","","","","91","","1040013"
"","105931","","4","","","","0","4","","1040014"
"1","105931","0","4","","","","omp_idle_normal","3","","1040015"
"0","106031","0","4","1","","omp_idle_surprise1","omp_surprise","3","","1040016"
"0","vo_omp_7004","","4","","","0","vo_omp_7004_002","21","","1040017"
"10","106031","","4","1","","1","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","11","","1040018"
"","2","","4","","","","1","93","","1040019"
"1","106031","0.1","4","","","","omp_talk_tsun","3","","1040020"
"","1040018","","4","","","","","91","","1040021"
"1","106031","0","4","","","","omp_talk_tsun","3","","1040022"
"0","vo_omp_7004","","4","","","0","vo_omp_7004_003","21","","1040023"
"10","106031","","4","1","","1","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","11","","1040024"
"","0","","4","","","","","91","","1040025"
"1","106031","0","4","","","","omp_idle_tsun","3","","1040026"
"1","105931","0","4","","","","omp_talk_worry","3","","1040027"
"0","vo_omp_7004","","4","","","0","vo_omp_7004_004","21","","1040028"
"10","105931","","4","1","","1","それはそうでございますが…\n好奇心が勝ってしまいまして","11","","1040029"
"","0","","4","","","","","91","","1040030"
"","105931","","4","","","","1","4","","1040031"
"1","105931","0","4","","","","omp_idle_worry","3","","1040032"
"1","105831","0","4","","","","omp_talk_joy1","3","","1040033"
"0","vo_omp_7004","","4","","","0","vo_omp_7004_005","21","","1040034"
"10","105831","","4","1","","1","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","11","","1040035"
"","5.5","","4","","","","1","93","","1040036"
"0","105831","0.2","4","","","","omp_psn_11","3","","1040037"
"","1040035","","4","","","","","91","","1040038"
"1","105931","0","4","","","","omp_talk_normal","3","","1040039"
"0","vo_omp_7004","","4","","","0","vo_omp_7004_006","21","","1040040"
"10","105931","","4","1","","1","はい♪\nいえーい、でございます…！","11","","1040041"
"","1.5","","4","","","","1","93","","1040042"
"0","105931","0.2","4","1","","","omp_psn_11","3","","1040043"
"","1040041","","4","","","","","91","","1040044"
"","105931","","4","","","","0","4","","1040045"
"1","105931","0","4","","","","omp_idle_normal","3","","1040046"
"1","105831","0.2","4","","","","omp_idle_joy1","3","","1040047"
"1","106031","0","4","","","","omp_idle_tsun","3","","1040048"
"0","vo_omp_7004","","4","","","0","vo_omp_7004_007","21","","1040049"
"10","106031","","4","1","","1","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","11","","1040050"
"","7","","4","","","","1","93","","1040051"
"0","106031","0.1","4","","","","omp_psn_12","3","","1040052"
"","1.5","","4","","","","","93","","1040053"
"","1040050","","4","","","","","91","","1040054"
"1","106031","0.2","4","","","","omp_idle_normal","3","","1040055"
"1","105831","0","4","","","","omp_idle_surprise1","3","","1040056"
"0","vo_omp_7004","","4","","","0","vo_omp_7004_008","21","","1040057"
"10","105831","","4","1","","1","キャ、キャルちゃん…","11","","1040058"
"","0","","4","","","","","91","","1040059"
"1","105831","0","4","","","","omp_idle_surprise1","3","","1040060"
"1","105931","0","4","","","","omp_talk_sad","3","","1040061"
"0","vo_omp_7004","","4","","","0","vo_omp_7004_009","21","","1040062"
"10","105931","","4","1","","1","ものすごく、本気でございますね","11","","1040063"
"","0","","4","","","","","91","","1040064"
"1","105931","0","4","","","","omp_idle_sad","3","","1040065"
"0","106031","0","4","1","","omp_talk_surprise2","omp_surprise","3","0.1","1040066"
"0","vo_omp_7004","","4","","","0","vo_omp_7004_010","21","","1040067"
"10","106031","","4","1","","1","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","11","","1040068"
"","6.5","","4","","","","1","93","","1040069"
"1","106031","0.2","4","","","","omp_talk_tsun","3","","1040070"
"","1040068","","4","","","","","91","","1040071"
"","0.4","","4","","","","","93","","1040072"
"1500","1","1.8","5","-190","omp_talk_joy1","-140","112611","1","0","1050001"
"1500","1","1.8","5","-190","omp_idle_normal","140","112511","1","1","1050002"
"0","1","1","5","1","","0","1","31","","1050003"
"","1","","5","","","","","93","","1050004"
"0","vo_omp_7005","","5","","","0","vo_omp_7005_000","21","","1050005"
"10","112611","","5","1","","1","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","11","","1050006"
"","0","","5","","","","","91","","1050007"
"1","112611","0","5","","","","omp_idle_joy1","3","","1050008"
"1","112511","0","5","","","","omp_talk_normal","3","","1050009"
"0","vo_omp_7005","","5","","","0","vo_omp_7005_001","21","","1050010"
"10","112511","","5","1","","1","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","11","","1050011"
"","0","","5","","","","","91","","1050012"
"1","112511","0","5","","","","omp_idle_normal","3","","1050013"
"1","112611","0","5","","","","omp_talk_joy1","3","","1050014"
"0","vo_omp_7005","","5","","","0","vo_omp_7005_002","21","","1050015"
"10","112611","","5","1","","1","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","11","","1050016"
"","6.2","","5","","","","1","93","","1050017"
"1","112611","0.2","5","","","","omp_talk_thinking","3","","1050018"
"","1050016","","5","","","","","91","","1050019"
"1","112611","0","5","","","","omp_idle_thinking","3","","1050020"
"1","112511","0","5","","","","omp_talk_normal2","3","","1050021"
"0","vo_omp_7005","","5","","","0","vo_omp_7005_003","21","","1050022"
"10","112511","","5","1","","1","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","11","","1050023"
"","0","","5","","","","","91","","1050024"
"1","112511","0","5","","","","omp_idle_calm","3","","1050025"
"1","112611","0.1","5","","","","omp_talk_sad","3","","1050026"
"0","vo_omp_7005","","5","","","0","vo_omp_7005_004","21","","1050027"
"10","112611","","5","1","","1","し…し…","11","","1050028"
"","0","","5","","","","","91","","1050029"
"1","112611","0","5","","","","omp_idle_sad","3","","1050030"
"1","112511","0","5","","","","omp_psn_19","3","","1050031"
"0","vo_omp_7005","","5","","","0","vo_omp_7005_005","21","","1050032"
"10","112511","","5","1","","1","し…？","11","","1050033"
"","0","","5","","","","","91","","1050034"
"1","112511","0","5","","","","omp_psn_18","3","","1050035"
"1","112611","0","5","","","","omp_talk_sad","3","","1050036"
"0","vo_omp_7005","","5","","","0","vo_omp_7005_006","21","","1050037"
"10","112611","","5","1","","1","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","11","","1050038"
"","4.5","","5","","","","1","93","","1050039"
"1","112611","0.2","5","","","","omp_talk_surprise2","3","","1050040"
"","1050038","","5","","","","","91","","1050041"
"1","112611","0","5","","","","omp_idle_surprise2","3","","1050042"
"1","112511","0","5","","","","omp_talk_normal","3","","1050043"
"0","vo_omp_7005","","5","","","0","vo_omp_7005_007","21","","1050044"
"10","112511","","5","1","","1","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","11","","1050045"
"","3.5","","5","","","","1","93","","1050046"
"1","112511","0.2","5","","","","omp_talk_anger","3","","1050047"
"","1050045","","5","","","","","91","","1050048"
"1","112511","0","5","","","","omp_idle_anger","3","","1050049"
"1","112611","0","5","","","","omp_talk_joy1","3","","1050050"
"0","vo_omp_7005","","5","","","0","vo_omp_7005_008","21","","1050051"
"10","112611","","5","1","","1","えへへ、ごめんごめん☆","11","","1050052"
"","0","","5","","","","","91","","1050053"
"1","112611","0","5","","","","omp_idle_joy1","3","","1050054"
"1","112511","0","5","","","","omp_talk_sad","3","","1050055"
"0","vo_omp_7005","","5","","","0","vo_omp_7005_009","21","","1050056"
"10","112511","","5","1","","1","まったく\n…けど、さっきのは\nほんとのことだからね","11","","1050057"
"","2","","5","","","","1","93","","1050058"
"1","112511","0.2","5","","","","omp_talk_normal","3","","1050059"
"","1050057","","5","","","","","91","","1050060"
"1","112511","0","5","","","","omp_idle_normal","3","","1050061"
"1","112611","0","5","","","","omp_talk_joy2","3","","1050062"
"0","vo_omp_7005","","5","","","0","vo_omp_7005_010","21","","1050063"
"10","112611","","5","1","","1","うん！\nありがとっ、しぶりん！","11","","1050064"
"","0","","5","","","","","91","","1050065"
"","0.4","","5","","","","","93","","1050066"
"1600","1","1.8","6","-195","omp_talk_normal","-180","112511","1","0","1060001"
"1500","1","1.8","6","-190","omp_idle_normal","20","112411","1","1","1060002"
"1600","1","1.8","6","-205","omp_idle_normal","220","112611","1","1","1060003"
"0","1","1","6","1","","0","1","31","","1060004"
"","1","","6","","","","","93","","1060005"
"0","vo_omp_7006","","6","","","0","vo_omp_7006_000","21","","1060006"
"10","112511","","6","1","","1","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","11","","1060007"
"","0","","6","","","","","91","","1060008"
"1","112511","0","6","","","","omp_idle_normal","3","","1060009"
"1","112611","0","6","","","","omp_talk_joy1","3","","1060010"
"0","vo_omp_7006","","6","","","0","vo_omp_7006_001","21","","1060011"
"10","112611","","6","1","","1","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","11","","1060012"
"","0","","6","","","","","91","","1060013"
"","112411","","6","","","","0","4","","1060014"
"1","112611","0","6","","","","omp_idle_joy1","3","","1060015"
"1","112411","0","6","","","","omp_talk_joy1","3","","1060016"
"0","vo_omp_7006","","6","","","0","vo_omp_7006_002","21","","1060017"
"10","112411","","6","1","","1","えへへっ、ありがとうございます！\nえっと…","11","","1060018"
"","0","","6","","","","","91","","1060019"
"1","112411","0","6","","","","omp_talk_normal","3","","1060020"
"0","vo_omp_7006","","6","","","0","vo_omp_7006_003","21","","1060021"
"10","112411","","6","1","","1","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","11","","1060022"
"","0","","6","","","","","91","","1060023"
"1","112411","0","6","","","","omp_talk_thinking","3","","1060024"
"0","vo_omp_7006","","6","","","0","vo_omp_7006_004","21","","1060025"
"10","112411","","6","1","","1","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","11","","1060026"
"","0","","6","","","","","91","","1060027"
"1","112411","0","6","","","","omp_talk_normal2","3","","1060028"
"0","vo_omp_7006","","6","","","0","vo_omp_7006_005","21","","1060029"
"10","112411","","6","1","","1","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","11","","1060030"
"","0","","6","","","","","91","","1060031"
"1","112411","0","6","","","","omp_idle_calm","3","","1060032"
"1","112611","0","6","","","","omp_talk_sad","3","","1060033"
"0","vo_omp_7006","","6","","","0","vo_omp_7006_006","21","","1060034"
"10","112611","","6","1","","1","しまむー…！","11","","1060035"
"","0","","6","","","","","91","","1060036"
"","112411","","6","","","","1","4","","1060037"
"1","112611","0","6","","","","omp_idle_sad","3","","1060038"
"1","112511","0","6","","","","omp_talk_thinking","3","","1060039"
"0","vo_omp_7006","","6","","","0","vo_omp_7006_007","21","","1060040"
"10","112511","","6","1","","1","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","11","","1060041"
"","0","","6","","","","","91","","1060042"
"","112411","","6","","","","0","4","","1060043"
"1","112511","0","6","","","","omp_idle_thinking","3","","1060044"
"1","112611","0","6","","","","omp_talk_joy1","3","","1060045"
"0","vo_omp_7006","","6","","","0","vo_omp_7006_008","21","","1060046"
"10","112611","","6","1","","1","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","11","","1060047"
"","0","","6","","","","","91","","1060048"
"","112411","","6","","","","1","4","","1060049"
"1","112611","0","6","","","","omp_idle_joy1","3","","1060050"
"1","112411","0","6","","","","omp_talk_joy2","3","","1060051"
"0","vo_omp_7006","","6","","","0","vo_omp_7006_009","21","","1060052"
"10","112411","","6","1","","1","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","11","","1060053"
"","1.2","","6","","","","1","93","","1060054"
"","112411","","6","","","","0","4","","1060055"
"","1060053","","6","","","","","91","","1060056"
"-195","112511","","6","1","","0","-180","2","","1060057"
"-190","112411","","6","1","","0","0","2","","1060058"
"-195","112611","","6","1","","0","180","2","","1060059"
"0","112511","0.1","6","","","","omp_psn_dicision_rin","3","","1060060"
"0","112411","0.1","6","","","","omp_psn_dicision_uduki","3","","1060061"
"0","112611","0.1","6","","","","omp_psn_dicision_mio","3","","1060062"
"0","2","1","6","1","","0","2","31","","1060063"
"","1060062","","6","","","","","91","","1060064"
"","0.6","","6","","","","","93","","1060065"
"1600","1","1.8","7","-205","omp_idle_normal","-100","105831","1","0","1070001"
"1600","1","1.8","7","-225","omp_idle_normal","-390","105931","1","0","1070002"
"1500","1","1.8","7","-190","omp_idle_normal","-260","106031","1","0","1070003"
"1500","1","1.8","7","-185","omp_idle_normal","250","112511","1","1","1070004"
"1600","1","1.8","7","-220","omp_idle_normal","385","112411","1","1","1070005"
"1600","1","1.8","7","-195","omp_idle_normal","100","112611","1","1","1070006"
"0","1","1","7","1","","0","1","31","","1070007"
"","0.2","","7","","","","","93","","1070008"
"1","112611","0.1","7","","","","omp_idle_normal","3","","1070009"
"1","112411","0","7","","","","omp_talk_normal","3","","1070010"
"1","112511","0.1","7","","","","omp_idle_normal","3","","1070011"
"1","105831","0.1","7","","","","omp_idle_normal","3","","1070012"
"","0.1","","7","","","","","93","","1070013"
"","1","","7","","","","","93","","1070014"
"0","vo_omp_7007","","7","","","0","vo_omp_7007_000","21","","1070015"
"10","112411","","7","1","","1","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","11","","1070016"
"","0","","7","","","","","91","","1070017"
"1","112411","0.1","7","","","","omp_idle_normal","3","","1070018"
"1","105831","0.1","7","","","","omp_talk_normal","3","","1070019"
"0","vo_omp_7007","","7","","","0","vo_omp_7007_001","21","","1070020"
"10","105831","","7","1","","1","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","11","","1070021"
"","0","","7","","","","","91","","1070022"
"1","105831","0","7","","","","omp_idle_normal","3","","1070023"
"1","105931","0","7","","","","omp_talk_worry","3","","1070024"
"0","vo_omp_7007","","7","","","0","vo_omp_7007_002","21","","1070025"
"10","105931","","7","1","","1","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","11","","1070026"
"","0","","7","","","","","91","","1070027"
"1","105931","0","7","","","","omp_idle_worry","3","","1070028"
"1","106031","0","7","","","","omp_talk_normal","3","","1070029"
"0","vo_omp_7007","","7","","","0","vo_omp_7007_003","21","","1070030"
"10","106031","","7","1","","1","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","11","","1070031"
"","0","","7","","","","","91","","1070032"
"1","106031","0","7","","","","omp_idle_normal","3","","1070033"
"1","112611","0","7","","","","omp_talk_worry","3","","1070034"
"0","vo_omp_7007","","7","","","0","vo_omp_7007_004","21","","1070035"
"10","112611","","7","1","","1","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","11","","1070036"
"","0","","7","","","","","91","","1070037"
"1","112611","0","7","","","","omp_idle_worry","3","","1070038"
"1","105931","0","7","","","","omp_talk_normal2","3","","1070039"
"0","vo_omp_7007","","7","","","0","vo_omp_7007_005","21","","1070040"
"10","105931","","7","1","","1","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","11","","1070041"
"","0","","7","","","","","91","","1070042"
"1","105931","0","7","","","","omp_idle_calm","3","","1070043"
"1","112511","0","7","","","","omp_talk_normal2","3","","1070044"
"0","vo_omp_7007","","7","","","0","vo_omp_7007_006","21","","1070045"
