f7672aaa114112b2688936d06e74248cd4fa1fb9a4e91c2e5bf3f2d8e1ecf8e3,a53f2d16b4b1860e97dae6fd892bb4c5f673d46e5b02f7196e037b5083924aab,51d8d5a26c91503ca49649aabe640cd182f25d9c81506ecebda15c57bab1cad0,4b6375cc109ca771160bbca62a60ec348980dc7ece1f4672b8774951f845a1bd,d83a0d5e5c4cef7fff883da1beed88c54f0a57cfdae495f76ba7e03eb98e69e0,6e511c0682bde98ab40f9bb1eb2c5ba4ee708a9b42283b2c9e1dede9db5ab37d,85e2eec4860b26914d1b5f536062924c362de1c745f187c2e087bd27a4a44192,e6f250759873792889ba563421cc72d25640e3924953aedcda845881f83f3f26,de92d75bba41f50989f8a7840822205c4c86e5d98ffd2c8a34700857b93599c4
"海に愛された","1","2","2","1","48","2","1","3"
"大海を統べる","1","2","2","1","49","2","1","3"
"伝説の","1","2","0","1","50","2","1","3"
"世界を揺るがす","1","2","2","1","51","2","1","3"
"スーパーワイルド","1","2","1","1","52","2","1","3"
"神がかった","1","2","0","1","53","2","1","3"
"ぶっちぎりの","1","2","2","1","54","2","1","3"
"誰にも止められない","1","2","1","0","55","2","1","3"
"血湧き肉躍る","1","2","2","0","56","2","1","3"
"メガ","1","2","0","0","57","2","1","3"
"ナチュラルボーン","1","2","1","0","58","2","1","3"
"大海原の","1","2","0","0","59","2","1","3"
"アドレナリン全開の","1","2","1","0","60","2","1","3"
"オーマ産の","1","2","0","0","61","2","1","3"
"手練れの","1","2","0","0","62","2","1","3"
"歴戦の","1","2","0","0","63","2","1","3"
"水を得た","1","2","0","0","64","2","1","3"
"ド級の","1","2","0","0","65","2","1","3"
"ただ者ではない","0","2","2","1","66","2","1","3"
"勇猛なる","0","2","0","1","67","2","1","3"
"ひた走る","0","2","0","1","68","2","1","3"
"目にも留まらぬ","0","2","2","1","69","2","1","3"
"荒波の","0","2","0","1","70","2","1","3"
"レイジオブ","0","2","0","1","71","2","1","3"
"負けず嫌いの","0","2","2","1","72","2","1","3"
"伸び盛りの","0","2","0","1","73","2","1","3"
"型破りの","0","2","0","1","74","2","1","3"
"暴れる","0","2","0","1","75","2","1","3"
"荒れくるう","0","2","0","1","76","2","1","3"
"うわさの","0","2","0","0","77","2","1","3"
"ビーチサイドの","0","2","2","0","78","2","1","3"
"元気はつらつ","0","2","2","0","79","2","1","3"
"常夏を駆ける","0","2","2","0","80","2","1","3"
"マッスル","0","2","0","0","81","2","1","3"
"金波銀波の","0","2","0","0","82","2","1","3"
"生まれながらの","0","2","2","0","83","2","1","3"
"お騒がせの","0","2","0","0","84","2","1","3"
"未知数の","0","2","0","0","85","2","1","3"
"激ヤバ","0","2","0","0","86","2","1","3"
"負けるな","0","2","0","0","87","2","1","3"
"ライトスピード","1","3","2","1","88","2","1","3"
"プロフェッショナル","1","3","1","1","89","2","1","3"
"トップオブ","1","3","0","1","90","2","1","3"
"ゴールドメダル","1","3","2","1","91","2","1","3"
"アルティメット","1","3","2","1","92","2","1","3"
"ザ・ベスト","1","3","0","1","93","2","1","3"
"パーフェクト","1","3","2","1","94","2","1","3"
"100年に1人の","1","3","1","1","95","2","1","3"
"レジェンダリー","1","3","2","1","96","2","1","3"
"超一流の","1","3","0","1","97","2","1","3"
"世界の","1","3","0","1","98","2","1","3"
"選ばれし","1","3","0","1","99","2","1","3"
"アスレチック","1","3","2","0","100","2","1","3"
"偉大なる","1","3","0","0","101","2","1","3"
"スーパーソニック","1","3","1","0","102","2","1","3"
"ウルトラ","1","3","0","0","103","2","1","3"
"MVPの","1","3","0","0","104","2","1","3"
"ジェネラル","1","3","0","0","105","2","1","3"
"オールラウンド","1","3","2","0","106","2","1","3"
"シルバーメダル","1","3","2","0","107","2","1","3"
"聖なる","1","3","0","0","108","2","1","3"
"エクセレント","1","3","2","0","109","2","1","3"
"一流の","1","3","0","0","110","2","1","3"
"マーベラス","1","3","0","0","111","2","1","3"
"スーパー","0","3","0","1","112","2","1","3"
"フライング","0","3","0","1","113","2","1","3"
"グレート","0","3","0","1","114","2","1","3"
"アンストッパブル","0","3","1","1","115","2","1","3"
"カリスマ","0","3","0","1","116","2","1","3"
"万能","0","3","0","1","117","2","1","3"
"新世代の","0","3","0","1","118","2","1","3"
"栄えある","0","3","0","1","119","2","1","3"
"異彩を放つ","0","3","0","1","120","2","1","3"
"いぶし銀の","0","3","0","1","121","2","1","3"
"天下の","0","3","0","1","122","2","1","3"
"レッツゴー","0","3","0","0","123","2","1","3"
"グッド","0","3","0","0","124","2","1","3"
"ホップ・ステップ・","0","3","1","0","125","2","1","3"
"伸びしろのある","0","3","2","0","126","2","1","3"
"ブロンズメダル","0","3","2","0","127","2","1","3"
"期待の","0","3","0","0","128","2","1","3"
"ジャンピング","0","3","2","0","129","2","1","3"
"新時代の","0","3","0","0","130","2","1","3"
"知る人ぞ知る","0","3","2","0","131","2","1","3"
