a662ef97af74886384f4d2fcb7bd5001e403d3be0a7cffa2c5c5c575973f946b,01d28c3d8166baad9485736626bb700c9ddae6d795e18177f3c67ebf4d454bf3,bee7cfa9affc01dcf0b99c73dee240075874195a0c9e389e30c13a9191c27e8f,d39c24e4444074198039a7294021de747e52249f937c16554e6b1fc2c72662b9,cfdf8fdbb55fe0b4825e1a5278245c7baf177043271d12ed98237cd90dafca3a,729f099af5126cf3987aa87b3721953fba0ee05d6bce7b5537cbd9cbf3665236,0bca4314c478ffc5ffe496585e71552090fa08b87f36e847be934f06110697c3,5a3701b6484297b1d8712646bae7992233c2a45cbb5d1df70bfc5b16677f51d2,81243a53b9f98051daf1e95ae813634364c005eb4d1e4d3201946524f2a6a7b4,6442b12b740bebebaa9356dc0bbc59bc9d77e027336b9dd1ff9ea94169c9db03,e90ed5cea8b4caf20ab54d0dd7afcff1bfd564d3818e7a2cf8ce232609f7f359
"","","","0.4","","","93","5152061","1","","61129"
"","","0","2","0","","3","5152061","1009_mid","","61130"
"","","","","","","92","5152061","","","61131"
"","","0","2","0","","3","5152061","1009_out","","61132"
"","","","0.2","","","93","5152061","0","","61133"
"","idle_normal","0","131911","0","1","3","5152061","kids_jump_end","0.2","61134"
"","joy_idle_normal","0","102311","0","1","3","5152061","kids_jump_end","0.2","61135"
"","wish_idle","0","102111","0","1","3","5152061","kids_jump_end","0.2","61136"
"","idle_normal","0","107711","0","1","3","5152061","kids_jump_sideHair_end","0.2","61137"
"","doya_idle","0","122811","0","1","3","5152061","kids_jump_end","0.2","61138"
"","idle_normal","0","122911","0","1","3","5152061","kids_jump_end","0.2","61139"
"","idle_normal","0","122711","0","1","3","5152061","kids_jump_sideHair_end","0.2","61140"
"","0.5","0.5","bgm_MC173B","0","0","27","5152061","bgm_MC173B","1","61141"
"","talk_normal","0","110311","0","1","3","5152061","kids_jump_sideHair_end","0.2","61142"
"","0","0","vo_rag","","","21","5152061","vo_rag_6010","","61143"
"0","1","10","110311","0","1","11","5152061","はい、お疲れさま\nみんな、楽しかったかしら？","0","61144"
"","0","0","0","","","91","5152061","","","61145"
"","","1","110311","0.2","","3","5152061","idle_normal","","61146"
"","gutsB_talk","0","131911","0.2","1","3","5152061","gutsB_in","0","61147"
"","surprise3_loop_joy2","0","102311","0.2","1","3","5152061","surprise3_in_joy2","0","61148"
"","","1","102111","0.2","","3","5152061","memory_talk","","61149"
"","","1","107711","0.2","","3","5152061","wish_talk_joy_shy","","61150"
"","eieio_loop","0","122811","0.2","1","3","5152061","eieio_in","0","61151"
"","","1","122911","0.2","","3","5152061","anger_talk_joy","","61152"
"","","1","122711","0.2","","3","5152061","sad_talk_dere2","","61153"
"","0","0","vo_rag","","","21","5152061","vo_rag_6011","","61154"
"0","1","10","131911","0","1","11","5152061","ええ、とっても！\nすごーく新鮮な\nラジーオタイソーだったわ！","60","61155"
"","0","0","0","","","91","5152061","","","61156"
"","","1","131911","0.2","","3","5152061","gutsB_idle","","61157"
"","","1","102111","0.2","","3","5152061","memory_talk","","61158"
"","0","0","vo_rag","","","21","5152061","vo_rag_6012","","61159"
"0","1","10","102111","0","1","11","5152061","かわいくて元気が出て♪\nママ・サレンの体操、すごいですぅ♪","56","61160"
"","0","0","0","","","91","5152061","","","61161"
"","","1","102111","0.2","","3","5152061","memory_talk","","61162"
"","","0","se_10058300","","","23","5152061","se_10058300_emotion_laugh","","61163"
"","","","11","","","32","5152061","1","","61164"
"","","1","110311","0.2","","3","5152061","sad_talk_normal","","61165"
"","0","0","vo_rag","","","21","5152061","vo_rag_6013","","61166"
"0","1","10","110311","0","1","11","5152061","あはは、\nそんなに喜んでもらえるなんて、\n悪い気はしないわね","0","61167"
"","0","0","0","","","91","5152061","","","61168"
"","","","11","","","32","5152061","0","","61169"
"","","","0","","","22","5152061","0","","61170"
"","","","0.1","","","93","5152061","0","","61171"
"","","1","110311","0.2","","3","5152061","wish_talk_joy_shy","","61172"
"","sad_idle_joy","0","131911","0.2","1","3","5152061","smile2_joy","0","61173"
"","","1","102311","0.2","","3","5152061","joy_idle","","61174"
"","","1","102111","0.2","","3","5152061","memory_idle","","61175"
"","","1","107711","0.2","","3","5152061","wish_idle_dere","","61176"
"","","1","122811","0.2","","3","5152061","cool_talk_dere2","","61177"
"","","1","122911","0.2","","3","5152061","anger_idle_normal2","","61178"
"","","1","122711","0.2","","3","5152061","sad_idle_dere","","61179"
"","","0","se_10058300","","","23","5152061","se_10058300_emotion_kids","","61180"
"0","0","2","110311","0","0","12","5152061","9","0","61181"
"0","0","2","131911","0","0","12","5152061","7","0","61182"
"0","0","2","102311","0","0","12","5152061","10","0","61183"
"0","0","2","102111","0","0","12","5152061","6","0","61184"
"","","","2.5","","","93","5152061","0","","61185"
"","","","61187","","","101","5152061","","","61186"
"","","","bgm_MC173B","","","25","5152061","bgm_MC173B","","61187"
"","","","0","","","22","5152061","0","","61188"
"doya_idle","382","110","1","1.55","-280","1","5152062","107111","1","62001"
"idle_normal","145","105","1","1.5","-210","1","5152062","107611","0","62002"
"joy_idle_normal","-22","107","1","1.57","-296","1","5152062","131911","0","62003"
"wish_idle_joy","-217","109","1","1.57","-311","1","5152062","107511","0","62004"
"cool_idle","-440","108","1","1.53","-255","1","5152062","107811","0","62005"
"idle_normal","34","103","1","1.45","-136","1","5152062","131411","0","62006"
"riri_idle","-163","104","1","1.45","-146","1","5152062","131311","0","62007"
"sad_idle_surprise1","-350","105","1","1.45","-166","1","5152062","131511","0","62008"
"empty","-13","106","5","1.5","-235","5","5152062","5","1","62009"
"empty","145","110","1","1.5","-210","5","5152062","11","0","62010"
"empty","-22","110","1","1.57","-296","5","5152062","12","0","62011"
"empty","-217","110","1","1.57","-311","5","5152062","13","0","62012"
"empty","-440","110","1","1.53","-255","5","5152062","14","0","62013"
"empty","34","107","1","1.45","-136","5","5152062","15","0","62014"
"empty","-163","107","1","1.45","-146","5","5152062","16","0","62015"
"empty","-350","107","1","1.45","-166","5","5152062","17","0","62016"
"","","","107111","","","13","5152062","210","","62017"
"","","","131911","","","13","5152062","207","","62018"
"","","","107511","","","13","5152062","209","","62019"
"","","","107611","","","13","5152062","205","","62020"
"","","","107811","","","13","5152062","208","","62021"
"","","","131411","","","13","5152062","203","","62022"
"","","","131311","","","13","5152062","204","","62023"
"","","","131511","","","13","5152062","205","","62024"
"empty","-13","108","1","1.57","-235","5","5152062","1","0","62025"
"empty","382","210","2","1","11","5","5152062","2","0","62026"
"","0","0","1","1","1","31","5152062","1","","62027"
"","0","0","2","0","1","31","5152062","2","","62028"
"","0","0","12","0","1","31","5152062","12","","62029"
"","0","0","3","1","1","31","5152062","3","","62030"
"","","","0","","","91","5152062","","","62031"
"","","","3","","","37","5152062","telop_2","","62032"
"","","0","0","","","102","5152062","0","","62033"
"","","","1","","","93","5152062","0","","62034"
"","","1","107111","0.2","","3","5152062","doya_talk","","62035"
"","0","0","vo_rag","","","21","5152062","vo_rag_2001","","62036"
"0","1","10","107111","0","1","11","5152062","早朝にもかかわらず、よく集まった","35","62037"
"","0","0","0","","","91","5152062","","","62038"
"","cool_talk_joy","0","107111","0.2","1","3","5152062","cool_in_joy","0","62039"
"","0","0","vo_rag","","","21","5152062","vo_rag_2002","","62040"
"0","1","10","107111","0","1","11","5152062","オマエたちにとっておきの体操を\n伝授してやろう♪","35","62041"
"","0","0","0","","","91","5152062","","","62042"
"","","1","107111","0.2","","3","5152062","cool_idle","","62043"
"","","1","131311","0.2","","3","5152062","gutsB_talk_anger","","62044"
"","0","0","vo_rag","","","21","5152062","vo_rag_2003","","62045"
"0","1","10","131311","0","1","11","5152062","どんな苛烈な体操でも…\n頑張りぬく所存です…！","0","62046"
"","0","0","0","","","91","5152062","","","62047"
"","","1","131311","0.2","","3","5152062","riri_idle","","62048"
"","","","1","","","26","5152062","","","62049"
"","","1","107111","0.2","","3","5152062","joy_talk_normal","","62050"
"","","1","131911","0.2","","3","5152062","idle_normal","","62051"
"","","1","107511","0.2","","3","5152062","idle_normal","","62052"
"","","1","107611","0.2","","3","5152062","idle_normal","","62053"
"","","1","107811","0.2","","3","5152062","idle_normal","","62054"
"","","1","131411","0.2","","3","5152062","idle_normal","","62055"
"","","1","131311","0.2","","3","5152062","idle_normal","","62056"
"","","1","131511","0.2","","3","5152062","idle_normal","","62057"
"","0","0","vo_rag","","","21","5152062","vo_rag_2004","","62058"
"2","1","10","107111","0","0","11","5152062","ではいくぞ\nそれ、ワンツーワンツー\nもっと腕を高く！","0","62059"
"","0","0","1.1","","","93","5152062","0","","62060"
"","","","bgm_MC175A","","","25","5152062","bgm_MC175A","","62061"
"","","","2","","","32","5152062","1","","62062"
"","clapping_loop","0","107111","0.2","1","3","5152062","clapping_in","0","62063"
"","","0","131911","0.2","","3","5152062","idol_before_dance","","62064"
"","","0","107511","0.2","","3","5152062","idol_before_dance","","62065"
"","","0","107611","0.2","","3","5152062","idol_before_dance","","62066"
"","","0","107811","0.2","","3","5152062","idol_before_dance","","62067"
"","","0","131411","0.2","","3","5152062","idol_before_dance","","62068"
"","","0","131311","0.2","","3","5152062","idol_before_dance","","62069"
"","","0","131511","0.2","","3","5152062","idol_before_dance","","62070"
"","","","0","","","91","5152062","","","62071"
"","","","12","","","32","5152062","1","","62072"
"","","1","131911","0.2","","3","5152062","idol_danceF","","62073"
"","","1","107511","0.2","","3","5152062","idol_danceF","","62074"
"","","1","107611","0.2","","3","5152062","idol_danceF","","62075"
"","","1","107811","0.2","","3","5152062","idol_danceF","","62076"
"","idol_danceB_loop","0","131411","0.2","1","3","5152062","idol_danceB_in","0","62077"
"","idol_danceB_loop","0","131311","0.2","1","3","5152062","idol_danceB_in","0","62078"
"","idol_danceB_loop","0","131511","0.2","1","3","5152062","idol_danceB_in","0","62079"
"","","1","12","0.2","","3","5152062","idol_danceF","","62080"
"","","1","13","0.2","","3","5152062","idol_danceF","","62081"
"","","1","11","0.2","","3","5152062","idol_danceF","","62082"
"","","1","14","0.2","","3","5152062","idol_danceF","","62083"
"","","1","15","0.2","","3","5152062","idol_danceB_loop","","62084"
"","","1","16","0.2","","3","5152062","idol_danceB_loop","","62085"
"","","1","17","0.2","","3","5152062","idol_danceB_loop","","62086"
"","0","0","2.8","","","93","5152062","0","","62087"
"","0","0","0.1","","","93","5152062","0","","62088"
"","pointing_loop_anger","0","107111","0.2","1","3","5152062","pointing_in_anger","0","62089"
"","0","0","0.5","","","93","5152062","0","","62090"
"","0","0","vo_rag","","","21","5152062","vo_rag_2005","","62091"
"","","0","2","0","","3","5152062","0204_in","","62092"
"","","","2.5","","","93","5152062","0","","62093"
"","","0","2","0","","3","5152062","0204_out","","62094"
"","","","0.2","","","93","5152062","0","","62095"
"","","1","107111","0.2","","3","5152062","angry_loop","","62096"
"","0","0","vo_rag","","","21","5152062","vo_rag_2006","","62097"
"","","0","2","0","","3","5152062","0205_in","","62098"
"","","","2.2","","","93","5152062","0","","62099"
"","","0","2","0","","3","5152062","0205_out","","62100"
"","","","0.3","","","93","5152062","0","","62101"
"","clapping_loop_talk2","0","107111","0.2","1","3","5152062","clapping_in_talk2","0","62102"
"","","","2.1","","","93","5152062","0","","62103"
"","","","12","","","37","5152062","out","","62104"
"","idol_poseF_loop","0","131911","0.1","1","3","5152062","idol_poseF_in","0","62105"
"","idol_poseF_loop","0","107511","0.1","1","3","5152062","idol_poseF_in","0","62106"
"","idol_poseF_loop","0","107611","0.1","1","3","5152062","idol_poseF_in","0","62107"
"","idol_poseF_loop","0","107811","0.1","1","3","5152062","idol_poseF_in","0","62108"
"","idol_poseB_loop","0","131411","0.1","1","3","5152062","idol_poseB_in","0","62109"
"","idol_poseB_loop","0","131311","0.1","1","3","5152062","idol_poseB_in","0","62110"
"","idol_poseB_loop","0","131511","0.1","1","3","5152062","idol_poseB_in","0","62111"
"","","1","12","0.2","","3","5152062","empty","","62112"
"","","1","13","0.2","","3","5152062","empty","","62113"
"","","1","11","0.2","","3","5152062","empty","","62114"
"","","1","14","0.2","","3","5152062","empty","","62115"
"","","1","15","0.2","","3","5152062","empty","","62116"
"","","1","16","0.2","","3","5152062","empty","","62117"
"","","1","17","0.2","","3","5152062","empty","","62118"
"","0.7","-206","107611","","11","2","5152062","93","","62119"
"","0.7","-235","131911","","11","2","5152062","-13","","62120"
"","0.7","-248","107511","","11","2","5152062","-152","","62121"
"","0.7","-243","107811","","11","2","5152062","-277","","62122"
"","0.7","-151","131411","","11","2","5152062","8","","62123"
"","0.7","-154","131311","","11","2","5152062","-102","","62124"
"","0.7","-167","131511","","11","2","5152062","-222","","62125"
"","","","1.6","","","93","5152062","0","","62126"
"","","","2","","","37","5152062","finish","","62127"
"","","0","se_10058300","","","23","5152062","se_10058300_idle_finish","","62128"
"","0.5","0.5","bgm_MC173B","0","0","27","5152062","bgm_MC173B","1","62129"
"","","","0","","","93","5152062","0","","62130"
"","","0","107111","0.1","","3","5152062","clapping_end","","62131"
"","","","2","","","93","5152062","0","","62132"
"","armcrossed_talk","0","107111","0.2","1","3","5152062","armcrossed_in","0","62133"
"","0","0","vo_rag","","","21","5152062","vo_rag_2007","","62134"
"0","1","10","107111","0","1","11","5152062","これでフィニッシュ！　…見事だ☆\nアイドルの道は険しいが\nオマエたちならやれるだろう","35","62135"
"","0","0","0","","","91","5152062","","","62136"
"","","1","107111","0.2","","3","5152062","armcrossed_idle","","62137"
"","pack_talk","0","5","0","1","3","5152062","pack_in","0","62138"
"","","0","se_10058300","","","23","5152062","se_10058300_pack_appear","","62139"
"","idol_poseF_end_emilia_loop","0","131911","0.2","1","3","5152062","idol_poseF_end_emilia_in","0","62140"
"","","","1","","","93","5152062","0","","62141"
"","0","0","vo_rag","","","21","5152062","vo_rag_2008","","62142"
"0","1","10","5","5","1","11","5152062","ねえリア、\nこれってラジーオタイソーなの？","24","62143"
"","0","0","0","","","91","5152062","","","62144"
"","","","0","","","22","5152062","0","","62145"
"","","1","131911","0.2","","3","5152062","idol_poseF_end_emilia_loop_nervous","","62146"
"","idol_poseF_end_emilia_loop","0","1","0","1","3","5152062","idol_poseF_end_emilia_nervous_in","0","62147"
"","","1","5","0.2","","3","5152062","pack_idle","","62148"
"","","1","107111","0.2","","3","5152062","chris_laugh","","62149"
"","","0","se_10058300","","","23","5152062","se_10058300_emotion_idol","","62150"
"0","0","2","5","5","0","12","5152062","5","5","62151"
"0","0","2","107111","0","0","12","5152062","10","0","62152"
"","","","2.5","","","93","5152062","0","","62153"
"","","","62155","","","101","5152062","","","62154"
"","","","bgm_MC173B","","","25","5152062","bgm_MC173B","","62155"
"","","","0","","","22","5152062","0","","62156"
"ames_sit_idle","124","109","1","1.8","-215","1","5152063","131711","1","63001"
"echidna_sit_thinking_idle","-119","108","1","1.8","-215","1","5152063","132011","0","63002"
"empty","-119","109","1","1.8","-215","5","5152063","1","0","63003"
"","","","131711","","","13","5152063","209","","63004"
"","","","132011","","","13","5152063","208","","63005"
"","0","0","1","1","1.16","31","5152063","1","","63006"
"","0","0","10","1","1","31","5152063","10","","63007"
"","0","0","5","0","1","31","5152063","5","","63008"
"","0","0","3","1","1","31","5152063","3","","63009"
"","","","0","","","91","5152063","0","","63010"
"","","","3","","","37","5152063","telop_3","","63011"
"","","0","0","","","102","5152063","0","","63012"
"","","","1","","","93","5152063","0","","63013"
"","","1","132011","0.2","","3","5152063","echidna_sit_thinking_talk","","63014"
"","0","0","vo_rag","","","21","5152063","vo_rag_5001","","63015"
"0","1","10","132011","-20","1","11","5152063","この世界には『アイドル』という\n種族にのみ伝わる、伝統の\nタイソーとやらがあるらしいね","50","63016"
"","0","0","0","","","91","5152063","","","63017"
"","","1","132011","0.2","","3","5152063","echidna_sit_talk","","63018"
"","0","0","vo_rag","","","21","5152063","vo_rag_5002","","63019"
"0","1","10","132011","-20","1","11","5152063","君は智に長けた存在だろう？\nボクにもその動きを\n教えてもらえないかな？","50","63020"
"","0","0","0","","","91","5152063","","","63021"
"","","1","132011","0.2","","3","5152063","echidna_sit_idle","","63022"
"","ames_yareyare_talk","0","131711","0.2","1","3","5152063","ames_yareyare_in","0","63023"
"","0","0","vo_rag","","","21","5152063","vo_rag_5003","","63024"
"0","1","10","131711","20","1","11","5152063","随分と面倒なこと言ってくれちゃって","50","63025"
"","0","0","0","","","91","5152063","","","63026"
"","","1","131711","0.2","","3","5152063","ames_sit_talk","","63027"
"","0","0","vo_rag","","","21","5152063","vo_rag_5004","","63028"
"0","1","10","131711","20","1","11","5152063","色々誤解があるみたいだけど、\nまあいいわ","50","63029"
"","0","0","0","","","91","5152063","","","63030"
"","0","0","vo_rag","","","21","5152063","vo_rag_5005","","63031"
"0","1","10","131711","20","1","11","5152063","それじゃ、\nあたしと同じ動きをやってみて","50","63032"
"","0","0","0","","","91","5152063","","","63033"
"","idle_normal","0","131711","0.2","1","3","5152063","ames_sit_out","0","63034"
"","","","0.1","","","93","5152063","0","","63035"
"","idle_normal","0","132011","0.2","1","3","5152063","echidna_sit_out","0","63036"
"","","","10","","","37","5152063","out","","63037"
"","","","1","","","93","5152063","0","","63038"
"","0","0","0","","","91","5152063","","","63039"
"","","","bgm_MC175A","","","25","5152063","bgm_MC175A","","63040"
"","","","5","","","32","5152063","1","","63041"
"","","1","131711","0.2","","3","5152063","isekai_dance","","63042"
"","","","0.1","","","93","5152063","0","","63043"
"","","1","132011","0.2","","3","5152063","isekai_dance","","63044"
"","0","0","vo_rag","","","21","5152063","vo_rag_5006","","63045"
"1.7","1","10","131711","0","0","11","5152063","はい、ワンツーワンツー、\nステップステップ…","0","63046"
"","","","7","","","93","5152063","0","","63047"
"","0","0","0","","","91","5152063","","","63048"
"","0","0","vo_rag","","","21","5152063","vo_rag_5007","","63049"
"0","1","10","132011","0","1","11","5152063","ワン、ツー…ワン、ツ…\nはぁ、はぁ…\n今日のところは、ここまで、だね…","0","63050"
"","","","3.4","","","93","5152063","0","","63051"
"","0.5","0.5","bgm_MC173B","0","0","27","5152063","bgm_MC173B","1","63052"
"","","","5","","","37","5152063","out","","63053"
"","tired_talk","0","1","0","1","3","5152063","tired_in","0","63054"
"","echidna_tired_talk","0","132011","0","1","3","5152063","echidna_tired_in","0","63055"
"","","0","se_10058300","","","23","5152063","se_10058300_isekai_breath","","63056"
"","","","7.6","","","93","5152063","0","","63057"
"","0","0","63050","","","91","5152063","","","63058"
"","","1","1","0.2","","3","5152063","tired_idle","","63059"
"","","1","132011","0.2","","3","5152063","echidna_tired_idle","","63060"
"","shock_talk","0","131711","0","1","3","5152063","shock_in","0","63061"
"","0","0","vo_rag","","","21","5152063","vo_rag_5008","","63062"
"0","1","10","131711","0","1","11","5152063","ウソでしょ！　まだちょっとしか\nやってないわよ！","0","63063"
"","0","0","0","","","91","5152063","","","63064"
