1ebefde2f34f2e4b7823bb21ab7d2ec4486647d7614aee5ba66558e4baf7e15c,3136c194a08fe49db7f7b0f2006c4e3b7f9fc1eef225f283b385a3ef21378587,9cf12d4c9ed9c44305ed93808cedbba8c93732766d6a83b1c22d39b440d17b71,4091a8cabebc5ff890da8b26caee38ac9806728fae50c172683b4a33d6dbd0c8
"81409","10104","【アタッカー】通常攻撃強化Lv9","9"
"81410","10104","【アタッカー】通常攻撃強化Lv10","10"
"82101","10201","【ブレイカー】攻撃力アップLv1","1"
"82102","10201","【ブレイカー】攻撃力アップLv2","2"
"82103","10201","【ブレイカー】攻撃力アップLv3","3"
"82104","10201","【ブレイカー】攻撃力アップLv4","4"
"82105","10201","【ブレイカー】攻撃力アップLv5","5"
"82106","10201","【ブレイカー】攻撃力アップLv6","6"
"82107","10201","【ブレイカー】攻撃力アップLv7","7"
"82108","10201","【ブレイカー】攻撃力アップLv8","8"
"82109","10201","【ブレイカー】攻撃力アップLv9","9"
"82110","10201","【ブレイカー】攻撃力アップLv10","10"
"82201","10202","【ブレイカー】クリティカルアップLv1","1"
"82202","10202","【ブレイカー】クリティカルアップLv2","2"
"82203","10202","【ブレイカー】クリティカルアップLv3","3"
"82204","10202","【ブレイカー】クリティカルアップLv4","4"
"82205","10202","【ブレイカー】クリティカルアップLv5","5"
"82206","10202","【ブレイカー】クリティカルアップLv6","6"
"82207","10202","【ブレイカー】クリティカルアップLv7","7"
"82208","10202","【ブレイカー】クリティカルアップLv8","8"
"82209","10202","【ブレイカー】クリティカルアップLv9","9"
"82210","10202","【ブレイカー】クリティカルアップLv10","10"
"82301","10203","【ブレイカー】クリダメアップLv1","1"
"82302","10203","【ブレイカー】クリダメアップLv2","2"
"82303","10203","【ブレイカー】クリダメアップLv3","3"
"82304","10203","【ブレイカー】クリダメアップLv4","4"
"82305","10203","【ブレイカー】クリダメアップLv5","5"
"82306","10203","【ブレイカー】クリダメアップLv6","6"
"82307","10203","【ブレイカー】クリダメアップLv7","7"
"82308","10203","【ブレイカー】クリダメアップLv8","8"
"82309","10203","【ブレイカー】クリダメアップLv9","9"
"82310","10203","【ブレイカー】クリダメアップLv10","10"
"82401","10204","【ブレイカー】通常攻撃強化Lv1","1"
"82402","10204","【ブレイカー】通常攻撃強化Lv2","2"
"82403","10204","【ブレイカー】通常攻撃強化Lv3","3"
"82404","10204","【ブレイカー】通常攻撃強化Lv4","4"
"82405","10204","【ブレイカー】通常攻撃強化Lv5","5"
"82406","10204","【ブレイカー】通常攻撃強化Lv6","6"
"82407","10204","【ブレイカー】通常攻撃強化Lv7","7"
"82408","10204","【ブレイカー】通常攻撃強化Lv8","8"
"82409","10204","【ブレイカー】通常攻撃強化Lv9","9"
"82410","10204","【ブレイカー】通常攻撃強化Lv10","10"
"83101","10301","【バッファー】ＨＰアップLv1","1"
"83102","10301","【バッファー】ＨＰアップLv2","2"
"83103","10301","【バッファー】ＨＰアップLv3","3"
"83104","10301","【バッファー】ＨＰアップLv4","4"
"83105","10301","【バッファー】ＨＰアップLv5","5"
"83106","10301","【バッファー】ＨＰアップLv6","6"
"83107","10301","【バッファー】ＨＰアップLv7","7"
"83108","10301","【バッファー】ＨＰアップLv8","8"
"83109","10301","【バッファー】ＨＰアップLv9","9"
"83110","10301","【バッファー】ＨＰアップLv10","10"
"83201","10302","【バッファー】物理防御力アップLv1","1"
"83202","10302","【バッファー】物理防御力アップLv2","2"
"83203","10302","【バッファー】物理防御力アップLv3","3"
"83204","10302","【バッファー】物理防御力アップLv4","4"
"83205","10302","【バッファー】物理防御力アップLv5","5"
"83206","10302","【バッファー】物理防御力アップLv6","6"
"83207","10302","【バッファー】物理防御力アップLv7","7"
"83208","10302","【バッファー】物理防御力アップLv8","8"
"83209","10302","【バッファー】物理防御力アップLv9","9"
"83210","10302","【バッファー】物理防御力アップLv10","10"
"83301","10303","【バッファー】魔法防御力アップLv1","1"
"83302","10303","【バッファー】魔法防御力アップLv2","2"
"83303","10303","【バッファー】魔法防御力アップLv3","3"
"83304","10303","【バッファー】魔法防御力アップLv4","4"
"83305","10303","【バッファー】魔法防御力アップLv5","5"
"83306","10303","【バッファー】魔法防御力アップLv6","6"
"83307","10303","【バッファー】魔法防御力アップLv7","7"
"83308","10303","【バッファー】魔法防御力アップLv8","8"
"83309","10303","【バッファー】魔法防御力アップLv9","9"
"83310","10303","【バッファー】魔法防御力アップLv10","10"
"83401","10304","【バッファー】バフ強化Lv1","1"
"83402","10304","【バッファー】バフ強化Lv2","2"
"83403","10304","【バッファー】バフ強化Lv3","3"
"83404","10304","【バッファー】バフ強化Lv4","4"
"83405","10304","【バッファー】バフ強化Lv5","5"
"83406","10304","【バッファー】バフ強化Lv6","6"
"83407","10304","【バッファー】バフ強化Lv7","7"
"83408","10304","【バッファー】バフ強化Lv8","8"
"83409","10304","【バッファー】バフ強化Lv9","9"
"83410","10304","【バッファー】バフ強化Lv10","10"
"84101","10401","【デバッファー】ＨＰアップLv1","1"
"84102","10401","【デバッファー】ＨＰアップLv2","2"
"84103","10401","【デバッファー】ＨＰアップLv3","3"
"84104","10401","【デバッファー】ＨＰアップLv4","4"
"84105","10401","【デバッファー】ＨＰアップLv5","5"
"84106","10401","【デバッファー】ＨＰアップLv6","6"
"84107","10401","【デバッファー】ＨＰアップLv7","7"
"84108","10401","【デバッファー】ＨＰアップLv8","8"
"84109","10401","【デバッファー】ＨＰアップLv9","9"
"84110","10401","【デバッファー】ＨＰアップLv10","10"
"84201","10402","【デバッファー】物理防御力アップLv1","1"
"84202","10402","【デバッファー】物理防御力アップLv2","2"
"84203","10402","【デバッファー】物理防御力アップLv3","3"
"84204","10402","【デバッファー】物理防御力アップLv4","4"
"84205","10402","【デバッファー】物理防御力アップLv5","5"
"84206","10402","【デバッファー】物理防御力アップLv6","6"
"84207","10402","【デバッファー】物理防御力アップLv7","7"
"84208","10402","【デバッファー】物理防御力アップLv8","8"
"84209","10402","【デバッファー】物理防御力アップLv9","9"
"84210","10402","【デバッファー】物理防御力アップLv10","10"
"84301","10403","【デバッファー】魔法防御力アップLv1","1"
"84302","10403","【デバッファー】魔法防御力アップLv2","2"
"84303","10403","【デバッファー】魔法防御力アップLv3","3"
"84304","10403","【デバッファー】魔法防御力アップLv4","4"
"84305","10403","【デバッファー】魔法防御力アップLv5","5"
"84306","10403","【デバッファー】魔法防御力アップLv6","6"
"84307","10403","【デバッファー】魔法防御力アップLv7","7"
"84308","10403","【デバッファー】魔法防御力アップLv8","8"
"84309","10403","【デバッファー】魔法防御力アップLv9","9"
"84310","10403","【デバッファー】魔法防御力アップLv10","10"
"84401","10404","【デバッファー】デバフ強化Lv1","1"
"84402","10404","【デバッファー】デバフ強化Lv2","2"
"84403","10404","【デバッファー】デバフ強化Lv3","3"
"84404","10404","【デバッファー】デバフ強化Lv4","4"
"84405","10404","【デバッファー】デバフ強化Lv5","5"
"84406","10404","【デバッファー】デバフ強化Lv6","6"
"84407","10404","【デバッファー】デバフ強化Lv7","7"
"84408","10404","【デバッファー】デバフ強化Lv8","8"
"84409","10404","【デバッファー】デバフ強化Lv9","9"
"84410","10404","【デバッファー】デバフ強化Lv10","10"
"85101","10501","【ブースター】ＨＰアップLv1","1"
"85102","10501","【ブースター】ＨＰアップLv2","2"
"85103","10501","【ブースター】ＨＰアップLv3","3"
"85104","10501","【ブースター】ＨＰアップLv4","4"
"85105","10501","【ブースター】ＨＰアップLv5","5"
"85106","10501","【ブースター】ＨＰアップLv6","6"
"85107","10501","【ブースター】ＨＰアップLv7","7"
"85108","10501","【ブースター】ＨＰアップLv8","8"
"85109","10501","【ブースター】ＨＰアップLv9","9"
"85110","10501","【ブースター】ＨＰアップLv10","10"
"85201","10502","【ブースター】物理防御力アップLv1","1"
"85202","10502","【ブースター】物理防御力アップLv2","2"
"85203","10502","【ブースター】物理防御力アップLv3","3"
"85204","10502","【ブースター】物理防御力アップLv4","4"
"85205","10502","【ブースター】物理防御力アップLv5","5"
"85206","10502","【ブースター】物理防御力アップLv6","6"
"85207","10502","【ブースター】物理防御力アップLv7","7"
"85208","10502","【ブースター】物理防御力アップLv8","8"
"85209","10502","【ブースター】物理防御力アップLv9","9"
"85210","10502","【ブースター】物理防御力アップLv10","10"
"85301","10503","【ブースター】魔法防御力アップLv1","1"
"85302","10503","【ブースター】魔法防御力アップLv2","2"
"85303","10503","【ブースター】魔法防御力アップLv3","3"
"85304","10503","【ブースター】魔法防御力アップLv4","4"
"85305","10503","【ブースター】魔法防御力アップLv5","5"
"85306","10503","【ブースター】魔法防御力アップLv6","6"
"85307","10503","【ブースター】魔法防御力アップLv7","7"
"85308","10503","【ブースター】魔法防御力アップLv8","8"
"85309","10503","【ブースター】魔法防御力アップLv9","9"
"85310","10503","【ブースター】魔法防御力アップLv10","10"
"85401","10504","【ブースター】ＴＰチャージLv1","1"
"85402","10504","【ブースター】ＴＰチャージLv2","2"
"85403","10504","【ブースター】ＴＰチャージLv3","3"
"85404","10504","【ブースター】ＴＰチャージLv4","4"
"85405","10504","【ブースター】ＴＰチャージLv5","5"
"85406","10504","【ブースター】ＴＰチャージLv6","6"
"85407","10504","【ブースター】ＴＰチャージLv7","7"
"85408","10504","【ブースター】ＴＰチャージLv8","8"
"85409","10504","【ブースター】ＴＰチャージLv9","9"
"85410","10504","【ブースター】ＴＰチャージLv10","10"
"86101","10601","【ヒーラー】ＨＰアップLv1","1"
"86102","10601","【ヒーラー】ＨＰアップLv2","2"
"86103","10601","【ヒーラー】ＨＰアップLv3","3"
"86104","10601","【ヒーラー】ＨＰアップLv4","4"
"86105","10601","【ヒーラー】ＨＰアップLv5","5"
"86106","10601","【ヒーラー】ＨＰアップLv6","6"
"86107","10601","【ヒーラー】ＨＰアップLv7","7"
"86108","10601","【ヒーラー】ＨＰアップLv8","8"
"86109","10601","【ヒーラー】ＨＰアップLv9","9"
"86110","10601","【ヒーラー】ＨＰアップLv10","10"
"86201","10602","【ヒーラー】物理防御力アップLv1","1"
"86202","10602","【ヒーラー】物理防御力アップLv2","2"
"86203","10602","【ヒーラー】物理防御力アップLv3","3"
"86204","10602","【ヒーラー】物理防御力アップLv4","4"
"86205","10602","【ヒーラー】物理防御力アップLv5","5"
"86206","10602","【ヒーラー】物理防御力アップLv6","6"
"86207","10602","【ヒーラー】物理防御力アップLv7","7"
"86208","10602","【ヒーラー】物理防御力アップLv8","8"
"86209","10602","【ヒーラー】物理防御力アップLv9","9"
"86210","10602","【ヒーラー】物理防御力アップLv10","10"
"86301","10603","【ヒーラー】魔法防御力アップLv1","1"
"86302","10603","【ヒーラー】魔法防御力アップLv2","2"
"86303","10603","【ヒーラー】魔法防御力アップLv3","3"
"86304","10603","【ヒーラー】魔法防御力アップLv4","4"
"86305","10603","【ヒーラー】魔法防御力アップLv5","5"
"86306","10603","【ヒーラー】魔法防御力アップLv6","6"
"86307","10603","【ヒーラー】魔法防御力アップLv7","7"
"86308","10603","【ヒーラー】魔法防御力アップLv8","8"
"86309","10603","【ヒーラー】魔法防御力アップLv9","9"
"86310","10603","【ヒーラー】魔法防御力アップLv10","10"
"86401","10604","【ヒーラー】回復強化Lv1","1"
"86402","10604","【ヒーラー】回復強化Lv2","2"
"86403","10604","【ヒーラー】回復強化Lv3","3"
"86404","10604","【ヒーラー】回復強化Lv4","4"
"86405","10604","【ヒーラー】回復強化Lv5","5"
"86406","10604","【ヒーラー】回復強化Lv6","6"
"86407","10604","【ヒーラー】回復強化Lv7","7"
"86408","10604","【ヒーラー】回復強化Lv8","8"
"86409","10604","【ヒーラー】回復強化Lv9","9"
"86410","10604","【ヒーラー】回復強化Lv10","10"
"87101","10701","【タンク】ＨＰアップLv1","1"
"87102","10701","【タンク】ＨＰアップLv2","2"
"87103","10701","【タンク】ＨＰアップLv3","3"
"87104","10701","【タンク】ＨＰアップLv4","4"
"87105","10701","【タンク】ＨＰアップLv5","5"
"87106","10701","【タンク】ＨＰアップLv6","6"
"87107","10701","【タンク】ＨＰアップLv7","7"
"87108","10701","【タンク】ＨＰアップLv8","8"
"87109","10701","【タンク】ＨＰアップLv9","9"
"87110","10701","【タンク】ＨＰアップLv10","10"
"87201","10702","【タンク】物理防御力アップLv1","1"
"87202","10702","【タンク】物理防御力アップLv2","2"
"87203","10702","【タンク】物理防御力アップLv3","3"
"87204","10702","【タンク】物理防御力アップLv4","4"
"87205","10702","【タンク】物理防御力アップLv5","5"
"87206","10702","【タンク】物理防御力アップLv6","6"
"87207","10702","【タンク】物理防御力アップLv7","7"
"87208","10702","【タンク】物理防御力アップLv8","8"
"87209","10702","【タンク】物理防御力アップLv9","9"
"87210","10702","【タンク】物理防御力アップLv10","10"
"87301","10703","【タンク】魔法防御力アップLv1","1"
"87302","10703","【タンク】魔法防御力アップLv2","2"
"87303","10703","【タンク】魔法防御力アップLv3","3"
"87304","10703","【タンク】魔法防御力アップLv4","4"
"87305","10703","【タンク】魔法防御力アップLv5","5"
"87306","10703","【タンク】魔法防御力アップLv6","6"
"87307","10703","【タンク】魔法防御力アップLv7","7"
"87308","10703","【タンク】魔法防御力アップLv8","8"
"87309","10703","【タンク】魔法防御力アップLv9","9"
"87310","10703","【タンク】魔法防御力アップLv10","10"
"87401","10704","【タンク】状態異常抵抗Lv1","1"
"87402","10704","【タンク】状態異常抵抗Lv2","2"
"87403","10704","【タンク】状態異常抵抗Lv3","3"
"87404","10704","【タンク】状態異常抵抗Lv4","4"
"87405","10704","【タンク】状態異常抵抗Lv5","5"
"87406","10704","【タンク】状態異常抵抗Lv6","6"
"87407","10704","【タンク】状態異常抵抗Lv7","7"
"87408","10704","【タンク】状態異常抵抗Lv8","8"
"87409","10704","【タンク】状態異常抵抗Lv9","9"
"87410","10704","【タンク】状態異常抵抗Lv10","10"
"88101","10801","【ジャマー】ＨＰアップLv1","1"
"88102","10801","【ジャマー】ＨＰアップLv2","2"
"88103","10801","【ジャマー】ＨＰアップLv3","3"
"88104","10801","【ジャマー】ＨＰアップLv4","4"
"88105","10801","【ジャマー】ＨＰアップLv5","5"
"88106","10801","【ジャマー】ＨＰアップLv6","6"
"88107","10801","【ジャマー】ＨＰアップLv7","7"
"88108","10801","【ジャマー】ＨＰアップLv8","8"
"88109","10801","【ジャマー】ＨＰアップLv9","9"
"88110","10801","【ジャマー】ＨＰアップLv10","10"
"88201","10802","【ジャマー】攻撃力アップLv1","1"
"88202","10802","【ジャマー】攻撃力アップLv2","2"
"88203","10802","【ジャマー】攻撃力アップLv3","3"
"88204","10802","【ジャマー】攻撃力アップLv4","4"
"88205","10802","【ジャマー】攻撃力アップLv5","5"
"88206","10802","【ジャマー】攻撃力アップLv6","6"
"88207","10802","【ジャマー】攻撃力アップLv7","7"
"88208","10802","【ジャマー】攻撃力アップLv8","8"
"88209","10802","【ジャマー】攻撃力アップLv9","9"
"88210","10802","【ジャマー】攻撃力アップLv10","10"
"88301","10803","【ジャマー】状態異常命中Lv1","1"
"88302","10803","【ジャマー】状態異常命中Lv2","2"
"88303","10803","【ジャマー】状態異常命中Lv3","3"
"88304","10803","【ジャマー】状態異常命中Lv4","4"
"88305","10803","【ジャマー】状態異常命中Lv5","5"
"88306","10803","【ジャマー】状態異常命中Lv6","6"
"88307","10803","【ジャマー】状態異常命中Lv7","7"
"88308","10803","【ジャマー】状態異常命中Lv8","8"
"88309","10803","【ジャマー】状態異常命中Lv9","9"
"88310","10803","【ジャマー】状態異常命中Lv10","10"
"88401","10804","【ジャマー】状態異常抵抗Lv1","1"
"88402","10804","【ジャマー】状態異常抵抗Lv2","2"
"88403","10804","【ジャマー】状態異常抵抗Lv3","3"
"88404","10804","【ジャマー】状態異常抵抗Lv4","4"
"88405","10804","【ジャマー】状態異常抵抗Lv5","5"
"88406","10804","【ジャマー】状態異常抵抗Lv6","6"
"88407","10804","【ジャマー】状態異常抵抗Lv7","7"
"88408","10804","【ジャマー】状態異常抵抗Lv8","8"
"88409","10804","【ジャマー】状態異常抵抗Lv9","9"
"88410","10804","【ジャマー】状態異常抵抗Lv10","10"
