f1da66699d6d420490724b2836a04450a4da7a322c5fa76eeb5e54595d8f94f4,777d82ac4f4e36ae4fe04e69befd3b30afbabe73294b3fd0227ecbf55b635ef8,c5da5f0433db55c0df5ed523d452ff501e0963a7fd711369d5cd300a67f005c9,0a1cf2210d5e75386dc8252ad59cd009347c14ff50451a9cb91ee86a290b6d50,c0a3a84c6d504591c49bea460891cbfb9b6a574bf771426b4bbd171a78ee1975,36f3f24702fea1d3a9c77c4840c03476a5681577fa0cd2a0564a3d2d6bf3ec53,5a7b641032b2a85a48c5ee07eaa6dfe6dad8d27a4498a707a42c2a40aa5e606f,64c09430c4ab9201669d9157228f6c73d131ec39d21e5cba8fddf2a482e4a0c7,37f52d5173f898d53893c3a30225b14ea67bfc6089fd849584724c83f191f52c,4bdbd77ca90227caece782615d8c085e53684cd1208452fa403dcaa7555e98e2,e437fa84ccc252fe839428412d52a17f368dd93320d5fbfadfdd8ab925cd0809
"10","0","1","0","0","1","12","1","11","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","12020"
"0","","0","","","0","12","","91","","12021"
"1","0.3","1","","","","12","","3","surprise_talk_dere","12022"
"0","","vo_asb","","","0","12","","21","vo_asb_0124","12023"
"10","0","1","0","0","1","12","1","11","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","12024"
"0","","0","","","0","12","","91","","12025"
"0","0.4","1","","0","sad_idle_red_riri","12","1","3","sad_talk_riri_in","12026"
"0","","vo_asb","","","0","12","","21","vo_asb_0125","12027"
"10","0","1","0","0","1","12","1","11","……一緒に……手土産を……\n……ぽっ。","12028"
"0","","0","","","0","12","","91","","12029"
"","","12031","","","","12","","101","","12030"
"1","0.3","1","","0","1","12","0","6","1","12031"
"1","0.3","0","","0","1","12","0","6","1","12032"
"-250","","1","","","0.3","12","1","2","-120","12033"
"0","","0","","","0.3","12","1","2","-100","12034"
"","","0","","","","12","","22","0","12035"
"","","0.4","","","","12","","93","0","12036"
"17","2.2","1","riri_idle_look_shy","0","20","13","-230","5","1","13001"
"19","2.2","2","clear_idle_look_shy","0","-140","13","-255","5","2","13002"
"18","2.2","3","idle_look_precia","1","270","13","-245","5","3","13003"
"1","0","1","","0","1","13","0","6","1","13004"
"1","0","2","","0","1","13","0","6","1","13005"
"1","0","3","","0","1","13","0","6","1","13006"
"0","0","1","","","0","13","1","31","100","13007"
"","","100","","","","13","","35","0","13008"
"16","1","0","black","0","50","13","0","5","0","13009"
"1","0","0","","0","1","13","0","6","1","13010"
"","","0","","","","13","","91","","13011"
"","","0.1","","","","13","","93","0","13012"
"1","0.2","1","","0","1","13","1","6","1","13013"
"1","0.2","2","","0","1","13","1","6","1","13014"
"1","0.2","3","","0","1","13","1","6","1","13015"
"1","0.2","0","","0","1","13","1","6","1","13016"
"-230","","1","","","0.3","13","2","2","-30","13017"
"-255","","2","","","0.3","13","2","2","-190","13018"
"-245","","3","","","0.3","13","2","2","220","13019"
"0","","0","","","0.3","13","2","2","0","13020"
"","","100","","","","13","","32","1","13021"
"","","0.6","","","","13","","93","0","13022"
"1","0.2","1","","","","13","","3","sad_talk_look_shy_riri","13023"
"0","","vo_asb","","","0","13","","21","vo_asb_1521","13024"
"10","0","1","0","0","1","13","1","11","実はわたくしたち……\nこの、学びのスクラップブックを\n兄様にご覧いただくのが、\n少し、恥ずかしかったのです。","13025"
"0","","0","","","0","13","","91","","13026"
"1","0.2","1","","","","13","","3","sad_idle_normal_look_shy_riri","13027"
"1","0.2","2","","","","13","","3","clear_talk_look_shy","13028"
"0","","vo_asb","","","0","13","","21","vo_asb_1522","13029"
"10","0","2","0","0","1","13","1","11","だって、楽しい思い出と同じくらい、\nヘマしたり、力及ばずなこともあって。\nそれを改めてお兄さんに見てもらうのは\n勇気がいるっていうか……","13030"
"0","","0","","","0","13","","91","","13031"
"1","0.3","2","","","","13","","3","clear_idle_look_shy","13032"
"1","0.2","3","","","","13","","3","sad_talk_look_precia","13033"
"0","","vo_asb","","","0","13","","21","vo_asb_1523","13034"
"10","0","3","0","0","1","13","1","11","せきらら\nぼうけんき。","13035"
"0","","0","","","0","13","","91","","13036"
"1","0.2","3","","","","13","","3","idle_look_precia","13037"
"1","0.3","1","","","","13","","3","talk_look_shy_riri","13038"
"0","","vo_asb","","","0","13","","21","vo_asb_1524","13039"
"10","0","1","0","0","1","13","1","11","でも……これも学びです。\n兄様。ぜひご覧になった感想を、\nお聞かせ願えませんでしょうか？","13040"
"0","","0","","","0","13","","91","","13041"
"1","0.2","1","","","","13","","3","wish_talk_look_shy_riri","13042"
"0","","vo_asb","","","0","13","","21","vo_asb_1525","13043"
"10","0","1","0","0","1","13","1","11","どんなに厳しい叱咤もご指導も、\n謹んでお受けいたしますので──\nって、…………え？","13044"
"0","","0","","","0","13","","91","","13045"
"1","0.2","2","","","","13","","3","idle_look_shy","13046"
"1","0.3","3","","","","13","","3","joy_idle_look_shy_precia","13047"
"1","0.2","1","","","","13","","3","wish_talk_Ex4","13048"
"0","","vo_asb","","","0","13","","21","vo_asb_1526","13049"
"10","0","1","0","0","1","13","1","11","…………\nま、まさか……\nそのようにお褒めいただけるなんて……","13050"
"0","","0","","","0","13","","91","","13051"
"1","0.2","1","","","","13","","3","idle_look_shy_riri","13052"
"1","0.4","3","","","","13","","3","surprise_idle_lookR_precia","13053"
"0","","vo_asb","","","0","13","","21","vo_asb_1527","13054"
"10","0","3","0","0","1","13","1","11","お兄……","13055"
"0","","0","","","0","13","","91","","13056"
"1","0.4","3","","","","13","","3","joy_idle_look_shy_precia2","13057"
"1","0.2","2","","","","13","","3","clear_talk2_look","13058"
"0","","vo_asb","","","0","13","","21","vo_asb_1528","13059"
"10","0","2","0","0","1","13","1","11","お兄さんは、\n結果云々ではなく、\nわたしたちががんばったこと、\nそれ自体を褒めてくれるんですね……","13060"
"0","","0","","","0","13","","91","","13061"
"1","0.2","1","","","","13","","3","wish_talk_Ex3","13062"
"1","0.3","3","","","","13","","3","joy_idle_look_shy_precia","13063"
"0","0.2","2","","0","clear_wish_talk_joy_look","13","1","3","talk2ToWish_look","13064"
"0","","vo_asb","","","0","13","","21","vo_asb_1529","13065"
"10","0","1","0","0","1","13","1","11","……ありがとうございます！","13066"
"0","","0","","","0","13","","91","","13067"
"1","0.2","1","","","","13","","3","idle_look_shy_riri","13068"
"1","0.2","2","","","","13","","3","idle_look_shy","13069"
"0","0.2","3","","0","doya_talk_precia","13","1","3","doya_in_precia","13070"
"0","","vo_asb","","","0","13","","21","vo_asb_1530","13071"
"10","0","3","0","0","1","13","1","11","むねはり。\nぼうけんき。","13072"
"0","","0","","","0","13","","91","","13073"
"1","0.4","3","","","","13","","3","idle_look_normal_precia","13074"
"1","0.2","1","","","","13","","3","riri_talk_look_shy","13075"
"0","","vo_asb","","","0","13","","21","vo_asb_1531","13076"
"10","0","1","0","0","1","13","1","11","ご覧の通り何事も拙く、\n未熟なわたくしたちですが……","13077"
"0","","0","","","0","13","","91","","13078"
"1","0.2","1","","","","13","","3","riri_idle_look_normal_shy","13079"
"1","0.2","2","","","","13","","3","clear_talk3_look","13080"
"0","","vo_asb","","","0","13","","21","vo_asb_1532","13081"
"10","0","2","0","0","1","13","1","11","こうしてお兄さんが\n温かく見守ってくれるおかげで、\n立派な冒険者になるという夢を、\n追い続けることができています。","13082"
"0","","0","","","0","13","","91","","13083"
"1","0.2","2","","","","13","","3","clear_wish_talk_joy_look","13084"
"0","","vo_asb","","","0","13","","21","vo_asb_1533","13085"
"10","0","2","0","0","1","13","1","11","お兄さん。\nこれからも、【アルターメイデン】の\n側にいてくださいね。","13086"
"0","","0","","","0","13","","91","","13087"
"1","0.2","2","","","","13","","3","clear_wish_idle_look","13088"
"0","0.1","3","","0.2","joy_idle_look_shy_precia2","13","1","3","agree","13089"
"0","","vo_asb","","","0","13","","21","vo_asb_1534","13090"
"10","0","3","0","0","1","13","1","11","よろしく。","13091"
"0","","0","","","0","13","","91","","13092"
"0","0.2","1","","0.2","idle_look_shy_riri","13","1","3","bow_riri","13093"
"0","","vo_asb","","","0","13","","21","vo_asb_1535","13094"
"10","0","1","0","0","1","13","1","11","お願いいたします……！","13095"
"0","","0","","","0","13","","91","","13096"
"","","13098","","","","13","","101","","13097"
"1","0.3","1","","0","1","13","0","6","1","13098"
"1","0.3","2","","0","1","13","0","6","1","13099"
"1","0.3","3","","0","1","13","0","6","1","13100"
"1","0.3","0","","0","1","13","0","6","1","13101"
"-230","","1","","","0.3","13","1","2","-130","13102"
"-255","","2","","","0.3","13","1","2","-290","13103"
"-245","","3","","","0.3","13","1","2","120","13104"
"0","","0","","","0.3","13","1","2","-100","13105"
"","","0","","","","13","","22","0","13106"
"","","100","","","","13","","35","1","13107"
"0","","100","","","0.3","13","1","33","-100","13108"
"","","0.4","","","","13","","93","0","13109"
"","","100","","","","13","","32","0","13110"
"52","2.2","3","surprise_idle_normal2_precia","0","30","22","-250","5","1","22001"
"1","0","1","","0","1","22","0","6","1","22002"
"29","1","0","black","0","50","22","0","5","0","22003"
"1","0","0","","0","1","22","0","6","1","22004"
"","","0","","","","22","","91","","22005"
"1","0.2","1","","0","1","22","1","6","1","22006"
"1","0.2","0","","0","1","22","1","6","1","22007"
"-250","","1","","","0.3","22","2","2","-20","22008"
"0","","0","","","0.3","22","2","2","0","22009"
"","","0.6","","","","22","","93","0","22010"
"0","","vo_asb","","","0","22","","21","vo_asb_0221","22011"
"10","0","1","0","0","1","22","1","11","ざぶとん。\nくっきー。\nいっぱいたべた。","22012"
"0","","0","","","0","22","","91","","22013"
"1","0.3","1","","","","22","","3","talk_surprise_precia","22014"
"0","","vo_asb","","","0","22","","21","vo_asb_0222","22015"
"10","0","1","0","0","1","22","1","11","スズメ。\nいろいろつくってる。\nらしい。","22016"
"0","","0","","","0","22","","91","","22017"
"1","0.3","1","","","","22","","3","think_idle_precia","22018"
"0","","vo_asb","","","0","22","","21","vo_asb_0223","22019"
"10","0","1","0","0","1","22","1","11","ざぶとん、ほっとけーき。\nとか？","22020"
"0","","0","","","0","22","","91","","22021"
"1","0.3","1","","","","22","","3","think_idle_dere_precia","22022"
"0","","vo_asb","","","0","22","","21","vo_asb_0224","22023"
"10","0","1","0","0","1","22","1","11","ざぶとん、まふぃん。\nとか？","22024"
"0","","0","","","0","22","","91","","22025"
"1","0.3","1","","","","22","","3","think_idle_angerR","22026"
"0","","vo_asb","","","0","22","","21","vo_asb_0225","22027"
"10","0","1","0","0","1","22","1","11","ざぶとん、にくまん……\nとか……（ごくり）","22028"
"0","","0","","","0","22","","91","","22029"
"0","0.1","1","","0","speak1_light_precia","22","1","3","thinkToSpeak_precia","22030"
"0","","vo_asb","","","0","22","","21","vo_asb_0226","22031"
"10","0","1","0","0","1","22","1","11","スズメ。\nすかうとする。\n【あるたーめいでん】に。","22032"
"0","","0","","","0","22","","91","","22033"
"","","22035","","","","22","","101","","22034"
"1","0.3","1","","0","1","22","0","6","1","22035"
"1","0.3","0","","0","1","22","0","6","1","22036"
"-250","","1","","","0.3","22","1","2","-120","22037"
"0","","0","","","0.3","22","1","2","-100","22038"
"","","0","","","","22","","22","0","22039"
"","","0.4","","","","22","","93","0","22040"
"52","2.2","1","riri_idle_look","0","20","32","-230","5","1","32001"
"58","2.2","2","clear_book_read","0","-140","32","-255","5","2","32002"
"55","2.2","3","joy_idle_precia","1","270","32","-245","5","3","32003"
"1","0","1","","0","1","32","0","6","1","32004"
"1","0","2","","0","1","32","0","6","1","32005"
"1","0","3","","0","1","32","0","6","1","32006"
"29","1","0","black","0","50","32","0","5","0","32007"
"1","0","0","","0","1","32","0","6","1","32008"
"","","0","","","","32","","91","","32009"
"1","0.2","1","","0","1","32","1","6","1","32010"
"1","0.2","2","","0","1","32","1","6","1","32011"
"1","0.2","3","","0","1","32","1","6","1","32012"
"1","0.2","0","","0","1","32","1","6","1","32013"
"-230","","1","","","0.3","32","2","2","-30","32014"
"-255","","2","","","0.3","32","2","2","-190","32015"
"-245","","3","","","0.3","32","2","2","220","32016"
"0","","0","","","0.3","32","2","2","0","32017"
"","","0.6","","","","32","","93","0","32018"
"1","0.2","2","","","","32","","3","clear_book_talk","32019"
"0","","vo_asb","","","0","32","","21","vo_asb_0321","32020"
"10","0","2","0","0","1","32","1","11","この牛さんの絵、\n上手すぎませんか！？","32021"
"0","","0","","","0","32","","91","","32022"
"1","0.4","2","","","","32","","3","clear_book_idle","32023"
"1","0.2","1","","","","32","","3","riri_talk_look","32024"
"0","","vo_asb","","","0","32","","21","vo_asb_0322","32025"
"10","0","1","0","0","1","32","1","11","プレシアさん作です。\n彼女は天才タイプなので。","32026"
"0","","0","","","0","32","","91","","32027"
"1","0.2","1","","","","32","","3","riri_idle_look","32028"
"0","0.1","2","","0","clear_talk2_noShy","32","1","3","clear_bookToTalk2","32029"
"0","","vo_asb","","","0","32","","21","vo_asb_0323","32030"
"10","0","2","0","0","1","32","1","11","そういえば、わたしとリリちゃんが、\n『腰に手』が上手くできなくて、\nマヒルさんに教わりながら、\n悪戦苦闘してた時も……","32031"
"0","","0","","","0","32","","91","","32032"
"0","0.1","2","","0","idle_talkjoy2","32","1","3","talk2ToIdle_talkjoy2","32033"
"1","0.2","1","","","","32","","3","sad_talk_joy2R","32034"
"0","","vo_asb","","","0","32","","21","vo_asb_0324","32035"
"10","0","1","0","0","1","32","1","11","はい。プレシアさんだけが、\n一発合格でしたね。\n素人のわたくしたちの目から見ても、\n実に完璧な『腰に手』でございました。","32036"
"0","","0","","","0","32","","91","","32037"
"1","0.2","1","","","","32","","3","sad_idle_normal_riri","32038"
"1","0.2","2","","","","32","","3","idle","32039"
"1","0.3","3","","","","32","","3","talk_precia","32040"
"0","","vo_asb","","","0","32","","21","vo_asb_0325","32041"
"10","0","3","0","0","1","32","1","11","みたい？","32042"
"0","","0","","","0","32","","91","","32043"
"1","0.3","3","","","","32","","3","joy_idle_precia","32044"
"1","0.2","1","","","","32","","3","guts2_talk_riri","32045"
"1","0.2","2","","","","32","","3","clear_hope_talk","32046"
"0","","vo_asb","","","0","32","","21","vo_asb_0326","32047"
"10","0","1","0","0","1","32","1","11","ぜひっ。","32048"
"0","","0","","","0","32","","91","","32049"
"1","0.2","1","","","","32","","3","guts2_idle_riri","32050"
"1","0.2","2","","","","32","","3","clear_hope_idle","32051"
"0","0.2","3","","0","cool_idle","32","1","3","cool_in","32052"
"0","","vo_asb","","","0","32","","21","vo_asb_0327","32053"
"10","0","3","0","0","1","32","1","11","びしっ。","32054"
"0","","0","","","0","32","","91","","32055"
"0","0.2","3","","0.1","cool_idle_doya","32","1","3","cool_idle_doya_in","32056"
"1","0.2","1","","","","32","","3","guts2_idle_joy_riri","32057"
"1","0.2","2","","","","32","","3","clear_hope_joy","32058"
"0","","vo_asb","","","0","32","","21","vo_asb_0328","32059"
"10","-85","1","0","-22","1","32","1","11","わぁ～♪","32060"
"0","","0","","","0","32","","91","","32061"
"","","32063","","","","32","","101","","32062"
"1","0.3","1","","0","1","32","0","6","1","32063"
"1","0.3","2","","0","1","32","0","6","1","32064"
"1","0.3","3","","0","1","32","0","6","1","32065"
"1","0.3","0","","0","1","32","0","6","1","32066"
"-230","","1","","","0.3","32","1","2","-130","32067"
"-255","","2","","","0.3","32","1","2","-290","32068"
"-245","","3","","","0.3","32","1","2","120","32069"
"0","","0","","","0.3","32","1","2","-100","32070"
"","","0","","","","32","","22","0","32071"
"","","0.4","","","","32","","93","0","32072"
"52","2.2","2","clear_wish_talk_joy_noShy","0","30","42","-250","5","1","42001"
"1","0","1","","0","1","42","0","6","1","42002"
"29","1","0","black","0","50","42","0","5","0","42003"
"1","0","0","","0","1","42","0","6","1","42004"
"","","0","","","","42","","91","","42005"
"1","0.2","1","","0","1","42","1","6","1","42006"
"1","0.2","0","","0","1","42","1","6","1","42007"
"-250","","1","","","0.3","42","2","2","-20","42008"
"0","","0","","","0.3","42","2","2","0","42009"
"","","0.6","","","","42","","93","0","42010"
"0","","vo_asb","","","0","42","","21","vo_asb_0421","42011"
"10","0","1","0","0","1","42","1","11","リンさんによるマヒルさんのモノマネ、\nとっても上手でした。","42012"
"0","","0","","","0","42","","91","","42013"
"1","0.1","1","","","","42","","3","clear_talk_normal","42014"
"0","","vo_asb","","","0","42","","21","vo_asb_0422","42015"
"10","0","1","0","0","1","42","1","11","ギルドも長くなると、\n絆を深めたメンバー同士、\nああして互いのモノマネも、\n難なくできるようになるんですね……","42016"
"0","","0","","","0","42","","91","","42017"
"0","0.2","1","","0","clear_kohon_loop","42","1","3","clear_kohon_in","42018"
"0","","vo_asb","","","0","42","","21","vo_asb_0423","42019"
"10","0","1","0","0","1","42","1","11","…………\n……こほん。","42020"
"0","","0","","","0","42","","91","","42021"
"0","0.2","1","","0","clear_speak2_talk","42","1","3","clear_imitation_in","42022"
"0","","vo_asb","","","0","42","","21","vo_asb_0424","42023"
"10","0","1","0","0","1","42","1","11","に、兄様。兄様……？　\nお、おに、お兄……お兄。\n…………","42024"
"0","","0","","","0","42","","91","","42025"
"0","0.3","1","","0","clear_surprise_talk_red","42","1","3","clear_surprise_in_red","42026"
"0","","vo_asb","","","0","42","","21","vo_asb_0425","42027"
"10","0","1","0","0","1","42","1","11","……はっ！\nギルドメンバーのモノマネを\nしていただけなのに、\nわたしってば、どうして赤く……！","42028"
"0","","0","","","0","42","","91","","42029"
"1","0.2","1","","","","42","","3","clear_wish_talk_pain_red","42030"
"0","","vo_asb","","","0","42","","21","vo_asb_0426","42031"
"10","0","1","0","0","1","42","1","11","色んな意味で、まだまだです……っ！","42032"
"0","","0","","","0","42","","91","","42033"
"","","42035","","","","42","","101","","42034"
"1","0.3","1","","0","1","42","0","6","1","42035"
"1","0.3","0","","0","1","42","0","6","1","42036"
"-250","","1","","","0.3","42","1","2","-120","42037"
"0","","0","","","0.3","42","1","2","-100","42038"
"","","0","","","","42","","22","0","42039"
"","","0.4","","","","42","","93","0","42040"
"55","2.2","1","dance_riri","0","70","52","-243","5","1","52001"
"52","2.2","2","dance_clear","1","320","52","-245","5","2","52002"
"58","2.2","3","dance_precia","0","-90","52","-255","5","3","52003"
"1","0","1","","0","1","52","0","6","1","52004"
"1","0","2","","0","1","52","0","6","1","52005"
"1","0","3","","0","1","52","0","6","1","52006"
"29","1","0","black","0","50","52","0","5","0","52007"
"1","0","0","","0","1","52","0","6","1","52008"
"","","0","","","","52","","91","","52009"
"0","0.1","1","","","","52","","3","dance_riri","52010"
"0","0.1","2","","0","idle","52","1","3","dance_clear","52011"
"0","0.1","3","","0","idle_precia","52","1","3","dance_precia","52012"
"1","0.2","1","","0","1","52","1","6","1","52013"
"1","0.2","2","","0","1","52","1","6","1","52014"
"1","0.2","3","","0","1","52","1","6","1","52015"
"1","0.2","0","","0","1","52","1","6","1","52016"
"-243","","1","","","0.3","52","2","2","-30","52017"
"-245","","2","","","0.3","52","2","2","220","52018"
"-255","","3","","","0.3","52","2","2","-190","52019"
"0","","0","","","0.3","52","2","2","0","52020"
"","","0.6","","","","52","","93","0","52021"
"0","","vo_asb","","","0","52","","21","vo_asb_0521","52022"
"26","0","3","0.15","0","0","52","0","11","くいっく、くいっく、すろー。","52023"
"0","","0","","","0","52","","91","","52024"
"0","","vo_asb","","","0","52","","21","vo_asb_0522","52025"
"10","0","1","0.75","0","0","52","0","11","ターンエン、ターンエン、\nクイッククイックスロー！","52026"
"","","52010","","","","52","","91","","52027"
"1","0.1","1","","","","52","","3","idle","52028"
"","","0.2","","","","52","","93","0","52029"
"0","0.1","1","","0.2","talk_joy","52","1","3","smile_riri","52030"
"0","","vo_asb","","","0","52","","21","vo_asb_0523","52031"
"10","0","1","0","0","1","52","1","11","……ふふふ。この掛け声があると、\n不思議と３人の息が、\nぴったり合うのですよね。","52032"
"","","0","","","","52","","91","","52033"
"1","0.2","1","","","","52","","3","riri_idle","52034"
"1","0.2","2","","","","52","","3","clear_talk2_noShy","52035"
"0","","vo_asb","","","0","52","","21","vo_asb_0524","52036"
"10","0","2","0","0","1","52","1","11","はい。だからその後も、\nけっこう使ってますよね。\n重い物を持ち上げる時とか。\n３人で体操をする時とか。","52037"
"0","","0","","","0","52","","91","","52038"
"0","0.2","2","","0","idle","52","1","3","talk2ToIdle","52039"
"1","0.2","1","","","","52","","3","riri_talk","52040"
"0","","vo_asb","","","0","52","","21","vo_asb_0525","52041"
"10","0","1","0","0","1","52","1","11","他にも、戦闘訓練で息を合わせる際や、\nあとは夜道を歩く時の、魔物避けにも！","52042"
"0","","0","","","0","52","","91","","52043"
"1","0.2","1","","","","52","","3","riri_idle_look","52044"
"1","0.2","2","","","","52","","3","idle_talkjoy2","52045"
"1","0.3","3","","","","52","","3","talk_precia","52046"
"0","","vo_asb","","","0","52","","21","vo_asb_0526","52047"
"10","0","3","0","0","1","52","1","11","はんようせい。\nありすぎ。","52048"
"0","","0","","","0","52","","91","","52049"
"","","52051","","","","52","","101","","52050"
"1","0.3","1","","0","1","52","0","6","1","52051"
"1","0.3","2","","0","1","52","0","6","1","52052"
"1","0.3","3","","0","1","52","0","6","1","52053"
"1","0.3","0","","0","1","52","0","6","1","52054"
"-230","","1","","","0.3","52","1","2","-130","52055"
"-245","","2","","","0.3","52","1","2","120","52056"
"-255","","3","","","0.3","52","1","2","-290","52057"
"0","","0","","","0.3","52","1","2","-100","52058"
"","","0","","","","52","","22","0","52059"
"","","0.4","","","","52","","93","0","52060"
"52","2.2","1","talk_joy","0","30","62","-250","5","1","62001"
"1","0","1","","0","1","62","0","6","1","62002"
"29","1","0","black","0","50","62","0","5","0","62003"
"1","0","0","","0","1","62","0","6","1","62004"
"","","0","","","","62","","91","","62005"
"1","0.2","1","","0","1","62","1","6","1","62006"
"1","0.2","0","","0","1","62","1","6","1","62007"
"-250","","1","","","0.3","62","2","2","-20","62008"
"0","","0","","","0.3","62","2","2","0","62009"
"","","0.6","","","","62","","93","0","62010"
"0","","vo_asb","","","0","62","","21","vo_asb_0621","62011"
"10","0","1","0","0","1","62","1","11","ライブ後、【カルミナ】の皆様が\n来てくださったのです。","62012"
"0","","0","","","0","62","","91","","62013"
"1","0.2","1","","","","62","","3","wish_talk_joyR_riri","62014"
"0","","vo_asb","","","0","62","","21","vo_asb_0622","62015"
"10","0","1","0","0","1","62","1","11","「また絶対一緒に踊ろうね」って、\n手まで、重ねさせていただいて……","62016"
"0","","0","","","0","62","","91","","62017"
"1","0.3","1","","","","62","","3","memoly_talk_joy","62018"
"0","","vo_asb","","","0","62","","21","vo_asb_0623","62019"
"10","0","1","0","0","1","62","1","11","お三方のあまりの可憐さと華やかさに、\nわたくし、もう、\nクラクラしてしまって……","62020"
"0","","0","","","0","62","","91","","62021"
"1","0.2","1","","","","62","","3","sad_talk2_dere","62022"
"0","","vo_asb","","","0","62","","21","vo_asb_0624","62023"
"10","0","1","0","0","1","62","1","11","実は、重ねさせていただいたこの手、\nあれ以来まだ一度も洗っておりません。","62024"
"0","","0","","","0","62","","91","","62025"
"1","0.3","1","","","","62","","3","wish_talk_nervous_riri","62026"
"0","","vo_asb","","","0","62","","21","vo_asb_0625","62027"
"10","0","1","0","0","1","62","1","11","リアさんには、やや呆れた目で\n見られている気が、\nしないでもありませんが……\nせめて、あと半日は……！","62028"
"0","","0","","","0","62","","91","","62029"
"","","62031","","","","62","","101","","62030"
"1","0.3","1","","0","1","62","0","6","1","62031"
"1","0.3","0","","0","1","62","0","6","1","62032"
"-250","","1","","","0.3","62","1","2","-120","62033"
"0","","0","","","0.3","62","1","2","-100","62034"
"","","0","","","","62","","22","0","62035"
"","","0.4","","","","62","","93","0","62036"
"52","2.2","2","idle","0","30","72","-250","5","1","72001"
"1","0","1","","0","1","72","0","6","1","72002"
"29","1","0","black","0","50","72","0","5","0","72003"
"1","0","0","","0","1","72","0","6","1","72004"
"","","0","","","","72","","91","","72005"
"1","0.2","1","","0","1","72","1","6","1","72006"
"1","0.2","0","","0","1","72","1","6","1","72007"
"-250","","1","","","0.3","72","2","2","-20","72008"
"0","","0","","","0.3","72","2","2","0","72009"
"","","0.6","","","","72","","93","0","72010"
"1","0.2","1","","","","72","","3","clear_talk_normal","72011"
"0","","vo_asb","","","0","72","","21","vo_asb_0721","72012"
"10","0","1","0","0","1","72","1","11","アオイさんて、すごくシャイみたいで。\nだけど、言うじゃないですか。\n共通の話題がある相手とは、\n打ち解けやすい、って。","72013"
"0","","0","","","0","72","","91","","72014"
"1","0.2","1","","","","72","","3","clear_kohon_talk_surprise","72015"
"0","","vo_asb","","","0","72","","21","vo_asb_0722","72016"
"10","0","1","0","0","1","72","1","11","直感、あったんですよね。\nアオイさんほど詳しくはないですが、\nわたしも草花が好きなので。\nこの人とは仲良くなれそう、みたいな。","72017"
"0","","0","","","0","72","","91","","72018"
"1","0.2","1","","","","72","","3","clear_talk2_noShy","72019"
"0","","vo_asb","","","0","72","","21","vo_asb_0723","72020"
"10","0","1","0","0","1","72","1","11","だからわたし、\n勇気を出して言ってみたんです！\nお友だちになりませんか、って。","72021"
"0","","0","","","0","72","","91","","72022"
"0","0.2","1","","0","clear_wish_talk_joy","72","1","3","talk2ToWish","72023"
"0","","vo_asb","","","0","72","","21","vo_asb_0724","72024"
"10","0","1","0","0","1","72","1","11","そしたらアオイさん、\n顔を真っ赤にして、ブンブン！　って、\n首を縦に振ってくれて。\nやった！　って思ったんですよね。","72025"
"0","","0","","","0","72","","91","","72026"
"1","0.2","1","","","","72","","3","clear_talk2_nervous","72027"
"0","","vo_asb","","","0","72","","21","vo_asb_0725","72028"
"10","0","1","0","0","1","72","1","11","……でもその後、\n心の準備が欲しいって言われちゃって。\n心の準備、300年くらいかかるかも\nしれないんだそうです……","72029"
