97224c864188aa225f46601881ca3481962e66c6477f211b5226c8a5ad0273d4,56fc21a24873acad184f0605fa26d2340094a48658d2f9d64f27a9220db02517,9b81a47e543fa944e822020a26da4df6b09090c473b199cdfb1cd0d0bac65dff,a698cd9a0911991d40f368f99d12f7142b5741824f1929a7bda207ad60ffcf18,17279f305a049c03af4053a8cfe2ec1637f34ead92e390eccbb48ce4d1def8ef
"1000000","12","94002","138","100513"
"400","2","20004","139","100513"
"1500","2","90008","140","100514"
"1","2","41000","141","100515"
"1000000","12","94002","142","100516"
"500","2","20004","143","100516"
"40","8","91002","144","100517"
"1500","2","90008","145","100517"
"2000000","12","94002","146","100518"
"2000","2","90008","147","100518"
"3000000","12","94002","148","100601"
"300","2","20004","149","100601"
"1000","2","90008","150","100602"
"12","2","25001","151","100603"
"1000000","12","94002","152","100604"
"300","2","20004","153","100604"
"1000","2","90008","154","100605"
"10","2","25001","155","100606"
"40","8","91002","156","100607"
"1000000","12","94002","157","100607"
"300","2","20004","158","100607"
"1000","2","90008","159","100608"
"1","2","41000","160","100609"
"10","2","25001","161","100609"
"1000000","12","94002","162","100610"
"400","2","20004","163","100610"
"1500","2","90008","164","100611"
"40","8","91002","165","100612"
"9","2","25001","166","100612"
"1000000","12","94002","167","100613"
"400","2","20004","168","100613"
"1500","2","90008","169","100614"
"1","2","41000","170","100615"
"1000000","12","94002","171","100616"
"500","2","20004","172","100616"
"40","8","91002","173","100617"
"1500","2","90008","174","100617"
"2000000","12","94002","175","100618"
"2000","2","90008","176","100618"
"3000000","12","94002","177","100701"
"300","2","20004","178","100701"
"1000","2","90008","179","100702"
"12","2","25001","180","100703"
"1000000","12","94002","181","100704"
"300","2","20004","182","100704"
"1000","2","90008","183","100705"
"10","2","25001","184","100706"
"40","8","91002","185","100707"
"1000000","12","94002","186","100707"
"300","2","20004","187","100707"
"1000","2","90008","188","100708"
"1","2","41000","189","100709"
"10","2","25001","190","100709"
"1000000","12","94002","191","100710"
"400","2","20004","192","100710"
"1500","2","90008","193","100711"
"40","8","91002","194","100712"
"9","2","25001","195","100712"
"1000000","12","94002","196","100713"
"400","2","20004","197","100713"
"1500","2","90008","198","100714"
"1","2","41000","199","100715"
"1000000","12","94002","200","100716"
"500","2","20004","201","100716"
"40","8","91002","202","100717"
"1500","2","90008","203","100717"
"2000000","12","94002","204","100718"
"2000","2","90008","205","100718"
"3000000","12","94002","206","100801"
"300","2","20004","207","100801"
"1000","2","90008","208","100802"
"12","2","25001","209","100803"
"1000000","12","94002","210","100804"
"300","2","20004","211","100804"
"1000","2","90008","212","100805"
"10","2","25001","213","100806"
"40","8","91002","214","100807"
"1000000","12","94002","215","100807"
"300","2","20004","216","100807"
"1000","2","90008","217","100808"
"1","2","41000","218","100809"
"10","2","25001","219","100809"
"1000000","12","94002","220","100810"
"400","2","20004","221","100810"
"1500","2","90008","222","100811"
"40","8","91002","223","100812"
"9","2","25001","224","100812"
"1000000","12","94002","225","100813"
"400","2","20004","226","100813"
"1500","2","90008","227","100814"
"1","2","41000","228","100815"
"1000000","12","94002","229","100816"
"500","2","20004","230","100816"
"40","8","91002","231","100817"
"1500","2","90008","232","100817"
"2000000","12","94002","233","100818"
"2000","2","90008","234","100818"
"3000000","12","94002","235","100901"
"300","2","20004","236","100901"
"1000","2","90008","237","100902"
"150","2","23003","238","100902"
"12","2","25001","239","100903"
"1000000","12","94002","240","100904"
"300","2","20004","241","100904"
"1000","2","90008","242","100905"
"150","2","23003","243","100905"
"10","2","25001","244","100906"
"40","8","91002","245","100907"
"1000000","12","94002","246","100907"
"300","2","20004","247","100907"
"1000","2","90008","248","100908"
"200","2","23003","249","100908"
"1","2","41000","250","100909"
"10","2","25001","251","100909"
"1000000","12","94002","252","100910"
"400","2","20004","253","100910"
"1500","2","90008","254","100911"
"40","8","91002","255","100912"
"9","2","25001","256","100912"
"1000000","12","94002","257","100913"
"400","2","20004","258","100913"
"1500","2","90008","259","100914"
"1","2","41000","260","100915"
"1000000","12","94002","261","100916"
"500","2","20004","262","100916"
"40","8","91002","263","100917"
"1500","2","90008","264","100917"
"2000000","12","94002","265","100918"
"2000","2","90008","266","100918"
"3000000","12","94002","267","101001"
"300","2","20004","268","101001"
"1000","2","90008","269","101002"
"150","2","23003","270","101002"
"12","2","25001","271","101003"
"1000000","12","94002","272","101004"
"300","2","20004","273","101004"
"1000","2","90008","274","101005"
"150","2","23003","275","101005"
"10","2","25001","276","101006"
"40","8","91002","277","101007"
"1000000","12","94002","278","101007"
"300","2","20004","279","101007"
"1000","2","90008","280","101008"
"200","2","23003","281","101008"
"1","2","41000","282","101009"
"10","2","25001","283","101009"
"1000000","12","94002","284","101010"
"400","2","20004","285","101010"
"1500","2","90008","286","101011"
"40","8","91002","287","101012"
"9","2","25001","288","101012"
"1000000","12","94002","289","101013"
"400","2","20004","290","101013"
"1500","2","90008","291","101014"
"1","2","41000","292","101015"
"1000000","12","94002","293","101016"
"500","2","20004","294","101016"
"40","8","91002","295","101017"
"1500","2","90008","296","101017"
"2000000","12","94002","297","101018"
"2000","2","90008","298","101018"
"3000000","12","94002","299","101101"
"300","2","20004","300","101101"
"1000","2","90008","301","101102"
"150","2","23003","302","101102"
"12","2","25001","303","101103"
"1000000","12","94002","304","101104"
"300","2","20004","305","101104"
"1000","2","90008","306","101105"
"150","2","23003","307","101105"
"10","2","25001","308","101106"
"40","8","91002","309","101107"
"1000000","12","94002","310","101107"
"300","2","20004","311","101107"
"1000","2","90008","312","101108"
"200","2","23003","313","101108"
"1","2","41000","314","101109"
"10","2","25001","315","101109"
"1000000","12","94002","316","101110"
"400","2","20004","317","101110"
"1500","2","90008","318","101111"
"40","8","91002","319","101112"
"9","2","25001","320","101112"
"1000000","12","94002","321","101113"
"400","2","20004","322","101113"
"1500","2","90008","323","101114"
"1","2","41000","324","101115"
"1000000","12","94002","325","101116"
"500","2","20004","326","101116"
"40","8","91002","327","101117"
"1500","2","90008","328","101117"
"2000000","12","94002","329","101118"
"2000","2","90008","330","101118"
"3000000","12","94002","331","101201"
"300","2","20004","332","101201"
"1000","2","90008","333","101202"
"150","2","23003","334","101202"
"12","2","25001","335","101203"
"1000000","12","94002","336","101204"
"300","2","20004","337","101204"
"1000","2","90008","338","101205"
"150","2","23003","339","101205"
"10","2","25001","340","101206"
"40","8","91002","341","101207"
"1000000","12","94002","342","101207"
"300","2","20004","343","101207"
"1000","2","90008","344","101208"
"200","2","23003","345","101208"
"1","2","41000","346","101209"
"10","2","25001","347","101209"
"1000000","12","94002","348","101210"
"400","2","20004","349","101210"
"1500","2","90008","350","101211"
"40","8","91002","351","101212"
"9","2","25001","352","101212"
"1000000","12","94002","353","101213"
"400","2","20004","354","101213"
"1500","2","90008","355","101214"
"1","2","41000","356","101215"
"1000000","12","94002","357","101216"
"500","2","20004","358","101216"
"40","8","91002","359","101217"
"1500","2","90008","360","101217"
"2000000","12","94002","361","101218"
"2000","2","90008","362","101218"
