74441c84f868c13d380a15096658607c29e85621d6f48239394db7b1cef24dbc,269f73ac9c30a17a49ea1566b2d0379e1bab8d1bd9027381e6a5e5e23533efb9,619ba26965041454b23d92fb1d2ca3d91e3a78d3f0f9075de27bb3d91e0404c9,035cafdce54eea16e481e4be42d6b07ad411bf6047bc27a0a1a75d8477e93c42,4c4f5a20931f89899daa5b764bce2e65d0464aac74edce3253d4cc48550dbfa8,2bf50ef8eaf3d96479ece0f457dee47b77c025dbbbdcace87c0f1b9fd84b6f13,cd4d6de44b19aacee6456bc0809e52f4474765fb5b0c0a6cd616d29d7bcdd8b2,3ec2ec4c02f6e8200418f912a498b0d6249c04fd7d8e4ad2702d9d4be9e2fa1c,d90491a143b35c4f8a1bc2a4e680e9e3fe8c7ee18f6f45c83db0c0cc42488b37,af57aeb38383eb3ddf0198669f85677290e4a983af15256eec2cc5063570ec4a,0c52ecfd2853d47cef1800b1b5d97a984ca35cf71c1245241a3541247cad7d0e
"84","28","19","25021","8","91002","25013","2","283001028","2","10"
"86","29","19","25021","8","91002","25013","2","283001029","2","10"
"89","30","20","25021","8","91002","25013","2","283001030","2","30"
"94","31","20","25021","8","91002","25013","2","283001031","2","10"
"96","32","21","25021","8","91002","25013","2","283001032","2","10"
"99","33","21","25021","8","91002","25013","2","283001033","2","10"
"101","34","22","25021","8","91002","25013","2","283001034","2","10"
"103","35","22","25021","8","91002","25013","2","283001035","2","10"
"106","36","23","25021","8","91002","25013","2","283001036","2","10"
"108","37","23","25021","8","91002","25013","2","283001037","2","10"
"111","38","24","25021","8","91002","25013","2","283001038","2","10"
"113","39","25","25021","8","91002","25013","2","283001039","2","10"
"115","40","25","25021","8","91002","25013","2","283001040","2","30"
"121","41","26","25021","8","91002","25013","2","283001041","2","10"
"123","42","27","25021","8","91002","25013","2","283001042","2","10"
"125","43","28","25021","8","91002","25013","2","283001043","2","10"
"128","44","28","25021","8","91002","25013","2","283001044","2","10"
"130","45","29","25021","8","91002","25013","2","283001045","2","10"
"132","46","30","25021","8","91002","25013","2","283001046","2","10"
"135","47","30","25021","8","91002","25013","2","283001047","2","10"
"137","48","31","25021","8","91002","25013","2","283001048","2","10"
"139","49","31","25021","8","91002","25013","2","283001049","2","10"
"142","50","31","25021","8","91002","25013","2","283001050","2","30"
"144","51","32","25021","8","91002","25013","2","283001051","2","10"
"146","52","32","25021","8","91002","25013","2","283001052","2","10"
"149","53","32","25021","8","91002","25013","2","283001053","2","10"
"152","54","33","25021","8","91002","25013","2","283001054","2","10"
"155","55","33","25021","8","91002","25013","2","283001055","2","10"
"157","56","33","25021","8","91002","25013","2","283001056","2","10"
"160","57","34","25021","8","91002","25013","2","283001057","2","10"
"163","58","34","25021","8","91002","25013","2","283001058","2","10"
"166","59","34","25021","8","91002","25013","2","283001059","2","10"
"169","60","35","25021","8","91002","25013","2","283001060","2","30"
"171","61","35","25021","8","91002","25013","2","283001061","2","10"
"174","62","35","25021","8","91002","25013","2","283001062","2","10"
"177","63","36","25021","8","91002","25013","2","283001063","2","10"
"180","64","36","25021","8","91002","25013","2","283001064","2","10"
"182","65","36","25021","8","91002","25013","2","283001065","2","10"
"185","66","37","25021","8","91002","25013","2","283001066","2","10"
"187","67","37","25021","8","91002","25013","2","283001067","2","10"
"190","68","37","25021","8","91002","25013","2","283001068","2","10"
"193","69","38","25021","8","91002","25013","2","283001069","2","10"
"196","70","38","25021","8","91002","25013","2","283001070","2","30"
"200","71","39","25021","8","91002","25013","2","283001071","2","10"
"204","72","39","25021","8","91002","25013","2","283001072","2","10"
"208","73","40","25021","8","91002","25013","2","283001073","2","10"
"212","74","40","25021","8","91002","25013","2","283001074","2","10"
"216","75","41","25021","8","91002","25013","2","283001075","2","10"
"220","76","41","25021","8","91002","25013","2","283001076","2","10"
"224","77","42","25021","8","91002","25013","2","283001077","2","10"
"228","78","42","25021","8","91002","25013","2","283001078","2","10"
"232","79","43","25021","8","91002","25013","2","283001079","2","10"
"236","80","43","25021","8","91002","25013","2","283001080","2","30"
"240","81","44","25021","8","91002","25013","2","283001081","2","10"
"244","82","44","25021","8","91002","25013","2","283001082","2","10"
"248","83","45","25021","8","91002","25013","2","283001083","2","10"
"252","84","45","25021","8","91002","25013","2","283001084","2","10"
"256","85","46","25021","8","91002","25013","2","283001085","2","10"
"260","86","46","25021","8","91002","25013","2","283001086","2","10"
"264","87","47","25021","8","91002","25013","2","283001087","2","10"
"268","88","47","25021","8","91002","25013","2","283001088","2","10"
"272","89","48","25021","8","91002","25013","2","283001089","2","10"
"276","90","48","25021","8","91002","25013","2","283001090","2","30"
"280","91","49","25021","8","91002","25013","2","283001091","2","10"
"284","92","49","25021","8","91002","25013","2","283001092","2","10"
"288","93","50","25021","8","91002","25013","2","283001093","2","10"
"292","94","50","25021","8","91002","25013","2","283001094","2","10"
"296","95","51","25021","8","91002","25013","2","283001095","2","10"
"300","96","51","25021","8","91002","25013","2","283001096","2","10"
"304","97","52","25021","8","91002","25013","2","283001097","2","10"
"308","98","52","25021","8","91002","25013","2","283001098","2","10"
"312","99","53","25021","8","91002","25013","2","283001099","2","10"
"316","100","53","25021","8","91002","25013","2","283001100","2","30"
