0d5156f016d1d6e9d94f3d938610036de6dafbfac6ada02fd068a288c9b5718f,f9c774ecb38a75163cbab38331adff3819a6a8536c7a6e46340cd493dfeec978,ba46b6b6d9d4a5e1b62c90dfc4a70e3a27a7628d8e5a622fb9addb0612ef5da5,3984f89228ed48a889c88c3ba7df2a524a1b7e3514b2216f9055f0c2de7e1876,d57b0b0b6864908c21341016a053d902cdc938f210032698c12ac0f084ac9dc5,d94b7e49be8c064f3e3cef32aec7376d29caa4c2f1a821cc119302bf1ae22f08,9ee6818d201a19513f8cf512c008a82dc74da45fda073dcce2bbb965edd42f64
"10","0","2","1","11","21","17"
"7","0","3","1","8","22","17"
"4","0","1","1","11","1","18"
"13","0","1","2","5","2","18"
"10","0","1","1","4","3","18"
"10","0","2","1","4","4","18"
"10","0","3","1","11","5","18"
"7","0","1","3","5","6","18"
"10","0","1","1","11","7","18"
"10","0","3","1","4","8","18"
"10","0","2","1","11","9","18"
"6","0","1","3","5","10","18"
"10","0","1","1","11","11","18"
"10","0","2","1","11","12","18"
"10","0","3","1","4","13","18"
"8","0","1","2","5","14","18"
"6","0","1","2","6","15","18"
"0","0","3","1","10","16","18"
"0","0","2","1","10","17","18"
"0","0","1","1","10","18","18"
"7","0","1","2","10","19","18"
"10","0","1","1","8","20","18"
"10","0","1","1","11","21","18"
"9","0","1","2","2","22","18"
"0","0","1","2","13","1","19"
"8","0","1","2","4","2","19"
"0","0","1","2","8","3","19"
"10","0","1","2","14","1","20"
"0","0","1","2","8","2","20"
"13","0","1","2","15","1","21"
"0","0","1","2","15","1","22"
"0","0","1","2","13","2","22"
"0","0","1","2","42","1","23"
"0","0","1","2","72","2","23"
"0","0","1","2","43","1","24"
"0","0","1","2","44","1","25"
"0","0","1","2","45","1","26"
"0","0","1","2","46","1","27"
"0","0","1","2","47","1","28"
"0","0","1","2","14","1","29"
"0","0","1","1","15","1","30"
"0","0","2","1","8","2","30"
"13","0","1","1","10","3","30"
"13","0","2","1","10","4","30"
"9","0","2","1","12","5","30"
"6","0","1","1","72","6","30"
"8","0","1","2","2","7","30"
"0","0","1","2","13","8","30"
"8","0","1","1","4","1","31"
"0","0","2","1","1","2","31"
"6","0","1","1","10","3","31"
"0","0","2","1","4","4","31"
"7","0","1","1","9","5","31"
"0","0","2","1","1","6","31"
"6","0","1","1","10","1","32"
"13","0","2","1","10","2","32"
"0","0","3","1","1","3","32"
"11","0","2","1","2","4","32"
"8","0","1","1","2","5","32"
"0","0","3","1","1","6","32"
"7","0","3","1","72","7","32"
"0","0","3","1","6","1","33"
"13","0","1","3","10","2","33"
"3","0","3","1","3","3","33"
"0","0","1","3","72","4","33"
"2","0","3","1","12","5","33"
"6","0","1","2","4","1","34"
"7","0","1","1","5","2","34"
"0","0","2","1","1","3","34"
"8","0","2","1","12","4","34"
"0","0","1","1","1","5","34"
"0","0","1","2","15","6","34"
"0","0","1","2","8","1","35"
"10","0","1","2","72","2","35"
"0","0","1","2","13","3","35"
"0","0","1","2","4","1","36"
"6","0","1","1","6","2","36"
"0","0","1","1","1","3","36"
"10","0","2","1","72","4","36"
"0","0","2","1","9","5","36"
"7","0","2","2","2","6","36"
"7","0","1","2","8","1","37"
"0","0","1","1","4","2","37"
"0","0","2","1","5","3","37"
"6","0","1","2","13","4","37"
"10","0","1","2","13","1","38"
"8","0","1","1","5","2","38"
"7","0","2","1","6","3","38"
"0","0","1","1","1","4","38"
"7","0","2","1","9","5","38"
"13","0","2","1","15","6","38"
"0","0","1","2","8","7","38"
"6","0","1","2","4","1","39"
"13","0","1","1","6","2","39"
"10","0","2","1","72","3","39"
"6","0","1","2","13","4","39"
