8783991218d405c63d6cfee0201fb42e10cdb98a4911881870cb757d3abe542d,90efa264d8b73146888271a76f679c42c80b76b884c5e8cf7bb401a042a0408b,a941a90a83dc7ee327412cda5e5408445d8416fae3c8046531a85d4483cb1e6e,383a23c1d40614fa48f8afb50746defcb9ed145cfe16f4a5c37d99b2a014312a,0dda461902622a59180df2ad6aef8b13f81531fdc7fd6ec2bce42392de41650e,b55f7ae61b353231a2eec809664cf54b0073289fc13d1c52249fe4c716c36692
"ソード","10010","1","1","「剣」の英語読み。","1001001"
"つるぎ","10010","2","1","もろ刃になっている剣。","1001002"
"はもの","10010","2","1","刃がついている道具や武器のこと。","1001003"
"プリンセスソード","10010","3","1","「ペコリーヌ」の専用装備。ペコリーヌに更なる力を与える、『王家の装備』の真なる姿。","1001004"
"めがね","10011","1","1","視力を補正するために、目の辺りに身に着ける道具。","1001100"
"レンズ","10011","2","1","眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。","1001101"
"ビンぞこめがね","10011","2","1","ビンの底のような厚いレンズの眼鏡。","1001102"
"ぐるぐるめがね","10011","2","1","変装に用いられたり、外すと美人だったりする眼鏡。","1001103"
"カリンのめがね","10011","3","1","ギルドハウスの管理人さん「カリン」がかけている眼鏡。","1001104"
"むしめがね","10012","1","1","小さいものを拡大して見るための道具。","1001200"
"レンズ","10012","1","1","虫眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。","1001201"
"ルーペ","10012","1","1","「虫眼鏡」のまた別の呼び方。","1001202"
"ズーム","10012","2","1","レンズを用いて、物を大きく見たり小さく見たりする操作。","1001203"
"たんていのひっすアイテム","10012","3","1","名探偵「カスミ」が愛用する探偵道具の一つ。","1001204"
"ディテクティブルーペ","10012","3","1","「カスミ」の専用装備。このルーペと、数々の事件を共にしてきた。","1001205"
"にく","10013","1","1","焼けばジュワっと肉汁あふれる、素敵な食材。","1001300"
"りょうり","10013","2","1","食材を加工して、食べるために味をつけたり整えたりしたも\nの。","1001301"
"ミート","10013","2","1","「肉」の英語読み。","1001302"
"ほねつきにく","10013","2","1","骨についたままの肉。また、その状態のまま料理したもの。骨についているだけでなんだか美味しそうに見える。","1001303"
"ドラゴンのにく","10013","3","1","こんなに立派な骨付き肉、もしかするとエルピス島に存在すると噂される「ドラゴン」のものなのかもしれない。","1001304"
"つき","10014","1","1","夜空に黄金に輝く美しい衛星。","1001400"
"まんげつ","10014","1","1","まん丸に輝いた状態の月。","1001401"
"ムーン","10014","2","1","「月」の英語読み。","1001402"
"ルナ","10014","2","1","「月」のラテン語読み。","1001403"
"めいげつ","10014","3","1","特に美しく見える月。","1001404"
"こうもり","10015","1","1","数少ない飛翔する哺乳類。血を吸うイメージだが、吸血種は極わずかしかいない。","1001500"
"バット","10015","1","1","「こうもり」の英語読み。","1001501"
"きゅうけつき","10015","2","1","民話や伝説に登場する種族。","1001502"
"イリヤのけんぞく","10015","3","1","幼女の頭を撫でたり抱きしめたりするだけの簡単なお仕事。","1001503"
"とり","10016","1","1","鳥類の総称。全身を羽毛に覆われ、翼で飛翔する。","1001600"
"まもの","10016","1","1","ランドソル全土に現れる怪物の総称。","1001601"
"バード","10016","2","1","「とり」の英語読み。","1001602"
"ジズ","10016","3","1","本に封じられていた鳥型の魔物。ハツネ・シオリ姉妹が退治した。","1001603"
"くつ","10017","1","1","足に履く物。小石やガムなどから足の裏を護る文明の極み。","1001700"
"ズック","10017","1","1","「くつ」のまた別の呼び方。最近あんまり言わなくない？","1001701"
"シューズ","10017","2","1","「くつ」の英語読み。行動速度が５くらい上がりそうな読み\n方。","1001702"
"かわぐつ","10017","2","1","おじさんから女子高生まで幅広く愛用されるおしゃれアイテ\nム。残念ながら煮ても食べられない。","1001703"
"ブーツ","10017","2","1","脚を覆う長い靴。特に編み上げの物はおしゃれ度において他の追随を許さない。","1001704"
"ねこ","10018","1","1","ネコ科の哺乳類。人間と馴染みの深い動物で、そのかわいさの前に人間はただただ無力。","1001800"
"キャット","10018","1","1","「ねこ」の英語読み。","1001801"
"とらねこ","10018","2","1","虎のようなしま模様のねこ。タビーとも呼ばれる。","1001802"
"にゃんこ","10018","2","1","猫を指す幼児語。意外と大人も言う。","1001803"
"タマキのおともだち","10018","3","1","猫たちのこと。タマキがご飯を与えているが、出費が馬鹿にならないらしい。","1001804"
"きんぎょ","10019","1","1","観賞用の赤く小さな魚類。縁日ですくわずにはいられないニクいやつ。","1001900"
"おさかな","10019","1","1","魚類の一般的な呼び方。食べると頭がよくなるという噂。","1001901"
"さかな","10019","1","1","魚類の一般的な呼び方。年をとると肉より食べたくなるといわれている。","1001902"
"らんちゅう","10019","2","1","金魚の一種。ずんぐりとした体型で顔がこぶ状に隆起しているのが特徴。","1001903"
"ねずみ","10020","1","1","げっ歯類の一種。","1002000"
"マウス","10020","1","1","「ねずみ」の英語読み。かわいくて愛される方は大体マウス。","1002001"
"ちゅーちゅー","10020","2","1","ねずみの鳴き声、あるいは愛称。","1002002"
"ラット","10020","2","1","「ねずみ」の英語読み。科学実験に用いられる方は大体ラッ\nト。","1002003"
"たまご","10021","1","1","鳥などの雌が産む殻に包まれた球状の物体。","1002100"
"エッグ","10021","2","1","「たまご」の英語読み。","1002101"
"こども","10021","2","1","幼い生き物。基本小さくてかわいい。","1002102"
"とりのす","10021","2","1","鳥のすみかで、ここで産卵を行ったりする。","1002103"
"ふね","10022","1","1","人や物を載せて水上を進む乗り物。","1002200"
"クルージング","10022","2","1","大型の船で航海すること。","1002201"
"はんせん","10022","2","1","帆を張って風力で進む船。","1002202"
"シップ","10022","2","1","「ふね」の英語読み。","1002203"
"ぎゅうにゅう","10023","1","1","牛がだす乳汁。そのまま飲むのはもちろん、チーズやバターなどに加工できる優れもの。","1002300"
"ミルク","10023","1","1","「ぎゅうにゅう」の英語読み。","1002301"
"おちち","10023","2","1","「ぎゅうにゅう」のまた別の呼び方。口に出すのはちょっと恥ずかしい。","1002302"
"エリザベス","10023","3","1","エリザベスパークにいる牛の名前にしてマヒルのパートナー。","1002303"
"チョコレート","10024","1","1","カカオを加工したお菓子。２月14日に大量消費される。","1002400"
"おかし","10024","1","1","通常の食事以外で食す嗜好品。","1002401"
"あまいもの","10024","2","1","甘い味のするもの。疲れた時にほしくなる。","1002402"
"カカオ","10024","2","1","チョコレートの原料。含有量が多いほどビターな味わいにな\nる。","1002403"
"ドラちゃんのこうぶつ","10024","3","1","味をしめたらしい。","1002404"
"どんぐり","10025","1","1","硬い木の実。人が食すにはあまり適さないが、子どもの収集欲を刺激する魅惑の木の実。","1002500"
"きのみ","10025","1","1","木になる実。","1002501"
"ナッツ","10025","2","1","硬い殻に包まれた食用の実。お菓子に入れたり酒のつまみにと色々重宝する。","1002502"
"リンのおやつ","10025","3","1","アンパンほどではないが、好きらしい。バトルのときは敵にぶつけてスタンさせる。","1002503"
"いちご","10026","1","1","小さく甘酸っぱい果物。種と思われる粒々は実は果実。","1002600"
"ストロベリー","10026","1","1","「いちご」の英語読み。","1002601"
"ジャム","10026","2","1","果物を加工した食品。パンやクラッカーに塗ったり、紅茶に入れたりする。","1002602"
"とら","10027","1","1","大型のネコ科の猛獣。肉食。酔っぱらいを指す言葉としても使われる。","1002700"
"タイガー","10027","1","1","「とら」の英語読み。","1002701"
"ねこ","10027","2","1","ネコ科の哺乳類。人間となじみの深い動物で、そのかわいさの前に人間はただただ無力。","1002702"
"けもの","10027","2","1","全身を毛におおわれ、四足で歩く哺乳類。","1002703"
"マツリのあこがれ","10027","3","1","トラタイガー！","1002704"
"むてきヒーロートラタイガー","10027","3","1","マツリが憧れる正義のヒーロー。名前にツッコんではいけな\nい。","1002705"
"ぬいぐるみ","10028","1","1","布を縫合し綿などを詰めて人や動物を似せて形作ったもの。","1002800"
"うさぎ","10028","1","1","長い耳と短い尻尾がかわいい哺乳類。ペットとしても人気が高い。","1002801"
"にんぎょう","10028","1","1","人や生き物を模ったもの。材質も様々で、玩具や観賞用、祭礼と用途は様々。","1002802"
"ラビット","10028","2","1","「うさぎ」の英語読み。","1002803"
"アーサー","10028","3","1","マホのぬいぐるみの一体。名称はアーサー王と円卓の騎士がモチーフ。","1002804"
"ばくだん","10029","1","1","爆発による熱と衝撃で対象を破壊、殺傷する兵器。超危ない。","1002900"
"ボム","10029","1","1","「ばくだん」の英語読み。","1002901"
"きけんぶつ","10029","2","1","生物や環境に危険を及ぼす可能性のある物質。取り扱いには資格が必要になることもある。","1002902"
"とびどうぐ","10029","2","1","遠くから飛ばして攻撃するタイプの武器のこと。反則的な発想やアイデアという意味で使われることもある。","1002903"
"ミソギのいたずらグッズ","10029","3","1","一度ちゃんと怒られた方がいい。","1002904"
"すいか","10030","1","1","ウリ科の大きな果実。緑のしま模様の皮、赤い果肉と黒い種が印象的。","1003000"
"こだますいか","10030","2","1","小ぶりのスイカ。小玉といえどまあまあデカい。","1003001"
"なつのふうぶつし","10030","2","1","夏の感じを表す物事。スイカの他に海や花火など。","1003002"
"うま","10031","1","1","ウマ科の大型の哺乳類。力が強く速く走れるため、家畜や競走馬としてなじみ深い。","1003100"
"ろば","10031","1","1","ウマ科の哺乳類。馬に比べて小型だが力が強く労働力として重宝される。","1003101"
"ホース","10031","2","1","「うま」の英語読み。","1003102"
"ぱかぱか","10031","2","1","馬が歩く時のひづめの音。","1003103"
"サラブレッド","10031","2","1","馬の種類で競走用に品種改良されたもの。","1003104"
"ムーバ","10031","3","1","クランバトルに登場する馬型の魔物。","1003105"
"いす","10032","1","1","腰かけるための家具。役職、地位を示す意味もある。","1003200"
"かぐ","10032","2","1","室内に配置して日常的に使用する道具の総称。","1003201"
"チェア","10032","2","1","「いす」の英語読み。","1003202"
"ギルドハウスアイテム","10032","3","1","ギルドハウスに置く家具や装飾品。豪華なデザインからユニークなものまで、そのバリエーションは非常に豊か。","1003203"
"うみ","10033","1","1","陸地以外の凹所にひとつづきに水がたたえている場所。","1003300"
"かいがん","10033","1","1","陸地が海と接する部分。","1003301"
"ビーチ","10033","1","1","海辺。海水浴場として用いられることもある。ここでものを食べるとなんだかとても美味い。","1003302"
"しおさい","10033","2","1","寄せてくる波が立てる音。貝殻に耳を当ててもそれっぽい音が聞こえる。","1003303"
"すなはま","10033","2","1","砂ばかりの浜辺。城を建てたり埋まってみたりと楽しみ方は無限大。","1003304"
"マルジェンかいがん","10033","3","1","ランドソルから徒歩で行ける人気のビーチだが、よく魔物が現れるので意外と物騒。","1003305"
"やどかり","10034","1","1","貝殻を背負って生活する甲殻類。","1003400"
"かいがら","10034","2","1","貝類の外側を覆う殻。砂浜に落ちているとつい集めたくなる。","1003401"
"こうかくるい","10034","2","1","硬い外骨格を持つ節足動物。エビ、カニはもちろんミジンコもこれにあたる。","1003402"
"ハーミットナイト","10034","3","1","ランドソルのいたる所に現れる魔物。鎧のような見た目の通り硬くて厄介な敵。","1003403"
"ふえ","10035","1","1","一般的に木管楽器を指す言葉。縦笛と横笛に分けられる。","1003500"
"リコーダー","10035","1","1","木管楽器の一種。チャンバラごっこに使ってはいけない。","1003501"
"かんがっき","10035","2","1","楽器の分類のうちのひとつ。息を吹き込み管内の空気を振動させ音を出す。","1003502"
"たてぶえ","10035","2","1","縦に構えて吹く笛。リコーダーやクラリネットなど。","1003503"
"ほん","10036","1","1","紙の束に文字や図画を印刷し製本したもの。","1003600"
"ノート","10036","1","1","文字や絵を書き記すための文房具。","1003601"
"しょうせつ","10036","2","1","創作の物語。恋愛、歴史、ミステリーなどジャンルは多岐にわたる。","1003602"
"ブック","10036","2","1","「ほん」の英語読み。","1003603"
"キャルのまどうしょ","10036","3","1","本なの？　それとも杖なの？","1003604"
"さかな","10037","1","1","魚類の一般的な呼び方。食べると頭がよくなるという噂。","1003700"
"おさかな","10037","1","1","魚類の一般的な呼び方。年をとると肉より食べたくなるといわれている。","1003701"
"かつお","10037","2","1","魚の一種。刺身が美味い。かつおぶしなどの加工品でもおなじみ。","1003702"
"まぐろ","10037","2","1","魚の一種。でかくて美味い高級魚。寿司といえばこれ。","1003703"
"フィッシュ","10037","2","1","「さかな」の英語読み。","1003704"
"うお","10037","2","1","「さかな」のまた別の呼び方。","1003705"
"ツリー","10038","1","1","樹木のこと。","1003800"
"クリスマス","10038","1","1","いつから、どうしてなのかは不明だがサンタクロースがプレゼントをくれる日。","1003801"
"もみのき","10038","2","1","クリスマスツリーに用いられる針葉樹。大きいものは40ｍにもなる。","1003802"
"キャロル","10038","2","1","クリスマスに歌われる祝歌。","1003803"
"ぼうきゃくのキャロル","10038","3","1","チカとサレンディア救護院に起きた、聖なる夜の奇跡の物語。","1003804"
"あめ","10039","1","1","砂糖などを煮詰め固めた菓子。","1003900"
"キャンディ","10039","1","1","「あめ」の英語読み。","1003901"
"ロリポップ","10039","2","1","棒つきの飴。","1003902"
"クロエのおやつ","10039","3","1","持ってるだけで絵になる。","1003903"
"ハンマー","10040","1","1","頭が金属でできた鈍器。叩かれるととても痛い。","1004000"
"ピコピコハンマー","10040","1","1","頭がやわらかいじゃばらでできたおもちゃ。叩かれるとコミカルな音が鳴る。","1004001"
"かなづち","10040","2","1","頭が金属でできた鈍器。叩かれるととても痛い。","1004002"
"こづち","10040","2","1","小さな槌。振ることによりいろんなものがでてくるとかこないとか。","1004003"
"イノリのえもの","10040","3","1","イノリの得物。かわいらしい動作から繰り広げられる攻撃は凶悪。","1004004"
"ほし","10041","1","1","夜空に光る天体。","1004100"
"ごかくけい","10041","1","1","５つの頂点と辺を持つ多角形。","1004101"
"スター","10041","1","1","「ほし」の英語読み。","1004102"
"ずけい","10041","2","1","面や点、線、立体、またはそれらの集まり。","1004103"
"ひとで","10041","2","1","星形の海洋生物。食用には適さない。","1004104"
"きらきら","10041","2","1","光る様子の表現の一つ。","1004105"
"ランドソルのかたち","10041","3","1","空から見ないと分からない。","1004106"
"ぼうし","10042","1","1","頭にかぶる装身具。","1004200"
"ハット","10042","1","1","「ぼうし」の英語読み。","1004201"
"やまたかぼう","10042","2","1","「ぼうし」の種類の一部。","1004202"
"シルクハット","10042","2","1","「ぼうし」の種類の一部。","1004203"
"カップ","10043","1","1","飲み物などを入れる容器。","1004300"
"コーヒー","10043","1","1","苦い飲み物。大人の味。","1004301"
"マグ","10043","2","1","「コップ」の種類の一部。","1004302"
"いぬ","10044","1","1","ワンワン吠える動物。","1004400"
"ドッグ","10044","1","1","「いぬ」の英語読み。","1004401"
"おおかみ","10044","2","1","「いぬ」の仲間。野生の力だ。","1004402"
"ウルフ","10044","2","1","「いぬ」の仲間。ワイルドの力だ。","1004403"
"わんこ","10044","2","1","「いぬ」のまた別の呼び方。","1004404"
"はた","10045","1","1","ひらひらした布。","1004500"
"フラッグ","10045","1","1","「はた」の英語読み。","1004501"
"ケーキ","10046","1","1","素敵なおかし。甘くて美味しい。","1004600"
"おかし","10046","1","1","素敵な食べ物。","1004601"
"ぎふと","10046","2","1","贈り物に最適。","1004602"
"きずなポイント","10046","3","1","絆の深さは共に過ごす時間だけではない。カロリーもまた絆の証…","1004603"
"ミックスベリーケーキ","10046","3","1","みんな大好き。何がとは言わないが30Pt加算される。","1004604"
"マイク","10047","1","1","音を信号に変換する装置。","1004700"
"うた","10047","1","1","マイクは歌の必需品！","1004701"
"ライブ","10047","1","1","ステージでの生演奏。","1004702"
"アイドルのひっすアイテム","10047","2","1","これがなくちゃはじまらない。","1004703"
"ブリリアントマイク","10047","3","1","「ノゾミ」の専用装備。カルミナマーク入り！","1004704"
"くちべに","10048","1","1","口元を引き立たせる化粧品。","1004800"
"リップ","10048","1","1","「くちべに」の英語読み。","1004801"
"ルージュ","10048","2","1","「くちべに」のまた別の呼び方。本来は赤の意味。","1004802"
"もち","10049","1","1","穀物を蒸してついた。縁起物でもある。","1004900"
"おもち","10049","1","1","「もち」のまた別の呼び方。","1004901"
"かがみもち","10049","2","1","正月に神仏に供える、大小ふたつ重ねの餅。","1004902"
"たんすいかぶつ","10049","2","1","もちの主な栄養素。とりすぎに注意。","1004903"
"ライスケーキ","10049","2","1","「もち」の英語読み。","1004904"
"ようせい","10050","1","1","小さくて羽の生えた種族。","1005000"
"フェアリー","10050","2","1","「ようせい」の英語読み。","1005001"
"ネビア","10050","3","1","ギルドハウスに住んでいるいたずら妖精。","1005002"
"かさ","10051","1","1","雨や日差しを避ける道具。","1005100"
"アンブレラ","10051","1","1","主に雨を避けるためのかさ。","1005101"
"パラソル","10051","2","1","主に日差しを避けるためのかさ。","1005102"
"ひがさ","10051","2","1","主に日差しを避けるためのかさ。","1005103"
"ペコリーヌサマー","10051","3","1","真夏のビーチプリンセスの必需品！","1005104"
"さいころ","10052","1","1","乱数を発生させるための道具。","1005200"
"ダイス","10052","1","1","「さいころ」の英語読み。","1005201"
"ギャンブル","10052","2","1","賭け事。さいころの目で一喜一憂。","1005202"
"りっぽうたい","10052","2","1","一般的なさいころの形。","1005203"
"すごろく","10052","2","1","サイコロを使ったボードゲーム。","1005204"
"てがみ","10053","1","1","言葉では伝えられない思いを文字にして。","1005300"
"レター","10053","2","1","「てがみ」の英語読み。","1005301"
"メール","10053","2","1","「てがみ」の英語読み。","1005302"
"おたより","10053","2","1","「てがみ」のまた別の呼び方。","1005303"
"ラブレター","10053","2","1","愛を伝えるための手紙。","1005304"
"ブドウ","10054","1","1","房になる。となりのものは酸っぱいらしい。","1005400"
"グレープ","10054","1","1","「ぶどう」の英語読み。","1005401"
"きょほう","10054","2","1","「ぶどう」の種類の一部。","1005402"
"デラウェア","10054","2","1","「ぶどう」の種類の一部。たねがない。","1005403"
"ひつじ","10055","1","1","もこもこの毛の動物。","1005500"
"シープ","10055","2","1","「ひつじ」の英語読み。","1005501"
"メリーさんのひつじ","10055","2","1","かわいいな～♪","1005502"
"とうふ","10056","1","1","豆からつくられるトーゴク料理。","1005600"
"もめんどうふ","10056","2","1","「とうふ」の種類の一部。ワイルドなくちあたり。","1005601"
"きぬごしどうふ","10056","2","1","「とうふ」の種類の一部。繊細なくちあたり。","1005602"
"ひややっこ","10056","2","1","代表的なとうふ料理。","1005603"
"あひる","10057","1","1","飛べない鳥。がーがーなく。","1005700"
"がちょう","10057","1","1","飛べない鳥。ぐわぐわなく。","1005701"
"グース","10057","2","1","「がちょう」の英語読み。","1005702"
"ダック","10057","2","1","「あひる」の英語読み。","1005703"
"とり","10057","2","1","飛べる鳥もいる。飛べない鳥もいる。","1005704"
"とんぼ","10058","1","1","空を飛ぶ昆虫。","1005800"
"やんま","10058","2","1","「とんぼ」の種類の一部。","1005801"
"オニヤンマ","10058","2","1","「とんぼ」の種類の一部。大きい。","1005802"
"ドラゴンフライ","10058","2","1","「とんぼ」の英語読み。強そう。","1005803"
"はっぱ","10059","1","1","葉。","1005900"
"このは","10059","1","1","木のはっぱ。","1005901"
"リーフ","10059","2","1","「葉っぱ」の英語読み。","1005902"
"くさ","10059","2","1","樹木にならない植物。雑草。","1005903"
"アオイのともだち","10059","3","1","アオイが気兼ねなく話せる数少ないともだち。ともだちです。","1005904"
"ゆびわ","10060","1","1","指につける装身具。","1006000"
"リング","10060","1","1","「ゆびわ」の英語読み。輪。","1006001"
"わっか","10060","1","1","まーるい輪。","1006002"
"なわ","10061","1","1","麻などで編まれた頑丈なひも。いろいろなものを縛ったりす\nる。","1006100"
"ロープ","10061","1","1","「なわ」の英語読み。","1006101"
"ひも","10061","1","1","細いなわ。","1006102"
"つな","10061","1","1","「ロープ」のまた別の呼び方。","1006103"
"クウカのまるひアイテム","10061","3","1","ぐふふふふ。","1006104"
"エクスタシー","10061","3","1","クウカは、クウカはぁ～！","1006105"
"たて","10062","1","1","攻撃を防ぐための板状の防具。","1006200"
"シールド","10062","1","1","「たて」の英語読み。","1006201"
"ガード","10062","2","1","何かを防ぐものの総称。","1006202"
"ぼうぐ","10062","2","1","身を守る装具。","1006203"
"バックラー","10062","2","1","攻撃を受けるのではなく逸らすための盾。","1006204"
"インフェルノシールド","10062","3","1","ジュンのユニオンバースト。あらゆる攻撃を受け止める！","1006205"
"おかね","10063","1","1","貨幣。食べ物ではない。","1006300"
"かね","10063","1","1","「おかね」のまた別の呼び方。食べ物ではない。","1006301"
"マネー","10063","2","1","「おかね」の英語読み。食べ物ではない。","1006302"
"こぜに","10063","2","1","少額の貨幣。食べ物ではない。","1006303"
"きんか","10063","2","1","金でできた貨幣。食べ物ではない。","1006304"
"ルピ","10063","3","1","ランドソルで使われる通貨単位。食べ物ではない。","1006305"
"ギルドハウスかぐこうにゅう","10063","3","1","ルピの主な使い道。食べ物も、ある。","1006306"
"プリンアラモード","10064","1","1","全てのおやつを総べるおやつのなかのおやつなの。","1006400"
"デザート","10064","1","1","食後に食べるの。プリンが最適なの。","1006401"
"スイーツ","10064","2","1","甘い物なの。つまりプリンなの。","1006402"
"ミヤコのおやつ","10064","3","1","全てのプリンはミヤコのものなの。","1006403"
"ネックレス","10065","1","1","首元を彩るアクセサリー。","1006500"
"ペンダント","10065","1","1","首から下げるアクセサリー。","1006501"
"アクセサリー","10065","2","1","装身具。オシャレするならマストアイテム。","1006502"
"くびかざり","10065","2","1","「ネックレス」のまた別の呼び方。","1006503"
"いなほ","10066","1","1","稲の穂。お米がとれる。","1006600"
"たんぼ","10066","2","1","稲作用の耕作地。水を張るなど管理が大変。","1006601"
"こめ","10066","2","1","稲を精製した穀物。ごはん！","1006602"
"おこめ","10066","2","1","「こめ」のまた別の呼び方。","1006603"
"むぎ","10066","2","1","パンのもとになる穀物。","1006604"
"しょうゆ","10067","1","1","豆からつくるトーゴク独自のソース。","1006700"
"ソイソース","10067","2","1","「しょうゆ」の英語読み。お豆のソース。","1006701"
"ちょうみりょう","10067","2","1","味付けに使う。","1006702"
"ベルトコンベア","10068","1","1","流れ作業を行うための機械。","1006800"
"こうじょう","10068","2","1","製品の大量生産を行う施設。","1006801"
"ファクトリー","10068","2","1","「こうじょう」の英語読み。","1006802"
"たいやきこうじょう","10068","3","1","【メルクリウス財団】の威信をかけた一大事業。あの時爆発さえしなければ…","1006803"
"シャンデリア","10069","1","1","きらびやかで豪華な照明器具。","1006900"
"あかり","10069","2","1","暗闇を照らす光。","1006901"
"しお","10070","1","1","しょっぱい。","1007000"
"ソルト","10070","2","1","「しお」の英語読み。","1007001"
"ちょうみりょう","10070","2","1","味付けに使う。","1007002"
"うずしお","10071","1","1","激しく渦を巻く潮の流れ。","1007100"
"ぐるぐる","10071","2","1","目で追うとフラフラしてくる。","1007101"
"つりざお","10072","1","1","魚をとるための道具。うまく扱うにはコツが必要。","1007200"
"ロッド","10072","2","1","「つりざお」の英語読み。","1007201"
"ルカのしゅみごと","10072","3","1","腕前はプロ級らしい。","1007202"
"なべ","10073","1","1","食べ物などを煮るための調理器具。","1007300"
"おなべ","10073","1","1","「なべ」のまた別の呼び方。","1007301"
"ずんどう","10073","2","1","「なべ」の一種。大きい。","1007302"
"カレー","10073","2","1","みんな大好き。においを嗅いだ瞬間にもう食べたくなるスパイスの魔術。","1007303"
"シチュー","10073","2","1","肉や野菜を入れた煮込み料理。これをおかずにご飯が食べられるかで議論が起こる。","1007304"
"シーソー","10074","1","1","両端に乗ってギッタンバッコン。","1007400"
"ゆうぐ","10074","2","1","公園においてある遊び道具。","1007401"
"ぎったんばっこん","10074","2","1","シーソーの音。","1007402"
"こうえんあそび","10074","2","1","公園に集合ね！","1007403"
"ふで","10075","1","1","絵や字を書くどうぐ。","1007500"
"しょどう","10075","2","1","トーゴクの文化デース！","1007501"
"もうひつ","10075","2","1","「ふで」のまた別の呼び方。","1007502"
"おしゅうじ","10075","2","1","習い事の定番。","1007503"
"すずり","10075","2","1","墨をする道具。","1007504"
"とーごくぶんか","10075","3","1","ランドソルから遙か東の方にあるという国の文化。ニンジャ、サムライ、フジヤマ、ゲイシャなどがある。ニノンの憧れ。","1007505"
"きんトレ","10076","1","1","主にパワーをアップさせるためのトレーニング。","1007600"
"ダンベル","10076","1","1","トレーニング器具。","1007601"
"マッスル","10076","2","1","筋肉！","1007602"
"ウェイトトレーニング","10076","2","1","重い物をもちあげるトレーニング。","1007603"
"おばけ","10077","1","1","おばけなの。プリンをよこすの。","1007700"
"ゆうれい","10077","1","1","ゆうれいなの。プリンをよこすの。","1007701"
"ミヤコ","10077","3","1","ミヤコなの！　プリンをよこすの。","1007702"
