11d376274cc1a9dc4d13fe3ae36db41f36c5251f8273a080a9f508d367df2073,d3d85f435dda77c4f1c732da6b20a435440fdf7071547335a18f678c1ac15aaa,cfc439718997deba437faf2707bf7fdadab94272946ada56fde9b57aa07364b5,af2697a15682a884dcff7b32b151b735043fbcccbeb522a2cc0c95aeea024d0e,d1a5de84812c2a5d5611310c3ac2baa4fdfccc788f5a78fb5e37e31d9df8ae89,c3bf637fcfab0090cabdd794fed5d95da1027ff3b5374915601429e8dd622f1b,4b176205fb95ca492bb1bcb537ae8ba6d5f047eb09402b0af9769ed810e40ff9,2230eaec5d03466b910787cebb66f662f7330fd1d5bdd942e3c80c235ee2147d,cb02d2c503accd922912929dd6f949220d305fba1f01dcf73559cccb3217419a,b5c49498b4a6b2abb44e10f5c4fc1f92a730e07ada8c6eeee361a5058d7ffb3e,58e8fe3324d5c5379c895e746c9a549e34ee2e48e082a208ff9615c36668b4d6,2406bb49a858c7962d8ba476e502a8eb55c47062e41e0ddf9023474006a4f35b
"ハンバーグと、カレーと、\nシチューと、あ、隠しきれない隠し\n味は、お姉ちゃんの愛情だよ！","77","0","13","シズル","80001","0","0","0","","2","104901"
"お兄ちゃんと再会して、もう1年\nなんですね。\n会えなかった時を思うと、","78","0","13","リノ","80001","1","0","0","","1","101101"
"信じられないくらい幸せな1年\nでした！もう絶対、私から離れ\nないでくださいね♪","79","0","13","リノ","80001","1","0","0","","2","101101"
"騎士クンと出会ってから今まで、\nいろんなことがあったよね\n楽しいこと、ドキドキしたこと…","80","0","14","ユイ","80001","0","0","0","","1","100201"
"そんな日々をこれからも、\nず、ずっと一緒に…\n過ごしていきたいな…！","81","0","14","ユイ","80001","0","0","0","","2","100201"
"騎士くんと出会って、まだ1年しか\nたってないんだ！？","82","0","14","ヒヨリ","80001","1","0","0","","1","100101"
"なんかもうずっと一緒にいる気が\nするなぁ…えへへ。これからの\n1年もまたよろしくねっ！\n騎士くん！","83","0","14","ヒヨリ","80001","1","0","0","","2","100101"
"初めてキミに出会って1年…\n随分見違えたね私もキミも、\n更に強くなっていく…","84","0","14","レイ","80001","2","0","0","","1","100301"
"キミに背中を預けられる日が、\n早くきますように","85","0","14","レイ","80001","2","0","0","","2","100301"
"1年もわたしのことを、忘れない\nでいてくれて、ありがとうござい\nます！","86","0","15","ペコリーヌ","80001","0","0","0","","1","105801"
"これからもずっと、覚えていて\nくださいね！","87","0","15","ペコリーヌ","80001","0","0","0","","2","105801"
"こうして1年も、主さまのおそばに\n置いていただけて、とても光栄\nです。どうかこれからも、","88","0","15","コッコロ","80001","1","0","0","","1","105901"
"末永く主さまをお世話させて\nください。わたくしは、ずっと\n主さまのガイド役でいたいのです","89","0","15","コッコロ","80001","1","0","0","","2","105901"
"1年か、まっさかこんなに長い\n付き合いになるなんてね～\nでも…わりと楽しい1年だったかも","90","0","15","キャル","80001","2","0","0","","1","106001"
"だから、もうしばらくあんたに\n付き合ってやるわよ喜びなさい！","91","0","15","キャル","80001","2","0","0","","2","106001"
"新しい年のはじめに、\nおみくじはいかがでしょうか？\nよい運勢であるほど、\n沢山プレゼントが貰えますよ♪","92","1","0","スズメ","60001","1","0","0","","1","112101"
"今日の運勢は姫吉！　あらゆる運気が最大を示しています！　　　今なら「伝説の吸血鬼」をも従え、世界征服も夢じゃありません！","93","1","0","","60001","2","1","0","","0","0"
"今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！","94","1","0","","60001","2","1","0","","0","0"
"今日の運勢は姫吉！　最強の運勢でどんなドジも跳ね除けます！　大切な人と一緒に、最高の一日になること間違いなし！","95","1","0","","60001","2","1","0","","0","0"
"今日の運勢は姫吉！　どんな挑戦も上手くいく、最高の運勢です！理想の自分に変身できる絶好の機会！　新しい一歩を踏み出そう！","96","1","0","","60001","2","1","0","","0","0"
"今日の運勢は姫吉！　その高い運気はまさにショーグンの如く！　その溢れる威光は人々を惹きつけ、皆の人気者間違いなしです！","97","2","0","","60001","2","1","0","","0","0"
"今日の運勢は大吉！　運気がどんどん高まっています！　　　　　何をやっても、最大効率で素晴らしい結果になりますよ♪","98","1","0","","60001","2","2","0","","0","0"
"今日の運勢は大吉！　なにをやっても上手くいって大活躍！　　　そんな素敵なあなたを見て、後ろから誰かが……クスクス♪","99","1","0","","60001","2","2","0","","0","0"
"今日の運勢は大吉！　ラッキーワードは「ちぇる～ん♪」　　　　出会う人みんなに言ってあげると、ハッピーになれますよ！","100","1","0","","60001","2","2","0","","0","0"
"今日の運勢は大吉！　運勢はバッチリで無敵状態！　　　　　　　龍眼で全てを見通して、思い通りの一日を過ごしましょう！","101","1","0","","60001","2","2","0","","0","0"
"今日の運勢は大吉！　運気が高く、何かに挑戦すると良い結果に！隠れた才能が引き出されそう！　目指せヒデサ……ではなく秀才！","102","2","0","","60001","2","2","0","","0","0"
"今日の運勢は中吉！　商売運が上がってきています！　　　　　　ラッキーアイテムはたいやき！　和菓子パワーで売上アップです！","103","1","0","","60001","2","3","0","","0","0"
"今日の運勢は中吉！　旅行運がぐんぐんと上昇中♪　　　　　　　もしかしたら、あの「マホマホ王国」にだって行けるかも♪","104","1","0","","60001","2","3","0","","0","0"
"今日の運勢は中吉！　仕事運が急上昇中です！　　　　　　　　　きっと「煉獄に舞う一陣の疾風」の如き活躍ができますよ！","105","1","0","","60001","2","3","0","","0","0"
"今日の運勢は中吉！　チャンスを待つと良い結果に！　　　　　　ラッキーアイテムのプリンを食べて、運を呼び込みましょう！","106","1","0","","60001","2","3","0","","0","0"
"今日の運勢は中吉！　お出かけした先で良縁に恵まれそうです！　ダウナー系あざとい女子が、あま～い飴をくれるかも？","107","1","0","","60001","2","3","0","","0","0"
"今日の運勢は中吉！　大抵のことはゴリ押しでなんとかできます！ラッキープレイスはゲーセン。パンチングマシンでストレス発散！","108","1","0","","60001","2","3","0","","0","0"
"今日の運勢は中吉！　運気が着々と上昇中！　　　　　　　　　　精霊の加護を受けたかの如く、色々な事がうまくいきますよ♪","109","2","0","","60001","2","3","0","","0","0"
"今日の運勢は小吉！　早朝に幸運の兆しあり！　　　　　　　　　もしかしたら、優しいお姉ちゃんが起こしにきてくれますよ♪","110","1","0","","60001","2","4","0","","0","0"
"今日の運勢は小吉！　運気上昇中ですが、上がるまでが要注意！　ラッキーアニマルは熊！　本当の家族のように守ってくれるかも♪","111","1","0","","60001","2","4","0","","0","0"
"今日の運勢は小吉！　外に出てゆっくり過ごすと運気が上昇！　　ラッキースポットは牧場。面白い出会いがありそうです♪","112","1","0","","60001","2","4","0","","0","0"
"今日の運勢は小吉！　運気は高いけども、ハプニングには注意！　出かけた先で、「ふしんしゃ」扱いされてしまうかも……","113","1","0","","60001","2","4","0","","0","0"
"今日の運勢は小吉！　同腹一心の友だちが見つかるかも！　　　　キーワードは「ユニちゃんズ」、記憶に刻みましょう！","114","1","0","","60001","2","4","0","","0","0"
"今日の運勢は小吉！　思わぬ相手と仲良くなれるかも？　　　　　うっかり毒舌をもらしてしまわないように要注意です！","115","1","0","","60001","2","4","0","","0","0"
"今日の運勢は小吉！　根を詰めずにリラックスすると運気向上！　ラッキーパーソンはアイドル。歌があなたを幸せにしてくれます♪","116","2","0","","60001","2","4","0","","0","0"
"おみくじの結果はいかがでしたか？\n新たに始まる一日が、\nあなたにとってよい日になりますように\n明日もお待ちしていますね♪","117","0","0","スズメ","60001","3","0","0","","2","112101"
"おみくじ、楽しんで頂けましたか？\nあなたの新しい年が\n素晴らしいものになるよう、\n心からお祈りしますね","118","0","7","スズメ","60001","3","0","0","","3","112101"
"ヒューヒュー♪\nドンドンパフパフー♪","119","0","1","ペコリーヌ","80003","0","0","0","","1","105801"
"ひゅーひゅー\nどんどんぱふぱふー\nでございます","120","0","1","コッコロ","80003","1","0","0","","1","105901"
"さぁ、キャルさまもご一緒に\nどんどんぱふぱふいたしましょう","121","0","1","コッコロ","80003","1","0","0","","2","105901"
"え？　ちょっと\nいきなりなにっ？","122","0","1","キャル","80003","2","0","0","","1","106001"
"ドンドンパフパフってなんなの？\nあたしにも分かるように\nちゃんと説明しなさいっての！","123","0","1","キャル","80003","2","0","0","","2","106001"
"実はですねキャルちゃん！\nもうすぐわたしたちにとっての\n大切な節目──","124","0","1","ペコリーヌ","80003","0","0","0","","2","105801"
"『プリンセスコネクト！\nRe:Dive』\n2.5周年なんですよ！\nやばいですね☆","125","0","1","ペコリーヌ","80003","0","0","0","","3","105801"
"ですからその日に向けて\n今から気分を盛り上げているのです","126","0","1","コッコロ","80003","1","0","0","","3","105901"
"ああ、そういえば\nそんな時期だっけ\nって言っても、もう少し先じゃない\n気が早いんじゃないの？","127","0","1","キャル","80003","2","0","0","","3","106001"
"いいえ、キャルさま\nこういったお祝いは準備から\n楽しむものでございます\nそうですよね、ペコリーヌさま","128","0","1","コッコロ","80003","1","0","0","","4","105901"
"その通りです♪　というわけで！\nカウントダウンの始まりですよ！\nみんなで一緒に2.5周年に向けて\n盛り上がっていきましょー☆","129","0","1","ペコリーヌ","80003","0","0","0","","4","105801"
"ド、ドンドンパフパフ～\nって何言わせんのよ！\nまったくもう、浮かれちゃってさ","130","0","1","キャル","80003","2","0","0","","4","106001"
"ふふ。キャルさまもワクワクして\nおいでのようですね\nそれでは主さま。大切な記念日まで\nどうぞご期待くださいませ","131","0","1","コッコロ","80003","1","0","0","","5","105901"
"記念日を盛り上げるったって\n一体どうしたらいいのよ？\nあたし、そういうの\n苦手なんだけど…","132","0","2","キャル","80003","0","0","0","","5","106001"
"あら、キャルさん\nどうかなさいましたか？\n何かお困りのようですけど","133","0","2","カリン","80003","1","0","0","","1","190801"
"げっ…カリンじゃない\nなんでもないわよ！","134","0","2","キャル","80003","0","0","0","","6","106001"
"そうなのですか？\nキャルさんのことですからてっきり\n2.5周年をどう盛り上げたら\nいいか悩んでいるのかと…","135","0","2","カリン","80003","1","0","0","","2","190801"
"分かってんじゃないのよ！？\nいっ、いや、違うけどね！\nあたしは別にそんなことで\n悩んでないわよっ？","136","0","2","キャル","80003","0","0","0","","7","106001"
"ふふっ…\nこういう時は、真心を込めて\n気持ちをそのまま口にしたら\nいいのではないでしょうか？","137","0","2","カリン","80003","1","0","0","","3","190801"
"気持ちを、ねぇ\nそれが一番難しいんじゃない…\nそもそも、あたしは記念日とか\n別にどうだっていいし","138","0","2","キャル","80003","0","0","0","","8","106001"
"…まあ、ペコリーヌもコロ助も\nやけに楽しそうだったから…\nこういうお祭り騒ぎみたいなのも\nたまにはいいかな、とは思うけど","139","0","2","キャル","80003","0","0","0","","9","106001"
"なるほどなるほど～\nキャルさんは【美食殿】で祝う\n2.5周年を心から楽しみに\nしている、ということですね！","140","0","2","カリン","80003","1","0","0","","4","190801"
"はぁ！？\nどこ聞いたらそうなるのよ！\nあたしは別に楽しみになんか…！","141","0","2","キャル","80003","0","0","0","","10","106001"
"キャルさんの心からの想い\nみなさんにも伝わったでしょうか？\n私も2.5周年が楽しみです！\n以上、カリンがお伝えしました！","142","0","2","カリン","80003","1","0","0","","5","190801"
"心からの想いって何なのよ！？\n勝手に人の言葉を\n捻じ曲げんじゃないわよ！\nこのくそ眼鏡ーーーっ！","143","0","2","キャル","80003","0","0","0","","11","106001"
"ペコリーヌさま、もうすぐ\n記念日でございますね\nこういった節目というのは\n感慨深いものでございます","144","0","3","コッコロ","80003","0","0","0","","6","105901"
"色んな思い出が蘇ってきますね！\n楽しい出来事が\nいっぱいありました♪","145","0","3","ペコリーヌ","80003","1","0","0","","5","105801"
"はい、そうでございますね\n主さまも【美食殿】の活動の他にも\nいろんなご経験をされたと\n聞いておりますよ","146","0","3","コッコロ","80003","0","0","0","","7","105901"
"たしか…ランドソルで話題沸騰と\nなっていた、魔法少女なるものに\nお会いになられたとか","147","0","3","コッコロ","80003","0","0","0","","8","105901"
"魔法少女って、あの美味しくって\n栄養たっぷりの大ヒット商品\n『魔法少女ソーセージ』の箱に\n描いてある女の子のことですか！？","148","0","3","ペコリーヌ","80003","1","0","0","","6","105801"
"あのソーセージ\n美味しいんですよね～♪\nわたしもたっくさん食べてますよ！","149","0","3","ペコリーヌ","80003","1","0","0","","7","105801"
"あとは、牧場に素敵な温泉が\n出来たとか…","150","0","3","コッコロ","80003","0","0","0","","9","105901"
"牧場ですか！？　温泉につかって\nチーズもオツですね～♪　考えた\nだけでよだれが出ちゃいそうです！\nやばいですね☆","151","0","3","ペコリーヌ","80003","1","0","0","","8","105801"
"ペコリーヌさま\n言ってるそばからよだれが…\n今お拭きしますね。ふき、ふき","152","0","3","コッコロ","80003","0","0","0","","10","105901"
"えへへ、ありがとうございます\nコッコロちゃん！","153","0","3","ペコリーヌ","80003","1","0","0","","9","105801"
"それにしても、主さまは\n【美食殿】の一員として様々な\n美食と出会われていたのですね\nわたくし、感服いたしました","154","0","3","コッコロ","80003","0","0","0","","11","105901"
"これからもたくさん冒険をして\nめいっぱい美食を\n味わい尽くしましょうね！","155","0","3","ペコリーヌ","80003","1","0","0","","10","105801"
"2.5周年カウントダウン♪\nキャルちゃんキャルちゃん！\nわくわくしますね☆","156","0","4","ペコリーヌ","80003","0","0","0","","11","105801"
"あぁもう、うるさいわね～\nまだまだ先でしょ？\nちょっとは落ち着きなさいよ","157","0","4","キャル","80003","1","0","0","","12","106001"
"キャルちゃんだって最近\nソワソワしてるじゃないですか～\nさっきもご機嫌そうに鼻歌とか\n歌ってましたよね？","158","0","4","ペコリーヌ","80003","0","0","0","","12","105801"
"なっ…！　き、聞いてたの！？\nじゃない、歌ってないわよ！？\nあんたいい加減なこと言うと\nぶっ殺すわよ！？","159","0","4","キャル","80003","1","0","0","","13","106001"
"えっへへ～♪\nわたしは最近のキャルちゃんが\nもっともっと大好きですよ♪\nすごく積極的になりましたよね！","160","0","4","ペコリーヌ","80003","0","0","0","","13","105801"
"…積極的？\nなんの話よ？","161","0","4","キャル","80003","1","0","0","","14","106001"
"またまた～♪\nアイドルを目指そうとしたこと\n忘れちゃったんですか？","162","0","4","ペコリーヌ","80003","0","0","0","","14","105801"
"ムーサの町で\nきゃるきゃる～ん☆　って！","163","0","4","ペコリーヌ","80003","0","0","0","","15","105801"
"あっ…！？　ちちち違うわよっ！\nあれは操られてただけで\nあたしはアイドルなんか\n目指してないっての！！","164","0","4","キャル","80003","1","0","0","","15","106001"
"本当に本当ですか？\nわたし、キャルちゃんとっても\n乗り気だなって\n思ってたんですけど～","165","0","4","ペコリーヌ","80003","0","0","0","","16","105801"
"まぁ、悪くはなかったけど…って\nだ、だから目指してないって\n言ってるでしょ！！\nなんてこと思い出させんのよ！？","166","0","4","キャル","80003","1","0","0","","16","106001"
"ああ…ダメだわ…\nもう殺すしかない…\n2.5周年が来る前に\n記憶ごと消し去ってやるー！","167","0","4","キャル","80003","1","0","0","","17","106001"
"2.5周年まであと10日…\nふ～ん？\n案外早いもんね？","168","0","5","キャル","80003","0","0","0","","18","106001"
"そうでございますね…\nその日のためにやるべきことは\nまだまだございます\n気を引き締めねばなりません…！","169","0","5","コッコロ","80003","1","0","0","","12","105901"
"やる気十分ねコロ助…\nそんな気負ってるとしんどいわよ？\nお気楽にやりましょ？","170","0","5","キャル","80003","0","0","0","","19","106001"
"キャルさま…\nありがとうございます\nキャルさまは本当に\n優しいおかたです","171","0","5","コッコロ","80003","1","0","0","","13","105901"
"な、なにわけの分かんないこと\n言ってんのよ…\nあたしは優しくなんかないっての","172","0","5","キャル","80003","0","0","0","","20","106001"
"そんなことはございません\n…あの、実はわたくし\nキャルさまに\nひとつお願いがございまして","173","0","5","コッコロ","80003","1","0","0","","14","105901"
"お願い？　珍しいわね\nコロ助がそんなこと言うなんて\n…まあ、あたしに出来ることなら\n別にいいけど","174","0","5","キャル","80003","0","0","0","","21","106001"
"ありがとうございます\n実は記念日へ向けて\n『かくし芸』というものを\n用意してみようかと思いまして","175","0","5","コッコロ","80003","1","0","0","","15","105901"
"かくし芸？","176","0","5","キャル","80003","0","0","0","","22","106001"
"はい。きゃるきゃる～ん☆　を\n参考に、ころころ～ん☆　という\nご挨拶を考えてみたのですが\nポーズがうまくいかなくて…","177","0","5","コッコロ","80003","1","0","0","","16","105901"
"～～！！　ちょっと褒められて\nいい気になって損したわ！！\nふざけんなふざけんな\nふ～ざ～け～ん～な～っ！！","178","0","5","キャル","80003","0","0","0","","23","106001"
