bd54a430f97b92407af24b30b3035c0fc9a85380e091a7b0486692b058b9fd1e,1f287a0bf3177f9e7b1d60fc3a1b698601f5cdbed6abed1d33e590c29cbff47d,b61444bfb74ed7d1c6bf4835f86008f1df518e4bd1beca78dcf0038c3d38f8fa,f57ae6c12faf69f995a5adc7b98efd1b1c2bc05f5b7456fe32e3c84e3e914c5d,b6cc57d3e2397d1bbde1e1dc0ba3854588cd3c54fe9a6ad845101d359b80076f,ee3a63465ab869901cbe886fe03a165f05695972c9db1230e276044b0cbc4fff,71caebdb25a77c342d488c5b2f2c919a10806ca1a8037c65d058146b9cddc1d3,b23892464177335c2bce2d16539df09c8b4dcc4671d7746ef1452a512615fb9b
"1","52041","1","1","0","0","50","【料理】ダイスの目が1ターン目は必ず「7」に、2ターン目は必ず「2」になる"
"99","1","1","3","0","0","1001","最大ｎマイルを入手する"
"99","2","1","3","0","0","1002","ダイスを1回振りなおせる"
"99","3","1","3","0","0","1003","ダイスを1回振りなおせる_有効ターン2"
"126501","1001","1","3","0","0","11001","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"105301","1002","1","3","0","0","11002","【仲間】最大1000マイルを入手する"
"126401","1003","1","3","0","0","11003","【仲間】料理を1つ入手する"
"100501","1004","1","3","0","0","11004","【仲間】ダイスの目を1回振りなおせる"
"101301","1005","1","3","0","0","11005","【仲間】ダイスの目を2回振りなおせる"
"104301","1006","1","3","0","0","11006","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"102701","1007","1","3","0","0","11007","【仲間】出目が3のダイスを同時に振ってどちらか選択できる"
"100901","1008","1","3","0","0","11008","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"105101","1009","1","3","0","0","11009","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"101801","1010","1","3","0","0","11010","【仲間】最大1000マイルを入手する"
"129701","1011","1","3","0","0","11011","【仲間】ダイスの表と裏どちらを適用するか選択できる"
"101601","1012","1","3","0","0","11012","【仲間】ダイスの目を1回振りなおせる"
"105601","1013","1","3","0","0","11013","【仲間】ダイスの目を2回振りなおせる"
"102001","1014","1","3","0","0","11014","【仲間】出目が3のダイスを同時に振ってどちらか選択できる"
"129601","1015","1","3","0","0","11015","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"100401","1016","1","3","0","0","11016","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる"
"127701","1017","1","3","0","0","11017","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める"
"127801","1018","1","3","0","0","11018","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる"
"104801","1019","1","3","0","0","11019","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"104701","1020","1","3","0","0","11020","【仲間】ダイスの目を2回振りなおせる"
"105001","1021","1","3","0","0","11021","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"103201","1022","1","3","0","0","11022","【仲間】最大2000マイルを入手する"
"130901","1023","1","3","0","0","11023","【仲間】福引券を1枚入手する"
"102501","1024","1","3","0","0","11024","【仲間】料理を1つ入手する"
"100801","1025","1","3","0","0","11025","【仲間】ダイスの表と裏どちらを適用するか選択できる"
"123301","1026","1","3","0","0","11026","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"104601","1027","1","3","0","0","11027","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"118101","1028","1","3","0","0","11028","【仲間】ダイスの目を2回振りなおせる"
"103401","1029","1","3","0","0","11029","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"118001","1030","1","3","0","0","11030","【仲間】最大2000マイルを入手する"
"102801","1031","1","3","0","0","11031","【仲間】福引券を1枚入手する"
"100201","1032","1","3","0","0","11032","【仲間】料理を1つ入手する"
"101201","1033","1","3","0","0","11033","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める"
"118201","1034","1","3","0","0","11034","【仲間】ダイスの目を1回振りなおせる"
"106101","1035","1","3","0","0","11035","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"103101","1036","1","3","0","0","11036","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"103301","1037","1","3","0","0","11037","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"103601","1038","1","3","0","0","11038","【仲間】最大2000マイルを入手する"
"133001","1039","1","3","0","0","11039","【仲間】福引券を1枚入手する"
"133101","1040","1","3","0","0","11040","【仲間】料理を1つ入手する"
"106801","1041","1","3","0","0","11041","【仲間】ダイスの表と裏どちらを適用するか選択できる"
"107101","1042","1","3","0","0","11042","【仲間】ダイスの目を1回振りなおせる"
"107001","1043","1","3","0","0","11043","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"106501","1044","1","3","0","0","11044","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"111001","1045","1","3","0","0","11045","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"134901","1046","1","3","0","0","11046","【仲間】最大2000マイルを入手する"
"105401","1047","1","3","0","0","11047","【仲間】福引券を1枚入手する"
"134701","1048","1","3","0","0","11048","【仲間】料理を1つ入手する"
"100101","1049","1","3","0","0","11049","【仲間】ダイスの表と裏どちらを適用するか選択できる"
"100701","1050","1","3","0","0","11050","【仲間】ダイスの目を1回振りなおせる"
"103001","1051","1","3","0","0","11051","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"101401","1052","1","3","0","0","11052","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める"
"135901","1053","1","3","0","0","11053","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"102601","1054","1","3","0","0","11054","【仲間】最大2000マイルを入手する"
"132401","1055","1","3","0","0","11055","【仲間】福引券を1枚入手する"
"135801","1056","1","3","0","0","11056","【仲間】料理を1つ入手する"
"100301","1057","1","3","0","0","11057","【仲間】ダイスの表と裏どちらを適用するか選択できる"
"106701","1058","1","3","0","0","11058","【仲間】ダイスの目を1回振りなおせる"
"132301","1059","1","3","0","0","11059","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"105201","1060","1","3","0","0","11060","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める"
"102201","1061","1","3","0","0","11061","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"100601","1062","1","3","0","0","11062","【仲間】最大2000マイルを入手する"
"136201","1063","1","3","0","0","11063","【仲間】福引券を1枚入手する"
"110901","1064","1","3","0","0","11064","【仲間】料理を1つ入手する"
