1c186feca60cafed43781c332fb534d1f9d7042356724358983995a0429c8d46,489c87ea03f0463f82bd626ec228157917d79f314742ae780152f23d0ae64167,5c87576805a10d31ca753c1d9ac7acddff9bc63d39ecbab27bb8d180fbd3395a,5d92a52592e993aeff95a7d19dec3287524ffb9ba9577afa53612643a582e6b7,32429a4aeeac1438e8fc4c0fe0f55b02720483613e8213af5d0b1ea30966c2a2,4e9753957fe25717a43c113913376232376e49a3be847125f3d1af84d8b6582f,6181ac0b4bc0bec8ac0c5905efaf2035aaa8b02ba06e812b5fa03f61adef7220,534effb0d311efd75d08e7494323cd9e78655c12150abbe392d531141548c09c,2234c4f7c705dcf9a48e9f9009b944b2c3a62b9921d4605e9bf4c770c05f26b1,371a54c6168f9851d8dccae0a51e1526d58cc65bb0d5f67d6e1f7e88c00012e0,9e0dae4c8524748bc6364b1bae99c702e5f7e1ad88c9da7569ac071d6cc11a93
"4814021","","4814","0.3","93","","","","","",""
"4814022","1","4814","102011","3","0.2","","","","wac_birthday_run_01",""
"4814023","-70","4814","102011","2","","3","","","0",""
"4814024","","4814","2.5","93","","","","","",""
"4814025","","4814","602","32","","","","","1",""
"4814026","","4814","0.6","93","","","","","",""
"4814027","","4814","600","32","","","","","0",""
"4814028","","4814","611","32","","","","","0",""
"4814029","","4814","604","32","","","","","0",""
"4814030","","4814","701","32","","","","","1",""
"4814031","0","4814","901","33","","0.01","","","0",""
"4814032","0","4814","102011","3","0.2","wac_birthday_wish_02","","1","wac_birthday_blowout_02","0.2"
"4814033","-330","4814","102011","2","","0.01","","","-200",""
"4814034","1","4814","103611","3","0.2","","","","wac_birthday_idle_doya",""
"4814035","-320","4814","103611","2","","0.01","","","180",""
"4814036","1","4814","100411","3","0.2","","","","wac_birthday_idle_kyapi",""
"4814037","-340","4814","100411","2","","0.01","","","320",""
"4814038","","4814","0","93","","","","","",""
"4814039","","4814","800","32","","","","","1",""
"4814040","","4814","0.7","93","","","","","",""
"4814041","","4814","702","32","","","","","1",""
"4814042","","4814","0.5","93","","","","","",""
"4814043","0","4814","se_common","23","","","","","se_sys_login_birthday_blow_candle",""
"4814044","","4814","701","32","","","","","0",""
"4814045","","4814","0.4","93","","","","","",""
"4814046","0","4814","se_common","23","","","","","se_sys_login_birthday_cracker",""
"4814047","","4814","700","32","","","","","1",""
"4814048","0","4814","se_common","23","","","","","se_sys_login_birthday_calendar_applause",""
"4814049","0","4814","103611","3","0.2","wac_birthday_idle_doya","","1","wac_birthday_clap","0.2"
"4814050","","4814","0.1","93","","","","","",""
"4814051","0","4814","100411","3","0.2","wac_birthday_idle_kyapi","","1","wac_birthday_clap","0.2"
"4814052","","4814","2","93","","","","","",""
"4814053","","4814","1","131","","","","","",""
"4814054","0","4814","vo_wac_04814","21","","0","","","vo_wac_04814_000",""
"4814055","10","4814","102011","11","0","1","0.5","1","わあ～、ケーキだ～！\nお店屋さんで売ってるのより\nおっきい……！　すごいすごい♪","0"
"4814056","","4814","0","91","","","","","",""
"4814057","1","4814","102011","3","0.2","","","","wac_birthday_idle_smile",""
"4814058","1","4814","103611","3","0.2","","","","wac_birthday_talk_doya",""
"4814059","0","4814","vo_wac_04814","21","","0","","","vo_wac_04814_001",""
"4814060","10","4814","103611","11","0","1","0.5","1","こっそり作っておいたの！\nミソギがイタズラしてきて\n大変だったけど……\nミミ、お誕生日おめでとう♪","0"
"4814061","","4814","0","91","","","","","",""
"4814062","1","4814","103611","3","0.2","","","","wac_birthday_idle_doya",""
"4814063","1","4814","102011","3","0.2","","","","wac_birthday_talk_smile",""
"4814064","0","4814","vo_wac_04814","21","","0","","","vo_wac_04814_002",""
"4814065","10","4814","102011","11","0","1","0.5","1","えへへ、ふたりともありがとう～\nおとうさんとおかあさん、みんなからも\nケーキがもらえるなんて夢みたい……","0"
"4814066","","4814","0","91","","","","","",""
"4814067","1","4814","102011","3","0.2","","","","wac_birthday_talk_kyapi",""
"4814068","0","4814","vo_wac_04814","21","","0","","","vo_wac_04814_003",""
"4814069","10","4814","102011","11","0","1","0.5","1","ミミ、とっても幸せだよ～♪\nおにいちゃんもありがとう！\nみんなのお誕生日がきたら、ミミも\nぜ～ったいおいわいするからね♪","0"
"4814070","","4814","0","91","","","","","",""
"4814071","","4814","0","22","","","","","",""
"5014001","","5014","bgm_M321","25","","","","","bgm_M321_2C",""
"5014002","250","5014","1","1","2","-1000","wac_birthday_idle_normal","-70","100211","0"
"5014003","256","5014","1","1","2","230","wac_birthday_idle_normal","-270","100311","1"
"5014004","257","5014","1","1","2","410","wac_birthday_idle_smile","-310","100111","1"
"5014005","","5014","100211","13","","","","","300",""
"5014006","","5014","100311","13","","","","","300",""
"5014007","0","5014","600","31","1","0","","1","600",""
"5014008","0","5014","602","31","0","0","","1","602",""
"5014009","0","5014","603","31","0","0","","1","603",""
"5014010","30","5014","604","31","1","60","","1","604",""
"5014011","0","5014","611","31","1","0","","1","611",""
"5014012","0","5014","700","31","0","0","","1","700",""
"5014013","0","5014","701","31","0","0","","1","701",""
"5014014","0","5014","702","31","0","0","","1","702",""
"5014015","0","5014","800","31","0","0","","1","800",""
"5014016","30","5014","902","31","1","60","","1","902",""
"5014017","","5014","1","93","","","","","",""
"5014018","0","5014","100111","3","0.2","wac_birthday_reaction_03","","1","wac_birthday_reaction_02","0.2"
"5014019","","5014","0.1","93","","","","","",""
"5014020","0","5014","100311","3","0.2","wac_birthday_reaction_04","","1","wac_birthday_reaction_01","0.2"
"5014021","","5014","0.3","93","","","","","",""
"5014022","1","5014","100211","3","0.2","","","","wac_birthday_run_01",""
"5014023","-70","5014","100211","2","","3","","","0",""
"5014024","","5014","2.5","93","","","","","",""
"5014025","","5014","602","32","","","","","1",""
"5014026","","5014","0.6","93","","","","","",""
"5014027","","5014","600","32","","","","","0",""
"5014028","","5014","611","32","","","","","0",""
"5014029","","5014","604","32","","","","","0",""
"5014030","","5014","701","32","","","","","1",""
"5014031","0","5014","902","33","","0.01","","","0",""
"5014032","0","5014","100211","3","0.2","wac_birthday_wish_04","","1","wac_birthday_blowout_01","0.2"
"5014033","-330","5014","100211","2","","0.01","","","-200",""
"5014034","1","5014","100311","3","0.2","","","","wac_birthday_idle_normal",""
"5014035","-320","5014","100311","2","","0.01","","","180",""
"5014036","1","5014","100111","3","0.2","","","","wac_birthday_idle_smile",""
"5014037","-340","5014","100111","2","","0.01","","","320",""
"5014038","","5014","0","93","","","","","",""
"5014039","","5014","800","32","","","","","1",""
"5014040","","5014","0.7","93","","","","","",""
"5014041","","5014","702","32","","","","","1",""
"5014042","","5014","0.5","93","","","","","",""
"5014043","0","5014","se_common","23","","","","","se_sys_login_birthday_blow_candle",""
"5014044","","5014","701","32","","","","","0",""
"5014045","","5014","0.4","93","","","","","",""
"5014046","0","5014","se_common","23","","","","","se_sys_login_birthday_cracker",""
"5014047","","5014","700","32","","","","","1",""
"5014048","0","5014","se_common","23","","","","","se_sys_login_birthday_calendar_applause",""
"5014049","0","5014","100311","3","0.2","wac_birthday_idle_normal","","1","wac_birthday_clap","0.2"
"5014050","","5014","0.1","93","","","","","",""
"5014051","0","5014","100111","3","0.2","wac_birthday_idle_smile","","1","wac_birthday_clap","0.2"
"5014052","","5014","2","93","","","","","",""
"5014053","","5014","1","131","","","","","",""
"5014054","0","5014","vo_wac_05014","21","","0","","","vo_wac_05014_000",""
"5014055","10","5014","100211","11","0","1","0.5","1","この誕生日ケーキ、わたしにっ！？\nあっ、ありがとう……！\n……もしかしてこれ、\nふたりで手作りしてくれたの？","0"
"5014056","","5014","0","91","","","","","",""
"5014057","1","5014","100211","3","0.2","","","","wac_birthday_idle_wish",""
"5014058","1","5014","100311","3","0.2","","","","wac_birthday_talk_normal",""
"5014059","0","5014","vo_wac_05014","21","","0","","","vo_wac_05014_001",""
"5014060","10","5014","100311","11","0","1","0.5","1","うん。私とヒヨリで作ったんだ。\nユイにはいつだって助けられてるから\nせめてものお返しだよ。\n……誕生日おめでとう。ユイ。","0"
"5014061","","5014","0","91","","","","","",""
"5014062","1","5014","100311","3","0.2","","","","wac_birthday_idle_normal",""
"5014063","1","5014","100211","3","0.2","","","","wac_birthday_talk_sad",""
"5014064","0","5014","vo_wac_05014","21","","0","","","vo_wac_05014_002",""
"5014065","10","5014","100211","11","0","1","0.5","1","そ、そんな……わたしだって、いつも\n助けられてばっかりで……ご、ごめん！\nせっかくお祝いしてもらってるのに\nうれしくて泣いちゃいそう……！","0"
"5014066","","5014","0","91","","","","","",""
"5014067","1","5014","100211","3","0.2","","","","wac_birthday_talk_smile",""
"5014068","0","5014","vo_wac_05014","21","","0","","","vo_wac_05014_003",""
"5014069","10","5014","100211","11","0","1","0.5","1","騎士クンも、本当にありがとうね。\nみんなに祝福してもらえて\nわたし、最高に幸せだよ……！\n大事に味わって食べるね！","0"
"5014070","","5014","0","91","","","","","",""
"5014071","","5014","0","22","","","","","",""
"5214001","","5214","bgm_M321","25","","","","","bgm_M321_2C",""
"5214002","250","5214","1","1","2","-1000","wac_birthday_idle_normal","-70","105511","0"
"5214003","256","5214","1","1","2","170","wac_birthday_idle_doya","-260","105311","1"
"5214004","259","5214","1","1","2","270","wac_birthday_idle_normal","-310","104511","1"
"5214005","257","5214","1","1","2","410","wac_birthday_idle_wish","-270","100811","1"
"5214006","258","5214","1","1","2","510","wac_birthday_idle_kyapi","-310","103011","1"
"5214007","","5214","105511","13","","","","","300",""
"5214008","","5214","105311","13","","","","","300",""
"5214009","0","5214","600","31","1","0","","1","600",""
"5214010","0","5214","602","31","0","0","","1","602",""
"5214011","0","5214","603","31","0","0","","1","603",""
"5214012","30","5214","604","31","1","60","","1","604",""
"5214013","0","5214","611","31","1","0","","1","611",""
"5214014","0","5214","700","31","0","0","","1","700",""
"5214015","0","5214","701","31","0","0","","1","701",""
"5214016","0","5214","702","31","0","0","","1","702",""
"5214017","0","5214","800","31","0","0","","1","800",""
"5214018","30","5214","903","31","1","60","","1","903",""
"5214019","","5214","1","93","","","","","",""
"5214020","0","5214","104511","3","0.2","wac_birthday_reaction_03","","1","wac_birthday_reaction_05","0.2"
"5214021","0","5214","105311","3","0.2","wac_birthday_reaction_03","","1","wac_birthday_reaction_01","0.2"
"5214022","","5214","0.1","93","","","","","",""
"5214023","0","5214","100811","3","0.2","wac_birthday_reaction_04","","1","wac_birthday_reaction_01","0.2"
"5214024","0","5214","103011","3","0.2","wac_birthday_reaction_03","","1","wac_birthday_reaction_02","0.2"
"5214025","","5214","0.3","93","","","","","",""
"5214026","1","5214","105511","3","0.2","","","","wac_birthday_run_01",""
"5214027","-70","5214","105511","2","","3","","","0",""
"5214028","","5214","2.5","93","","","","","",""
"5214029","","5214","602","32","","","","","1",""
"5214030","","5214","0.6","93","","","","","",""
"5214031","","5214","600","32","","","","","0",""
"5214032","","5214","611","32","","","","","0",""
"5214033","","5214","604","32","","","","","0",""
"5214034","","5214","701","32","","","","","1",""
"5214035","0","5214","903","33","","0.01","","","0",""
"5214036","0","5214","105511","3","0.2","wac_birthday_wish_04","","1","wac_birthday_blowout_03","0.2"
"5214037","-330","5214","105511","2","","0.01","","","-200",""
"5214038","1","5214","105311","3","0.2","","","","wac_birthday_idle_doya",""
"5214039","-320","5214","105311","2","","0.01","","","150",""
"5214040","1","5214","104511","3","0.2","","","","wac_birthday_idle_normal",""
"5214041","-360","5214","104511","2","","0.01","","","260",""
"5214042","1","5214","100811","3","0.2","","","","wac_birthday_idle_wish",""
"5214043","-320","5214","100811","2","","0.01","","","400",""
"5214044","1","5214","103011","3","0.2","","","","wac_birthday_idle_kyapi",""
"5214045","-340","5214","103011","2","","0.01","","","500",""
"5214046","","5214","0","93","","","","","",""
"5214047","","5214","800","32","","","","","1",""
"5214048","","5214","0.7","93","","","","","",""
"5214049","","5214","702","32","","","","","1",""
"5214050","","5214","0.5","93","","","","","",""
"5214051","0","5214","se_common","23","","","","","se_sys_login_birthday_blow_candle",""
"5214052","","5214","701","32","","","","","0",""
"5214053","","5214","0.4","93","","","","","",""
"5214054","0","5214","se_common","23","","","","","se_sys_login_birthday_cracker",""
"5214055","","5214","700","32","","","","","1",""
"5214056","0","5214","se_common","23","","","","","se_sys_login_birthday_calendar_applause",""
"5214057","0","5214","105311","3","0.2","wac_birthday_idle_doya","","1","wac_birthday_clap","0.2"
"5214058","0","5214","100811","3","0.2","wac_birthday_idle_wish","","1","wac_birthday_clap_to_wish","0.2"
"5214059","","5214","0.1","93","","","","","",""
"5214060","0","5214","104511","3","0.2","wac_birthday_idle_normal","","1","wac_birthday_clap","0.2"
"5214061","","5214","0.1","93","","","","","",""
"5214062","0","5214","103011","3","0.2","wac_birthday_idle_kyapi","","1","wac_birthday_clap","0.2"
"5214063","","5214","2","93","","","","","",""
"5214064","","5214","1","131","","","","","",""
"5214065","0","5214","vo_wac_05214","21","","0","","","vo_wac_05214_000",""
"5214066","10","5214","105511","11","0","1","0.5","1","わぁ、お誕生日ケーキですか？\nおめでとうございます～\nいったい誰の……えっ、わ、私！？\n誕生日、覚えててくれたんですか……？","0"
"5214067","","5214","0","91","","","","","",""
"5214068","1","5214","105511","3","0.2","","","","wac_birthday_idle_wish",""
"5214069","1","5214","105311","3","0.2","","","","wac_birthday_talk_smile",""
"5214070","0","5214","vo_wac_05214","21","","0","","","vo_wac_05214_001",""
"5214071","10","5214","105311","11","0","1","0.5","1","忘れるはずがないだろう！\nアユミは我がギルドの数少ない良心……\nいや、重要な存在なのだからな！\n盛大に祝福させてくれ！　おめでとう！","0"
"5214072","","5214","0","91","","","","","",""
"5214073","1","5214","105311","3","0.2","","","","wac_birthday_idle_doya",""
"5214074","1","5214","105511","3","0.2","","","","wac_birthday_talk_wish",""
"5214075","0","5214","vo_wac_05214","21","","0","","","vo_wac_05214_002",""
"5214076","10","5214","105511","11","0","1","0.5","1","え、えっと……\nこれ、夢じゃないですよね？\nほっぺをつねっても……いひゃい！\nやっぱり夢じゃないれす！","0"
"5214077","","5214","0","91","","","","","",""
"5214078","1","5214","105511","3","0.2","","","","wac_birthday_talk_smile",""
"5214079","0","5214","vo_wac_05214","21","","0","","","vo_wac_05214_003",""
"5214080","10","5214","105511","11","0","1","0.5","1","うぅっ……あっ、ありがとうございます！\n先輩にもお祝いしてもらえて\nとってもうれしいです！\nえへへ、大切にいただきますね……♪","0"
"5214081","","5214","0","91","","","","","",""
"5214082","","5214","0","22","","","","","",""
"5514001","","5514","bgm_M321","25","","","","","bgm_M321_2C",""
"5514002","250","5514","1","1","2","-1000","wac_birthday_idle_normal","-70","101611","0"
"5514003","256","5514","1","1","2","230","wac_birthday_idle_normal","-270","105011","1"
"5514004","257","5514","1","1","2","410","wac_birthday_idle_smile","-310","101811","1"
"5514005","","5514","101611","13","","","","","300",""
"5514006","","5514","105011","13","","","","","300",""
"5514007","0","5514","600","31","1","0","","1","600",""
"5514008","0","5514","602","31","0","0","","1","602",""
"5514009","0","5514","603","31","0","0","","1","603",""
"5514010","30","5514","604","31","1","60","","1","604",""
"5514011","0","5514","611","31","1","0","","1","611",""
"5514012","0","5514","700","31","0","0","","1","700",""
"5514013","0","5514","701","31","0","0","","1","701",""
"5514014","0","5514","702","31","0","0","","1","702",""
"5514015","0","5514","800","31","0","0","","1","800",""
"5514016","30","5514","904","31","1","60","","1","904",""
"5514017","","5514","1","93","","","","","",""
"5514018","0","5514","101811","3","0.2","wac_birthday_reaction_04","","1","wac_birthday_reaction_01","0.2"
"5514019","","5514","0.1","93","","","","","",""
"5514020","0","5514","105011","3","0.2","wac_birthday_reaction_03","","1","wac_birthday_reaction_05","0.2"
"5514021","","5514","0.3","93","","","","","",""
"5514022","1","5514","101611","3","0.2","","","","wac_birthday_run_01",""
"5514023","-70","5514","101611","2","","3","","","0",""
"5514024","","5514","2.5","93","","","","","",""
"5514025","","5514","602","32","","","","","1",""
"5514026","","5514","0.6","93","","","","","",""
"5514027","","5514","600","32","","","","","0",""
"5514028","","5514","611","32","","","","","0",""
"5514029","","5514","604","32","","","","","0",""
"5514030","","5514","701","32","","","","","1",""
"5514031","0","5514","904","33","","0.01","","","0",""
"5514032","0","5514","101611","3","0.2","wac_birthday_wish_03","","1","wac_birthday_blowout_02","0.2"
"5514033","-330","5514","101611","2","","0.01","","","-200",""
"5514034","1","5514","105011","3","0.2","","","","wac_birthday_idle_smile",""
"5514035","-320","5514","105011","2","","0.01","","","180",""
"5514036","1","5514","101811","3","0.2","","","","wac_birthday_idle_wish",""
"5514037","-340","5514","101811","2","","0.01","","","320",""
"5514038","","5514","0","93","","","","","",""
"5514039","","5514","800","32","","","","","1",""
"5514040","","5514","0.7","93","","","","","",""
"5514041","","5514","702","32","","","","","1",""
"5514042","","5514","0.5","93","","","","","",""
"5514043","0","5514","se_common","23","","","","","se_sys_login_birthday_blow_candle",""
"5514044","","5514","701","32","","","","","0",""
"5514045","","5514","0.4","93","","","","","",""
"5514046","0","5514","se_common","23","","","","","se_sys_login_birthday_cracker",""
"5514047","","5514","700","32","","","","","1",""
"5514048","0","5514","se_common","23","","","","","se_sys_login_birthday_calendar_applause",""
"5514049","0","5514","105011","3","0.2","wac_birthday_idle_smile","","1","wac_birthday_clap","0.2"
"5514050","","5514","0.1","93","","","","","",""
"5514051","0","5514","101811","3","0.2","wac_birthday_idle_wish","","1","wac_birthday_clap_to_wish","0.2"
"5514052","","5514","2","93","","","","","",""
"5514053","","5514","1","131","","","","","",""
"5514054","0","5514","vo_wac_05514","21","","0","","","vo_wac_05514_000",""
"5514055","10","5514","101611","11","0","1","0.5","1","わわ、これってうちの誕生日ケーキ？\nこんなのあるなんて聞いてないし～！\nオニ感激なんだけど！？","0"
"5514056","","5514","0","91","","","","","",""
"5514057","1","5514","101611","3","0.2","","","","wac_birthday_idle_kyapi",""
"5514058","1","5514","105011","3","0.2","","","","wac_birthday_talk_smile",""
"5514059","0","5514","vo_wac_05514","21","","0","","","vo_wac_05514_001",""
"5514060","10","5514","105011","11","0","1","0.5","1","フフン、感謝しなさいよね～\nアタシとイオちゃんで徹夜して作っ……いや！\n大して苦労はしなかったけど！\nえっと……誕生日おめでと、スズナ。","0"
"5514061","","5514","0","91","","","","","",""
"5514062","1","5514","105011","3","0.2","","","","wac_birthday_idle_smile",""
"5514063","1","5514","101611","3","0.2","","","","wac_birthday_talk_smile",""
"5514064","0","5514","vo_wac_05514","21","","0","","","vo_wac_05514_002",""
"5514065","10","5514","101611","11","0","1","0.5","1","あはは、うん、ありがとっ！\nそれでミサキっちとちゃんイオ\n朝から甘～い匂いしてたんだね～","0"
"5514066","","5514","0","91","","","","","",""
"5514067","1","5514","101611","3","0.2","","","","wac_birthday_talk_kyapi",""
"5514068","0","5514","vo_wac_05514","21","","0","","","vo_wac_05514_003",""
"5514069","10","5514","101611","11","0","1","0.5","1","やっぱ持つべきものは\n友達だし……♪\nよーし、みんなでパーティーしよー！\nもちヒデサイも一緒だからね！","0"
"5514070","","5514","0","91","","","","","",""
"5514071","","5514","0","22","","","","","",""
"6214001","","6214","bgm_M321","25","","","","","bgm_M321_2C",""
"6214002","250","6214","1","1","2","-1000","wac_birthday_idle_normal","-70","106731","0"
"6214003","256","6214","1","1","2","230","wac_birthday_idle_doya","-270","106611","1"
"6214004","257","6214","1","1","2","410","wac_birthday_idle_normal","-310","106511","1"
"6214005","","6214","106731","13","","","","","300",""
"6214006","","6214","106611","13","","","","","300",""
"6214007","0","6214","600","31","1","0","","1","600",""
"6214008","0","6214","602","31","0","0","","1","602",""
"6214009","0","6214","603","31","0","0","","1","603",""
"6214010","30","6214","604","31","1","60","","1","604",""
"6214011","0","6214","611","31","1","0","","1","611",""
"6214012","0","6214","700","31","0","0","","1","700",""
"6214013","0","6214","701","31","0","0","","1","701",""
"6214014","0","6214","702","31","0","0","","1","702",""
"6214015","0","6214","800","31","0","0","","1","800",""
"6214016","30","6214","905","31","1","60","","1","905",""
"6214017","","6214","1","93","","","","","",""
"6214018","0","6214","106511","3","0.2","wac_birthday_reaction_03","","1","wac_birthday_reaction_02","0.2"
"6214019","","6214","0.1","93","","","","","",""
"6214020","0","6214","106611","3","0.2","wac_birthday_reaction_03","","1","wac_birthday_reaction_01","0.2"
"6214021","","6214","0.3","93","","","","","",""
"6214022","1","6214","106731","3","0.2","","","","wac_birthday_run_01",""
"6214023","-70","6214","106731","2","","3","","","0",""
"6214024","","6214","2.5","93","","","","","",""
"6214025","","6214","602","32","","","","","1",""
"6214026","","6214","0.6","93","","","","","",""
"6214027","","6214","600","32","","","","","0",""
"6214028","","6214","611","32","","","","","0",""
"6214029","","6214","604","32","","","","","0",""
"6214030","","6214","701","32","","","","","1",""
