8ca4bb46dbf93cfc2b3eae7d0a1c2514cda61aeec3149b7868b54aadbb9f66e9,36c58ed7a52ed5f7e95c7d3d0b069098b40f0eabf2a0cf4cd435dbda0765b146,1474affbcc3b53d1b5d24b1be62571e31a6016e8f9bf4cdacfe42f1ad5f0001a,3906e1f59febf6347c5bdeaac7217ea542ee2a3dc718110c8acddf9e53d39138,890716b05ec6463a3f288d8a5d5674eb9e314707023d2ef04e623190df885933,2e14aa7161b194113f26d8af18bbe929bbe6dce29f6843577589fc5c90b52a55,aeccd3a1ac505c2ea3d075df8defd10acfdf9ca69369fc4d3233ecf8d9e5c3d8,9175cae4df5d04a5c36cf687151b2060d1f4e9e49da8f03c83e69fb41c9f3411,46fcdc68596841555955c1111569a5e40fce74e57ec4e7a1446506708a6c0a28,e0ca9e69e36904c2100d03b75311e72f5c9a0cea1b34a62308efc11834a79c92,b64701f7602b26c75a79a9d7be2335c9cf876c926ccb8316a37ee005da122556,86bd2a0d4d349e5e93f76e1cfd1da66a719ff8b2618752a38f2162df9ad6abf2
"0","5.5","600","0","3","10207501","0","5","1","0","610207105","2"
"0","1.5","0","0","0","10207501","66","5","2","0","610207106","1"
"0","1.5","0","0","0","10207501","0","5","3","0","610207107","1"
"5208321","5.5","600","5208322","3","10208201","0","5","1","0","610208102","2"
"0","1.5","0","5208323","0","10208201","70","5","2","0","610208103","1"
"0","1.5","0","0","0","10208201","0","5","3","0","610208104","1"
"0","5.5","600","0","3","10208501","0","5","1","0","610208105","2"
"0","1.5","0","0","0","10208501","70","5","2","0","610208106","1"
"0","1.5","0","0","0","10208501","0","5","3","0","610208107","1"
"5209321","5.5","600","5209322","3","10209201","0","5","1","0","610209102","2"
"0","1.5","0","5209323","0","10209201","55","5","2","0","610209103","1"
"0","1.5","0","0","0","10209201","0","5","3","0","610209104","1"
"0","5.5","600","0","3","10209501","0","5","1","0","610209105","2"
"0","1.5","0","0","0","10209501","60","5","2","0","610209106","1"
"0","1.5","0","0","0","10209501","0","5","3","0","610209107","1"
"5210321","5.5","600","5210322","3","10210201","0","5","1","0","610210102","2"
"0","1.5","0","5210323","0","10210201","65","5","2","0","610210103","1"
"0","1.5","0","0","0","10210201","0","5","3","0","610210104","1"
"0","5.5","600","0","3","10210501","0","5","1","0","610210105","2"
"0","1.5","0","0","0","10210501","60","5","2","0","610210106","1"
"0","1.5","0","0","0","10210501","0","5","3","0","610210107","1"
"5211321","5.5","600","5211322","3","10211201","0","5","1","0","610211102","2"
"0","1.5","0","5211323","0","10211201","40","5","2","0","610211103","1"
"0","1.5","0","0","0","10211201","0","5","3","0","610211104","1"
"0","5.5","600","0","3","10211501","0","5","1","0","610211105","2"
"0","1.5","0","0","0","10211501","45","5","2","0","610211106","1"
"0","1.5","0","0","0","10211501","0","5","3","0","610211107","1"
"5212321","5.5","600","5212322","3","10212201","0","5","1","0","610212102","2"
"0","1.5","0","5212323","0","10212201","60","5","2","0","610212103","1"
"0","1.5","0","0","0","10212201","0","5","3","0","610212104","1"
"0","5.5","600","0","3","10212501","0","5","1","0","610212105","2"
"0","1.5","0","0","0","10212501","60","5","2","0","610212106","1"
"0","1.5","0","0","0","10212501","0","5","3","0","610212107","1"
