23076f1a114be535bd92a25b6fd95c3b931e58d1914409ecf8aa1e1bb71f9f51,78e9398ad6b7ad22be485c67165e2498099688a2545be2dd6750ebb05aaf2f92,02a770a012c4f79aa0732f738248f24d21b95a3d346dfefadf9fa0233f5a1db2,ea34a71b88432771a62cef8ef1cbca158e3afb8c39a3894b3532ed4025485cfe,8dee70edf104e138fe2f226382133293bd5274f111d0e15b298fd9e9660e3da1,f4c19f98dfb1f1446ed1e493c530d1f526b1cf8bc88f575f6828a15d425a6cb5,0a003687f0c31ddb6cf79c73effbd33c15b16c8fa15bdf76668de33c03cf1fe4,120526009373fffda6a0283ae299618e88db7f82004ce8f0a84302474c85f215,7f1d46eba7a43050d244c584a6ad3ba12670072de436048540c948f5e9b7e394,9fd8e38f60f75f8f50b402cb2d347709ba39d220fc21af12e9538424d971d8a0,bd9451ae664647f6d570a92366d68911558a505c0742257086a030db7b21227d
"14","1","100","03_uek_cmn_idol_def_N","-25","0","104031","1140001","1","1.3","-86"
"14","1","0","","1","","1","1140002","31","1","250"
"14","104031","0","","1","","03_uek_14_aoi","1140003","3","","03_uek_14_aoi_loop"
"14","104031","10","","0","","うう、ぼっちへの\n風当たりが\n強すぎませんか！？","1140004","11","","0"
"15","1","100","03_uek_cmn_idol_def_N","-20","0","100731","1150001","1","1.3","-75"
"15","1","100","03_uek_15_father","10","1","103131","1150002","1","1.3","65"
"15","100731","1","","0","","03_uek_15_miyako","1150003","3","",""
"15","100731","10","","0","","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの","1150004","11","","0"
"15","0","","","","","","1150005","91","",""
"15","103131","1","","0","","03_uek_15_father","1150006","3","",""
"15","103131","10","","0","","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！","1150007","11","","0"
"15","0","","","","","","1150008","91","",""
"15","103131","1","","0","","03_uek_talk_normal","1150009","3","",""
"15","103131","10","","0","","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？","1150010","11","","0"
"15","0","","","","","","1150011","91","",""
"15","103131","1","","0","","03_uek_cmn_idol_def_N","1150012","3","0.2",""
"16","1","100","01_uek_cmn_idol_def_N","-45","0","112431","1160001","1","1.3","-110"
"16","1","100","01_uek_cmn_idol_def_N","-15","1","105831","1160002","1","1.3","40"
"16","1","100","01_uek_cmn_idol_def_N","10","1","105931","1160003","1","1.3","140"
"16","105931","0","","0","","01_uek_01_kokkoro","1160004","3","","01_uek_cmn_idol_def_N"
"16","112431","0","","1","","01_uek_01_uduki","1160005","3","","01_uek_cmn_idol_def_N"
"16","105831","0","","1","","01_uek_01_peko","1160006","3","","01_uek_cmn_idol_def_N"
"16","0","","","","","","1160007","91","",""
"16","105931","1","","1","","01_uek_talk_normal","1160008","3","",""
"16","105931","10","","0","","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？","1160009","11","","0"
"16","0","","","","","","1160010","91","",""
"16","105931","1","","1","","01_uek_cmn_idol_def_N","1160011","3","",""
"16","112431","1","","","","01_uek_talk_joy1","1160012","3","",""
"16","112431","10","","0","","はい、平気です！\nとっても楽しくって\nやばいです☆","1160013","11","","0"
"16","1.5","","","","","","1160014","93","",""
"16","112431","0","","1","","01_uek_16_uduki","1160015","3","0.2","01_uek_16_uduki_loop"
"16","1160013","","","","","","1160016","91","",""
"16","105831","1","","","","01_uek_talk_joy1","1160017","3","",""
"16","105831","10","","0","","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆","1160018","11","","0"
"16","2.2","","","","","","1160019","93","",""
"16","105831","0","","1","","01_uek_16_peco","1160020","3","0.2","01_uek_16_uduki_loop"
"16","1160018","","","","","","1160021","91","",""
"17","1","300","03_uek_cmn_idol_def_N","10","1","102331","1170001","1","1.3","150"
"17","1","100","03_uek_cmn_idol_def_N","-15","0","102131","1170002","1","1.3","-100"
"17","3","20","","1.3","","3","1170003","31","0","10"
"17","102331","0","","1","0.2","03_uek_17_ayane","1170004","3","0.2","03_uek_17_ayane_loop"
"17","102131","0","","1","","03_uek_cmn_pose05","1170005","3","0.2","03_uek_cmn_idol_def_N"
"17","3","","","","","1","1170006","32","",""
"17","102331","10","","0","","見て見て！\n雲でぷうきちを\n作ったよー！","1170007","11","","0"
"17","0","","","","","","1170008","91","",""
"17","102131","1","","","","03_uek_talk_joy1","1170009","3","0.2",""
"17","102131","10","","0","","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪","1170010","11","","0"
"17","0","","","","","","1170011","91","",""
"17","102131","1","","","","03_uek_cmn_idol_def_N","1170012","3","0.2",""
"18","1","100","01_uek_cmn_idol_def_N","45","0","112631","1180001","1","1.3","229"
"18","1","110","01_uek_cmn_idol_def_N","20","0","105831","1180002","1","1.3","170"
"18","1","100","01_uek_cmn_idol_def_N","-10","0","105931","1180003","1","1.3","-85"
"18","112631","0","","1","","01_uek_18_mio","1180004","3","","01_uek_18_mio_loop"
"18","112631","10","","0","","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！","1180005","11","","0"
"18","0","","","","","","1180006","91","",""
"18","105831","0","","1","","01_uek_18_mio","1180007","3","","01_uek_18_mio_loop"
"18","105831","10","","0","","そうですね！\nえーと、どれどれ…\nって、わわわわ！","1180008","11","","0"
"18","3","","","","","","1180009","93","",""
"18","105831","5","","1","","170","1180010","2","","2"
"18","1180008","","","","","","1180011","91","",""
"18","105931","0","","1","","01_uek_18_kokkoro","1180012","3","","01_uek_cmn_idol_def_N"
"18","105931","10","","0","","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね","1180013","11","","0"
"19","1","100","02_uek_19_hatsune","110","0","101231","1190001","1","1.3","402"
"19","1","100","02_uek_talk_surprise2","30","0","103831","1190002","1","1.3","166"
"19","103831","1","","0","","02_uek_talk_surprise2","1190003","3","0.2",""
"19","103831","10","","0","","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！","1190004","11","","0"
"19","0","","","","","","1190005","91","",""
"19","101231","10","","0","","しおりんの声が\n聞こえたような…\nすやぁ…☆","1190006","11","","0"
"20","2","100","05_idle","-35","0","105831","1200001","1","0.9","-195"
"20","2","1000","304602_idle","30","0","304602","1200002","1","1.4","150"
"20","102","150","","1","","17","1200003","31","1","50"
"20","103","150","","1","","18","1200004","31","1","400"
"21","1","110","01_uek_21_kokkoro_loop","25","0","105931","1210001","1","1.3","185"
"21","1","120","01_uek_21_rin_loop","-5","0","112531","1210002","1","1.3","65"
"21","1","100","01_uek_cmn_idol_def_N","-35","0","106031","1210003","1","1.3","-140"
"21","105931","10","","0","","風が心地よいですね\n優しく、囁きかけて\nいるように感じます","1210004","11","","0"
"21","0","","","","","","1210005","91","",""
"21","112531","10","","0","","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…","1210006","11","","0"
"21","0","","","","","","1210007","91","",""
"21","106031","0","","1","","01_uek_21_kyaru","1210008","3","","01_uek_cmn_idol_def_N"
"21","106031","10","","0","","…あんたたち\nなんか妙なところで\nシンクロしてるわね","1210009","11","","0"
"21","0","","","","","","1210010","91","",""
"22","1","100","01_uek_cmn_idol_def_N","40","0","105831","1220001","1","1.3","180"
"22","4","420","","1.3","","4","1220002","31","1","250"
"22","105831","1","","","","01_uek_cmn_pose03","1220003","3","0.2",""
"22","105831","10","","0","","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆","1220004","11","","0"
"22","0","","","","","","1220005","91","",""
"23","1","100","03_uek_cmn_idol_def_N","5","0","105231","1230001","1","1.3","33"
"23","1","1010","03_uek_23_rin","40","0","102631","1230002","1","1.3","200"
"23","1","100","03_uek_cmn_idol_def_N","-25","0","103331","1230003","1","1.3","-110"
"23","5","220","","1","","5","1230004","31","1","32"
"23","102631","1","","","","03_uek_23_rin","1230005","3","0.2",""
"23","102631","10","","0","","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～","1230006","11","","0"
"23","0","","","","","","1230007","91","",""
"23","102631","40","","0","","1100","1230008","2","","45"
"23","5","32","","0","","1120","1230009","33","","45"
"23","105231","1","","","","03_uek_cmn_pose04","1230010","3","0.2",""
"23","103331","1","","","","03_uek_talk_surprise2","1230011","3","0.2",""
"23","105231","10","","0","","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！","1230012","11","","0"
"23","0","","","","","","1230013","91","",""
"23","103331","10","","0","","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！","1230014","11","","0"
"23","0","","","","","","1230015","91","",""
"24","1","10","03_uek_24_ayumi","-45","0","105531","1240001","1","1.3","-240"
"24","105531","1","","0","","03_uek_24_ayumi","1240002","3","",""
"24","105531","10","","0","","あっ、あそこに\n先輩がいる\nじーーーー…","1240003","11","","0"
"25","1","100","03_uek_cmn_idol_def_N","15","1","103631","1250001","1","1.3","175"
"25","1","100","03_uek_cmn_idol_def_N","-10","0","100431","1250002","1","1.3","-36"
"25","1","100","03_uek_cmn_idol_def_N","-45","0","102031","1250003","1","1.3","-158"
"25","102031","1","","0","","03_uek_cmn_pose06","1250004","3","",""
"25","102031","10","","0","","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪","1250005","11","","0"
"25","0","","","","","","1250006","91","",""
"25","100431","0","","1","","03_uek_25_misogi","1250007","3","","03_uek_25_misogi_loop"
"25","100431","10","","0","","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！","1250008","11","","0"
"25","103631","1","","0","","03_uek_25_kyouka","1250009","3","","03_uek_25_kyouka_loop"
"25","0","","","","","","1250010","91","",""
"25","103631","10","","0","","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！","1250011","11","","0"
"25","0","","","","","","1250012","91","",""
"27","1","100","01_uek_cmn_idol_def_N","-43","0","104831","1270001","1","1.3","-179"
"27","1","100","01_uek_27_tamaki_loop","-14","0","104631","1270002","1","1.3","0"
"27","1","100","01_uek_cmn_idol_def_N","24","1","103231","1270003","1","1.3","200"
"27","104631","10","","0","","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…","1270004","11","","0"
"27","0","","","","","","1270005","91","",""
"27","104831","0","","1","","01_uek_cmn_pose02","1270006","3","","01_uek_talk_normal"
"27","104831","10","","0","","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ","1270007","11","","0"
"27","0","","","","","","1270008","91","",""
"27","104831","1","","0","","01_uek_cmn_idol_def_N","1270009","3","0.3",""
"27","103231","1","","0","","01_uek_27_akino_loop","1270010","3","",""
"27","103231","10","","0","","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね","1270011","11","","0"
"28","1","110","04_uek_cmn_idol_def_N","-10","0","102931","1280001","1","1.3","0"
"28","1","120","04_uek_cmn_idol_def_N","-30","0","104231","1280002","1","1.3","-120"
"28","1","100","04_uek_cmn_idol_def_N","10","0","105431","1280003","1","1.3","120"
"28","6","35","","1.3","","6","1280004","31","0","10"
"28","6","-85","","1.3","","9","1280005","31","0","-10"
"28","6","155","","1.3","","10","1280006","31","0","30"
"28","102931","1","","","","04_uek_28_nozomi","1280007","3","0.2",""
"28","104231","1","","","","04_uek_28_chika","1280008","3","0.2",""
"28","105431","1","","","","04_uek_28_tsumugi","1280009","3","0.2",""
"28","6","","","","","1","1280010","32","",""
"28","9","","","","","1","1280011","32","",""
"28","10","","","","","1","1280012","32","",""
"28","102931","10","","0","","空の上でも\nカルミナ…\nオンステージ！","1280013","11","","0"
"28","0","","","","","","1280014","91","",""
"28","104231","10","","0","","風が気持ちいい…！\n精霊たちも\n楽しそうです！","1280015","11","","0"
"28","0","","","","","","1280016","91","",""
"28","105431","10","","0","","最っ高ですね！\nアンコールまで\n駆け抜けましょう！","1280017","11","","0"
"28","0","","","","","","1280018","91","",""
"29","1","100","03_uek_cmn_idol_def_N","-10","0","101531","1290001","1","1.3","-40"
"29","1","100","03_uek_cmn_idol_def_N","10","1","101831","1290002","1","1.3","95"
"29","101831","1","","0","","03_uek_talk_joy1","1290003","3","",""
"29","101831","10","","0","","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら","1290004","11","","0"
"29","0","","","","","","1290005","91","",""
"29","101831","1","","0","","03_uek_cmn_idol_def_N","1290006","3","0.3",""
"29","101531","1","","0","","03_uek_talk_joy1","1290007","3","0.3",""
"29","101531","10","","0","","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～","1290008","11","","0"
"29","0","","","","","","1290009","91","",""
"29","101531","1","","0","","03_uek_cmn_idol_def_N","1290010","3","0.3",""
"30","2","100","05_idle","-35","0","105831","1300001","1","0.9","-195"
"30","2","1000","307505_idle","-50","0","307505","1300002","1","1.5","150"
"30","102","150","","1","","19","1300003","31","1","50"
"30","103","150","","1","","20","1300004","31","1","400"
"30","307505","0","","1","","307505_awake","1300005","3","0","307505_idle"
"31","1","110","01_uek_cmn_idol_def_N","10","0","105831","1310001","1","1.3","140"
"31","1","110","01_uek_cmn_idol_def_N","0","0","105931","1310002","1","1.3","20"
"31","1","110","01_uek_26_kyaru_loop","-55","0","106031","1310003","1","1.3","-200"
"31","1","","","","","","1310004","93","",""
"31","105831","","","","","1","1310005","4","",""
"31","105831","1","","","","01_uek_cmn_pose04","1310006","3","0",""
"31","105831","10","","","","見てください！\nお星様の世界です！\nすごい景色ですね☆","1310007","11","",""
"31","2.3","","","","","","1310008","93","",""
"31","105831","0","","0","","01_uek_cmn_idol_def_N","1310009","3","0.2",""
"31","1310007","","","","","","1310010","91","",""
"31","105831","1","","0","","01_uek_cmn_idol_def_N","1310011","3","0.2",""
"31","105931","1","","","","01_uek_talk_normal","1310012","3","",""
"31","105931","10","","","","本当に素晴らしい\n場所でございます\n堪能いたしましょう","1310013","11","",""
"31","0","","","","","","1310014","91","",""
"31","105931","1","","","","01_uek_cmn_idol_def_N","1310015","3","0.2",""
"31","106031","10","","","","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！","1310016","11","",""
"32","1","100","02_uek_32_kuka_loop","91","1","104531","1320001","1","1.3","255"
"32","1","100","02_uek_cmn_idol_def_N","-29","0","105331","1320002","1","1.3","-97"
"32","1","100","02_uek_cmn_idol_def_N","0","0","103031","1320003","1","1.3","50"
"32","104531","0","","0","","02_uek_32_kuka","1320004","3","0.5",""
"32","105331","0","","1","","02_uek_cmn_shock_def_N","1320005","3","0.5","02_uek_talk_surprise2"
"32","103031","0","","1","","02_uek_cmn_shock_def_N","1320006","3","0.5","02_uek_talk_surprise2"
"32","0","","","","","","1320007","91","",""
"32","103031","1","","0","","02_uek_talk_surprise2","1320008","3","0.5",""
"32","103031","10","","0","","せっかく見つけた\nクウカがまた\n飛んでマス！","1320009","11","","0"
"32","0","","","","","","1320010","91","",""
"32","105331","1","","0","","02_uek_talk_surprise2","1320011","3","0.5",""
"32","105331","10","","0","","やっぱりよろこんで\nなかったか！？","1320012","11","","0"
"33","1","100","02_uek_cmn_idol_def_N","0","1","100831","1330001","1","1.3","0"
"33","7","-120","","1.3","","7","1330002","31","1","130"
"33","100831","0","","1","","02_uek_33_yuki","1330003","3","0.2","02_uek_33_yuki_loop"
"33","100831","10","","0","","星の輝きを浴びた\nボクはまた一段と\n美しいね…","1330004","11","","0"
"33","0","","","","","","1330005","91","",""
"34","1","110","02_uek_cmn_idol_def_N","0","1","100931","1340001","1","1.3","10"
"34","1","110","02_uek_cmn_idol_def_N","10","1","101331","1340002","1","1.3","180"
"34","1","","","","","","1340003","93","",""
"34","101331","1","","1","0.2","02_uek_cmn_pose01","1340004","3","0.2","02_uek_cmn_idol_def_N"
"34","101331","10","","0","","ウチュウキター！\nテンション爆上がり\nですしおすし！","1340005","11","","0"
"34","0","","","","","","1340006","91","",""
"34","100931","0","","1","0","02_uek_34_anna","1340007","3","0.2","02_uek_34_anna_loop"
"34","100931","10","","0","","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！","1340008","11","","0"
"35","1","100","01_uek_cmn_idol_def_N","-60","1","100231","1350001","1","1.3","-200"
"35","1","100","01_uek_cmn_idol_def_N","10","1","100331","1350002","1","1.3","0"
"35","1","100","01_uek_cmn_idol_def_N","20","1","100131","1350003","1","1.3","200"
"35","8","0","","1","","8","1350004","31","1","270"
"35","100231","0","","1","0.2","01_uek_35_yui","1350005","3","0.2","01_uek_35_yui_loop"
"35","100331","0","","1","0.2","01_uek_35_rei","1350006","3","0.2","01_uek_35_rei_loop"
"35","100131","1","","","","01_uek_cmn_pose03","1350007","3","0.2",""
"35","100231","10","","0","","見て、流れ星…！\nみんなで願い事を\nしようよ","1350008","11","","0"
"35","0","","","","","","1350009","91","",""
"35","100331","10","","0","","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ","1350010","11","","0"
"35","0","","","","","","1350011","91","",""
"35","100131","10","","0","","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！","1350012","11","","0"
"35","0","","","","","","1350013","91","",""
