0ff48471b289ec7ed6e7ddcb7cf73bc76c56a1eb4dc9ff78ad63a12d2e0918ee,949391fe3ee601b84d16a8d9868a63aea967cd904102cb172dda4b6ba1ad1975,920ac6657fa7b4cbea8df910ef5fba385010ab015cb12af788e747258cd6d85e,ac9daffac774c2ae59138ddf4c38b3802422fe853d9dcdae9ab350731fa6c410,4f0db3dc3666a4c8a33814087778fc65cd3f6749d537796d32421b463f26aabb,be80a88d65038cb1e91baadcbd3e71998b1a5f6158a072f72861337784e82db9,3cdf19d706a1005f7b9227b1a1e8d44248cb39994ecca7841200c824575ba427,a7c3a9f54a01019c84249291c199eaf418dd08062570633a82d52cf8ceb00c45,4cc122b9658c31fe0d771cedd34264455ec341d6e7aa0853de3a7288b2e0fa42,f1d1a22b0f9c41a9dbec116240545f1baf8cbc96da4f3ffff1c936d2b5ab4290,4f0c60abf2e606147bad7cd026214256e2a96044bcaa6ae249657f38897be8bb,28eb20766e2f9df659c28d2084dd3168fea9ea83c013df6bd93b2bd429236932,27e728cc71c3bf1254ae3cea58249b1d6ca680ed32d23f9fb6911d1deb36ae1f,a6cfd76393e13a58f2d75529a0fdc8493b2127ba51a4c1428cba565130cb9a74
"1","10017","ホウオウ","ショップへようこそ\nこの鳳凰が、皆さんに\n祝福を差し上げましょう","0","2024/09/22 14:59:59","1","-470","2002","1","130502","0","2024/06/15 15:00:00","5"
"2","10018","ホウオウ","ほーちゃんと呼ぶ権利は\n売っていませんよ？\n騎士さんへの、特別です！","0","2024/09/22 14:59:59","2","-470","2002","1","130502","3.18","2024/06/15 15:00:00","5"
"3","10019","ホウオウ","うﾞぇぇえんっ！まﾞだごの\n格好になっぢゃいまじだ！\n寄付をお願いじまず～っ！","0","2024/09/22 14:59:59","4","-470","2002","4","130503","0","2024/06/15 15:00:00","5"
"1","10020","ネア","おっすー♪\nなんでも交換してけー\nカリザきゅん以外で","0","2024/09/22 14:59:59","1","-470","2002","2","123301","4.9","2024/06/15 15:00:00","5"
"2","10021","ネア","ところで、騎士きゅんは\nおいくら万ルピ？\nジョーダンぬ・き・で♡","0","2024/09/22 14:59:59","1","-470","2002","2","123301","4.8","2024/06/15 15:00:00","5"
"1","10022","カリザ","ケッ、なんでオレ様が店番\nなんざ…って来んなキイロ\nオレは売りモンじゃねー！","0","2024/12/22 14:59:59","3","-470","2002","1","133301","4.922","2024/09/15 15:00:00","6"
"2","10023","カリザ","い、言わなきゃダメか？\n「…いらっしゃいませ…」\nクソッ、笑うんじゃねー！","0","2024/12/22 14:59:59","3","-470","2002","5","133301","9.638","2024/09/15 15:00:00","6"
"1","10024","ミーア","ショップへようこそ～\nネラさまの腹心…的な私が\n店番させていただきま～す","0","2024/12/22 14:59:59","1","-470","2002","2","133401","2.88","2024/09/15 15:00:00","6"
"2","10025","ミーア","私の抜け殻とか、\n需要ありますかね～…\nって冗談ですよ、冗談！","0","2024/12/22 14:59:59","5","-470","2002","1","133401","4.818","2024/09/15 15:00:00","6"
"1","10026","グレイス","へい、らっしゃい\nさ、騎士氏。冥土の土産は\nなにがいいですか？","0","2025/03/22 14:59:59","2","-470","2002","1","133002","1.78","2024/12/15 15:00:00","7"
"2","10027","グレイス","商品をお買い上げ毎に\nグレイスちゃんポイントを\n差し上げます。嘘ですが","0","2025/03/22 14:59:59","1","-470","2002","7","133002","6.15","2024/12/15 15:00:00","7"
"1","10028","ヴァイオレット","ようこそいらっしゃいませ\n…接客とは、このような\n振舞で宜しいでしょうか？","0","2025/03/22 14:59:59","6","-470","2002","2","133102","4.28","2024/12/15 15:00:00","7"
"2","10029","ヴァイオレット","じめじめした商品は\nございませんので\n安心してお買い求め下さい","0","2025/03/22 14:59:59","1","-470","2002","1","133102","0","2024/12/15 15:00:00","7"
