ec37a59c7f1edfaa2b7ac293cc68365508fc031e19d5b4ad269efd785374a786,4069f431d4b16d53f6299d2ef4dac6268b27840d3c52cb7ce8e198f7afb5687c,c8ad824f1394acaeb4efcb71651cdd1920c4f3e6aaca3feb6f853c35970c51a9,bdd586681a95fc63fd7e12f0a86819488d96b3baa78d4823b38fd82ce8f2e3a5,95c78a95a77bc26a7a9ce72a8837a100a2339944dfea86a6c4f133e3ce3f9075,2bda15301ffadccdf3aaea0ae1c223c7a5c974358ca56730f21aa3de5845f53e,001da506256735615868c4d624e2f798abc6873a91ffec0aff02a67000968361,95012503e026b9f34534ac5d310e07c4f33b4c70d5e3ee78080467d1829865e1,229cb6c2237323d755a86daaf915f877d5f09f8ab63c0b08f8cadb7d26ad310d,1174f161f7d006d2fb1858b662785d5c0c247ac46db456b6da83d29e4c9e74c1
"14","","6","1060014","vo_10011600_0604","0","vo_10011600","2","0","0"
"15","面と向かい合ってお話しなんてしようものなら、","6","1060015","0","0","0","1","0","8"
"16","","6","1060016","0","3.5","0","4","1","0"
"17","私のぼっちハートはひび割れ、","6","1060017","0","0","0","1","0","8"
"18","","6","1060018","0","2.5","0","4","1","0"
"19","粉々に砕け散ること間違いなし。\n","6","1060019","0","0","0","1","0","8"
"20","","6","1060020","0","3.875","0","4","1","0"
"21","","6","1060021","vo_10011600_0605","0","vo_10011600","2","0","0"
"22","あのちぇるーん、","6","1060022","0","0","0","1","0","8"
"23","","6","1060023","0","1.75","0","4","1","0"
"24","っていう挨拶、","6","1060024","0","0","0","1","0","8"
"25","","6","1060025","0","1.625","0","4","1","0"
"26","私が口にするとその場で気絶して、","6","1060026","0","0","0","1","0","8"
"27","","6","1060027","0","2.75","0","4","1","0"
"28","天に召されちゃうんじゃないかな……","6","1060028","0","0","0","1","0","8"
"29","","6","1060029","0","3.125","0","4","1","0"
"1","","7","1070001","vo_10011600_0701","0","vo_10011600","2","0","0"
"2","　今日は何から何まで、","7","1070002","0","0","0","1","0","8"
"3","","7","1070003","0","2.375","0","4","1","0"
"4","ユニさんのお世話になっちゃった。\n","7","1070004","0","0","0","1","0","7"
"5","","7","1070005","0","3.28571428571429","0","4","1","0"
"6","","7","1070006","vo_10011600_0702","0","vo_10011600","2","0","0"
"7","クロエさんやチエルさんにからかわれているときとは全然違う、","7","1070007","0","0","0","1","0","8"
"8","","7","1070008","0","4.625","0","4","1","0"
"9","知的で、","7","1070009","0","0","0","1","0","8"
"10","","7","1070010","0","1.5","0","4","1","0"
"11","頼りになる姿をたくさん見た。","7","1070011","0","0","0","1","0","10"
"12","","7","1070012","0","2.4","0","4","1","0"
"13","","7","1070013","vo_10011600_0703","0","vo_10011600","2","0","0"
"14","てきぱきと指示する姿は","7","1070014","0","0","0","1","0","8"
"15","","7","1070015","0","2.375","0","4","1","0"
"16","ギルドマスターであるという貫禄たっぷり。","7","1070016","0","0","0","1","0","8"
"17","","7","1070017","0","3.5","0","4","1","0"
"18","","7","1070018","vo_10011600_0704","0","vo_10011600","2","0","0"
"19","ユニさんだったらきっと、","7","1070019","0","0","0","1","0","8"
"20","","7","1070020","0","2.25","0","4","1","0"
"21","ユニちゃんズの名前を世界中に広めることができると思う。\n\n","7","1070021","0","0","0","1","0","8"
"22","","7","1070022","0","6.625","0","4","1","0"
"23","","7","1070023","vo_10011600_0705","0","vo_10011600","2","0","0"
"24","あれ？","7","1070024","0","0","0","1","0","8"
"25","","7","1070025","0","1.125","0","4","1","0"
"26","　こんなギルド名だったっけ？","7","1070026","0","0","0","1","0","8"
"27","","7","1070027","0","2.75","0","4","1","0"
"1","","8","1080001","vo_10011600_0801","0","vo_10011600","2","0","0"
"2","　初めて会ったときは","8","1080002","0","0","0","1","0","8"
"3","","8","1080003","0","1.75","0","4","1","0"
"4","怖くて話しかけることさえも出来なかったクロエさん。","8","1080004","0","0","0","1","0","8"
"5","","8","1080005","0","4.125","0","4","1","0"
"6","","8","1080006","vo_10011600_0802","0","vo_10011600","2","0","0"
"7","だけど本当はとても優しくて、","8","1080007","0","0","0","1","0","8"
"8","","8","1080008","0","2.75","0","4","1","0"
"9","こんな私のことを気にかけてくれてることが伝わってきた。\n","8","1080009","0","0","0","1","0","8"
"10","","8","1080010","0","5.875","0","4","1","0"
"11","","8","1080011","vo_10011600_0803","0","vo_10011600","2","0","0"
"12","クロエさんのおかげで少しだけだけど、","8","1080012","0","0","0","1","0","8"
"13","","8","1080013","0","3.25","0","4","1","0"
"14","ク\nラスに受け入れてもらえた。\n","8","1080014","0","0","0","1","0","8"
"15","","8","1080015","0","4.25","0","4","1","0"
"16","","8","1080016","vo_10011600_0804","0","vo_10011600","2","0","0"
"17","クロエさんにはご家族がたくさんいるみたい。","8","1080017","0","0","0","1","0","8"
"18","","8","1080018","0","4.125","0","4","1","0"
"19","","8","1080019","vo_10011600_0805","0","vo_10011600","2","0","0"
"20","　確かに、","8","1080020","0","0","0","1","0","8"
"21","","8","1080021","0","1.625","0","4","1","0"
"22","今日のクロエさんは思わずお姉ちゃんと呼んじゃいそうだった！","8","1080022","0","0","0","1","0","8"
"23","","8","1080023","0","4.625","0","4","1","0"
"1","","9","1090001","vo_10011600_0901","0","vo_10011600","2","0","0"
"2","　ちぇるーん。","9","1090002","0","0","0","1","0","8"
"3","","9","1090003","0","3.875","0","4","1","0"
"4","","9","1090004","vo_10011600_0902","0","vo_10011600","2","0","0"
"5","この挨拶を言えるようになれば","9","1090005","0","0","0","1","0","8"
"6","","9","1090006","0","2.75","0","4","1","0"
"7","私もチエルさんみたいな","9","1090007","0","0","0","1","0","8"
"8","","9","1090008","0","2.375","0","4","1","0"
"9","明るくて友達もたくさんいる、","9","1090009","0","0","0","1","0","8"
"10","","9","1090010","0","2.75","0","4","1","0"
"11","私の理想の女性になれるのかな。\n","9","1090011","0","0","0","1","0","8"
"12","","9","1090012","0","4.375","0","4","1","0"
"13","","9","1090013","vo_10011600_0903","0","vo_10011600","2","0","0"
"14","でも","9","1090014","0","0","0","1","0","8"
"15","","9","1090015","0","1.25","0","4","1","0"
"16","この挨拶はまだ私には早いので、","9","1090016","0","0","0","1","0","8"
"17","","9","1090017","0","2.875","0","4","1","0"
"18","今日は書き取りだけしておこう。\n","9","1090018","0","0","0","1","0","8"
"19","","9","1090019","0","4.125","0","4","1","0"
"20","","9","1090020","vo_10011600_0904","0","vo_10011600","2","0","0"
"21","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","9","1090021","0","0","0","1","0","8"
"22","","9","1090022","0","4.125","0","4","1","0"
"23","","9","1090023","vo_10011600_0905","0","vo_10011600","2","0","0"
"24","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","9","1090024","0","0","0","1","0","8"
"25","","9","1090025","0","4.125","0","4","1","0"
"26","","9","1090026","vo_10011600_0906","0","vo_10011600","2","0","0"
"27","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん\n","9","1090027","0","0","0","1","0","8"
"28","","9","1090028","0","4.125","0","4","1","0"
"29","","9","1090029","vo_10011600_0907","0","vo_10011600","2","0","0"
"30","ちぇるーんちぇるーんちぇるーん","9","1090030","0","0","0","1","0","8"
"31","","9","1090031","0","2.875","0","4","1","0"
"1","","10","1100001","vo_10011600_1001","0","vo_10011600","2","0","0"
"2","　忘れてた忘れてた忘れてた！\n","10","1100002","0","0","0","1","0","8"
"3","","10","1100003","0","2.75","0","4","1","0"
"4","どうしよう特別講座！","10","1100004","0","0","0","1","0","8"
"5","","10","1100005","0","2.25","0","4","1","0"
"6","","10","1100006","vo_10011600_1002","0","vo_10011600","2","0","0"
"7","エルフの森から持ってきたマンドラゴラも逃げちゃったし、","10","1100007","0","0","0","1","0","8"
"8","","10","1100008","0","3.625","0","4","1","0"
"9","何の準備もしてないよ！\n","10","1100009","0","0","0","1","0","8"
"10","","10","1100010","0","2.375","0","4","1","0"
"11","","10","1100011","vo_10011600_1003","0","vo_10011600","2","0","0"
"12","……エルフの森が","10","1100012","0","0","0","1","0","8"
"13","","10","1100013","0","2","0","4","1","0"
"14","私を呼んでる気が……","10","1100014","0","0","0","1","0","8"
"15","","10","1100015","0","2.25","0","4","1","0"
"16","","10","1100016","vo_10011600_1004","0","vo_10011600","2","0","0"
"17","いやダメダメ、","10","1100017","0","0","0","1","0","8"
"18","","10","1100018","0","1.875","0","4","1","0"
"19","ミサト先生の期待を裏切るわけには！\n","10","1100019","0","0","0","1","0","8"
"20","","10","1100020","0","4.125","0","4","1","0"
"21","","10","1100021","vo_10011600_1005","0","vo_10011600","2","0","0"
"22","でも本当にどうしよう、","10","1100022","0","0","0","1","0","8"
"23","","10","1100023","0","3.125","0","4","1","0"
"24","","10","1100024","vo_10011600_1006","0","vo_10011600","2","0","0"
"25","こうなったら","10","1100025","0","0","0","1","0","8"
"26","","10","1100026","0","1.75","0","4","1","0"
"27","ぼっちライフをどう生き抜くかをまとめて","10","1100027","0","0","0","1","0","8"
"28","","10","1100028","0","3.375","0","4","1","0"
"29","発表してみようかな……？","10","1100029","0","0","0","1","0","8"
"30","","10","1100030","0","2.5","0","4","1","0"
"1","","11","1110001","vo_10011600_1101","0","vo_10011600","2","0","0"
"2","　特別講座、","11","1110002","0","0","0","1","0","8"
"3","","11","1110003","0","1.75","0","4","1","0"
"4","終了！\n","11","1110004","0","0","0","1","0","8"
"5","","11","1110005","0","2.625","0","4","1","0"
"6","","11","1110006","vo_10011600_1102","0","vo_10011600","2","0","0"
"7","結果は……","11","1110007","0","0","0","1","0","8"
"8","","11","1110008","0","1.625","0","4","1","0"
"9","成功、","11","1110009","0","0","0","1","0","8"
"10","","11","1110010","0","1.375","0","4","1","0"
"11","だと思う。","11","1110011","0","0","0","1","0","8"
"12","","11","1110012","0","3.125","0","4","1","0"
"13","","11","1110013","vo_10011600_1103","0","vo_10011600","2","0","0"
"14","　それもこれもすべては、","11","1110014","0","0","0","1","0","8"
"15","","11","1110015","0","2.5","0","4","1","0"
"16","手伝ってくれたあの人、","11","1110016","0","0","0","1","0","8"
"17","","11","1110017","0","1.875","0","4","1","0"
"18","そして","11","1110018","0","0","0","1","0","8"
"19","","11","1110019","0","0.875","0","4","1","0"
"20","なかよし部のみなさんのおかげだ。\n","11","1110020","0","0","0","1","0","8"
"21","","11","1110021","0","3","0","4","1","0"
"22","","11","1110022","vo_10011600_1104","0","vo_10011600","2","0","0"
"23","講座が終わった後、","11","1110023","0","0","0","1","0","8"
"24","","11","1110024","0","2.125","0","4","1","0"
"25","たくさんの人に囲まれて怖かったけど、","11","1110025","0","0","0","1","0","8"
"26","","11","1110026","0","3","0","4","1","0"
"27","","11","1110027","vo_10011600_1105","0","vo_10011600","2","0","0"
"28","でも私、","11","1110028","0","0","0","1","0","8"
"29","","11","1110029","0","1.5","0","4","1","0"
"30","いつもみたいに逃げたりしなかった！\n","11","1110030","0","0","0","1","0","8"
"31","","11","1110031","0","3.125","0","4","1","0"
"32","","11","1110032","vo_10011600_1106","0","vo_10011600","2","0","0"
"33","私も少しだけ……","11","1110033","0","0","0","1","0","8"
"34","","11","1110034","0","2","0","4","1","0"
"35","ほんのちょっとだけだけど、","11","1110035","0","0","0","1","0","8"
"36","","11","1110036","0","2.625","0","4","1","0"
"37","成長……","11","1110037","0","0","0","1","0","8"
"38","","11","1110038","0","1.5","0","4","1","0"
"39","できたのかな。","11","1110039","0","0","0","1","0","8"
"40","","11","1110040","0","1.875","0","4","1","0"
"1","","12","1120001","vo_10011600_1201","0","vo_10011600","2","0","0"
"2","　聖テレサ女学院に何の違和感もなく溶け込めるなんて、","12","1120002","0","0","0","1","0","8"
"3","","12","1120003","0","4.25","0","4","1","0"
"4","あの人はやっぱりすごい！\n","12","1120004","0","0","0","1","0","8"
"5","","12","1120005","0","3.5","0","4","1","0"
"6","","12","1120006","vo_10011600_1202","0","vo_10011600","2","0","0"
"7","　廊下を歩いてるとき、","12","1120007","0","0","0","1","0","8"
"8","","12","1120008","0","2.125","0","4","1","0"
"9","他の生徒はあの人を見て驚いた顔をするんだけど、","12","1120009","0","0","0","1","0","8"
"10","","12","1120010","0","3.375","0","4","1","0"
"11","あの人はにこやかに挨拶するんです！\n","12","1120011","0","0","0","1","0","8"
"12","","12","1120012","0","3.125","0","4","1","0"
"13","","12","1120013","vo_10011600_1203","0","vo_10011600","2","0","0"
"14","そこできゃあ、","12","1120014","0","0","0","1","0","8"
"15","","12","1120015","0","1.375","0","4","1","0"
"16","と言われても","12","1120016","0","0","0","1","0","8"
"17","","12","1120017","0","1.25","0","4","1","0"
"18","涼しい顔で手を振り返す！","12","1120018","0","0","0","1","0","8"
"19","","12","1120019","0","2.5","0","4","1","0"
"20","","12","1120020","vo_10011600_1204","0","vo_10011600","2","0","0"
"21","　挨拶さえもできない私とは大違い！\n\n","12","1120021","0","0","0","1","0","8"
"22","","12","1120022","0","4.625","0","4","1","0"
"23","","12","1120023","vo_10011600_1205","0","vo_10011600","2","0","0"
"24","早く私も","12","1120024","0","0","0","1","0","8"
"25","","12","1120025","0","1.25","0","4","1","0"
"26","あんなふうになりたいなぁ……","12","1120026","0","0","0","1","0","8"
"27","","12","1120027","0","2.5","0","4","1","0"
"1","","13","1130001","vo_10011600_1301","0","vo_10011600","2","0","0"
"2","　私が持ってきたマンドラゴラが大変なことに……\n","13","1130002","0","0","0","1","0","8"
"3","","13","1130003","0","4.875","0","4","1","0"
"4","","13","1130004","vo_10011600_1302","0","vo_10011600","2","0","0"
"5","だけど、","13","1130005","0","0","0","1","0","8"
"6","","13","1130006","0","1.25","0","4","1","0"
"7","あの人となかよし部のみなさんが力を貸してくれたおかげで、","13","1130007","0","0","0","1","0","8"
"8","","13","1130008","0","4","0","4","1","0"
"9","大きな\n被害が出る前に食い止めることができた。","13","1130009","0","0","0","1","0","8"
"10","","13","1130010","0","5","0","4","1","0"
"11","","13","1130011","vo_10011600_1303","0","vo_10011600","2","0","0"
"12","　みなさんは","13","1130012","0","0","0","1","0","8"
"13","","13","1130013","0","1.45","0","4","1","0"
"14","下心があったなんて言ってたけど、","13","1130014","0","0","0","1","0","8"
"15","","13","1130015","0","2.75","0","4","1","0"
"16","そんなことは関係ないと思う。\n","13","1130016","0","0","0","1","0","8"
"17","","13","1130017","0","3.25","0","4","1","0"
"18","","13","1130018","vo_10011600_1304","0","vo_10011600","2","0","0"
"19","こうして一緒に戦うことができて、","13","1130019","0","0","0","1","0","8"
"20","","13","1130020","0","2.75","0","4","1","0"
"21","私は嬉しかった。\n","13","1130021","0","0","0","1","0","8"
"22","","13","1130022","0","2.5","0","4","1","0"
"23","","13","1130023","vo_10011600_1305","0","vo_10011600","2","0","0"
"24","なんだか……","13","1130024","0","0","0","1","0","8"
"25","","13","1130025","0","1.75","0","4","1","0"
"26","仲間、","13","1130026","0","0","0","1","0","8"
"27","","13","1130027","0","1.375","0","4","1","0"
"28","になれたみたいで。","13","1130028","0","0","0","1","0","8"
"29","","13","1130029","0","2.125","0","4","1","0"
"1","","14","1140001","vo_10011600_1401","0","vo_10011600","2","0","0"
"2","　今日は","14","1140002","0","0","0","1","0","8"
"3","","14","1140003","0","1.5","0","4","1","0"
"4","聖テレサ女学院に通う最終日","14","1140004","0","0","0","1","0","7"
"5","","14","1140005","0","3.60714285714286","0","4","1","0"
"6","……だった。\n","14","1140006","0","0","0","1","0","8"
"7","","14","1140007","0","3.25","0","4","1","0"
"8","","14","1140008","vo_10011600_1402","0","vo_10011600","2","0","0"
"9","最初にミサト先生からお願いされたときは","14","1140009","0","0","0","1","0","8"
"10","","14","1140010","0","3.375","0","4","1","0"
"11","絶対ムリだと思ってた。","14","1140011","0","0","0","1","0","8"
"12","","14","1140012","0","3.125","0","4","1","0"
"13","","14","1140013","vo_10011600_1403","0","vo_10011600","2","0","0"
"14","　だけど今は名残惜しくて、","14","1140014","0","0","0","1","0","8"
"15","","14","1140015","0","2.625","0","4","1","0"
"16","こうして日記を書いている。\n","14","1140016","0","0","0","1","0","8"
"17","","14","1140017","0","3.375","0","4","1","0"
"18","","14","1140018","vo_10011600_1404","0","vo_10011600","2","0","0"
"19","　目を閉じると、","14","1140019","0","0","0","1","0","8"
"20","","14","1140020","0","2","0","4","1","0"
"21","あの人や","14","1140021","0","0","0","1","0","8"
"22","","14","1140022","0","1.5","0","4","1","0"
"23","なかよし部のみなさん、","14","1140023","0","0","0","1","0","8"
