af14ae66b9f6988d443a5096f4d6352d95060c159e58357e1dca13d28cbd3ff6,ed42b429ba24b4c16e021d61d7baa92aa2a474e809ed66b696d1b3b72b642961,a0742052eb9a910f25978d2692cda04188010cfbe0d961dcc5bc968354fc08d8,53904f221c885ceb1bfe11a9e487fd0abc1fdae59b07dbcc40b8f4af247def77,b8e7162ab1659fc394d288fdc67c4c1d6c8c62d3c1767034305986c78655c969,339a3814a423f78a771639d6123447fd082a6e53630f85c674e882068e4da251,b264f20778ebdb1bf2d858d3c79b4efd9392f2b743d68ad2cea6820326158813,349edff7762b733972f5111edcc56b5a48018c8ab201448f3f65cc707383c2d6,6a5bf4052d32202999b413cbac81b4db582d11ea68040e451757e93e49af4f98,cf9216aa71d98a14a2f043eff622567c471a37b64dcfca8bbac13eeb1859d966,a3144c0d32ae47d097c180048f687778816af4e9753016d6d16d5af7f58749be,07b1b8be46bba23e8f9e1a8f66488b3d4495616365c95cdff31c3ed37fdeafa9,a108bd06493723a91a9e7081fe6f5bae9ff85d896f272d46edd21d74acf82a8c,cc0357d43e3c2b9fff9e25506db9b37277d29aa7d34d5b15751ac16df346574f,bc3173ca25a723e39c6b2e97d489d5575dc6bf2b392f793e795ccf15f5f3b327,92492a264eb284a1c18a107c318d5acd93c434b74fa92d770d69f2028f9704c5
"リノ","A","0","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","ラビリンス","3","阿澄佳奈","人懐っこくてマシンガントークな妹系少女","ヒューマン","101101","8","お裁縫","156","15","25","44"
"ハツネ","A","0","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","フォレスティエ","6","大橋彩香","みんなのために超能力を使う眠り姫","エルフ","101201","12","妹と遊ぶこと、二度寝、昼寝、早寝","156","17","24","46"
"ナナカ","O","0","","トワイライトキャラバン","13","佳村はるか","オタク全開な魔法少女","魔族","101301","8","読書、魔法","166","18","21","55"
"カスミ","AB","0","test","自警団（カォン）","10","水瀬いのり","頭脳明晰な美少女名探偵","獣人族","101401","11","読書、推理","152","15","3","41"
"ミサト","O","0","test","フォレスティエ","6","國府田マリ子","母性溢れる優しいみんなの「ミサト先生」","エルフ","101501","9","絵本作り","165","21","5","54"
"スズナ","O","0","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","ルーセント学院","14","上坂すみれ","天真爛漫で人気者のカリスマモデル","魔族","101601","4","ファッション","167","18","10","48"
"カオリ","A","0","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","自警団（カォン）","10","高森奈津美","いつでも「なんくるないさ～」な天然娘","獣人族","101701","7","踊り、空手","158","19","7","53"
"イオ","B","0","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","ルーセント学院","14","伊藤静","多くの男性を魅了する無垢な女教師","魔族","101801","8","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","162","23","14","52"
"ミミ","O","0","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","リトルリリカル","5","日高里菜","お歌もにんじんも、ウサギさんも大好き♪","獣人族","102001","4","かわいいもの集め","117","10","3","21"
"クルミ","B","0","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","サレンディア救護院","9","植田佳奈","泣き虫で臆病な守ってあげたい女の子","ヒューマン","102101","6","観劇、おままごと","150","12","9","40"
"ヨリ","O","0","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","悪魔偽王国軍（ディアボロス）","7","原紗友里","人見知りであまのじゃくな女の子","魔族","102201","11","ゲーム全般","150","13","22","40"
"アヤネ","B","0","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","サレンディア救護院","9","芹澤優","ぷうきちといつも一緒！","ヒューマン","102301","5","屋内でできる遊び","148","14","10","38"
"スズメ","O","0","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","サレンディア救護院","9","悠木碧","お嬢さまのためにがんばるドジっ娘メイド","ヒューマン","102501","12","ご奉仕","154","15","12","43"
"リン","B","0","test","牧場（エリザベスパーク）","11","小岩井ことり","遊びと睡眠が何より大事なぐうたら娘","獣人族","102601","1","あんパン","144","17","1","42"
"エリコ","B","0","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","トワイライトキャラバン","13","橋本ちなみ","運命の相手に一途すぎる乙女","魔族","102701","7","実験、裁縫、料理","154","16","30","43"
"サレン","A","0","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","サレンディア救護院","9","堀江由衣","救護院を経営する優しい庶民派お嬢様","エルフ","102801","10","経営、お茶会","156","17","4","43"
"ノゾミ","B","0","いつか世界中の人達をファンにしてみせる！\nトップアイドルになるその日まで、\n応援よろしくね♪","カルミナ","4","日笠陽子","歌って踊れる大人気アイドル","ヒューマン","102901","1","舞台鑑賞、ダンス","157","17","24","40"
"ニノン","O","0","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","ヴァイスフリューゲル　ランドソル支部","15","佐藤聡美","トーゴクの神秘、オシエテクダサイ！","ヒューマン","103001","8","忍法開発","163","16","31","51"
"シノブ","AB","0","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","悪魔偽王国軍（ディアボロス）","7","大坪由佳","占いが得意な霊能少女","魔族","103101","12","占い","157","18","22","42"
"アキノ","AB","0","この私とともにいる限り、\nお金に不自由はさせませんわ！","メルクリウス財団","12","松嵜麗","一人前の商人を目指すパワフルお嬢様","ヒューマン","103201","3","慈善事業","157","18","12","45"
"マヒル","B","0","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","牧場（エリザベスパーク）","11","新田恵海","みんなを笑顔にするお笑い牧場主","ヒューマン","103301","3","漫才","142","20","3","35"
"ユカリ","A","0","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","メルクリウス財団","12","今井麻美","純情でほっとけない大人の女性","エルフ","103401","3","ウインドーショッピング","164","22","16","55"
"キョウカ","A","0","test","リトルリリカル","5","小倉唯","礼儀正しくしっかり者のちびっ子優等生","エルフ","103601","2","お勉強","118","8","2","21"
"トモ","A","0","test","王宮騎士団（NIGHTMARE）","8","茅原実里","義理堅くてからかい好きな剣術少女","ヒューマン","103701","8","剣術、年長者をからかう","149","13","11","43"
"シオリ","A","0","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","牧場（エリザベスパーク）","11","小清水亜美","読書が趣味の病弱少女","獣人族","103801","11","読書、お散歩","153","14","3","40"
"アオイ","AB","0","友達ができるその日まで…\nBB団で\nトレーニングですっ！","フォレスティエ","6","花澤香菜","「友達」に憧れる、エルフの森の女の子","エルフ","104001","6","友達作りのイメトレ","158","13","6","44"
"チカ","O","0","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","カルミナ","4","福原綾香","人々を守るために歌う、唱喚士の少女","ヒューマン","104201","6","各種楽器","163","17","3","46"
"マコト","O","0","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","自警団（カォン）","10","小松未可子","男勝りで情に厚いワイルド娘","獣人族","104301","8","お菓子作り","168","17","9","54"
"イリヤ","A","0","test","悪魔偽王国軍（ディアボロス）","7","丹下桜","かつては夜を支配した最強の吸血鬼","魔族","104401","5","世界征服","172","??","5","50"
"クウカ","AB","0","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","ヴァイスフリューゲル　ランドソル支部","15","長妻樹里","妄想大好き！　ほんとは照れ屋な女の子","ヒューマン","104501","11","小説を読むこと","157","18","19","49"
"タマキ","AB","0","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","メルクリウス財団","12","沼倉愛美","弱きを助け強きをくじく猫娘","獣人族","104601","3","猫とたわむれること","158","18","1","48"
"ジュン","A","0","？？？","王宮騎士団（NIGHTMARE）","8","川澄綾子","素顔を見せない冷静沈着な女性騎士","ヒューマン","104701","10","格闘技、湯浴み","171","25","25","50"
"ミフユ","O","0","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","メルクリウス財団","12","田所あずさ","仕事も私事も効率優先な傭兵少女","ヒューマン","104801","11","傭兵などのアルバイト","163","20","11","49"
"シズル","O","0","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","ラビリンス","3","生天目仁美","お姉ちゃんがお世話してあげるからねっ！","ヒューマン","104901","10","家事全般","168","18","24","54"
"ミサキ","A","0","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","ルーセント学院","14","久野美咲","ちょっとおませな恋に恋する女の子","魔族","105001","1","ファッション誌鑑賞、コスメ集め","120","11","3","22"
"ミツキ","A","0","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","トワイライトキャラバン","13","三石琴乃","実験が趣味の危険な科学者","ヒューマン","105101","3","研究、実験","166","27","7","53"
"リマ","A","0","私、ごく普通の、どこにでもいる女の子よ！\nみ、見た目以外はね…","牧場（エリザベスパーク）","11","徳井青空","乙女チックなもふもふアニマル","獣人族","105201","3","毛繕い、お喋り","150","18","14","100"
"モニカ","A","0","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","ヴァイスフリューゲル　ランドソル支部","15","辻あゆみ","見た目も中身もお子ちゃまな異国の軍人","ヒューマン","105301","7","お菓子屋通い","140","18","28","33"
"ツムギ","AB","0","test","カルミナ","4","木戸衣吹","ファッション大好きなキュートガール","ヒューマン","105401","9","裁縫","153","14","7","45"
"アユミ","O","0","test","ヴァイスフリューゲル　ランドソル支部","15","大関英里","どこまでも一途に慕う、純情乙女","エルフ","105501","4","観察","155","16","7","43"
"ルカ","B","0","test","トワイライトキャラバン","13","佐藤利奈","人情味溢れる粋でいなせな「姉御」","ヒューマン","105601","7","釣り","167","25","11","54"
"ジータ","O","0","私ね、一人前の騎空士になりたいんだ\nいつか父さんみたいな騎空士になって、\n空の果てまで旅する。それが私の夢だよ！","？？？","","金元寿子","空への冒険を夢見る騎空士の少女","ヒューマン","105701","3","冒険、おしゃべり","156","17","10","45"
"ペコリーヌ","O","0","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","美食殿","1","M・A・O","いつも元気な腹ペコ少女","ヒューマン","105801","3","食べ歩き、料理","156","17","31","46"
"コッコロ","B","0","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","美食殿","1","伊藤美来","主を慕う、小さなガイド役","エルフ","105901","5","瞑想、動植物の飼育","140","11","11","35"
"キャル","A","0","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","美食殿","1","立花理香","行き倒れの謎のネコミミ魔法使い","獣人族","106001","9","猫と遊ぶ","152","14","2","39"
"ムイミ","O","0","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","？？？","","潘めぐみ","さまよえる謎の少女","ヒューマン","106101","8","冒険、思い出話","148","16","11","40"
"アリサ","O","0","","？？？","","優木かな","森番を目指すエルフの少女","エルフ","106301","6","キレイな葉っぱを集めること","155","15","17","42"
"シェフィ","B","0","","美食殿","1","近藤玲奈","記憶喪失のドラゴン娘","ドラゴン族","106401","12","読書、ストレッチ","147","14","14","???"
"カヤ","B","0","","ドラゴンズネスト","17","小市眞琴","拳で語る喧嘩屋ドラゴン少女","ドラゴン族","106501","6","格闘技","156","16","25","???"
"イノリ","AB","0","","ドラゴンズネスト","17","藤田茜","口が達者なヘタレドラゴン","ドラゴン族","106601","9","ゲーム","145","13","29","???"
"ホマレ","O","0","","ドラゴンズネスト","17","大西沙織","妖しい微笑で全てを見透かす臥竜の頭領","ドラゴン族","106701","4","絵画、読書","168","25","17","???"
"ラビリスタ","AB","0","","ラビリンス","3","沢城みゆき","秘密結社ラビリンスの『迷宮女王』","ヒューマン","106801","7","人間観察","160","25","25","??"
"カイザーインサイト","AB","0","","？？？","","蒼井翔太","謎に包まれたランドソルの主","獣人族","106901","7","占い、支配","166","29","1","??"
"ネネカ","O","0","","？？？","","井口裕香","研究所に隠れ住む物静かなお姉さん","エルフ","107001","3","物真似、芸術鑑賞","149","24","24","??"
"クリスティーナ","O","0","","王宮騎士団（NIGHTMARE）","8","たかはし智秋","傍若無人な王宮騎士団副団長","ヒューマン","107101","2","強敵との闘争","165","27","7","??"
"ペコリーヌ（サマー）","O","0","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","美食殿","1","M・A・O","いつも元気な腹ペコ少女","ヒューマン","107501","3","食べ歩き、料理","156","17","31","46"
"コッコロ（サマー）","B","0","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","美食殿","1","伊藤美来","主を慕う、小さなガイド役","エルフ","107601","5","瞑想、動植物の飼育","140","11","11","35"
"スズメ（サマー）","O","0","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","サレンディア救護院","9","悠木碧","お嬢さまのためにがんばるドジっ娘メイド","ヒューマン","107701","12","ご奉仕","154","15","12","43"
"キャル（サマー）","A","0","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","美食殿","1","立花理香","行き倒れの謎のネコミミ魔法使い","獣人族","107801","9","猫と遊ぶ","152","14","2","39"
"タマキ（サマー）","AB","0","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","メルクリウス財団","12","沼倉愛美","弱きを助け強きをくじく猫娘","獣人族","107901","3","猫とたわむれること","158","18","1","48"
"ミフユ（サマー）","O","0","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","メルクリウス財団","12","田所あずさ","仕事も私事も効率優先な傭兵少女","ヒューマン","108001","11","傭兵などのアルバイト","163","20","11","49"
"シノブ（ハロウィン）","AB","0","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","悪魔偽王国軍（ディアボロス）","7","大坪由佳","占いが得意な霊能少女","魔族","108101","12","占い","157","18","22","42"
"ミヤコ（ハロウィン）","B","0","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","悪魔偽王国軍（ディアボロス）","7","雨宮天","プリン大好きゴースト娘","魔族","108201","1","プリンを食べること","130","14","23","32"
"ミサキ（ハロウィン）","A","0","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","ルーセント学院","14","久野美咲","ちょっとおませな恋に恋する女の子","魔族","108301","1","ファッション誌鑑賞、コスメ集め","120","11","3","22"
"チカ（クリスマス）","O","0","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","カルミナ","4","福原綾香","人々を守るために歌う、唱喚士の少女","ヒューマン","108401","6","各種楽器","163","17","3","46"
"クルミ（クリスマス）","B","0","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","サレンディア救護院","9","植田佳奈","泣き虫で臆病な守ってあげたい女の子","ヒューマン","108501","6","観劇、おままごと","150","12","9","40"
"アヤネ（クリスマス）","B","0","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","サレンディア救護院","9","芹澤優","ぷうきちといつも一緒！","ヒューマン","108601","5","屋内でできる遊び","148","14","10","38"
"ヒヨリ（ニューイヤー）","A","0","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","トゥインクルウィッシュ","2","東山奈央","人助けが大好き！　前向き格闘娘","獣人族","108701","8","人助け、応援","155","16","27","44"
"ユイ（ニューイヤー）","O","0","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","トゥインクルウィッシュ","2","種田梨沙","戦闘のサポートが得意な、心優しい少女","ヒューマン","108801","4","料理、人間観察","158","17","5","47"
"レイ（ニューイヤー）","B","0","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","トゥインクルウィッシュ","2","早見沙織","クールで何事にも真っ直ぐな剣士","魔族","108901","1","読書、乗馬、お茶","163","18","12","46"
"エリコ（バレンタイン）","B","0","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","トワイライトキャラバン","13","橋本ちなみ","運命の相手に一途すぎる乙女","魔族","109001","7","実験、裁縫、料理","154","16","30","43"
"シズル（バレンタイン）","O","0","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","ラビリンス","3","生天目仁美","お姉ちゃんがお世話してあげるからねっ！","ヒューマン","109101","10","家事全般","168","18","24","54"
"アン","AB","0","私はアン！一応、マナリア王国の\n第一王女だけど…あまりかしこまらないで、\n気軽に仲良くしてくれたら嬉しいな！","？？？","","日笠陽子","英霊と契約を結んだマナリアの天才王女","ヒューマン","109201","12","読書","156","17","1","55"
"ルゥ","O","0","ルゥはルゥですぅ！マナリア魔法学院に\n通ってるですぅ。あなたもルゥの\nお友だちになってくれるですか？","？？？","","こやまきみこ","マナリア魔法学院の新入生","ヒューマン","109301","2","食べること、眠ること","144","15","4","45"
"グレア","B","0","私はグレア。竜と人、両方の血を\n受け継いでいるの…\nえっと…よ、よろしくね","？？？","","福原綾香","人を超越した力を有す心優しい竜姫","半人半竜","109401","11","ピアノ","167","17","3","67"
"クウカ（オーエド）","AB","0","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","ヴァイスフリューゲル　ランドソル支部","15","長妻樹里","妄想大好き！　ほんとは照れ屋な女の子","ヒューマン","109501","11","小説を読むこと","157","18","19","49"
"ニノン（オーエド）","O","0","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","ヴァイスフリューゲル　ランドソル支部","15","佐藤聡美","トーゴクの神秘、オシエテクダサイ！","ヒューマン","109601","8","忍法開発","163","16","31","51"
"レム","?","0","","？？？","","水瀬いのり","鬼がかりの万能妹メイド","鬼族","109701","2","演劇鑑賞、詩文","154","17","2","??"
"ラム","?","0","","？？？","","村川梨衣","毒舌系鬼姉メイド","鬼族","109801","2","読書","154","17","2","??"
"エミリア","?","0","","？？？","","高橋李依","銀髪のおっとりハーフエルフ","ハーフエルフ","109901","9","パックの毛繕い、勉強","164","114","23","??"
"スズナ（サマー）","O","0","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","ルーセント学院","14","上坂すみれ","天真爛漫で人気者のカリスマモデル","魔族","110001","4","ファッション","167","18","10","48"
"イオ（サマー）","B","0","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","ルーセント学院","14","伊藤静","多くの男性を魅了する無垢な女教師","魔族","110101","8","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","162","23","14","52"
"ミサキ（サマー）","A","0","","ルーセント学院","14","久野美咲","ちょっとおませな恋に恋する女の子","魔族","110201","1","ファッション誌鑑賞、コスメ集め","120","11","3","22"
"サレン（サマー）","A","0","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","サレンディア救護院","9","堀江由衣","救護院を経営する優しい庶民派お嬢様","エルフ","110301","10","経営、お茶会","156","17","4","43"
"マコト（サマー）","O","0","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","自警団（カォン）","10","小松未可子","男勝りで情に厚いワイルド娘","獣人族","110401","8","お菓子作り","168","17","9","54"
"カオリ（サマー）","A","0","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","自警団（カォン）","10","高森奈津美","いつでも「なんくるないさ～」な天然娘","獣人族","110501","7","踊り、空手","158","19","7","53"
"マホ（サマー）","O","0","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","自警団（カォン）","10","内田真礼","マホマホ王国のプリンセス","獣人族","110601","9","空想、ぬいぐるみ集め","155","16","22","42"
"アオイ（編入生）","AB","0","","フォレスティエ","6","花澤香菜","「友達」に憧れる、エルフの森の女の子","エルフ","110701","6","友達作りのイメトレ","158","13","6","44"
"クロエ","O","0","","聖テレサ女学院（なかよし部）","16","種﨑敦美","ダウンタウン育ちのダウナー系エルフ","エルフ","110801","8","ダーツ","154","17","7","42"
"チエル","O","0","","聖テレサ女学院（なかよし部）","16","佐倉綾音","自由奔放ナチュラル無礼な現代っ子","ヒューマン","110901","9","ダンス、カラオケ","156","16","15","46"
"ユニ","O","0","","聖テレサ女学院（なかよし部）","16","小原好美","書庫に眠れる小さな賢人","ヒューマン","111001","2","読書","142","18","28","36"
"キョウカ（ハロウィン）","A","0","","リトルリリカル","5","小倉唯","礼儀正しくしっかり者のちびっ子優等生","エルフ","111101","2","お勉強","118","8","2","21"
"ミソギ（ハロウィン）","O","0","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","リトルリリカル","5","諸星すみれ","探検好きのイタズラっ子","ヒューマン","111201","8","いたずら、探検","128","9","10","27"
"ミミ（ハロウィン）","O","0","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","リトルリリカル","5","日高里菜","お歌もにんじんも、ウサギさんも大好き♪","獣人族","111301","4","かわいいもの集め","117","10","3","21"
"ルナ","?","0","","？？？","","小倉唯","おともだちを探す死霊術師の少女","ヒューマン","111401","?","「おともだち」を探すこと","142","??","?","28"
"クリスティーナ（クリスマス）","O","0","","王宮騎士団（NIGHTMARE）","8","たかはし智秋","傍若無人な王宮騎士団副団長","ヒューマン","111501","2","強敵との闘争","165","27","7","??"
"ノゾミ（クリスマス）","B","0","","カルミナ","4","日笠陽子","歌って踊れる大人気アイドル","ヒューマン","111601","1","舞台鑑賞、ダンス","157","17","24","40"
"イリヤ（クリスマス）","A","0","","悪魔偽王国軍（ディアボロス）","7","丹下桜","かつては夜を支配した最強の吸血鬼","魔族","111701","5","世界征服","172","??","5","50"
"ぺコリーヌ（ニューイヤー）","O","0","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","美食殿","1","M・A・O","いつも元気な腹ペコ少女","ヒューマン","111801","3","食べ歩き、料理","156","17","31","46"
"コッコロ（ニューイヤー）","B","0","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","美食殿","1","伊藤美来","主を慕う、小さなガイド役","エルフ","111901","5","瞑想、動植物の飼育","140","11","11","35"
"キャル（ニューイヤー）","A","0","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","美食殿","1","立花理香","行き倒れの謎のネコミミ魔法使い","獣人族","112001","9","猫と遊ぶ","152","14","2","39"
