153985bc0c038c533303496d9a90cce6b4cef24ef652b5129540e95232779246,680a49637243ac07e06daf08931a30e972f14b360f5bdce0f901a9fba3afdf49,05a9311b3408870e71e6c91dbf5443b0596ae31a3b096bc20dba8225992a92df,07a7881ca496ce019451f80ca92b3e49750629b3540c24235d9dc3f20da47270,383a9c9d884b9180845b4167966acac4fa659ca77f2bbd65ebd5d172fbeee976,3ee6df5b40fc8eae19d4160ceeb48f813c35f2d8f6d9f225b231c9270240cabf,653dded330ab23659b3f699a240bcd2ec8f72eed0dbcabb8d4217cd382b23041,f64e658f099cefdd4485c229943af72951f3669e52e3cf6e4aefaa49b3061705,aa1de190aa690d4eb92aefe3d5fb488deb665bad7e354d31fcc99846fedfdd28,84f04d9b0b3d68354638c26a13d8bdda591f603a4410d84a53efb52b389bffb6
"　ごきげんようという挨拶で","0","8","1020002","1","0","0","0","2","2"
"","1","0","1020003","4","0","0","2.375","2","3"
"私のぼっち心は最初から爆発寸前。\n","0","8","1020004","1","0","0","0","2","4"
"","1","0","1020005","4","0","0","4","2","5"
"","0","0","1020006","2","vo_10011600","vo_10011600_0202","0","2","6"
"ところが、","0","8","1020007","1","0","0","0","2","7"
"","1","0","1020008","4","0","0","1.125","2","8"
"なんとそこにBB団の団長さんが登場！","0","8","1020009","1","0","0","0","2","9"
"","1","0","1020010","4","0","0","3.75","2","10"
"","0","0","1020011","2","vo_10011600","vo_10011600_0203","0","2","11"
"　BB団の絆は","0","8","1020012","1","0","0","0","2","12"
"","1","0","1020013","4","0","0","1.875","2","13"
"どんな場所だろうと離れることはないんですね！\n","0","8","1020014","1","0","0","0","2","14"
"","1","0","1020015","4","0","0","3.75","2","15"
"","0","0","1020016","2","vo_10011600","vo_10011600_0204","0","2","16"
"そして、","0","8","1020017","1","0","0","0","2","17"
"","1","0","1020018","4","0","0","1","2","18"
"あの人と一緒にやってきた","0","8","1020019","1","0","0","0","2","19"
"","1","0","1020020","4","0","0","2","2","20"
"聖テレサ女学院","0","8","1020021","1","0","0","0","2","21"
"","1","0","1020022","4","0","0","1.125","2","22"
"（なかよし部）のみなさんとお知り合いに。","0","8","1020023","1","0","0","0","2","23"
"","1","0","1020024","4","0","0","3.5","2","24"
"","0","0","1020025","2","vo_10011600","vo_10011600_0205","0","2","25"
"　なんだかとても個性的な方々で、","0","8","1020026","1","0","0","0","2","26"
"","1","0","1020027","4","0","0","3","2","27"
"仲良くなれるか心配……","0","6","1020028","1","0","0","0","2","28"
"","1","0","1020029","4","0","0","2.83333333333333","2","29"
"","0","0","1030001","2","vo_10011600","vo_10011600_0301","0","3","1"
"　やっちゃった。","0","8","1030002","1","0","0","0","3","2"
"","1","0","1030003","4","0","0","3","3","3"
"","0","0","1030004","2","vo_10011600","vo_10011600_0302","0","3","4"
"　自己紹介というぼっちの前に立ちふさがる巨大な壁。","0","8","1030005","1","0","0","0","3","5"
"","1","0","1030006","4","0","0","5.125","3","6"
"","0","0","1030007","2","vo_10011600","vo_10011600_0303","0","3","7"
"　何度もイメージトレーニングしたのに、","0","8","1030008","1","0","0","0","3","8"
"","1","0","1030009","4","0","0","2.625","3","9"
"ものの見事に玉砕しちゃった。","0","8","1030010","1","0","0","0","3","10"
"","1","0","1030011","4","0","0","2.75","3","11"
"","0","0","1030012","2","vo_10011600","vo_10011600_0304","0","3","12"
"　クラスメイトのみんなの目がこっちを向いた瞬間、","0","8","1030013","1","0","0","0","3","13"
"","1","0","1030014","4","0","0","3.5","3","14"
"頭の中は真っ白、","0","8","1030015","1","0","0","0","3","15"
"","1","0","1030016","4","0","0","2","3","16"
"また訳の分からないことを口にしちゃった。\n","0","10","1030017","1","0","0","0","3","17"
"","1","0","1030018","4","0","0","4.5","3","18"
"","0","0","1030019","2","vo_10011600","vo_10011600_0305","0","3","19"
"みんなは楽しそうに笑ってくれたけど、","0","8","1030020","1","0","0","0","3","20"
"","1","0","1030021","4","0","0","3","3","21"
"これから先が不安……","0","8","1030022","1","0","0","0","3","22"
"","1","0","1030023","4","0","0","2.25","3","23"
"","0","0","1040001","2","vo_10011600","vo_10011600_0401","0","4","1"
"　ユニさんは","0","8","1040002","1","0","0","0","4","2"
"","1","0","1040003","4","0","0","1.75","4","3"
"とっても頭がいい人みたい。","0","8","1040004","1","0","0","0","4","4"
"","1","0","1040005","4","0","0","2.625","4","5"
"","0","0","1040006","2","vo_10011600","vo_10011600_0402","0","4","6"
"　なんだか難しい言葉をよく使ってるんだけど、","0","8","1040007","1","0","0","0","4","7"
"","1","0","1040008","4","0","0","3.75","4","8"
"理解できない単語があったりするし、","0","8","1040009","1","0","0","0","4","9"
"","1","0","1040010","4","0","0","3.125","4","10"
"これからは辞書を持ち歩こうかな？\n","0","8","1040011","1","0","0","0","4","11"
"","1","0","1040012","4","0","0","4","4","12"
"","0","0","1040013","2","vo_10011600","vo_10011600_0403","0","4","13"
"　象牙の塔っていう場所でいつも研究をしてて、","0","8","1040014","1","0","0","0","4","14"
"","1","0","1040015","4","0","0","3.75","4","15"
"普段はそこからほとんど出ないらし\nく、","0","8","1040016","1","0","0","0","4","16"
"","1","0","1040017","4","0","0","3.25","4","17"
"私と同じぼっちの匂いがします。","0","8","1040018","1","0","0","0","4","18"
"","1","0","1040019","4","0","0","3.375","4","19"
"","0","0","1040020","2","vo_10011600","vo_10011600_0404","0","4","20"
"　ぼっちはぼっちを呼ぶ、","0","8","1040021","1","0","0","0","4","21"
"","1","0","1040022","4","0","0","2.5","4","22"
"と","0","8","1040023","1","0","0","0","4","23"
"","1","0","1040024","4","0","0","1.125","4","24"
"誰が言ったのか知らないけど、","0","8","1040025","1","0","0","0","4","25"
"","1","0","1040026","4","0","0","2.75","4","26"
"もしかしたら……\n","0","8","1040027","1","0","0","0","4","27"
"","1","0","1040028","4","0","0","2","4","28"
"","0","0","1040029","2","vo_10011600","vo_10011600_0405","0","4","29"
"同じ宿命を持つ者同士、","0","8","1040030","1","0","0","0","4","30"
"","1","0","1040031","4","0","0","2.375","4","31"
"仲良くなれるかも？","0","8","1040032","1","0","0","0","4","32"
"","1","0","1040033","4","0","0","2.125","4","33"
"","0","0","1050001","2","vo_10011600","vo_10011600_0501","0","5","1"
"　クロエさんは私と同じ","0","8","1050002","1","0","0","0","5","2"
"","1","0","1050003","4","0","0","1.875","5","3"
"エルフ、","0","8","1050004","1","0","0","0","5","4"
"","1","0","1050005","4","0","0","1.5","5","5"
"なんだけど……","0","8","1050006","1","0","0","0","5","6"
"","1","0","1050007","4","0","0","1.625","5","7"
"雰囲気が少し、","0","8","1050008","1","0","0","0","5","8"
"","1","0","1050009","4","0","0","1.375","5","9"
"独特な人。\n","0","8","1050010","1","0","0","0","5","10"
"","1","0","1050011","4","0","0","2.625","5","11"
"","0","0","1050012","2","vo_10011600","vo_10011600_0502","0","5","12"
"もしかしたら同じエルフ同士で仲良くなれるかも、","0","8","1050013","1","0","0","0","5","13"
"","1","0","1050014","4","0","0","3.625","5","14"
"と思ったりもしたんだけど、","0","8","1050015","1","0","0","0","5","15"
"","1","0","1050016","4","0","0","2.125","5","16"
"そもそも話しかけられない！\n","0","8","1050017","1","0","0","0","5","17"
"","1","0","1050018","4","0","0","3.125","5","18"
"","0","0","1050019","2","vo_10011600","vo_10011600_0503","0","5","19"
"あの人が言うには","0","8","1050020","1","0","0","0","5","20"
"","1","0","1050021","4","0","0","1.65","5","21"
"世話焼きで優しい、","0","8","1050022","1","0","0","0","5","22"
"","1","0","1050023","4","0","0","1.625","5","23"
"らしいんだけど……\n","0","8","1050024","1","0","0","0","5","24"
"","1","0","1050025","4","0","0","3.125","5","25"
"","0","0","1050026","2","vo_10011600","vo_10011600_0504","0","5","26"
"そういえばあの、","0","8","1050027","1","0","0","0","5","27"
"","1","0","1050028","4","0","0","2","5","28"
"ぷー……","0","8","1050029","1","0","0","0","5","29"
"","1","0","1050030","4","0","0","1.5","5","30"
"っていうため息（？）、","0","8","1050031","1","0","0","0","5","31"
"","1","0","1050032","4","0","0","2.375","5","32"
"","0","0","1050033","2","vo_10011600","vo_10011600_0505","0","5","33"
"とても言えないけど……\n","0","8","1050034","1","0","0","0","5","34"
"","1","0","1050035","4","0","0","2.375","5","35"
"なんかかわいいな、","0","8","1050036","1","0","0","0","5","36"
"","1","0","1050037","4","0","0","1.375","5","37"
"と思っちゃった。","0","8","1050038","1","0","0","0","5","38"
"","1","0","1050039","4","0","0","1","5","39"
"","0","0","1060001","2","vo_10011600","vo_10011600_0601","0","6","1"
"　チエルさんはリア充。","0","8","1060002","1","0","0","0","6","2"
"","1","0","1060003","4","0","0","2.375","6","3"
"間違いない。\n","0","8","1060004","1","0","0","0","6","4"
"","1","0","1060005","4","0","0","2.5","6","5"
"","0","0","1060006","2","vo_10011600","vo_10011600_0602","0","6","6"
"かわいらしくて友達いっぱい、","0","8","1060007","1","0","0","0","6","7"
"","1","0","1060008","4","0","0","2.5","6","8"
"私のようなぼっちとは対極の人。","0","8","1060009","1","0","0","0","6","9"
"","1","0","1060010","4","0","0","2.875","6","10"
"","0","0","1060011","2","vo_10011600","vo_10011600_0603","0","6","11"
"見つめるだけで目が焼かれちゃいそう。\n","0","8","1060012","1","0","0","0","6","12"
"","1","0","1060013","4","0","0","3.25","6","13"
"","0","0","1060014","2","vo_10011600","vo_10011600_0604","0","6","14"
"面と向かい合ってお話しなんてしようものなら、","0","8","1060015","1","0","0","0","6","15"
"","1","0","1060016","4","0","0","3.5","6","16"
"私のぼっちハートはひび割れ、","0","8","1060017","1","0","0","0","6","17"
"","1","0","1060018","4","0","0","2.5","6","18"
"粉々に砕け散ること間違いなし。\n","0","8","1060019","1","0","0","0","6","19"
"","1","0","1060020","4","0","0","3.875","6","20"
"","0","0","1060021","2","vo_10011600","vo_10011600_0605","0","6","21"
"あのちぇるーん、","0","8","1060022","1","0","0","0","6","22"
"","1","0","1060023","4","0","0","1.75","6","23"
"っていう挨拶、","0","8","1060024","1","0","0","0","6","24"
"","1","0","1060025","4","0","0","1.625","6","25"
"私が口にするとその場で気絶して、","0","8","1060026","1","0","0","0","6","26"
"","1","0","1060027","4","0","0","2.75","6","27"
"天に召されちゃうんじゃないかな……","0","8","1060028","1","0","0","0","6","28"
"","1","0","1060029","4","0","0","3.125","6","29"
"","0","0","1070001","2","vo_10011600","vo_10011600_0701","0","7","1"
"　今日は何から何まで、","0","8","1070002","1","0","0","0","7","2"
"","1","0","1070003","4","0","0","2.375","7","3"
"ユニさんのお世話になっちゃった。\n","0","7","1070004","1","0","0","0","7","4"
"","1","0","1070005","4","0","0","3.28571428571429","7","5"
"","0","0","1070006","2","vo_10011600","vo_10011600_0702","0","7","6"
"クロエさんやチエルさんにからかわれているときとは全然違う、","0","8","1070007","1","0","0","0","7","7"
"","1","0","1070008","4","0","0","4.625","7","8"
"知的で、","0","8","1070009","1","0","0","0","7","9"
"","1","0","1070010","4","0","0","1.5","7","10"
"頼りになる姿をたくさん見た。","0","10","1070011","1","0","0","0","7","11"
"","1","0","1070012","4","0","0","2.4","7","12"
"","0","0","1070013","2","vo_10011600","vo_10011600_0703","0","7","13"
"てきぱきと指示する姿は","0","8","1070014","1","0","0","0","7","14"
"","1","0","1070015","4","0","0","2.375","7","15"
"ギルドマスターであるという貫禄たっぷり。","0","8","1070016","1","0","0","0","7","16"
"","1","0","1070017","4","0","0","3.5","7","17"
"","0","0","1070018","2","vo_10011600","vo_10011600_0704","0","7","18"
"ユニさんだったらきっと、","0","8","1070019","1","0","0","0","7","19"
"","1","0","1070020","4","0","0","2.25","7","20"
"ユニちゃんズの名前を世界中に広めることができると思う。\n\n","0","8","1070021","1","0","0","0","7","21"
"","1","0","1070022","4","0","0","6.625","7","22"
"","0","0","1070023","2","vo_10011600","vo_10011600_0705","0","7","23"
"あれ？","0","8","1070024","1","0","0","0","7","24"
"","1","0","1070025","4","0","0","1.125","7","25"
"　こんなギルド名だったっけ？","0","8","1070026","1","0","0","0","7","26"
"","1","0","1070027","4","0","0","2.75","7","27"
"","0","0","1080001","2","vo_10011600","vo_10011600_0801","0","8","1"
"　初めて会ったときは","0","8","1080002","1","0","0","0","8","2"
"","1","0","1080003","4","0","0","1.75","8","3"
"怖くて話しかけることさえも出来なかったクロエさん。","0","8","1080004","1","0","0","0","8","4"
"","1","0","1080005","4","0","0","4.125","8","5"
"","0","0","1080006","2","vo_10011600","vo_10011600_0802","0","8","6"
"だけど本当はとても優しくて、","0","8","1080007","1","0","0","0","8","7"
"","1","0","1080008","4","0","0","2.75","8","8"
"こんな私のことを気にかけてくれてることが伝わってきた。\n","0","8","1080009","1","0","0","0","8","9"
"","1","0","1080010","4","0","0","5.875","8","10"
"","0","0","1080011","2","vo_10011600","vo_10011600_0803","0","8","11"
"クロエさんのおかげで少しだけだけど、","0","8","1080012","1","0","0","0","8","12"
"","1","0","1080013","4","0","0","3.25","8","13"
"ク\nラスに受け入れてもらえた。\n","0","8","1080014","1","0","0","0","8","14"
"","1","0","1080015","4","0","0","4.25","8","15"
"","0","0","1080016","2","vo_10011600","vo_10011600_0804","0","8","16"
"クロエさんにはご家族がたくさんいるみたい。","0","8","1080017","1","0","0","0","8","17"
"","1","0","1080018","4","0","0","4.125","8","18"
"","0","0","1080019","2","vo_10011600","vo_10011600_0805","0","8","19"
"　確かに、","0","8","1080020","1","0","0","0","8","20"
"","1","0","1080021","4","0","0","1.625","8","21"
"今日のクロエさんは思わずお姉ちゃんと呼んじゃいそうだった！","0","8","1080022","1","0","0","0","8","22"
"","1","0","1080023","4","0","0","4.625","8","23"
"","0","0","1090001","2","vo_10011600","vo_10011600_0901","0","9","1"
"　ちぇるーん。","0","8","1090002","1","0","0","0","9","2"
"","1","0","1090003","4","0","0","3.875","9","3"
"","0","0","1090004","2","vo_10011600","vo_10011600_0902","0","9","4"
"この挨拶を言えるようになれば","0","8","1090005","1","0","0","0","9","5"
"","1","0","1090006","4","0","0","2.75","9","6"
"私もチエルさんみたいな","0","8","1090007","1","0","0","0","9","7"
"","1","0","1090008","4","0","0","2.375","9","8"
"明るくて友達もたくさんいる、","0","8","1090009","1","0","0","0","9","9"
"","1","0","1090010","4","0","0","2.75","9","10"
"私の理想の女性になれるのかな。\n","0","8","1090011","1","0","0","0","9","11"
"","1","0","1090012","4","0","0","4.375","9","12"
"","0","0","1090013","2","vo_10011600","vo_10011600_0903","0","9","13"
"でも","0","8","1090014","1","0","0","0","9","14"
"","1","0","1090015","4","0","0","1.25","9","15"
"この挨拶はまだ私には早いので、","0","8","1090016","1","0","0","0","9","16"
"","1","0","1090017","4","0","0","2.875","9","17"
"今日は書き取りだけしておこう。\n","0","8","1090018","1","0","0","0","9","18"
"","1","0","1090019","4","0","0","4.125","9","19"
"","0","0","1090020","2","vo_10011600","vo_10011600_0904","0","9","20"
"ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","0","8","1090021","1","0","0","0","9","21"
"","1","0","1090022","4","0","0","4.125","9","22"
"","0","0","1090023","2","vo_10011600","vo_10011600_0905","0","9","23"
"ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","0","8","1090024","1","0","0","0","9","24"
"","1","0","1090025","4","0","0","4.125","9","25"
"","0","0","1090026","2","vo_10011600","vo_10011600_0906","0","9","26"
"ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん\n","0","8","1090027","1","0","0","0","9","27"
"","1","0","1090028","4","0","0","4.125","9","28"
"","0","0","1090029","2","vo_10011600","vo_10011600_0907","0","9","29"
"ちぇるーんちぇるーんちぇるーん","0","8","1090030","1","0","0","0","9","30"
"","1","0","1090031","4","0","0","2.875","9","31"
"","0","0","1100001","2","vo_10011600","vo_10011600_1001","0","10","1"
"　忘れてた忘れてた忘れてた！\n","0","8","1100002","1","0","0","0","10","2"
"","1","0","1100003","4","0","0","2.75","10","3"
"どうしよう特別講座！","0","8","1100004","1","0","0","0","10","4"
"","1","0","1100005","4","0","0","2.25","10","5"
"","0","0","1100006","2","vo_10011600","vo_10011600_1002","0","10","6"
"エルフの森から持ってきたマンドラゴラも逃げちゃったし、","0","8","1100007","1","0","0","0","10","7"
"","1","0","1100008","4","0","0","3.625","10","8"
"何の準備もしてないよ！\n","0","8","1100009","1","0","0","0","10","9"
"","1","0","1100010","4","0","0","2.375","10","10"
"","0","0","1100011","2","vo_10011600","vo_10011600_1003","0","10","11"
"……エルフの森が","0","8","1100012","1","0","0","0","10","12"
"","1","0","1100013","4","0","0","2","10","13"
"私を呼んでる気が……","0","8","1100014","1","0","0","0","10","14"
"","1","0","1100015","4","0","0","2.25","10","15"
"","0","0","1100016","2","vo_10011600","vo_10011600_1004","0","10","16"
"いやダメダメ、","0","8","1100017","1","0","0","0","10","17"
"","1","0","1100018","4","0","0","1.875","10","18"
"ミサト先生の期待を裏切るわけには！\n","0","8","1100019","1","0","0","0","10","19"
"","1","0","1100020","4","0","0","4.125","10","20"
"","0","0","1100021","2","vo_10011600","vo_10011600_1005","0","10","21"
"でも本当にどうしよう、","0","8","1100022","1","0","0","0","10","22"
"","1","0","1100023","4","0","0","3.125","10","23"
"","0","0","1100024","2","vo_10011600","vo_10011600_1006","0","10","24"
"こうなったら","0","8","1100025","1","0","0","0","10","25"
"","1","0","1100026","4","0","0","1.75","10","26"
"ぼっちライフをどう生き抜くかをまとめて","0","8","1100027","1","0","0","0","10","27"
"","1","0","1100028","4","0","0","3.375","10","28"
"発表してみようかな……？","0","8","1100029","1","0","0","0","10","29"
"","1","0","1100030","4","0","0","2.5","10","30"
"","0","0","1110001","2","vo_10011600","vo_10011600_1101","0","11","1"
"　特別講座、","0","8","1110002","1","0","0","0","11","2"
"","1","0","1110003","4","0","0","1.75","11","3"
"終了！\n","0","8","1110004","1","0","0","0","11","4"
"","1","0","1110005","4","0","0","2.625","11","5"
"","0","0","1110006","2","vo_10011600","vo_10011600_1102","0","11","6"
"結果は……","0","8","1110007","1","0","0","0","11","7"
"","1","0","1110008","4","0","0","1.625","11","8"
"成功、","0","8","1110009","1","0","0","0","11","9"
"","1","0","1110010","4","0","0","1.375","11","10"
"だと思う。","0","8","1110011","1","0","0","0","11","11"
"","1","0","1110012","4","0","0","3.125","11","12"
"","0","0","1110013","2","vo_10011600","vo_10011600_1103","0","11","13"
"　それもこれもすべては、","0","8","1110014","1","0","0","0","11","14"
"","1","0","1110015","4","0","0","2.5","11","15"
"手伝ってくれたあの人、","0","8","1110016","1","0","0","0","11","16"
"","1","0","1110017","4","0","0","1.875","11","17"
"そして","0","8","1110018","1","0","0","0","11","18"
"","1","0","1110019","4","0","0","0.875","11","19"
"なかよし部のみなさんのおかげだ。\n","0","8","1110020","1","0","0","0","11","20"
"","1","0","1110021","4","0","0","3","11","21"
"","0","0","1110022","2","vo_10011600","vo_10011600_1104","0","11","22"
"講座が終わった後、","0","8","1110023","1","0","0","0","11","23"
"","1","0","1110024","4","0","0","2.125","11","24"
"たくさんの人に囲まれて怖かったけど、","0","8","1110025","1","0","0","0","11","25"
"","1","0","1110026","4","0","0","3","11","26"
"","0","0","1110027","2","vo_10011600","vo_10011600_1105","0","11","27"
"でも私、","0","8","1110028","1","0","0","0","11","28"
"","1","0","1110029","4","0","0","1.5","11","29"
"いつもみたいに逃げたりしなかった！\n","0","8","1110030","1","0","0","0","11","30"
"","1","0","1110031","4","0","0","3.125","11","31"
"","0","0","1110032","2","vo_10011600","vo_10011600_1106","0","11","32"
"私も少しだけ……","0","8","1110033","1","0","0","0","11","33"
"","1","0","1110034","4","0","0","2","11","34"
"ほんのちょっとだけだけど、","0","8","1110035","1","0","0","0","11","35"
"","1","0","1110036","4","0","0","2.625","11","36"
"成長……","0","8","1110037","1","0","0","0","11","37"
"","1","0","1110038","4","0","0","1.5","11","38"
"できたのかな。","0","8","1110039","1","0","0","0","11","39"
"","1","0","1110040","4","0","0","1.875","11","40"
"","0","0","1120001","2","vo_10011600","vo_10011600_1201","0","12","1"
"　聖テレサ女学院に何の違和感もなく溶け込めるなんて、","0","8","1120002","1","0","0","0","12","2"
"","1","0","1120003","4","0","0","4.25","12","3"
"あの人はやっぱりすごい！\n","0","8","1120004","1","0","0","0","12","4"
"","1","0","1120005","4","0","0","3.5","12","5"
"","0","0","1120006","2","vo_10011600","vo_10011600_1202","0","12","6"
"　廊下を歩いてるとき、","0","8","1120007","1","0","0","0","12","7"
"","1","0","1120008","4","0","0","2.125","12","8"
"他の生徒はあの人を見て驚いた顔をするんだけど、","0","8","1120009","1","0","0","0","12","9"
"","1","0","1120010","4","0","0","3.375","12","10"
"あの人はにこやかに挨拶するんです！\n","0","8","1120011","1","0","0","0","12","11"
"","1","0","1120012","4","0","0","3.125","12","12"
"","0","0","1120013","2","vo_10011600","vo_10011600_1203","0","12","13"
"そこできゃあ、","0","8","1120014","1","0","0","0","12","14"
"","1","0","1120015","4","0","0","1.375","12","15"
"と言われても","0","8","1120016","1","0","0","0","12","16"
"","1","0","1120017","4","0","0","1.25","12","17"
"涼しい顔で手を振り返す！","0","8","1120018","1","0","0","0","12","18"
"","1","0","1120019","4","0","0","2.5","12","19"
"","0","0","1120020","2","vo_10011600","vo_10011600_1204","0","12","20"
"　挨拶さえもできない私とは大違い！\n\n","0","8","1120021","1","0","0","0","12","21"
"","1","0","1120022","4","0","0","4.625","12","22"
"","0","0","1120023","2","vo_10011600","vo_10011600_1205","0","12","23"
"早く私も","0","8","1120024","1","0","0","0","12","24"
"","1","0","1120025","4","0","0","1.25","12","25"
"あんなふうになりたいなぁ……","0","8","1120026","1","0","0","0","12","26"
"","1","0","1120027","4","0","0","2.5","12","27"
"","0","0","1130001","2","vo_10011600","vo_10011600_1301","0","13","1"
"　私が持ってきたマンドラゴラが大変なことに……\n","0","8","1130002","1","0","0","0","13","2"
"","1","0","1130003","4","0","0","4.875","13","3"
"","0","0","1130004","2","vo_10011600","vo_10011600_1302","0","13","4"
"だけど、","0","8","1130005","1","0","0","0","13","5"
"","1","0","1130006","4","0","0","1.25","13","6"
"あの人となかよし部のみなさんが力を貸してくれたおかげで、","0","8","1130007","1","0","0","0","13","7"
"","1","0","1130008","4","0","0","4","13","8"
"大きな\n被害が出る前に食い止めることができた。","0","8","1130009","1","0","0","0","13","9"
"","1","0","1130010","4","0","0","5","13","10"
"","0","0","1130011","2","vo_10011600","vo_10011600_1303","0","13","11"
"　みなさんは","0","8","1130012","1","0","0","0","13","12"
"","1","0","1130013","4","0","0","1.45","13","13"
"下心があったなんて言ってたけど、","0","8","1130014","1","0","0","0","13","14"
"","1","0","1130015","4","0","0","2.75","13","15"
"そんなことは関係ないと思う。\n","0","8","1130016","1","0","0","0","13","16"
"","1","0","1130017","4","0","0","3.25","13","17"
"","0","0","1130018","2","vo_10011600","vo_10011600_1304","0","13","18"
"こうして一緒に戦うことができて、","0","8","1130019","1","0","0","0","13","19"
"","1","0","1130020","4","0","0","2.75","13","20"
"私は嬉しかった。\n","0","8","1130021","1","0","0","0","13","21"
"","1","0","1130022","4","0","0","2.5","13","22"
"","0","0","1130023","2","vo_10011600","vo_10011600_1305","0","13","23"
"なんだか……","0","8","1130024","1","0","0","0","13","24"
"","1","0","1130025","4","0","0","1.75","13","25"
"仲間、","0","8","1130026","1","0","0","0","13","26"
"","1","0","1130027","4","0","0","1.375","13","27"
"になれたみたいで。","0","8","1130028","1","0","0","0","13","28"
"","1","0","1130029","4","0","0","2.125","13","29"
"","0","0","1140001","2","vo_10011600","vo_10011600_1401","0","14","1"
"　今日は","0","8","1140002","1","0","0","0","14","2"
"","1","0","1140003","4","0","0","1.5","14","3"
"聖テレサ女学院に通う最終日","0","7","1140004","1","0","0","0","14","4"
"","1","0","1140005","4","0","0","3.60714285714286","14","5"
"……だった。\n","0","8","1140006","1","0","0","0","14","6"
"","1","0","1140007","4","0","0","3.25","14","7"
"","0","0","1140008","2","vo_10011600","vo_10011600_1402","0","14","8"
"最初にミサト先生からお願いされたときは","0","8","1140009","1","0","0","0","14","9"
"","1","0","1140010","4","0","0","3.375","14","10"
"絶対ムリだと思ってた。","0","8","1140011","1","0","0","0","14","11"
"","1","0","1140012","4","0","0","3.125","14","12"
"","0","0","1140013","2","vo_10011600","vo_10011600_1403","0","14","13"
"　だけど今は名残惜しくて、","0","8","1140014","1","0","0","0","14","14"
"","1","0","1140015","4","0","0","2.625","14","15"
"こうして日記を書いている。\n","0","8","1140016","1","0","0","0","14","16"
"","1","0","1140017","4","0","0","3.375","14","17"
"","0","0","1140018","2","vo_10011600","vo_10011600_1404","0","14","18"
"　目を閉じると、","0","8","1140019","1","0","0","0","14","19"
"","1","0","1140020","4","0","0","2","14","20"
"あの人や","0","8","1140021","1","0","0","0","14","21"
"","1","0","1140022","4","0","0","1.5","14","22"
"なかよし部のみなさん、","0","8","1140023","1","0","0","0","14","23"
"","1","0","1140024","4","0","0","2.125","14","24"
