a756e7fa6e880bcb1168f710a3e0c9b6fa7fd5761646b6d3e4587e35b3564e5c,82396c7a1430322d52d0f09d79060eaae47856a67617214419a7e44cd5a75bd4,0328f8f053a28ad09d767c9754d5b17bdded0d8d5f10e07122bd0601eabc4291,0b812fb8415b77e0f26273877dcad62fd31260873af51ac79d6c2f4158ba197a,5fbac6c620997b72b1507c2971d68110272bf26c015f3aa8c7ac4fa7a4c30fac
"150","2","330","0","1070"
"151","3","331","0","1070"
"152","4","332","0","1070"
"153","1","333","0","1071"
"154","2","335","0","1071"
"155","3","336","0","1071"
"156","4","337","0","1071"
"157","1","338","0","1072"
"158","2","340","0","1072"
"159","3","341","0","1072"
"160","4","342","0","1072"
"161","1","343","0","1073"
"162","2","345","0","1073"
"163","3","346","0","1073"
"164","4","347","0","1073"
"165","1","348","0","1074"
"166","2","350","0","1074"
"167","3","351","0","1074"
"168","4","352","0","1074"
"169","1","353","0","1075"
"170","2","355","0","1075"
"171","3","356","0","1075"
"172","4","357","0","1075"
"173","1","358","0","1076"
"174","2","360","0","1076"
"175","3","361","0","1076"
"176","4","362","0","1076"
"177","1","363","0","1077"
"178","2","365","0","1077"
"179","3","366","0","1077"
"180","4","367","0","1077"
"181","1","368","0","1078"
"182","2","370","0","1078"
"183","3","371","0","1078"
"184","4","372","0","1078"
"185","1","373","0","1079"
"186","2","375","0","1079"
"187","3","376","0","1079"
"188","4","377","0","1079"
"189","1","378","0","1080"
"190","2","380","0","1080"
"191","3","381","0","1080"
"192","4","382","0","1080"
"193","1","383","0","1081"
"194","2","385","0","1081"
"195","3","386","0","1081"
"196","4","387","0","1081"
"197","1","388","0","1082"
"198","2","390","0","1082"
"199","3","391","0","1082"
"200","4","392","0","1082"
"201","1","393","0","1083"
"202","2","395","0","1083"
"203","3","396","0","1083"
"204","4","397","0","1083"
"205","1","398","0","1084"
"206","2","400","0","1084"
"207","3","401","0","1084"
"208","4","402","0","1084"
"209","1","403","0","1085"
"210","2","405","0","1085"
"211","3","406","0","1085"
"212","4","407","0","1085"
"213","1","408","0","1086"
"214","2","410","0","1086"
"215","3","411","0","1086"
"216","4","412","0","1086"
"217","1","413","0","1087"
"218","2","415","0","1087"
"219","3","416","0","1087"
"220","4","417","0","1087"
