030b5b3844db594fea456beb62e8dbd09cad147faf42d9af90f6b47ef304ad76,fa77a31d3b52fa99bf6fa003c39e0800dc29127e581cfe50a76d0cbb14d64122,02de0a3aee1d8fcbc30da6f8486c9ba205041448bff32bfc7a870e8e8968c0ab,499ef1a2345bd28366b99621632f5d0f2f8d6eb528cb82ccb8c8d31573bdddf2,f50048da3dacbb90cf71d9121f7f3e62d40c565efce4cb3f0a865dcc3a0ab204,d6f44574bd75f4115e57a646613d363f59fc2ecbfa4ae6f7e26130e476ffa27e
"2","500130","コッコロ","0","エステレラ街道","105901"
"3","500130","キャル","0","エステレラ街道","106001"
"20","500341","ムイミ","0","ラビリンスギルド拠点","106101"
"3","500170","アリサ","0","ミステリオン森林","106301"
"2","500361","シェフィ","0","美食殿 ギルドハウス","106401"
"4","500833","カヤ","0","密林_テント","106501"
"4","500833","イノリ","0","密林_テント","106601"
"2","501320","ホマレ","0","ホマレの部屋","106701"
"18","500030","模索路晶","0","ランドソル 繁華街","106801"
"2","500100","カイザーインサイト","0","ランドソル王城_玉座の間","106901"
"2","500341","ネネカ","0","ラビリンスギルド拠点","107001"
"2","500090","クリスティーナ・モーガン","0","ランドソル 王城入口","107101"
"4","500164","ペコリーヌ（サマー）","0","マルジェン海岸_昼","107501"
"4","500164","コッコロ（サマー）","0","マルジェン海岸_昼","107601"
"4","500164","スズメ（サマー）","0","マルジェン海岸_昼","107701"
"6","500164","キャル（サマー）","0","マルジェン海岸_昼","107801"
"2","500284","タマキ（サマー）","0","無人島","107901"
"2","500284","ミフユ（サマー）","0","無人島","108001"
"4","500264","シノブ（ハロウィン）","0","古城 ハロウィン","108101"
"4","500264","ミヤコ（ハロウィン）","0","古城 ハロウィン","108201"
"2","505030","ミサキ（ハロウィン）","0","ランドソル 繁華街 ハロウィン","108301"
"2","500114","チカ（クリスマス）","0","サレンディア救護院_広間_クリスマス","108401"
"4","500114","クルミ（クリスマス）","0","サレンディア救護院_広間_クリスマス","108501"
"4","500114","アヤネ（クリスマス）","0","サレンディア救護院_広間_クリスマス","108601"
"4","500553","ヒヨリ（ニューイヤー）","0","お正月神殿","108701"
"4","500553","ユイ（ニューイヤー）","0","お正月神殿","108801"
"2","500553","レイ（ニューイヤー）","0","お正月神殿","108901"
"4","500600","エリコ（バレンタイン）","0","キッチンスタジアム","109001"
"4","500600","シズル（バレンタイン）","0","キッチンスタジアム","109101"
"2","500133","アン","0","エステレラ街道","109201"
"4","500133","ルゥ","0","エステレラ街道","109301"
"4","500133","グレア","0","エステレラ街道","109401"
"4","500650","クウカ（オーエド）","0","オーエド横丁","109501"
"2","500650","ニノン（オーエド）","0","オーエド横丁","109601"
"2","500175","レム","0","ミステリオン森林","109701"
"12","500175","ラム","0","ミステリオン森林","109801"
"2","500175","エミリア","0","ミステリオン森林","109901"
"4","500683","スズナ（サマー）","0","海_ステージ","110001"
"2","500683","イオ（サマー）","0","海_ステージ","110101"
"2","500164","サレン（サマー）","0","マルジェン海岸_昼","110301"
"6","500710","マコト（サマー）","0","琉球風の海岸","110401"
"4","500710","カオリ（サマー）","0","琉球風の海岸","110501"
"4","500710","マホ（サマー）","0","琉球風の海岸","110601"
"2","500730","アオイ（編入生）","0","聖テレサ女学院_正門","110701"
"2","500730","クロエ","0","聖テレサ女学院_正門","110801"
"2","500730","チエル","0","聖テレサ女学院_正門","110901"
"4","500730","ユニ","0","聖テレサ女学院_正門","111001"
"2","500811","キョウカ（ハロウィン）","0","屋敷_メインホール","111101"
"4","500811","ミソギ（ハロウィン）","0","屋敷_メインホール","111201"
"4","500811","ミミ（ハロウィン）","0","屋敷_メインホール","111301"
"4","500175","ルナ","0","ミステリオン森林","111401"
"4","500038","クリスティーナ（クリスマス）","0","ランドソル_繁華街_クリスマス_夜","111501"
"4","500038","ノゾミ（クリスマス）","0","ランドソル_繁華街_クリスマス_夜","111601"
"4","500038","イリヤ（クリスマス）","0","ランドソル_繁華街_クリスマス_夜","111701"
"2","500910","ぺコリーヌ（ニューイヤー）","0","ランドソル_繁華街_駅伝","111801"
"2","500910","コッコロ（ニューイヤー）","0","ランドソル_繁華街_駅伝","111901"
"6","500910","キャル（ニューイヤー）","0","ランドソル_繁華街_駅伝","112001"
"2","500910","スズメ（ニューイヤー）","0","ランドソル_繁華街_駅伝","112101"
"2","500010","カスミ（マジカル）","0","ランドソル_市街地_昼","112201"
"2","500010","シオリ（マジカル）","0","ランドソル_市街地_昼","112301"
"4","500920","ウヅキ（デレマス）","0","ムーサの町_昼","112401"
"2","500920","リン（デレマス）","0","ムーサの町_昼","112501"
"4","500920","ミオ（デレマス）","0","ムーサの町_昼","112601"
"2","500995","リン（レンジャー）","0","牧場 昼","112701"
"2","500995","マヒル（レンジャー）","0","牧場 昼","112801"
"4","501000","リノ（ワンダー）","0","本の世界_平原","112901"
"2","501000","アユミ（ワンダー）","0","本の世界_平原","113001"
"6","501030","ルカ（サマー）","0","ウィッシュビーチ","113101"
"4","501030","アンナ（サマー）","0","ウィッシュビーチ","113201"
"4","501030","ナナカ（サマー）","0","ウィッシュビーチ","113301"
"4","501100","ハツネ（サマー）","0","ビーチグラウンド","113401"
"4","501100","ミサト（サマー）","0","ビーチグラウンド","113501"
"2","500164","ジュン（サマー）","0","マルジェン海岸_昼","113601"
"4","500010","アカリ（エンジェル）","0","ランドソル_市街地_昼","113701"
"2","500010","ヨリ（エンジェル）","0","ランドソル_市街地_昼","113801"
"4","501130","ツムギ（ハロウィン）","0","ハロウィンパーク_昼","113901"
"3","501130","レイ（ハロウィン）","0","ハロウィンパーク_昼","114001"
"4","501130","マツリ（ハロウィン）","0","ハロウィンパーク_昼","114101"
"4","500010","モニカ（マジカル）","0","ランドソル_市街地_昼","114201"
"2","500010","トモ（マジカル）","0","ランドソル_市街地_昼","114301"
"4","500874","アキノ（クリスマス）","0","舞台_クリスマス_昼","114401"
"2","500874","サレン（クリスマス）","0","舞台_クリスマス_昼","114501"
"2","500874","ユカリ（クリスマス）","0","舞台_クリスマス_昼","114601"
"4","501162","ムイミ（ニューイヤー）","0","オーマの町_昼","114701"
"2","501162","ネネカ（ニューイヤー）","0","オーマの町_昼","115001"
"4","500140","コッコロ（儀装束）","0","プラノ平原","115501"
"17","500140","ユイ（儀装束）","0","プラノ平原","115601"
"4","500160","カスミ（サマー）","0","マルジェン海岸_昼","115701"
"4","500130","リマ（シンデレラ）","0","エステレラ街道","115801"
"4","500130","マコト（シンデレラ）","0","エステレラ街道","115901"
"4","500060","マホ（シンデレラ）","0","自警団 拠点","116001"
"2","500732","クロエ（聖学祭）","0","聖テレサ女学院_正門_聖学祭","116201"
"2","500732","チエル（聖学祭）","0","聖テレサ女学院_正門_聖学祭","116301"
"4","500732","ユニ（聖学祭）","0","聖テレサ女学院_正門_聖学祭","116401"
"18","500010","イノリ（タイムトラベル）","0","ランドソル_市街地_昼","116501"
"4","500010","カヤ（タイムトラベル）","0","ランドソル_市街地_昼","116601"
"4","501340","アオイ（作業服）","0","おもちゃ工場","116701"
"4","501340","タマキ（作業服）","0","おもちゃ工場","116801"
"2","501340","ミフユ（作業服）","0","おもちゃ工場","116901"
"4","500160","エリコ（サマー）","0","マルジェン海岸_昼","117001"
"4","500160","シズル（サマー）","0","マルジェン海岸_昼","117101"
"4","501363","ノゾミ（サマー）","0","サマーフェス会場","117201"
"2","501363","チカ（サマー）","0","サマーフェス会場","117301"
"4","501363","ツムギ（サマー）","0","サマーフェス会場","117401"
"6","501380","ミツキ（オーエド）","0","オーエド_診察室_昼","117501"
"4","501380","ユキ（オーエド）","0","オーエド_診察室_昼","117601"
"4","505035","カオリ（ハロウィン）","0","ランドソル_繁華街_ハロウィン_夜","117701"
"4","505035","ニノン（ハロウィン）","0","ランドソル_繁華街_ハロウィン_夜","117801"
"4","505035","スズナ（ハロウィン）","0","ランドソル_繁華街_ハロウィン_夜","117901"
"4","501070","クレジッタ","0","ランドソル_王城周辺_執務室","118001"
"4","501040","ランファ","0","レイジ・レギオン拠点","118101"
"4","501040","ミソラ","0","レイジ・レギオン拠点","118201"
"4","500371","カリン","0","ランドソル_お役所","118501"
"4","500360","ネビア","0","美食殿_ギルドハウス","118601"
"4","501450","イオ（ノワール）","0","ノワールのアジト","119001"
"4","501450","クウカ（ノワール）","0","ノワールのアジト","119101"
"4","500863","マヒル（クリスマス）","0","牧場_雪_昼","119201"
"4","500036","リノ（クリスマス）","0","ランドソル_繁華街_クリスマス_昼","119301"
"4","500038","ミヤコ（クリスマス）","0","ランドソル_繁華街_クリスマス_夜","119901"
"2","501450","シズル（ノワール）","0","ノワールのアジト","120001"
"2","501480","シェフィ（ニューイヤー）","0","美食殿_ギルドハウス_外観_お正月","120701"
"3","500560","ルカ（ニューイヤー）","0","参道_昼","120801"
"4","500260","イリヤ（ニューイヤー）","0","古城","120901"
"3","500361","ぺコリーヌ（オーバーロード）","0","美食殿 ギルドハウス","121001"
"2","500361","キャル（オーバーロード）","0","美食殿 ギルドハウス","121101"
"3","500341","ラビリスタ（オーバーロード）","0","ラビリンスギルド拠点","121201"
"2","501510","クルミ（ステージ）","0","牧場_温泉施設_舞台","121301"
"2","500354","ミサキ（ステージ）","0","サレンディア救護院_物産展","121401"
"18","500012","アユミ（怪盗）","0","ランドソル_市街地_夜","121501"
"20","500892","イノリ（怪盗）","0","路地裏_夜","121601"
"2","500843","アンナ（パイレーツ）","0","船の甲板","121901"
"20","500843","シノブ（パイレーツ）","0","船の甲板","122001"
"20","501590","アオイ（キャンプ）","0","キャンプ場_昼","122101"
"2","501590","ユカリ（キャンプ）","0","キャンプ場_昼","122201"
"4","500140","ヴァンピィ","0","プラノ平原","122301"
"4","501610","ヒヨリ（サマー）","0","リゾートビーチ_昼","122401"
"2","501610","レイ（サマー）","0","リゾートビーチ_昼","122501"
"6","501610","ユイ（サマー）","0","リゾートビーチ_昼","122601"
"2","500285","キョウカ（サマー）","0","無人島","122701"
"4","500160","ミソギ（サマー）","0","マルジェン海岸_昼","122801"
"4","500160","ミミ（サマー）","0","マルジェン海岸_昼","122901"
"4","500270","アメス","0","ソルの塔_庭園","123001"
"4","500833","マホ（エクスプローラー）","0","密林_テント","123101"
"4","501850","アヤネ（エクスプローラー）","0","密林","123201"
"4","501040","ネア","0","レイジ・レギオン拠点","123301"
"2","501870","リン（ハロウィン）","0","舞台_コンテンツフェス_昼","123501"
"2","501860","トモ（ハロウィン）","0","ランドソル_繁華街_ハロウィン_フェス","123601"
"4","501870","ナナカ（ハロウィン）","0","舞台_コンテンツフェス_昼","123701"
"2","500170","クリスティーナ（ワイルド）","0","ミステリオン森林","123801"
"2","500090","マツリ（ワイルド）","0","ランドソル 王城入口","123901"
"2","500036","アカリ（クリスマス）","0","ランドソル_繁華街_クリスマス_昼","124001"
"2","500036","ヨリ（クリスマス）","0","ランドソル_繁華街_クリスマス_昼","124101"
"2","500036","ジュン（クリスマス）","0","ランドソル_繁華街_クリスマス_昼","124201"
"2","501890","ホマレ（ニューイヤー）","0","オーエド_温泉旅館_客室_昼","124501"
"4","500553","ミサト（ニューイヤー）","0","お正月神殿","124601"
"2","501890","ミツキ（ニューイヤー）","0","オーエド_温泉旅館_客室_昼","124701"
"2","500033","ノゾミ（リベレイター）","0","ランドソル_繁華街_祭_昼","124801"
"4","500033","カヤ（リベレイター）","0","ランドソル_繁華街_祭_昼","124901"
"2","500033","ムイミ（リベレイター）","0","ランドソル_繁華街_祭_昼","125001"
"4","501950","タマキ（カフェ）","0","ランドソル_飲食店内_猫カフェ_昼","125101"
"2","501950","モニカ（カフェ）","0","ランドソル_飲食店内_猫カフェ_昼","125201"
"2","501690","コッコロ（レンジャー）","0","平原_競技場_昼","125301"
"20","501690","シオリ（レンジャー）","0","平原_競技場_昼","125401"
"4","500033","ジータ（ウォーロック）","0","ランドソル_繁華街_祭_昼","125501"
"4","500033","ビカラ","0","ランドソル_繁華街_祭_昼","125601"
"2","500371","カリン（アルケミスト）","0","ランドソル_お役所","125701"
"2","501670","リリ（フォールン）","0","ジオ・テオゴニア_街道_昼","125801"
"2","501670","クリア（フォールン）","0","ジオ・テオゴニア_街道_昼","126001"
"2","501670","プレシア（フォールン）","0","ジオ・テオゴニア_街道_昼","126101"
"20","501372","イリヤ（儀装束）","0","滝壺_夜","126201"
"4","500040","ユキ（儀装束）","0","ランドソル ギルドハウス","126301"
"4","501660","クローチェ","0","ジオ・テオゴニア_平原_昼","126401"
"4","501720","ライラエル","0","ジオ・テオゴニア_キャッスル・オブ・パルフェ_玉座の間_昼","126501"
"2","500692","ネネカ（サマー）","0","海辺の店_夜","126601"
"4","501030","アキノ（サマー）","0","ウィッシュビーチ","126701"
"4","500280","ユカリ（サマー）","0","無人島","126801"
"2","501030","ランファ（サマー）","0","ウィッシュビーチ","126901"
"4","500160","クウカ（サマー）","0","マルジェン海岸_昼","127001"
"4","500162","シノブ（サマー）","0","マルジェン海岸_夜","127101"
"2","502030","キャル（編入生）","0","アンブローズ魔法学園_屋上_昼","127201"
"4","502030","スズナ（編入生）","0","アンブローズ魔法学園_屋上_昼","127301"
"2","502060","サレン（サラサリア）","0","砂漠の国の大通り_昼","127501"
"3","501370","ルカ（サラサリア）","0","滝壺_昼","127601"
"20","501730","リンド","0","ジオ・テオゴニア_キャッスル・オブ・パルフェ_大広間","127701"
"4","501730","ヴルム","0","ジオ・テオゴニア_キャッスル・オブ・パルフェ_大広間","127801"
"2","500036","ペコリーヌ（クリスマス）","0","ランドソル_繁華街_クリスマス_昼","127901"
"2","500036","クレジッタ（クリスマス）","0","ランドソル_繁華街_クリスマス_昼","128001"
"4","500893","イノリ（ニューイヤー）","0","路地裏_雪_昼","128301"
"4","501470","ハツネ（ニューイヤー）","0","ランドソル_繁華街_お正月_昼","128401"
"18","501470","カスミ（ニューイヤー）","0","ランドソル_繁華街_お正月_昼","128501"
"2","500140","ヒヨリ（アストラル）","0","プラノ平原","128701"
"3","500140","レイ（アストラル）","0","プラノ平原","128801"
"2","500140","ユイ（アストラル）","0","プラノ平原","128901"
"2","500510","エリス","0","花畑","129001"
"2","502220","ユニ（ウィンター）","0","メルクリゾート_プールエリア_昼","129301"
"2","502220","クロエ（ウィンター）","0","メルクリゾート_プールエリア_昼","129401"
"2","502220","チエル（ウィンター）","0","メルクリゾート_プールエリア_昼","129501"
"2","502071","アネモネ","0","ジオ・ゲヘナ_ジャングル_夜","129601"
"2","502170","ネフィ＝ネラ","0","ジオ・ゲヘナ_鬼岩城塞_王座の間_昼","129701"
"2","501680","マコト（コマンダー）","0","平原_昼","129801"
"4","500030","エリコ（コマンダー）","0","ランドソル 繁華街","129901"
"3","501760","ヤマト","0","バンディシャーク号_室内_居住部","130001"
"4","501760","ワカナ","0","バンディシャーク号_室内_居住部","130101"
"4","501760","フブキ","0","バンディシャーク号_室内_居住部","130201"
"20","500020","キョウカ（スプリング）","0","ランドソル_郊外","130701"
"2","500351","スズメ（スプリング）","0","サレンディア救護院_庭","130801"
"4","502270","クルル","0","グランドリームパーク_エントランス_昼","130901"
"2","502280","マホ（ドリームパーク）","0","グランドリームパーク_園内_昼","131001"
"3","501030","ネア（サマー）","0","ウィッシュビーチ","131101"
"4","500690","ミソラ（サマー）","0","海辺の店_昼","131201"
"2","500163","リリ（サマー）","0","海_パラソル_昼","131601"
"4","500160","アメス（サマー）","0","マルジェン海岸_昼","131701"
"2","500285","ホマレ（サマー）","0","無人島","131801"
"2","501030","エミリア（サマー）","0","ウィッシュビーチ","131901"
"2","500160","エキドナ（サマー）","0","マルジェン海岸_昼","132001"
"2","500160","レム（サマー）","0","マルジェン海岸_昼","132101"
"4","502360","ノゾミ（アルケミスト）","0","アルケス錬金堂_工房_昼","132201"
"2","502360","ルイズマリー","0","アルケス錬金堂_工房_昼","132301"
"4","502360","イロハ","0","アルケス錬金堂_工房_昼","132401"
"2","502370","ソノ","0","アルケス錬金堂_店内_昼","132501"
"4","500038","ライラエル（クリスマス）","0","ランドソル_繁華街_クリスマス_夜","132801"
"2","500038","イオ（クリスマス）","0","ランドソル_繁華街_クリスマス_夜","132901"
"4","502290","グレイス","0","ジオ・ニヴルヘル_遺灰砂漠","133001"
"2","502460","ヴァイオレット","0","ジオ・ニヴルヘル_巨鯨城_ホール","133101"
"4","501470","モニカ（ニューイヤー）","0","ランドソル_繁華街_お正月_昼","133201"
"2","501470","サレン（ニューイヤー）","0","ランドソル_繁華街_お正月_昼","133501"
"2","500110","メドゥーサ","0","サレンディア救護院_広間_昼","133601"
"2","500341","ラビリスタ（アルファ）","0","ラビリンスギルド拠点","133701"
"2","500260","ネネカ（アルファ）","0","古城","133801"
"4","500780","クリスティーナ（アルファ）","0","ランドソル_繁華街_祭_壊れ_昼","133901"
"2","500130","フィオ","0","エステレラ街道","134001"
"2","501202","ランファ（儀装束）","0","コッコロの里_夜","134301"
"2","501220","チカ（儀装束）","0","コッコロの里_社の中_昼","134401"
"4","501670","クローチェ（エアリアル）","0","ジオ・テオゴニア_街道_昼","134501"
"2","500140","アオイ（パイロット）","0","プラノ平原","134601"
"2","502080","ホウオウ","0","ジオ・ゲヘナ_平原_昼","134701"
"4","502070","ツムギ（ジオ・ゲヘナ）","0","ジオ・ゲヘナ_ジャングル_昼","134801"
"4","502110","カノン","0","ジオ・ゲヘナ_鬼岩要塞_居住区_昼","134901"
"2","501030","エリス（サマー）","0","ウィッシュビーチ","135001"
"2","501030","シェフィ（サマー）","0","ウィッシュビーチ","135101"
"2","500690","プレシア（サマー）","0","海辺の店_昼","135201"
"4","501030","クリア（サマー）","0","ウィッシュビーチ","135301"
"2","501030","アネモネ（サマー）","0","ウィッシュビーチ","135401"
"2","502650","アイラ","0","サラサリア_中央大通り_昼","135501"
"2","502630","シナツ","0","トーゴク_城下町_大通り_昼","135601"
"4","502520","ヒヨリ（サラサリア）","0","サラサリア_中央広場_昼","135701"
"4","502420","ユキノ","0","ジオ・ニヴルヘル_久遠氷河","135801"
"2","502640","サツキ","0","ジオ・ニヴルヘル_夜叉峠_鬼族の村","135901"
"2","502080","アラクネ","0","ジオ・ゲヘナ_平原_昼","136001"
"4","500030","サクラ","0","ランドソル 繁華街","136101"
"4","502110","ナーナ","0","ジオ・ゲヘナ_鬼岩要塞_居住区_昼","136201"
"4","500945","ミソラ（クリスマス）","0","ランドソル_貴族街_クリスマス_夜","136301"
"2","500036","ユイ（クリスマス）","0","ランドソル_繁華街_クリスマス_昼","136401"
"2","502630","シズル（ニューイヤー）","0","トーゴク_城下町_大通り_昼","136501"
"4","501030","ニノン（サマー）","0","ウィッシュビーチ","137101"
"2","501990","カスミ（シスター）","0","魔族の街_儀式場_昼","137401"
"20","501202","コッコロ（嚮導幼君）","0","コッコロの里_夜","137601"
"2","502630","リノ（ニューイヤー）","0","トーゴク_城下町_大通り_昼","137901"
"4","502460","ヴァイオレット（イサナミ）","0","ジオ・ニヴルヘル_巨鯨城_ホール","138001"
"2","500130","ヒヨリ（プリンセス）","0","エステレラ街道","180101"
"4","500130","ユイ（プリンセス）","0","エステレラ街道","180201"
"3","500130","レイ（プリンセス）","0","エステレラ街道","180301"
"4","500130","ぺコリーヌ（プリンセス）","0","エステレラ街道","180401"
"2","500130","コッコロ（プリンセス）","0","エステレラ街道","180501"
"18","500130","キャル（プリンセス）","0","エステレラ街道","180601"
"2","501370","ハツネ＆シオリ","0","滝壺_昼","180701"
"2","500194","ミソギ＆ミミ＆キョウカ","0","エルフの森_秘密基地","180801"
"2","500140","アキノ＆サレン","0","プラノ平原","180901"
"2","500213","アン＆グレア","0","中腹_昼","181001"
"2","500010","シズル＆リノ","0","ランドソル_市街地_昼","181101"
"2","500130","シェフィ（プリンセス）","0","エステレラ街道","181201"
