adbff9b4a424018a68748bf89c34e22b51dd398e4b4a96c24078e8fc5162ff30,7821b09e1b51e9ddb8274726517ea9012b84ab03be99a7292cb82d80a1395b3c,ff8ab0359a36aaf8ac99a52a52eade5c782ffd74e6494541d038287b13af0e4a,d033b825a4be25527f14e8bf5bd4b5d5e7bd689119b17d1236c08d47579ea453,aea25a31bff5a9c071a2efcf9495195e9d7f6b8057094ce92f37a925cd03e8b8,c7703a7755506af7a82285cff18a0d3a1de11de00c2bf35d9d20b02f5ee67a14,80a7786a500ec096f0b9474d5f3189c0c806a8c50833e0e0d444ff44fd8bfaea,275e765c836a95e1ff0769dd2fd275daa35140f4f1c906c5c3c2753bdd26f140,f1ab938215c5d9d6a5f2f0df13ca3dd6c4ae4acb983dea3388b16b1505f75530,7f404d59e24a83bbc6d259a8590270ba0938b35630d0b93b6faaeeffbd127501,16483701fdd67cb26548a88f501bbe3c87a250250f0458be73a24f79120217d4
"","122911","5152061","0.2","idle_normal_joy1R","","3","","1","61056",""
"","122711","5152061","0.2","wish_idle","","3","","1","61057",""
"0","110311","5152061","0.2","gutsB_in","","3","1","0","61058","gutsB_talk"
"","vo_rag","5152061","","vo_rag_6003","","21","","0","61059","0"
"15","110311","5152061","0","おっきいお友達も元気でとてもいいわ！\nさっそく体操はじめましょう！","0","11","1","10","61060","1"
"","0","5152061","","","","91","","0","61061","0"
"","bgm_MC175B","5152061","","bgm_MC175B","","25","","","61062",""
"","2","5152061","","1","","32","","","61063",""
"0","110311","5152061","0.2","kids_gungun_in","","3","1","0","61064","kids_gungun_loop"
"","vo_rag","5152061","","vo_rag_6004","","21","","0","61065","0"
"0","110311","5152061","0","まずは空に向かって\n腕をグングン伸ばしてー！","1.7","11","0","10","61066","1"
"","0.1","5152061","","0","","93","","","61067",""
"0","131911","5152061","0.2","kids_gungun_in","","3","1","0","61068","kids_gungun_loop"
"0","102311","5152061","0.2","kids_gungun_in","","3","1","0","61069","kids_gungun_loop"
"0","102111","5152061","0.2","kids_gungun_in","","3","1","0","61070","kids_gungun_loop"
"0","107711","5152061","0.2","kids_gungun_in","","3","1","0","61071","kids_gungun_loop"
"0","122811","5152061","0.2","kids_gungun_in","","3","1","0","61072","kids_gungun_loop"
"0","122911","5152061","0.2","kids_gungun_in","","3","1","0","61073","kids_gungun_loop"
"0","122711","5152061","0.2","kids_gungun_in","","3","1","0","61074","kids_gungun_loop"
"","5.2","5152061","","0","","93","","","61075",""
"","61066","5152061","","","","91","","0","61076","0"
"","vo_rag","5152061","","vo_rag_6005","","21","","0","61077","0"
"60","102311","5152061","13","グーン、グーン！\nあはは、思い切り体動かすの楽しいね！","2.3","11","0","10","61078","1"
"","7.8","5152061","","0","","93","","","61079",""
"","61078","5152061","","","","91","","0","61080","0"
"","110311","5152061","0.3","kids_furifuri","","3","","1","61081",""
"","vo_rag","5152061","","vo_rag_6006","","21","","0","61082","0"
"17","110311","5152061","21","今度は腰を左右にフリフリ！\nキュートに、そしてリズミカルにね！","1.7","11","0","10","61083","1"
"","0.1","5152061","","0","","93","","","61084",""
"","131911","5152061","0.3","kids_furifuri","","3","","1","61085",""
"","102311","5152061","0.3","kids_furifuriB","","3","","1","61086",""
"","102111","5152061","0.3","kids_furifuri","","3","","1","61087",""
"","107711","5152061","0.3","kids_furifuriB","","3","","1","61088",""
"","122811","5152061","0.3","kids_furifuri","","3","","1","61089",""
"","122911","5152061","0.3","kids_furifuriB","","3","","1","61090",""
"","122711","5152061","0.3","kids_furifuri","","3","","1","61091",""
"","7.3","5152061","","0","","93","","","61092",""
"","61083","5152061","","","","91","","0","61093","0"
"","vo_rag","5152061","","vo_rag_6007","","21","","0","61094","0"
"60","102111","5152061","0","フリフリ～、楽しくなってきましたぁ♪","0.5","11","0","10","61095","1"
"","5.2","5152061","","0","","93","","","61096",""
"","61095","5152061","","","","91","","0","61097","0"
"","131911","5152061","0.2","joy_idle","","3","","1","61098",""
"","102311","5152061","0.2","joy_idle","","3","","1","61099",""
"","102111","5152061","0.2","joy_idle","","3","","1","61100",""
"","107711","5152061","0.2","joy_idle","","3","","1","61101",""
"","122811","5152061","0.2","joy_idle","","3","","1","61102",""
"","122911","5152061","0.2","joy_idle","","3","","1","61103",""
"","122711","5152061","0.2","joy_idle","","3","","1","61104",""
"0","110311","5152061","0.2","kids_jump_in_saren","","3","0","0","61105","kids_jump_sideHair_out"
"","vo_rag","5152061","","vo_rag_6008","","21","","0","61106","0"
"0","110311","5152061","0","最後はみんなで大きく…ジャーンプ！","1","11","0","10","61107","1"
"","0.1","5152061","","0","","93","","","61108",""
"0","131911","5152061","0.2","kids_jump_in","","3","1","0","61109","kids_jump_mid"
"0","102311","5152061","0.2","kids_jump_in","","3","1","0","61110","kids_jump_mid"
"0","102111","5152061","0.2","kids_jump_in","","3","1","0","61111","kids_jump_mid"
"0","107711","5152061","0.2","kids_jump_in","","3","1","0","61112","kids_jump_mid"
"0","122811","5152061","0.2","kids_jump_in","","3","1","0","61113","kids_jump_mid"
"0","122911","5152061","0.2","kids_jump_in","","3","1","0","61114","kids_jump_mid"
"0","122711","5152061","0.2","kids_jump_in","","3","1","0","61115","kids_jump_mid"
"","4.1","5152061","","0","","93","","","61116",""
"","61107","5152061","","","","91","","0","61117","0"
"","2","5152061","","finish","","37","","","61118",""
"","se_10058300","5152061","","se_10058300_kids_finish","","23","","0","61119",""
"","131911","5152061","0","kids_jump_out","","3","","0","61120",""
"","102311","5152061","0","kids_jump_out","","3","","0","61121",""
"","102111","5152061","0","kids_jump_out","","3","","0","61122",""
"","107711","5152061","0","kids_jump_sideHair_out","","3","","0","61123",""
"","122811","5152061","0","kids_jump_out","","3","","0","61124",""
"","122911","5152061","0","kids_jump_out","","3","","0","61125",""
"","122711","5152061","0","kids_jump_sideHair_out","","3","","0","61126",""
"","vo_rag","5152061","","vo_rag_6009","","21","","0","61127","0"
"","2","5152061","0","1009_in","","3","","0","61128",""
"","0.4","5152061","","1","","93","","","61129",""
"","2","5152061","0","1009_mid","","3","","0","61130",""
"","","5152061","","","","92","","","61131",""
"","2","5152061","0","1009_out","","3","","0","61132",""
"","0.2","5152061","","0","","93","","","61133",""
"0.2","131911","5152061","0","kids_jump_end","","3","1","0","61134","idle_normal"
"0.2","102311","5152061","0","kids_jump_end","","3","1","0","61135","joy_idle_normal"
"0.2","102111","5152061","0","kids_jump_end","","3","1","0","61136","wish_idle"
"0.2","107711","5152061","0","kids_jump_sideHair_end","","3","1","0","61137","idle_normal"
"0.2","122811","5152061","0","kids_jump_end","","3","1","0","61138","doya_idle"
"0.2","122911","5152061","0","kids_jump_end","","3","1","0","61139","idle_normal"
"0.2","122711","5152061","0","kids_jump_sideHair_end","","3","1","0","61140","idle_normal"
"1","bgm_MC173B","5152061","0","bgm_MC173B","","27","0","0.5","61141","0.5"
"0.2","110311","5152061","0","kids_jump_sideHair_end","","3","1","0","61142","talk_normal"
"","vo_rag","5152061","","vo_rag_6010","","21","","0","61143","0"
"0","110311","5152061","0","はい、お疲れさま\nみんな、楽しかったかしら？","0","11","1","10","61144","1"
"","0","5152061","","","","91","","0","61145","0"
"","110311","5152061","0.2","idle_normal","","3","","1","61146",""
"0","131911","5152061","0.2","gutsB_in","","3","1","0","61147","gutsB_talk"
"0","102311","5152061","0.2","surprise3_in_joy2","","3","1","0","61148","surprise3_loop_joy2"
"","102111","5152061","0.2","memory_talk","","3","","1","61149",""
"","107711","5152061","0.2","wish_talk_joy_shy","","3","","1","61150",""
"0","122811","5152061","0.2","eieio_in","","3","1","0","61151","eieio_loop"
"","122911","5152061","0.2","anger_talk_joy","","3","","1","61152",""
"","122711","5152061","0.2","sad_talk_dere2","","3","","1","61153",""
"","vo_rag","5152061","","vo_rag_6011","","21","","0","61154","0"
"60","131911","5152061","0","ええ、とっても！\nすごーく新鮮な\nラジーオタイソーだったわ！","0","11","1","10","61155","1"
"","0","5152061","","","","91","","0","61156","0"
"","131911","5152061","0.2","gutsB_idle","","3","","1","61157",""
"","102111","5152061","0.2","memory_talk","","3","","1","61158",""
"","vo_rag","5152061","","vo_rag_6012","","21","","0","61159","0"
"56","102111","5152061","0","かわいくて元気が出て♪\nママ・サレンの体操、すごいですぅ♪","0","11","1","10","61160","1"
"","0","5152061","","","","91","","0","61161","0"
"","102111","5152061","0.2","memory_talk","","3","","1","61162",""
"","se_10058300","5152061","","se_10058300_emotion_laugh","","23","","0","61163",""
"","11","5152061","","1","","32","","","61164",""
"","110311","5152061","0.2","sad_talk_normal","","3","","1","61165",""
"","vo_rag","5152061","","vo_rag_6013","","21","","0","61166","0"
"0","110311","5152061","0","あはは、\nそんなに喜んでもらえるなんて、\n悪い気はしないわね","0","11","1","10","61167","1"
"","0","5152061","","","","91","","0","61168","0"
"","11","5152061","","0","","32","","","61169",""
"","0","5152061","","0","","22","","","61170",""
"","0.1","5152061","","0","","93","","","61171",""
"","110311","5152061","0.2","wish_talk_joy_shy","","3","","1","61172",""
"0","131911","5152061","0.2","smile2_joy","","3","1","0","61173","sad_idle_joy"
"","102311","5152061","0.2","joy_idle","","3","","1","61174",""
"","102111","5152061","0.2","memory_idle","","3","","1","61175",""
"","107711","5152061","0.2","wish_idle_dere","","3","","1","61176",""
"","122811","5152061","0.2","cool_talk_dere2","","3","","1","61177",""
"","122911","5152061","0.2","anger_idle_normal2","","3","","1","61178",""
"","122711","5152061","0.2","sad_idle_dere","","3","","1","61179",""
"","se_10058300","5152061","","se_10058300_emotion_kids","","23","","0","61180",""
"0","110311","5152061","0","9","0","12","0","2","61181","0"
"0","131911","5152061","0","7","0","12","0","2","61182","0"
"0","102311","5152061","0","10","0","12","0","2","61183","0"
"0","102111","5152061","0","6","0","12","0","2","61184","0"
"","2.5","5152061","","0","","93","","","61185",""
"","61187","5152061","","","","101","","","61186",""
"","bgm_MC173B","5152061","","bgm_MC173B","","25","","","61187",""
"","0","5152061","","0","","22","","","61188",""
"1","1","5152062","1.55","107111","doya_idle","1","-280","110","62001","382"
"0","1","5152062","1.5","107611","idle_normal","1","-210","105","62002","145"
"0","1","5152062","1.57","131911","joy_idle_normal","1","-296","107","62003","-22"
"0","1","5152062","1.57","107511","wish_idle_joy","1","-311","109","62004","-217"
"0","1","5152062","1.53","107811","cool_idle","1","-255","108","62005","-440"
"0","1","5152062","1.45","131411","idle_normal","1","-136","103","62006","34"
"0","1","5152062","1.45","131311","riri_idle","1","-146","104","62007","-163"
"0","1","5152062","1.45","131511","sad_idle_surprise1","1","-166","105","62008","-350"
"1","5","5152062","1.5","5","empty","5","-235","106","62009","-13"
"0","1","5152062","1.5","11","empty","5","-210","110","62010","145"
"0","1","5152062","1.57","12","empty","5","-296","110","62011","-22"
"0","1","5152062","1.57","13","empty","5","-311","110","62012","-217"
"0","1","5152062","1.53","14","empty","5","-255","110","62013","-440"
"0","1","5152062","1.45","15","empty","5","-136","107","62014","34"
"0","1","5152062","1.45","16","empty","5","-146","107","62015","-163"
"0","1","5152062","1.45","17","empty","5","-166","107","62016","-350"
"","107111","5152062","","210","","13","","","62017",""
"","131911","5152062","","207","","13","","","62018",""
"","107511","5152062","","209","","13","","","62019",""
"","107611","5152062","","205","","13","","","62020",""
"","107811","5152062","","208","","13","","","62021",""
"","131411","5152062","","203","","13","","","62022",""
"","131311","5152062","","204","","13","","","62023",""
"","131511","5152062","","205","","13","","","62024",""
"0","1","5152062","1.57","1","empty","5","-235","108","62025","-13"
"0","2","5152062","1","2","empty","5","11","210","62026","382"
"","1","5152062","1","1","","31","1","0","62027","0"
"","2","5152062","0","2","","31","1","0","62028","0"
"","12","5152062","0","12","","31","1","0","62029","0"
"","3","5152062","1","3","","31","1","0","62030","0"
"","0","5152062","","","","91","","","62031",""
"","3","5152062","","telop_2","","37","","","62032",""
"","0","5152062","","0","","102","","0","62033",""
"","1","5152062","","0","","93","","","62034",""
"","107111","5152062","0.2","doya_talk","","3","","1","62035",""
"","vo_rag","5152062","","vo_rag_2001","","21","","0","62036","0"
"35","107111","5152062","0","早朝にもかかわらず、よく集まった","0","11","1","10","62037","1"
"","0","5152062","","","","91","","0","62038","0"
"0","107111","5152062","0.2","cool_in_joy","","3","1","0","62039","cool_talk_joy"
"","vo_rag","5152062","","vo_rag_2002","","21","","0","62040","0"
"35","107111","5152062","0","オマエたちにとっておきの体操を\n伝授してやろう♪","0","11","1","10","62041","1"
"","0","5152062","","","","91","","0","62042","0"
"","107111","5152062","0.2","cool_idle","","3","","1","62043",""
"","131311","5152062","0.2","gutsB_talk_anger","","3","","1","62044",""
"","vo_rag","5152062","","vo_rag_2003","","21","","0","62045","0"
"0","131311","5152062","0","どんな苛烈な体操でも…\n頑張りぬく所存です…！","0","11","1","10","62046","1"
"","0","5152062","","","","91","","0","62047","0"
"","131311","5152062","0.2","riri_idle","","3","","1","62048",""
"","1","5152062","","","","26","","","62049",""
"","107111","5152062","0.2","joy_talk_normal","","3","","1","62050",""
"","131911","5152062","0.2","idle_normal","","3","","1","62051",""
"","107511","5152062","0.2","idle_normal","","3","","1","62052",""
"","107611","5152062","0.2","idle_normal","","3","","1","62053",""
"","107811","5152062","0.2","idle_normal","","3","","1","62054",""
"","131411","5152062","0.2","idle_normal","","3","","1","62055",""
"","131311","5152062","0.2","idle_normal","","3","","1","62056",""
"","131511","5152062","0.2","idle_normal","","3","","1","62057",""
"","vo_rag","5152062","","vo_rag_2004","","21","","0","62058","0"
"0","107111","5152062","0","ではいくぞ\nそれ、ワンツーワンツー\nもっと腕を高く！","2","11","0","10","62059","1"
"","1.1","5152062","","0","","93","","0","62060","0"
"","bgm_MC175A","5152062","","bgm_MC175A","","25","","","62061",""
"","2","5152062","","1","","32","","","62062",""
"0","107111","5152062","0.2","clapping_in","","3","1","0","62063","clapping_loop"
"","131911","5152062","0.2","idol_before_dance","","3","","0","62064",""
"","107511","5152062","0.2","idol_before_dance","","3","","0","62065",""
"","107611","5152062","0.2","idol_before_dance","","3","","0","62066",""
"","107811","5152062","0.2","idol_before_dance","","3","","0","62067",""
"","131411","5152062","0.2","idol_before_dance","","3","","0","62068",""
"","131311","5152062","0.2","idol_before_dance","","3","","0","62069",""
"","131511","5152062","0.2","idol_before_dance","","3","","0","62070",""
"","0","5152062","","","","91","","","62071",""
"","12","5152062","","1","","32","","","62072",""
"","131911","5152062","0.2","idol_danceF","","3","","1","62073",""
"","107511","5152062","0.2","idol_danceF","","3","","1","62074",""
"","107611","5152062","0.2","idol_danceF","","3","","1","62075",""
"","107811","5152062","0.2","idol_danceF","","3","","1","62076",""
"0","131411","5152062","0.2","idol_danceB_in","","3","1","0","62077","idol_danceB_loop"
"0","131311","5152062","0.2","idol_danceB_in","","3","1","0","62078","idol_danceB_loop"
"0","131511","5152062","0.2","idol_danceB_in","","3","1","0","62079","idol_danceB_loop"
"","12","5152062","0.2","idol_danceF","","3","","1","62080",""
"","13","5152062","0.2","idol_danceF","","3","","1","62081",""
"","11","5152062","0.2","idol_danceF","","3","","1","62082",""
"","14","5152062","0.2","idol_danceF","","3","","1","62083",""
"","15","5152062","0.2","idol_danceB_loop","","3","","1","62084",""
"","16","5152062","0.2","idol_danceB_loop","","3","","1","62085",""
"","17","5152062","0.2","idol_danceB_loop","","3","","1","62086",""
"","2.8","5152062","","0","","93","","0","62087","0"
"","0.1","5152062","","0","","93","","0","62088","0"
"0","107111","5152062","0.2","pointing_in_anger","","3","1","0","62089","pointing_loop_anger"
"","0.5","5152062","","0","","93","","0","62090","0"
"","vo_rag","5152062","","vo_rag_2005","","21","","0","62091","0"
"","2","5152062","0","0204_in","","3","","0","62092",""
"","2.5","5152062","","0","","93","","","62093",""
"","2","5152062","0","0204_out","","3","","0","62094",""
"","0.2","5152062","","0","","93","","","62095",""
"","107111","5152062","0.2","angry_loop","","3","","1","62096",""
"","vo_rag","5152062","","vo_rag_2006","","21","","0","62097","0"
"","2","5152062","0","0205_in","","3","","0","62098",""
"","2.2","5152062","","0","","93","","","62099",""
"","2","5152062","0","0205_out","","3","","0","62100",""
"","0.3","5152062","","0","","93","","","62101",""
"0","107111","5152062","0.2","clapping_in_talk2","","3","1","0","62102","clapping_loop_talk2"
"","2.1","5152062","","0","","93","","","62103",""
"","12","5152062","","out","","37","","","62104",""
"0","131911","5152062","0.1","idol_poseF_in","","3","1","0","62105","idol_poseF_loop"
"0","107511","5152062","0.1","idol_poseF_in","","3","1","0","62106","idol_poseF_loop"
"0","107611","5152062","0.1","idol_poseF_in","","3","1","0","62107","idol_poseF_loop"
"0","107811","5152062","0.1","idol_poseF_in","","3","1","0","62108","idol_poseF_loop"
"0","131411","5152062","0.1","idol_poseB_in","","3","1","0","62109","idol_poseB_loop"
"0","131311","5152062","0.1","idol_poseB_in","","3","1","0","62110","idol_poseB_loop"
"0","131511","5152062","0.1","idol_poseB_in","","3","1","0","62111","idol_poseB_loop"
"","12","5152062","0.2","empty","","3","","1","62112",""
"","13","5152062","0.2","empty","","3","","1","62113",""
"","11","5152062","0.2","empty","","3","","1","62114",""
"","14","5152062","0.2","empty","","3","","1","62115",""
"","15","5152062","0.2","empty","","3","","1","62116",""
"","16","5152062","0.2","empty","","3","","1","62117",""
"","17","5152062","0.2","empty","","3","","1","62118",""
"","107611","5152062","","93","","2","11","-206","62119","0.7"
"","131911","5152062","","-13","","2","11","-235","62120","0.7"
"","107511","5152062","","-152","","2","11","-248","62121","0.7"
"","107811","5152062","","-277","","2","11","-243","62122","0.7"
"","131411","5152062","","8","","2","11","-151","62123","0.7"
"","131311","5152062","","-102","","2","11","-154","62124","0.7"
"","131511","5152062","","-222","","2","11","-167","62125","0.7"
"","1.6","5152062","","0","","93","","","62126",""
"","2","5152062","","finish","","37","","","62127",""
"","se_10058300","5152062","","se_10058300_idle_finish","","23","","0","62128",""
"1","bgm_MC173B","5152062","0","bgm_MC173B","","27","0","0.5","62129","0.5"
"","0","5152062","","0","","93","","","62130",""
"","107111","5152062","0.1","clapping_end","","3","","0","62131",""
"","2","5152062","","0","","93","","","62132",""
"0","107111","5152062","0.2","armcrossed_in","","3","1","0","62133","armcrossed_talk"
"","vo_rag","5152062","","vo_rag_2007","","21","","0","62134","0"
"35","107111","5152062","0","これでフィニッシュ！　…見事だ☆\nアイドルの道は険しいが\nオマエたちならやれるだろう","0","11","1","10","62135","1"
"","0","5152062","","","","91","","0","62136","0"
"","107111","5152062","0.2","armcrossed_idle","","3","","1","62137",""
"0","5","5152062","0","pack_in","","3","1","0","62138","pack_talk"
"","se_10058300","5152062","","se_10058300_pack_appear","","23","","0","62139",""
"0","131911","5152062","0.2","idol_poseF_end_emilia_in","","3","1","0","62140","idol_poseF_end_emilia_loop"
"","1","5152062","","0","","93","","","62141",""
"","vo_rag","5152062","","vo_rag_2008","","21","","0","62142","0"
"24","5","5152062","5","ねえリア、\nこれってラジーオタイソーなの？","0","11","1","10","62143","1"
"","0","5152062","","","","91","","0","62144","0"
"","0","5152062","","0","","22","","","62145",""
"","131911","5152062","0.2","idol_poseF_end_emilia_loop_nervous","","3","","1","62146",""
"0","1","5152062","0","idol_poseF_end_emilia_nervous_in","","3","1","0","62147","idol_poseF_end_emilia_loop"
"","5","5152062","0.2","pack_idle","","3","","1","62148",""
"","107111","5152062","0.2","chris_laugh","","3","","1","62149",""
"","se_10058300","5152062","","se_10058300_emotion_idol","","23","","0","62150",""
"5","5","5152062","5","5","0","12","0","2","62151","0"
"0","107111","5152062","0","10","0","12","0","2","62152","0"
"","2.5","5152062","","0","","93","","","62153",""
"","62155","5152062","","","","101","","","62154",""
"","bgm_MC173B","5152062","","bgm_MC173B","","25","","","62155",""
"","0","5152062","","0","","22","","","62156",""
"1","1","5152063","1.8","131711","ames_sit_idle","1","-215","109","63001","124"
"0","1","5152063","1.8","132011","echidna_sit_thinking_idle","1","-215","108","63002","-119"
"0","1","5152063","1.8","1","empty","5","-215","109","63003","-119"
"","131711","5152063","","209","","13","","","63004",""
"","132011","5152063","","208","","13","","","63005",""
"","1","5152063","1","1","","31","1.16","0","63006","0"
"","10","5152063","1","10","","31","1","0","63007","0"
"","5","5152063","0","5","","31","1","0","63008","0"
"","3","5152063","1","3","","31","1","0","63009","0"
"","0","5152063","","0","","91","","","63010",""
"","3","5152063","","telop_3","","37","","","63011",""
"","0","5152063","","0","","102","","0","63012",""
"","1","5152063","","0","","93","","","63013",""
"","132011","5152063","0.2","echidna_sit_thinking_talk","","3","","1","63014",""
"","vo_rag","5152063","","vo_rag_5001","","21","","0","63015","0"
"50","132011","5152063","-20","この世界には『アイドル』という\n種族にのみ伝わる、伝統の\nタイソーとやらがあるらしいね","0","11","1","10","63016","1"
"","0","5152063","","","","91","","0","63017","0"
"","132011","5152063","0.2","echidna_sit_talk","","3","","1","63018",""
"","vo_rag","5152063","","vo_rag_5002","","21","","0","63019","0"
"50","132011","5152063","-20","君は智に長けた存在だろう？\nボクにもその動きを\n教えてもらえないかな？","0","11","1","10","63020","1"
"","0","5152063","","","","91","","0","63021","0"
"","132011","5152063","0.2","echidna_sit_idle","","3","","1","63022",""
"0","131711","5152063","0.2","ames_yareyare_in","","3","1","0","63023","ames_yareyare_talk"
"","vo_rag","5152063","","vo_rag_5003","","21","","0","63024","0"
"50","131711","5152063","20","随分と面倒なこと言ってくれちゃって","0","11","1","10","63025","1"
"","0","5152063","","","","91","","0","63026","0"
"","131711","5152063","0.2","ames_sit_talk","","3","","1","63027",""
"","vo_rag","5152063","","vo_rag_5004","","21","","0","63028","0"
"50","131711","5152063","20","色々誤解があるみたいだけど、\nまあいいわ","0","11","1","10","63029","1"
"","0","5152063","","","","91","","0","63030","0"
"","vo_rag","5152063","","vo_rag_5005","","21","","0","63031","0"
"50","131711","5152063","20","それじゃ、\nあたしと同じ動きをやってみて","0","11","1","10","63032","1"
"","0","5152063","","","","91","","0","63033","0"
"0","131711","5152063","0.2","ames_sit_out","","3","1","0","63034","idle_normal"
"","0.1","5152063","","0","","93","","","63035",""
"0","132011","5152063","0.2","echidna_sit_out","","3","1","0","63036","idle_normal"
"","10","5152063","","out","","37","","","63037",""
"","1","5152063","","0","","93","","","63038",""
"","0","5152063","","","","91","","0","63039","0"
"","bgm_MC175A","5152063","","bgm_MC175A","","25","","","63040",""
"","5","5152063","","1","","32","","","63041",""
"","131711","5152063","0.2","isekai_dance","","3","","1","63042",""
"","0.1","5152063","","0","","93","","","63043",""
"","132011","5152063","0.2","isekai_dance","","3","","1","63044",""
"","vo_rag","5152063","","vo_rag_5006","","21","","0","63045","0"
"0","131711","5152063","0","はい、ワンツーワンツー、\nステップステップ…","1.7","11","0","10","63046","1"
"","7","5152063","","0","","93","","","63047",""
"","0","5152063","","","","91","","0","63048","0"
"","vo_rag","5152063","","vo_rag_5007","","21","","0","63049","0"
"0","132011","5152063","0","ワン、ツー…ワン、ツ…\nはぁ、はぁ…\n今日のところは、ここまで、だね…","0","11","1","10","63050","1"
"","3.4","5152063","","0","","93","","","63051",""
"1","bgm_MC173B","5152063","0","bgm_MC173B","","27","0","0.5","63052","0.5"
"","5","5152063","","out","","37","","","63053",""
"0","1","5152063","0","tired_in","","3","1","0","63054","tired_talk"
"0","132011","5152063","0","echidna_tired_in","","3","1","0","63055","echidna_tired_talk"
"","se_10058300","5152063","","se_10058300_isekai_breath","","23","","0","63056",""
"","7.6","5152063","","0","","93","","","63057",""
"","63050","5152063","","","","91","","0","63058","0"
"","1","5152063","0.2","tired_idle","","3","","1","63059",""
"","132011","5152063","0.2","echidna_tired_idle","","3","","1","63060",""
"0","131711","5152063","0","shock_in","","3","1","0","63061","shock_talk"
"","vo_rag","5152063","","vo_rag_5008","","21","","0","63062","0"
"0","131711","5152063","0","ウソでしょ！　まだちょっとしか\nやってないわよ！","0","11","1","10","63063","1"
